title,content,rating,username,genres
Wow this American loves this movie,"I asked my co-workers to recommend a Bollywood movie. I expected ""Dumb and Dumber"" by the title. It wasn't that at all. It is more of an inspirational comedy with some serious but good messages. A more accurate title would have been ""The Legend of Rancho"".Odd to me is that they speak in part English, part Hindi through the movie, kinda like some speak ""Spanglish"" here I suppose. I know none of the actors but the acting was good, and there was plenty of humor. The characters were believable. Most movie dancing I find a little silly but I even liked the dancing routines in the bathroom.I will be asking my co-workers for more recommendations after this one!",9.0,Anonymous,Comedy
Hat-Trick Heroes x 3...,"Like Dead Poets Society but with Robin Williams as a student and some extra tonic and spice thrown in for good measure. Serious, sad and silly, often concurrently but overwhelmingly very, very funny and engaging, as engineering students at an Indian college end up teaching as much as they learn. Who could disagree with the distinction between education and learning while recognising the often sizable gulf that exists between the two after watching this. Who would dissuade those with aspiration and passion from pursuing their dreams and goals. Weighing in not too shy of three hours you'll be shocked how quickly the time flies as your attention is vacuumed up and your view of the world turned on its head, or inverted, depending what you've learned.",9.0,Anonymous,Comedy
THE BEST OF BOLLYWOOD; please sing along....,"When I was 13, I had my first movie-love;
There was nothing that compared to this movie;
Nobody could eva stop me watchn this cult;
It had me goin crazy, oh I was star-struck!Watched every weekend, didn't need no other work;
Made me laugh made me cry made me become what I am today;
Inspired me, motivated me to achieve success every day;I was choking in the crowd, it made me roar aloud;
I was nowhere in my career, it made me a flourisher;
I used to be havin a bad time, it took me to cloud nine;
I was in pieces, it fixed me;
It made me a it made me a believer, believer.I was in pieces, it fixed me.It gave me another chance, I grew up once again
Na na na.... Na na na.... Na na na.... Na na nana na....",10.0,Anonymous,Comedy
Wonderfully entertaining.,"It's hard for me to review this film, as I have not seen a huge number of Indian films--probably no more than a couple dozen. Most of the ones I've seen were wonderfully entertaining but I am far from an expert on Bollywood. Because of this, I have a hard time knowing how good this film is relative to other films from this country. So, consider this when you read this review. This may be among the very best India has to offer or it just seems that way to me.Like so many Indian films, this is a very, very long film--with a run-time of almost three hours. When a movie is bad or just okay, this can seem like forever, but since ""3 Idiots"" is a very, very good film I loved its length. And, like most films of the genre, it has its share of the usual singing and dancing so foreign to films from other countries. One thing you should know, however, is that defining the type of film it is isn't really easy. Much of it is a comedy, but it also has many poignant moments (keep the Kleenex nearby), some existential moments where they explore the meaning of life and work and it's also a tender film about friendship. And, as my daughter pointed out when she saw the film, she loved that the men in the movie are not afraid to cry--something you rarely see in western films.As for the plot, it's very long and involved and I could recount what occurs. But I don't want to spoil a single wonderful moment, so my advice is just sit back and watch--and if you give it a chance, I can almost guarantee you'll have a great time with this poignant and funny film. Wonderful and well worth your time--with a delightful script, wonderful characters and lots of moments that made me smile...and a few that brought me to tears. See this film.",10.0,Anonymous,Comedy
Finally a masterpiece from Bollywood. Aamir Khan is the best thing to happen to Bollywood.,"Awesome film man. Saw this with my family in a theatre. Worth every penny n worth every minute. Never seen such an amazing film from Bollywood.
What is so great about the movie is that it moves you, it gives you hope. It is a simple film, yet it has an everlasting message. The last 30 mins were beautifully shot. Very good direction by Hirani. The star cast is good n Aamir khan steals the show.
The editing is top notch. U don't feel bore for even a sec. Awesome screenplay. It's hands down the best film in the history of Bollywood.",10.0,Anonymous,Comedy
Best moive,Best of all. The way of narrating the story touches the soul in the heart because the college life which we go through it have shown so many rules when it will start imagining in your own real life that is really true in every life we have certain role and we have to go through it.,10.0,Anonymous,Comedy
easily the best Indian movie in 2009.... and one of the best ever,"I was lucky to see the first day show of 3 idiots on Thursday in Dubai. Well the title of this post says it all. The movie is an example of classic film making. brilliant and highly entertaining.Watch 3 idiots for a) amir khan's incredible acting b) intelligent and highly energatic screenplay & direction (Rajkumar Hirani has done it yet again!) c) amazing chemistry among actors, d) some of the best comedy scenes coming from Indian cinema in a long time and e) a heart warming story which keeps you spell binded right till the end.I would rate it as among the best from amir khan (which obviously means among the very best from bollywood. I would also give a lot of credit to the director rajkumar hirani, who after this movie (and his previous munna bhai series) should rank as among the top in bollywood too. 9/10.",,Anonymous,Comedy
One of the better Bollywood movies I saw,"Because the movie had such a high rating on IMDb I was intrigued. Bollywood movies are not particularly on the top of my list I must admit. But I gave it a shot and I'm glad I did. It only has two scenes where they start singing and dancing so that was not too much. Why they start singing and dancing that I will never get. The story does not need that at all. The story itself was very pleasant to follow. Full of mixed emotions, happy ones and sad ones. The cast and the filming was great. All actors gave a good performance throughout the whole movie. Like in most American television series they want to give you a lesson in life and most of the time it makes me want to barf but in this Bollywood movie it works perfectly well. I had fun watching this and I get why I am not the only one. Certainly worth a watch.",7.0,Anonymous,Comedy
"Aal izz very, very, very, very, very Well","""Whatever the problem in life is... just say to yourself 'Aal Izz Well'.. This wont solve your problems but it will give the courage to face it.."" ""Chase Excellence and success will follow"".. "" Life is not about getting marks, grades but chasing your dreams"".. These are the golden rules which 3 IDIOTS teaches you in a very light and entertaining way.. The movie makes you laugh and in the process you learn many golden rules which can alter your life in a big manner...3 actors from the path-breaking blockbuster RANG DE BASANTI( Aamir, Sharman, Madhvan) team up together with Rajkumar Hirani.. It couldn't get bigger! Loosely based on blockbuster novel ' Five Point Someone ' by Chetan Bhagat the movie deals with the present education system in India that whether getting more marks and better grades is better than gaining knowledge and is mugging up everything more useful than understanding it..The movie has many hilarious scenes and everyone in the film form Aamir to Boman Irani to Omi Vaidya were superb in their roles.. Aamir has outdone himself.. Never in the film he has looked 44 year old... Film's music sounds mediocre but when viewed on the screen then the music sounds perfect.. Cinematography is awesome and so is the direction.. Raju Hirani's screenplay(you can easily ignore a few loose points) is a masterpiece and the film will achieve cult status for engineering students in a short period of time.. It has the soul which Five Point Someone had.. It is easily Aamir Khan's finest film to date.. The film's climax is fantabulous and is a shocker.. It takes everyone by surprise...To conclude 3 IDIOTS has the potential to break all records and sweep all awards.. Watch it... You will Love it...My Rating: 9/10Thanks and Regards",9.0,Anonymous,Comedy
"Scarcely has a comedy provided its audience with so much insight, intelligence, and human affection","""All is well,"" the three ""idiot"" heroes of 3 Idiots recite when they become frazzled or nervous, while frantically tapping their hearts. They know that reciting the oversimplifying phrase will not provide their problems with a solution, or even a catalyst, but it gives them the onset courage they desperately need at a time of uncertainty and despair. One character even tries to use the line after an amateurishly-given birth may have gone terribly wrong. It's times like that when the saying may not be so effective, even if its goal is not to provide certain relief.But all is well, as they so often say. Rajkumar Hirani's 3 Idiots, my introduction to the world of Bollywood cinema, is a comedy-drama unlike any one I've ever seen, long, but never drawn out, frantic, but never desperate, and emotional, but never manipulating. It provides us with three of the most likable characters of the last decade, and with insight to the culture of Indians and their parents. Rarely has a comedy had this big of a brain in its head and a canvas of opportunities in mind, while possessing a title not even fit for a farce.Our title characters are ambitious but stunted Farhan Qureshi (R. Madhavan), jittery, fearful Raju Rastogi (Sharman Joshi), and borderline prodigy Ranchhoddas ""Rancho"" Shamaldas Chhanchad (Aamir Khan), three close friends who attend the Imperial College of Engineering (ICE), one of India's most prestigious colleges where only the best are accepted. The young boys already are facing some of life's greatest challenges, all of them pursuing the field of engineering when the only one who seems to have a passion for the material is Rancho. Farhan was forced to become skilled in the field because of his strict father, and Raju is pursuing the field with the goal of getting his family out of poverty, with his father's expensive health bills, his mother's fragile core, and his sister's inability to marry all on the table. Rancho is studying because he feels that one should pursue passion and make a career out of it, so it doesn't feel like work. If you're passionate and devoted to your work, success will find you - yet this is only one of the countless morals and insights 3 Idiots provide its viewer with.The film chronicles their issues in college in flashback, with instances in the presence popping up to show Farhan and Raju searching for their pal Rancho, who has disappeared and avoided contact for several years now. This is not your typical flashback film, however. It uses this method much to its advantage, and doesn't feel like a narrative within a narrative. It seals both stories nicely, but it takes the viewer on a roller-coaster ride of emotions through carefully constructed events before it even arrives at those endings.One of their problems in college is the professor/dean of the campus, Viru Sahastrabuddhe (Boman Irani), who the three derogatorily call ""Virus"" when his back is turned. Virus is strict and often largely unsympathetic to the problems of his students, which allows the film to explore a dark topic one assumes a comedy wouldn't dare cross paths with and that is the issue of Indian teen suicide. One kid had his father have a stroke, rendering him unable to focus on academics for months, falling gravely behind. Virus is grossly unsympathetic to his case, denying him an extension on a project he's work so unrealistically hard on but can not perfect.If anything, we can say 3 Idiots is a message to the parents of the Indian youth and that is to stop applying pressure to an already stressed out demographic. I've read several articles articulating the point that Indian teenagers are among one of the highest in suicide rates, and that many parents put an unrealistic amount of pressure, duty, and responsibility on the child to the point of a physical and mental collapse. You're given the unalienable freedom to raise your kids with the method you choose, but not every method is perfect, and when your method is one of the ones that leads to suicide, mental health problems, and perpetuates fear and anxiety in the minds of teenagers, then you may want to reevaluate your methods.3 Idiots also provides us with the idea that many Indian children are told what to become in life early and are discouraged from exploration or even personal ambition. This I can't believe. What an unhappy, uninspiring, completely wasted life to slog through everyday doing something you loathe all because it was the lucky career choice of your parents. Yet I'm sure millions have been lead through this same life. It's the worst way of ""living through a person"" that I can imagine.The film runs ten minutes shy of three hours, which for few viewers may seem too long and uncomfortable. I was skeptical myself walking in rather blind. Almost every Bollywood film I've conducted research on seems to run an upwards of three hours, some extending and testing the waters to roughly five hours. If other Bollywood works have characters drawn along the same lines of being relatable, human, and easily accessible and not biased towards race or social class, I can't see it being a struggle to get through any of the industry's films.Through every quick-witted song and dance number, through every comedic scene, through every instance of dramatic despair, emotionally alive moment, solemnly poignant sequence, suspenseful setup, to a lovely, heartfelt conclusion, 3 Idiots is a wonderful, invaluable endeavor in the world of film. Its actors are beautifully fitting for their roles, assisted by a script so human and true to life that it is honestly hard to believe, and captured through beautifully alive cinematography to collectively give us a beautiful package not just in the figurative sense. This is arguably one of the best comedies I've ever seen.",10.0,Anonymous,Comedy
