title,content,rating,username,genres
"Brilliant, stunning and disturbingly entertaining","Few films are as sensational or infamous as Stanley Kubrick's ""A Clockwork Orange"". It's impossible to sit through ACO and not have a reaction; whether it be shock, disgust or amazement. The savage tale of a brutal young droog and his subsequent ""reformation"" by the government is as shocking and thought-provoking as ever.While the film's depictions of violence and sex are what it's most known for, ACO works on far deeper levels. The disturbing portrayal of youth and its satirical depiction of a government's attempts to create a better society are brilliant, but the most fascinating aspect of ACO is the questions it poses about good and evil. While the crimes Alex commits at the beginning of the film are atrocious, what the government does to him is worse. The film presents the absolute worst aspects of man, but shows that even these are still favorable to a man without the choice. People can denounce the film because of its brutal content, but the importance of the questions it poses can't be denied.Equally excellent to the film's content is the effort by the crew. Kubrick's perfectionism pays off well, as ACO in one of his most visually striking films. Malcolm MacDowell is nothing short of amazing as Alex. Kubrick's use of surreal imagery and set pieces, as well as the ingenious use of music to compliment the on-screen action, creates a world that perfectly reflects the protagonist's behavior and the government's policies.A Clockwork Orange is by no means an easy film to get through, as many will be turned off by the scenes of violence and rape. But this masterpiece is far more complex than a simple romp through a world of youthful violence. It's a rare example of film-making that demands that the viewer actually think. Real horrorshow all around, Oh my brothers.",9.0,Anonymous,"Crime, Drama, Sci-Fi"
Great Piece of Art,"I would say that the movie is really a gem of an art piece. The use of excellent imagery coupled with pretty out-of-the-place background score tells us about the uniqueness of this movie. Stanley Kubrick has really applied a lot of thought into this.The director wants the audience to feel something as bad not because he is showing it as bad but because it really is bad. The background music accompanying the ultra violent scenes is comical, and not dramatic or anything else that is commonly associated with such scenes. This gives the viewer an opportunity to feel the bitterness not because the music hints so but because he himself feels so. Viewer's emotions should arise irrespective of what the director is trying to show, and this is one of the greatest successes of the movie.Another glorifying feature is the central idea of the movie. If a human is striped of the choice to choose from good and evil, he no longer remains a human, he becomes a clockwork. When Alex is brain-washed and ""programmed"" to choose only good, he wasn't accepted by the society and this shows the irony in the objectives of the British Government. The word Orange from the title presumably comes from the word ""Ourange"" that loosely means man. And hence the title is so appropriate to the movie.The artificiality in dialogues and sets give the movie a unique feature and enhance the grip on it. This also means that the viewer has to get more involved. This is definitely one of the best technically shot movies, another masterpiece of Kubrick like the Space Oddessey.For the uninitiated, set in near future Britain, the movie shows Malcom MacDowell as the head of a group of youngsters involved in sexual violence. Turn of the events leave the protagonist in the hands of the police. Worried by the growing number of prisoners the British Government devises a method of ""programming"" them so that they always choose the good. Alex is chosen as one of those on which the new system is to be tested. The rest unfolds as a saga of the very human characteristic.Lastly, I would like to say that you may be compelled to leave the movie in between, but if you are watching it for art and cinematic experience, I recommend you to sit through.",,Anonymous,"Crime, Drama, Sci-Fi"
orchestra of violence,"In a dystopian world, Alex DeLarge (Malcolm McDowell) leads his 3 followers in ultraviolence. Eventually, he is arrested for killing an old lady. In prison, he finds the violence in religion to be calming. He volunteers for an experimental treatment program. The treatment makes him ill when confronted with violence and sex. He is released and is confronted by the violence that he himself promoted.This is almost experimental in its examination of sex and violence in society. It is an unique surreal film. The ideas behind it may be lost to people who sees this simply as an artistic violent movie. No matter how one dissects this, Malcolm McDowell's performance is beyond reproach. He shows his great acting abilities.",8.0,Anonymous,"Crime, Drama, Sci-Fi"
I just didn't get why it's a masterpiece,I looked forward to seeing this classic for the first time but came out a bit bemused about what all the fuss was about.It was an ok film and certainly quite out there in the content and the way it was filmed but I failed to see what made it such a cult classic.Maybe its a generation thing.,6.0,Anonymous,"Crime, Drama, Sci-Fi"
A controversial and offensive masterpiece.,"Anyone looking to watch A Clockwork Orange might be wanting to revisit some of Stanley Kubrik's work and might be interested in studying this film. Those who have already seen this film tend to already have strong opinions regarding this dark sci-fi movie but for me, I approached this film recently to obtain an opinion for myself and study one of the great masters of cinema.The fact that this film was regarded as one of the most controversial films ever made (rightfully so) sparked genuine curiosity to give this flick a full viewing and while I have large issues with the film, the experience as a whole was both satisfying and a learning experience.This story centers on ""Alex"" our main protagonist and his gang of hoodlums set in a not so distant, dystopian Great Britain. The beginning portion unfolds Alex's dark and twisted soul as we watch him and his gang fight, rape, and kill. When he's eventually caught, he undergoes controversial ""treatment"" to be cured of his dark soul.I first appreciated the inmate concepts of this story and the type of questions the story attempted to raise to the audience. Furthermore, much of the psychological ideologies surrounding freedom, choice, good vs evil, and selfishness were extremely thought-provoking. It had a way of making me feel self-exploratory despite the character's complete inability to relate with (hopefully) any viewer.Performances were top notch; especially from the lead: Malcom McDowell. His performance felt so authentic there's never a single moment that feels fake or forced with his dark character. As always, Stanley Kubrick directs the hell out of this. His commanding and authoritative shooting style is apparent in every frame of the picture and he does a wonderful job at sucking the viewer into this terrible world to the point of enthrallment.While all these positives make for a great movie-going experience and when Kubrick is at the director's helm not much can go wrong, the film's biggest downfall is indeed its controversy. Disturbing subject matter in this piece is indeed vital to the essence of the story but taking off the gloves when it comes to fighting, rape, and killing (especially the rape) make this so incredibly disturbing that it's difficult to muscle through. I found that A Clockwork Orange was not only offense because of its disturbing content, it was personally offensive in so many ways. Frankly, these extremely rare and offensive movie experiences are not quite the reason I enjoy films in the first place; stories can still be thought-provoking while not morally offend and damage the viewer internally. In addition, a viewer looking to study the work of Stanley Kubrick can still experience some of cinema's greatest and transcendent experiences without feeling like their conscience has blackened.It's understandable that not everyone feels this way; just as stated before, opinions about this film are all across the board. As time has passed however, A Clockwork Orange has stood out has one of Kubrick's finest and has been adored by die-hard fans so much its fan base has grown over the years.The best advice to give is to see it for yourself. Much like all other Kubrick films, relying on anyone's opinion won't help one bit. Seeing it and deciding for yourself is the best course of action. That being said, despite it's strong artistic merit, I wouldn't recommend seeing it simply because of the morally offensive and sickening content that most don't appreciate. Overall, it's been the hardest one to review in a long time because it's not a simple: see it or don't see it. There's much more to this picture than that. If you do decide to see it though, be warned and well prepared. If not, that's probably just fine too.",8.0,Anonymous,"Crime, Drama, Sci-Fi"
"Stanley Kubrick's satire on crime and justice is just shy of being a great movie. It's perverse and provoking, but there's also mad genius beneath its repulsive content","One thing was certain about Stanley Kubrick: once you gave him complete control over the story of his film, you were at the mercy of his malice and onslaught. Like his science-fiction classic ""2001: A Space Odyssey"", his 1971 film ""A Clockwork Orange"" was and still is a film of heavy controversy and debate. Some laud the movie for its satirical and dark humor when addressing crime and punishment. Others believe it's just too dark, too nihilistic, too right wing, and brutal to be taken for art or even a good movie.What's my verdict? Well, somewhere in the middle. Overall, I enjoyed the movie, but to me, it's not a masterpiece. I really enjoyed the first half of the movie. I liked the middle section, but the third act just fell apart for me. Perhaps I wasn't quite ready just like I wasn't prepared for the Star Child scene in ""2001"" and wasn't sure how to take it. A second viewing might help. But one thing is for sure about ""A Clockwork Orange."" It is a brutal, disturbing, and even at times offensively off-putting madman story. But buried beneath all its exterior horrific content, there is also a sort of mad, maniacal genius that holds it together.The film is set in futuristic Europe, during a time when all the people in world seem to have gone nihilistic and pornographic without a fear or care. A young rapist named Alex (Malcolm McDowell) is captured by the police after accidentally murdering his victim and becomes subject to a new sort of government test that should cure him of his evil waysbut things might go awry.The first half of ""A Clockwork Orange"" really shocked and appalled me. There were times my stomach turned around inside of me because it was so disturbing. I actually felt uncomfortable and even a little unclean sitting there watching these scenes of explicit rape and nudity and almost dance-like violence. Kubrick clearly wasn't afraid to let his expressionism free on the screen. But oddly enough, although I felt really bad watching these scenes, I also felt kind of awed for I understood that Kubrick wasn't glorifying crime, he was kind of alerting us to how many people seem to glorify it. In a way, he's alerting us to our own perverse thoughts. This is also aided by the fact that our protagonist is one of the screen's most offensive villains.The middle section of the film was not as good as the first part. When Kubrick started to satirize the justice system gone madI felt the movie became way too talky and verbose. Characters would say a whole lot of words but communicate very little point. And then the third act just became too slow for my liking and this is what ultimately cost the film a potential fourth star. Kubrick had a lot of say, but I don't think he said it with the right notes.I say notes, because Kubrick is also making majestic uses of classical music during scenes of violence and madness. Ludwig van Beethoven's symphonies are used several times throughout the film in surprisingly appalling but ingenious ways. Edward Elgar's classic ""Pomp and Circumstance"" also makes a wonderful appearance in a wonderful sequence. You can say another thing about Stanley Kubrick's (and can see this also in ""2001""): he had good taste in music.Perhaps I am writing this review a little too early. Maybe ""A Clockwork Orange"" is not a film that can be properly analyzed and reviewed after a single, unprepared viewing. But I will say this about my first impression of this dark and perverse tale. It is good film-making. And the performance by Malcolm McDowell is hands-down brilliant.",7.0,Anonymous,"Crime, Drama, Sci-Fi"
The most overrated film in cinema history.,"I've seen this film three times over the years. The first time I saw it, I was completely blown away by how awful it was. Surely I was missing something, right? I mean, after all, it's considered to be not only one of the best films of the 1970's (no slouching decade) but of all time! I asked a friend of mine who was studying film in California what I was missing, and his answer was, ""Well, it's a Kubrick film, so you may have to watch it more than once."" And so, that following year, I sat down and watched this film two more times waiting for the reveal to finally wash over me. Today, I can tell you that was easily the worst piece of advice I've taken so far in my life. This film makes absolutely no sense whatsoever, and any ""underlying themes"" people speak of is a load of hogwash. It's just bad. Period.So, why did this film become so popular over the years? Probably because people LOVE to bow down to Kubrick as being the greatest filmmaker of all time, and nothing could be further from the truth. In fact, the only movie I've seen from him that's actually good is Full Metal Jacket.Although I've never read the book, I'm sure it's much better than this film. People were a lot less likely to bandwagon books pre-Harry Potter. If a book got a lot of attention back then, it probably deserved it. My recommendation would be to read the book and not waste your time on this pretentious, illogical, downright frustrating film.",1.0,Anonymous,"Crime, Drama, Sci-Fi"
My brief review of the film,"A disturbing but yet very beautiful piece of film-making, Kubrick has created the ultimate study of mind manipulation in this film. It is a protest against reform programs that take away freedom of a choice, and the message of the film in terms of paying for one's sins in all eternity is inescapable, evident to a large extent in the sardonic nature of the tale. Although set in the future, it hardly feels like it is, this being because the message of the film is overwhelmingly powerful and capable of applying to any age. The film has a number of possible hidden meanings to it  a feat equaled on scale only by Kubrick's former film '2001: A Space Odyssey'. Besides for the meaning behind the film, there are still the marks of a masterpiece. Kubrick's direction is superb alongside the good photography, capturing shadows and angles needed to establish tone. The editing is excellent too, done in a flashy, brainwashing style at times to have relevance to the film. The choice of cast is again inspirational, however the film achieves the most in terms of music. Kubrick manages to use one of the earliest forms of art, classical music, and give it an unforgettable style and importance in the film. It is truly a difficult task to explain what is so great about a film such as 'A Clockwork Orange'  it is maybe best explained by watching the film itself.",10.0,Anonymous,"Crime, Drama, Sci-Fi"
"amazing, the greatest villain ever, nothing has scared me more","i just saw this movie about a day ago, and it completely blew me away, namely the main character, protagonist, hero? Alex. we love, hate, and or just plain utterly confused about how we feel of Alex. Alex is the greatest villain ever because he is ourselves, he is the worst of ourselves. hes the deep dark place inside you that rises to the surface eventually, and then pushed down just as fast because it terrifies you. the way Alex stares into the camera in the first scene just freaks me out, he has a little smirk on his face that seems to say you may hate me, but you'll never be rid of me, because there can never be good without the bad, and i am the bad.",10.0,Anonymous,"Crime, Drama, Sci-Fi"
This is an all time masterpiece,"A Clockwork Orange (1971) is a movie I recently rewatched on HBOMAX. The storyline follows a little gang of misfits who travels the streets of England causing chaos through their random acts of violence. When they cross each other one night trying to establish a leader the direction of the gang and leader of the gang changes permanently...this movie is directed by legend Stanley Kubrick (The Shining) and stars Malcolm McDowell (Halloween), Patrick Magee (Zulu), Michael Bates (Patton), Warren Clarke (Firefox) and Adrienne Corri (Bunny Lake is Missing). This story from beginning to end is absolutely captivating. The sets are eccentric and unique. The dialogue is brilliant as the terminology is entertaining and well delivered. The acting by McDowell is all time great. One of my favorite all time performances. The circumstances throughout the film are horrifying, hilarious, intense and unpredictable all at the same time. The cinematography within the film keeps your mind turning throughout. This is an all time masterpiece that is an absolute must see and a 10/10.",10.0,Anonymous,"Crime, Drama, Sci-Fi"
