title,content,rating,username,genres
Shining stars....,"This was one of the best films I've seen lately. Mandy Moore shone in her role as Jamie Sullivan, although never to the point where she became unbelievable. Her singing was fabulous, but it was clear that this was not a film about her singing - too many pop artists starring in films wind up in films about their pop careers, whether real or inferred.The storyline was VERY good. I can't say too much without spoiling it for everyone else, but take my word for it. You absolutely must watch this film at some point - make sure you grab plenty of tissues though, because if you don't get emotional towards the end, you must have a heart of stone.All in all, fantastic.",8.0,Anonymous,Romance
Most touching movie I have seen in years,"Though I do not often make comments on movies I see, for this one I was compelled to do so. I guess I saw this movie DVD on a shelf of the DVD rental shop for a long time but I was not interested in renting it; may be due to fact that the leading character is played by Mandy Moore as mention in the cover. I had never disliked her but I just thought she was just a good singer and couldn't be a good actress as well. However, accidentally I saw a comment by a viewer in the Youtube under one of Mandy's videos appreciating her acting in this movie and the next time I went to shop I bought the DVD.I saw the movie last night and Wow.. Even today whole-day I felt as if I was living in the movie. This is why I am writing this. Though it feels like a typical teen movie in the first half of the movie, story evolves into some deeper territory which is not common in teen movies.I was awfully wrong about Mandy. Her acting is much superior than most renowned actresses specially since she's playing a character with qualities totally opposite of her pop singer image. Shane West is also making a superb blend. Expression of feelings by both of them makes the audience thoroughly sentimental.I guess that is wonder of this movie; for which most of the credit should go to the director and the screenwriter. I guess it's kind of magical ability making people so emotional and tearful. This is a movie that describes the true meaning of love at best. AWTR is by far the best romantic movie I have seen.You will not be disappointed seeing this one if you still haven't seen it. This is highly recommended.",8.0,Anonymous,Romance
"Every time I watch this, I cry.","I am a guy, a man's man even. I like movies with action, and explosions and death. I love horror and sci-fi and mysteries. I do not like a lot of romance or chick flicks. I especially hate Nicolas Sparks. With all this being said, I freakin' love this move, and I am reduced to a blubbering mess each and every time I watch it. Perhaps it is the hopeless romantic that dwells deep within my jaded heart. I could not tell you, except the selfless love demonstrated in this movie is what I hope we can all find one day. I have not read the book, so I cannot say how well it is translated from one medium to the next, but the screenplay is very well written and it is supremely acted. Mandy Moore stole my heart with this film. Great little movie here.",9.0,Anonymous,Romance
A punch in the stone hearts,"Intense, with the intensity of the teenager heart.Emotional, with the purity of the untainted feelings.I will miss the day I saw it for the first and last time, since I'm not usually watching any great impact movie again for years. 9 years have passed since then , and the image of the two leading characters is still fresh, my heart is still trembling of emotion and sympathy whenever I remember of this title. There are things that help us live and things we have no desire to live without.This movie helps us remember that it's not all about the life's length, but of its quality as well.",9.0,Anonymous,Romance
Purity and beauty for the traditional romantic.,"I don't know - I'm way too old for a middle life crisis, maybe its the onset of dementia, but this film really got to me. Never in all these years have I come across as beautiful and pure a character as Jamie Sullivan - and to think I gave MTV the flick whenever Britney-clone Miss Moore, started up her song of the month. Call it manipulative, unrealistic, contrived, saccharine, whatever your pleasure - but I absolutely lost my heart to Mandy Moore's character here.  Perhaps the deep-rooted protective instinct in my nature, maybe a reminder of what I never found but always desired, but I would be lying if I did not admit to falling totally in love with Jamie, matter of fact that would be an understatement.An impossible blend of strength, integrity, natural beauty, youth, feistiness, femininity and vulnerability - Mandy Moore delivered a performance so genuine and moving it totally stunned me. She was utterly spellbinding in every scene she was in - which was most of them. I thought her rendition of ""Its gonna be love"" during the school play was cinematic magic. She was for those moments, every man's dream and the epitome of virginal translucence.I was impressed too with Shane West's performance who at times was so reminiscent of a young Kevin Bacon somewhere around his FOOTLOOSE days. At times I agree, the film seemed to be headed down THE MAJESTIC path of over-sentiment but I'm sorry guys, I don't care. So long as Jamie was on-screen ripping my emotions apart, the rest really didn't matter!  What a stunning performance from so young a girl with barely any acting experience. The mere fact that this flick has pulled an everage user rating of 6.6 would suggest a LOT of people liked it. It blows LOVE STORY totally out of the water. On reflection, it is the film's very simplicity, lack of  pretension and strong supporting actors that serves it so very well.By the way, it does so help being a hopeless romantic!",,Anonymous,Romance
Succeeds where it counts,"I'm a 17 year old male teenager who happened to stumble upon this movie two years ago at school during a free day in math class (when I was 15). I liked it then, but the math class ended before the movie could be finished. Finally, on the WB a few days ago, the movie aired and I saw the conclusion. AWTR contains a heartfelt conclusion to a story where you get to care about Landon and Jamie, two polar opposite teenagers who face peer struggles and the perils of love and death. The situations that occur are very real, and very sad. Once the movie finishes, you'll be left wondering what happens to everyone (heck, even though it doesn't make sense, I want a sequel!).As a maturing male, I couldn't help but cry inside, and I'm someone who felt indifferent toward movies like Titanic. I found myself wishing I were either Landon or Jamie, because they represent the real virtues of life and love. Aside from the movie's undying message, there are some slight flaws. The ending could have been expanded a bit more (you'll see when you watch it as I don't want to spoil anything) to include more emotion. Otherwise, the acting done by Mandy Moore and Shane West is superb and top notch - these two actors have quite the career ahead of them. You'll see as these two characters develop that you can't imagine any other people doing the job.This isn't your typical love story, because when it comes down to it, the love is only part of the whole scheme. While I never expected this to touch me so much, AWTR enters as perhaps my favorite movie of all time. You will feel as if you're a part of the movie, you will be able to relate to them, and you will love it. AWTR succeeds in delivering a great experience. Available on DVD now, you'll be wishing the release had deleted scenes, et. all. Highly recommended.",10.0,Anonymous,Romance
"Decent movie, even if it tries a little too hard sometimes","I love the writing of Nicholas Sparks, I find it very heartfelt and honest. When it comes to the book A Walk to Remember, it was good with a heartfelt ending and characters and the story did touch me, but some of dialogue was occasionally lazy and repetitive for my liking.The movie is a decent one. It does try to stick to the spirit of the book even if one or two of the details aren't as coherent, and it mostly succeeds. The pace can be a little too mannered though, and although most of it is genuinely touching there are other times throughout the movie when the story and subject matter tries a little too hard to evoke emotion. There is the length too, I personally felt it could have been shorter.However, A Walk to Remember is beautifully filmed, with beautiful locations and striking photography. The soundtrack is poignant and beguiling, the script tries hard to excise some of the more lazy and repetitive dialogue of the book and while some of it is still a little too repetitive for my taste it is also very honest and heartfelt. The story was enough to warm and break my heart, and the ending touched me hugely. The direction is eager as are the performances. Shane West is very charming and Mandy Moore is convincing, but Peter Coyote and Daryl Hannah are the ones who really impress.Overall, while it does try too hard sometimes A Walk to Remember is a decent movie. For other movies based on Sparks' work, I recommend The Notebook and Message in a Bottle over this both of which genuinely resonated with me, but as a film A Walk to Remember is much better than the forced and predictable The Last Song. 7/10 Bethany Cox",7.0,Anonymous,Romance
A personal opinion,"Let's get this straight:It's not an artistically excellent movie. It is not a movie with performances that are going to constitute landmarks in the acting profession. It is not a movie with high-end special effects, storming action or astounding scenery. It is not a story that copes with the deepest causes of adolescent misbehavior / frustration / desperation in the sense of a purely sociological cinematography. It can be characterised light (although it includes sadness as a feeling) and shallow (because in its limited duration the director does not have the convenience of ""looking"" deeper into the characters and - at the same time - include an extensive plot which must be given in order to see a considerable change in Landon's personality)I could go on giving cons about this film but I am sure you can find many in previously posted negative reviews - and many of these reviews, more or less, hit some quite substantial spots about the film. BUT...I gave it 10 out of 10 for a single simple reason: whatever its flaws, it made me cry unashamedly and that's something that not a lot of movies can claim, in all honesty. And despite the sadness it inevitably brings (which is not necessarily bad) it also brings innocence, sweetness, optimism - yes, that too - and faith in life and love and the ability of every single person for change, the ability - and the obligation - to become better. It is a movie-edition of an adorable book, and as always, it cannot be better than the book. However, in its own scope it brings out the message quite clearly, quite beautifully, and quite optimistically. It is a film that I have watched repeatedly and will continue to watch with joy. And melancholy.",10.0,Anonymous,Romance
Hard Not to Feel It,"This is quite formulaic, but it is skillfully done and quite provocative. It is the story of a ""cool"" kid and his relationship with a classmate. Peer pressure causes him and his friends to mistreat her in the cruel way teens often do. She falls for him and then he betrays her. That's where things really start in this film because this young woman has a secret. What evolves in the relationship with the two is pretty real and quite poignant. The peripheral stuff is a little too contrived to work very well. Sometimes, script writers try to wrap all things up in a package. It's not necessary. All in all, it's a very touching film.",7.0,Anonymous,Romance
"A great tear jerker, and Mandy Moore's best film.","What can I say? it's one of my favorite movies. It has everything: love, romance, action, sorrow, and happiness. Shane West and Mandy Moore have wonderful chemistry together, and it shows. It makes you feel like you want to become a better person, and not be so selfish, self-centered, and makes you realize that there more important things in life.Another reason why it's such a great movie is because you see the transition of someone who I guess you can say was ""heading on the wrong path"" given another chance to make something out of themselves, and that makes you feel good. You have to give a lot of credit to the young main actors in the film (Mandy Moore and Shane West) they did a great job for both of them just starting their movie careers only a couple of years ago.Although for anyone that has actually read the book, like myself, you catch a lot of the differences between the book and the movie, and in your own way you can note what could have made the film a lot better than how good it was. This was definitely Mandy Moore's best movie, and think it left a big positive mark for her in having a acting career. I undoubtedly give this movie 4 1/2 stars out 5.",10.0,Anonymous,Romance
