title,content,rating,username,genres
"If you think this is only a love story about a boy and a girl, you're wrong","I'm older now but this movie still gets me. It's a wonderful love story about boy meets girl but the real story is the love between dad and son. Superbly acted by all involved and with a stellar soundtrack, you can watch it ten times and be touched by the story every time. I can't recommend it enough for those days when real life is so negative.",9.0,Anonymous,Fantasy
"a witty, intelligent, charming, sweet film with surprising depth and heart","From the director of 'Love Actually', who is also the writer of 'Four Weddings and a Funeral', 'Bean', 'Notting Hill' and the 'Bridget Jones' films, it sure raises some expectations for this particular fantasy romantic comedy drama film about time travel.Although it shares some similarities with 'The Time Traveler's Wife' (the same female lead actress, Rachel McAdams) and 'Groundhog Day', but rest assured, 'About Time' is a witty, intelligent, charming, sweet film with surprising depth and heart. The script was well written, the direction was great and the casts made a decent performance in their respective roles.The film done a fine job in balancing the comedic and dramatic elements of the story, providing enough laughter and allowing it to flow smoothly without feeling too overly long despite its 2 hours running time.Despite the time-traveling plot device, the story focuses on the father-son relationship of Tim and his dad and the lovely romantic relationship between Tim and Mary, without being too sappy, too overly lovey-dovey or too sentimental. The message or overall theme of the film about appreciating life as if it was your last was subtle and not too forceful or preachy.The selection of songs for the film was appropriate and not too overly done for the emotional scenes.The on-screen chemistry between Rachel and Domhnall are convincing enough for the audience to watch them going through life together. On the other hand, Domhnall and Bill, as father and son, their connection is felt throughout the film and certainly evoke some poignant memories when watching them together.It's one of the best romantic comedies this year had to offer, better than the disappointing 'Time Traveler's Wife'. It's a great date movie that's not to be missed.",8.0,Anonymous,Fantasy
Charming.,"Really surprised by this one;was expecting the run of the mill rom-com, but it is so much more than that; it's about family and the smiles and cries of life. The whole film was filled with charm, wit and had its fair share of heartfelt moments. Time travel is a subject that has been visited many times in the film industry, but this had its own unique touch to it.The film flows really nicely, it oozes class at some points. And the mere thought of having the ability to travel back in time sends your mind into a whirlwind of what-ifs? The acting is superb by all, but Bill Nighy was my favourite as Tim's Dad. When on screen with Domhnall Gleeson (Tim), the connection is very convincing and it was those scenes that i enjoyed the most.A very good film and worthy of a viewing by any standards7.25/10",7.0,Anonymous,Fantasy
Happiness,"So, I don't like romance movies. And it's not because I don't like love stories, it's because I think most romance movies are kinda shallow. Love is a great thing, but, usually, a regular love story, isn't enough for me to enjoy a movie.I've watched this movie, like, a dozen times. It isn't about the love story nor the time travel stuff. It's because of the small things. This movie makes me cry of happiness. It is AMAZING how it makes me think about the people I care about, the people that cares about me, the small happy moments in my life and many other things that, when I notice, are making a tear come down into my cheek.This movie changed me. And it keeps changing me every time I rewatch it. It made me notice that life is amazing, even in it's simpliest moments. It showed me how I should enjoy everyday as if it was my final. It made me a happier person. And for that, this movie is my number one.Hope you enjoy it too.",10.0,Anonymous,Fantasy
"This isn't just a love story, it's a life story.","Every now and then, a film comes along that changes the way I think about life. About Time is that kind of movie. This pleasantly unique film isn't just a love story, it's a life story. It showcases a variety of relationships that go beyond the traditional rom-com stereotypes. The story is uplifting, the acting is excellent and the humor is plentiful. This movie made me want to be a better person, and I'm very glad I saw it.",10.0,Anonymous,Fantasy
"First of all, I hate this movie...","I hate this movie.Why might you ask have I rated it 10/10 then? Because it is possibly the most completely wonderful story I have ever watched.I'm getting on now, I'm a guy in my late 30's who is into action and violence and explosions and big robots smashing things and never before have I seen a movie which moved me to tears.There were elements which reminded me of silly things which I have done in the past and wished I could have done over, moments I wish I could relive and times I wish I could get - even writing this makes me want to cry! Damn you Richard Curtis, you've made me into a sissy with your perfect casting in this bloody beautiful, touching movie!!!I don't usually do sentimentality but this isn't the reason I hate this movie... No I hate this movie because I think it has replaced the Princess Bride as my no. 1! And yes I know that was a soppy romance but it had pirates in it so it was fine!!!See this movie.",10.0,Anonymous,Fantasy
The reason you go to the movies,"Why do you go to the cinema? For me, it is to be moved. To laugh, to cry, to be frightened, to be in awe, to be amused in a gentle way. This movie did this to me in all 5 ways. I am Mr. Ordinary - I have been lucky enough to be born into a loving family, I have wooed a certain number of women, I have married and enjoyed the highs and lows of having my own family, I have lost my parents. I try in my own way to appreciate others and acknowledge that they are trying to make their way in life. This movie defines me. If you miss it this time, don't worry. You'll catch it later. Most people interested in cinema will see it at some stage. My advice is to go and see it now. It's not perfect - it's a bit English, a bit middle class, the story is preposterous. But the sentiment, the message hits the spot. Take one of your significant others. Take a first date. Take a box of tissues. It's the reason you go to the cinema.",10.0,Anonymous,Fantasy
I love it !,"I am not a fan of romance movies. From childhood, I was fascinated by the idea/ posibility/ opportunity of time travel. But this splenid film is more about time travels and love. It is a gorgeous film about family. And it has the best actors ever. It is a film so useful than its seeds grows up , for long time, in the viewer memories and new attitude about life and the others. And that makes it just a great film. For humor, tension, honesty, for the relation father - son, touching in profound senses, for the lovely relation brother - sister, for admirable portrait of small aspects of the every day existence, for dialogues and, sure, for something nameless because you only feel. Short, great at whole.",,Anonymous,Fantasy
Simple yet effective,"One thing you have to do, if you decide watching this: Do not care about inconsistencies. Or trying to make sense of it. There is more wrong with the internal logic that you will be able to stomach (if you go down that road). Of course the actors are able to distract you most of the time (really nice work done there), but there will be times where you're just going to go: Really?Again, try to suppress that urge and dive into the sweetness of this movie. And the fun you can have with it too. It's a romantic comedy with a ""twist"" (if you want to call it that). But time travel issues have brought down other movies too. It never can be completely on the level. So cherish the notion of the fun and hop along for the ride",7.0,Anonymous,Fantasy
I don't get why this movie is so underrated,Best romantic movie I ever seen and one of the best movies in general I really suggest anyone to watch it very very good movie,7.0,Anonymous,Fantasy
Extraordinary movie.,"What an amazing movie. When I see the cast and the title, I immediately thought of a romantic cliché, with full of known plot twists, and et cetera. Rachel McAdams is known for her romantic movies, but this was just more and more than that.About Time was one of the greatest movies I have ever seen. I was immediately captured, and the cast is so brilliant, I believed every single line. Thank you for this film, I am still under the influence of this movie. It is about life, in the most raw way. How life should be lived, and how we should see the world, as it is.Extraordinary movie. Magnificent.",10.0,Anonymous,Fantasy
"Gosh, what a great film","Don't know how I missed this one but I'm so glad I saw it. For some reason. It defines what's important in life, the comings and goings, the way time moves, the inspiration you feel from those you love and those you lost. All the acting is amazing and from a thousand miles you could tell it was Richard Curtis and the combination of some of his best work. If you're single, watch it, if you're married you'll love it and if you have children then don't miss it. It will define you, whoever you are. It left me a wreck, but a very happy one. And tomorrow, I'll be buying a table tennis table.........",10.0,Anonymous,Fantasy
One of the best films I've seen,"I loved this film. I perfect balance of story, humour and sincerity along with excellent acting and a wonderful cast. Even the soundtrack was superb. Not your average time travel movie. Very thought provoking and one which tugged at the old tear ducts in the best way. Some reviews complain about how it is like this or that film. No film is unique, and for sure there are similarities with other Richard Curtis films, but that is all. Plus to be compared to other great films is surely an honour. Forget about all that and enjoy what is a great film which will inspire you in ways you were not expecting. Thoroughly enjoyable and I'm already looking forward to going to see it again. That doesn't happen very often.",10.0,Anonymous,Fantasy
an unexpected delight,"A young man, like many others. Only he can travel in time. This main element of the plot, is something that was difficult to digest throughout the film, since it was not a predominantly sci-fi movie. This struggle was compensated by the successful interjection that even with such ability, life can have difficulties.The main character, did use this to his advantage to win the love of the girl he was so fond of but still he often faced difficult choices as to let things happen or turn the time back to prevent them.One thing that makes this stand out is the somewhat philosophical approach, an approach that is conveyed with simplicity so all can relate.Overall, it is an intelligent film, with emotion and poignancy.",,Anonymous,Fantasy
Enjoyable despite flaws,"Pleasant romantic comedy about a young man (Domhnall Gleeson) who is told by his father (Bill Nighy) on his 21st birthday that all the men in his family possess the ability to travel back in time. He proceeds to use this new gift repeatedly to help him fix mistakes in his life and to help him with his relationship with a pretty girl (Rachel McAdams). As a romantic comedy with some tearjerker moments, it's very enjoyable and nice. As science fiction, it will give you headaches with all the plot holes. So the more unforgiving sci-fi fans out there might want to skip this one. I didn't mind it much at first but it got more complicated as it went along. The plot itself is reminiscent of Groundhog Day and maybe a little bit of Somewhere in Time. Gleeson and McAdams both do very well and have great chemistry. McAdams is especially likable. Gleeson has an appealing ""young Hugh Grant"" quality about him. Bill Nighy steals the show from everybody, as is often the case. It's a good movie if you don't think too hard about it. But I must stress if you are someone who is a stickler for flaws in plots or someone who nitpicks time travel stories, you will really hate this. Everybody who doesn't fit that description should definitely check it out.",6.0,Anonymous,Fantasy
How can people slate this movie???,"I just don't understand how people are not liking this film. It is just perfect!!! Any Richard Curtis movie I rate against Love actually, because to me that is his best film and one of my all time favourites! But About Time for me beats love actually hands down. The film is so well thought out and the cast is just so good! I have seen this movie twice already as it was such a great story. The main focus of the film is about love and family so don't be too worried about the travelling in time, it fits into the film so well and makes some great comic moments when things go wrong. Don't listen to the haters, this really is a fabulous movie! It is a sad thought though that this could be Richard's last film he is going to direct, I hope not, but if it is, what a way to end his brilliant films!Well done Richard Curtis! 10/10",10.0,Anonymous,Fantasy
In my top 10,"I saw this film when it came out at cinemas and I just have watched it at least 10 times since.
It's certainly in my top 10 as one of my favourite films. The relationship between the father and son is the relationship I had with my Dad, and watching this film is almost like speaking with him.It won't be everyone's cup of tea but I thought it was so well written, witty and just lovely.",10.0,Anonymous,Fantasy
Thought-provoking feel-good fun,"An ordinary 21 year old man is shocked to discover that he has the ability to travel through time, a concept which, granted, is not new to the world of cinema. Although this unusual ability is naturally the main theme of the film, the plot still engages the viewer with the struggles of every day life including marriage, finding a job, having children as well as a few family issues to keep the plot fresh. The intriguing plot complements the few time-travelling excursions and keeps the idea crisp.The plot is thought provoking and the script is kept light, with several laugh-out-loud moments which can be all-too rare in this genre.Domhnall Gleeson gives an extremely high quality performance in his lead role and is supported well by the highly experienced rom-com lead Rachel McAdams and an ever-amusing Bill Nighy, who provides much of the comic relief in the film.The plot could perhaps be accused of moving slowly at times; however this only serves to heighten the drama of the intriguing plot twists.",7.0,Anonymous,Fantasy
Wow. Wow. Wow.,"I don't know how we missed this movie, but my husband found it on HBO, and we watched it because we had an open night. First of all, I had no idea it was a Richard Curtis film. I'm such a huge fan of his. I love how he blends comedy, drama, romance, and a really deep philosophical message about life.And second, I actually think this is my most favorite of his films. The film had me from the opening shot. And I remember thinking as I'm watching the first few minutes, that this is some of the best writing I've ever heard. And the performance by Domhall Gleeson is star-turning. I'm so used to seeing him as a villain in ""Star Wars"" that he completely caught me off guard with his endearing, honest portrayal.I could go on-and-on. Great story. Great end message. Great acting. Great music. Great film.I wish I could go back in time and see it for the first time again and again.",10.0,Anonymous,Fantasy
Very sweet,"Obviously very far fetched, however the plot is very charming. The harmony of the characters is infectious. One of my favorite romantic themed movies ever. I love Tim (Gleeson) and Mary (McAdams) as a couple and cheer for them the whole way through.
Fantastic score, and the supporting cast is stellar.
It's a sap fest, so make sure your glucose levels are on par before watching. 😊",10.0,Anonymous,Fantasy
