title,content,rating,username,genres
Maybe the formula needs invigorating...,"I attended the Cast and Crew screening on Sunday, in Leicester Square, with high hopes for this film as it's without doubt the most exciting job I've had. This was my first feature experience, and working for Tim Burton was a hell of a way to start.But, even as someone with a lot of time for his films, and a pre-existing bias, I couldn't really connect with this. The cast acquit themselves well, especially considering the noted difficulty in emoting to a tennis ball on a stick, but all their tics and quirks seem to be masking a void at the centre of what should be a free-floating, evocative trip. Sure, it's weird looking, but we've seen it before, and back then in films like Edward Scissorhands it had a sense of purpose. Now we're left exploring a CGI wonderland that seems to be without a great deal of wonder. The book revels in its bizarre environs, absurd dialogue and whimsical characters. This film grounds them, drains them of that mystery and leaves us with a colourful but forgettable retread. It seems intent on driving us to a narrative conclusion that few people will have had much stake in through its running time, simply because we're not giving much to care for.With a source material so familiar, even to those whose knowledge is second hand references, there needs to be a degree of innovation (as in Svenkmejer's dark stop-motion version, or the co-opting of Terry Gilliam in to his ""Tideland"" narrative), or else a studious and inspired adaptation that completely returns to Lewis Carroll. What we end up with is a mid-point that fails to get to grips with what enchants people about the Alice story, and another chance to see a beautiful waif walk around twisted, quasi-Gothic landscapes to a score by Danny Elfman.Not that this isn't an enjoyable experience in itself, and as seen in the vast Screen 1 at the Empire it is at times breathtakingly pretty. It's just inessential, and while it may be unfair to expect a classic from a favoured filmmaker every time out, when they tackle something with the pedigree and history of Alice In Wonderland you can't help but hope for something special. And that's the problem, that Tim Burton, while he is still making decent films, has been a long way off special for some time now.6/10 (if they gave half stars it'd be 6.5), but that doesn't mean it's a bad film. It's possible that my grade is affected by high expectations and lost potential. If you have kids, I'm sure it'll be better than 90% of the dross that passes for family films now. At least there is some artistry involved, and while he might not be at his best I'll still always pay to see a Tim Burton film (although I got this one for free...)",6.0,Anonymous,Fantasy
"some stunning visuals, clumsy writing","It is still worth the high price of the 3-D admission to see some of the amazing animation and design, but the writing is extremely boring and clumsy, and the performances cannot save it. Too many liberties were taken with the originals here, and in no way improve upon them, it only barely resembles either of Carroll's books in theme and some specific scenes. There are some ""Disney moments"" that literally set off a gag reflex as well.The animation is quite stunning and wonderful though, as is the costuming and set design (in so much as there were sets and not just green screens, I'm sure SOME actual props were used). There are some clever elements that owe only to good visual design and direction I'm sure, as the only other clever bits in the dialogue were the parts directly lifted from the originals.",5.0,Anonymous,Fantasy
Nothing Wonderful,"Adding a little bit of a background story and a few more characters to Alice's adventures didn't do as much as i thought it would for the story. Truthfully i wanted to love this movie, I'm a huge Tim Burton/ Johnny Depp fan. But this just didn't do it for me. I came out of the theater wondering if it were just the mediocre script or the director who had failed to meet my expectations. The best part of this movie is probably Johnny Depps portrayal of the mad hatter who truly is mad. However, Mia Wasikowska presents Alice in a dull manner that had me checking my watch every ten or fifteen minutes. Overall this film isn't awful, but at the same time its no masterpiece, for an interesting film to look at I suppose this would be an alright choice, however if you want a great story and compelling acting, you might want to check out something else, because this isn't the movie you're looking for.",6.0,Anonymous,Fantasy
"Fantasy , imagination and adventures is this peculiar version based on Lewis Carrol tale","Tim Burton film version of Lewis Carroll's classic proves the special slickness of director to create weird worlds and strange characters . Alice (Mia Wasikowska)is 19-year-old and doesn't remember nothing about her former visit on Wonderland happened 10 years ago . Then she returns to the magical world from her childhood adventure, where she reunites with her old friends as Mad Hatter (Jhnny Depp), White Rabbit (voice of Michael Sheen), Chesshie Cat (Stephen Fry), Blue Caterpillar (voice of Alan Rickman) and learns of her true destiny: to end the Red Queen's (Helena Bonham Carter)reign of terror who helped by Knave of Hearts (Crispin Glover) is fighting her sister White Queen (Anne Hathaway)for the kingdom.Moving rendering of Lewis Carroll classic with gimmick of blending live action and computer generator puppets and 3D animation . Riveting for its casting , but overall , roller-coaster spectacle. Most of the charm and wit remains from original story in this particular version . It results to be an amusing of somewhat aloof , storytelling of children classic with a magnificent three-dimensional visual effects team at its best bring to life the following : the Cheshire cat , Blue caterpillar, the Queen of hearts, March Hare , Tweedledum and many others. Breathtaking array of technical effects with impressive set pieces illuminate the Alice's full-blown adventures. The amazing plot is pure entertainment and with interesting screenplay based on characters created by Lewis Carroll , though here Alice acts as a heroine who combats dragons , monsters and of course the evil Queen of Hearts . Episodic characters as Mad Hatter and Queen of Hearts are given major boost by strong personalities from Johnny Depp and Helena Bonham Carter . Spectacular final battle full of action , groundbreaking frames and fabulous fights . Overwhelming production design , though full of digital effects with impressive scenes and portentous images . Stirring musical score fitting perfectly to story by Danny Elfman and colorful cinematography by Dariusz Wolski . The motion picture lavishly financed by veteran producer Daryl F. Zanuck is originally directed by Tim Burton in his exceptional style. Rating : 6,5 acceptable rendition .Other take on based on this vintage tale are the following : 1933 by Norman Z McLeod with Gary Cooper , Edward Everett Horton and Jack Oakie ; 1950 by Dallas Bower with Carol Marsh , Pamela Brown and Felix Aylmer ; 1951 by Walt Disney directed by Clyde Geronimi, Hamilton Luke with voices of Sterling Holloway , Ed Wynn and Richard Haydn ; 1972 by William Sterling with Fiona Fullerton, Peter Sellers , Dudley Moore and Michael Crawford and TV version with Tina Majorino and Woopy Goldberg .",6.0,Anonymous,Fantasy
Not what you would expect from a Johnny Deep picture,"When I decided to pay a premium price for a 3D blockbuster I expected a memorable picture. Besides the fact that Johnny Deep plays a great role as usual and H.B. Carter also has a nice performance the overall plot is dull and static. I believe that because they had to ""improvise"" and write a new story continuing the original one, the quality of the screenplay and plot decreased significantly. Although there are some funny moments and well written lines for the main characters, many of the others pass by unnoticed. Overall it was a nice, entertaining flick with average 3D effects, way below Avatar, and a simple,uncomplicated plot. Also it was rather short since I expected 120 minutes at least and not 100. Finally I would this movie performed below my expectations. A 7/10 would be a fair grade in my honest opinion.Best, Stefan",7.0,Anonymous,Fantasy
Has anyone seen white rabbit with clock here?,"After watching this movie I don't want to live in this world anymore. I love Tim Burton's movies and this one wasn't disappointment. The cast was great. Everyone played, they weren't just grimacing. Helena Bonham Carter was great as always. Mad hatter was something, his lines were witty and his dance was the funniest thing ever. Every character is special. I liked this Alice, she's strong, smart and modern. And every time I saw the cat I wanted to be there to hug it. I was worried that Disney would spoil this movie, but I was wrong this is absolutely Burton's movie. The landscapes will make you forget about everything you saw before. Atwood's costumes are beautiful, they fit the characters same is the make-up. If you like fairy tales don't miss Alice In Wonderland.",10.0,Anonymous,Fantasy
Treading water in Wonderland,"Sometimes I think that I should like Tim Burton movies more than I do. Don't get me wrong, the man has made some excellent films, such as the masterful Ed Wood. But all too often, despite an agreeable tendency towards visual flamboyance, I leave his films feeling somewhat underwhelmed. Alice in Wonderland is a case in point. It's a movie where CGI effects rule the day. But the trouble is that the true weirdness that is at the heart of this story is not captured at all with all the computer-generated imagery on-screen. Sure it's very efficient and well-designed but like CGI in general, it's far too polished to really strike a chord and convince. There is a distinct lack of wonder in this Wonderland. The otherworldly weirdness is dissipated too by the use of overly-familiar voices to give life to the various denizens of this world, we are left thinking 'Oh that's Stephen Fry, hey isn't that Alan Rickman, I'm sure that's Christopher Lee and isn't that the bloke from Little Britain, etc'. It consistently takes us out of the movie and grounds the characters in a way that is just counter-productive. We want weirdness from an Alice in Wonderland film, not slick CGI and famous voice-over actors.There is also a dangerously cosy predictability at play here too. Tim Burton, Johnny Depp, Danny Elfman – they say familiarity breeds contempt, well that's a bit strong but it IS seriously lacking in surprises and you cannot help think that all three individually talented men could do with taking a break from each other for the good of their careers. Depp's Mad Hatter is pretty uninspired by his standards, while Burton's visuals and Elfman's music are nice but ultimately completely forgettable. I found it very difficult to care for any of the characters in this film, and that is never a good thing. It also meant that the conclusion came across as deeply trite, as we have been given nothing to empathize with. We don't know or have any interest in these characters, so when Alice goes around her extended family one by one imparting her new knowledge onto them, it means nothing. It also doesn't help that the journey to Wonderland has made absolutely no difference at all to the title character's state of mind – at the beginning she does not want to get married to the upper-class chump and at the end she does not want to get married to the upper-class chump. So you are left wondering what exactly was the point?I saw this in 3D and if there is one thing that this film has taught me it's that I am done with this 'new and improved' technology. I sensed it was a gimmick even before I watched Avatar; now I am certain. A bad film is a bad film, and no amount of extra visual depth is going to change that one iota. It's all surface-veneer, and really that's this movie's ultimate problem, there is nothing of interest within the CGI/3D. A great shame, as the source material is undeniably compelling.I realize that I am almost done here but I have not even mentioned the worst thing about the film. What was it? It was when the Mad Hatter and then, subsequently, Alice do a truly cringe-worthy little dance near the end of the film. I couldn't believe what I was seeing. I half-expected Britain's Got Talent winners Diversity to pop up in a cameo appearance at this stage and join in with some urban street dancing manoeuvres. That didn't happen. And that is, at least, one saving grace.",3.0,Anonymous,Fantasy
"Wonderful, but only a visual masterpiece.","Disney presents Tim Burton's Alice in WonderlandSTARRINGJohnny Depp... as Willy Wonka, if Willy Wonka hadn't been Michael JacksonMia Wasikowska... as a winsome young lady Alice who discovers her inner fortitudeCrispin Glover... who doesn't dance, unfortunatelyHelena Bonham-Carter... with a big headMatt Lucas... as two Matt LucasesStephen Fry... who does actual voice acting and doesn't just read his linesPaul Whitehouse... who against all my expectations, still does know how to be very funnyAlan Rickman... who nearly steals the movie, just by doing what he does bestChristopher Lee... who actually steals the movie with just two linesANDBabs Mitchell-Windsor... playing a character her actual, real sizeI can see why the they've not really wanted to call the film a proper sequel. It is that, being the story of a nineteen year old Alice who returns to barely-remembered Wonderland, but it also lifts dialogue and scenes from the original books. The story is your standard journey, emotionally, but all set in a very Tim Burton Wonderland.Which, of course, looks astounding. Wonderland is an amazing place, often colourful, but equally often ravaged and desolate. It's a treat for the eyes, with the imagination and design shining through the technology. (It's very, very good, but strange things happen if you look somewhere the 3D doesn't want you to look and there's the odd moment of strangely stiff animation, especially when human(-like) characters are completely CGI-ed up.)Unexpectedly, it sometimes feels like one of the Narnia films (though makes those movies look like accountant-led spreadsheets that have been printed out on toilet paper and left out in the rain), but mainly it's exactly what you'd expect from Tim Burton's Alice in Wonderland. It's a great big treat of a movie, to be sure. Given that it's Tim Burton working with Disney, it's often gruesome and scary, but not too much. It makes you laugh at times, it pins you to the back of your seat at others, it gets you leaning forward trying to drink in every detail of the place, but it's not ever actually surprising. You know what's up, you know where things are going and you're never shocked. (Maybe once, in a quiet, horrible scene that stands out, even amongst the rest.) Even if you've not seen a single still photo or second of footage, if you know Wonderland and you know Tim Burton, you can picture it yourself effortlessly.So much of it is still in my head this morning, but it's all visual. There's no heartache or sense of triumph that lingers after a great story. Funny as it is, there's only one line I'm ever likely to quote (a single word). I just have these amazing images left in my brain. In that sense, then, it's appropriately dream-like.I doubt I'll go back and watch it again at the cinema, but I'm most definitely getting the Blu- Ray when it comes out next week, or whenever Disney decided they should bring it out.If it feels like I've damned it with faint praise, I don't intend to. It's all pretty wonderful for the two hours it takes to speed past you, but I just want to make it clear - nothing that goes into your ears or your heart ever quite matches what goes into your eyes.",8.0,Anonymous,Fantasy
"Pure, undemanding, trippy wonderment.","On its release last year I couldn't find much to fault Avatar on. But after watching Alice – the first serious CGI-dominated 3D film since James Cameron's immersive motion picture – there's now a glaring issue with it: the bar was set waaay too high. Previously the computer generated effects in Alice would have knocked your socks off, however in a post-Avatar world it significantly underwhelms. Not an overly fair statement for a film which has consistently beautiful and detailed images – take the awe-inspiring climactic clash which is set on a chess board-esquire battlefield for example – but you can thank Cameron for that. Once you get past the fact that Burton's creation does not aim to achieve realistic environments or creatures and that the actors will never appear to be anywhere other than in front of a green screen, you are in good stead to enjoy the colourful animation for what it was intended for: pure, undemanding, trippy wonderment.It's a damn shame then that this meticulously crafted, psychedelic visual-journey isn't matched with a screenplay that was given just as much effort. The inbuilt metaphors of the Alice tale are still there however writer Linda Woolverton adds very little in the way of character development or plot undercurrents, seemingly intent on relying on the visual effects wizards and actors to contribute the extra layers. Her biggest missed opportunity is further exploration into the Mad Hatter or even the White Queen – both of whom are half-baked caricatures – with the Hatter coming off as a mere chance for Depp to be quirky, rather than the cleverly-written character with an interesting back story that he should have been. To Woolverton's credit though, she did manage to concoct some deliriously amusing dialogue for the Hatter and the Red Queen; a small highlight of her script which partially redeems her lack-lustre attempts elsewhere.Kudos to Depp, then, that he still generates another memorable, albeit this time one-dimensional, on screen persona. He provides his Hatter with plenty of lovable eccentricities and rough edges, all the more noteworthy considering the non-existent depth to which the material affords him. He'll certainly be a hit with the kids. The rest of the cast are unpredictable in their output: Aussie newcomer Wasikowska overdoes it as the titular protagonist, Hathaway's saccharine White Queen grates on the nerves and the opaque Glover is unbearably boring as Stayne; whilst Carter's malevolent Red Queen is a hoot, Lucas induces a laugh or two as Tweedledee and Tweedledum, Rickman oozes noble charisma as the Blue Caterpillar and Paul Whitehouse's March Hare steals every single scene he is in.Depp's usual strong performance and Burton's knack for striking visuals narrowly prevail over a shallow script and an unconvincing leading lady.3 out of 5 (1 - Rubbish, 2 - Ordinary, 3 - Good, 4 - Excellent, 5 - Classic)",6.0,Anonymous,Fantasy
Sylvie and Bruno Continued,"I can usually find something to engage with and love in any film. It is a sort of challenge and promise to myself to do so -- as a choice in building a life. But this movie was a nadir in my adventure.The Alice stories are special, special absolutely and special to me.For many people, the stories are simply amusing nonsense for children, something to be fuzzily remembered in the same way as, say, Peter Pan or a Grimm's tale. But it is anything but. Carroll advanced our ability to speak to ourselves when he polished the story and sent it to us.One can hardly expect someone like Burton, or anyone making a big budget Disney- distributed project to understand the material. But if you cannot understand the soul of what you are working with, you cannot leverage or extend it. You will need to count on your own talents instead. But Burton's strength is simple: the imposition of disordered fantasy on relatively ordered reality. He has exhausted this and was finished as an artist long ago.By any measure other than color intensity, this is a failure as a movie. When Depp isn't given a complex structure to support, he can at least be amusing. Here, we have not even that.What is normally considered nonsense sequences in the books are anything but. Dodgson was the foremost theory of logic in Europe at the time. Based in Oxford, he created the story for the child of the Dean, the creator of the then great Greek lexicon. Dodgson/Carroll was a master of the inadequacies of logic within the medium of everyday language.All the ""nonsense"" sections are really a catalog of all the strange ways in which logic breaks when it encounters the way we linguistically form thoughts. Many of these parody assumptions Dean Liddell made in his understanding of Greek, mistakes that have saddled us with flawed scholarship on Aristotle and his logic. They are great, great fun: puzzles that even a 6 year old can laugh about.This is where playful narrative originates. Only Shakespeare, Joyce and Lennon-NcCartney have had similar influence on our everyday thought. Karl Rove, for example, stands on the shoulders of Charles Dodgson's trickery.None of this is conveyed. None, even though the Marx brothers made this safe territory for film humor.Even the overall structure of the Alice stories is cool. Dodgson was not a pedophile, nor a drug addict, but he was something more dangerous to his soul. He was a charter member of Oxford's Psychical Society and a student of the inventor of mystical tarot, the self-named Court de Gebelin. The structure of the Alice stories, based on this, is our first structurally folded literature.His ordination ruined by his guilt about this, he spent the remainder of his life writing a C S Lewis-like Christian allegory, Sylvie and Bruno to make amends. It was every bit as tepid and worthless as this. Every bit as wrong, as offensive to reality.The movie also mixes in Jabberwocky. That was a poem written years earlier as a teen, to amuse his crotchety parson father, someone obsessed with the perversion of noble Saxon words by effete French. The poem is about the battle between true (Saxon) language and logical language.(This comment is on the two-dimensional exhibition. I decided that the effects would be beowulf-like and cheaply distracting. I think I was right.)Ted's Evaluation -- 1 of 3: You can find something better to do with this part of your life.",,Anonymous,Fantasy
