title,content,rating,username,genres
Still holds up better than most horror movies of today's age,I just came around to watch the original Alien on Netflix and I have to say that I was positively surprised that a horror movie from the '70s is this suspenseful and effective.The characters actually behave like thinking human beings. The soundtrack is great and the direction is superb. Especially when comparing this movie to the modern movies with similar stories that borrowed many of the things that are working well here.A classic every horror and overall movie fan should watch.,8.0,Anonymous,"Horror, Sci-Fi"
"""Alien"" is not just the monster, it's the atmosphere and the way you feel!","In ""Alien"" we follow a seven man crew en-route to earth on board the huge space freighter ""Nostromo"". The crew is in cryosleep, but the on board computer interrupts the journey when a foreign radio signal is picked up. It originates from an uninhabited planet and the crew lands to investigate. There they make contact with an alien life-form...What makes Alien so great is the constant feel of uneasiness. Right from the beginning you have a feeling that something is wrong. The crew is not particularly friendly towards each other, and you truly feel all the in-group tension. The ship itself is a huge worn out industrial-style maze of halls and corridors, and it feels more like a prison than a place to live. It is as if not only the alien but also the ship itself is against the humans. The Alien itself is the scariest monster in history because it is a ruthless, soul-less parasite completely devoid of any human or civilized traits. The design of the monster is a stroke of genius. Sure it has a humanoid form, but it has no facial traits or anything else which could give away emotions or intentions. Its actions reveals no weaknesses nor civilized intelligence. The Alien is more or less the opposite of everything human and civilized, plus the creature is more well-adapted to the inhumane interior of the ship than the humans who build it. To sum up, you then have a setting where the humans are caught in a web of in-group tensions, an inhospitable ship and the perfect killer which thrives in the ships intestines. You almost get the feel that the humans are the ones who are alienated to each other and to their own ship.Ridley Scott tells the story with a perfectly synchronized blend of visuals and sounds.The actors do a superb job, portraying their characters in a subtle but very realistic way. The seven man crew is not a bunch of Hollywood heroes. They are ordinary people with strengths and weaknesses, likes and dislikes. In this way they all seem so fragile when confronted with the enemy.As mentioned the ship is very claustrophobic and Ridley Scott adds to the eeriness by using camera movement, lights and shadows in an effective way. The living quarters are bright and should be comfortable to the crew, but there is something sterile about it all. The rest of the ship is basically a huge basement.The music by Jerry Goldsmith underlines the eeriness so well, and the movie wouldn't have worked without his score. Combined with the sounds of the ship it all adds to the uneasiness.This is not a story about heroic people who boldly teams up against evil. It's a story about ordinary people facing true fear, which is the fear without a face. The fear we can't understand and can't negotiate with, because its only goal is to survive on the expense of us. It's a story where some people bravely fight back whilst others are destroyed by the terror. It's a story where people a killed in a completely random way. There is no higher-order justice behind who gets to live and who dies. All seven characters are just part of a race where the fittest - not necessarily the most righteous - will prevail, and all seven characters start the race on an equal footing. None of them are true heroes, and none of them are true villains.All the above makes Alien so great as a horror movie. The terror isn't just the Alien itself, it's the entire atmosphere which gets so effectively under your skin, that you just can't shrug it off after the end credits like you can with so many other Hollywood horror movies. The title ""Alien"" doesn't just refer to the monster, it is the theme of the movie and it is the feeling you have during and after the movie. 9/10",9.0,Anonymous,"Horror, Sci-Fi"
The facehugger scared me as a kid and i still find em creepy.,"Everything has already been said about this great film n there seems to be little left to say but lemme contribute a lil more by praising how good this film is.I first saw this in the late 80s on a vhs n as a kid i found it to be a bit slow but was shaken by the chestburster scene.The facehugger terrified me as a kid.Revisited all the four parts in the early 2k on dvds which i own.Revisited this part again few days back as i am on Alien movie marathon n very impatient to check out Prometheus n Covenant.I feel that this part is inspired by Bava's Planet of the Vampires.The ruins with the skeletal remains, the design and shots of the ship itself does have the deja vu effect.This one is atmospheric n dark, gory at times, it has enuff stuff for sci fi fans, it also has slasher n war like tone.But the best thing is the feminist tone where in this part the women are not being cast as the helpless victims.",9.0,Anonymous,"Horror, Sci-Fi"
A Timeless Science Fiction Masterpiece,"'Alien' is one of those special films that have aged very, very well. Even now, after nearly 40 years, everything about it just feels fresh. The restrained, natural performances by the fantastic cast; the outstanding production design; the beautiful, ominous score by Jerry Goldsmith; the realistic, ""lived-in"" look of space-freighter Nostromo's interior: it actually feels less dated than many science fiction films that were made much later, which is quite an astonishing feat. Even the (what now must be considered) ""retro"" technology inside the ship doesn't necessarily have to be viewed as anachronistic in the face of our obvious recent advancements, because it's the most simple technological equipment that is usually robust enough to survive the longest under harsh conditions (like the extreme temperatures in space).I feel it's especially hard for science fiction films to stand the test of time - which is kind of inherent to the genre I suppose - and 'Alien' simply remains an outstanding achievement in that regard. It's a testament to the talent of everyone involved, but especially to the vision of director Ridley Scott. The film was crafted with so much love for every little detail, and the designs by Moebius, Chris Foss - and in particular the Lovecraftian horrors unleashed by Swiss surrealist H.R. Giger - are among the best and most iconic in any science fiction film. This isn't just an outstanding, timeless piece of entertainment: it's a work of art. 10 Stars out of 10.Favorite films: IMDb.com/list/mkjOKvqlSBs/Lesser-Known Masterpieces: imdb.com/list/ls070242495/",10.0,Anonymous,"Horror, Sci-Fi"
Holds up as a classic.,"Alien remains one of the most original, terrifying movies of all time. Compare this with the lame sci fi horrors we get nowadays, 1979, and it still packs a huge punch.Fantastically atmospheric, chilling and terrifying even now, the story holds up incredibly well. The special effects were incredible for the time, no wonder the franchise is still in demand, though sadly nowhere near the quality of this one or its amazing successor.The music is fantastic, the direction is incredible, and as for the Alien itself, way ahead of its time. Weaver is phenomenal, but arguably she's upstaged by the creature.You can't help but remember scenes days after watching it, it definitely has the chill factor.A cinematic masterpiece. 10/10",10.0,Anonymous,"Horror, Sci-Fi"
In space no one can hear you scream,"First seen in 1979 , I was 15 Mum dropped me off. Seen once every five years since.Seems to get better and better as time goes on, maybe because as I mature, I appreciate the fine acting details or is it that there are fewer and fewer films to compare Alien to. Alien is a masterpiece in so many areas (in no order); Editing, photography, acting, direction, art, music, sound, script. In fact Alien ought to be mandatory viewing for every film director whether budding or currently or even as a refresher for well seasoned film makers.It's so clear Ridley was able to make the film he wanted to make without interference from non creative parties.",10.0,Anonymous,"Horror, Sci-Fi"
After 40 years it still scares the hell out of me,"When I see reviewers ratings less than five I have shake my head in disbelief. Alien set a standard that has yet to be equaled let alone surpassed. I watched it on the wide screen when it was first released, and over a dozen times since. And even though I know what's coming, the hairs on the back of my neck still stand up. What a brilliant work of theatrical genius.",10.0,Anonymous,"Horror, Sci-Fi"
A horror classic,"What makes Alien great is it's synchronization of sound, visuals and showing great attention to detail. Not only that but Alien has an unnerving atmosphere right from the beginning. We're introduced to a crew who is not exactly too friendly to each other add to that the ship. It's huge, and with its halls and corridors, it feels almost like a maze.Enter Alien, a ruthless parasite with humanoid form yet it lacks any civilised traits of a human. It does have humanoid form but it doesn't give a single emotion. The design of the monster is what's the most terrifying (and it still holds up despite Alien being released in 1979). The creature is also better adapted to the ship's interior making a big part of the movie feel like a sinister game of cat and mouse.What I particularly like is how the characters are written. They are not Hollywoodized heroes, in fact, there is no hero. They're just people which makes them even more threatened. The performances are all equally realistic and do deliver. Kudos to director Ridley Scott for using crafty cinematography and combining it with shadows and lights in an eerie way. The music is unrelenting and combined with Scott's cinematography, sound and visuals it adds to the eeriness.The plot is also not another Hollywoodized cliché. It's more like ""survival of the fittest"". The characters battle true terror as they race to survive or outlive each other, they're all just a part of a race to see who will prevail and who will die.Final Rating: 10/10",10.0,Anonymous,"Horror, Sci-Fi"
Structural perfection matched only by its hostility,"Director Ridley Scott's well-honed talents of pacing and editing create a tense atmosphere that superbly conveys dread and fear of an unknown, unseen evil entity.  In 1979, the technology didn't exist to generate a computer image of a Being from another world, and thank God, because this film would have sucked just like all these post-Alien creature features do.  Everyone who loves this movie knows what I'm talking about.  Ridley Scott had to be extremely careful not to show a full shot of the Alien, except in very brief scenes, and not to reveal exactly how it moves, because then we would see that it is just some tall, skinny guy in a rubber suit.  Nowadays, some computer guy would whip up a really scary-looking, but nevertheless FAKE-looking (yes, computer guys, we can tell) Alien, and the director would not have to even think about trying to breathe life into H.R. Giger's hallucinations to make a successful picture.The dark, cold beauty of this film will never be equaled.",,Anonymous,"Horror, Sci-Fi"
"For me, it doesn't get any better than this","I'm often amazed that people prefer Aliens to the original, I guess it's down to personal taste but in my opinion the first film is far and away the best. It's the way Ripley's whole world just unravels gradually from the get go, the pacing is sublime and it simply doesn't have to rely on tons of action set pieces like the second film does. My assumption is some people find it too slow but everytime I watch it I just marvel at every scene, the effort that went into every detail. The true mark of what an achievement this film was for the time is also how nothing appears dated even now in HD or in 4k, there are countless instances in the second film where it's blatantly obvious scale models have been used and it always bugs me. You have to remember this was made when Christopher Reeve's Superman was about which vfx's look terrible in comparison, blows your mind doesn't it?! Don't get me wrong I enjoy all of the Alien franchise movies, they do gradually worsen in sequence apart from Prometheus which is joint second place for me. I won't go into script or acting, needless to say both are top drawer and feel completely authentic and natural.A masterpiece! Simple as that.",10.0,Anonymous,"Horror, Sci-Fi"
