title,content,rating,username,genres
American Psycho is not a story about murder,"The film looks to examine our own distorted points of view or detachments from reality. Like Patrick Bateman, we may be trapped craving the approval of others and denying ourselves the ability to distinguish fantasies from our reality.
People are obsessed with how the others perceive them likewise in American Psycho Bateman achieves no catharsis, he's trapped in his own personal hell because he requires the recognition of the other yuppies to confirm his identity as a murderer. The irony is that Feynman's real crimes may as well be fantasy. The lack of acknowledging his reality drives Bateman further into madness and existential despairIt's about yuppie culture, the melding of identity, and the craving to stand out from a superficial homogenized society. Bateman's interpretation of the world is skewed by his inflated ego and his evident psychosis as well as presumably multiple mental illnesses. Bateman is a killer, but still, he's not the killer he thinks he is, as he goes insane he can't distinguish reality from fantasy. His over the top chainsaw massacre style killings may be an aestheticized elaboration on partial truths, ultimately the film doesn't care. The more significant point of the movies absurdity is that within his society Batemans not the psycho at all he's just one more normal guy amidst a horde of uncaring detached from reality, secretly discontented American psychos. Bateman is surrounded by like-minded superficial people obsessed with all the wrong things like making impossible reservations at Dorsia and the tasteful thickness of their business cards. Within the homogenized upper-class elite identities blur as everyone strives after a generic yet highly specific image of success.Everyone we see in Bateman's company appears to be the same person. It's no wonder that identity is mistaken continuously and swapped throughout the film. The lawyer has mistaken Paul Allen or perhaps Batman has killed the wrong person becomes not only plausible but also an expression of the general confusion resulting from the loss of individual identity.Meanwhile, although Batman tries like the rest to fit in, the emptiness of his lifestyle also fuels a craving to stand out. To escape the conformity that he on some level despises Batman leads a second life as a killer, where he's unfettered from the bounds of society. Although he actually wants to be seen as a murderer as someone different from the rest of society Bateman is denied even the satisfaction by every self-absorbed yuppie he meets. When he's seen stuffing a body into the trunk of a car, the witness is only interested in the bag.This is a great movie. Look for the subtext under the dialogue.",9.0,Anonymous,"Comedy, Crime"
Cruelty and Christian Bale,"A very funny horror flick. A worthy companion piece to its literary roots. A phenomenal, fearless performance by Christian Bale that, in a way, cleared up my questions about this versatile British actor. I could never quite warm up to him. Not even in ""Little Women"". Now, Bale as Patrick Bateman, revealed the reason. It is the cruelty around his mouth. His smiles are chilling and they work to perfection in this, his yuppie modern monster.His actions have the pristine shallowness of his business cards and the disgusting taste of his self awareness. You don't feel sorry for him, the way one did for Norman Bates. No, his character is unredeemable. His rough sex with two women while he rides one of them looking at himself in the mirror is one of the most disturbing film moments I've ever seen. I wonder if Bale will ever be able to play goodness, convincingly.",7.0,Anonymous,"Comedy, Crime"
You can always look thinner,"'American Psycho' is NOT a slasher movie. It is a depiction, a fantasy if you will, of the life of modern man and his place in society.Nothing is enough. Money, sex, social stature, there is always someone else who has more and everyone else expect from you to try harder for even more.This movie is about eliminating competition the easy way. By killing your opponents. By eating your sexual partners. By destroying everyone around you.'American Psycho' retains the balance between this psychotic state, a chilling thriller and a very funny movie.The scenes that show Patrick playing music for his guests are absolutely hilarious, as he comments very seriously on records by artists such as Whitney Houston, Phil Collins and Huey Lewis & the News. The funny thing is that he chooses the most commercial or sold out records of these artists, to explain how much better they are compared to their previous, more artistic work. Another message of the state of the receivers of commercial art.You can analyze 'American Psycho' for hours. It can be perceived both as a deep and a fun movie. Even if you don't like the story, you will love Christian Bale's excellent performance.Enjoy.10/10",10.0,Anonymous,"Comedy, Crime"
Two Chainsaws Up,"Without a doubt the most underrated movie of the past decade, ""American Psycho"" is a piece of American cinema that shouldn't be missed by anyone, regardless if they do not like the violence (which does have its reasons).Christian Bale gives a flawless performance as the troubled, deep down wannabe Yuppie who has psychotic, violent impulses. This is true acting here, folks. Not phoned in Tom Crooze acting. Some people object to Patrick Bateman narrating the movie [always a weak sign in a movie] and not letting us figure his motives out on our own, but if you watch closely, Bale shows us Bateman's vulnerablity through every minute of every day of his life. The movie is at times hysterical, as his character uses dominant Alpha Monkey behavior around the opposite sex. But again, it's all for good reason.If not for Bale's performance, see it for the knife twisting satire of the '80's -- from the clothes, to the hairdos, to the music [I'll never be able to hear Phil Collins in the same way again!] The production value is rich in '80's nostalgia from the ""Black and White"" set designs to the enormous cellphones [how could we forget those?].This is a movie that major studios are too afraid to touch. This is film making. Remember film making? When films took you on a ride in someone's life and you would walk away with a piece of their mind? American Psycho doesn't have any real morals or answers, but it shows the deep psychological insecurities some men suffer everyday. Oh yeah, and it was directed by a woman, so all you feminists shut up!",,Anonymous,"Comedy, Crime"
A film that teeters between Miracles and Mania,"Having just finished American Psycho, I came to IMDB to get some clarification on the ending. And it seems I'm not the only one left vaguely adrift by the ambiguous ending.I've browsed some of your comments, not all 400+ to be sure. But some of them. A good sampling I think, and this movie has three distinct cheering sections.Those who consider it a masterpiece, those who consider it unredeemable, boring trash, and by far the largest segment, those who see it as a flawed masterpiece.I fall into the latter category. And no, I did not read the book. But as others have stated any movie that requires you to read the book, to ""get"" the movie, is ultimately a failure as a movie.So my review is based solely on the merits of the film. And contrary to what some have said, the film does have many merits. I found it brilliantly directed, and a superbly acted examination of excess, and boredom, and evil. An examination, satire, critique of a time, and type of thinking.Even before seeing the ending, I thought how much bateman lives in people. Found myself thinking, an examination of bateman is an examination of men by the name of Reagan and Bush. How American Psycho is an examination of our times, and our modern theologies.I found the movie as a whole riveting, loved the restraint shown (and disagree with those calling for more gore, I think Mary should be applauded for her deft hand, the scenes have more power for what is not shown), and was captivated by nearly every scene, by scenes others have called boring, but I found profound.Bateman putting on his makeup, or simply trying to get a restaurant, and the near apocalyptic importance, such minutiae makes in the lives of empty men. The right card, or the right cloth, or the right table, or the right watch, how these are the signposts of an empty age and an empty soul, and how these things have more value than your fellow man... or woman.Bateman attains everything the materialistic times tells him he should want, but once he gets it he feels nothing. Emptier than before, less than before. It's only in the extremes of his addictions he begins to feel something, anything. He feeds to fill the emptiness, but the more he feeds the emptier he gets. He eats at his fellowman (woman) but in his bloodlust he eats at himself.He is the American dream, taken to its cannibalistic extremes.And never before has makeup, played such a mesmerizing part in a movie. Bateman's(Chris Bale's) face at times when he is under stress, takes on a plastic look, a glossy, sweaty sheen, and for all the world it looks like he's wearing a mask... and the mask, his mask of sanity, is beginning to run.Simply amazing use of makeup. And incredible performance by the lead actor. I wasn't familiar with him before this, but everyone will be after this.Upon first hearing about this movie, I had no desire to see it. I've grown up since the age of Hills Have Eyes and trash like The Beyond, watching people suffer no longer seems significant. I guess as we get older we ask more of our art than springer, or the WWF, or slasher flicks. We ask of our art to tell us something true. Something of ourselves, and our world.I think American Psycho under the deft hand of Mary Harron becomes more than my prejudices, and exceeds my expectations. Rises at times to dizzying heights not unlike art.Mary's restraint makes this movie. But I fear her restraint nearly sinks it as well. The ending is too ambiguous. Who is Bateman in the end. Is there a Bateman? And what did he do or did not do?In the end,the movie will nag at you. Did he or didn't he? And in the end, now that I write this I'm thinking maybe the answer doesn't really matter, maybe in the end the answer is the same. In the end a sin of thought, or a sin of action, is still a sin. In the end we are left with a man, and a nation... whose mask is slipping.I think like the first Psycho, time will prove this one.... worthy. I now add Mary Harron to the small selection of modern directors I will tiptoe through broken glass to see. Directors like Dave Fincher(Seven, Fight Club), Carl Franklin(Devil in a Blue Dress), Johnny To(Expect the Unexpected), Ringo Lam(Full Alert, Victim), M. Night Shyamalan(Sixth Sense, Unbreakable), and Peter Weir(Fearless).Recommended.",9.0,Anonymous,"Comedy, Crime"
Still crazy (and overrated) after all these years...,"Up until a week ago, when someone asked my opinion on ""American Psycho"", I would tell them it was a boring and preposterous film. But that was mainly because I only saw it once, when it got released in 2000, and I was too young (or too dumb, or too eager to exclusively see violent carnage) to capture the true essence of Easton Ellis' novel/screenplay. Urgent time for a re-watch, I'd say! Twenty years later, ""American Psycho"" is still a bonkers film with over-the-top satire, excessive violence and an outrageous performance from Christian Bale. And yet, I still don't like it that much. Some sequences are brilliantly absurd, like when the egocentric yuppies practically orgasm over their own personalized business cards, but the majority of the film is just plain absurd; - period. Also, and be honest, who seriously cares about the frustrations of yuppie scum from the 80s? The film is at least ten years overdue. I read somewhere that Brett Easton Ellis envisioned a film version of his novel in the early nineties already, set immediately after the decade of the so-called ""young upwardly-mobile professionals"" of Wall Street. That would have made more sense, probably. Bale demonstrates that he's a fantastic actor, for sure. The film also features a long list of uber-talented supportive cast members (Dafoe, Witherspoon, Sevigny, Leto, Theroux, ...) but they are all quite redundant, since the plot exclusively revolves around Patrick Bateman. Brilliant soundtrack, too, but - again - overdue.",6.0,Anonymous,"Comedy, Crime"
Saved by the performances,"Since the movie started I struggled to engage, I wasn't able to care enough, the story felt mild. What kept me watching was Bale's good acting. Still, throughout the film the motivation of the main character seems to be to keep killing without getting caught. I couldn't figure out other goal, so I didn't feel any interest for the ending. We have the detective who seems to be talking the story somewhere but didn't make any difference. The film is full of clever moments and some humor, but these don't advance the plot. It was mostly entertaining, hence the 7. At the end, we get this speech that I struggle to make sense of. What is the evolution or change in the characters or the story?",7.0,Anonymous,"Comedy, Crime"
Incredible performance by Christian Bale. Film itself is complete garbage.,"The only thing in American Psycho that makes sense is Bale's performance.Everything else is contrived, shallow, pointless, schlock horror masquerading as edgy, primal, subverted, dystopian black comedy.Thoroughly predictable. Utterly contrived; neither shocking nor particularly comic.Bale is incredible though, that much is obvious, and his character carries the entire production. In fact, all the major actors are fairly spectacular, there's not a bad performance in the film.Such a shame then that the writers are more obsessed with making a Wall Street Clockwork Orange than they are producing something remotely original.Massively overrated. 3.5/10 based on performances alone.",3.0,Anonymous,"Comedy, Crime"
Christian Bale the new Peter Cushing,"Now it all makes sense. Christian Bale was born to play horror characters. I couldn't understand why I was so , so, afraid of him even in films like ""Velvet Goldmine"" He is a poster boy for putrid souls in elegant wrapping. In ""American Psycho"" - a film that deserves much more attention than it's got - he is absolutely terrific. Totally believable. I could sense his delight in playing a monster of this kind. Interestingly enough this manicured monster seems to be asking for sympathy, imagine the nerve! But Christian Bale succeeds in showing us a face we (I) hadn't quite seen before and yet we (I) accept without question. He should have gotten an Oscar nomination but, fortunately, he didn't.",9.0,Anonymous,"Comedy, Crime"
A must see,"Having read the novel by Easton-Ellis a year ago I was intrigued to find out how it could be made into a movie.Whilst turned off by the totally uneccesary details of Batemans crimes in the book, I felt that Easton's insight into superficial 80's yuppie culture made it a classic.Who could play a credible Bateman? Leonardo Di Caprio? I think not.How would Mary Harron deal with those controversial torture scenes?What we got was one of the finest movies I have seen for some time. Of course, those of closed minds will slate this film without even bothering to see it, simply because of the book's notoriety.I was impressed to see how closely Harron followed the book, replacing the un-filmable seens with suggestion, aka ear-cutting scene from resevior dogs, so that you believe you have seen more than you have. There are more parallels with Tarantino, such as the use of classic (& non classic ) 80's pop to create a stylised feel to the movie, that has not been seen since Pulp Fiction.Casting was superb, with Cristian Bale giving the performance of a lifetime, We, the audience, saw the souless monster within, Batemans superficial aquaintences, saw another faceless human being.Just like the book, you are never sure wether Batemans crimes are real, or just imaginary, but his slide into insanity is clearly real and paced expertly by Bale.Rheese Witherspoon as Evelyn was disappointing, ""Election"" showed what a great actress she is and although this role called for an airhead performance, it was clear that she was cruising.Mary Harron deserves the credit for creating an excellent film, that could have so easily been just another slasher movie.",,Anonymous,"Comedy, Crime"
