title,content,rating,username,genres
Fun off Marvel film,"This is one of those MCU movies that are great but aren't that important in the overall plot of the MCU. Paul Rudd is great in this role. His personality really fit the character. The CGI was top notch. They did a great job shrinking things down. I wonder if he'll have a bigger part in the MCU. Anyway, great enjoyable film here. Worth the watch.",8.0,Anonymous,"Action, Adventure, Comedy"
This movie gets too much hate for no reason,"This is the most underrated Marvel movie in my opinion. I heard so much bad about it, but I really enjoyed it! It was funny, full of action & had a wholesome ending.",7.0,Anonymous,"Action, Adventure, Comedy"
"Minor Marvel, but still good Marvel","Having enjoyed a vast majority of Marvel's superhero output (more so than most) without worshipping them, 'Ant-Man' is a minor effort from them but there is still a good amount to like about it.'Ant-Man' manages to be a better film than expected. The character is not exactly a household name and is always tossed aside in favour of other superhero characters like Spiderman that have had longer longevity and perhaps have more compelling origins and stories, hence why they are adapted more. Also wasn't sure what to make of the trailer, which made the film out to be rather bland and too reliant on humour.Seeing it for myself finally a year on, 'Ant-Man' could have been better. While the humour mostly works wonders, there are a few instances where it's not so funny and not very well placed, like in emotional scenes that are actually quite poignant and then interrupted by a joke that is not only forced and unfunny but also not belonging in the scene. The family scenes are a mixed bag, sometimes they are sweet and touching while at other times they're a little flat and predictable, contributing towards a few rare dull stretches. Corey Stoll also goes through the motions as the rather generic and under-characterised villain.On the other hand, 'Ant-Man' is a great looking film, it's beautifully shot, very atmospheric, is very slick and the special effects, mostly the rapid size-changing and with the ants, are clever and of the usual high-quality Marvel standards. The music avoids being over-bearing, one-note, too quirky or too bombastic, fitting well tone, mood and pace-wise. Direction is more than competent, keeping the story going at a solid pace and the telling of it interesting enough, though maybe a little more flavour may have been more welcome. While the action is not as much as most Marvel films, it is fun, thrilling, nicely choreographed and tautly shot and edited, especially towards the end. Admittedly there are a couple of cheesy parts towards the end too, but kind of in an endearing rather than jarring way and it doesn't jar with the rest of the film.There is some very smart and hugely entertaining scripting and dialogue here in 'Ant-Man' too. While it doesn't work completely seamlessly, 'Ant-Man' is one of Marvel's generally consistently funniest films, and the film doesn't take itself too seriously or too much of a joke either, instead not being afraid to embrace the silliness and humour while ensuring still that the subject matter is treated with respect. It is especially good with the title character's deadpan quips and Luis' fast-talking patter. The story is mostly diverting, it's narratively simpler than most Marvel outings and less risks here are taken than most Marvel films but it always makes sense, moments of dullness and jarring are few (while not being completely absent either), it's fun and it doesn't try to do too much or try to insert too many characters while not playing things too safe either.While not complex as such, the characters are mostly engaging and are not too one-dimensional, only the villain could have had more done with him. Paul Rudd is a strong and hugely entertaining lead, while Michael Peña's hilarious in a role that could have been really annoying. The seasoned support of Michael Douglas adds hugely too, and Evangeline Lilly gives the film some much needed heart. Anthony Mackie is good too.Overall, minor Marvel but good Marvel. Well-made and a lot of fun, but there is a personal preference to the Marvel films that took bigger risks with more and often richer characters, bigger bolder action and more going on in the story. 'Ant-Man' executes a vast majority of its components really well indeed, just that Marvel has done even better before and since. 7/10 Bethany Cox",7.0,Anonymous,"Action, Adventure, Comedy"
Second most underrated MCU film.,"Ant-Man is great Heist film disguised as a superhero film. With great performances all around, I'm surprised it doesn't get the attention it deserves. Definitely a must-see-movie.",9.0,Anonymous,"Action, Adventure, Comedy"
A Marvellous Molecular Metamorphosis...,"There's a particle that can make you miniature, scale you down the size of ants and even more, and Scott Lang, is just the man, who has the chance to be less than, with Dr. Pym and Hope Van Dyne, there to make sure; that the devious and the scheming Darren Cross, doesn't get the chance to beat them, and to boss, by releasing Yellowjacket, to those called Hydra and their racket, causing misery and torment, and great loss.It's one of those cinematic episodes that gets better with subsequent viewings, a great story and you feel there's genuine chemistry between Paul Rudd, Evangeline Lilly and Michael Douglas - plenty of humour too, well worth a revisit.",7.0,Anonymous,"Action, Adventure, Comedy"
Extremely fun origin story,"Ant-Man is an extremely fun origin story and a superb addition to the MCU. Paul Rudd is incredibly charming in the lead role with Evangeline Lilly, Michael Douglas and Michael Peña giving great supporting performances. The CG is great and the action sequences are extremely impressive. The humour works really well and it's consistently funny. Unfortunately, it does suffer from the weak villain problem that some other Marvel movies suffer from.",9.0,Anonymous,"Action, Adventure, Comedy"
Let's get small.,"I must admit that I never got into comic books, so when I heard Paul Rudd would be Marvel's Ant-Man, I had to read the Ant-Man Wikipedia entry just to make sure it wasn't some total prank. Stupid me, he first appeared in 1962, no doubt capitalizing on those halcyon days when the young males across America were obsessed with ants, quantum theory, and microphilia in general.I'm not the only one with a bit of disbelief. While I was waiting in line to see Terminator Genisys, a stranger pointed over to the Ant- Man poster and said, ""Ant-Man?! Man, they're really scraping the bottom of the barrel for these Marvel movies.""But let's not make a mountain out of an ant hill. The Ant-Man movie is the light-hearted, tongue-in-cheek, self-aware, almost campy movie that I wanted Avengers: Age of Ultron to be. Paul Rudd is the best casting of a Marvel hero since Robert Downey Jr. as Tony Stark. Michael Douglas brings some class to the whole affair, Evangeline Lilly isn't given a ton to work with but succeeds at being told she's crucial yet largely relegated to behind-the-scenes work, and Michael Peña provides some nice laughs as a goofy and cocksure sidekick.Once again, the villain is actually science, or at least cutting- edge science. That's because the technology that makes the Ant-Man possible, the Pym particle, could be used for a lot of good, but in the wrong hands, it will surely be used for a lot of bad. And you can tell immediately that Corey Stoll as Darren Cross is bad because he's bald. He pretty monolithically bad, the only reason for which seems to be that Dr. Pym wouldn't raise him as a surrogate father figure.All of the summer blockbusters now require some throwaway side story about divorce and wanting to be better parents for their kids. I wish all those side stories would go subatomic and be lost forever, allowing for more time to ""mount the thorax.""Ant-Man can control ants, too! But he can't until he learns how to clear his mind. So Hope van Dyne tells him to think of his daughter. Simple! Easy peasy, calabrese! He can't fly, though, even though some ants can fly. This all becomes problematic when Yellowjacket shows up and can fly and shoot lasers. Lasers seem lame when Yellowjacket could've had cannons that transform living creatures into small piles of ectoplasmic goop.As in Terminator Genisys, a total victory for the good guys includes blowing up a server farm. Good thing Darren Cross, just like Skynet, never heard of putting data way up high in The Cloud.The final battle includes some imagery that almost made me wish I'd seen it in 3D, or at least after enjoying some medicinal tea. It hasn't been this much fun to be small since Rick Moranis shrunk his kids.",7.0,Anonymous,"Action, Adventure, Comedy"
Best introduction to a new character!,"Excellent story, just the right amount of comedy, perfect casting and performances, and great S/VFX!",9.0,Anonymous,"Action, Adventure, Comedy"
An All Around Very Good Movie,"Ant-Man (2015)*** 1/2 (out of 4)Scott Lang (Paul Rudd) is released from prison and plans on going straight but that doesn't go as planned but he's recruited by Dr. Hank Pym (Michael Douglas) to try out a suit that manages to shrink his size while making him even stronger. Soon Ant-Man has to try and stop a bad guy (Corey Stoll) trying to sell the secret.ANT-MAN is a film that really took me by surprise. I'm not a comic book person so I wasn't familiar with this character or the story. I was really shocked at how entertaining the personal drama was as well as how exciting the action was. When I first saw the trailer I couldn't help but think of HONEY, I SHRUNK THE KIDS and this film actually benefits from the same thing that movie did and that's the rather cool effect of being small and surrounded by large, everyday items.This is certainly one aspect that makes the film so entertaining because the entire idea of someone being able to shrink and then go back to their regular size in the matter of seconds is just fun. Even more fun is the way he is trained into becoming this warrior because it not only adds some great action scenes but also some very good laughs. You've got the action and the laughs but I thought the film also sold the personal drama that the main characters have.A lot of credit has to go to the cast for pulling this off. Rudd is as perfect as Ant-Man as Robert Downey, Jr. is as Iron Man. The casting was simply perfect because Rudd can perfectly handle the drama, the comedy and the action and he makes for a complete character. Douglas also adds a lot to the film in his supporting role as does Stoll as the villain. Michael Pena and Bobby Cannnavale are both good in their supporting bits as is Evangeline Lilly in her role.ANT-MAN also benefits from clocking in under two hours as the film never seems too long. The story isn't dragged on and instead we're given non-stop action and fun. There have been many good movies made from Marvel comics but ANT-MAN is certainly among the best.",,Anonymous,"Action, Adventure, Comedy"
"It is funny, it is action-packed, it makes not much sense","""Ant-Man"" is a nice change of pace from all the Marvel Universe movies that we have been getting in this 2010s. Instead of being a serious movie, or one packed with superheroes fighting against yet another city that is falling on their heads, it centers on a very simple idea: a heist. And it does a good enough job in making it fun, but it also has a very uneven tone and doesn't make any sense throughout the whole movie.Dr. Hank Pym was Ant-Man many many years ago, but decided to give up and hide his suit behind a safe in his house. But when his former pupil Darren Cross comes close to creating something similar with a new suit called Yellowjacket, he knows he has top Cross. And he decides to get the help of Scott Lang, a former convict, to steal the new suit. Will Scott Lang help Dr. Hank Pym and become the new Ant-Man? And will they be in time to stop Darren Cross?The movie follows the 101 heist book from beginning to the end, but mixed with the superhero formula. You have the rag-a-tag team of losers that helps the hero, the old person with the info and the mission, the other one that wants to be the hero (in this case Dr. Hank Pym's daughter Hope)... It is not very original, but it is fast-paced enough that you won't even notice. And the acting is good enough (even if the direction comes and goes). The plot development is OK, and as it doesn't have so much overlap with other Marvel movies, it can stand on its own two feet without much problems. And it tries to be funny (too much), and has some nice jokes to keep things easy and not very serious.On the other hand, it makes no sense whatsoever (it looks as it had a half-baked script), and as said, as the direction come and goes, it falls into some empty moments that distract from the movie. The worst sin, though, it is its over-reliance on special effects, especially in the third act, with way too much CGI that wasn't necessary. It is a problem many of the superhero movies seem to have: an overlong third act with just explosions, punches and things flying around. At least this time they put some humour, but it is still way too long.All in all, not the greatest superhero movie ever, but one fun and totally enjoyable.",6.0,Anonymous,"Action, Adventure, Comedy"
