title,content,rating,username,genres
Is it just me?,"What's with the 10 out of 10 reviews? really?. Sure it's probably the best (or second best) DC Justice league era, but that's not difficult.
Like all the other offerings, it's overblown, wooden, one dimensional and over reliant on over the top CGI.
As a child I was always a DC fan and I want them more than anything to bring this thing together, but Marvel have certainly laid down a tough marker for how it should be and DC still haven't met that challenge.
The main thing missing from the film is charm and simplicity, sure Momoa just about saves the day and I think he can develop Aquaman into a loved character, and the film is a step in the right direction. But 10 out of 10 it most certainly isn't.",6.0,Anonymous,Fantasy
one of the best popcorn movies of 2018,"There are moments of awkwardness in the movie, but the stroy is engaging and full of intricate details. The visuals are stunning, too. James Wan definitely did an amazing job with the right cast. I can't think of a better actor to take the role of Aquaman than Jason Momoa. I will give it an A-.",8.0,Anonymous,Fantasy
A step in the right direction.,"This movie is pretty entertaining. That, however, doesn't mean that it has a great script. The truth is, DC played safe on this one, and it pays off, mostly.I was never bored throughout this movie, but that is not because of the clever dialogue, or the the amazing score. No, it's because everything in it is incredibly over-the-top. No kidding, be it the heroes or the villains, the action scenes or the romantic ones, every single thing in this movie is kind of exaggerated. Sometimes it worked for me, but sometimes it didn't. With that in mind, let's get to my pros and cons.First, what i liked the most: the direction, specially during the action scenes. James Wan managed to differentiate himself from that Snyder style of action pretty well (there's still one or two ""Snyder slowmo"" kind of shots, but that's it). The fight sequences were well choreographed and shot, with wide angles for most of the time. It was very pleasant to see. Now, I usually don't like when movies start looking like videogames, but it didn't really bother me here. During the gigantic CGI battlescenes you've seen in the trailers, the amount of elements on-screen can be overwhelming, but for the most part, they are well enough shot that you can differentiate what's going on, and so they eventually become quite satisfying.
The interaction between the two lead characters is too very entertaining, but then again, because Aquaman is just really extravagant most of the time, so it becomes this quirky, awkward chemestry. But that leads me into the cons.Yeah, remember when i said everything was exaggerated in here? Well, sometimes that leads to some really weird and unfitting, or just unintentionally funny scenes. For example (and I don't wanna spoil here), the movie will have this really awkward romantic song playing throughout this ""lovey dovey"" scene, but that just took me out of the film because it's so over-the-top and doesn't fit at all with the previously established tone of the film. It was weird. Not only that, but this certain character will constantly scream during battle scenes like he's a football commentator announcing a goal, like he's really badass when in reality it just comes off as ""just too much"". I won't lie, I started laughing after a while because he repeats it quite a few times during the movie. Most of these are nitpicks, but because this movie blows everything out of proportion, these small problems end up REALLY standing out.
Some bigger complaints are: characters having really flimsy convictions and changing them in the matter of seconds for weak motivations. The movie is also filled with cliches, but that's mostly because Aquaman follows the standard superhero movie formula. On top of that, i found some inconsistencies regarding character's abilities (like, it is established that inhabitants of Atlantis cannot breath outside of the water, but during certain moments they do it just fine).
The CGI is very inconsistent, from this gorgeous color filled underwater kingdom, to some pretty terrible green screen effects.
The dialogue, is mostly not very well written. Some characters don't suffer from it, including Aquaman, because it ends up fitting their personality, but some characters end up sounding really artificial.
The acting is fine. Willem Dafoe is Willem Dafoe, Jason Momoa is Jason Momoa. Temuera Morrison, Amber Heard, Nicole Kidman and Dolph Lundgren all did fine with their respective characters. I think the worst ones are the villains, played by Yahya Abdul-Mateen and specially Patrick Wilson (who's character is the embodiment of ""over-the-top""). Too bad, I don't consider him a bad actor, but goddamn was he subpar in this one.
I don't have major complaints wit the editing. It's pretty good, except once or twice where there's just too much going on on-screen and I couldn't follow it, but those were rare moments. However, the sound design has some odd choices. There's this scene where a certain character is handling a knife, and every time he gently touched it, the knife went ""KATCHING"" with that standard blade sound , but just extremely loudly and exaggerated. I just thought to myself ""what?"".Despite the fact that i nitpicked a lot, i think this movie works more than it doesn't. Yes, it's as a standard superhero movie as you can get, but it's a good one. Even with all of the odd choices and apparent problems, it's not a bad movie. The direction is quite good, some shots are fantastic and the fight sequences were very satisfying. It's pure, blown out of proportion, massive CGI fest fun, and I think that's enough for me. For an Aquaman movie, it does everything it should.",7.0,Anonymous,Fantasy
It's flashy! That's about it....,"There's really not much else to say about this movie. It's clear they just wanted to dazzle the audience with as much CGI as they could muster into as little time as possible, meanwhile making NONE of the terrible jokes land.The story is.... well there isn't one really. It is so all over the place and disconnected that it is not easy to follow at all. Both Amber and Mamoa are dull as dishwater, which many knew before this movie and sadly this does nothing to remedy that either.The movie is a mess, the story is a mess - and when you leave a movie thinking that the only enjoyable part was the CGI then there is something wrong.Clearly, this movie was made for the cash grab and WB once more PROVE what we have all known for a long time; They simply cannot create comic book movies. Leave it to the experts.",6.0,Anonymous,Fantasy
Splashing beauty,Nice CGI (remind me of Avatar..haha)...good story . Better than Justice League....,7.0,Anonymous,Fantasy
Most Beautifully visualized!!! DC movie...so far,"Watched it!!! And have no words to describe the splendid performance of the cast and how beautifully wan visualised and presented this..This is the true jewel so far in DC universe👍🏻
Won't Add any Spoilers😋..as this is something you should witness",10.0,Anonymous,Fantasy
Predictable CGI Journey,"Aquaman, Orm and Manta are comic accurate. Thestory is predicatble since the second huge trailer. I mean, there was not a moment were I was surprised by anything including the credit scene.The visuals are great for the most time, but at some places you're starting to wonder is there anything real in this movie? The CGI becomes tangible.The action scenses are decent, slow motion is everywhere, the humor is...really? The movie is better than most of the others DC movies, but still got a lot problems, including story connections, logic and physics. I mean for me ""Man Of Steel"" is still the best one, followed by ""Wonder Woman"". All I can say is predicatble from start to finish pop corn flick.",6.0,Anonymous,Fantasy
The whole movie felt loud and relentless and so long,"There was embarrassing writing, embarrassing acting, and listening to Amber Heard trying to deliver this terrible dialogue with zero inflection was exhausting. Why does half of the population of Atlantis sound like they're from California? The dialogue was never more than cliche with a predictable plot. The ""advanced ancient civilization hidden away from the world"" trope is already old. There was so much CGI that none of the action ever felt impressive or tense or real. Any time someone said ""Ocean Master"" with a straight face I wanted to laugh.This would've been the perfect movie to not take itself too seriously, go for a more lighthearted and irreverent tone like Thor Ragnarok, but they just try so hard. It has none of the superhero charm that Marvel manages to carry over from the comics and thus you have one very long boring slog.How many scenes did we need where a quiet moment was interrupted by an exploding wall that didn't hurt anybody? I counted three or four. Also, that paint-by-numbers forced romance - ""Wow there was a surprise and now we're accidentally holding hands"", ""Wow there was an explosion or something and I grabbed you "" - give me a break. And whoever put together the soundtrack for this film should be summarily executed.",5.0,Anonymous,Fantasy
"Aquaman: retro dreams come true, to innocence and imagination!","I really love this film. Everyone talks about the GCI in Aquaman,but what moves me most is its style ,so called ""old fashioned fun"" .Here I'll talk about this.(This review is translated from Chinese by google translater.And I'm the writer of it.)First of all, the story of Aquaman is classic enough (that is, the old-fashioned set of some people), which is the journey of superhero treasure hunt. In an interview with James wan in""WorldScreen""magazine, James said that this is a very classic narrative technique. The growth of Arthur is like the growth of heroes in Spielberg, Cameron and Lucas movies. When Wan was a child, he watched the works of these masters grow up and always wanted to make such a movie, so this retro style is intentional. The facts also prove that the classic story will not be outdated. However, we can also understand from another angle that Wan did not try to try the dark and deep story style, but from the direction of being good at commercial blockbusters. In short, even if you don't have interest in the retro story, the level of the plot is definitely qualified in the super-Hero movie.Second, it is the retro feel of the picture. On the one hand, many dazzling special effects brought us back to Avatar and the Lord of the Rings until the shock of the first Star Wars, and the imaginative and fascinating atmosphere of the underwater world is obviously a tribute to the classic fantasy sci-fi movies, like those of Star Wars. Just like classic fantasy operatic movie opens the window of imagination for us. On the other hand, James indicates that the film is expected to be like special effects movies in japan(like Ultraman and Godzilla in last century ). No wonder the friend who watched the movie with me shouted ""The clothes looks cheap"" when he first saw the soldiers of Atlantis. ..... I believe that it is not a problem to add more cool special effects to the soldiers, but James chose a very traditional approach , allowing the actors to fight in plastic armor and add to the film. A little bit of childlike beauty! Seeing this armor design is a little touched. We seem to be able to see james that realize the childhood special movie dreams,hiding behind the viewfinder and snickering.And......To be honest,I'm little worried about Aquaman2,which is said to have been planned by Warner bros because the first episode is too successful,but I don't believe James will direct it again(just like SAW and Fast&Furious,he did once and did the BEST)And I'm also worried about Birds of Prey because the director is too young ...looking DCU(or DCEU) movies is funny ,we must stand some boring films ,but sometimes DC gives us BIG surprise😘",10.0,Anonymous,Fantasy
A decent movie,"It looked nice, it sounded good, the special effects were impressive, my family enjoyed it, and so did I. I have read with interest reviews from those who thought the movie tedious, they must have visited a different theatre as the film I saw was far from dull, almost too much going on at any one point. The lead actor was very good, supported by an able, attractive cast. It's not a classic, but it's better then most of the rubbish being churned out.",7.0,Anonymous,Fantasy
