title,content,rating,username,genres
Argo,"An excellent movie, although I did not know the events of the storming of the American embassy in Iran, but the story of the film was very interesting and the level of representation in the film was excellent, the film made me on the edge of the chair of suspense I highly recommend watching it",8.0,Anonymous,"Biography, Drama"
Well done Ben,"Honestly, I came into this movie with so-so expectations as the trailer I saw in a different movie made me give myself a 50% chance to watch it, up in the air if you will. But from the moment the movie began up until the end, I was gripping for the characters the whole way, the way movies should be.The opening of the movie played a huge part in setting the tone of the rest of the film. As I had no history or prior knowledge to the events that transpired in Iran in the 1980s, the brief amount of a history lesson was just enough to maintain my interest. Throughout the film, there are times when I might have started to wander through long bouts of dialog, but witty comments by the characters kept me entertained. By the time the climax was about to hit, I was sitting on the edge of my seat, biting at my fingers, awaiting their next move.Well done Ben, well done.",9.0,Anonymous,"Biography, Drama"
Hollywood Hyperbole,"Ben Affleck who originally got acclaim for his collaboration with best bud Matt Damon on Good Will Hunting, went out gloriously alone and came back with a Best Picture Oscar for Argo, the story of one of the greatest hoaxes ever perpetrated in the last century or even in the short time this century has been around. I'm sure Matt Damon would love to have had a piece of this one.Based on writings of CIA operative Tony Mendez who engineered the escape of six American diplomats who were lucky enough to get out of Iran during the Ayatollah Khomeini craziness during the Iran hostage crisis, Affleck who sports a heavy beard that makes him totally unrecognizable as Affleck, but no doubt Mendez had such a growth. Only the voice lets you know from time to time that it is Affleck.Our protagonist has a history of pulling off good intelligence coups and he's given an assignment by his superiors. When they learn that the American diplomats are hiding at the Canadian ambassador's home he has to devise a scheme to get them out. He's one of several people put on this problem. His solution is to appeal to the Iranian's sense of celebrity. Affleck creates the cover story of a movie being shot in Iran, a science fiction spectacular like Star Wars and these folks were there scouting locations in the desert. Hollywood contacts John Goodman and Alan Arkin were most helpful, their sense of Hollywood hyperbole comes in handy. In fact both make several jokes about the movie capital. Arkin got a Best Supporting Actor nomination.Of course we know what happened. I remember the news breaking that the Canadians had gotten these diplomats out who should have been hostages along with the others. The Iranians huffed and puffed and vowed divine retribution on Canada for aiding the Great Satan. It all came to naught however.Argo which is the title of the pretend science fiction epic so far represents the summit of Ben Affleck's career. Why he did not get nominated for Best Actor and Director is quite beyond me if the Academy thought the film that good. Now that the story is declassified we now see that the CIA can occasionally get it right.",8.0,Anonymous,"Biography, Drama"
Good movie but took a lot of liberties,"This is a great movie. The story, acting, pacing, editing, etc. was just fantastic. Affleck's directing was solid, and the suspense will keep you entertained right through to the last seconds. I loved it.It did have one irritating thing, though, kind of a big one. It pointed most of the accolades to Affleck's character and the CIA. This really was not true. It was Ken Taylor and the Canadians who really pulled 'the Canadian Caper' off so successfully.""When Taylor heard a few years ago that Mendez had sold movie rights to his book (which, to be fair, is much more generous than the movie about Canada's role), ""I said, 'Well, that's going to be interesting.'....""The movie's fun, it's thrilling, it's pertinent, it's timely,"" he said. ""But look, Canada was not merely standing around watching events take place. The CIA was a junior partner.""""The old postscript sent the message that, for political reasons, Canada took the credit. A sarcastic kicker noted that Taylor received 112 citations. The clear implication was that he did not deserve them.""(Sept/Oct., 2012, thestar.com)"".So the USA does another revision on history here. I believe 'Argo' goes this far. Yes, it's based on a true story - the movie does it's best to allude that it sticks to technical accuracy. And it really does, in some ways. Historical pictures of flag burners, rioters, gate climbers, etc.. up against Argo film stills run by during the credits make it seem that the facts were adhered to down to the tiniest detail. In reality, it wasn't Tony Mendez or the CIA who were responsible for the success of this operation; actually they were barely there.Since the movie premiered, Ben Affleck has added emphasis on the movie postscripts since then that gives kudos to the Canadians' role. This was after Ken Taylor politely complained, as a Canadian would tactfully do. But Affleck did this only after pressure from Taylor himself.I can understand the need to spice up events to make them as exciting and entertaining as possible, don't get me wrong. But this film needs to let the audience know that more explicitly than it does, even after the changed postscripts.Still, a really entertaining and riveting film, very well done, and easily worth seeing. As a matter of fact, don't miss it.",,Anonymous,"Biography, Drama"
One of the Smartest Thrillers in Years,"Argo (2012)**** (out of 4)Excellent thriller based around the secret CIA mission to try and rescue six Americans hiding out in Iran shortly after the hostage crisis broke out. CIA agent Tony Mendez (Ben Affleck) decides to hatch a plot to make a fake movie and get the six out. It's only early November as I write this but I'm going to make a bold prediction that ARGO hears its name called out quite a few times come Oscar night. Director Affleck has once again created an incredibly well-made, incredibly tense and downright entertaining thriller that works on all levels and really comes across as something special. We've seen hostage movies before and we've seen political movies before but there's never been anything quite like ARGO. Thank God it's based on a true story or else who would believe this story? The secret mission of the CIA is just so incredible that it has to be true and using the Hollywood backdrop just makes for some pretty fun scenes and especially when you know a couple of the names like Oscar-winner John Chambers. The actual look of the film is quite striking as you certainly feel as if you're in the middle of the 1979-80 time period. Affleck has a great eye for the style of the picture and the cross between the 2.35:1 aspect ratio and some of 8 and 16mm footage. The performances are also another major plus with Affleck, Alan Arkin, John Goodman and Bryan Cranston all doing terrific work. Each and every actor no matter how small or major their part really comes across terrific and this helps brings so much credit to the story. I'm certainly not going to ruin the final thirty-minutes but they'll have you on the edge of your seat the entire time. After GONE BABY GONE and THE TOWN, Affleck had certainly put his name on the map for young directors and now ARGO just takes that to a new level. This here is certainly one of the best movies of the year and one of the smartest and most intelligent thrillers in a very long time.",9.0,Anonymous,"Biography, Drama"
Affleck delivers another amazing film,"After years of being one of those actors that was hit and miss with people, who would have thought he would become one of the most sought after great directors in the industry. After his last film The Town received so much acclaim and award nominations everyone was wondering if it was just a fluke. His latest film Argo takes on the actual events during the Iran Hostage Crisis finds him once again taking on double duties with directing and starring, but can he bring these events to life and create another great film along with it?Argo follows the unbelievable true story of six Americans that have found shelter with the Canadian ambassador in Iran when the revolution reaches a boiling point. The CIA works alongside some heavy hitters in Hollywood to create a fake film production to concoct a risky plan to try and get them out of the country. For a movie that focuses on a situation that was so dire and heavy, this film comes off a bit lighter than expected. Ben Affleck has crafted a brilliantly entertaining film on numerous levels. The story alone is intriguing watching their unbelievable plan come to life. During this time of the film it delivers some really funny moments, without falling to far off track and confusing the kind of film this is. The acting here is top notch with everyone involved, including Affleck himself delivering some awesome performances. The dynamic between Affleck and Breaking Bad star Bryan Cranston is perfect creating a duo that both entertain as well as keep this story on track. The biggest treat in this film are brilliant and a lot of time funny performances from John Goodman and Alan Arkin. These guys really bring all the Hollywood aspect to the film to life while delivering Oscar worthy performances that will hopefully be recognized. The gritty look to this film really helps to capture the vibe and tone of the film while combined with the attention to detail, helps take you into the time period it takes place.Brilliant directing, acting, story and some fun sci-fi references throughout takes Argo into the realm of one of the best films to come along in some time. Affleck proves once again of his talent as a director and that The Town was no fluke. This is a must see film that will no doubt be all-the buzz when award season comes around and deserves every bit of it.",10.0,Anonymous,"Biography, Drama"
No complaints,"Ben Affleck directs and stars in the newest political thriller, ""Argo"". It is filled with A-list actors such as Alan Arkin, John Goodman, Victor Garber, and Bryan Cranston who each contribute to this incredibly moving film, which is based on a declassified true story.It takes place during the Iranian revolution of 1979 and 1980 in Tehran. More than sixty Americans from the US embassy were held as hostages, but six of them escaped and were hiding out in the home of the Canadian ambassador (Garber). Tony Mendez (Affleck), a CIA extraction specialist, came along to concoct a plan to rescue these six Americans.After speaking to his son while watching a movie one night, Mendez had a creative yet genius idea. He and the escaped hostages would pretend to be the film crew of a new sci-fi movie called ""Argo"". With the help of Hollywood makeup artist John Chambers (Goodman) and producer Lester Siegel (Arkin), this fake crew made their story quite credible.Ben Affleck did a spectacular job directing this film, which pretty faithfully follows such an unbelievable story. Every actor is convincing as his/her character and the cast was impeccably chosen. Make sure you stay in the theater to watch the credits. You'll see some real photographs and clips that mirror Affleck's film and actors.""Argo"" is basically only rated R for language, making it appropriate for most teens, in my opinion. I definitely recommend this film to everyone, whether you're an adult who remembers watching this on TV or you're a kid who doesn't know anything about politics. It is extremely dramatic, exciting, and heart wrenching, but also hilarious on many occasions. When the movie ends, the entire audience applauds and cheers. It's an amazing story that deserves to be heard.I give ""Argo"" a 10 out of 10. I have no complaints.",10.0,Anonymous,"Biography, Drama"
"Vibrant blend of humor, tension, and history","'Argo' presents maybe the greatest, if not the most absurd, account of American foreign policy espionage widely unbeknownst to the greater majority. The story, which falls perfectly into the category of you-can't-make-this-kind-of-thing-up, is based upon Tony Mendez's rescue of six isolated US diplomats out of Iran, during the time of the Iranian hostage crisis of 1980, through the means of creating a fake film production as cover.Director Ben Affleck proves here just how incredibly mature and restrained a filmmaker he's become, molding what is inherently a political story, yet wisely setting aside the politics. He masterfully handles the changes in tone very fluidly, from one moment being edge of your seat tension, to the next of inspired comic relief. It brings back memories of 70's thrillers, when craft and entertaining went together hand-in-hand.The cast of veteran character-actors is worth the price of admission alone. Nearly every speaking role is occupied by a recognizable face, with the likes of Philip Baker Hall, Bob Gunton, Michael Parks, Kyle Chandler, John Goodman, Bryan Cranston, Alan Arkin, and more. This is easily the best cast of 2012 and, better yet, they all brought out there A game.'Argo' is not a film to miss, its subject matter being more relevant than ever and will be a major contender come award season (and deservedly so.)9/10 -Pycs",9.0,Anonymous,"Biography, Drama"
Intense Film Packed With Emotion,"Argo is the political thriller based on the 1979 Iranian hostage situation in which 6 Americans were left to fend for themselves in the centre of Tehran. CIA Operative Tony Mendez (played by Ben Affleck) is sent into Iran to evacuate the Americans out safely under the cover of being a film production crew working on a picture called 'Argo'.The film is absolutely amazing and definitely one of the best films I've seen in a long time, throughout 2012 and 2013 so far we have been treated with some great films such as Skyfall, Django Unchained, Life of Pi, Les Miserables, Zero Dark Thirty and more, but in my own personal opinion Argo takes the bait as the best of them all. Proof is present as it won 3 BAFTA's for best picture, best director and best editing, also nominated for a further 8 Oscars in 85th Academy Awards.The film is packed with a sense of threat, peril and intensity all portrayed exceptionally well through the ensemble cast including Ben Affleck (The Town), John Goodman (Big Lebowski), Bryan Cranston (Breaking Bad), Alan Arkin (Edward Scissorhands) and Victor Garber (Titanic). The ending is by far the most intense ending I have seen in a long time, visually presented in such an astounding way.Director Ben Affleck started out his auteur career after his directional debut Gone Baby Gone became critically acclaimed, three years later The Town came out with an Oscar nomination. Now 2 years on we have Argo, Affleck's best film by far.",,Anonymous,"Biography, Drama"
Quite suspenseful!,"Ben Affleck continues hitting them out of the park. Based on a true story, Argo re-enacts the events that freed American foreign service employees from their hideout in the Canadian Embassy. The setup involves Affleck's character, Mendes, putting together the cover story of a Canadian film crew scouting locations in the Mideast for a sci-fi movie. Alan Arkin & John Goodman are hilarious as Hollywood hotshots producing this surefire scifi hit. The process follows Mendes as he enters Iran and has to BS his way to some skeptical and hostile Iranian theocrats who almost don't know how to respond to the possibility of a scifi movie set in Iran. Mendes must also deal with frightened and reluctant Americans who are being forced out in the open to pose as a movie crew. Affleck does a good job of injecting suspense and dread all through this section.But the real nail biter is their exit from Iran. As in other movies of this ilk, the chase heats up with the Iranians on the heels of the Americans. Affleck throws into this chase a huge boulder of an obstacle when President Carter pulls the plug on the film crew ex-filtration & decides to go with Delta soldiers instead. If you want to know what happens, I advise you to see the movie or read the news accounts.This just goes to show you that not all CIA covert actions are led by armed fighters like Jason Bourne and launched by the Treadstone department. Affleck's character doesn't even carry a gun--he carries a script instead.",8.0,Anonymous,"Biography, Drama"
Nail biting last 20 minutes,"Huh watching movie is a serious business. Felt like there is any acting ?so natural and So well done. The locations, ppl, chaos was just perfect. The movie takes on a ride, u will be with them throughout the take off of the flight ! Board the flight with them.",9.0,Anonymous,"Biography, Drama"
Over-hyped,"This review may be coming a little bit late, considering i saw the movie back in November, but i wanted to check one or two things before i write it.I wanted to see whether or not the movie will receive any Academy awards buzz from the the Golden Globes and the various Guild awards.I wanted to wait, because i could not believe the hype surrounding it.I saw it, and i was not that impressed at all.So after some amount of time has passed and the seven Academy nominations have been announced, i thought it was time for a second viewing, in order to try and change my mind about the movie, but-no.First of all, i enjoyed Gone Baby Gone and The Town of Affleck's repertoire much more than i did with Argo.I would even recommend Zero Dark Thirty (Bigelow's recent take on historical events, that are important to American society)ahead of Argo.That being said, Affleck's based-on-true-story-sci-fi-flick has it's strenghts.The fact that the movie is solid enough and that a thorough enough background-check on the events depicted in it, are made, admittedly do the movie some justice.It's well and accurately written, but a nomination is as far as it can stretch itself.Never mind the fact that Affleck is still weaker in front of the camera, than he is behind it, this is clearly visible.One might even wonder how he has that experience as an actor and as a director and be so far ahead with the material when at the helm of a movie.So, the era is accurately depicted, even the jokes, sets, clothing, music-all fits the bill, although Led Zeppelin's When the Levee Breaks is probably 10-12 years earlier, thus not from this period.But i'm willing to close my eyes on this one, considering the love i have towards Plant&co.On that subject, Aerosmith and Dream On were more accurately chosen, although only for the trailer.The technical part of the movie was almost excellent, i mean there isn't any breakout aspect to put in the running for some awards (although some people obviously think there is), all in all everything was good enough.Maybe only William Goldenberg can get a nod over the others, but he'll have stiff competition from his other movie, Zero Dark Thirty and himself.As this is pretty evident by now, he has two nominations in one category for two different movies.So, it will be pretty interesting to see which movie do the critics hold in higher regard-this category will tell.For me, that should be ""Zero"".So, technically good, historically accurate, even a little tense, so what's the matter, you might ask.Very simple.Contrary to popular belief, that has been planted in most people's minds, there actually was no acting in this movie.Not a single part was properly played by nobody, including you, Mr. Arkin.I can't understand where did this nomination come from, but in my eyes it is totally undeserved.Arkin and Goodman were of course fine, fun to watch, but the parts they played, others have played so long ago and to a better extend.When we start off with Sunset Blvd. and stop at present-day Hank Moody, there are people much more prepared to the challenges of playing a movie guy.Arkin was fine, but for 10 minutes of screen time you just can't receive that kind of reception and you just can't make this big of an impact.It is not normal.Not that they are, those awards and guild-members.So, if i have to sum it up in a nutshell-the screenplay was good enough, the directing was decent as well, the acting was stiff at best (i'm looking at you, Ben), the era was pretty impressively(although inaccurately story-wise) depicted (still looking at you, Ben), the technical part was top-notch (William Goldberg), but all in all this does not make up for the ""masterpiece"" many of you claimed it to be.If i had to recommend it, i would, simply because of it's must-see- based-on-true-story(although if we have to go there, discussing how accurate it really is, we'd be in for a long night) factor.But, as i said earlier, i'm not that impressed and there is nothing all that much to be impressed with.And Best Picture?No way!!My rate: 6.5/10",7.0,Anonymous,"Biography, Drama"
Historical Mission Impossible,"We already know that Ben Affleck is better as a director than an actor. He tells a story uniquely with his own cinematic art and style. In Argo, this is a new challenge for him. Making a large and historical drama thriller. Argo is based on a declassified true story about Tony Mendez rescuing six US diplomats from Iran. The movie depicts the story in a much suspenseful way. Affleck's directing talent shines once again with modern and old Hollywood vibe. The film is both dark and light, funny and thrilling. Argo is undeniably entertaining, compelling, and exciting.Firstly the performances, Bryan Cranston did what he does best. John Goodman and Alan Arkin are the delight and the comic relief of the film. Ben Affleck portrays Tony Mendez pretty well. He gave enough depth to the role. Now as a director, you may notice his trademarks(Though, it's not set in Boston and there were no masked criminals). He brings his style of suspense to the picture. The storytelling is not only straightforward, but it also builds the tension starting by exploring what's going on until it proceeds to the next action. It never stops being gripping.What's impressive is it can balance its various tones decently without being a mess. Outside the storytelling is a solid craft. The film looks credibly retro. They obviously wanted to make everything look the same to the real life story. The production design really captures the eighties like their vehicles, clothes, and the awesome mustache and beard. The camera is shaky which larges the scale and makes the absurd climax exciting.Argo is sensational as a film directed by Ben Affleck. It provides great suspense, drama, and humor which made itself so remarkably charming. This film proves that Affleck can make bigger films than just Boston crime dramas. His style of bringing tension is the classy formula of the film. The rest of the filmmaking is solid. Argo is simply a classic. No matter how ridiculous the premise sounds, it's still undeniably smart and spectacular.",10.0,Anonymous,"Biography, Drama"
OK film but seriously flawed in places,"The storyline itself makes for a great film if time was given to explore characters more and background more, the film hits the ground running then its given the rest of the time it has to try and elongate a very specific part of the story which culminates in a fevered 15 minute ending.I would watch it again but not biased on the reviews that others have given it. I did not approach the film from an historical point of view only from an entertainment point. So please find that this review has no shouts of the film being racist, anti-Iranian, anti this and anti that I only wish that people reading this review do not take into account some other reviewers offering reviews biased on their political and religious opinion. Just review the chuffing film. please",6.0,Anonymous,"Biography, Drama"
"Oddly, I couldn't find anything to dislike about this film!","I will readily admit that I am a very critical person when it comes to movies. After all, a normal person doesn't contribute over 13800 (and counting) reviews to IMDb! However, ""Argo"" is an unusual film because I honestly can't think of a single negative thing to say about it! Really...it's THAT good! The film is about a joint effort by the Canadian government and the CIA to rescue a group of six Americans stranded in Iran during their revolution in 1979-80. It seems that most of the Americans in the US embassy were captured by extremists but a small group of folks escaped and sought shelter in the Canadian embassy. What happened next? See the film.It's odd. In light of the film's greatest strength, how could the Oscar folks NOT have nominated Ben Affleck for Best Director? After all, in so many ways the film was wonderfully directed. Although I knew the fate of the six refugees, I STILL found myself reacting to the incredibly tense ending. I was actually chewing my fingernails and could feel my heart pounding. Additionally, the film was wonderful how it kept weaving the characters into a VERY complicated and wonderful story. The other unsung heroes of the film were the producers (and there were many) and makeup folks. They managed to really capture the look of the era and look of the actual characters in real life. And, finally, the script was just terrific. Overall a magnificent film--one that clearly is in the running for Best Picture this year. And, incidentally, the audience at the showing tonight broke into applause when the film ended! I can't say that it should win, as some of the films nominated are so different and I haven't yet seen them all. Heck, I'd love to see a couple take home the statuette as it's been a very good year for films.By the way, if you are the sort to leave when the final credits roll, DON'T. Watch and see.",10.0,Anonymous,"Biography, Drama"
"Don't listen to the hype, it's not bad, but it's not a masterpiece either","After hearing much about the hyped up Argo, I wanted to go see it as soon as it premiered. To be honest, it wasn't a bad film, but it wasn't anything spectacular either. I tried watching it 2 more times from the comfort of my home, but I still wasn't very interested. Where the nominations come from, I dunno. Don't get me wrong, I don't think it's a bad film, I'm just trying to warn you, don't go in the theatre or pop the DVD in the player expecting to have your mind blown away.At any rate, I'm getting ahead of myself.The film is a portrayal of the events surrounding the storming of the American embassy in Iran back in the late 70's/early 80's by an angry mob and the hostage situation that ensued. The CIA are trying to find a way to save 6 of the embassy workers who managed to escape the embassy during its takeover and are hiding in the Canadian ambassador's residence. The CIA comes up with the plan of creating a fake film company that's looking to make a sci-fi flick in the iranian deserts as a cover for bringing the escapees back to the US as part of the film crew. The historical accuracy is quite good, and it shows that there was adequate research done prior to the film.The direction was also very good, as is the usual norm with Ben Affleck, whom I always respected as a director. The acting, cinematography, soundtrack are also quite excellent and the movie doesn't fall short of anything.Especially towards the end it manages to hold you on your seat with suspense and then cheer at the outcome.The problem with the movie is the hype. I do not feel that this movie deserves an 8.2 on IMDb nor the several nominations it has received. It's not a bad film, in fact it's quite enjoyable and performs well in every sector. However, it's still nothing spectacular. It doesn't make itself memorable. It doesn't provide anything of note to the viewer, it doesn't go much further than any other film. It's an average movie. I recommend it for everyone but, don't go in expecting to see the masterpiece of the year. You'll enjoy it as long as you forget about the praise the movie has received PRIOR to its release. Just watch it and you'll enjoy it. The movie is above average 6/10",6.0,Anonymous,"Biography, Drama"
This is the second filming of this story,"The film is well done, and exciting, though Ben Affleck made clear in interviews that the actual rescue was not quite so dramatic but was punched up for dramatic purposes. It worked for me! Affleck does a nice job of subduing his own personality in the character he portrays. It is also clear from the pictures the end that the filmmakers were careful to recreate the scenes as closely as possible from archival pictures and videos. Affleck and company did a good job of balancing history and the artistic needs of a commercial movie.Does anybody know the name of the earlier version of this same rescue? I saw it on video cassette in 1991 but don't remember the name of it or who starred in it.",9.0,Anonymous,"Biography, Drama"
Outstanding!,"Ben made a huge comeback after directing The Town and Gone Baby Gone - two movies more loved by the audience than by critics.. But now it's his time with 96% of Rotten Tomatoes, 8.4 IMDb rating and lots of positive (and even more) reviews. So, here is mine... Probably like most of other people I had great expectations to Argo and they don't fully matched with what I saw, but still this is one of the best films of the year. The good thing about screenplay is the story itself, a very dynamic, somehow intrigue and a beautiful plot. I liked the smart and very natural dialogues, the mix of documentary and film scenes. Even the happy ending was good because during the whole film I've got attached to those characters so much, I experienced every tricky moment, I felt nervous for police check they had to pass and I argued against president Carter to support Tony's (Ben Affleck) plan.The acting panel is perfect in the movie. Ben plays so well that he can be palced next to Robert Redford, Clint Eastwood, Mel Gibson and Ron Howards - actors who turned to directors very successfully. He delivers a zero emotion performance of US government agent who aims to save hostages. He can probably get an Oscar nomination as a lead actor because Hollywood will love extremely positive hero.But real star of this movie is Alan Arkin playing Lester Siegel - a widely acclaimed Hollywood director helping Tony to make a fake movie. He portrays a smart and funny director being pretty close to most of real directors of our time. He's most natural act in the whole cast of Argo and that is why Alan can get his fourth Oscar nomination, this time for supporting role.What's the chances of winning Best Picture Oscar?Chance of nominating is over 100% but not sure about winning. It is good, definitely good, almost perfect. But lacks a polish that is so much important for best picture winner. In the end, I did not clearly imagine Argo holding that title in February. However this is still possible as we've got Les Miserable premiere ahead and Tom Hooper promises a lot this year.For Complete Review visit my blog: http://running-reel.blogspot.com/2012/10/movie-review-argo-2012.html",9.0,Anonymous,"Biography, Drama"
Good Story Telling/Don't Take it as Gospel,"Had this movie been made twenty years from now, when facts become distorted, the people who followed the details are either dead or indifferent, and the whole thing is pretty much ancient history, this would be a great story. Just like ""The Charge of the Light Brigade"" is a fun movie, even if it is about ninety percent inaccurate. This is because the producers would like you to believe all of the near misses, the interventions, and so on were truly what happened. There are enough people on the internet who will happily discount them, using good evidence to do so. Now, this leads us to an interesting pass. Can we accept any historical movie as being well done when those making it didn't have the wherewithal to see the events. LIke historical fiction, as soon as we quote dialogue, we are on untrustworthy waters. However, this would dismiss many great movies. I'm afraid this one is still too fresh in our consciousness. I'm wondering if someone in 2045 will see this and comfortably absorb the ""facts"" as presented. Divorcing myself from reality, I can see this as a great yarn. Like ""The Killing Fields"" or other historical dramas where people face their mortality at every juncture, can we enjoy the very intense situations that our people have been thrown into. This is a very individual thing. I enjoyed this movie for the most part because I found the characters engaging, the ""enemy"" human and righteous (considering our connection to the Shah), and the situation terrifying. I expect this will get a lot of attention at awards time. I saw Jimmy Carter at Obama's second inauguration the other day. This movie must not be a pleasant experience for him because he was vilified because of his performance. Reagan was able to pick up the pieces because the Iranians had already humiliated Carter, which was part of their agenda. Watch with a grain of salt and realize this is not a documentary.",7.0,Anonymous,"Biography, Drama"
