title,content,rating,username,genres
Still my favorite Batman movie but wait... let me tell you why!,"I've enjoyed this movie ever since I was a kid and I still do. I also liked Batman forever back then but the real difference is that THIS movie didn't date when I grew up. I did notice a few scenes in this film that didn't make any sense like: 'Hhmm... the crowd is angry. Hey! Where did they get those tomatoes from?' Then I thought: 'who cares? This movie is not 100% serious anyway!'The original Tim Burton Batman was great as well but it was a bit cheesy at some parts and I didn't like all the actors. This movie improved on almost every aspect with a wonderful cast, a more Gothic style and no involvement of Prince.Nowadays, many fans of the Christopher Nolan movies dislike Burton claiming that the Nolan movies are more serious and therefore more loyal to the comics. I don't think this is entirely true: -There has never been an adaptation of the original concept of Batman which was a vengeful criminal killer with a gun. -Batman has taken many forms over the years peeking its silliness in the 60's (and a bit with Batman & Robin). A director is free to choose what kind of Batman he's going to portray as long if it's good.My opinion: Batman doesn't necessarily have to be serious. It's about a man in a rubber suit with pointy ears. Burton managed to create a perfect balance between the silliness and the darkness surrounding the whole idea.I just recently watched the Nolan movies and I love those ones as well (especially The Dark Knight). There's simply something about this movie that interests me more. Nolan's goal was to give the character much more depth and in doing so, he looked for an explanation of nearly every aspect of Batman. That's a bit too much for me, I'm a bigger fan of the more abstract version of Batman. The Burton movies are more theatrical and centered around the atmosphere.My conclusion is that you shouldn't compare the Nolan with the Burton movies. They're just different and it's up to you to decide which one you like better. My respect is for both directors.",8.0,Anonymous,"Crime, Fantasy"
"Dark, funny and original. Not as good as the first film, but well worth watching.","There were a lot of things that were excellent about this movie, like the cinematography and the performances, though it isn't as good as the first film. Michael Keaten is suitably brooding as the Dark Knight, better than George Clooney in Batman and Robin (considered as the worst out the franchise)though he is overshadowed by the villains, namely Danny DeVito as the Penguin, who looked as though he was having a ball, and brought a sense of sadness and grotesquesness to the role. Christopher Walken was effective also as Max Schrek. Stealing the show, with her flawless delivery of not-so special lines, is Michelle Pfeiffer as the sexy and manipulative Catwoman. The film looks lovely, with the sets and effects, and Tim Burton directs with detail. However the film does drag, and while there are some intelligent lines from the villains, the script could have been developed a little more. All in all, a dark and entertaining film. Whereas Batman Forever is funnier and more fast paced, Batman Returns is darker, but just lacks the sophistication of the first film. 8/10 Bethany Cox.",8.0,Anonymous,"Crime, Fantasy"
darkest chapter,"Batmust returns is the darkest batman movie to date. With a scary villain, and sneaky hero/villain and the dark knight himself. The penguin brings a dark look to the character. Tim Burton success from the 1st batman brings the success of batman returns, a very good storyline with good actors bringing the characters to life. Burton dark and Gothic scenes gives Gotham the reign of terror look, makes you believe that batman is needed in Gotham. A film that was ahead of it time. The audience of 1992 wasn't ready for this, but as time as gone on the film has become more liked, maybe the downfall of batman forever and batman and robin, everyone seemed to realise then that this film was very good and should of kept Tim Burton as the director. Never the less a brilliant film and 100% must see.",8.0,Anonymous,"Crime, Fantasy"
"The best film in the Bat-franchise, by far...","As a life-long mega Bat-fan, I thought that Batman Returns did the best job (of all four films) of portraying the Dark Knight. Sure, the 1989's Batman was great, but it was lopsided; it might as well have been called ""Joker"" considering the focus of the film. Batman Returns allowed us a better look at Batman/Bruce Wayne himself, who was little more than an imposing supporting cast member in the first film; I loved Jack Nicholson's over-the-top performance, but THIS fanboy wanted more of the Caped Crusader in the film. Batman Returns gave us that and more...we got Batman/Bruce character development, the AWESOME give-and-take between Batman and Catwoman (one of the strangest courtships in comics), and Burton even tossed us a little bit of fun, dark humor with Shreck and the Penguin. Everyone's performances maintained consistent characterizations that came across beautifully as both mad and tragic; Keaton was subtly psychotic, Pfeiffer was fatally seductive, Walken was deliciously megalomaniacal, and DeVito was unwaveringly grotesque. Everyone pulled off their characters with gusto and memorable appeal. Though not as dark and gritty as the first film, ""Returns"" captured the subtle madness that permeates Gotham City. When you compare ""Returns"" to the other Batman films, it is easy to see that it gives Batman's world the touch of underlying insanity (as only Burton can capture) that the first film lacked (where was the Joker's twisted sense of humor?) and the last two increasingly turned into the Three Stooges (""Chicks dig the car""!?!). Batman Returns excelled in that it was a dark, disturbingly insane portrait of Batman and Gotham City; a film that carefully balances on the fine line where and darkness and madness meet. For those movie lovers brave enough to try walking that line, I recommend this film.",,Anonymous,"Crime, Fantasy"
Gothic lunacy,"Bizarre second outing for the Dark Knight that goes overboard on the darkness, but remains highly entertaining. DeVito has way too much fun, and Pfeiffer's Catwoman remains the benchmark. This film forced the overcorrection of Batman Forever and disastrous Batman and Robin. Can't help but wonder what would have happened if Burton and Keaton continued the series. 7/10.",7.0,Anonymous,"Crime, Fantasy"
"A grandiose sequel with three splendid roles: the Bat, the Cat and the Penguin","A nice follow-up to blockbuster fantasy epic that renewed Hollywood's faith in media blitzing. Batman returns contains a lot of noisy action ,thrills, chills and dazzling production design. The caped crusader is back in Gotham City, where even the criminals are afraid to walk the streets alone. There's a new breed of criminals in Gotham City led the the sinister the Penguin. While Batman (Michael Keaton) deals with a deformed man calling himself the Penguin (Danny DeVito) wreaking havoc across Gotham with the help of a cruel businessman (Christopher Walken), a female employee (Michelle Pfeiffer) of the latter becomes the Catwoman with her own revenge. From the Sewers of Gotham, and New Villain Emerges. From the Rooftops of Gotham, the Purrrfect Enemy Comes to Life. And the Only One Who Can Save this City, is a Creature of the Night. While She Craves a Romance She can Sink Her Claws Into, He Plots a Fowl Reign of Destruction, Above Gotham, Looms Its Greatest Hero.This is a dynamic, fast- paced and entertaining movie. Full of action , it's complemented by violent images, thriller and breathtaking scenes with overwhelming fights and traditional FX along with brief computer generator special effects. The dark story is made believable and the script has more pace to it than former film Batman (1989). The picture relies on terrific flying sequences, impressive struggles, black humor and breathtaking pursuits. More of the same from director Tim Burton with Batman more of a supporting role overshadowed by provocative villains. With Danny DeVito cruely misshapen Penguin who seeks to role over Gotham City. Michelle Pfeiffer is the dangerous and exotic Catwoman who has more than a passing personal interest in Batman and Christopher Walken in the maniacal tycoon Max Shreck. Keaton is surprisingly good as the dual personality hero though Pfeiffer steals the show, she fares best in her wickedly sexy character and second-skin costume completed with bullwhip.The motion picture was well directed by Tim Burton. Being preceded by ¨Batman¨ (1989) with similar cast : Michael Keaton , Michael Gough, Jack Nicholson , Kim Basinger , Robert Wuhl , Tracey Walter , Pat Ingle , Jack Palance. Followed by ¨Batman and Robin¨ (1997) by Joel Schumacher with Val Kilmer, Chris O'Donnell, Uma Thurman, Alicia Silverstone , Michael Gough , Arnie, Pat Ingle , John Glover. And ¨Batman Forever¨ (1995) by Joel Schumacher with George Clooney, Chris O'Donnell, Jim Carrey , Nicole Kidman , Drew Barrymore , Deby Mazar , Don Dragon Wilson, among others .",7.0,Anonymous,"Crime, Fantasy"
Good Batman Film Without Question,"Batman Returns is to be considered quality when one speaks of superhero films. Its predecessor, Batman, in my opinion, is by far the greatest and most well thought out of the comic book genre. For one to say that Batman Returns was disappointing, he or she has not fully watched the movie and considered the acting of Danny Devito as the Penguin. Devito and Walken offer some memorable moments. The tale of Batman is suppose to be dark and Tim Burton has fulfilled how the comic portrays Batman. Batman Returns provides comic relief, action, suspense and fantasy; and it should not be viewed as 'crap', although we are all entitled to our own opinions.",7.0,Anonymous,"Crime, Fantasy"
A Dark Christmas Knight,"Batman Returns is a perfect film to watch during the holiday season as the winter/Christmas atmosphere that Burton creates for Gotham City is wonderful. It's weird that Warner decided to release this as a summer film. It doesn't fit.What's even weirder, when you consider the content of this film, is that it was aimed at families. An upper-class couple throws their mutant baby down the sewer, a socio-phobic billionaire dresses up in leather as a flying rodent, a lonely secretary has a mental breakdown and dresses up in leather as a feline, and said grown-up mutant baby freak runs for political office while being backed by a Trump-like business tycoon hungry for more power. Not to mention the S&M subtext that Tim Burton somehow managed to get away with. His eccentric visual style fits this film best, and is the height of his career, IMO. This is Tim Burton at his Tim Burtoniest.This is a true live-action incarnation of the comic-book character and Burton really should have stayed with the series to keep it on the correct course before it crashed and burned. Batman Returns is not as grown-up and straight-faced as the Dark Knight, but it's more atmospheric, and I just prefer the oddball character development here and Nolan's movies took themselves very, VERY seriously, almost to a fault. They are often depressing to watch while Burton's approach, and the animated series that it inspired, continues to resonate and find new fans.Darker and more violent than the first movie, the sense of Gothic pathos reaches a new high. I was quite keen on Michael Keaton as Bruce Wayne, he displayed the right balance of weirdo loner and cool crime fighter. Michelle Pfieffer is amazing as Catwoman (much sexier and more 'realistically' cat-like), she wears that leather outfit better than the embarrassment of Anne Hathaway, who was simply appalling. Danny DeVito is so convincing as the Penguin that his scenes become a little disturbing to watch. Special mention must be made of Christopher Walken, who is brilliant as the spooky Max Shreck if you think you recognize his Chip Shrek it's none other than Butterfinger from Hudson Hawk (fitting, as co-writer Daniel Waters is the man responsible for turning that movie from an adventure heist into an absurdist comedy).Sam Hamm returns to pen the screenplay, this time without being restricted (and sabotaged) by writers strike deadlines and it's a stronger film with a better assortment of characters, chemistry, and dialogue. He even manages to get in a subtle dig at the shortcomings of the rewritten 1989 screenplay by criticising Alfred for letting Vicki Vale into the Batcave - something Alfred would never do but was necessary for fixing structure problems.Danny Elfman's score is also even better than it was first time round. His powerful and engaging themes define the Batman universe better than any other composer. No offense to Hans Zimmer, who made some wonderful stuff for Nolan's movies, but Elfman gave Batman a sonic aura that became world renowned and it will always be THE defining Batman sound. This movie is the Batman phenomenon at its Zenith. Stick to the animated series and forget the following sequels. Christopher Nolan brought integrity back to the series, but before Schumacher destroyed it, Burton gave the original series integrity too and I miss this twisted fairy tale incarnation of the character.An essential Christmas film, and my favorite Batman adventure.",10.0,Anonymous,"Crime, Fantasy"
"Tim Burton's busy follow-up to Batman is ambitious and memorable, but is suffocated by Burton's unrestrained excess","33 years after being thrown in a sewer by his high society parents, Oswald Cobblepot aka The Penguin (Danny DeVito) has been raised by sewer penguins and now runs a gang of former circus performers called the Red Triangle Gang. Unscrupulous business man Max Shreck (Christopher Walken) is pushing Gotham City to build a power plant which in actuality is a capacitor that will syphon off energy from Gotham. When Schreck's put-upon secretary Selina Kyle (Michelle Pfeiffer) discovers Schreck's plan, Schreck throws her off a building, but she survives and suffering a psychotic break takes on the alias of Catwoman intent on taking revenge on Schreck. The Penguin having amassed a collection of blackmail materials regarding Schreck orchestrates a plan to attain power and prestiege in Gotham with Schreck's help, and while most of Gotham is sold on the image of Penguin Schreck has helped sell, Bruce Wayne (Michael Keaton) is not and believes Penguin is connected to the Red Triangle Gang terrorizing Gotham. As Bruce investigates as Batman he crosses paths with Catwoman who unbeknownst to him is his love interest Selina Kyle.Following the smash success of 1989's Batman, Warner Bros. Was eager to get a sequel from the same creative team. Burton filmed the critically acclaimed and commercially successful Edward Scissorhands and was hesitant on doing a sequel to Batman, but Warner Bros. Enticed Burton back with more creative control than the first film. While original Batman screenwriter Sam Hamm had written an early draft involving The Penguin and Catwoman searching Gotham for hidden treasure, Burton hired Heathers screenwriter Daniel Waters having been impressed by his work. The movie was critically successful as well as commercially so but the box office was a significant sum less than the previous film making $150 million less. Audiences were also not as receptive to the film with a massive parental backlash against the violence and sexualization of Catwoman that resulted in McDonalds ending its Happy Meal promotional tie-in with the film. To this day Batman Returns is a divisive entry in the movie with some appreciating it's bold, dark and bitterly ironic leanings while others call it a shapeless mess of a movie with lack of focus or direction. For me Batman Returns is a mess, but it's an ambitious mess.Regardless of what your feelings are on the movie as a whole, Batman Returns isn't a rehash sequel. From it's Christmas setting to its freakshow antagonists seldom a moment goes by in Batman Returns without some kind of visually magnetic oddity or ""wait a minute, what!?"" moment that it's pretty much guaranteed you'll stay engaged in the film. The production design has some unique elements such as The Penguins abandoned Zoo hideout but Gotham feels a lot smaller and emptier this time around with most of the action set around Gotham Square where the city's Christmas tree is situated and the surrounding streets when we do see them are strangely empty. Despite the first film having half the budget of Returns, Gotham felt like a living breathing metropolis with lots of bustling activity and there's not all that much of that here. With that said, despite clearly being a set it's a very well dressed set and they get some solid if goofy usage from it.The story of Batman Returns is both weirdly engaging and pretty boring. Max Schreck is arguably the primary antagonist in this film and despite being played by Christopher Walken his plan of building a capacitor disguised as a power plant to syphon Gotham's power grid doesn't make much sense and it's pretty underwhelming. Danny DeVito is well cast as the Penguin and despite being under several layers of make-up and prosthetics DeVito is giving his all to the performance. Batman Returns is largely responsible for the impression of Penguin as a gross rotund freak in comparison to his original intention being a gangster who was a send-up of high society ""gentlemen"". There's very little of The Penguin's ""high society"" attitude on display with a minor subplot of Penguin running for mayor probably about as close as we get to it while the rest of the time Penguin runs around in a filth and sweat stained onesy snarling through black teeth like a mixture of a overgrown baby and a rabid beast. The Penguin is odd in this movie, the movie plays his story of abandonment for tragedy and pathos, and yet he's also a sneering perverted, sadist who we're supposed to root against leaving the character in this weird limbo where he's too pathetic to hate but he's also too hateful to be sympathetic. Selina Kyle/Catwoman is no longer a thief and is instead the mousey, overburdened secretary whose character type will serve as trope in several Superhero movies after this one. According to Daniel Waters ""Sam Hamm went back to the way comic books in general treat women, like fetishy sexual fantasy. I wanted to start off just at the lowest point in society, a very beaten down secretary""...certainly big words for a guy whose script plays up the sexuality of Catwoman with emphasized Dominatrix BDSM overtones. If you're going to make a statement like that maybe don't do so while also approaching the character in a way that's only slightly less sexualized than when Frank Miller turned her into a literal prostitute in Batman: Year One.You've probably noticed I haven't spoken much about Batman in this review of Batman Returns. Well that's because Batman is pretty much a secondary character. In terms of importance placed on characters it probably goes The Penguin, Catwoman, Schreck, and then Bruce Wayne/Batman. Since Batman avenged his parents murder by killing Joker in the last movie, Burton clearly has no idea what to do with him so Batman just goes around doing what he does because it's what he's supposed to do. Most of the initial focus of the movie is on the freakshow antagonists (and Max Schreck) with Batman really only making borderline cameo appearances in the first hour. Eventually the movie does incorporate him some more with Bruce Wayne and Selina Kyle starting a relationship with neither knowing the other is Batman or Catwoman respectively and it's a solid set-up for a conflict that the movie drags its heels in getting to. Batman Returns is a Batman movie made by someone who considers Batman the least interesting character in the film. Yes an action movie is only as good as it's villains, but that doesn't mean you scale back the hero to the barest possible minimum.Batman Returns has moments of brilliance in it and as a viewing experience with its twisted take on Christmas and macabre depressing imagery it's guaranteed you'll remember it. The movie's main antagonist of Max Schreck isn't interesting and the lack of Batman in place of focus on the villains is frusturating. But the performances by DeVito, Pfeiffer, and even Keaton despite reduced presence are still strong enough to make an engaging product. I can't say I liked it, but I will remember it and didn't hate it so do with that what you will.",6.0,Anonymous,"Crime, Fantasy"
The Dark Knight Returns,"Out of all the Bat-films, Batman Returns is my favorite.  This beautiful, dark, and funny film is one of Tim Burton's best work. Although it is much violent and darker, this is the Batman that creator Bob Kane envisioned many years ago.  Michael Keaton reprises his role as the avenger of Gotham City. This time he's up against two deadly foes, Danny Devito's Penguin and Michelle Pfeiffer's Catwoman.  With a great cast and film score by Danny Elfman, the movie takes us on an adventure as Batman battles the evil forces that are trying to take over Gotham City.  Christopher Walken makes a great appearance as Max Shrek, a shrewd businessman who has an evil scheme up his sleeve.  But of course, Michelle Pfeiffer is the one that steals the show. With all of these components, you have a film that will blow you away. This is the reason why you go to the movies.  It's got everything.  It's really a shame that Tim Burton didn't get to direct the other sequels.  If so I think the franchise would still be going strong today.  Batman Returns is an awesome experience for fans that like cool movies.",10.0,Anonymous,"Crime, Fantasy"
