title,content,rating,username,genres
Has a crazy rhythm all its own,"It may take two or three viewings to warm up to ""Beetlejuice"". It has a kooky, cockeyed sensibility and a rhythm that is by turns easy, lazy and frenetic. A charming couple in New England die and come back to their beloved home as ghosts, determined to rid the place of the horrendous new tenants. Possibly the most benign and engaging performance ever by Alec Baldwin; Geena Davis, Winona Ryder and Sylvia Sidney are also very appealing. The new couple from New York who take over the house (Jeffrey Jones and Catherine O'Hara) aren't as well written or thought-out as the other characters and some of their bemused, dry-ice comic lines take a few seconds to reach you. Of course, there's Michael Keaton, wildly comic as Betelgeuse. I recall hearing comments back in 1988 that Keaton wasn't around enough to make the picture worthwhile, but that's only if you watch the film for the fast quips and sight-gags. Keaton is truly wonderful, but he's also bombastic, and I felt there was just enough of him to satisfy--it's really not his story anyway, it belongs to Baldwin and Davis; Betelgeuse is used as a horny, vulgar punchline. Director Tim Burton is very careful not to overload the movie with raunch; he is surprisingly careful in setting up this story, and he works magic within a dubious scenario: a comic fantasy about dead folks which ultimately celebrates life. ***1/2 from ****",8.0,Anonymous,Fantasy
Keaton the ghost with the most.,"Considering he's not in the film that much and the film is named after his character he steals the whole show when he appears front and centre. He is so good you're amazed by him I wouldn't be surprised if Jim Carrey didnt use Michael Keaton's performance as Beetlejuice as a template for his fantastical cartoon character Stanley Ipkiss in the The Mask.
Love the B Movie special fx and the Shake Senora dance scene.
Little peave though was Betelgeuse/Beetlejuice dilemma. Wish they explained it a bit better thought I was having a dyslexic turn kept checking after all these years in was reading the name of the film wrong, kept stopping the film to check the title. The only downfall.
All in all funny and out there film. I'd just watch it for Keaton's performance.",8.0,Anonymous,Fantasy
Lots and lots and lots of fun,"This is a great movie to simply watch and enjoy--no need to think or analyze--just enjoy the silliness and cool factor of this nice film.A young couple living in their dream house (Alec Baldwin and Gina Davis) are accidentally killed and thereafter live as ghosts in the home. Some time later, a family of freaks (Jeffery Jones, Catherine O'Hara) and their disaffected daughter (Winona Ryder) move in--much to the ghosts' chagrin. That's because instead of respecting the lovely home's charms, the parents want to turn it into a pseudo-intellectual freak house. However, Winona somehow is able to see and communicate with the ghosts--but her parents can't believe that they exist or that they're doing anything wrong with the house.The dead couple try to scare away the family, but their attempts are really lame (and funny) and this only makes the weirdos want to stay even more! So, out of desperation, they seek out the most evil and obnoxious ghost, Beetle Juice (Michael Keaton) to help. The problem is that although Beetle Juice is able to scare anyone, he's also a total maniac and once let out, he's amazingly difficult to stop.The film abounds with many things you'd expect to see in a Tim Burton directed film--weird special effects, an odd set design (after the weirdos transform the house), fun and a definite ""cool factor"". The actors do a fine job as well. Additionally, the script is smart and fun. While some might find this too dark a film for young kids, for older kids and adults, it's mighty entertaining and silly. Plus the music is just so darn infectious and fun!",8.0,Anonymous,Fantasy
"AND IT KEEPS GETTING FUNNIER, EVERY SINGLE TIME I SEE IT! (that's not just a quote)","This is one of Tim Burton's best films. His sophomore effort shows the story of a married couple (the Maitlands played with good degree by Alec Baldwin and Geena Davis) who die accidentally off a bridge and wind up the target for a upper-class family (including a young yet well played Winona Ryder) and a weird yet scary ghost (with the most) named Beetleguise (or Beetlejuice in a scene of laughs) played to immense complexity by Michael Keaton. Sure this plot may sound a little anti-climactic being mainly gags and not really a focused story, but so what? In a film where you see sandworms from saturn, shrimps that attach after calypso and a nut who has seen the exorcist 167 time (insert quote here), why bother with a plot. Great fun every time I watch. Reccomendable to anyone.",10.0,Anonymous,Fantasy
"Beetlejuice, Beetlejuice, Beetlejuice!","One of my favourite movies of all time. It's a Halloween classic. Spooky, funny and very rewatchable. I am waiting for that moment when I forget this movie again and get to rewatch it. Beetlejuice is a creativity booster, an inspirational, in an artistic sense, film. The sets, the wardrobe, the props - everything inspired me as a kid and made me love those dark-romance, Tim Burton motives.",7.0,Anonymous,Fantasy
"Burton's true masterpiece, and one of the ten best 80s movies.","Watching this one more time on TV yesterday reminded me of the first time I saw it all those years ago at the movies when Tim Burton was just the guy who had directed that funny Pee-wee Herman movie. Walking into 'Beetlejuice' then, without knowing anything about it, was an amazing experience. Along with 'Blade Runner', 'Blue Velvet', 'Videodrome', 'Brazil', 'Paris, Texas', 'The Terminator' and 'Repo Man' it was one of the most astonishing and memorable  movies of the 1980s, an era dominated by Hollywood dreck like 'Flashdance', 'Top Gun', and 'Footloose'. The whole Bruckheimer/Simpson/Spielberg/Hughes zeitgeist that dumbed down popular movies as never before. Movies like 'Beetlejuice' were a glimmer of hope in a truly awful period.The big question is - how does it stand up today? The answer is better than ever! In fact I would argue that 'Beetlejuice' is Tim Burton's most successful and least compromised film. Everything about it is perfect. A great cast lead by the very appealing and likable Alec Baldwin and Geena Davis as the newly dead Maitlands, a star turn by Michael Keaton as the gonzo ""bio-exorcist"" title character, and strong support from Jeffrey Jones, Catherine O'Hara, and especially Winona Ryder (a performance that really put her on the map), as the new occupants of the Maitlands house. 'Beetlejuice' juggles gruesome, trippy and genuinely witty sequences, and ends up becoming one of the freshest and surreal movies to find a mainstream audience since the heyday of 60s/70s ""head"" movies. Forget Burton's more recent hit and miss big budget efforts, and try this for the real deal, Luis Bunuel meets Tex Avery meets George Romero, and then some! 'Beetlejuice' is a blast!",,Anonymous,Fantasy
Now this is life after death!,"You gotta figure that only Tim Burton could come up with this! An ultra-zany story of rural couple Adam (Alec Baldwin) and Barbara Maitland (Geena Davis), who accidentally get killed and witness a tasteless couple moving into their house, forcing them to hire ""bio-exorcist"" Beetle Juice (Michael Keaton), is truly something else. With a new joke almost every minute, the movie never gets dull. And how about that soundtrack? ""Day-O"" in the most morbid comedy ever? Yep, it's all here. Great support from Catherine O'Hara and Jeffrey Jones as the tasteless couple, Winona Ryder as their disaffected daughter Lydia, and Sylvia Sidney as afterlife counselor Juno, make this one of the coolest movies of 1988!",10.0,Anonymous,Fantasy
Nice FU#KN' Model!!!!,"This is by far Michael Keaton's best performance. Every time he comes on the screen he displays such an eccentric performance that it rivals Jim Carrey from 'The Mask', only without as much help from computers. If his role calls for gross he brings revolting; pushy he brings offensive; witty he brings hilarious sarcasm. One of my few complaints is that he doesn't get enough screen time, although he does have a large portion of it, most goes to Gena Davis and Alec Baldwin.Tim Burton's directing is great. My favorite scene by far doesn't even have Michael Keaton in it. Anyone who has seen this will remember it as the dancing dinner scene.This is a classic. If you haven't seen it then you must've'e grown up under a rock or born before I was.",7.0,Anonymous,Fantasy
Tim Burton's sophomore feature cements the director's iconic style with a joyfully inverted take on haunted houses and ghosts,"In the idyllic small town of Winter River, Connecticut, Adam (Alec Baldwin) and Barbara Maitland (Geena Davis) are a happily married couple who are content to fix up their house while on vacation from working the local hardware store. However, on a routine drive the Maitlands inadvertently plunge their car into a river trying to avoid hitting a dog in the road. Upon their return home the Maitlands start noticing odd things such as not remembering how they returned home and eventually discover with their inexplicably acquired book The Handbook for the Recently Deceased that they died in the river and are now ghosts bound to the property. A bad situation is rendered worse when their home is sold to the yuppie Deetz family consisting of stressed architect Charles (Jeffrey Jones) who hopes for peace and quiet, Charles' tacky socialite would-be artist second wife Delia (Catherine O'Hara), and Charles' gothic death obsessed daughter Lydia (Winona Ryder). As the Maitlands try to scare the Deetz' out of their home to no avail Lydia begins seeing glimpses of them, however a fast talking lecherous con-man named Beetlejuice (Michael Keaton) offers his services as a ""bio-exorcist"" to the Maitlands to get rid of the Deetzes, but Beetlejuice may be even worse than they are.Following the success of Tim Burton's debut film Pee-Wee's Big Adventure, Burton became bankable enough for Warner Bros. That he became attached to the long stalled in development Batman. While Batman continued its turgid development Warner Bros. Offered Burton a number of scripts many of which he hated including the infamous Hot to Trot. Eventually Burton was given the script to Beetlejuice and decided it would be his next project. The script, originally written with a much darker and less comic edge was reworked by written Warren Skaaren and gave us the final darkly comic toned end result. The film received positive screenings from test audiences and upon release the film became a sleeper hit opening at #1 at the box office and staying there for four consecutive weeks ultimately making $74 million in North America alone against its $15 million budget which gave Warner Bros. The confidence to formally greenlight Batman which would only make Burton and even bigger name than he already was. Beetlejuice has become one of Burton's most iconic films as its undeniably the first film where Burton's signature style is fully on display (Pee-Wee's Big Adventure had glimpses, but it wasn't quite the Burton we all know). Visually creative, darkly funny, and incredibly quotable, Beetlejuice has become a classic for a good reason.At its core, the movie is a culture clash of two exaggerate types with the Maitlands represent humble, nice, down to earth people while the Deetzes represent the garish tackiness of obnoxious urbanites who revel in excess and inanity and even when they come to small towns to ""get away from it all"" their thoughts turn to ""how do we make this more like where we came from?"". Burton loves larger than life characters and he does well with the over the top likable Maitlands and the over the top tacky Deetzes but we also get a more grounded core in Winona Ryder's Lydia who despite being positioned as a gothic outsider, is also ironically the most normal and down to Earth one of the group and serves as our proxy through which we experience the supernatural shenanigans. Baldwin and Davis are both incredibly likable and have fantastic chemistry as Adam and Barbara, and Catherine O'Hara is delightfully over the top as she voices her disgust with the Maitlands home and mutilates it along with her buffoonish and foppish interior designer Otho (Glenn Shadix) who's very much a jack of all trades and a joke at all of them. But of course, we can't talk about Beetlejuice without discussing the titular character and he steals every scene he's in thanks to the manic energy brought by Keaton to the role. Very much a Bugs Bunny by way of the Cryptkeeper, Beetlejuice is repulsively funny as he's essentially this fast-talking conman with vulgar appetites and lecherous leanings that he doesn't even try to hide that culminates in a satisfying climax where everything is fully unleashed.Beetlejuice is an inverted take on Ghostbusters with the crazy surreal imagery that would become part and parcel to many a Tim Burton production. With sharp clever writing, beautifully ugly visuals, and memorable lines and characters it's no wonder why Beetlejuice's legacy has endured as long as it has.",9.0,Anonymous,Fantasy
Don't say it!,"Despite an interesting premise and several impressive, unsurprisingly strange sight-gags, 'Beetlejuice (1988)' isn't really all that engaging. It isn't bad, but it doesn't quite grip you in the way it should. It isn't particularly funny, for instance. It's also somewhat undisciplined, with a plot that seems to operate on an ""and then this happens"" logic. Of course, the thing has its more successful moments. Keaton is good as the eponymous creepy character, bringing a lot of unnerving energy to the role. Baldwin and Davis do a good job of playing an everyday couple forced to cope with an inconceivable situation, too. The film is at its best when Burton's signature weirdness is allowed to run wild, with stop-motion monsters and grotesque make-up galore. It can be a very visually pleasing experience. It just isn't all that entertaining as a whole, though. It's hard to say why, but it just isn't all that compelling. 5/10",6.0,Anonymous,Fantasy
