title,content,rating,username,genres
"Linklater, Delpy & Hawke make an impossible sequel work (including minor SPOILERS)","""Before Sunrise"" was one of the most beautiful independent love stories of the 90's. Part of its appeal came from the open ending. We didn't know how the lives of these two young people would continue and what would become of them. The whole movie was like a snapshot that left the rest to our imagination. A sequel to such a story seemed to be unnecessary, but apparently director Richard Linklater himself couldn't stop thinking about these two intriguing characters and had to envision their lives after this one fateful day in Vienna.Here it is now, the most unlikely sequel I have ever seen, ""Before Sunset"" - made not for money but for pure artistic purpose only. Much of the magic of part one could have been destroyed, but somehow Linklater and his two main actors managed to pull it off. ""Before Sunset"" takes place nine years after Jesse and Celine first met and as soon as the movie starts you feel like you meet old friends you haven't seen in a long time. You know these people and immediately feel at home with them. I was afraid that ""Before Sunset"" might give answers to questions that shouldn't be answered in the first place. If ""Before Sunrise"" was a dream that two young people had, then this movie could only be the rude awakening, the confrontation with reality. And somehow it is just that. It's a bit disillusioning to hear that all did not turn out as well as one might have imagined. We learn that Jesse and Celine are not particularly happy in their lives and that they are not really the romantic persons they used to be nine years ago. The soothing thing to see, however, is that they are still here. They both have passed their 30th birthday, they have jobs and their future is more or less decided, but they're still longing for passion in their lives and as soon as they meet each other, it's there again. They might have given up a lot of their dreams and beliefs but one thing remains true: their feelings for each other. While they're talking it's like they turn back time and become the young, hopeful people they once were again. I'm getting a bit carried away, but that's the beauty of these two movies, ""Sunrise"" and ""Sunset"". The story sucks you in and you're not able to stop thinking about it for a long while.Another thing ""Before Sunset"" did, it made me reflect on my own life. How have I changed in the past nine years? What has become of my dreams? Obviously, I have gotten more cynical, because at times I was irritated by Celine's talk about environmental problems and her emotional outbursts. It took me way longer than last time to ""bond"" with her character this time around.Anyway, the performances by Hawke and Delpy are wonderful once again. Their acting is as natural as can be, and thinking of Hawke's recent divorce in real life you wonder how much of his character in the movie is based on his own personal experiences.Unfortunately, the movie is over way too soon. After about an hour you have already arrived at the final scene - a scene that is just amazing. It makes you hope that somehow everything will work out for Jesse and Celine and that maybe they will stay together this time. As part one, ""Before Sunset"" doesn't have a definite ending, though.It's sure nice to see that apparently Linklater cares about Jesse and Celine as much as I do and made such a good sequel. He could probably even make a third part. ""Before Sunset"" has convinced me that it could work.",8.0,Anonymous,Romance
Life as few know it,"I'm a movie lover. That first thing said, i have to recognize that i'm really hard on movies, and i usually discard many of them for being under-prepared, for so many errors and things like that. But with ""Before Sunset"" i felt different. We all know movies are just fakes: what happens, what we see is not the real life. It's just a construction. It's just somebody imagination becoming a visual media. But when i was watching this movie, i didn't felt that. I was seeing real people, with real problems and having thoughts, and fears and hopes. It's the most real acting i ever saw. All about it is just perfect: the ambiance, the set, the city, even the apartment we can see at the near end. Every piece of the movie was connected, and you can tell a whole story about the characters just for hear them, or seeing the way they talk, the things they said, the music they chooses or the things they have. In that way of thinking, i found this movie inspirational, a well-made piece of life, and incredibly deep and wide film. I think this is a portrait of life as only a few can know, of all the shadows and lights we all share.So, i really recommend it, even if you didn't saw the first one.",8.0,Anonymous,Romance
The only problem...,"...is that it ends. This is a fantastic film. It joins the handful of movies where I think I liked the sequel even more than the original, although I liked 'Before Sunrise' as well. Where Sunrise captured the immediacy and urgency of perfect youthful love, Sunset reflects beautifully on the aftermath of that perfection. I remember a line that says ""nothing that is complete breathes"", and I think that is what we see in this film. A perfect connection with another human is a blessing and a curse; having experienced perfection a part of us stops breathing, unable or unwilling to mar the perfection of that memory.The dialogue is amazing, the acting is spot-on; this is a great film. In some ways it felt more like reading a great novel than watching a movie, in that I really felt like I knew the characters and was sad the movie had to end. Kind of like saying goodbye to an old friend. If you are an action movie kind of person, skip this flick because it will bore you to tears. If, on the other hand, you like good dialogue, well formed characters, and aren't quite jaded enough to have given up completely on the idea of true love, don't miss this film.",10.0,Anonymous,Romance
"How do you make a sequel to ""Before Sunrise""?  This is how.","I'd been longing to see this one as I'd always thought 'Before Sunrise' was one of the most honest, most real films I'd ever seen, but at the same time I held off seeing the sequel from fear of disappointment. For all of you in the same position, fear not ; Linklater, Hawke and Delphy (for it has surely been a joint effort and labour of love for all three) have done us and themselves proud. I've just seen the film and despite being male and 38 I feel like Roberta Flack must have felt when she penned 'Killing me Softly' after hearing Don McLean sing 'Vincent' in concert; this is - once again - just so close to what it's all about. You want technicalities? The acting, superb; Hawke and Delphy slip right back into their characters, their mannerisms, their sometimes gauche repartee, the way they seem to fence around each other, seeming to go in for the kill then feigning, drawing backExquisite. And then the details, the echoes of the first film in the settings but now with a world-weariness, an autumnal note and yet with still that fundamental freshness and optimism that revives the memories of Sunrise's youthfulness and reminds us, as our heroes discuss, that though time changes people, there remains an unchanging core. Just see it; this is about as good as it gets, folks.",10.0,Anonymous,Romance
"So Little Time, So Much Love.","Before Sunset is one of those movies, you either love, or you hate.Personally, I loved it.Now, I recommend watching ""Before Sunrise"" first, however it isn't necessary. Before Sunset does a good job of reviewing what had happened, therefore if you decide to watch it Before watching ""Sunrise"" you have nothing to worry about.Some scenes are extremely well done. The characters are picture perfect, and the movie itself, is breathtaking. The aura of the movie is so spectacular, that it will inspire young directors out there, to pick up their video cameras are start filming.An 80 minute movie, about two lovable characters and what they have to say, may sound boring. But the way it's done in Before Sunset, will sweep this impression right off your feet.Julie and Ethan play two of the most honest and true characters I have ever seen, they are known as Jesse and Celine. And while much of the credit must go to the characters themselves, you musn't forget the actor and actress who played them.Julie is perfect as Celine. The young french actress is so natural in front of the camera. Definitely, has potential.Ethan is also very very honest, he seems so comfortable character that that you forget your watching a movie, and not a home-made video.Both play with such honest expression, and such trueness, that they are so natural, Before Sunset becomes no longer a movie. It feels as if you are eavesdropping on two extremely developed people. It's such an intimate environment, that you never want to leave.Before Sunset... 9.901/10*****",10.0,Anonymous,Romance
Objectively good,"I appreciate the craft of this movie, especially the continuity. It's an objectively good movie. But.. I can't say I enjoyed it that much. The characters seemed written to be realistic - but too much realism made them unrealistic. This was a mentally bumpy ride for me.Like, did people actually talk like this in 2004, in prose with several random sexual plugs? Their dynamic has tension and chemistry, but what do they see in each other? Jesse is terribly cringy and un-charming, while both self-absorbed and self-deprecating. He had the grace of youth as the excuse in Before Sunrise. I was expecting he would mature in the 9 years before reencountering Celine, but nope! Celine is no saint either, lying directly to Jesse on occasion, but she has more likabilities. But maybe thats what this is all about: two flawed humans fall in lust. An imperfect love forms through space, time, and imagination.How imagined or pure is the connection with someone you've spent about 24 hours in 10 years with? I guess we'll see in Before Midnight..",7.0,Anonymous,Romance
Wow! Satisfying at so many levels,"I had not seen the prequel to this although my date had and she filled me in on many details. While the experience of this film would be enriched by having seen the preceding film first, it certainly stands satisfactorily alone.In many ways, this reminded me very much of one of my most favorite movies of all time, ""My Dinner with André,"" in which just 2 characters talking comprised the whole movie. In that movie, the friends had been close, drifted apart, and then had a brief reunion at a dinner at which they caught up with what the other had been doing. The two principals, André Gregory and Wallace Shawn, played themselves and each represented one side of a dialectic, say the side of romanticism vs. a conventional reality. ""Before Sunset"" is parallel in many ways.At one level we have a romantic story -- two people who'd briefly been lovers nine years before and lost touch meet again. They spend an afternoon together. Will they try to fulfill what they'd started?At another level, we have the charm of conversation and exploration, of reminiscing, of gradually feeling out and discovery of how much do I have in common with this person now? -- where has this person been? -- what are they capable of now? -- how much freedom of choice do I have, does this other person have -- to make decisions? Etc.While Celine and Jesse have a capacity for relating and talking, they also have somewhat opposite ways of viewing the world and relationships -- Celine is more cynical and reserved; Jesse is more open to settling for the ""not-perfect-but-good-enough.""There are possibly a few people who have not had the personal experiences that at least somewhat relate to the premise in this film -- a relationship in which one wonders, ""what would have happened if I'd pursued that relation?"" but probably most people have. And the other dilemma, of meeting again that someone but by now being involved in relationships of responsibility -- my family, my children, my present life. What would it do to them if I were to pursue my own happiness at the expense of them? Can I do that? Can I value the chance of my own happiness above theirs? Etc.The film, fortunately, gives us no answers to these essential questions but it does pose them in a way that makes us consider them.Delpy and Hawke are given screenwriter credits and I feel sure that they must've contributed a great deal to the feeling of seamless, natural dialogue.GREAT movie. No movie satisfies everyone, of course, but at the time I wrote this, slightly over 50% of the voters gave it a 10/10. For those of us in that group, it's a great film.",10.0,Anonymous,Romance
Probably one of the best sequels I have ever seen.,"The dialog is considerably more believable, the characters are deeper, the emotions are stronger and the viewer's connection with the characters is more intense. Ethan Hawke is better, Julie Delpy is better, Richard Linklater is at his best.It is outstanding to watch both Jesse and Ethan Hawke grow as a normal guy on a quest for happiness and an actor who has improved a lot since the first part, respectively. Julie Delpy's performance left me in awe in scenes where she describes her frustration with her sub-par love life, whereas 10 years ago her lines seemed emotionless and routine. Richard Linklater takes themes he would only touch superficially in the first part, and dives into them in the second part, much like how the characters are more callous and realize they have nothing to lose anymore.I must admit the first part did not impress me. I was enthralled by the excitement of the young adults' spontaneous romance in Vienna, but it all seemed so dreamy and stereotypical of how love should be. Well, I realize now that this is exactly what it was supposed to be. It was love in every meaning of the word: heightening, inspiring, and painful. It wasn't until I saw Before Sunset that all this dawned on me. The way Jesse and Celine look back at the time they shared 9 years ago, how beautiful their one night was together, how their lives have changed, and they contemplate what could have been, Linklater portrays not only a story of true love, but life in itself and it's never-ending series of ups and downs.I couldn't help but try to walk in Jesse's shoes in my own life 9 years down the road and wonder if I will make the same decisions. Is it inevitable that you wish you would have done things differently? Will ever I connect with someone the way Jesse and Celine do? Is it fair to measure happiness circumstantially? All these are questions Linklater makes us think about while witnessing a love that just doesn't ""fizzle out"".",7.0,Anonymous,Romance
"I appreciate it, but I don't like it.","I appreciate Before Sunset for what it is -- a sequel made nine years after the original, set nine years after the original, starring the same two actors and following up on the events of the original -- but that does not mean I liked it. The conversations in this film were not as interesting as the first movie, and I did not want the two romantic leads to get together anymore. Yes, it feels very realistic, but who wants to listen to people complain about their life and their marriage for over an hour?",4.0,Anonymous,Romance
"A great movie, and a nice break from most Hollywood trash.","This is simply one of the best movies I've seen, with very few qualifications. Maybe I should say that this is one of the best ""simple"" movies I've seen. Perhaps it is a bit like cooking, use fresh and quality ingredients and you can make something great without a lot of unnecessary stuff. Unfortunately, Hollywood just doesn't seem to have the ambition to make these type of movies anymore.In any event, this is one of the few sequels that matches the intensity and integrity of the original. First, it has many simple, yet stylish and honest shots. Perhaps the Scorcese shot is used too much (i.e. following the actors on a long walk without cutting a la Goodfellas kitchen scene), but I don't think so because it makes sense in the context of the movie. Second, many of the shots have interesting emotive effect. For instance, towards the end of the movie, after these ""lovers"" are fighting the clock (because Ethan Hawke's character needs to catch a flight) and are cruising down the river, they are so engrossed in their conversation and the fact that they are trying to get so much out of the last few minutes they don't notice their ride is coming to an end. However, we the viewer can see what the characters either don't see or don't want to see, that the boat is crossing over the river to its destination and the departure no one wants to deal with. The viewer is given a wonderful sense of dread as the bank approaches in the background, because we know what is going to happen when the ride ends, and like the characters, we don't want it to end either. Even if the film borrows heavily from other great movies (e.g. My Dinner with Andre) it is independent of those influences.Julie Delpy and Ethan Hawke were great per usual. Making the dialogue ring true is difficult, but they pull it off. As before, they completely capture the nature of the intimate and friendly conversational style of friends or lovers that is normally edited out of most movies. When people talk, things are not always sequential or rationale, and unlike most movies this movie doesn't try and correct that. Not for a moment does the audience find themselves thinking that this is some sort of charade and no one would ever talk like that. The dialogue is intelligent and insightful, but that is because the characters are intelligent and have a knack for being brutally honest with their thoughts and feelings.This is movie excellence, and I'm glad some film makers are still trying to make art. Despite the romantic themes this isn't a date flick, so be prepare to deal with the difficult and often unresolved issues of love and relationships that arise.",10.0,Anonymous,Romance
