title,content,rating,username,genres
Master Class,"By sheer coincidence, just two nights prior to the debut of 'Behind the Candelabra', I had the pleasure of viewing one of my favorite films, 1965's 'The Loved One', in which Liberace played 'Mr.Starker', a casket salesman. So it was with Liberace's voice, image and mannerisms fresh in my mind that I encountered Michael Douglas' portrayal of the man and boy, did he nail it.The story itself is pretty much by the numbers with the kind of shorthand one expects from a TV movie bio; it's the performances that bring this to a certain level of greatness. Douglas all but disappears into the role, right from the start. It's truly an amazing thing to watch, and considering the subject, a brave and unapologetic performance. Matt Damon is equally impressive and while I have no idea if he does the real Scott Thorson justice, his transformation from an eager and innocent young man to a jaded, coked-up and surgically altered paranoid boy-toy is stark and convincing. Add to these chameleon-like performances an unrecognizable Debbie Reynolds and a truly unnerving Rob Lowe and you have two hours of truly compelling, master-class performances.Highly recommended.",7.0,Anonymous,Music
They have no idea he's gay.,"The big studios passed on this film despite the fact that it is directed by Steven Soderbergh (Ocean's Eleven, Twelve, and Thirteen, Traffic), and would star Matt Damon and Michael Douglas. They thought is would be ""too gay.""Well, thank goodness for HBO, as they jumped in and green-lighted the film, which is in competition for the Palme d'Or at Cannes.All the action took place in the seventies and eighties. Liberace was about 40 years older than his new lover, Scott. Michael Douglas was fantastic as Liberace, and Matt Damon was also brilliant in the role of Scott.Rob Lowe and Dan Ackroyd supplied outstanding support to the story.Just the right amount of music; maybe there could have been a little more. This was a fascinating story about a man who was in love with himself far more than he could have been with Scott or anyone else.",8.0,Anonymous,Music
Damon and Douglas are superbly good,"For a film about a gay relationship - I had my doubts when I discovered the two male leads were to be played by straight men, but I couldn't be more convinced by their on-screen personas.The kitch was eye-wateringly OTT, Douglas superbly needy yet controlling and Damon sucked into the whole charade. Rob Lowe's performance had me recoiling with his creepiness/plastic surgery face and it couldn't be farther from his more mainstream performances. For a role that appeared for only a few minutes - it stuck with me long after the film was over.All in all, a very solid biopic film that unfortunately won't be Oscared as its been shown as TV movie in the USA. A great shame - Douglas and Damon deserve nominations - their *chemistry* is totally believable.Final point - either Douglas is a superb pianist or the CGI of his hands on the keyboard is first rate!",7.0,Anonymous,Music
Liberace the Legend is served well,"The film is based on the autobiographical novel of the same name by Scott Thorson (with Alex Thorleifson) adapted for the screen by Richard LaGravenese about the tempestuous 6- year relationship between Liberace and his much younger lover Scott Thorson. This film along with SIDE EFFECTS are purported to be Steven Soderbergh's last films he will direct.The cast is very solid. Matt Damon embodies the role of Scott Thorson well - a young apparently bisexual man who has been tossed from foster home to foster home while he does odd jobs (he is 17 years old) tending to animals. In a gay bar he meets Bob Black (Scott Bakula) who takes Scott to a Liberace concert (his first exposure to the mega-star) and to meet Liberace afterwards. There is tension in the air with Liberace's current paramour and performing partner Billy Leatherwood (Cheyenne Jackson) and we soon discover that Liberace (impeccably played by Michael Douglas) only keeps his 'boys' around for a while before his manager Seymour (Dan Ackroyd) gets rid of them with a check. Liberace and Scott find common ground in being needy people without confidants and soon Scott becomes Liberace's next lover. All goes swimmingly until Liberace sees himself on a TV show and sees how aged he has become. He engages plastic surgeon Dr. Jack Startz (Rob Lowe in a very fine performance) to perform a youthful face lift and at the same time convinces Scott to undergo plastic surgery to make him look more like Liberace! And here begins the downfall: Dr. Startz prescribes pain meds to Scott who becomes addicted and moves into heavier drugs, and his behavior, along with Liberace's need for a 'new face' (Boyd Holbrook), signals the breakup of a 6 year relationship - the best relationship either has ever had.There are excellent cameos by Debbie Reynolds as Liberace's mother, Paul Reiser as Scott's lawyer, and others, but the star of the film is in all ways the flamboyant showman Liberace in some of the most interesting outfits ever created. The on screen relationship between Michael Douglas and Matt Damon is entirely credible and neither of these fine actors has a problem with being sexually physical without seeming to be a parody. There are moments that could have been cut, but as Liberace says, less is more and more is wonderful.Grady Harp",,Anonymous,Music
Finally a film that suits Soderbergh's voyeuristic and clinical style.,"It's starting to look like 2013 is Soderbergh's year. Side Effects and Behind The Candelabra seem to be my favourite of his career so far, though that's only relatively, as I'm not a big fan of him. I do have Out Of Sight on my to see list coming up soon and I do need to give Traffic another watch before I make any final assessment on him. Although Soderbergh is frequently the director, cinematography and editor on his projects, he may be efficient but he's far too clinical, pushing the audience as an observer that it's difficult to feel emotionally involved in his films. I can't get excited for his half-baked premises that most likely haven't been fulfilled to their potential. However, Behind The Candelabra may be the first film I've seen of his that suits his style ideally. His style is still distant and voyeuristic, but in this bizarre world where Liberace adopts his lover for a son and pays for plastic surgery to make him look like himself, it feels more deliberate to keep us at a distance.Instead, the scenes of dramatic conflict, decision and choice are played off for jokes and it's really effective, always earning belly laughs with its brilliant one-liners without feeling like it's silly. Perhaps its nervous laughter but it makes for an entertaining and interesting film. Michael Douglas is terrific as Liberace. I've never seen him take a character on like this. He's nearly up there with Sean Penn's Milk. It feels like it's been a while since Matt Damon has been in films I've wanted to watch and with this and Elysium, I've forgotten how reliable a lead he is. The characters inhabit a flashy world, but its kept on the costumes and sets which are incidental more than anything and the style of the film is kept subtle, besides a great choice of swooping cameras. It does have its flaws with nearly soap opera-esque structure and conflict but my expectations were very low so this is a pleasant surprise. I think I even prefer it to Side Effects.7/10",7.0,Anonymous,Music
The enigma is overpowering me,"I would not want to be the person shopping around a serious script in Hollywood about the life of the famous pianist Liberace. It would be the toughest of sells to a culture that would likely feel the material is too dry and the demand too little. A slightly campier script, with luxurious set design and intimate portrayals of characters the public wouldn't likely know about is what I'd like to get my hands on. The story of Liberace is stranger than fiction and dryer, more serious material could've corrupted its overall goals and ambitions.The film with the campier script, luxurious set designs, and intimate portrayals is Steven Soderbergh's Behind the Candelabra, a wonderful, limitless look at the life of Liberace, an enigma in every sense of the word. In addition to playing many sold-out shows, the man had a lovelife like no other at the time, meeting and becoming fast friends with Scott Thorson, an aspiring veterinarian who was quickly made his lover. Thorson seemed to have a genuine understanding of the loneliness and lack of friendship Liberace had and provided him with great talks, great compassion, and great sex.The relationship, however, resulted in drug addiction, intense plastic surgery, lies, mistrust, and ended with a lawsuit. Soderbergh and writer Richard LaGravenese don't hesitate to explore this and make it one of the deepest focuses in the picture. The relationships the men had had the highest of highs and the lowest of lows. The scenes when they are together in a hot tub are human and romantic. The scenes when they are fighting are heartbreaking because you realize that these men haven't just come so far to make their relationship work but losing each other after so long would be detrimental to their self-esteems and egos. They complete each other and that's where the magic is at its strongest.Liberace is played by Michael Douglas in one of the bravest roles of his career. So brave and powerful that it's unfortunate that because of the film's TV movie status it is ineligible for an Academy Award nomination. Douglas is an actor who is never conventional with his role choice. The same man who played a common-man pushed off a cliff of sanity, an executive victim to a consuming, real-life game, and a worried father of a drug-addicted daughter is the same man playing a middle-aged, flamboyant pianist with a love for wonder, music, and men. The diversity in role choice is stunning.Matt Damon appears at his youngest as Liberace's lover Scott, in an equally conflicted, complex performance. Damon fills the shoes of the role beautifully and effectively, giving off much in the way of creative energy and heart as he shows just how stressed and torn Thorson must've been in a relationship with someone who truly loved and understood him but wanted to manipulate him. Supporting performances from Rob Lowe as Liberace's doctor, prescribing medicines to both him and Thorson and Dan Aykroyd as his manager are terrific and often are seen providing strong comic relief.For a TV movie to have the cinematography and atmosphere that Behind the Candelabra does is truly a feature worth nothing. It may not be as excessive as Baz Luhrmann's Great Gatsby - I don't expect anything of the next two years to be on par with that film - but rarely has a TV movie achieved such phenomenally vibrant and luscious standards. The only thing that could make it better is Soderbergh proving he knows how to work with it and he most certainly does.HBO seems to be the go-to network for biographical films about figures that wouldn't likely make appropriate return in the theaters (Behind the Candelabra especially considering the summer movie season has already hit the ground running). David Mamet, just a few months ago, directed the delightful and shockingly unbiased Phil Spector, with actors like Al Pacino and Helen Mirren receiving top-billing. Seeing as a Liberace biopic is directed by none other than Soderbergh, I wouldn't be surprised at seeing a slew of films about eclectic media figures being made and released on HBO in the next few years. Networks that have the drive and willingness to air these kinds of films are a necessity to the success of film.Starring: Michael Douglas, Matt Damon, Rob Lowe, and Dan Aykroyd. Directed by: Steven Soderbergh.",9.0,Anonymous,Music
Unexpectedly great performances!,"I decided to watch this film on HBO because I thought it would be a hoot - one of those catastrophic and pretentious productions which are so laughable. Within 20 minutes I realized that the film was rather important. Michael Douglas captures the late Liberace's mannerisms and voice with astonishing ease. He is quite stellar in his performance, and I see him now in a new light. Matt Damon is excellent as Scott, his protégé. The personages involved are deeply complex, even if one is only familiar with the contemporary ""National Enquirer"" reports one realizes their is something one can not quite understand about ""Lee & Scott's"" relationship. Douglas and Damon are brilliant in delving into these characters. They are unrecognizable, at times, from the familiar roles we all know of them. I think the film well worth watching. As a bonus, Matt Damon shows his bum on several occasions, for those who are interested; if not, one cannot help but be interested in the wonderful performances from two of Hollywood's great stars! A courageous undertaking well done indeed!!!",8.0,Anonymous,Music
"With all the talents, can't quite live up to expectations","It's 1977. Scott Thorson (Matt Damon) is a young animal trainer for the movies. He meets producer Bob Black (Scott Bakula) in a gay bar who introduces him to Liberace (Michael Douglas). After treating Liberace's dog, he takes Thorson under his wing. Thorson is entranced by the opulence and an offer of a job. The older Liberace takes over the young Thorson's life including changing his face by Dr. Jack Startz (Rob Lowe).This movie has Steven Soderbergh behind the camera and some great acting talents in front of the camera. I know it's a TV movie but with that kind of talent, I was expecting a whole lot more. Maybe I expected too much. The story is a pretty simple one about a naive newcomer falling into a sugar daddy. It's a lot of flash and Liberace provides all the outrageousness that any filmmaker could ever hope for. But the story just doesn't have any surprises. The acting is good. Everybody has a lot of fun playing gay. Matt Damon may be playing innocent a little too much at the beginning. The movie looks fine but there isn't any chance to pump up the excitement. This isn't all that compelling.",6.0,Anonymous,Music
A triumph,"This is a first-rate piece of work by Mr Soderbergh and his team (kudos to Ellen Mirojnick's flamboyant costumes and Howard Cummings' outrageous interiors). The otherwise excellent screenplay by Richard LaGravanese loses a little steam around two-thirds of the way through, but recovers to give a genuinely touching conclusion.Nominally this is a biopic. In fact, it uses the biopic format to examine a particular relationship in depth. The narrative focus is on the dynamic between two people rather than the inner turmoil of one. This, as well as the director's good taste, has kept at bay the sprawling pretentiousness and sentimentality which usually infest the genre, regardless of how good the central performances are: films as diverse as LA VIE EN ROSE and MILK have been scuppered in this way. Not so BEHIND THE CANDELABRA, which is an altogether more sophisticated affair.The acting is dazzling. Michael Douglas, in a beautifully-written role, communicates the complexity of a real human being, not just a two-dimensional celebrity. At the same time, he gives full value to Liberace's famous showmanship. A star performance, sure - the subject demands it - but also much, much more.Matt Damon is a revelation. For me, up till now, he has represented the worst kind of dead-behind-the-eyes, don't-dare-express-anything movie acting. The nearest I came to thinking any different was his turn as the scout in the Coen Brothers' remake of TRUE GRIT. In BEHIND THE CANDELABRA he displays a range I never thought he had in him. The character moves from naivety through rage to despair and on to quiet understanding. Really, really terrific.The two leads create a totally believable relationship between their characters, in all its aspects. A triumph.The icing on the cake is the supporting cast, led by Dan Aykroyd and Scott Bakula, and spangled with cameos from Rob Lowe, Debbie Reynolds, Bruce Ramsay, Cheyenne Jackson and Paul Reiser.Here in England we're fortunate to see this film on big screens. As is well known, it was financed by a TV company (HBO) and will not be released theatrically in the USA. That tells a sad story about the American movie industry, from which an independent-minded artist like Mr Soderbergh is wise to walk away.",8.0,Anonymous,Music
Liberace's story based on Scott Thorsen's book,"I've seen ""Behind the Candelabra"" from 2013 and ""Behind the Music"" from 1988. Behind the Candelabra was an expensive HBO production starring Michael Douglas, Matt Damon, Rob Lowe, Debbie Reynolds, and Scott Bakula.This particular film goes into more detail about Liberace's private life and his efforts to hide his homosexuality. It seems incredible now, given that he was such a flamboyant showman. Interestingly, this flamboyance can be a trait of the ""twinless twin"" where a twin dies at birth.Elvis Presley and Diego Rivera are two other twinless twins, as were Thorton Wilder and science fiction writer Philip Dick. Each of these artists and also many twinless twins have demonstrated an unusual ability and drive - the twinning motif.Their careers are dominated by a compulsion to bring together different strands of creativity, and render something completely new. By doing this, they are attempting - for a lifetime to seek a more fuller understanding of why they lived while their twin died.The Liberace shown to us by Scott Thorsen is much different from that shown in the 1988 movie, a much more honest look at Liberace's lifestyle and sexuality. It's a much richer script.Here we see a man in his big fur walking around an audience, showing his flashy ring and saying, I worked hard for these rocks! In his private life, he was never alone but lonely and had relationships with several young men. Was he looking for someone to help him feel young, or someone to recreate his younger self? We see with Thorsen and Thorsen's plastic surgery that Liberace wanted a mini-younger me.As far as the performances, they were all excellent with the exception of Michael Douglas. As far as I'm concerned, he just put on a wig. His performance can't compare with Victor Garber's, who had less than great material.Marni Nixon, the great singer who dubbed Deborah Kerr, Natalie Wood, and Audrey Hepburn in films, worked with Liberace and toured with him. She obviously loved him. He comes across as warm and generous, and someone who enjoyed spending lots of money, calling his gifts ""happy happys.""Internally, however, he lived in the wrong time and was obsessive with hiding his identity as a gay man. It's a shame. He had a wonderful talent to entertain, and a vivid imagination he was able to share with his audience with his over-the-top clothing, shows, and his personality.A final note: I visited the Liberace Museum in Los Angeles. Liberace had a set of china made in the mold of the royal family's - and after Liberace's, the mold was broken. That was true of him too. When they made him, they broke the mold.",7.0,Anonymous,Music
