title,content,rating,username,genres
Disney old magic,"Inspired by Frozen I started my search for new Disney movie which will offer me same ""Disney magic"" as i experienced in Lion King, Pocahontas, Bugs life, Frozen etc.So I found Big hero 6, and the magic started. This movie is made for all ages. What i find very interesting in this new Disney movie is that he is very educational, specially for children, but grown ups will enjoy ether. characterization is very deep , and you will feel as you are one of the characters in this beautiful story. Visual effects are stunning, so u will experience another Disney master piece.After seeing this movie , I would really recommend it to all movie lovers, especially fans of the Disney cartoon movies. If you are looking for an intelligent and inspiring cartoon movie for your youngest, you can stop looking because you just found it.",9.0,Anonymous,Animation
Disney continues to impress with Big Hero 6,"Big Hero 6 is not among the best that Disney has ever done and it isn't flawless. But it is still very good and one of their best easily since the Renaissance. It did feel a little rushed at times and felt like it tried to do a little too much in the storytelling, as a result some ideas that were introduced like the science-is-good message gets lost. If it slowed down and explored a little less areas it would have improved things. The villain felt underdeveloped and his reveal came over as very obvious and forced as well.However, the animation is outstanding with lots of rich colours and textures, backgrounds that are incredibly detailed and sweet(but not in a cloying way) character designs. One of the best-looking recent Disney films definitely. The catchy and upbeat yet atmospheric and emotion-filled soundtrack and smart script are other things to like, as are the brisk(when not rushed) pacing and rousing if not exactly inventive action. While the story is not flawless, on the most part it's still a winner. Whatever originality it may lack, it more than compensates for that with fun and heart. There are plenty of funny moments(i.e. Stan Lee), and of the laugh-out-loud witty kind and even better is the emotional impact Big Hero 6 has. The brother-brother relationship is handled very affectingly, like between Anna and Elsa in Frozen it was Disney trying to explore a different kind of relationship than they did before and it succeeds in that respect.Sure Big Hero 6 sometimes takes a dark tone but not in a heavy or inappropriate way, there's no reason why anybody should be disturbed by that. The characters are not the most developed ones there ever were and as said more should have been done with the villain, but they're still engaging. Hiro is a very flawed but still likable main protagonist and his relationship between brother Tadashi is beautifully done. The most memorable character for me though was Baymax, he has to be one of Disney's most adorable characters, along with Maximus(Tangled) and Sven(Frozen) he has one of their cutest since the Renaissance. As well as being beautifully designed he displays a lot of laughs and a wide range of emotions, literally the film's heart and soul. The voice work from all(I just wish that James Cromwell had more to do) is very good, with particular mention going to Scott Adsit and his voice is a good match with Ryan Potter's deeply felt Hiro. All in all, not one of Disney's best but one of their better ones of the past 15 years. Haven't seen all the Best Animated Feature nominees but while this viewer did prefer How to Train Your Dragon 2 and the un-nominated Lego Movie they still felt that Big Hero 6 was still a good enough film to merit an Oscar nomination. 8/10 Bethany Cox",8.0,Anonymous,Animation
Lots of emotions and a good film for kids and adults,"I did read before I went to see this movie that Disney would be testing some adult subjects, like the loss of somebody. Without putting out some spoilers, I might say that the movie really touched my boys. I have two boys in the age 6-9, and both of them had both laughter and tears during the movie.It is a great action, comedy, drama package. Both my sons fell in love with Baymax, and if he where standing outside the cinema when we left he would have been given a big hug for sure.The storyline is good, and as a father I had quite a few laughs myself and managed to stay awake for the whole movie. Many times going to the movie with your kids can be a snooze-fest, but this one actually entertained me as well.",8.0,Anonymous,Animation
Whoa!,"Please don't listen to the bad reviews and watch this yourself.I registered with IMDb just to write this. That is how much faith I have in this film. I really cannot believe some of these bad reviews.. ""Not a kids film""?? kids would go mental for this.Animation was nothing short of exquisiteComedy was extremely funny (and i'm not one for comedies)Story line was really great tooAlso made me cry a little... mehplease please please watch how awesome this is. i'm nearly 28 and I absolutely loved it.",10.0,Anonymous,Animation
Disney Going Hero,"Big Hero 6 is another in a line of many successful Disney animated movies. And rightly so, might I add. The movie is about a boy, Hiro, his friends, Nerds and a health care prototype robot, Baymax. They live in a not so distant, technologically advanced future in a city called San Fransokyo. The story is action-packed comedy with dramatic elements to it and, as such, is appropriate for all ages. If you love Marvel movies, you will most definitely like this one as well. If you are more akin to beautiful landscapes and animated design, then by all means, this is the movie you will want to watch. If you are feeling down, the abundance of comedy, present in this movie is sure to make your day up. There is also a lot to learn from this movie, as some of the most important things (as well as most painful) in our lives, are depicted in this movie. Plus, the movie features one quite notorious figure (without too many spoilers). In short, the movie is a must see for children and for grown-ups as well, if they have a child lurking somewhere within them. Do not make a mistake and pass on a beauty of this movie.",10.0,Anonymous,Animation
"a solid Disney-Marvel-Anime hybrid, if less than masterful","Big Hero 6 provides what you'd want in a movie as a kid, and maybe as an adult depending on how in touch you are with your inner-kid. Especially if you have a sibling (brother more specifically) the film's core relationship between Hiro and his older brother - it's not something that we see throughout, due to the first major turning point in the film, but the memory certainly remains strong - it will resonate. But the movie is only intermittently interested in pulling at your heartstrings; it's ultimately about suiting up, getting on the gadgets, and putting together a team. So the film is a lot of things in one - not to mention having an instantly adorable (i.e. lucrative) mascot at the center with Baymax.By saying that it has ""what you'd want"" in a movie, I don't just mean super-heroes in the Marvel tradition (though it doesn't have the Marvel banner, this is based on a Marvel title, albeit an obscure-ish one), but anime as well. Many of the story turns, including the ones that are rather startling and the tonal shifts from lightness to tragedy and then swiftly back to lightness and action and thrills, it's like what I might expect to see from Japan directly. Which, of course, is part of the source itself, and the fact that the city is called 'San-FrancTokyo' (ho-ho) and the film has primarily Asian characters - whether they're all played by Asians is another story, but I digress.I can't be too hard on a film that is just out to sheerlessly entertain the audience like this. It does have some points on the nature of grief and what happens when people are faced with losing someone who can't come back (... or can they?) I think it could've been even better, possibly great, if it had a bit of a better balance on the dark and the light sides of the film. Ultimately, I felt, the tragic parts came when they had to, and outside of that Big Hero 6 is essentially a Fun Ride Of A Movie (in caps), primarily led by a Doctor-cum-Fighting robot in Baymax, and some other supporting characters who are fine, no more no less. Just fine.But maybe Baymax is enough, and certainly, more often than not, this is a very funny movie. He has the entertainment value of the Genie in Aladdin - like in that film, he's the friendly BIG companion who can help save the day for the protagonist - except instead of the thousands of impressions of Williams, it's the exact opposite that makes him appealing: one personality, pretty straightforward, and the dead-pan nature is closer to, oh I don't know, Jeff Bridges in Starman. He's the perfect innocuous character, but is hilarious for the reasons of reaction and straight silliness.It should also be noted the last act, the climax, has its predictable points - like most (or almost all) superhero movies, i.e. from Marvel, it has to all build up to a gigantic Must-Save-the-City from impending gargantuan destruction, involving space as well. And a turn from a character kind of comes out of nowhere, which is fine except that the development is kind of off to suddenly be the ""villain"". However, again, akin to anime, so I can let it slide and still be sucked into the peril of the thing (I mean, hey, they can't all be The Incredibles).For what it's worth though, there's so much to enjoy with this film that I'm sure if I was younger I'd eat it up with a spoon and want seconds-thirds-fourths-etc. It's an insatiably pleasant film to experience, faults and all. 7.5/10",7.0,Anonymous,Animation
Awesome,"My family got tickets to an early showing. The movie was excellent. The atmosphere was refreshingly different, the characters fleshed out, the plot touching, and the humor was rich and consistent . I would recommend this one to anyone, and especially to couples and families with children.Big Hero 6 really blew me away, I expected it to be good since Disney is having another animation renaissance but once the credits began to roll all I could do was wish it was longer. This movie has something for everyone, comedy, action, some despair. In fact, surprisingly the only thing missing was romance, which is fine with me. If you love superheroes, robots, and animated films, I think you've found your holy grail.",8.0,Anonymous,Animation
How to develop a lifelong love of the movies,"A little over a year after I took my granddaughter Catrin (then almost three) to her first ever movie ""Frozen"" (which she utterly adored), I took her (now just four) to see this very different film from the same stable (Walt Disney Animation Studios) and I'm delighted to record that she loved it. We saw it in IMAX in 3D and we were both blown away.Although this time the central character is a young boy - Hiro Hamada of the city of San Fransokyo - rather than two princesses, my granddaughter had no trouble relating to it because Hiro is so cute, his inflatable robot Baymax is androgynous, and two of his four friends - making up the six heroes - are very capable girls.I reckon that ""Frozen"" plus ""Big Hero 6"" - with a few films in between - will give her a lifelong love of the movies.",,Anonymous,Animation
"5-word review: Dazzling, witty, emotional, enjoyably action-packed,","Thankfully not the sixth film in a sextuplet, Big Hero 6 is the latest visually dazzling Disney film since the studio's resurgence. I was not a fan of Frozen, deeming it inferior to Pixar's elite animation masterpieces, and the feature- length music video to 'Let it Go' was mildly enjoyable at best. However, Big Hero 6 is much more fun, with science prodigy Hiro Hamada (voiced by Ryan Potter) forming a bond with his brother's home-made ""huggable"" robot invention Baymax (voiced by Scott Adsit) and subsequently creating a team of superheroes to combat a masked villain with a nefarious motive (it's way better than I just made it sound.)The best part about Big Hero 6 is undoubtedly one of 2014's cutest characters. An ever so slightly more health conscious Groot, Baymax, your personal health care companion, is the film's highlight. He and Hiro provide both a surprising amount of emotional depth and superb action sequences which most definitely reflect the story's connection with Marvel. The supreme quality of the animation makes the action and flying scenes through the excellently-designed 'San Fransokyo' city skyline visibly awesome, cueing an unfortunately audible Neo-worthy ""Woah"" from me several times. The soundtrack is also highly recommended.Big Hero 6 isn't without its faults though. By all means don't lose faith if you need to see it with an offspring or younger sibling; it's certainly an enjoyable time. But it is not as re-watchable or fantastic as a Pixar offering or Disney Renaissance film. This is mainly due to the poorly fleshed out characters, with the exception of the two leads - the supporting characters who form the superhero team are decently done but disappear for a while before being re-introduced. Maybe I've become spoiled by Pixar over the last few years and am expecting too much from a kid's film. Probably. But make sure to see it anyway, and treat it like a Marvel film (which really it is) by watching out for the Stan Lee cameo and staying for the post-credits scene.",7.0,Anonymous,Animation
Everyone needs a little Baymax in their lives,"Big Hero 6 [2014] is the Disney 3-D animated comedy action film that centers on Hiro Hamada, a 14-year old robotics prodigy, Baymax (an inflatable health companion robot) and an unlikely team of superheros.5/5 graphics. Big Hero 6 transports viewers into a new visual realm and relatively individual style (besides its anime resemblance). The story is set in the futuristic city of 'San Fransokyo'. A little of Tokyo and San Francisco in one place. This explains the amalgamation of both Japanese and American components within the story and setting. It should be noted that Big Hero 6 is not a wholly original idea, and the animation is inspired by the Marvel comic by the very same name.Baymax. Voiced by Scott Adsit, this lovable robot is animated to appear soft, cuddly and adorable, credit goes to the graphics and writing team on this one. Hiro's close friendship with Baymax is a highlight. Baymax can hold his own on the screen alone too, just strolling through the city streets, caring for others health and well-being. So yeah, he's cute and he knows it.Expect to have a couple of teary moments. I won't describe or skim through details, out of utmost respect for those who haven't had a chance to see it yet. Since more serious topics aren't the usual in children targeted animation films, it's a nice change of pace.Fantastic message for the young'uns. The main character Hiro (voiced by Ryan Potter) and the rest of the superheros team study robotics at the local university (including T.J. Miller from Silicon Valley and Damon Wayans Jr from New Girl). Reach your potential, practice non-violence and exercise sacrifice. That's just the tip of the iceberg. There are more spoiler-worthy ones that will be omitted from this review entirely. By the way, it's not 'preachy' in the slightest.",8.0,Anonymous,Animation
