title,content,rating,username,genres
Intense and interesting throughout,"I must have been the right audience for this movie. Before watching it I read several reviews and some of them critized it for being pointless and also for being a waste of two hours. But I decided to still watch it and that was great. Why? Probably because I am a father to a two year old son that I love more than anything. So I could relate to Sandra Bullocks character throughout. The decisions she took, the dedication she showed throughout was based on the love and protection for her child and loved ones. I don't want to write more than that. I thought the movie was great thoughout. Two hours felt like one hour. It was intense and interesting. Perhaps predictable as well but for this movie I didn't mind that. My curiosity was still on the highest level throughout.One thought though is that perhaps some bad reviews comes from people watching this on a small screen. This movie is probably best viewed on a big screen with a good sound.I don't want to write reviews for good movies because I think a good movie should be seen without any previous knowledge. But since this in my opinion is underrated and many of the negative reviews will scare viewers I felt I needed to say something.",8.0,Anonymous,Horror
Well that was interesting,"I liked it,,,Although it certainly has it's flaws,, it's an enjoyable suspense/horror/thriller with a great cast.Watch it if you're not squeamish",6.0,Anonymous,Horror
With all the hype it's actually a good movie.,"A bit over hyped but it's an ok to good movie watchable and intense at times , I would say it's a really good science fiction movie without all the stupid unbelievable imagination.",7.0,Anonymous,Horror
Some people don't mind the mystery.,"The most common complaint I'm reading from user critics here is the lack of answers at the end of the movie. However, if we're meant to be seeing everything unfold from Malorie's point of view, it makes perfect sense that we would know as little as she does. I thought the ending was lovely. Not every single film needs to give answers to every little thing.",8.0,Anonymous,Horror
A Quiet Place Where Nobody Can See,"""Bird Box"" is a sci-fi action movie produced by Neflix and like in other films, with many overrated fake reviews in IMDb by hired users or robots promoting the flick. The storyline is the same of ""A Quiet Place"" as well the lack of explanation who the creatures are. The unbelievable plot, where a man is capable to drive a car with black windows using the GPS through streets full of corpses and accidents or a woman with two children rows a boat in a river and runs through a forest blindfolded is boring in many moments. Sandra Bullock and John Malkovich, who are the greatest names of this film, perform obnoxious characters. The conclusion is awful with a ridiculous sanctuary and leaves the viewers with many questions and no answers. My vote is six.Title (Brazil): Not Available",6.0,Anonymous,Horror
What The Happening should have been.,"Whilst Bird Box isn't going to win any awards for originality, it packs just enough of a punch to succeed on the whole. Some people complain about the pacing being too slow. I found it just about right, with the timeline shift back and forth providing some much needed intrigue and mystery as the film develops. I have to say, this film has one of the more memorable and affecting opening sequences I've seen for some time and is played brilliantly.The cast does a stellar job with what is ultimately a minimalist piece relying on tension building and dread, which they do admirably. A special mention has to go to Sandra Bullock who is terrific as Malorie, and Sarah Paulson who turns in an extremely brief but memorable performance that I was thinking about long after the credits had rolled.All in all a very solid little movie without any bells and whistles. Give it a go, you might be surprised. It certainly surprised me.",7.0,Anonymous,Horror
an interesting but slightly underwhelming thriller,"A post-apocalyptic thriller in the vein of A Quiet Place. There are plenty of differences that makes this movie worth watching but has a hard time giving the viewer a surprising or new experience. As I was watching I was able to predict some things that happened, and a twist that should have been shocking ends up being the weakest part of the movie. The movie is at its best when the tension from the mysterious creatures is heightened in small places. When there are too many characters on screen you don't feel the urgency or connect with the characters that may not make it. Sandra Bullock gives another great performance and I can't wait to see Trevante Rhodes in more movies, he really left an impact on the story. Overall a nice watch on Netflix when it comes out, with some great tension, and a nice arc of Sandra Bullock's character.just as an FYI - I did see this at the World Premiere at AFI Fest with the whole cast and director in person. so I did see it in a theatre and I am so glad I did! Definitely worth watching on Netflix too.",6.0,Anonymous,Horror
Bird Box,"I didn't read the book before I watched the movie and I saw lot's of people on Facebook saying they had questions after they watched the movie but those who read the book said that not everything from the book could've been included into the movie. I've started reading the book and I'm only two chapters in and can see that this is true. I loved the movie but I'm already loving the book more. So judging by those who gave this movie scathing review, I'd say they didn't read the book and if they did and still didn't get the movie, that's sad on their part. If they didn't read the book, give that a try. I bet it'll change their perspective.",,Anonymous,Horror
A Quiet Place is the wrong comparison...,"This was a decent horror/ sci-fi film in it's own right, with great acting performances by all. After watching the trailer, I like most others drew immediate comparisons to A Quiet Place. After viewing the film the comparisons quickly changed to another apocalyptic movie based on a novel by Stephen King....Cell.",6.0,Anonymous,Horror
I didn't think it was that bad at all honestly,"I am not a horror fanatic though, so take my review with a grain of salt. I watched this with my mom last year and was intrigued by everything going on. Upon watching it again (which I haven't done) I will say there are many flaws, but for a singular viewing this movie isn't too terrible. I am comfortable giving a 7/10. A decent movie to sit back and watch everything unfold, but probably not worth more than one viewing. Just my opinion.",7.0,Anonymous,Horror
A fine addition to horror collection,"The trailer felt a bit casual but the plot seemed really interesting. So I decided to give it try and I AM SO GLAD THAT I DID. This movie have perfect pace, character development, really good performances throughout with eerie atmosphere while still keeping the viewer guessing for details and attempting to fill some blanks which makes it all more interesting and engaging.The finale felt a bit underwhelming and pushy. But overall, a really good watch and highly recommendable.",8.0,Anonymous,Horror
Who are the Creatures?,"What/Who are these creatures?
Agents of chaos and insanity?
Driven by a desire to destroy all forms of structure and plunge mankind into utter anarchy.
Where did they come from? A singularity?
What caused the madness? Looking into infinity?
Just one look was all it took; before one word was spoken the human mind was broken.I think the 'creatures' were black holes, singularities the size of a pin prick that were triggered by light frequencies. They would blink in and out of our realm like a firefly and once humans looked into them drove them insane.
No? Well you explain them. Josh Malerman didn't explain them.The first place i would run to is a school for the blind.",6.0,Anonymous,Horror
Intense and different,"My wife and I watched this and found it to be intense filled with drama and question, but at the same time almost predictable. Still a great movie to watch if your in to the graphic suspense movies.",7.0,Anonymous,Horror
