title,content,rating,username,genres
"Sometimes frustrating, generally great.","Former star, Riggan Thomas, once famed for playing superhero Birdman, tries to get his career back on track, writing, starring and directing a Broadway play.I can't lie, I quit when I first tried to watch it, I got twenty minutes in, and struggled, I found it a little too heavy, this time I stuck with it til the credits rolled.I'm so glad I stuck with it this time round, it took a little time for me to get into it, initially I found it quite pretentious, but it does settle, and genuinely becomes quite engrossing. The turning point came for me, when Riggan receives a roasting from his daughter, it really helps explain where he's at.Sublime cinematography, it's a gorgeous looking film, the camera work is impeccable, the film flows incredibly well. You also get to see a great deal of Edward Norton.The cinematography is great, but even that is trumped by the acting, some superb performances. Art does seem to imitate life, it seemed relevant for Keaton, who of course played Batman, but definitely had a lean spell, his performance here was spellbinding.Credit to Edward Norton, Emma Stone and Andrea Riseburgh, I thought the whole supporting cast were excellent.There was a massive hype surrounding this film, I understand why it's loved, I can't say I deem it as a masterpiece, it's somehow too niche for that, it's definitely going to alienate some viewers, the mood was right for me tonight though, I thoroughly enjoyed it.If you haven't seen it, or quit early as I did, I urge you to give it a chance.8/10.",8.0,Anonymous,"Comedy, Drama"
What is wrong with people?,"I have a tendency to check user reviews on IMDb before watching a film. I was surprised to see how divided people were for Birdman. Most of the reviews were either 9-10 stars or 1 star. This made me want to watch the film even more and by the time I finished watching it, my faith in people had decreased by a little bit.Birdman is brilliant! This is not just an opinion, I wouldn't even consider it as one of my favourite films, I didn't even give 10 stars. When I say it is brilliant, I don't mean that I liked it too much, I mean that every aspect of the film is masterfully dealt with. Sublime acting, excellent cinematography, interesting and unconventional directing and a wonderfully original score. OK there wasn't a fast-paced plot with lots of plot twists, but not every movie has to be like this. One of the reviewers who gave one star complained about the plot and suggested to the readers to go watch a Kubrick film instead. Well, Kubrick himself made movies with minimal plot which were nevertheless proved to be masterpieces (2001: A space Odyssey, Eyes Wide Shut). He once said: ""A film is (or should be) more like music than fiction"". Films are supposed to make us think and feel, like music does. You can make a good song by adding story-like lyrics and you can make a good song by adding no lyrics at all. The same applies to movies. There are plot-driven masterpieces and there are no-plot- driven masterpieces. Birdman is one of the latter.I don't want to spoil the film. I just want to say that I would highly recommend it for anyone, except people who only want to see pointless action and superhero films. Birdman will make you think, reflect on similar situations you might have experienced and discover the other side of actors and films. I can absolutely understand people not liking it. There is not a single film that appeals to everyone. What I cannot understand though is people calling it a bad movie.",9.0,Anonymous,"Comedy, Drama"
Hypnotising,"A washed-up ex-superhero actor is trying to make a mark on Broadway. Unfortunately, his new found want to make 'something serious', as opposed to superhero films, is challenged by the inability to shake his old persona.It's a film about Hollywood and its many personalities - the drug-addicted, the mentally unwell, the sexual abusers, the egotistical, the scathing critics, the stars and the has-beens. It's not a topic I particularly care for and I didn't enjoy Tarantino's 'Once Upon a Time in Hollywood' or Alma Har'el/Shia Lebeouf's 'Honey Boy'.Birdman, however, hypnotised me. You're greeted by snaking, daydream-like single shots that seem stretch forever, one scene flowing effortlessly into another through a combination of clever camera work, editing, and special effects. In short, it's a cinematographic dream. The high-conflict scenes, action, script, and larger than life characters glue your eyes to the screen in this rollercoaster that's effortless to watch. For a film about Hollywood, you'd expect good acting, and it certainly didn't disappoint, whether from Michael Keaton, Edward Norton, or the rest of the talented cast.Birdman thrusts you into supernaturalism briefly, before thrusting you back to reality. It leaves it up to you how to interpret some key events and this creates division within the audience.I understand why some dislike the film. I didn't find it meaningful, deep, or clear to what its message was. However, its punchy style was refreshingly new, worked perfectly, and is reason alone for cinephiles to delve into this engaging whirlwind of a film.",9.0,Anonymous,"Comedy, Drama"
Life Imitating Art or Art Imitating Life...Can Anyone Tell the Difference? Does It Really Matter?,"BIRDMAN just keeps coming at you, time and again, from every imaginable angle, until the end credits, about an hour and 50 minutes in. Is it just me ....or are many reviewers reluctant to state the obvious? Michael Keaton as a down on his luck Ex-Superhero, desperately trying to prove his relevance in 2015, to the entire world, to his rather distant family, but, probably most of all, to himself. Oh yeah, and he talks to himself in a rather smooth, but hoarse and gravelly BATMAN...I mean BIRDMAN, Superhero voice, his last on screen portrayal of which was in 1992! (Yes, in BOTH of them)So, just where do we draw the line as to what is fact and what is fiction? That is one of many recurring themes dealt with in BIRDMAN. I think it is the central one in the film.... Just where and when do we draw those critical dividing lines? Riggan Thompson is feeling the rapidly escalating pressure of a quickly approaching Broadway opening. It is a dilemma of his own device. His life is in shambles. He finds himself still pining for his ex, while attempting, rather ineptly and intermittently, to bond with his daughter. He has taken on overpowering debt to finance his Broadway play that, if successful, will provide him with the self-vindication he needs to put his life and career back on track. His problems seem insurmountable, or at least, he has convinced himself that they are!The ensemble cast performance is deliciously superb. Zach Galifianakis as the steadfastly single-minded lawyer/best friend, who has to employ his myriad of abilities to hold the production together and keep it moving forward. Emma Stone, as Sam, the more often than not neglected as a child daughter, just out of Rehab, who seems to be on the road to stability in her life by serving as the reluctant gofer for her neophyte Broadway director/producer father. Naomi Watts, as Lesley, one of the play's stars, perhaps the star struck little girl trapped in the 30 something body of a struggling actor who is on the verge of her lifelong Broadway wish- fulfillment debut!Edward Norton delivers an Oscar-caliber performance as the obsessed Method actor who's only real moments are the ones he spends on stage. And of course, Michael Keaton, in the title role, projecting a gigantic on screen presence as a man possessed, obsessed, intensely flawed, human and, ultimately, somewhat skewed by his own inner demons! Makes you wonder... Exactly where does Michael Keaton end and Riggan Thompson begin?I would be derelict in my reviewer duties were I not to mention the effective and original use of the continuous, one-take technique employed in making BIRDMAN...It lends an extreme presence, intensity and intimacy to the overall quality and tone of the film which is quite unique. I'm sure the implementation of this style presented director Alejandro González Iñárritu with a formidable series of challenges, which he dealt with flawlessly. Gonzalez has directed some previously highly recognized films, such as Amorres Perros, 21 Grams, Babel and Biutiful. This highly thought provoking film guarantees that we will be seeing more of his work in the future.10**********....... ENJOY! / DISFRUTELA!",10.0,Anonymous,"Comedy, Drama"
for once the academy got it right,"With all due respect to Eastwood's American Sniper, the academy actually got it right with this pick for best picture. Every actor and actress in this given the space to breathe life into characters, every monologue and dialogue hits like a ton of bricks, every scene tries to get towards some fundamental truth of human nature only to have the next scene undermine that character and that purported truth. It's amazing that in the era of comic book universe movies that something like this can get made at all. An absolute must see before you die movie.",10.0,Anonymous,"Comedy, Drama"
"Very much a divisive film, to me it was a 2014 highlight","Despite the near-universal acclaim from critics, 'Birdman' very much divided audiences to a quite extreme degree. This division is very much understandable, 'Birdman' has a great many merits but not everything will work for everybody.To me 'Birdman' was an excellent film. Maybe not quite as good as the hype suggests, but nowhere near deserving of the many 1/10 votes when its merits are a great many that some people seem to have not acknowledged. Although, from personal opinion, a little over-hyped, 'Birdman' ('Gone Girl', 'The Grand Budapest Hotel' and 'Whiplash' were also personal favourites, and 'Boyhood' was also better than given credit for considering the amount of hate it's garnered) was a 2014 highlight and a worthy Best Picture winner.Not everything in 'Birdman' works. Some of the pace is a touch frenetic in parts of the second half and not everything feels quite as tied up as ought with things left a little loose.However, 'Birdman' is an exceptionally well made film, with some of the best and cleverest cinematography of the year, some of the cinematography and editing is so dazzling it's enough to take the breath away. The special effects are also tremendous. Directed by Alejandro González Iñárritu (in the first of his deserved director wins, the best being 2015's 'The Revenant), 'Birdman' is one of the best directed films of 2014 too and shows Iñárritu's immense talent as a director, with breath-taking vision, sense of mood and the ability to make the story as gripping as possible.The script is fun, thought-provoking and at times touchingly profound. The story mostly, while sometimes thin, is gripping and the characters engage.Michael Keaton gives his best performance in years, an outstanding performance and perhaps a career-best. Edward Norton is similarly superb, his performance also ranking among his best. Emma Stones charms and delights too.Overall, very much divisive, with some people adoring or admiring it and others hating it, personally was one of the people who loved it while acknowledging its imperfections. 9/10 Bethany Cox",9.0,Anonymous,"Comedy, Drama"
It's satire people!,"I have to say I am shocked and how many bad reviews I have seen on this site for this movie. It seems to me that the majority of moviegoers who have chosen to review here are only capable of viewing a movie at face value.This movie is clearly a satirical look at Hollywood and the constant need to remain relevant in the entertainment industry.I will admit that the film does appear unnecessarily ""artsy"" in places, but some Hollywood actors love being unnecessarily artsy as they think it gives them depth.That was the entire point of this film, for Hollywood to turn the camera on itself and expose all of it's own crap.What I took from this film is what I have always felt about Hollywood, which is also what I love about it. Actors are inherently insecure, which is why they choose to be in an industry where there is a need for constant approval. The actors who are worth their salt risk everything to entertain...us. For that they will forever have my respect.Definitely worth watching and worthy of it's Best Picture Oscar.",10.0,Anonymous,"Comedy, Drama"
True Definition Of A Masterpiece,"Whilst viewing 'Birdman', I spent the first hour of the film trying to decipher my emotions and opinions towards it, what I was watching was a weird, yet wonderful work of art. Truly though, 'Birdman' is a technical masterpiece. Michael Keaton has generally been undermined as an actor (despite a few notable roles as Batman or Beetlejuice) and has instead faced Hollywood picking more acclaimed and popular actors, 'Birdman' however might just be his ticket to an Oscar nomination, and possibly even a win, his performance is mesmerising. Alejandro González Iñárritu has created a truly spectacular character study that arguably features this year's strongest acting performances, alongside a well- executed script, booming soundtrack and a monumental achievement with cinematography from Emmanuel Lubezki in which he attempts a Hitchcockian approach, reminiscent of 'Rope', and displays the story through a seemingly single and unbroken sweeping shot. This is the true definition of a masterpiece.",,Anonymous,"Comedy, Drama"
Entertaining,"A former Hollywood superstar (Michael Keaton) was famous as a film superhero over twenty years ago. He attempts a comeback to fame by writing, directing, and starring in a Broadway play.Director Alejandro Gonzalez Inarritu, shows the same adept work in ""Birdman"" as he did in his best works ""Amores Perros"" and ""Babel"". There is almost a playful way the camera moves through the thin zigzag halls of the backstage of the theatre, giving the viewers the experience of the cast and crew in their daily work.Overall, there is a welcome liveliness in ""Birdman"", not only in the directing, but also in the acting. Keaton heads a solid cast that also includes Edward Norton (a standout), Emma Stone, Naomi Watts, and Zach Galifianakis.The story is good but might have been better considering the other achievements in this film. It seems to be trying to grasp something that is profound but only partly hits the mark. Also, a few cheap and old tricks lower the overall effect. A sitcom gag of being ""locked out"" in a very inconvenient way is decades old. Also, the cheap thrill of a spontaneous ""girl-on-girl"" kissing scene may not be as old but it's just as stale.""Birdman"" is still an enjoyable experience especially considering that Keaton (who was a superstar in two ""Batman"" movies over twenty years ago) might possibly be playing himself. - dbamateurcritic.",7.0,Anonymous,"Comedy, Drama"
"Fascinating, but not for all tastes","I absolutely loved the film. From the colors to the amazing camera work and the brilliant performances, it was a masterpiece. However i do believe that some people may find it tiring, nevertheless the movie has its twists and comic reliefs.",9.0,Anonymous,"Comedy, Drama"
