title,content,rating,username,genres
BlacKkKlansman,"Amazing true story of a small team of police infiltrating a local klan chapter to try to stop looming violence.Driver is first class as the white undercover presence, with Washington himself oozing presence throughout as the black officer who conceives the plan, runs the show and in a number of hilarious high points gains the respect and trust of the big Klan chief over the phone.Whilst there is arguably room for a little bit of trimming, this remains highly engaging throughout with a great script and fine performances. The amazing trick here is how Lee seems to very cleverly shift from laugh out loud comedy to troubling sometimes fairly intense scene and back without missing a beat.",7.0,Anonymous,Biography
Totally Recognizable Villany,"A terrific Spike Lee film with humor and gut wrenching truths. My first reaction was that the villains were too one dimensional, caricaturesque. It was impossible to stay with them for more than a few seconds - even that outrageous scene of connubial bliss where she expresses her willingness, in the most romantic terms, to kill Blacks. I recoiled in horror and kind of laughing nervously - what is this, a satire? And then, I realized - the real life villanis are one dimensional, they are caricaturesque, they are their own satire. John David Washinton is great and sounds just like his father. Adam Driver brings a presence that is nothing short of compelling, The final real life images are devastating, I highly recommend it.",8.0,Anonymous,Biography
One hell of a movie,"Spike Lee has created an almost unimaginably uneven career in films, but it has never been in doubt, that he is one of the most talented American filmmakers of his generation. And should you have forgotten that, now you can remind yourself by watching the amazing ""BlacKkKlansman"", which won the Grand Prix at Cannes in May.""BlacKkKlansman"" tells the true story of a rookie African American police officer who in the 70's infiltrated in the KKK, but that's certainly not what the movie is about. Lee tackles head-on the contemporary hot topics of racism, the police killing black Americans, and white supremacy to create an overwhelming pamphlet about the American identity - which has been hurled into a state of great confusion after the last presidential election.Movies don't come much more political as this one. In a way, ""BlacKkKlansman"" is a companion piece to ""The Post"" - a movie that similarly discussed the current political climate in a 70's setting - but with loads more of blackness, humour, anger and attitude. It's a better movie, too.Though not perfect. Form-wise, ""BlacKkKlansman"" is sometimes paced oddly and feels needlessly long: not overlong, exactly, because you're not going to be bored for a minute. Visually it could have used a little more of the delicious textures typical of those 70's blacksploitations it makes references to.But Lee is such a virile storyteller, that you can't help but get sucked in it all. And he has SO much to say. ""BlacKkKlansman"" is at its savage best when putting in perspective the official holier-than-thou image of the white Americans: Harry Belafonte cameos as an eye-witness of the beastly lynching of Jesse Washington in 1916.Actors in ""BlacKkKlansman"" are great. John David Washington excels in the lead role. Adam Driver signs what is arguably his best role to date. Ryan Eggold is terrific as the local boss of the KKK, and the Finnish Jasper Pääkkönen impresses as his right hand man. The biggest surprise of all is Topher Grace, who is near-ingenious as David Duke, a well-mannered bag of sleaze in a three-piece.""BlacKkKlansman"" is an incredibly rich and stirring piece of contemporary cinema with enough stuff to fuel a conversation for hours. Or days. You can get a lot less with a price of a movie ticket these days.",8.0,Anonymous,Biography
A film that's both a joy and very difficult to watch,"Based on a true story, the first black detective at the Colorado Springs Police Department infiltrates the Ku Klux Klan with the help of a white undercover officer.Not content with the battles portrayed on the screen between black civil rights groups and the Klan, Spike Lee has squared up against Donald Trump and the political state of America today. Throughout the film, there are not-so-subtle nods to the US President's rhetoric and how it echoes the KKK's leader David Duke: at one point he says he wants 'to make America achieve its greatness again' and chants 'America first!' during a speech.The messages the film is trying to get across are not subtle, but it doesn't have to be when the messages have never been irrelevant. At one point, the true and horrific story of the public torture and execution of 17-year-old Jessie Washington in 1916 is told. This story is unfolding as the camera cuts back and forth to the Klan's initiation meeting which makes for a powerful scene of intense juxtaposition (Lee explained in the post-film Q&A that, ironically, this cross cutting technique was invented by the director of Birth of a Nation, an intensely racist pro-KKK 1915 film).The final minutes are fearful to watch as Lee brings us to the present time and the last few shots (which I won't spoil here) left me with a genuine tear in my eye and an uneasy feeling in one of the most basic, primitive part of my being - fear for the minds of my fellow man and the state of the world I'm meant to be leaving to my children.Best Quote: ""America would never elect someone like David Duke as President."" - ""Coming from a black man, that's pretty naïve.""",,Anonymous,Biography
Wonderfully angry,"Disturbing and infuriating.Wonderfully acted by John David Washington, Adam Driver and Topher Grace.It gets your blood boiling and makes you wanna do something.It's also full of great comedic moments and one hell of an ending",8.0,Anonymous,Biography
Incredible true story comes with a lot of fictional baggage,"There's much good about this movie, starting with Ron Stallworth's incredible deception of the Klu Klux Klan. Racism in all its ugliness is powerfully shown. There's a lot of humor at the expense of some really dumb people. 
Unfortunately, there's a lot wrong with the movie too. Most of this is because the director embellished the true story. I'm not a big fan of directors tinkering with what really happened in order to add their own touch, and then still claim ""based on a true story"".
The result of the tinkering is a very uneven movie, particularly in the apparently ""easy"" parts of infiltrating the KKK and the ""hard"" parts where things go wrong. The ""easy"" parts are, remarkably, mostly the true story. Apparently this wasn't dramatic enough, so a lot of fictional ""hard"" parts were added to build tension including whole characters and situations. That's bad enough, but the added parts often made no sense, such as having no real origin (like one character's intense suspicions) and no resolution to the dilemma presented - they just seem to go away, are forgotten or have no effect on the inevitable story arc. Many seem to have been thrown in only to make already duped people look even more ridiculous. 
The characters themselves are, with a few exceptions, just caricatures. It's not hard to figure out what's next since they do exactly what you expect.
Eventually the movie just got boring since it all moved to an inevitable and very easy to see end. Ultimately, the movie is maybe an hour of an amazing true and humorous story marred by over an hour of superfluous and poorly executed fiction.",6.0,Anonymous,Biography
"Great story, great cast.","BlacKkKlansman, is great movie, that manages to be thought provoking and funny at the same time. The cinematography is excellent. The only issue I had with this movie was the pacing, but nothing major. Oh, forgot to mention, great ending as well!",8.0,Anonymous,Biography
Powerful film based loosely on a true story,"Directed by Spike Lee, this is a powerful film based loosely on a true story that took place in Colorado Springs in the 1970s. An undercover black police officer, played by J. D. Washington (and also, sort of, by Adam Driver, who plays a Jewish officer) infiltrates the K K K, which had (has?) a robust presence in Colorado Springs (which also happens to be a city with a large number of HQs of right-wing and evangelical organizations). Topher Grace plays David Duke, once the Grand Wizard of the K K K, who has positioned himself as an Executive Director and looks forward to the time when, through political action, his group can get one of their kind in the White House.The film, which is fairly traditionally shot, is clearly presented to foreshadow the increase of K K K and white supremacist activity taking place today. In fact, news footage of Donald Trump and the Charlottesville Unite the Right rally of 2017 is shown in the film, and the message is clear. At times obvious and even almost corny, The BlacKkKlansman is an important and sadly timely film.",7.0,Anonymous,Biography
"A funny, gripping and upsetting movie!","Hi, I'm french and I'm 16. We saw the movie in the cinema with my english class and our english teacher asked to us to write a revue of this movie, and after put in on this website.
Blackkklansman is a movie birected by Spike Lee in 2018. This film is based on the true story of Ron Stallworth, a black police officer who wanted to infiltrate the KKK. Inspired by the book, Spike Lee made a film. In the movie we have funny moments and romance too; Ron falls in love with Patrice, a beautiful blanck woman who fights racism. It is certainly at the top od my list of good movies because it is not only about racism, but about several kinds of discrimination, anti-semitism and gender inequality. And so I think that a lot of people can indentify to both characters and realise that discrimination must be fought. And I think that Spike Lee did a good work because hemanaged to make in making a comedy with a dramatic issue, and Adam Driver and John David Washington have a really good actor's game, it couldn't be other actors!
So yes I think that this film is compelling, convincing, realistic, startling and funny, don't miss it!! And there is a lot of reseach from the film director about the KKK, who is a secret organisation of white supremacists directed by Donald Duke and created in 1865 after the Civil War, a war between Northen and Southen states of the USA, the North wanted to abolish slavery and the South didn't. In the movie, we can also see the KKK rites, with the white costums and all tradition. I really enjoyed that because you get out less stupid than you were before seeing the film.In conclusion, it's a fantastic film, with good actors on the top of that, and you learn a lot about discrimination and humanity, but with funny moments as well. It's a hit and a freat piece of film-making. Go see it!!Good work, Mr Spike Lee.Valentine B.",8.0,Anonymous,Biography
Spike Lee Is Back In The Game,"What blows me away the most about BlacKkKlansman was its ability to profitably blend such a serious and calamitous subject with an appropriate amount of comedy. Only a long-in-the-business, cinematic master like Spike Lee could pull off such a trick, and he does it without complication. It's also refreshing to see that Spike Lee avoids stereotypes even when depicting some of the more unpleasant and nefarious characters/groups, allowing the film to feel less biased and more grounded in reality with various angles interweaving. BlacKkKlansman contains one of the most hard-hitting, politically dynamic screenplays (right next to Blindspotting) of the year that had me infatuated with revelation. It certainly is one of Spike Lee's best joints in years, maybe even decades. (Verdict: A-)",7.0,Anonymous,Biography
