title,content,rating,username,genres
"The Extended Edition has not been seen by many, but is the definitive version to see","While the theatrical cut still resulted in a meaningful film, it irked me originally in the theater and then again recently upon seeing it again that very significant moments from the original Philadelphia Inquirer articles were left out. It was as if someone hadn't just forced Ridley Scott to cut the film down for time, but to de-emphasize the disparity in training and personalities between the Tier One units and everyone else. Was it because they wanted the Rangers to do interviews and go on the talk circuit to help publicize the film? Regardless, the Extended Edition adds back footage I had no idea they bothered to even shoot. The only big thing missing is that Delta medic Earl Fillmore isn't a character, but I assume his family wasn't interested in him being portrayed at all, which is unfortunate. In the Extended Edition, Wolcott instead serves the Fillmore role of reassuring someone and then himself becoming an early KIA. In fact, Fillmore was killed while moving to Wolcott's crash site. So, this was a very smart and fitting proxy. The theatrical cut is, frankly, an inexcusable version that no one should be watching when the extended exists.",9.0,Anonymous,History
A very American war story directed by an Englishman,"I've been watching this movie and its accompanying extras on DVD this week for the first time and I thought is ironic that this very American war story should be directed and produced by an Englishman (Ridley Scott) and have a large number of British actors cast as the American servicemen (Ewan McGregor, Jasson Issacs, Hugh Dancy, Euan Bremner, Orlando Bloom.) I suppose it's the equivalent of Steven Spielberg directing a film about the Battle of Goose Green during the Falklands War and casting Americans as members of the Parachute Regiment.Scott's movie is quite brave in that it has no major stars and no central character (unlike, say Tom Hanks in SAVING PRIVATE RYAN or Mel Gibson in WHEN WE WERE SOLDIERS). It's also largely free of the clichés of the genre: no soaring John Williams score accompanying shots of the flag fluttering in the sunlight; no scenes of the families back home. Instead its all about the logistics and the absolute horror of battle. This is the best combat footage since ZULU way back in 1964, a film which it resembles. In Scott's commentary description words, it is 'Anti-War but pro-military'.",8.0,Anonymous,History
"It`s An Account , Not A Statement","I vividly remembered the news reports in October 1993 of the body of an American serviceman being dragged through the streets of Mogadishu following the battle there . A couple of years later my interest of the battle was rekindled by an edition of the BBC`s excellent history show TIMEWATCH  that spoke to the survivors of "" The biggest firefight involving American troops since Vietnam "" , so when Mark Bowden released his book BLACK HAWK DOWN I opened the first page and found myself unable to put it down , and when I heard Ridley Scott was going to bring Bowden`s book to the big screen I was looking forward to seeing itI did enjoy the movie and have to take issue with some of the comments raised . First of all people complain about events and incidents being changed , I know how you feel but with any adaptation there`s bound to be bits condensed , the only real criticisms that can justified is that this film version totally negates the Somali point of view ( For those of you who haven`t read the book Mark Bowden writes his account in a similar subjective manner Corneilus Ryan wrote his trilogy - two of which THE LONGEST DAY and A BRIDGE TOO FAR were made into blockbuster movies - dealing with the last months of the war in Europe ) but Bowden`s book is an account of the battle of Mogadishu , that`s what it is - An account that doesn`t really concern itself with wider issues like politics or anti-war sentiment , so it seems churlish to complain about concepts like character development because that`s not what the story is about . I`ve also heard teenage girls complain that Orlando Bloom doesn`t get enough screen time and that they found it too violent . I`m sorry to hear that girls , hopefully next time you go to the cinema you might like to find out what you`re letting yourself in for . As for the rest of the screenplay it is accurate right down to the friction between the Deltas and the Rangers and the fact the Americans were actually rescued by a UN force composed of Malaysians and PakistanisRidley Scott rightly deserved an Oscar nomination with BHD . It`s his movie and he surpasses anything Spielberg achieved with the overrated SAVING PRIVATE RYAN . War is hell and this is a film of stark and haunting imagery of victims of famine , of mutilated soldiers and civilians . Both editing and cinematography are superb with many great scenes like the small stream of American soldiers walking up the street while on the other side of the houses a massive torrent of armed militiamen are walking in the same direction . My only real complaints of what`s on screen is Ewan McGregor`s awful American accent ( It`s especially so when you stop to consider that most of the cast aren`t played by American actors )and Hans Zimmer score resembles that of most of his other movies , but I shouldn`t nitpick because I found this Scott`s best film alongside GLADIATOR",8.0,Anonymous,History
We were soldiers AND made a great film...,"Black Hawk Down is first and foremost an immensely effective war film, but beyond that, its one of the most subtly differently made war films ever. Most war films usually either have a single hero through whom we see everything (i.e. Platoon), or present us with a squad of soldiers, all of whom are identifiable ""types"" (i.e. Saving Private Ryan). Black Hawk Down takes a different approach, instead giving us a very wide array of characters, none clearly singled out as a hero or type to command the audience's attention. The general effect is to create that feeling of a team army that George C. Scott so ardently expounded to us at the start of Patton. Furthering this feel of military professionalism, the film never cheapens itself by putting too much emotional weight into one moment. The plot moves ahead at a constant pace, cutting from location to location, without slowing down to focus too much on individual soldiers. The effect is of watching documentary footage of a real military operation gone wrong. While the effect of this scripting approach may produce some detachment among viewers on the first viewing, it makes the film all the better on subsequent viewings.And you'd better believe there will be subsequent viewings, because Ridley Scott has created one of cinema's all-time great pieces of eye candy here. The editing, cinematography, grading, scoring and visual effects all combine to leave a viewer just as drained upon leaving the theatre as these soldiers were on leaving Mogadishu. The intensity of this film's combat is easily equal to Saving Private Ryan, and leaves such pretenders as We Were Soldiers behind in the dust. Black Hawk Down lacks the former's emotional resonance, but unlike the latter, it thrives on the fact, creating a final product as mind-challenging in its construction as it is mind-blowing its visualization.",,Anonymous,History
One of the best war movies of all time,"When talking about war movies, there are many great ones that immediately spring to mind. Since the 70's, three of them have formed a bit of a holy trinity: Francis Ford Coppola's Apocalypse Now, Stanley Kubrick's Full Metal Jacket, and Steven Spielberg's Saving Private Ryan. These three movies have set the bar for all other war movies that have come along since then. When it was announced that Gladiator director, Ridley Scott, would be adapting Mark Bowden's book, Black Hawk Down: A Story of Modern War, filmgoers knew that they would be in for a treat.For whatever reason, I don't remember hearing much about the civil war in Somalia or about the Battle of Mogadishu on which Black Hawk Down is based. The plan seemed simple enough: the Army is sent into Somalia by the government to try to put an end to the Civil War. On October 3, 1993, a group of them were sent on a quick mission to capture the Somali warlord that had been running the country with an iron fist. It didn't take long for the operation to go completely FUBAR as two Black Hawk helicopters were shot down. Things went from bad to worse, as the Rangers found themselves surrounded by thousands of armed Somalis, whose only goal was to shoot any American soldier that invaded their space. After ""stirring up the hornet's nest"", the mission becomes a desperate attempt to maintain the Rangers motto, ""Leave No Man Behind"".Needless to say, Ridley Scott has made the ultimate war movie with Black Hawk Down. Unlike some war films that temper the battle with slower character-building sequences, you have to wait only thirty minutes for the Rangers' mission to go into effect. And the action doesn't stop for the next two hours, as the rest of the movie is filled with flying bullets, explosions and bloodshed. The fighting is so chaotic that it is hard to follow the action and tell what is happening, at times, and it becomes almost too easy to become desensitized to the violence. By the third time someone yells ""RPG's!"" though, the entire audience knows to duck and cover their ears.While the American soldiers go in with a solid plan, it doesn't take long for panic to set in, and pretty soon, you're not sure which side is more disorganized. It's amazing to watch what seems like thousands of extras playing the Somali militia swarming over the soldiers, and the action and camerawork is reminiscent of a video game as the soldiers try to escape their precarious situation through the streets of Mogadishu. As the movie progresses, the tension continues to build as the grim and unrelenting hopelessness of the situation sets in both for the soldiers and the viewer.It's pretty amazing how much has been made of the 19 downed American soldiers when over 1000 Somali men, women, and children were killed during the raid. While the movie is clearly weighed towards the American perspective, I can't imagine how it must have felt to be the guy who gets to play ""Dead Somali with a Gun #354"".Although characterization has always been used extensively in war movies to get the viewer to care about the characters, Black Hawk Down works better because, for the most part, the soldiers are personified as little more than grunts in the field doing the bidding of their superiors. At least the soldiers had their names taped to their helmets, so that this didn't have the problem of some war movies, where it's sometimes hard to tell who is who. Some of the best performances of the film come from Tom Sizemore as the gung-ho Lt. McKnight and Josh Hartnett, who plays the sergeant who leads the mission and feels personal guilt every time a man is lost. Sam Shepard also is excellent as Major General William Garrison, who sits back in the safe zone watching his doomed men be overpowered by the enemy. Eric Bana's part is small, but he has some of the best lines in the film, really driving home the point of why soldiers do what they do. Ewan McGregor's role is even more minor and insignificant, but his Trainspotting compatriot, Ewen Bremner offers the movie's little bit of comic relief.As expected in a Ridley Scott film, the visuals and camerawork are stunning with the movie having a gray almost monochromatic look that makes the orange flames and red blood really stand out. As is typical in Scott's recent movies, there is lots of flying dust, rubble and debris mixed with slow motion shots of falling bullet casings and splattered blood. He also uses animals and non-military personnel well in some of the shots to show that this firefight is happening in the middle of a populated market district.A big deal has been made out of the blood and gore in Black Hawk Down, but what is any true war movie without it? Though most of the graphic violence on display is not far beyond Saving Private Ryan, there is at least one visceral sequence that will make most people squeamish, unless they watch those operation shows on The Learning Channel for entertainment. Black Hawk Down is quite an achievement in creating a realistic representation of an event in recent history. Most of this movie leaves the viewer aghast and incredulous of what they're watching, and it's hard to believe that something like this could possibly happen. Technically, this movie is an amazing feat that gives the viewer one of the most realistic impressions of what it would feel like to be in the middle of a war, which makes the atrocities of the event seem all the more real.In a genre that has brought out some of the best in directors and actors, Black Hawk Down is easily the best war movie ever made, and it has replaced A Beautiful Mind as my candidate for Best Picture and Director.Rating: 10 out of 10",10.0,Anonymous,History
one of the best ACCURATE war movies,"Unlike most of the war movies of our time, Black Hawk Down sticks to the facts about what happened in Mogadishu and doesn't romanticize the story. To support this observation, the viewer will notice that there is not really one main character. This shows that the film focuses more on what happened in Somalia instead of on the characters personality and/or struggles. Another important aspect of the film that makes it so great is the cinematography. Not only was the setting of the film accurate to the real thing, but the way that the movie was filmed is great because it seems like someone is running along the battle scene getting everything on tape. In addition, the film contains small aspects that one may not notice that are important to the situation in Mogadishu. For instance, the bullet shells that fell from the firing helicopter fell into one of the soldiers' vests, and he scrambled to get it out because of how hot it was. This small detail makes the movie that much more realistic. To conclude, Black Hawk Down is a great movie that is both an eye opener that sticks to the facts as well as a quality film. I recommend this movie to any war-film fan, as well as anyone that likes watching movies in general.",9.0,Anonymous,History
"Black Hawk Down is a competent, confident and chaotic war film.","It tells the true story of a raid in Mogadishu that lead to the first battle between the Somalian Militia and American Rangers. As the title suggests, a Black Hawk does indeed go down. This is a mighty difficult flick to rate. As a representation of modern warfare, it succeeds substantially and sits in the elite group of visceral war films. But as a complete movie? Questionable. Firstly Ridley Scott is such a consistent director in terms of tackling a genre and producing a film that defines that genre. Black Hawk Down is no different, his eye for technical technique and production is second to none. A war torn Mogadishu, practical explosions and effects, utilisation of real Black Hawks and army equipment. It's authentic, and that is a real important factor for a war film. The narrative subtly explores the cost of war on both sides. The US army losing valuable soldiers and equipment (which financially would set them back quite largely) and the Somalian families who are living in ruins. There will always be one view point that towers over the other, but there is the gritty imagery of war and the aftermath that it leaves behind which proves to be effective. This has a massive ensemble cast, with Josh Hartnett being the lead I guess (he is on the cover, sooooo technically...he is the lead). He doesn't deliver, in fact many of the actors don't. That's not their fault though. Scott purposefully chose to focus on the aspects of war rather than glorified American heroes. Even so, there is such limited characterisation that any loss of life delivers no emotional impact for the audience. It's no spoiler that many succumb to their wounds, and yet we're supposed to feel saddened. I physically cannot feel emotive towards someone who I can't relate to, or even care for. That is what prevents this from being an outstanding war film like many classics before. Jason Isaacs was probably the stand out performance for me. Still a decent war flick, it's powerful imagery just about saves it from being lifeless.",7.0,Anonymous,History
I Felt Like I Was in that Black Hawk,"Black Hawk is quite simply the best movie of the year (2001) and the best war movie I have seen.  It's an astonishing achievement that puts you right in the middle of the hellish horror faced by U.S. soldiers in Somalia in 1993. Every explosion startled me and filled me fear, every gunshot felt like it was whizzing right by me, every mistake or unforeseen event had me on the edge of my seat with stress and anger. I felt as though I had been transported to Mogadishu for 2.5 hours and plopped in the middle of the ambush faced by the 100 or so U.S. Rangers and Delta Force Troops as they set about to capture a Somalian warlord responsible for stealing Red Cross food shipments in his starvation-ravaged country. I really felt this movie, it was tangible to me; the confusion, the fear, the sense of dislocation and horror the soldiers must have faced. At the end I was emotionally and mentally drained.Ahh emotions, a subject of much debate where this movie is concerned, at least among some critics. While the reviews for Black Hawk Down have on average ranged from ""Good to Excellent,"" there has been persistent and growing criticism over the lack of clearly drawn out characters that the audience could connect with, the lack of historical context,  and the fact that movie is all action, with no heart, with no point-of-view. Well I think those who criticize the movie on these grounds, have completely missed the point of the movie, and are flat-out wrong. It is a movie told from the soldiers point-of-view, pure and simple. This is not a political movie, this is not a movie that needs cheap sentimentality or conventional emotional ""hooks"" for the characters.  As much as I liked Saving Private Ryan, the overly sentimental framing device used by Spielberg, really annoyed me. It felt like he was pandering to the audience just a little bit, and it wasn't necessary. Well, there's no pandering here, no cheap sentimentality in Black Hawk Down, just the horrible, gruesome, disorienting reality of modern combat. I didn't know anyone who worked in the World Trade Center, but I was moved to tears by what happened to them on Sept. 11 and that's the way I felt today in the movie.As far as I am concerned there was plenty of emotion in Black Hawk Down, plenty of ""choke-up"" moments, or moments when I was moved by the unbelievable courage shown by the soldiers as they faced an almost hopeless situation. I'm not sure how anyone could not be moved by seeing these 18-25 year-old men trapped in the horror of a Civil War that had no bearing on U.S. National Security. As portrayed by the amazing ensemble cast, these men (really boys in many cases) showed the full range of emotions that our soldiers must have gone through, not to mention the fear and confusion of their situation. To me the cast standouts were Josh Hartnett (boy has he got BIG FUTURE STAR written all over him) as Staff Sgt Eversmann and Australian actor Eric Bana as Sgt 1st Class ""Hoot.""Black Hawk Down is a great movie, and it is an important movie. It is the story of courage and heroism against nearly insurmountable odds. What happened in Somalia was a foreign policy failure for the U.S., but the actions of the soldiers sent into battle that October day were anything but failure. That there were not more casualties is a credit to them and ultimately a credit to all of us.",10.0,Anonymous,History
Chaotic,"This film has a massive ensemble cast, and every actor played their part well. The action sequences are superbly choreographed with realistic fight/bullet wounds, and practical effects such as explosions. The score by Hans Zimmer adds tensity in the action that's taking place. The cinematography and color choices are good for the film's setting and story. However, I had a hard wanting to care for the characters. They are barely developed and indistinguishable. It's hard keeping track of who's who. The story is simplistic and one-sided. A bit insight into the Somali's point of view of the event would have help the movie to be much more intriguing. Overall, a well-made movie with great production value and good performances but that aren't enough to redeem the trite plot.",6.0,Anonymous,History
So many elements combine to make this movie good.. especially the music,"I've just got this movie on DVD - I did see it on the big screen and it blew my mind.  Being from Australia we had practically no idea of what was going on in Somalia, and after seeing this movie and then reading the book - it is an eye opener.Now that I've watched it a few more times, I've noticed one thing with this movie.  The music.  Aside from the story and the cinematography and the editing which all are so well done that you feel like you are there with them; the music is a big contributor to the feel of the movie, and in my opinion, more so than in a lot of films.It is very subtle, it has taken me 10 viewings to even notice there was music there.  It really helps create the atmosphere, going from lighthearted, almost fun in the beginning with various rock/pop tracks into deep and moving operatic styles as the story progesses into the war and further.It is the top of my list of favourites for many reasons, but I think mostly it is the way the whole package comes together to tell the story of what happened that makes it so good.Well worth viewing many times over.",10.0,Anonymous,History
