title,content,rating,username,genres
Great Vampire Flick,"Wesley Snipes is perfectly cast as Blade, a half human, half vampire known the daywalker. He has all their strengths and his only weakness is the thirst for blood. Since he teamed up with whistler (Kris Kristofferson) he has hunted down vampires who have lived amongst us unnoticed for centuries, but omnipotent overlord Deacon Frost (Stephen Dorff) is tired of living in harmony with the humans (Food as he calls them) and he plans to waken the blood god and take control of the world.This movie is well cast, written and directed; ensuring the viewer has a thrilling ride from start to finish. Packed with great fight sequences and slick dialogue, Blade is certainly more action than horror, but it definitely delivers.8/10",8.0,Anonymous,Horror
"""Blade"" is a strong, mature comic-book film, with outstanding performances and a unique visual style...","Stephen Norrington's 1998 release ""Blade"" (based on the Marvel comic character) is the film that arguably lead to the recent trend of comic-book movies. It's success (along with that of ""X-Men"") caused people to do something they always should have- take comics seriously as an art form and a medium for storytelling. The film is an incredible, Gothic ride with great performances and unique visuals, and should be seen by any fan of action, horror or film in general.Blade (Wesley Snipes) is a half-human, half-vampire. His mother was bitten while pregnant, and his blood was infected by the vampire virus, granting him some vampire-like powers (such as inhuman strength), although he also suffers from ""The Thirst""- the vampire's natural need to feast on human blood, which he combats using treatments and serums, almost like a drug addict. Blade and his mentor Whistler (Krist Kristopherson) spend their nights hunting and killing vampires who feed on the humans.At the same time, a vampire named Deacon Frost (Stephen Dorf) is plotting to overthrow the noble heads of the various vampire clans, and using them as sacrifices to bring about ""La Magra"" a vampyric blood-god, to destroy humanity and grant himself untold power. Blade and Whistler (along with help from a pathologist played by N'Bushe Wright) must figure out a way to stop Frost's deadly plans before he wipes out all of humanity.The film is truly dark and Gothic. Norrington's direction sets an ominous and deadly mood, and the visuals are all well-crafted. The score by Mark Isham is tragic and melancholy, with some nice techno-y action music thrown in for good measure.Acting is generally good (though Dorf does get a little hammy at times) and everything meshes quite well. The action is nice, though it feels a little staged and over-choreographed, and the visual effects, for the time, were outstanding. I should also mention that this is a violent, violent film. It is the bloodiest of the three movies, and has a lot of gore, which actually almost took me ""out"" of the movie a few times- some scenes felt campy with the sheer amount of carnage and goo being flung at the screen.In addition, there are a couple of scenes and jokes that stick out like a sore thumb, and the tone is a bit too oppressive, making this a hard movie to sit through if you are not in the right mood.I'm giving this a good 8 out of 10. I'd highly recommend it to fans of action and horror. It is a strong vampire film. (Also, a cool note, this movie is one of the several pre-""Matrix"" films to utilize ""bullet-time"", that cool trick where action slows down dramatically to the point where you can see individual bullets whooshing through the air. Just a fun little piece of trivia- ""The Matrix"" did not invent this trick.)",8.0,Anonymous,Horror
Very stylish and entertaining!,"It seems to me that a lot of people don't know that Blade is actually a superhero movie on par with X-Men, Daredevil, Punisher and the likes. What all these heroes (and in the case of X-Men hero group) have in common is that they were all conceived in the magical world of Marvel. Blade was originally a normal person (in a blue outfit) who chased vampires because of a personal grudge and eventually facing of with Dracula himself and he was for lack of a better word boring. So boring in fact that the character was shelved and in fact never used in the Marvel universe. At least until he was reinvented.David Goyer did a stroke of genius when he took the character of Blade and turned him into a leather clad dark knight. He can't take all the credit though and much of this must go to Stephen Norrington as well who with his distinct visual style brings out the best of the character. The Blade character (Wesley Snipes) is pretty amazing in this film and mixes martial arts with Batman like darkness. Snipes is pretty good as the title character and is successful in bringing out the duality and inner demons of the character. He is, however, a pretty rigid actor both in voice and in posture and is only interesting enough for one film (which is clearly seen from the inferior sequels). Kris Kristofferson is good as well and really brings the tormented character of Whistler to life with energy and sense of timing. N'Bushe Wright, however, is fairly weak as a leading lady making her character relatively flat and lifeless. Donal Logue is pretty funny and manages to do a lot with a minor character. German, Udo Kier, should also be mentioned as he brings a lot of finesse and style to the vampire race, probably born of his experiences from playing Dracula. Stephen Dorf provides the best acting in the film and his chilling performance as Deacon Frost stands as one of the best screen villains I have perhaps ever seen.The story is good and, I feel, renews the vampire genre (something that hasn't been done since Robert Rodrigues' From Dusk Till Dawn) by adding a lot of contemporary elements and maintaining the comic book feel. By saying that the film has a comic book feel does not mean that the film is unrealistic. Far from it. A lot of effort has been put in trying to make the film seem as real as possible. Including the effects which are pretty good for their time. I found the vampire ""dustings"" to be a very nice touch. In stead of adding a lot of blood when a vampire dies Norrington chose to let the vampires spontaneously com-bust which looks great. The fact that the overall effects were well done adds to the credibility of the film which would otherwise have fallen flat on its face.As previously stated Norrington has a very distinct visual style that sets him apart from the directors of the following Blade movies. Del Toro is nearly as skilled but I prefer Norrington's style. His style gives the film a very special look and feel but most importantly it gives the film atmosphere. A very tense dark atmosphere which works great in tune with the main character and story. Along with the visual style the music which also works fine and adds a lot to the atmosphere of the movie.All in all Blade is a very entertaining movie that should probably have had an 8 from me but a few annoying flaws (which cannot be revealed without spoiling the movie, suffice to say, many of them are located near the ending of the film) does that the film must settle with a high 7.7/10",7.0,Anonymous,Horror
Let There Be Blood...,"Beneath the streets, behind facades, above the law; conglomerations old and new, slash, shear and saw; unseen but all around, vigilant of every sound, taking lives, destroying chances, tooth and claw.A hero's born to halt the chaos and confusion; to unmask, the guarded secrets of illusion; dressed in black, with sword on back, a mighty strength that others lack, a force arrives to clear the air, remove occlusion.One of the more accomplished takes on the vampires taking over the world genre, with one of the more accomplished, and even to this day spectacular incarnations of a vampire slayer there's been.The blood flows proportionally.",7.0,Anonymous,Horror
Enjoyably stylish flick that gets the dark tone almost right,"Blade was only a foetus when his mother was attacked by vampires and left for dead.  When he is born he is born a half-breed.  As an adult he has been joined by Abraham Whistler, a vampire hunter, to fight the secret war against the vampire culture.  He hunts the impure-blood vampire Deacon Frost who plans to summon La Magra - the Blood God.Now approaching it's second sequel, this film was a dark surprise to me as I didn't expect too much from it.  The plot sees Blade hunting a dangerous vampire seeing to unleash the power of La Magra and take vampires from their shadows into the real world; we also get a bit of back story as well. This plot gives all the best lines to the vampires and not enough good scenes with Blade himself.  I like Blade for the same reason as I like Batman - they are both messed up superheroes of a sort.  The film tells us how Blade was created but it doesn't delve deep enough for my tastes - only once or twice did I really get a feel for his cruel, darker nature (`Please, I only work for them').  I suppose this was to be expected and it certainly manages the darker tone much better than the Batman films did (in the long run).The action is good although it never really gets to the peak of the opening nightclub scene but is good nonetheless.  Some of the effects in the final fight are a bit lacking and they make the usual horror movie mistake of showing too much and having it be less effective than the build up and suggestion of the monster was.Snipes doesn't exactly display a great emotional range here but he is good in the title role nonetheless.  He is a commanding presence and physically good at the action stuff.  Dorff is pretty good as the main vampire - he is slick and plays it well to be a good representation of the `new breed' as the script requires.  Kristofferson is cool and Wright is sexy while still being a good actress!  The support cast contains no real standouts; Lathan is no more than a cameo and isn't really good while people like Lords only stick in the memory due to their name and not their performance.Overall this is an enjoyably slick vampire/action movie.  The end product may be more style than substance but the character of Blade is darkly interesting, even if neither Snipes nor the film really give too much away in terms of his inner workings.  I have yet to see the sequel but I would hope that it keeps the same dark tone that makes this film stand out.",,Anonymous,Horror
Brother Darkness walks at daylight,"Hope the summary line won't irritate you that much (it's a little homage to the Chappelle Show/Charlie Murphy, but also to the character Daywalker). But I'll try to put all the things I liked about the movie in one paragraph and everything I didn't like in another paragraph, so it will be easier to read!Let's start with the good things! The quote ""strong bloody violence"" (which is used by rating boards, to describe the content of a movie, does fit here very well. This is not a movie for kids! Or for the faint of hearted! It has Blade as a central character (Wesley Snipes is phenomenal) and a crazy enough story thread to hold/justify the action scenes! The original idea is also very engaging and intelligent. The action scenes are great here too.OK over to the things I didn't like. The overall story is too thin. It's enough as I've written above to hold the action scenes together, but there could be more. And a character like Blade deserves more (imo). The drama therefor isn't the best ... also it's use of clichés doesn't help. Some characters are underwritten ... That's that! :o)",7.0,Anonymous,Horror
Brilliant vampire action thriller from the better half of the 90s,"Fantastically shot, well paced.. arguably Snipes' most impressive performance to date and lots of fun martial arts fight sequences involving swords and guns - not to mention the unique and timeless soundtrack. Blade is one of my favourite action movies of all time, up there with Die Hard and Predator.Director Stephen Norrington is what Chris Cunningham (Aphex Twin videos) would have been if he dropped the weirdness and went into more conventional movies.. or if David Fincher stopped with the thrillers and did straight action. It is a massive shame we couldn't see more from Stephen, but at least we have Blade.Certain special effects haven't aged well (and are in desperate need of a remaster!) but aside from that, this movie is great visually. Norrington's choice of shots, the way scenes are lit is masterful.The performances he gets out of his actors are great too. It's not surprising Snipes loved the Blade character so much as to later method act and speak to cast/crew in character.. not surprising at all when the first movie of the trilogy this strong (though I pretend Blade 2 and 3 never happened) Watch this movie if you haven't already, especially if you love the 90s aesthetic or if you enjoy vampire-related movies/TV shows. The Blade character is iconic and Snipes was born to play him, and this movie is a 2 hour proof-of-concept for Norrington being the greatest director nobody ever talks about.",9.0,Anonymous,Horror
The way a comic book flick should be made,"I didn't see this movie until it appeared on television because I was doubtful about comic flicks. Ever since the ""Batman"" series, ""Spawn,"" ""Judge Dredd,"" and many other pitiful p.g.-13 bombs, I dodged everything at all cost. I would question in my mind, ""why can't someone make a movie that is rated R and stays true to the story, how difficult is that?"" And finally my prayers have been answered with Blade. This movie pops right out of the pages onto the screen with sheer violence, blood, martial arts, weapons, fire, the good against evil, etc. Yeah sure a lot of action flicks contain all these goodies, and most of them have bombed. But not Blade, the movie was filmed just right, not going overboard, delivering a good length and never a dull moment. Blade II is cool, but not as cool as the first. Blade is indeed one of the best real comic flicks I've seen in a long time.",9.0,Anonymous,Horror
"Techno-vampire film with creepy scenes , grisly combats , unstopped action, and a lot of computer generador game visuals","First part of a notable trilogy with Wesley Snipes as Blade, a mythical Vampire Hunter : part man , part vampire , all hero battling other bloodsuckers and nasty people . Shortly before dying in childbirth , a woman : Sanaa Lathan, is bitten by a vampire , and her son , Blade : Wesley Snipes , becomes a Hybrid wtith a tortured soul . He faces off Deacon Frost : Stephen Dorff . Shortly after, Blade meets his pal, mentor and colleage called Whistler : Kris Kristopherson and along with a doctor : N'Bushe Wright , who our hero saves from the vampires, all of them join forces to vanquish Frost who dreams an apocalypse that will install him as only ruler of Earth.Moving vampire film packing a great number of surprises , thrills , chills , cutting-edge terror, gloatingly sadistic fights with visceral violence and lots of blood and gore . This time the eerie enemy results to be a mestizo, hybrid vampire who kills human people and other bloodsuckers by getting his purport at whatever cost , to create a new kind of vampire . This messily choreographed film is acceptable and tense but is spoiled by a flashy, weak script. It is just another bloodsucker movie wrapping with breathtaking and violent fights , eye-catching visuals and atmospheric sinister scenarios. The picture is really influenced by various genres , music and comic-books , this eclectic influence includes Rap , Marvel , Hong Kong martial arts , Japanese Samurai, Video games, but stripped down to such basics as dialogue and script . Wesley Snipes is nice as tough , two-fisted as well as complex , ambiguous hero who wages war against vampires vulnerable to garlic and silver. He is well accompanied by a fine support cast , such as N'Bushe Wright, Donald Logue , Arly Jover , Sanaa Lathan , Tim Guinee, Traci Lords and Udo Kier. The motion picture was professionally directed by Stephen Norrington .This trilogy about Blade , scourge if the bloodsuckers , being based on Marvel Comic group comic-books and formed by the following ones : Blade 1998 . Blade II 2002 by Guillermo del Toro with Leonor Varela, Ron Perlman , Thomas Kretschmann , Luke Goss, Matt Schulz . Blade III by Guillermo Del Toro with Jessica Biel , Ryan Reynolds , Parker Posey, Dominick Purcell, among others .",7.0,Anonymous,Horror
The best vampire slaying movie ever my number one favorite Blade film,"Blade (1998) is the best action/horror vampire slaying movie ever made! I always have enjoyed watching Blade. My number one favorite Blade film I love this film to death. It is one of the best action sci-fi films of all time. Wesley Snipes best role till it's days ever! No one can play Blade like Wesley Snipes did! Blade is not an origin story, but it is a real world of darkness. Blade is just so bad and anti-hero which is perfect for the world he drives in. It is my favorite comic book Vampire movie. I love this film, I love the action and I love everything in it! I love Wesley Snipes and Kris Kris Kristofferson so much they have such a chemistry between each other. Wesley Snipes Kicks ass!!!!! This is the most super hero Vampire slayer film ever made!It is been so long since I last watch this film. I kept watching it 11.year ago in 2004 when Blade: Trinity was been released I kept watching Blade 1 and 2 on my CD on my computer and on VHS tape that I had this film. Blade of trilogy was the only film I owned on VHS I did not owned Blade II or Blade: Trinity at that time, but I have now the whole trilogy on Blu-ray. The best dang vampire slaying movie ever (say that fast five times)! Its funny too, it shows him killing a bunch of vampires but then regular people are thinking that he is killing humans! I watch this film as a child and all the blood in it and the violence made me crunch. I grew up with this film, 11.years ago kept constantly watching this film over and over, till it's days it is my favorite best Vampire flick. Blood and the crunch in this movie is AWESOME!! Just awesome!So In this movie Blade is a half human, half vampire, hybrid he protects the human race from other vampires and in this movie he has to stop Deacon Frost (Stephen Dorff). Deacon Frost wants to resurrect the blood god ""La Magra"", And he needs Blade's blood and he needs 12 volunteers. So that he can walk in the sunlight and declares extinction to human race. Blade is humanity's last hope!Wesley Snipes plays a half-mortal, half-immortal charged with ridding the earth of a race of vampires led by Stephen Dorff in this action-packed blockbuster.This movie right here oh my god! is this movie AWESOME! Watching this as kid you really don't know much, other that Wesley Snipes is a Bad Ass!!!! But now when you are older you can really know how much of a bad ass Blade really was and he does making a point! Wesley Snipes is AWESOME! Yes awesome!So yea... Wesley Snipes does a good job in this movie, everyone does a great job in this movie, so far, even Donal Logue as Quinn with a long hair and beard hi did a wonderful job. Stephen Dorff is actually pretty good, I haven't really seen much of Stephen Dorff's work yet, I'm pretty sure he is not even around today, I am not sure what happened today, I'm not sure if he just drop off the map or if he just quit acting all together, but yea. You would never guess this was MARVEL movie because MARVEL's name was nowhere near this property so far. So that was kind a odd to see this choice but yea, we all knew who he is anyways, so that become kind a cool, and yea violence, blood, the gore amazingly AWESOME!!!!! Yea, I brought the word amazingly back. It is crazy, over the top, sword fights, knives throwing's, all this wrapped in the one and you get that final fight between him and Deacon, dang that is good time! That is good awesome times you know. And it is just nothing like that right now and I am hoping that we get another sequel to Blade: Trinity. The actress Arly Jover who played Mercury, Deacon Frost's girlfriend was so sexy and hot and she is so awesome with her hair and changing her hair styles for 11.years I was confused with a thought that Deacon's girlfriend was played by Traci Lords because she is blonde. It took me so long to figure it that out, that it was Arly Jover played Deacon's girlfriend and not Tracy Lords.What I like about the character Blade are his gadjets, the sharp ones in particular and his outfit and style! Bottom of line It is my favorite best film still I think Blade II is a little better than Blade, but I still love the trilogy. Movies like this don't exist today. The rating I give to Blade is 10/10",10.0,Anonymous,Horror
