title,content,rating,username,genres
"Visually audacious, eerie and operatic version of the undead legend","There were several reasons why I wanted to see Bram Stoker's Dracula, and after seeing the film finally I was really impressed. No seriously I was. It is not perfect, but on the whole it is very well done.I have read Bram Stoker's book several times and love it to death, it is rich in detail, it is haunting and it is shocking. This film is not the truest film version of the book, and that's putting it mildly, but it is one of the more visually beautiful and intriguing ones. That is no way a flaw, I am not the sort of person who says if this adaptation is untrue to the book I pan it, or at least I try not to. Speaking of flaws there are two significant flaws, one is more significant than the other, that stop the film from perfection. At over two hours the film is probably a little too long. But the biggest problem is Keanu Reeves as Jonathan Harker. I know it is not old news to rag on Reeves's performance, and I will say I am not a fan of his, sure he has been in some very good films but he is nearly always one of the weaker assets which is exactly the case here. Jonathan Harker is an estate agent who is threatened by Dracula, but I found Reeves's acting far too too inept, flat and emotionless, complete with a very unimpressive accent. For instance, when he says ""Oh, I'm very sorry""- Keanu I know there aren't many ways to say that phrase strictly speaking, but do actually try to sound as though you're sorry.Flaws aside, Francis Ford Coppola's film is very, very good. It is eerie, it is romantic and it is even operatic. For one thing, it is exquisitely mounted, very grandiose in its visual approach. From the sumptuous costumes, the lovingly crafted settings, the superb make up and the basic yet atmospheric lighting complete with more sophisticated techniques it is a feast for the eyes. Another strength is the score, it was very like an opera, rich, soulful, haunting and melancholic. I also liked the script, it was poetic, it was intelligent and it was sophisticated, and the plot is coherent with some effective scenes such as Mina following Lucy into the garden when Lucy is later attacked by Dracula. And the direction is wonderful, a lot of fashioned touches are made to make this film very watchable at least once.With the exception of Reeves, the acting is very good. Winona Ryder is an improvement certainly, she is beautiful and intense thus she becomes the object of Dracula's devastating desire. Her chemistry with Reeves wasn't quite there, but with Gary Oldman it was pretty much smouldering. Anthony Hopkins was one of the main reasons why I wanted to see this film in the first place, he is a brilliant actor, one of the best there is actually. See him in The Elephant Man, Shadowlands, Howards' End and the Remains of the Day, all wonderful films, and he is impeccable in all of them. I enjoyed him here, here he plays Dr Van Helsing, a famed doctor who dares to believe in Dracula and in the end even dares to confront him, and gives a delicious performance making the most of some inventive one-liners. Richard E.Grant, Cary Elwes and Bill Campbell all give great support, but it is Gary Oldman's towering performance as Dracula that dominates the film. An excellent, underrated actor(Immortal Beloved is just living proof of his talent), Oldman is menacing, suave, handsome, charismatic, tragic and just amazing here, his transitions from old to young and from man to beast are completely believable, in short it was one of the more interesting interpretations of Dracula. Also look out for Monica Belluci as one of Dracula's wives, she is breathtakingly beautiful, even Sadie Frost was surprisingly good as Lucy.Overall, if you want a faithful adaptation of the book, you may be disappointed. However, if you want a visually stunning, richly scored and compelling movie this is perfect for you. Regardless of how it deviates from the book, I liked it a lot, and would definitely see it again. 8/10 Bethany Cox",8.0,Anonymous,Horror
"Visually striking, but Coppola's storytelling eccentricities are ill suited for the story itself","""Apocalypse Now"" worked due to its hazy, surreal vision of a hellish world. Coppola returned thirteen years later and created a similarly haunting and poetic so-called ""masterpiece,"" a supposed truthful adaptation of Bram Stoker's Dracula tale - when, in fact, the truth is that this movie is no more faithful to Stoker than the (superior) Universal Pictures original.The hazy film-making is visually satisfying, and some of the special effects are - simply put - amazing. Coppola's backlighting and use of shadows is creative and unique. But, unfortunately, after a while his emphasis on style over content begins to eat away at the film's other strengths - the relationship between the heroine (Winona Ryder) and Dracula (Gary Oldman) is weak. Many story links are completely nonsensical and people appear and disappear at whimsy. The heroine's fiancée (Keanu Reeves) writes to her from Transylvania, asking her to depart at once to marry him; in a matter of one or two scenes she has suddenly traveled a vast distance and is standing at the alter prepared to wed. It seems like Coppola loses a grip on his characters and plotting very early on.Oldman gives a chilling performance but isn't given very much to do, because he's set aside and the special effects take over. The opening scenes of his battle and his motivation to become the King of the Undead is very enthralling - if Coppola had maintained this mixture of style and content the movie would have been far better.The casting of the weak Keanu Reeves and Winona Ryder in leading roles harms the impact of the film as well. Reeves sounds like a Californian pothead imitating a Brit; Ryder treats the material as if it is a dramatic, over-the-top theatre rendition; every line she speaks is sickeningly cheesy.Anthony Hopkins turns in a disappointing performance as the utterly forgettable Van Helsing, who is given very little to do in this particular film apart from show up when convenient and sprout fancy little one-liners, most of them dramatic closers to scenes (e.g. ""We are dealing with a demon!"", then a cut-away to another scene.) Overall, ""Dracula"" is a good film and is worth seeing for its visuals alone. It is not, however, the strongest adaptation of Bram Stoker's novel; given the hype surrounding its release in 1992, the completed effort is rather lackluster in the story department.",7.0,Anonymous,Horror
Oh My Goodness!,"Excuse me, but I just read a series of reviews by people who are disappointed by the fact that this movie didn't follow the same old script that has been done over and over and over again. They gave a provocative movie a rating of ""1"" so they could sabotage what most people thought. Go do something else besides writing about films. This is not a perfect movie, but it takes the basic text of the Stoker novel and extrapolates from it. People seem to be reacting tot he sexuality of this. If we go back to the seminal movies, ""Nosferatu"" being the greatest example, we see that sexual tension dominates these films as well as the books. Dracula has power over people. He can draw women to him. He is not an animal, but he is a sub-human with desires to dominate. Coppola uses this to show his evil intent. Gary Oldman is the most eccentric and wonderful Dracula to come along in years. When did it become written that every Dracula should be the black-caped Bela Lugosi figure that kids still dress up as on Halloween. He is a force to be reckoned with; he is evil; and he is powerful. Remember, people accept the scenes of him sucking the blood out of women without any trouble. Why not an evil abuser of their being? Remember, they are under a spell over which they have no control.",8.0,Anonymous,Horror
Incessantly Gothic & Unabashedly Erotic,"Incessantly gothic & unabashedly erotic, Dracula brings Bram Stoker's literary classic to the film canvas in all its Victorian glory & required faithfulness and is a visual splendour overflowing with bold vision & audacious choices. But the technical mastery on display is also severely hampered by the film's inconsistent tone, overdone theatrics, casting choices & passionless performances.Directed by Francis Ford Coppola (The Godfather & Apocalypse Now), the story unfolds like an eerie & sensual reverie and is substantially elevated by its operatic set pieces, lavish costumes, vivid photography, old-school effects & uncanny score. The film gets the atmosphere right with its inspired use of colours, shadows, lighting & subliminal imagery that works in tandem with its sexually charged narrative.However, the impressionistic touches, cinematic flourishes & technical ingenuity still don't prove to be enough to mask its shortcomings, for its bloated length & over-the-top drama are further exacerbated by the casting decisions that nearly destroys the whole picture. Neither Keanu Reeves nor Winona Ryder are right choices for their roles and as for the remaining cast, their inputs are serviceable at best & forgettable at worst.Overall, Dracula is a visual feast that delivers on mood, setting & filmmaking creativity but the commitment evident in the technical aspects are sorely lacking in the acting department. And that in effect hurts its ability to fully immerse viewers into its dreamlike escapade. Its romantic gestures are sincere even if the tonal shifts are all over the place but for a premise that has so much promise, the film as a whole leaves much to be desired.",,Anonymous,Horror
Oldman is the Best Dracula Ever!,"This is the best rendition of Dracula ever captured on film. Gary Oldman's dark and sensual personae outshines any other vampire who ever dare put on a cape. To me Gary Oldman is the most talented and underrated actor ever. He becomes who he is playing, however in this role... Dracula became him... Oldman set the bar so high it is untouchable even to Bela Lugosi. Winona Ryder's delicateness suited the role of Mina/Elisabeta nicely and Keanu Reeves played the unsuspecting and naive Jonathan with satisfaction. However the whole movie comes together because of Gary Oldman's intoxicating essence. He draws the viewers into his darkness and passion and guides them through until the end. This film is drastically romantic and hauntingly captivating- just like a real Dracula movie should be. The cinematography deserved Oldman's phenomenal performance and perfectly created a true vampire realm. Francis Ford Coppola is brilliant. This is the spirit of the vampire.",10.0,Anonymous,Horror
A visual feast.,"I have seen multiple versions of Dracula, but none compare to 1992's version starring Gary Oldman, the definitive Count Dracula in my opinion. This film is lavish, decadent and wonderfully vivid. It captured the gothic spirit of the novel, it's deep, romantic, and mixed with tender and violent moments. The visuals to this day are exquisite, the costumes, sets and scenes of Victorian England are superb.Oldman is incredible, but the supporting cast of Reeves, Hopkins and Ryder are terrific, Winona Ryder's delicate character is superb. The accompanying soundtrack was also fantastic, great songs from Annie Lennox.A true classic. 9/10",9.0,Anonymous,Horror
A well done modern version of the horror tale...,"... although I keep remembering that this ""modern"" tale was filmed 31 years ago.James V. Hart's script seemed heavily indebted to Fred Saberhagen's The Dracula Tape (1980), which was a re-telling of the events of Bram Stoker's novel from the POV of Dracula, whose POV was missing from the Stoker original. It was also much more favorable towards Dracula, and added a lot of the romantic elements.One thing that it did get right was having all the actual characters from the original novel. Many of the adaptations removed one or more of the suitors, especially the American Quincy Morris, or age up Dr. Seward, or make him the father of Mina or Lucy. This version did present them as they were in the novel.Stylistically, it was unusual even for 1992, with Coppola said to be attempting some sort of visual homage to silent and classic film techniques, with some things looking deliberately artificial.I recall at the time thinking Keanu Reeves was highly miscast, and his awkward performance nearly undid the whole film for me. Anthony Hopkins was coming off his Oscar win for The Silence of the Lambs, and he did seem to have his performance pitched to the rafters. His characterization seemed more in line with the Saberhagen book, where Van Helsing is depicted as more of a religious fanatic with a cruel streak.The whole enterprise was a cash grab for Coppola who was coming off the relative disappointment of The Godfather Part III. It was a success, and kickstarted a ""prestige horror"" trend over the next several years, with Mary Shelley's Frankenstein, Wolf, and Interview with the Vampire.",8.0,Anonymous,Horror
A Treat For The Eyes And Ears,"As is the case with many of these latter-day horror movies, this is visually stunning. This one is particularly so, with beautiful colors, wild special effects, lavish sets and a handful of pretty women, led by Winona Ryder.It isn't all beauty; there are some horrific, bloody moments in here. I've seen the film three times and the first two times was terrifying to me in parts. The last viewing wasn't as scary, but maybe I was distracted by seeing this on DVD for the first time, which enhanced the visuals and added some nice 5.1surround sound.At two hours and 10 minutes, it's a bit long but there are very few lulls, if any. Gary Oldham gives his normal intense performance as Dracula and it never hurts to have Anthony Hopkins in the film.The only negative I found was Keannu Reeves, who sounds a bit wooden in his lines. Is it my imagination, or is he a terrible actor? Maybe it's just his voice. Nonetheless, Cary Elwes, Richard Grant, Sadie Frost and Bill Campbell all give good support to this film which is a real feast for the senses.",9.0,Anonymous,Horror
"Pompous, overblown, flawed...but not without merit","BRAM STOKER'S Dracula is a lavishly Gothic adaptation of the Stoker novel, directed by Francis Ford Coppola like he's doing an imitation of Tim Burton. This is Dracula as high camp, with a highly theatrical performance from Gary Oldman (with tongue firmly in cheek) playing the Count as both an old-time romantic and modern-day ghoul. Let's be clear: Oldman's performance is far from definitive (that honour goes to Christopher Lee), but it is memorable.Elsewhere, the film is hit and miss. For every hit there's a miss, for every great idea there's one that doesn't work. The art direction and set dressing is top notch, and I appreciate all the artiness of the direction; the stuff in the skies, the blood fountains like something out of Kubrick's THE SHINING, the overblown musical score. Elsewhere, the special effects have dated considerably, particularly Dracula's transformation into a cheesy giant bat. Plus the whole romantic sub-plot drags things down and goes nowhere.The cast is equally mixed. Anthony Hopkins really gets into the spirit of the thing, delivering a performance loaded with high camp as Van Helsing. Tom Waits's Renfield is arresting, Cary Elwes and Richard E. Grant are fine in minor parts, and somehow Sadie Frost works as the sexually frustrated Lucy. But two of the main parts are given to Keanu Reeves and Winona Ryder, and it's clear from the outset that their hearts aren't really in it. They give dejected, dispirited and artificial performances, which isn't great.Still, with all the gory effects and imaginative interludes on offer, BRAM STOKER'S Dracula is a film that it's hard to dislike. Indeed, when I first saw it as a 14-year-old boy, I loved it to bits. Many years later, it feels deeply flawed, a movie that's all over the place. Coppola's scattershot film-making works in some places and not in others, and it's fair to say this is a bit of a mess. A riotous, entertaining mess, but a mess nonetheless.",6.0,Anonymous,Horror
One of Coppola's Best,"Though I did not read the book and can't compare it to the movie, I found Bram Stoker's Dracula quiet excellent. The costume design, lighting, camera work, make-up-fx are all very good and make for a very atmospheric movie.There are some truly outstanding things in this film.1, the editing... excellent, I love the way they worked with dissolves, the hypnotic feel they created with the careful editing. Every frame flows in the other, the whole style grabs you and never lets you go... I simply could not turn my eyes off the screen.2, the acting... Gary Oldman is THE Dracula, IMO. Seductive, strong, bad and scary in his own distinctive way, yet really romantic.Hopkins is funny as Van Helsing and quiet ironic.Winona is a great Mina. Beautiful, innocent. She looks great in these Victorian costumes.Keanu Reeves is not as bad as many of you think. He makes the best of his underwritten character.3, the Score... haunting, romantic, scary. It works beautiful with the pictures.I think this movie is a great cinematic achievement and very underrated. It's a shame they don't make movies like that any more.10/10",9.0,Anonymous,Horror
