title,content,rating,username,genres
"Legal/historical drama, not action","Don't be fooled by the title. Make sure you know what you're getting yourself into when you watch this film. Bridge of Spies is literally about the Cold War Bridge of Spies, where Soviet/US spies were exchanged through negotiations. This is nothing like ""The Americans"" (FX TV drama - for some high unrealistic and over-sexualized espionage action - redirect here) and the most action-packed scene you will see is Francis Gary Powers getting shot out of his U2 plane during his mission.Bridge of Spies is really a historical/legal drama. And based on my preliminary research, they seem to be getting most of their facts right. Obviously a little bit embellished for Hollywood's sake, Bridge of Spies does a fine job as a historical docudrama. There is a lot of talking, but it's meaningful talking. At times, the film can be a little slow {opening scene, especially}, but give it a chance and you might enjoy it. History buffs like myself will definitely enjoy it. But thrill-seekers, you're better off to see the new James Bond movie instead.",8.0,Anonymous,History
An organic wonder.,"Bridge of spies is not your typical movie, it almost seems like it would be boring, except it isn't. This film is like a tree that you drive by on your way to work. Nothing special, quite ordinary; and then one day you see it from a different angle, and the way the dew glistening off of its leaves catches the sunlight, just takes your breath away.As I mentioned before, bridge of spies is different, it doesn't have a particularly memorable score, or poetic dialogue, every character is portrayed as a ""regular guy/gal"". The credit must go to the Coen brothers here. The actors lines, particularly the exchanges between Hanks' and Rylance's characters are stirring in their simplicity. The story unfolds similarly, everything sort of just happens, and at the end, it all fits together perfectly.Nobody knows, what makes Spielberg so great, is it his groundbreaking camera work? or perhaps his implementation of cutting edge visual effects? In my humble opinion it is his enigmatic ability to take what would likely be dull and uninteresting in the hands of any other director, and turn it into a thing of wonder. This movie plays out naturally, with moments of subtle heroism, and true human emotion, it is so very downplayed, that one simply cannot pull their eyes away. Bridge of Spies is truly an Organic Wonder.",8.0,Anonymous,History
"""And the Best Supporting Actor Oscar goes to... Mark Rylance""","There are combinations of film makers that make you confident, as you pay your ticket price, that you are not going to be terribly disappointed: Steven Spielberg directing; Tom Hanks taking the lead; Janusz Kaminski behind the camera; Michael Kahn editing and a Coen brothers script (with Matt Charmon (Suite Française)). And Bridge of Spies doesn't disappoint, particularly for someone of my more advanced years (I was born the year following the film's climatic events) who remembers well the terror of potential nuclear catastrophe that hung over the world through the 60's and 70's.In a story based on true events, Hanks plays James Donovan (diverging somewhat from reality here) as an insurance lawyer dragged by his firm into defending Rudolf Abel, the accused Soviet spy played exquisitely by British stage acting legend Mark Rylance. Against this backdrop, the international blue touch paper is about to be lit by the shooting down over Russia of Gary Powers (Austin Stowell from ""Whiplash"") in his U-2 spy plane (sorry – ""article""). Donovan becomes instrumental in unofficially negotiating on behalf of the US government the release of Powers in East Berlin. The deal is jeopardized by his boy-scout tendencies to also want to help another US captive Frederic Pryor (Will Rogers).I've read some negative reviews of this film in the papers that made me quite cross, describing it as ""yawnsome"" and ""sanctimoniously dull"". For me, nothing could be further from the truth and the packed Saturday night audience I saw this with seemed equally gripped from beginning to end, silent save for the odd laugh where some appropriate humor is weaved into the story.Tom Hanks is solid and believable as the fish-out-of-water lawyer, albeit that the role is played with a large spoonful of patriotic American sugar as Donovan trumpets about the importance of the constitution over the lynch-mob mentality of the general public. Alan Alda – great to see again on the big screen – channels his best Hawkeye-style exasperation as Donovan's boss, looking for a clean and quick conviction.But it is Mark Rylance – an irregular player in movies, and due to appear again in next year's ""BFG"" – who shines out as the acting star of the film. His salubrious and calm turn as the cornered spy just reeks of class and if he isn't nominated for a Best Supporting Actor nomination for this then there is no justice. (A special 'casting recognition award' to my wife Sue for spotting that the actress playing Judge Byer's wife – Le Clanché du Rand – was Meg Ryan's mother in Sleepless in Seattle 22 years ago!)The cinematography is superb with some gorgeous tracking shots and framed scenes. Most outstanding of all is the scene depicting the traumatic construction of the Berlin wall – long tracking shots in greys and blues delivering a truly breathtaking piece of cinema. In general I'd give a big shout-out to both the art department and the special effects team in making the desolation of East Berlin feel so real. It makes the similar scenes, that I commented positively on in the recent ""Man from U.N.C.L.E."" seem like an amateur school production.The special effects team also contribute in making the shooting down of the U-2 a thrilling piece of cinema.Music is sparingly and effectively used by Thomas Newman, and it can be no greater complement to the composer than that I was wondering until the end titles as to whether it was another Spielberg/ John Williams collaboration or not.A great film, one of my favorites this year. Highly recommended, especially if you are over 50. You should also get out to a cinema to see this one – it will be far more effective on the big screen than the small one.(Please visit http://bob-the-movie-man.com for the graphical version of this review. Thanks.)",9.0,Anonymous,History
"A very good, very Spielberg motion picture, starring Tom Hanks.","This movie hit me really strangely.I was expecting a political drama about the cold war, and while indeed it was that, I was not expecting to have so much fun and for Bridge of Spies to be so humorous.The Coen brothers writing a movie Steven Spielberg would direct just sounds like a winning combination and it really was. Sealing the deal, was a great performance by Tom Hanks.Tom Hanks does what he does best, by playing an everyday man in an average life. James Donovan was just an insurance lawyer who gets caught up in the middle of the Cold War. Bridge of Spies, starts him off so normal and then turns his life into quite an adventure.And I do mean adventure. In the hands of Spielberg, the movie's visuals were large and epic. I was expecting this movie to feel more like his last flick, Lincoln. Instead it feels more like Indiana Jones, as James Donovan travels to Berlin at the time when the wall was being completed.Watching Hanks play Donovan who is just swept into an overwhelming situation and just keeps his cool and his charm is just highly enjoyable.Totally loved Bridge of Spies, It's one of the best team ups between Hanks and Spielberg and even though Lincoln was a great movie, Bridge of Spies is everything Spielberg is capable of. So entertaining.",9.0,Anonymous,History
One of Spielberg's best most recent movies,"Bridge Of Spies is a historical drama film starring Tom Hanks, co-written by the Coen brothers, and directed by Steven Spielberg. Even though its subject matter of the Cold War is something I know very little about, I thoroughly enjoyed it and I am now more interested than ever to learn more about it. I rank it among the best of Spielberg's most recent movies.In 1957, tensions between the United States and the Soviet Union during the Cold War are at their peak. Spies from both the American CIA and Soviet KGB are a major threat to the security of both world powers and each side often resorts to hasty measures to stop any classified information from being leaked. In Brooklyn, New York, Rudolf Abel is arrested under the suspicion of being a spy. James B. Donovan (Tom Hanks) is assigned as Abel's defence lawyer. However the idea of defending a potential Soviet spy proves to be an unpopular and difficult task for Donovan. Meanwhile, over in the Soviet Union, an American spy plane pilot Francis Gary Powers is shot down and captured by the KGB. As a means to ease tension between the two warring countries, Donovan proposes a swap between the two prisoners of war, Abel for Powers.Despite containing barely any action scenes and being almost entirely made up of talking, the film never feels boring or slow paced. This is most likely due to the Coen brothers' clever screenplay and Steven Spielberg's creative direction. There were many suspenseful moments where it felt like the prisoner negotiations would go horribly wrong and that kept me on the edge of my seat. Tom Hanks also gives another memorable performance as James B. Donovan, once again proving his versatility as an actor.I rate it 8.5/10.",9.0,Anonymous,History
Spielberg and Hanks--fry to find a better duo than that for a great film.,"""Everyone deserves a defense. Everyone matters."" James B. Donovan (Tom Hanks)In Bridge of Spies, Steven Spielberg once again masterfully goes to the historical drama with a righteous man's theme (think Schindler and Lincoln for starters). This time lawyer James B. Donovan is asked to defend an accused Soviet spy, Rudolf Able (Mark Rylance, superb), in order to show the world the American justice system is democratic.The story is ""inspired by true events"" with the outline of the exchange of Able for U-2 downed pilot Gary Powers historically accurate. As usual, Spielberg recreates the times with the atmosphere, cars, and film noir aspect of a spy thriller in the figurative and literal Cold War. He said, ""I always wanted to tell the stories that really interested me in my personal life—which are stories about things that actually happened.""Hanks is central to Spielberg's vision of the lone hero defying the odds and supporting the highest ideals of the American Constitution and the individually virtuous man. Never does Hanks overplay the good-guy card; he's just very adept at playing an everyman not always right but always righteous.The dialogue is crisp, a no fooling around typical of Spielberg and Hanks but a charming bad guy as well: James Donovan: ""Aren't you worried?"" Rudolf Abel: ""Would it help?"" As producer Kristie Macosko Krieger commented about Spielberg, ""He's got a childlike sense of wonder. He never gets tired of hearing stories . . . . "" Bridge of Spies is vintage Spielberg with a Lincoln-like atmosphere, righteous hero, and intriguing multi-plot, an entertaining spy story brimming with humanity.As the director says, ""This is more about very smart people in conversation with each other, and the sword of Damocles hanging over their heads is that, if they make the wrong decisions, it's the end of the world.""",,Anonymous,History
Good rendering of events but emotions are missing,"The depiction of historical aspects seemed very well done, and the settings and period elements were great. It's an interesting story but the reason it's only a 6 for me is that I felt like the film was almost sterile, lacking in the emotions of the characters to a degree. Almost more like a history lesson than a movie.",6.0,Anonymous,History
A solid and effective piece of filmmaking through and through,"Following ""War Horse"" and ""Lincoln,"" ""Bridge of Spies"" rounds out Steven Spielberg's trilogy of histories in the 2010s, each film earning a Best Picture nomination for being a superb piece of craft — and having Spielberg's name attached.None of these are bad, but they are extremely traditional films evoking the prestige dramas of the '90s and not necessarily offering anything new. As such, ""Bridge of Spies"" doesn't shed new light on Cold War history, but it does tell a small story with of inspirational characters with a lot of heart.Tom Hanks stars as James Donovan, an insurance attorney asked to represent a recently detained Soviet spy named Rudolf Abel (Mark Rylance). A proud Constitutionalist of sorts, Donovan decides it's his honor and duty to give one of America's most hated men his right to a defense. Then, when a U.S. pilot is captured in Soviet territory, the CIA recruits Donovan to negotiate a swap.""Bridge of Spies"" echoes ""Lincoln"" in its portrayal of a morally tenacious man who stood firm in the face of opposition. Putting an actor as likable Hanks in the role of someone as upstanding and charming as Donovan is almost unfair. The script, treated by Mark Charman and also the Coen brothers, builds clever scenes for Hanks to navigate through with total ease. The story doesn't push or challenge the veteran, but it does frame everything that's happening with the appropriate weight, enough so that we can connect with everything Donovan is going through and respect the decisions he makes and Hanks helps communicate those stakes. The Cold War was an ugly time; it might seem that what Donovan did and how he approached his responsibilities was a moral no-brainer, but it was actually quite complicated and extremely unpopular.Rylance as well is a an excellent stroke of casting genius. More known for his stage work, the veteran creates a portrait of a man so self-assured it's frightening. It's the kind of nuanced supporting role that is easy to overlook when most award-winning supporting turns are flashy scene-stealers.Spielberg and longtime director of photography Janusz Kaminski give ""Bridge of Spies"" such richness. This is a film driven by plot and acting, but the picture is pristine. In particular, the way they capture East Berlin during the negotiations scenes is feels haunting in a way few films taking place in that similar time and place have. Also, the visual symbolism of reflections and different perspectives is something Spielberg plays with subtly but enough so to put some artistic flourishes on his film. Most importantly, the climactic bridge sequence works on every level, and that alone proves Spielberg, cast and crew all did their job.When Spielberg is done directing, ""Bridge of Spies"" will probably not make anyone's list of his top films, but it shows that just about any corner of history can make for an excellent film in capable hands.~Steven CThanks for reading! Visit Movie Muse Reviews for more",8.0,Anonymous,History
Turkey Without The Gravy,"I am biased in my review of BRIDGE OF SPIES. The Cold War is my thing, always has been my thing. I am dazzled by that time in history: surveillance, the cars, CIA, Eisenhower, and the mystique of John Fitzgerald Kennedy.From the trailer of this film, I expected a delicious plate of Cold War atmosphere, intrigue, and commentary. Like a gleeful child, I sprinted to the movie theatre – expecting a non-pretentious high octane version of Mad Men. I anticipated my favorite era in history being served up like LET ME IN (a piece of 1980s period perfection elegantly directed by Matt Reeves).I held close the trailer as I landed my perfect middle seat in the theatre. The clips of a U2 Surveillance jet spiraling at 70,000 feet, children overflowing in tears as they watch a thermonuclear film strip, and Tom Hanks' face plastered to a subway window as we see guards firing at bystanders trying to climb over the Berlin Wall.Then you add Steven Spielberg to the mix – the master of the period piece – modern cinema - the evoker of our deepest emotions. One of my favorite Spielberg films is Munich. Munich captures the violence of the Middle East 70s with revere, respect, and revelation. This is what I wanted from Bridge Of Spies. I wanted a dark, harrowing portrait of the Cold War, I wanted this tense era exposed in Spielbergian fashion, and I wanted to have 1957-1961 ruminating in my heart, mind, and belly. Bridge of Spies, however, met none of my desired expectations.Diluted by a PG-13 rating, filled with comedic moments (clearly due to the Coen Brothers having written or participated in this script) that don't tickle my fancy, and an avoidance of Cold War atmosphere – Bridge Of Spies hit me like a tennis ball on the head.It's taught, adequately plotted, and the hero is smart, likable, and witty. It's garnered rave reviews. But, for anyone that likes substance, don't look here. Spielberg's story is a moral tale – of courage and standing up for one's ideals – the universal plot which Steven devours like a hungry child.Unfortunately, there's no stakes. Hanks follows his journey and does what he does best – but his universe is given little context. You'll want turkey and you'll get turkey – but you're not getting any gravy.**Possible Spoilers – Things that bugged me about the film was plethora of wasted opportunities. When you have Spielberg at the helm, you know what could have been –1. The relationship between the Lawyer (Hanks) and the Soviet Captive (Mark Rylance) is an unbalanced paper weight. We get a glimpse into the Lawyer's character, the archetypal Tom Hanks - fair, honest, moral, etc. We get very little info on the Captive. He is quiet, dignified, and keeps responding to Hanks wondering if he is aware of his dire situation, ""Would it help?"" Rylance is the typical Spielbergian ""caught in the middle guy"" – much like Ben Kingsley in Schindler's List. Physically weak, trapped and powerless - yet stoic and unafraid. That being said, what are his motives? He is a spy but what drives him – where is the monologue where he explains his background, what formed and shaped him and what forms the basis of his lifelong goals?2. What I love about Mad Men is its strong focus on the media and culture of the era. Except for the end of Bridge of Spies (where we get a clip of Pierre Salinger informing the news of the spy swap) and an early scene of a teenage girl watching a late night story, there's not much to nibble on – Spielberg wastes a huge opportunity in a class room scene where kids are watching a nuclear bomb film strip. Lifting the film strip like a YouTube Clip and then showing a few generic shots of kids watching it and one girl crying - the master of modern cinema stumbles and falls into shallow surf. In this instance, I wanted to yell at the editor – build this up, let it seep in, give us some Wonder Years or Let Me In flavor. There's none to be had –3. Not only do we get a vapid Francis Gary Powers – due to lackluster character development and the miscasting (in my opinion), but the U2 Surveillance storyline is about 12 minutes. Give me at least 25, Steven!! When the U2 is shot out of the sky, we get about a minute of action – give us three. In addition, because Francis Gary Powers has no character development, I don't sympathize with him or even care if he comes home.4. The PhD student who is included in the Prisoner Swap is devoid of character – another guy that I could care less if he makes it home. Both guys appeared to have a lackluster indifferent time over the in the USSR. The Soviets dowsed Powers with water and German soldiers rip up the PHD students thesis paper – oh no!5. There is no discussion of the disastrous political implications of the U2 being shot down over the Soviet Union. Reluctant to authorize the mission, Eisenhower was smeared by its failure and left office of the President on a black cloud. However, we don't hear Eisenhower's name mentioned once in the story.All and all, Spielberg delivers a cup of vanilla ice cream with fudge – most audiences are going to love Hanks and the Soviet spy.In the final analysis, it's a buddy film with some period costumes and a somewhat poignant conclusion. That being said, those that want a stirring pot of fear, sadness, and elation – I suggest you wait for this on HBO and watch Munich instead.Ted's Personal Enjoyment: C+",6.0,Anonymous,History
"An unshowy Steven Spielberg does a master's job with Cold War tensions, honoring a real-life attorney's victory over fear.","A feel-good Cold War melodrama, Bridge of Spies is an absorbing true-life espionage tale very smoothly handled by old pros who know what they're doing. In its grown-up seriousness and basis in historical conflict, Steven Spielberg's first feature since Lincoln three years ago joins the list of the director's half-dozen previous ""war"" films, but in its honoring of an American civilian who pulled off a smooth prisoner exchange between the East and West during a very tense period, the film generates an unmistakable nostalgia for a time when global conflict seemed more clear-cut and manageable than it does now. Spielberg's fourth collaboration with Tom Hanks, which world- premiered at the New York Film Festival and opens commercially on October 16, looks to generate stout box-office returns for Disney through the autumn season. For people of Spielberg's generation, the early years of the nuclear era and the stand-off between the United States and the Soviet Union represents a significant part of the fabric of childhood. With the passage of time, it's possible to tell stories of the time without furnishing them with overt propagandistic overlays, and for Westerners there is the added built-in appeal of the ""we won"" factor and the perception that dealing with adversaries was so much simpler then than it is now. As their focus in this impeccably rendered recreation of a moment in history, most palpably represented by the building of the Berlin Wall, Spielberg and screenwriters Matt Charman and Ethan and Joel Coen have chosen a sort-of Atticus Finch of the north, a principled, American Everyman insurance attorney unexpectedly paged to represent a high-level Soviet spy caught in New York. There is no question that Rudolf Abel (Mark Rylance) is guilty, but James B. Donovan (Hanks), a proper and decent family man with a professional dedication to his client and an abiding loyalty to the principles of the U.S. Constitution, has a quick and intuitive read of any legal situation and shrewdly stays at least one step ahead of the game in almost any situation.",8.0,Anonymous,History
