title,content,rating,username,genres
"Six years later, it hits even harder.","I've always admired this film to a certain extent, but I think the thing that always kept me from loving it was that it never resonated with me emotionally. I would get attached while watching it, but all of those feelings would leave me fairly soon afterward. It had been about five years since I'd seen the film, and in that time I have grown up a lot, fallen in love, had my heart ripped to shreds and fallen back in love again and I think this growth personally has really opened me up to a place in my mind and heart to embrace this film more than most other screen romances that exist. Almost immediately it hit me harder than it had before and after a day since I watched it, the pain and heartache I experienced during it still remains at my core.It's a love film told non-traditionally, but not because it's two men, that doesn't even factor into the depiction of it. It's nontraditional because it's two people fighting against the love and it's accuracy in this is startling. How there are times where you can hate the person you love, hate so many things about them and hate that you are in love with them, but you can't give it up at all. You can't walk away from it because it's like an addiction and I think this film more than any before it captures that remarkably.A lot of this lies in the writing, but of course the performances from Heath Ledger and Jake Gyllenhaal certainly play a key factor in capturing it. Their characters take the love in different forms, Ennis fighting himself over it and Jack fighting the world because of it, but both actors capture exactly what they need to and bring this magnetism that really sparks. Gyllenhaal's openness is beautiful, his determination to make the love work and to just exist the way he wants to, he definitely provides the emotional anchor for the film and gives a heartbreaking portrayal.It's Ledger, of course, who steals the show though, with a kind of transcendent performance that we're treated to maybe once a decade. He becomes this character in such a vivid way that you don't even recognize the actor inside the role anymore. Gyllenhaal is Jack and hits the surface notes expertly, but you can still see Jake Gyllenhaal in there. Heath Ledger is completely gone and from the very beginning of the film we have Ennis and we have him until the very end. This character is an incredibly difficult one to take on, he could have easily been someone who was hard to like or sympathize with due to his internalizing and his refusal to fully embrace the relationship and who he is, but that's what makes it hit even harder, thanks to Ledger's brutal work.You see the pain in this person living a lie in every moment we have with him, with that turned in mouth and speech pattern that always sounds like it's hurting him to let anything out because he's afraid of how people are going to react. It's a performance unlike any other out there and in the end it's one that brings me to my knees. ""Jack, I swear,"" was always a line that floored me when I was watching it but now it's at a point where just thinking of the line and the way that Ledger delivers it brings some water to my eyes.",9.0,Anonymous,Romance
The Finest Hour for Two Young Actors,"I have viewed Brokeback Mountain a total of three times on a 50 inch plasma. I spaced my views almost six months apart so I could grasp more completely and without prejudice, how I would rate this flick.It is beyond a doubt an American classic and looking back I regret so profoundly the death of Heath, who played Enis. The amount of acting skill and diversity it took to do such a touching and completely honest job, makes this young man, Heath Ledger, a legend.The scenes in the Brokeback were beautiful and allowed me to imagine somehow I was transformed back in time watch these young men.The truth is neither one of the characters was entirely gay, rather bisexual, but they did find each other as their own natural soul mates.Unfortunately cultural prejudice and homophobia prevented them from doing what Jack Twist had dreamed, ranching together on his father's spread.The final scenes are absolutely acted with such depth of character, the viewer is taken to tears. The Brokeback will not have Jack's ashes, since even in death, the culture denies him his final request, his ashes spread upon the Brokeback.Many of the bigots who have posted here on this fine cinema should be ashamed as they bray their ignorance for all to read.A fine film and probably one of the top love stories of all time in film.",9.0,Anonymous,Romance
A daring and courageous story that speaks to the heart,"A really quite remarkable and moving love story between 2 cowboys that transcends any notions of what love between 2 people 'should' be. From their first raw encounter of physical intimacy, to the warmth and compassion that follows, we are taken on a journey of love and despair as these 2 men endeavour to keep alive an impossible relationship in the most difficult and unforgiving of times.Full of passion, daring, hope and despair, Heath & Jake give extremely brave and heartfelt performances in roles that not only would be a formidable challenge for any straight actor, but that will also shake and perhaps change forever the traditional stereo-type of the American cowboy. The courage required to bring this 'forbidden' love story to life on the screen is almost breathtaking, and is fully deserving of any awards that come its' way",9.0,Anonymous,Romance
A jewel of a film.,"I love this movie. Really love it. Haunting score, stunning cinematography, gripping performances, timeless tale--everything. People quibble about non-essentials. I'm female, middle-aged, hetero, and I defy you to tell me that the average straight guy is any more expressive than Ennis or any less needy than Jack. Or the average gal, either, straight or gay. Deeper than their sex, their sexuality, their religious, educational, economic or historic backgrounds, Jack and Ennis are two human beings living in the world as they find it--beautiful and indifferent at best, and as they find themselves--beautiful and flawed at best. Desire is desire. The desire for warmth, for connection, for any echo at all in the vastness of time and space, is shared by every human being ever to have lived. For me, the issue is not how repressed or thwarted Ennis and Jack are, but how persistently they turn toward the light, despite all impediment. Brokeback Mountain lyrically retells a story thousands of years old: loss and grief are unavoidable; love is where you find it.",10.0,Anonymous,Romance
This movie broke my heart.,"For all of those who are holding back from watching this movie because it is ""gay"" or has love scenes between two men...oh! This movie has nothing to do with sex...and to be honest, I don't feel that it has much to do with homosexuality. This is the most beautiful and profoundly sad love story I have ever come across, and the fact that it is a love between two men is beside the point. It's about a love between two people who cannot be together, but if human beings were better at being human, and if the world was a better place, they would have lived out their lives side by side. I was so, so moved. AMAZING!!!! A must see.",10.0,Anonymous,Romance
Not a publicity stunt,"There was a lot of talk about this film, a lot of publicity because of the gay interest in the script, and like always when there is too much talk, I don't pay for a seat because there are a lot of clever marketing scams around these days.It went away and then it was in my video store. I waited. Then it went on ""3 for a week for a fiver"" and I rented it. Ang Lee did a great job there, not only in shooting a difficult story, but also with exceptional photography (it looks like an ad for a cigarette brand, but I don't remember which) and brilliant acting and bringing us back to the US in the 1960s.The story itself, about a secret love affair, is dealt with cleverly, and with qualities in the script, in the performance, and without cheap and easy voyeurism, which in itself is admirable of Ang Lee. Heterosexual love is the subject of so many films that directors lack practise in treating homosexual love, and with the controversy around Brokeback Mountain managing to get through the minefield was not easy. I felt a bit that only one of the two cowboys was in love with the other - but this is an opinion only, but most importantly it seems to me that Brokeback Mountain deals also with the eternal topic of forbidden love, and in that way manages to send the gay aspect of this love to the background",7.0,Anonymous,Romance
The Heart Of The Matter,"I didn't believe for a moment that the film could live up to the hype, or to some of the comments posted here, some of them read like love letters to the film, to the director and the actors. Well, now, after seeing the film, I feel like writing a love letter myself. The film took over my senses and transported me. The tragedy that envelopes the lives of Ennis and Jack is caused by an ancestral ignorance that is part of our DNA and if you don't believe me read some of the hateful comments posted here alongside the love letters. That's the heart of the matter. After the summer in Brokeback Mountain, Ennis and Jack go their separate ways and Ennis hits a wall with his fists crying, trying to destroy his longing, self loathing, guilt, horror. Imagine in a world without ignorance and therefore without hatred, Ennis and Jack could have celebrated their love and attempt an honest life together. Imagine also if things were the other way and heterosexuals were the dark minority, imagine falling in love with a girl and having to keep it secret, never been able to tell or to show publicly your love for her. Men like Ennis, and there are many, have to curve their own emotions and conform, entering and developing unhappy marriages and why? Read some of the comments here and you'll understand why. There is one that condemns the movie and what the movie may do for his kid and his vision of cowboys without actually having seen the movie! That's the heart of the matter. I will go and see the film again tomorrow, if I can get tickets, I'm taking with me a group of people that hate the movie already without having seen it. I won a bet so they will have to. I'm taking them to diner later to talk. I intend to report the results if you let me. But for the time being let me tell you, ""Brokeback Mountain"" is an extraordinary film. Jake Gyllenhaal, Ann Hathaway and the magnificent Michelle Williams give superb performances but it's Heath Ledger's film. He gives us something that nobody could possibly have expected because what he gives us is not only, honest and moving and powerful but totally and utterly new.",10.0,Anonymous,Romance
A slow-burner that lingers long in the mind,"The first mainstream gay western (Warhol's 'Lonesome Cowboys' can only be described as niche or cult), 'Brokeback Mountain' was the surprise hit of 2005, another triumph for the talented director Ang Lee (who also gave us such diverse films as The Ice Storm, Sense and Sensibility, and Crouching Tiger Hidden Dragon).Ennis (Heath Ledger) and Jack (Jake Gyllenhaal) are the cowboys who start working together and find an intense sexual attraction which will continue to burn for twenty years. The film covers those two decades as we watch the idealistic Jack, who dreams of acceptance and a life with Ennis out on the ranch, and the tormented, disturbed Ennis (who remembers gay cowboys being murdered in his youth), who can't connect with anyone and anything other than his lonely soul.Extremely slow in pace, and all the better for it in an age of fast, rushed films for the MTV generation, 'Brokeback Mountain' is a love story just as valid as any other. For a mainstream movie to even address some of the issues looked at here is amazing, and the film benefits from sensitive direction, low-key romantic scenes, and total commitment from the leading actors. Gyllenhaal is better than he was in 'Donnie Darko', but he is overshadowed by Ledger, who shows here what a fantastic actor he was. It is a tragedy that his early death has robbed us from seeing this talent grow. Here in this film he resembles a young James Dean in 'Giant', playing older than his age with ease.Not an easy film to watch, then, but it repays close study and patience, and some of its lines and images will stay with you for a long time after the credits roll. Proof that intelligent cinema can still survive in the age of blockbuster action flicks.",7.0,Anonymous,Romance
An opportunity to reflect on our own lives...whichever side of the fence,"Controversial on a number of levels, yet tame by a number of standards, this is a film that will reach its audience in different ways, depending on their own personal journey - whether gay or straight. How we receive this movie - and how we relate - is indicative of where we're at in our own lives - and this is what makes this film brilliant. We follow the story of Ennis Del Mar (Ledger) and Jack Twist (Gyllenhaal) who fall unexpectedly in love during a stint as a pair of sheep herders in Wyoming during the 1960's. What follows is the struggle to keep their desires hidden from a prejudiced society and the agony of remaining committed to their marriages while living double lives. There is a consistent undertone of melancholy throughout this film, from beginning to end, and some viewers will find this heavy. But this doesn't detract from the point conveyed by Ang Lee, its director. The impressive feature of this movie is the fact that every actor puts in a solid performance - in particular some of the ""peripheral"" actors - and this is quite rare in films where quite a number of the performers have very small roles. (Look at Anna Faris 'Lashawn Malone'; Kate Mara 'Alma Del Mar, Jr.', age 19; and Roberta Maxwell 'Jack's mother' for outstanding examples.) In terms of the main actors, Michelle Williams is outstanding, and Anne Hathaway almost steals the show! The only thing that seems to leave the film falling flat is the fact that there doesn't seem to be a positive resolution. Some will take this as an indication that gay men will end up facing tragedy and be confined to a life of loneliness. And we all might need to watch this with English subtitles, because for a majority of the film, we cannot understand what Heath Ledger's mumbled dialogue! This is incredibly disappointing - particularly considering that he delivers the very final line in the film and I am still unable to figure out what it is! (I'll have to get the DVD and throw on the subtitles!!) However, this film certainly does provoke an emotional response. And whether that response is one of anger, disgust, sadness, happiness, elation, denial, self-loathing, confusion, relief, empathy or curiosity, you are alive during those two hours. Highly recommended.",7.0,Anonymous,Romance
Love between two men? What the heck! They're two human beings,"Although some time has elapsed between my seeing this movie and today, I've decided to add a little comment just to show the producers, director,actors and writer, how marvelous it is to acknowledge that a certain change is taking place in this old world of ours.I'm a 69 year old grandpa who has always taken a stand against any sort of discrimination. In this case and naturally not by accident, it's about homosexuality.People love nature but they seldom respect human nature. Love is for everyone and not only for those that are socially considered ""politically correct"". Heath Ledger and Jake Gyllenhaal have shown the world that stereotypes have nothing to do with honesty, affection,tenderness and true sorrow. Beautiful, unforgettable performances which have enriched all the viewers' craving to be loved, accepted and regarded as first class citizens. Congratulations.",10.0,Anonymous,Romance
