title,content,rating,username,genres
Newman and Redford at Their Best,"""Butch Cassidy and the Sundance Kid"" is rightfully hailed as one of the greatest westerns ever made, although much of the movie takes place in South America.  It is a great look at two likeable outlaws, full of witty dialogue and exciting action sequences.Butch Cassidy (Paul Newman) and The Sundance Kid (Robert Redford) are two bank robbers, chased by the law.  The plot follows them as they travel to Bolivia after a railroad president hires a posse to hunt them do.  The story is mostly composed of short pieces telling a little story about them.  There is really no connection all the way through, for the most part.The story isn't about the plot, however.  It is about Butch Cassidy and the Sundance Kid.  It is a close look at two criminals, the talented Sundance Kid, and Butch Cassidy, the one who does all the thinking.  The charisma and screen presence of the two actors and the way they work together is what drives the film.  Watching the two interact, with a superb script full of great dialogue, is what makes this movie so exciting.See this movie if you are a fan of westerns, or just a fan of good movies. It is exciting, superbly made (with lots of interesting silent scenes to music and montages of photographs), but it also has a lot of depth.**** out of ****",9.0,Anonymous,Biography
Butch Cassidy and the Sundance Kid: A post modern Western,"George Roy Hill's funny Western is still modern and hasn't aged bad at all. Paul Newman is charming and charismatic, and Robert Redford is energetic. I don't know why some Western-fans doesn't like it because it is filled with powerful and spectacular gunfights, humor, friendship and beautiful pictures - which is the reasons why you watch Westerns, isn't it? I am fully aware of the fact that 'Butch Cassidy and the Sundance Kid' was an unusual Western when it came. After this there were other attempts or experiments made like this but I don't think that they succeeded. 'Butch Cassidy and the Sundance Kid' has also the rare ability to even smell, taste or feel classic when you watch it ... Robert Redford was never better than here.Rating: 9 of 10.",9.0,Anonymous,Biography
"""For a Moment There I Thought We Were In Trouble""","This is a great movie all around. It's a great Western, it's a great comedy, it's a great action, and it's a great drama. George Roy Hill did an excellent job with this movie. Paul Newman is one of my favorite actors, and who doesn't like Robert Redford? I just recently saw this movie and I was very pleased when it was over. They also managed to make this an accurate depiction, because, like the tagline states, for the most part, it's true.Paul Newman and Robert Redford do outstanding jobs as Butch and Sundance. They have make a great team, and it's fun to watch them rob trains and banks, and narrowly escape from the Pinkerton Posse. This movie also has great performances. The two actors make you like Butch and Sundance, and you want them to escape.I also thought it was interesting when I learned that the real Hole In The Wall Gang (besides Butch and Sundance)would soon become the Wild Bunch, or so I'm told. I find this movie a total enjoyment and can be enjoyed by anyone. I think that even the most shrill person can find things they like about this movie, so check it out, because it is and always will be a classic! 10/10",,Anonymous,Biography
A One of a Kind,"This has got to be one of my favorite westerns. It has everything you could possibly want for every movie fan. They're so many great aspect and I will attempt to display some of them.The acting, what can I say about it. It was a perfect fit for Redford and Newman who are both friends in the movie and real life. They deliver exhilarating, funny and electrifying performance. It is so great I can't even put it into words. These two actors were robbed of an at least an Oscar nomination. It has to be the biggest Oscar snub ever. Watching this movie my only wish is that Redford and Newman would have done more movies together.The writing was great and creative. I have never witnessed a movie that was so serious and yet so funny. The writing totally propelled this movie forward. The fact that Butch and Sundance went to Bolivia trying to outrun the law was hilarious. This has got to be some of the best writing ever.The directing by George Roy Hill was as well amazing displaying the chase scenes and just sitting back and letting the writing and directing take over. But most of all he let Robert Redford and Paul Newman do their thing. You could see that they were both feeding off each other and George Roy Hill never seemed to interrupt their chemistry.I would advise anyone and everyone to watch this. They are just so many laughs, many fun action scenes and of course Paul Newman and Robert Redford.",10.0,Anonymous,Biography
One Of The All-Time Great Westerns,"One of the best and most-liked films of the 1960s, this is still a fun movie to watch today. When I saw this on DVD on a nice flat-screen set, I was amazed how good this looked. I had seen it several times before on VHS and hadn't realized how good this was photographed. I just discovered Conrad Hall was the cinematographer, which explains it. Few, if any, were better than him.One remembers this western for several things: the two leads looking over their shoulders incredulous that their pursers seem to be always there; Paul Newman riding a bicycle to the tune of ""Raindrops Keep Falling On My Head,"" the beautiful Katharine Ross, the chemistry of Newman and Robert Redford as a two-man team, on and on. Those three lead actors, with the repartee between them, and the likability of each, make them fun to watch as they dominate this picture.It's just solid entertainment and another example of good film-making that doesn't need a lot of R-rated material to make it successful. Photography-wise, the western scenery was great, there were some wonderful closeup shots and I really liked the tinted old-time footage inserted in here.So, when you combine all the elements, it's no surprise this film won so many awards and endures so well.",10.0,Anonymous,Biography
One of the best of the 60s & 70s,"This is pretty much the ultimate action western movie I can think of. This movie has everything you could want, and it appeals to almost any type of viewer. Paul Newman, one of if not the best actor of our time is the lead along with Robert Redford, the two go together perfectly, I dare say this is one of the best combinations in Hollywood history.Anyways the story takes place in the midwest, Newman and Redord run ""The Hole in the Wall Gang"" named after their hideout. They rob trains and take big scores, later the Pacific railroad gets together the best tracker and lawmen in the entire Western United States to track and kill Butch and Sundance. They must manage to evade their elite counterparts, the movie is 100 percent entertainment, especially during the chases. The movie is based on true events and is spectacular.This movie won Best Score, Best Song (Raindrops) which was very good untraditional music in a western, it fit good in this movie, Best Cinematography, shot by Conrad L. Hall who also did Road To Perdition, arguably the best cinematography done to this very day, and Adapated Screenplay, all for the right reasons. George Roy Hill, Paul Newman, and Robert Redford all went on to create ""The Sting"" in 1973, which is possibly one of the best movies ever made. I praise this movie, 10/10",10.0,Anonymous,Biography
I can't believe people are slating this movie!,"OK, for those of you who aren't sure whether ""Butch Cassidy and The Sundance Kid"" is a good, or even great movie, just do the following:Scroll up to ""memorable quotes"".  Go on, do it and then read what follows. I'll be right here when you get back.Finished?  Did you read those lines?  THAT, my friends, that and the fact they are spoken by some great actors is what makes this film so wonderful. They are perfectly balanced between being funny, endearing and also revealing about the characters.  There's genuine emotion and warmth in a lot of that.Conrad Hall, George Roy Hill, Burt Bacharach et al all contributed marvelously but I love the cast; such quality and for some of them, in small, but memorable roles:  George Furth, Ted Cassidy, Kenneth Mars, Strother Martin, Katherine Ross and the stars at the top; Newman and Redford who did perfect justice to Goldman's script.",8.0,Anonymous,Biography
Gags and one-liners... but no atmosphere,"This movie foreshadows well the modern Hollywood blockbuster. It gets all its mileage out of individual gags that are sort of strung end-to-end, and there you have the movie. Everything is a bit light and fluffy, and the whole production seems to say ""Look! Heartthrob actors, dressed up like cowboys, doing cowboy stuff!"" It certainly has entertaining portions (along the lines of Hollywood's usual ""something for everyone""), but I wouldn't call it a good movie. Best watched after Sergio Leone's masterpieces have faded from memory. I didn't take that advice and found myself thinking ""this is so weak!""",6.0,Anonymous,Biography
Carefree Outlaws,"Newman and Redford pair up for the first time as Butch Cassidy and the Sundance Kid: a pair of outlaws that are perpetually robbing. They are so prolific with their robbing that they take their craft across the border into Bolivia. Not even a language barrier is going to stop them from taking other people's money.As much as this is about the wild lawless lifestyle of Butch and the SDK it is probably one of the first love triangles. Sundance is hook up with Etta Place (Katharine Ross) but it's clear that Butch loves her and she loves him. Somehow this criminal triumvirate does just fine emotionally where there is no outward hostility of one towards the other. I think that flowed from the light-heartedness of the movie. The movie was never too serious, even in the most dire times for the two protagonists. I think that was the biggest selling point for me. They were outlaws, and they would kill on occasion but it was almost like they were college frat boys who never stopped fratting. They lived life loose and carefree and nothing was going to change that.",7.0,Anonymous,Biography
One word.....Excellent,"I can remember seeing this movie, at the Colony Theater in Portsmouth Virginia, when it was first released. Since then, I've seen it at least 30 times, most recently last night. In my humble opinion, Paul Newman & Robert Redford made an excellent movie twosome 30 years ago [and expanded on it a few years later, in The Sting]. In reading the reviews submitted about this movie it makes me happy to see that most of the people agree with my opinion. How could you not like these characters, along with Etta, ""those guys"" following them and eventually Strother [who will always be remembered for his ""what we have here is a failure to communicate"" in Cool Hand Luke] Martin? Not to mention the scenes where Etta enters the picture, when Butch has to fight Logan, when they have to jump in the water and, of course, the ending sequence of events. I won't say ""they don't make them like they used to"", but this one is a keeper. And if you agree with my evaluation, and have a DVD player, watch the DVD that has interviews, etc., to give you an even better picture of this excellent movie.",9.0,Anonymous,Biography
