title,content,rating,username,genres
Love And War And Occupation,"After a somewhat slow start I thought this movie about the Italian occupation of a Greek island during World War II picked up and became a quite enjoyable watch for a couple of hours, from primarily two points of view.The love triangle is an interesting one and strikes me as believable, because I know it happened in various places under occupation. Penelope Cruz played Pelagia, a young Greek girl engaged to be married to Mandras (Christian Bale). I had questions about the depth of their love from the start, but their future was torn apart when Italy invaded Greece, and Mandras went off to fight. After German intervention, Greece is conquered and the island Pelagia lives on comes under Italian occupation, during which Pelagia meets and begins to fall in love with Captain Corelli (Nicholas Cage.) This, of course, was a dilemma that came to many young women in occupied lands. As they got to know their occupiers, they started to see them not as the enemy but as real people, and sometimes fell in love - often to the disapproval of their neighbours. I just finished reading an interesting book about the German occupation of Britain's Channel Islands in which this was a major issue. Once Mandras returns to the island, Pelagia is torn between them.The second background issue is the Italian occupation itself, which I thought was quite realistically portrayed. First was the contempt with which the island treated their Italian occupiers. Greece defeated Italy (quite true from a historical perspective) and was really conquered by the Germans. The refusal of the town to surrender to the Italians and instead to insist on surrendering to a German officer struck me as something that could well have happened (and was quite funny in fact. I loved the line, ""we would rather surrender to this German's dog than to you Italians."") The portrayal of the Italian troops also struck me as believable. The Italian Army was never enamoured of their German ally, and never enthusiastic about fighting with them. Although Hitler and Mussolini were close friends, their soldiers tended to treat each other with contempt. Here, the Italians are more interested in singing than fighting (which the German troops on the island simply can't understand,) and are ecstatic when Italy makes peace and withdraws from the war - until they discover that this may well make them prisoners of the Germans. It was all quite well done, I thought.It falters a bit at the end with an all too predictable finish, but still deserves praise.7/10",7.0,Anonymous,Music
Very Watchable,"Unlike many, I have not read the book and so I watched this purely as a film in its own right.  I'm not especially keen on romance dramas, and I expected this to be a bit slushy and/or operatic so I was rather hesitant about going to see it in the first place...But I'm glad I did, because it was good.  Beautiful, ""feel good"" scenery and with a light touch of humour that made it rather more endearing than a straight drama would have been.  The romance was gentle, inoffensive and sufficiently interwoven with enough ""proper"" story-telling to keep my interest, and the score was not too obtrusively operatic.Overall, the film takes a satisfying circular route from start to finish, inducing a range of emotions as it progresses.  It's about 2 hours long, but I didn't find myself fidgeting or looking at my watch once - and that's quite a feat for me!!  Very enjoyable.",6.0,Anonymous,Music
Worth a watch,"After reading the book thought I would give the film a watch. As with any book adaptation the story is slightly changed and big chunks are missing, are they key parts yes. The film doesn't flow as well and you find yourself not very interested in some of the key players in the book. But I never wanted to stop the film which I think is key, it has something about it which keeps you glued. Perhaps the back drop.",6.0,Anonymous,Music
Please read the book instead.,"Ok, it's a given that you cannot make a good movie from a good book. (Unless you make it a trilogy :-) But comparing the book Corelli's Mandolin to this movie it's clear how much has to be cut to fit a screenplay. The book is very funny in places, romantic (of course), dramatic. What's left of it in the film is inexplicable romance -- as other reviewers have remarked, it's unclear why she falls in love with the italian while her betrothed is still around, and I have no idea why this was changed from the book -- and some gratuitous gunning and bombing scenes, more than in the book which derives its power from not hammering on the obvious points. Whole characters are cut: Carlo has maybe 10 seconds screen time, while in the book he has a whole story line that runs several chapters.",,Anonymous,Music
Could have been better,"When I was watching this movie one thought had come to my mind for several times: ""It's not really what I expected, I thought it would be better"", but now that I finished watching it I realize: why should I expect a better result from this movie? Isn't it just a ""love story"" made up in Hollywood show's standards? Of course, it is! If so, why expect more?Captain Corelli's mandolin is a romance story in war time (WWII) and the plot which I was noticed about before watch the movie seemed very interesting to me. All that I didn't count was the ""Hollywood standard's"" touch... What I mean by this is that I expected a story a bit more realistic and with a stronger plot (which was not full of ""plot holes"" as this one is!) instead of this ""sweet story romance, with the perfect ending"", which we're used to watch in a great part of Hollywood's movies! Another Hollywood standard's gaffe which is very common is the natives' languages issue. The differences between Italian, Greek and German languages were all done just by a stupid accent, and all people seem to understand each other very well. The Italian and the German army arrive to a ""forgotten"" Greek island and they all understand each other very well as they all speak the same language! Of course it's just little technical details that don't even matter to the plot, but are all this little details which separate a good from a bad production!But the movie has not just bad-sided arguments! On the good side, I can find the original idea (which comes from a book), and the thought that is possible to be Human, and have Human feelings, even inside a War. It's possible to sing and be happy, have good feelings, to love and to be loved in a War time! Was because of that main idea that I wanted to watch this movie, and at this particular point I wasn't disappointed! I just was dissatisfied about the way it was made! Another good-sided argument is History's knowledge The movie is not very deep at that issue, but it's good enough to have a little idea how was the WWII in the Eastern-South Europe.Globally Captain Corelli's mandolin is not a bad movie but it's not as good as I initially though either, mostly because of the ""Hollywood show's standards"" up-mentioned.",6.0,Anonymous,Music
"Good Film, Read Book Afterwards","Here's a well-made war story, nicely shot and well-acted. The portraying of the Italian and German occupancy of Greek island Kefalonia is well-done. John Hurt as Pelagia's father and the island doctor is superb, Nicolas Cage does a good job as the Captain from the title, Penelope Cruz does a good job of being beautiful and batting her eyelashes at Cage. There's heroics and humor, there's drama and romance, and it is all set on an idyllic island.Oddly enough, a very similar, or should I say almost identical, storyline, with the same characters going through the same series of events, is told in a novel by the same title, written by Louis de Bernieres. This wonderful historical novel tells the story of beautiful Pelagia, daughter of doctor Iannis, and their life on Kefalonia during WWII. Pelagia's fiancee, local fisherman Mandras, enlists when the Italian Army invades northern Greece from Albania under false pretenses. When the Axis finally prevails, with a lot of help from the Germans, a garrison of Italian soldiers is stationed on the island, and Captain Corelli plays a big part in keeping the occupation a peaceful time. As Mandras joins the partisans, charming Corelli and his mandolin are quartered with the doctor and his beautiful daughter. Of course, this makes it a novel about love. But it is also a war novel, a summary of Greek history, a tale of Communist uprising in post-war Greece, a portrait of the madness of Mussolini, and, most importantly, an ode to island life on Kefalonia.Some of these elements return in the movie, but in general, it is an impossible book to film. I am glad nobody ever tried.The movie 'Captain Corelli's Mandolin', however, is worth seeing. Just make sure you read the book *after* you see the movie.",7.0,Anonymous,Music
Both The Accent & The Movie Stink,"I actually was looking forward to this movie. After reading a number of reviews before the release, it sounded like a genuinely nice film, one that was beautifully filmed and one with an interesting cast (Nicholas Cage, Penelope Cruz and John Hurt.)Well, it might have been all of those things BUT it is so boring that I defy almost anyone to sit through this in its entirety and keep attention. Also, Cage's attempt at speaking with an Italian accent is embarrassingly bad. He's such a good actor that I cringed every time he spoke in this film.'Disappointing"" seems to be the most-often word used by reviewers here to describe this film, and I totally agree.I guess it didn't take long for word to get out about how bad this movie was because, like Cage's accent, it did not do well.",2.0,Anonymous,Music
Not as good as the novel but it has some very good parts of the novel and a bit more,"Since I read the novel and had a complete mental picture of the story already, it was hard to be fully unbiased at someone else's version of the ""picture"". Director John Madden gave it a good go but don't expect this to be the book.There should be a Best Supporting for John Hurt as Dr. Iannis. Of all the characters he stands alone in performance. Nicolas Cage is better than he usually is as the title role, even though his accent is a bit trite. Ms. Cruz is perfectly cast as Pelagia and she could have been ....well she is not the same as in the book...enough said ok?Now the scoop is the loyal side kick of Cage. I don't even know his name but he looks like a young Marlon Brando. My wife pointed the fact out to me and...well  he needed more lines and ...naw not possible...got a male star and....everyone knows the drill. In a summer of crummy nothings this movie, while flawed to be sure, is very nice.  Go see it.",7.0,Anonymous,Music
Expecting the worst...,"I have to admit that I approached this movie with a sense of expectation and dread. Louis de Berniere's bestselling novel is one of my favourites and anyone who has read it will realise that there is no way in hell that any screen adaptation can be 100% faithful.All the way through I found myself convincing myself that the movie was unsuccessful, and had stripped the book's plot back so far as to render it redundant. The ending, however, is much better than that in the novel, and I could not stop thinking about the movie afterwards. Still, the plusses (John Toll's magnificent cinematography, Stephen Warbeck's great score, etc) I felt did not outweigh my initial negatives (Cage's miscasting, a heavily diluted script).But, two days later, I was queuing again to see Corelli, and although not perfect, I have to admit now that the movie is the best anyone could have expected. Cage is actually brilliant in a role that even de Berniere was concerned was not a fully rounded character: his carefree spirit which gives way to shattered remorse is spot on, and complements the superb double act of Penelope Cruz and John Hurt perfectly. David Morrissey is quietly effective as Weber, the Nazi officer trying to reconcile his feelings for his newfound Italian friends and his inbred superiority complex to those around him. And the fine Greco-Italian supporting cast bring de Berniere's sundrenched world of Cepholonia dazzlingly alive.On leaving the cinema second time around, I finally let go my passion for the novel which prevented me from fully appreciating the story of WW2 Cepholonia in cinematic terms. My hat goes off to John Madden who, despite the almost expected critical drubbing he is receiving from the British critics (any director who has had a major success like Shakespeare in Love behind them is always a target for these moaning ninnies!),has managed to transfer a terrifically difficult book to the big screen with such heart, verve and humanity (the core virtues of the novel, in fact) that he has created another classic love story that will probably only be fully appreciated when the dust has settled a few years from now.If you are a fan of the book, like me, it's hard, but try not to make the same mistake on your initial viewing. Try to erase the book from your mind for two hours, bathe yourself in the glorious Mediterranean atmosphere, and discover Corelli, Pelagia, Mandras, Dr Iannis, as if for the first time (pretend you're watching something made from an original screenplay), and I guarantee you won't be disappointed.In fact, you'll be eagerly waiting to own your own copy of this delightful movie on video or DVD.8/10",8.0,Anonymous,Music
Try some Berniéres!,"Few days ago I finished reading of Louis de Berniéres novel Captain Corelli's Mandolin. The book was really breathtaking. I was looking forward to see the movie right after reading the book. This succeeded really quickly. I was home alone and I started to watch maybe a half an hour after I have read the last page of this amazing book. It was after midnight already, but I could not wait to see how the film-makers captured the huge power of this masterpiece in the movie. But as I felt happy when I first saw images from book (Cephallonia weather and the whole atmosphere) - such I was disappointed when Berniéres' novel full of reality of life, war and everything slowly changed into silly romantic flick. Everything is too much simplified so the story goes too fast.I am sure, that if Louis de Berniéres himself should make film (screenplay) from any of his novels, it would cost a lot of money and 150 minutes of time at least. But it won't be sweet happy-end story about cute girls, charming italian captains and brave partisans. It would be much more. Life and Berniéres' characters aren't so simple. Somebody really thought that if he will fill the movie with quotes from the book, people will think that it actually is book. This isn't bad film...I still give 7 points from 10. It's just deeply disappointing for those who read the novel. Maybe there are many perfect novels in the background of many average hollywood flicks. But sometimes there will be much better not to shoot some fine books... For those, who have read this commentary till now I have one advice - if you like superior reading and not just movie love stories - try some Berniéres!",7.0,Anonymous,Music
Painful,"I haven't read the book so I'm not anal about the movie digressing from the original plot. But it's still a horrible movie. If you want to make a schlocky love movie with Nicholas Cage affecting a risible Italian accent like out of some Little Cesar's Pizza commercial, be my guest. But please show some respect and don't base it on a real tragedy, the bloody German-Italian occupation of Greece in the Second World War and the 1943 massacre of 9000 Italian troops by the Germans.To be fair to the movie, Penelope Cruz does her usual excellent job of playing an attractive girl who painfully holds out against her romantic feelings before eventually giving in to love. The only problem is that I've seen her in this role before. Other than that, the movie is 1950ies-type of inane. The Greeks are proud archetypes (but hey, daddy's still all for emancipation and that), the Italians are jolly opera boffins, and the Germans uptight, evil maniacs. Beautiful, proud Pelagia is betrothed to a resistance fighter but has the hots for a jaunty Italian soldier. You connect the dots. That's really all there is to it.The sad thing is that the entire plot's long been done before, a million times better, and with infinitely more charme, in the 1991 Italian movie Mediterraneo. If you like the general idea of a romantic comedy about Italians occupying a Greek island, and going native in the process, you've struck gold. Captain Corelli's Mondolin, on the other hand, is trite sh*te.",3.0,Anonymous,Music
"Sketchy, Melodramatic and Clichéd","The main problem with 'Captain Corelli's Mandolin' is that it focuses primarily on the romance between Corelli and Pelagia and that too is half-baked. What is it that draws Pelagia towards him is too unclear. Is it just his musical talent or his zest? The film is set against the backdrop of a war between the Germans and Italians in a Greek island but the war is given less significance and what we see appears very sketchy. The entire film appears too sketchy, melodramatic and clichéd. Much of it is also historically inaccurate.On the technical front it is well executed. The cinematography of the beautiful exotic locations is breathtaking. The score is terrific. Where acting is concerned, Penelope Cruz can't seem to lose her Spanish accent (she's playing a Greek character) but her performance is otherwise wonderful. John Hurt and Christian Bale are equally marvelous. Nicolas Cage is a miscast. His Italian accent, energetic personality, overdone non-verbal gestures all yield to a caricature rather than a character.Perhaps director John Madden was pressured to fit the entire novel into a two hour period and he chose to focus on the romance more to draw a larger crowd. I can't shake the feeling that perhaps someone like Anthony Mingella would have made a better and more complete film of it.",,Anonymous,Music
