title,content,rating,username,genres
enjoyable,"It is true that this film is not like others Pixar films.But it is not acctualy so bad.Many review-writers is telling that this film is huge disappointment,and I think it is not true.I think that expectations was too big.So,this is story about cars.About one friendship.They are completely different,but they are best friends.There is lot of nice,simple humor in the story.The scenario is ""smooth"" and it is easy watchable.There are much of action,surprises,cool techniques,like in James Bond. Yes,we could not expect that,but it is really OK .The characters are in many different places and they are meeting a different people.Characters are 3D,they have feelings and we feel empathy about them.But,there is a ""dark side"" of film,which is not like Pixar.Enemies,propaganda and that stuff.These problems confuses and my 10 year old brother.It is not ugly or violent,it is just confusing to kids.About animation,I will not discuss.It is still Pixar;great animations and visuals and everything about it.This is family film and it is really relaxing and enjoyable.Maybe sometimes is confusing,but it is not acctualy so bad.Because of action and messages that film gives: 7/10",7.0,Anonymous,Animation
Not As Good As the First But Still Good.,"I know I'm WAY late on this by over a year. Overall I liked it. Loved a lot of the new characters, especially Finn McMissile and the arrogant Italian car guy (whatever his name was). Liked Raoue Carole as well. I just had two major pet peeves with it: it focused on Mater. Mater already had his own little spin-off of ""Mater's Tall Tales"" which I love. A movie centered on him just didn't do it for me. Had it been on Lightning (like the first one) or any other character I would have been okay. It may have to do with the fact that I'm no Mater fan. My second beef was Doc Hudson wasn't in it. I know why, I understand wanting to honor Paul Newman (whom I adored), hate to sound callous, but the show goes on. If he ended up with a different voice then so be it. Better yet, he could have been in it for a few seconds, and just not say anything at all. Fillmore's voice actor passed and he was still in it so to me there was no excuse not to have Doc in it. My two cents, of course.",6.0,Anonymous,Animation
"A Great Summer Film, that the whole family can enjoy","We all know that Pixar makes incredible movies, I personally have never disliked a Pixar film. The first ""Cars"" film, was a great movie, not a perfect film. It was one of the least better films, Pixar has made, but that's like saying, Insomnia was one of Christopher Nolan's worst films. I had high expectations when coming to see the film, like I always have before I see a Pixar film.After my viewing of the film, I have to say Pixar never fails to produce a great, entertaining film. Although it doesn't reach the heights of Wall-E, Toy Story 3, etc. It still stands by itself pretty high up there. The animation is extremely well done, the look of the film is amazing. The voice actors are great, I miss Paul Newman though. Although the film is not perfect. The movie is not perfect though, the story is not great, but not bad, the movie does not have the emotional as other Pixar films, but it is definitely not a heartless film. But the film is definitely entertaining and a great beginning to 2011 Summer movie season. Take your whole family to see this movie, it will probably not disappoint. It will not only satisfy kids, but also the adults, this film is for everyone. Fun for kids, but the adults can also connect with it and will have a great time watching this movie in theaters. It is quite an adventure and I will be glad to give it a second viewing.",7.0,Anonymous,Animation
Not what my kids and I expected...,"Espionage, assassinations, sabotage of renewable energy, propaganda, corporate cover-ups, media manipulation and The Mob...James Bond? Nope. Jason Bourne? Nope.Disney/Pixar's CARS 2. Wow. This movie wasn't at all what I was expecting. In the second serving of Lightning McQueen and his pals, they take their show to the international stage in a world championship race-off sponsored by oil-alternative manufacturer, Allinol. But turmoil behind the scenes pulls the gang into a world of spies, the Mob, Big Oil, evil German scientists and hit men. Now they have to save the world before it's too late. Oh, and they race too. The animation is amazing. Water, large balloons, backgrounds during races...pay attention because the quality of the graphics in this one are world-class. There are some goofy, funny moments and some nice one- liners for the older crowd. The themes of being true to yourself and bonds of friendship run strong throughout this film but it's the remainder of the message that worried me. There were non-stop put downs throughout and some other questionable topics. I was beginning to question the G rating when the villain ordered his henchmen to ""kill"" several other cars. Thinking back to the innocence and the good spirit of the first movie, I began to wonder how we got from there to here. Adventures in racing take a back-seat to the more mature plot of an espionage thriller. Looking around the theater, I could tell that kids younger than 4 or 5 were beginning to get lost. Even my ten-year-old had a hard time understanding the socio-political messages. On top of all that, I'd be willing to bet that Cars 2 is a contender for most guns, explosions and bullets fired in a G-Rated movie. This movie had much more violence than the first one.Aside from the appropriateness of the movie, it wasn't bad. All the likable characters from the first movie were back with bigger roles like 'Mater & Luigi and there were many new characters added that also brought their own personalities into the mix. To me, this was an espionage-thriller so the added bonus of some comedy made the movie move right along at a good pace.It was engaging for me, I enjoyed it, but the entire time I couldn't help but wonder why Disney/Pixar chose to tell this story through a kids movie.",6.0,Anonymous,Animation
Such a disappointment,"16 years ago, Pixar Animation Studios released the first feature length computer animated film in history, Toy Story. What followed was an incredible run of success, an 11 film hot streak that yielded dozens of awards (including 11 Oscars), billions of dollars in box office receipts, and the admiration of audiences and critics everywhere. Year after year Pixar was a company you could rely on, and while not all the films were perfect, they all were at least of decent quality, and light years ahead of their competition from the likes of Dreamworks and Sony. So therefore it's heart-breaking to say that Pixar's hot streak has come to a crashing halt in 2011. Cars 2 is not just the weakest film in Pixar's catalogue, it is the worst high-profile animated release for some time.If there is one Pixar film that divides opinion much more than any other, it is 2006's Cars. While by no means a bad film, it just didn't hit in the same way as films like Toy Story, Finding Nemo, or The Incredibles. It did middling numbers at the box office (by Pixar standards) and currently sits with a 74% rating on Rotten Tomatoes, the only film from the studio below 90%. For director John Lasseter (also head of Pixar), Cars is obviously a very personal film, a nostalgic story about the loss small-town American values in the face of increased modernity. If it's not a complete success, credit must be given to Lasseter for at least trying to say something meaningful, and in typical Pixar fashion the film stands out in the increasingly crowded computer animation film market for at least attempting thematic depth, and it's ability to reach audiences both young and old. Cars 2 on the other hand is completely devoid of depth and subtlety, and will more than likely annoy adults while at times being arguably inappropriate for children. Returning director Lasseter takes the worst character from the first film (in my opinion the biggest reason for Cars' failure), and structures the whole story around his infuriating exploits. Imagine George Lucas, upon seeing the negative feedback following The Phantom Menace, making all of Episode 2 about Jar-Jar Binks. That's the kind of thing we're left with in Cars 2. Compounding the story problems is the troubling amount of guns and violence in the film. To make the argument that 'it's OK because they're just cars' is inexcusable. This is still supposed to be a children's film, and while the espionage sub-plot does have potential, there are elements that seem shockingly unsuitable for young kids.This brings up a question: why would Pixar choose to revisit the only film they have produced which could conceivably be called a failure? Lasseter is on record as saying that the company would only explore sequels to their films if a good story could be developed, and the level of quality of the two Toy Story sequels seems to back up this sentiment, but it's hard to believe that anyone would think the script of Cars 2 is worthy of that high standard. Interestingly, there is one other way that Cars stands apart from other Pixar films: the estimated $8 billion merchandising revenues. While all Pixar films have profited from merchandising, none have had the global appeal of Cars. It's upsetting to think that Pixar, a company who seemed previously to place greater importance on the quality of its films than the bottom line, have gone for the easy cash grab, but there really seems to be no other reason for the existence of Cars 2. Everything about the films seems designed to increase the potential for selling merchandise, whether it's the films global locations which pander to international audiences, or the increasingly ridiculous characters and set-pieces, tailor made to be toys and video games. It's a cynical opinion, one which I had hoped I'd never feel towards a Pixar film, but it is undeniably true: Cars 2 is a film created not as an artistic endeavour, but to feed ancillary markets.Pixar's golden run had to end sometime, and one bad film is a small price to pay for 11 good, with two or three being genuine masterpieces. What is most unfortunate is the catastrophic level of Cars 2's failure, and Pixar will undoubtedly lose a lot of respect for making such a soulless film, unworthy of the studio's name.",3.0,Anonymous,Animation
Flawed but still enjoyable,"The best of Pixar's films have protagonists who are a small part of a very large world and are almost helpless against incredible odds - Toy Story, Wall-E, Finding Nemo etc. The protagonists of Cars are very big in a very small world, so do not play to the strengths of Pixar.However, being Pixar, they still make these films better than anyone else would have with the same material. Cars and Cars 2 are intelligently written and filled with more detail than you could comfortably fit into a single screening.This movie is not so much a sequel to the first as an affectionate James Bond parody that happens to be set in the Cars universe. Whereas the original Cars was thematically slow and patient, this one deliberately takes things in the exact opposite direction. Whether anyone will prefer the first film or the second is entirely their preference, and it is wrong to say that one is better than the other. Each film has its own appeals and drawbacks.The main weakness of this film is a failure to create any kind of sympathy for the characters. They are not alone, they are not lost, they have friends and allies and the resources to get out of any situation. It never feels like there is any real danger, as there is with the Toy Story films. Whereas the first film had enough focus on character development to compensate for this, the subplot about the tested friendship between McQueen and Mater seems especially insubstantial here.Nevertheless, I feel like this is an enjoyable installment in the franchise, never letting your attention wander and always ready with a clever idea. They have demonstrated that they are willing to go in entirely new directions with this world - maybe if they make a third film, they can make something truly worthy of the Pixar name?If I were rating this in comparison to other Pixar films, my score would be lower... but scoring this as a film on its own, I think it is deserving of between five and seven stars.",6.0,Anonymous,Animation
How the Mighty have Fallen,"We hoped it would never happen, but no one is perfect. Even the best can stumble. This had to happen eventually. Even the string of terrific Disney's classic films and the 90s Disney Renaissance didn't last forever. I'm afraid that, yes, Pixar has made a bad film.Cars 1 was their least ambitious film. The story was predictable and character development obvious making it their most mediocre film. It was good but it lacked that little extra touch that made their films great. However, they had some great side characters, a heart, and wonderful scenes that elevated it up beyond most other films. But ever since this film's announcement I always wondered why. McQueen had his story and there's not much else to tell. Like Finding Nemo, where else is there to go? And I'd rather see sequels to better movies like The Incredibles, even Bug's Life seems to have more potential. It's easy to see why they made a sequel to it, since all you need to do is go to Disneyland or any Disney Store and see it covered in McQueen and Mater, which happened to be two my of three year-old cousin's first words. Off all the Pixar films, Cars made the most with the merchandise.The biggest problem is the story. Cars 1, while predictable, was touching. Cars 2 has almost no heart or character development. The focus shifts from McQueen to Mater. McQueen had his story in the first and there's little to tell here. He has one character moment that's essentially the same realization as the first film's. The problem with Mater is that he's such a simple character. Everything about him is on the surface for all to see. He's the same person throughout the movie, with one predictable realization which goes no where, that he doesn't warrant his own film. He's like Kronk from The Emperor's New Groove. They're both terrific side characters but lack enough complexity for a full story. And Larry the Cable Guy has always been better with the other Blue Collar guys rather than on his own.While Cars 1's highlight was its side characters, this movie almost abandons them. They do nothing. McMissile is a moving plot device and little more. Shiftwell is supposed to be a love interest but lacks any interesting moments. The rest of Radiator Springs basically sit back while McQueen and Mater have all the fun. Their stories and character are pushed aside so Larry can have fun being Mater. Because of this, there are almost no funny little side scenes where characters just have fun being themselves. Instead, most of the humor is derived from seeing Mater do silly things.The look is impressive but not more than anything else Pixar's done. With each movie, the studio has pushed the graphics into new levels. Each movie has had some wow moment where audiences can't help but be amazed by what they're seeing. There were times in Cars 1 when it looked almost real. Cars 2 lacks any wow factor. One of the most impressive sets, Tokyo, were already spoiled by the Tokyo Mater short. This more than anything makes me wonder if Pixar was even trying to up the ante or if they were just using what they had to make a movie a year.Spies and Cars seems to work well together. After all, any Bond or Bourne film will easily demonstrate why the two go together. Indeed, the opening scene on the drilling platform is easily the best with the fast chase and cool gadgets. But they weren't able to properly combine the racing and spy elements, almost as if you're watching two movies at once. There's too much spy stuff for the racing to be interesting, which becomes pointless against the overpowering and overly clichéd spy story. Perhaps Pixar should have set it as simply a spy movie set in the Cars universe and had McQueen and his friends in cameos or as a background story.Another lousy spot is the music. Cars 1 had a terrific soundtrack with excellent uses of popular songs like Life is a Highway and Route 66. But there's not one memorable song or music cue in this movie. Giacchino usually does terrific work like with The Incredibles, Ratatouille, and Up. But he too fumbles the ball here. Perhaps he was just uninspired by what he had to work with.Cars is Lasseter's pet project. But I think he's too close to it. He's got that Lucas Star Wars prequel trilogy problem. The people around him either were in awe of the man who made Pixar and Toy Story or they were afraid to hurt his feelings since he loves the Cars franchise so much. Pixar efforts have been so well done because they were collaborative efforts, each fixing each other's problems to make a better project. But with Lasseter off working more directly with Disney, he really should have had a co-director or perhaps given the reins to someone else like he did with Toy Story 3.I almost rated this movie higher. It is fun while you're watching it, even if as soon as it's over it becomes too easy to pick apart the problems. But this is Pixar. They've dominated the animation market since Toy Story and have been pushing the boundaries at the Academy Awards ever since. To see them stumble with a not-so-great film would be one thing. But they're coming off from two Best Picture nominees to a movie that's simply flashy but with little substance. Kids will love the bright colors and silly antics, but parents will hate having to then buy twelve new Mater toys. Cars 2 is stalled and in need of a tune-up.",5.0,Anonymous,Animation
Underrated masterpiece,"To be fair, you have to have a very high IQ to understand Cars 2. The humour is extremely subtle, and without a solid grasp of car mechanics most of the jokes will go over a typical viewer's head. There's also Mater's nihilistic outlook, which is deftly woven into his characterisation- his personal philosophy draws heavily from Narodnaya Volya literature, for instance. The fans understand this stuff; they have the intellectual capacity to truly appreciate the depths of these jokes, to realise that they're not just funny- they say something deep about LIFE. As a consequence people who dislike Cars 2 truly ARE idiots- of course they wouldn't appreciate, for instance, the humour in Lighting McQueen's existential catchphrase ""Kachow"" which itself is a cryptic reference to Turgenev's Russian epic Fathers and Sons. I'm smirking right now just imagining one of those addlepated simpletons scratching their heads in confusion as Pixar's genius wit unfolds itself on their television screens. What fools.. how I pity them. 😂And yes, by the way, i DO have a Lighting McQueen tattoo. And no, you cannot see it. It's for the ladies' eyes only- and even then they have to demonstrate that they're within 5 IQ points of my own (preferably lower) beforehand. Nothin personnel kid 😎",10.0,Anonymous,Animation
It's not terrible,"This is not the worst movie ever made, contrary to popular belief. It's honestly pretty entertaining.",6.0,Anonymous,Animation
"Hang up the Hawaiian shirt, Lasseter, you've sold out.","As an ardent fan of the first Cars, I was shocked at what an absolute mess this movie is. I was prepared for a certain level of disappointment from the trailers, but I didn't expect the sheer second-rate train wreck that is this movie. All the heart of the first film has been chucked out the window on the way to cashing in on merchandising possibilities.McQueen has been practically relegated to minor character status here (one wonders why Owen Wilson even bothered showing up). Occasional glimmers of clever humor are all but eclipsed by a rickety plot that can't bear the weight of all it's trying to accomplish. Mater's hi-jinx as the centerpiece of a ridiculous (and unfunny) spy plot go from annoying to disturbing as the violence ratchets up. While several critics have claimed this sequel is aimed at particularly young audiences, no other children's movie you're likely to see in the near future does more to glorify gun violence.Pixar has sucked all the dimensionality out of every returning character, and the new ones it's added are so one-dimensional as to be nonexistent. This is a pathetic offering from a studio that should know better.",1.0,Anonymous,Animation
