title,content,rating,username,genres
One of the greatest,"Personally The Third Man is the best film ever, but this is up there. As innovative as Citizen Kane was, I'm gonna put this one ahead of it.But in one way this film beats all others - the dialogue. Yes, the cinematography is great, the acting is second to none, but how many eternal lines of dialogue came from this? 'Here's looking at you, kid,' 'This is the beginning of a beautiful friendship,' 'We'll always have Paris,' 'Round up the usual suspects,' 'The problems of three little people don't amount to a hill of beans in this crazy world,' 'I'm shocked to find out that gambling is going on,' 'Of all the gin joints in all the towns in all the world, she walks into mine'.As much as I prefer a happy ending, I'm gonna go ahead and say the ending felt perfect. It had to go that way. I think I'll end by saying Humphrey Bogart just might be the most watchable actor in cinematic history.",9.0,Anonymous,"Drama, Romance"
Rick the Kasbah...,"There's a bar is Casablanca called Rick's Café, it attracts the kind of crowd that's gone astray, people looking for escape, in a world knocked out of shape, Victor Laszlo, Ilsa Lund, have found their way. They're in search of documents to help them flee, from a war that's left so many refugee, in the gin joint ties rebind, as past loves are realigned, a pianist opens doors with a lost key. The owner of the bar is compromised, as he looks into the past at eyes that lied, a mercenary of sorts, takes advantage of imports, sneering, cynical, contemptuous and quite snide. It's a world that's built around a roulette table, where rewards can be significant, substantial, but the costs can be severe, without Américain Rick Blaine's ear, in this legendary and quite fabulous forties fable.",9.0,Anonymous,"Drama, Romance"
I think this is a start of a great friendship...,"I think Casablanca will start a great friendship between me and the classic movies!!!
Casablanca, an amazing story on friendship love and patriotism is one of the best movies I've seen. Magnificent as always , Humphrey Bogart played Rick a saloon owner in Casablanca , an unoccupied region in France during the WW2. His ex lover Ilsa now wife to Victor Lazlo an escaped prisoner of the Nazis come to the saloon owned by Rick in fortuity. With no other choice but to seek help from her ex lover Ilsa tries to persuade Rick to help Victor escape the german to America.
I was infatuated by the performance of Ingrid Bergman who plays Ilsa. She was an absolute peach with her amazing yet painful dialogues.
Casablanca will always be a monumental work in the history of the cinemas.",9.0,Anonymous,"Drama, Romance"
HOW TO WATCH THIS MOVIE,"There are literally hundreds of comments about this movie on IMDB.  Many of them exhort its greatness.  I don't disagree with them.But I'd like to add a suggestion to those of you out there who haven't seen this film.  I'd like to tell you HOW to watch it.The people who made this movie didn't think they were producing a masterpiece. Bergman left the shoot disgusted.  The screenwriters were on salary for Warners, writing half a dozen movies a year, and this was just one more.  Bogie was punching the clock in the middle of a workhorse career.So as an audience member, you can't sit down expecting gilded greatness.Don't have a Casablaca party.  Don't watch it on your first date, hoping it will lend that ""Romantic Touch.""  Don't watch it as part of your ""I need to watch the Best 10 movies of all time"" Film School project.Buy this movie on DVD.  Have it at the ready.  And then, one Friday night, when your plans fall through and you find it's 10:30pm and there's nothing on TV that's any good, open a six pack of beer, or pour yourself some wine, and watch this movie in a darkened room.The characters in Casablanca are absolutely devoid of sentimentalism.  Every one of them sees the world without a hint of rose color in their lenses.  As Rick says, ""Three little people don't amount to a hill of beans in this big old world.""  If you're in a mood where you understand what he's saying, watch this movie and it will transport you.There is no single movie that deserves to be called the best movie of all time.  Because movies, when all is said and done, don't amount to a hill of beans.  They are meant to entertain us, not for us to worship THEM.But no movie has ever known this fact like Casablanca.If you watch Casablance this way, with no expectations, with no ""hype,"" you might catch 10 percent of its greatness on one viewing.  And that will be enough to start you on your way.Happy viewing, kid.",10.0,Anonymous,"Drama, Romance"
Now I finally know why this one is one of the best,"Probably the most legendary movie of all time, I finally got to see it, it was a great hole in my movie-viewing history. And finally I got to understand why a classic movie like this has made its mark in history. The intricate political plot comes first, and sets the movie on a melting pot of the second world war, where everyone hopes and dies for an opportunity to reach the USA via Lisbon. This would provide sufficient material for hundreds of movies, but enter Humphrey Bogart, Ingrid Bergman, magnificent cinematography, role model storytelling, a perfect supporting cast, some of the best dialogue ever commited to celluloid and Dooley Wilson singing THAT song, and history was made. More than 60 years of jaw-drops are sufficient to give the sceptics a good reason to make them understand that this is probably the greatest classic movie of all times, and one of the best ever made in the past, present and future.",10.0,Anonymous,"Drama, Romance"
A masterwork for all time...,"There is a scene about halfway through the movie Casablanca that has become commonly known as 'The Battle of the Anthems' throughout the film's long history. A group of German soldiers has come into Rick's Café American and are drunkenly singing the German National Anthem at the top of their voice. Victor Lazlo, the leader of the French Resistance, cannot stand this act and while the rest of the club stares appalled at the Germans, Lazlo orders the band to play 'Le Marseilles (sic?)' the French National Anthem. With a nod from Rick, the band begins playing, with Victor singing at the top of HIS voice. This in turn, inspires the whole club to begin singing and the Germans are forced to surrender and sit down at their table, humbled by the crowd's dedication. This scene is a turning point in the movie, for reasons that I leave to you to discover.As I watched this movie again tonight for what must be the 100th time, I noticed there was a much smaller scene wrapped inside the bigger scene that, unless you look for it, you may never notice. Yvonne, a minor character who is hurt by Rick emotionally, falls into the company of a German soldier. In a land occupied by the Germans, but populated by the French, this is an unforgivable sin. She comes into the bar desperately seeking happiness in the club's wine, song, and gambling. Later, as the Germans begin singing we catch a glimpse of Yvonne sitting dejectedly at a table alone and in this brief glimpse, it is conveyed that she has discovered that this is not her path to fulfillment and she has no idea where to go from there. As the singing progresses, we see Yvonne slowly become inspired by Lazlo's act of defiance and by the end of the song, tears streaming down her face, she is singing at the top of her voice too. She has found her redemption. She has found something that will make her life never the same again from that point on.Basically, this is Casablanca in a nutshell. On the surface, you may see it as a romance, or as a story of intrigue, but that is only partially correct.The thing that makes Casablanca great is that it speaks to that place in each of us that seeks some kind of inspiration or redemption. On some level, every character in the story receives the same kind of catharsis and their lives are irrevocably changed. Rick's is the most obvious in that he learns to live again, instead of hiding from a lost love. He is reminded that there are things in the world more noble and important than he is and he wants to be a part of them. Louis, the scoundrel, gets his redemption by seeing the sacrifice Rick makes and is inspired to choose a side, where he had maintained careful neutrality. The stoic Lazlo gets his redemption by being shown that while thousands may need him to be a hero, there is someone he can rely upon when he needs inspiration in the form of his wife, who was ready to sacrifice her happiness for the chance that he would go on living. Even Ferrai, the local organized crime leader gets a measure of redemption by pointing Ilsa and Lazlo to Rick as a source of escape even though there is nothing in it for him.This is the beauty of this movie. Every time I see it (and I have seen it a lot) it never fails that I see some subtle nuance that I have never seen before. Considering that the director would put that much meaning into what is basically a throw away moment (not the entire scene, but Yvonne's portion) speaks bundles about the quality of the film. My wife and I watched this movie on our first date, and since that first time over 12 years ago, it has grown to be, in my mind, the greatest movie ever made.",10.0,Anonymous,"Drama, Romance"
The Fundamental Things Apply...,"""Casablanca"" remains Hollywood's finest moment, a film that succeeds on such a vast scale not because of anything experimental or deliberately earthshaking in its design, but for the way it cohered to and reaffirmed the movie-making conventions of its day. This is the film that played by the rules while elevating the form, and remains the touchstone for those who talk about Hollywood's greatness.It's the first week in December, 1941, and in the Vichy-controlled African port city of Casablanca, American ex-pat Rick Blaine runs a gin joint he calls ""Rick's Cafe Americaine."" Everybody comes to Rick's, including thieves, spies, Nazis, partisans, and refugees trying to make their way to Lisbon and, eventually, America. Rick is a tough, sour kind of guy, but he's still taken for a loop when fate hands him two sudden twists: A pair of unchallengeable exit visas, and a woman named Ilsa who left him broken-hearted in Paris and now needs him to help her and her resistance-leader husband escape.Humphrey Bogart is Rick and Ingrid Bergman is Ilsa, in roles that are archetypes in film lore. They are great parts besides, very multilayered and resistant to stereotype, and both actors give career performances in what were great careers. He's mad at her for walking out on him, while she wants him to understand her cause, but there's a lot going on underneath with both, and it all spills out in a scene in Rick's apartment that is one of many legendary moments.""Casablanca"" is a great romance, not only for being so supremely entertaining with its humor and realistic-though-exotic wartime excitement, but because it's not the least bit mushy. Take the way Rick's face literally breaks when he first sees Ilsa in his bar, or how he recalls the last time he saw her in Paris: ""The Germans wore gray, you wore blue."" There's a real human dimension to these people that makes us care for them and relate to them in a way that belies the passage of years.For me, and many, the most interesting relationship in the movie is Rick and Capt. Renault, the police prefect in Casablanca who is played by Claude Rains with a wonderful subtlety that builds as the film progresses. Theirs is a relationship of almost perfect cynicism, one-liners and professions of neutrality that provide much humor, as well as give a necessary display of Rick's darker side before and after Ilsa's arrival.But there's so much to grab onto with a film like this. You can talk about the music, or the way the setting becomes a living character with its floodlights and Moorish traceries. Paul Henreid is often looked at as a bit of a third wheel playing the role of Ilsa's husband, but he manages to create a moral center around which the rest of the film operates, and his enigmatic relationship with Rick and especially Ilsa, a woman who obviously admires her husband but can't somehow ever bring herself to say she loves him, is something to wonder at.My favorite bit is when Rick finds himself the target of an entreaty by a Bulgarian refugee who just wants Rick's assurance that Capt. Renault is ""trustworthy,"" and that, if she does ""a bad thing"" to secure her husband's happiness, it would be forgivable. Rick flashes on Ilsa, suppresses a grimace, tries to buy the woman off with a one-liner (""Go back to Bulgaria""), then finally does a marvelous thing that sets the whole second half of the film in motion without much calling attention to itself.It's not fashionable to discuss movie directors after Chaplin and before Welles, but surely something should be said about Michael Curtiz, who not only directed this film but other great features like ""Captain Blood"" and ""Angels With Dirty Faces."" For my money, his ""Adventures Of Robin Hood"" was every bit ""Casablanca's"" equal, and he even found time the same year he made ""Casablanca"" to make ""Yankee Doodle Dandy."" When you watch a film like this, you aren't so much aware of the director, but that's really a testament to Curtiz's artistry. ""Casablanca"" is not only exceptionally well-paced but incredibly well-shot, every frame feeling well-thought-out and legendary without distracting from the overall story.Curtiz was a product of the studio system, not a maverick like Welles or Chaplin, but he found greatness just as often, and ""Casablanca,"" also a product of the studio system, is the best example. It's a film that reminds us why we go back to Hollywood again and again when we want to refresh our imaginations, and why we call it ""the dream factory."" As the hawker of linens tells Ilsa at the bazaar, ""You won't find a treasure like this in all Morocco."" Nor, for that matter, in all the world.",10.0,Anonymous,"Drama, Romance"
We'll Always Have Casablanca,"Spoilers ahead, but then again, who isn't familiar with Casablanca, even if one hasn't seen it?I've been watching 'Casablanca' over and over again since I bought the Special Edition DVD, and is there any film out there one can watch again and again without ever being tired of it? And does any film appeal to a broader audience? Just everything about it seems to be as close to perfection as it only can be.But what exactly is so special about it? Is it its great genre mix, never equaled by another film? When we think of 'Casablanca' first, we remember it as a romantic film (well, most of us do). But then again, its also a drama involving terror, murder and flight. One can call it a character study, centering on Rick. And there are quite a few moments of comedic delight, just think of the pickpocket (""This place is full of vultures, vultures everywhere!"") or the elderly couple on the last evening before their emigration to the US (""What watch?"").But 'Casablanca' is not only great as a whole, it still stands on top if we break it apart and look at single lines of dialog, scenes or performances alone. Is there any other film which has more quotable dialog than 'Casablanca'? 'Pulp Fiction' is on my mind here, and 'All About Eve' and 'Sunset Blvd.' come close, too, but still I think 'Casablanca' tops everything else. And not only is the dialog great, it's unforgettably delivered, especially by Humphrey Bogart (""I was misinformed."") and Claude Rains (""I am shocked, shocked to find that gambling is going on here""). Many of scenes have become a part of film history; the duel of 'Die Wacht am Rhein' and 'La Marseillaise' is probably one of the greatest scenes ever shot (the only I can think of that would rival it for the #1 spot is Hynkel and the globe from Chaplin's 'The Great Dictator'), and the last scene is probably even familiar to the few people who've never seen 'Casablanca'. Am I the only one who is absolutely convinced that the film wouldn't have become what it is today if Rick and Ilsa would have ended up as the lucky couple?About the performances: So much has been said about the uniqueness of Humphrey Bogart's and Ingrid Bergman's chemistry as Rick and Ilsa, about Claude Rains' terrific turn as Renault, about the scene-stealing performances by Peter Lorre (one of the 10 all-time greatest actors) as Ugarte and Sydney Greenstreet as Ferrari and about Dooley Wilson stopping the show as Sam. I'd love to emphasize here two other performances, one that is not mentioned quite as often and one which is blatantly overlooked: Conrad Veidt as Major Strasser had a really difficult task here, as his character is the only evil one, but still Strasser is not a one-dimensional character, and it took more than 50 years until another actor gave an equally (maybe even more) impressive performance as a Nazi, Ralph Fiennes in 'Schindler's List'. But why no one ever mentions S. K. Sakall, who plays Carl, the jolly waiter at Rick's Café Américain, is beyond me. He has definitely more screen time than Lorre, Greenstreet and Wilson, and probably about as much as Veidt, and he's a joy whenever he's on the screen. I simply love his reaction when the pickpocket (""Vultures everywhere!"") accidentally bumps into him, or the reaction to the ""What watch""-dialog. Or how he says he gave Strasser the best table, ""being a German, he would have taken it anyway"". His performance is simply criminally overlooked.So is there a weakest link in 'Casablanca'? Every film, no matter how close to perfection, has a minor flaw or two, so one can find them in 'Casablanca', too, if one really tries hard. So yes, one might ask how much sense the entire mumbo jumbo about the letters of transit makes. One might point out that Paul Henreid, although his performance is certainly good, doesn't come close to the greatness of any of his co-stars. However, the film is so close to perfection that I'm almost ashamed that I'm so desperately trying to find less-than-perfect elements.So whatever films will come, how many sequels will overflow the screen, and how much junk we will have to sit through, one thing is certain if we're desperate to see a great film: We'll always have Casablanca!",10.0,Anonymous,"Drama, Romance"
"Of all the gin joints, in all the world...","Sunday, November the 20th is the anniversary of Marcel Dalio's death in 1983. It was the end of a serendipitous life. You know him. He was a citizen of the world. Born Israel Moshe Blauschild, in Paris, in 1900, he became a much sought-after character actor. His lovely animated face with its great expressive eyes became familiar across Europe. He appeared in Jean Renoir's idiosyncratic Rules of the Game, and Grand Illusion, arguably the greatest of all films. True to his Frenchman's heart, he married the very young, breathtaking beauty Madeleine LeBeau. He worked with von Stroheim and Pierre Chenal. He had it all.But then the Germans crushed Poland, swept across Belgium and pressed on toward Paris. He waited until the last possible moment and finally, with the sound of artillery clearly audible, with Madeleine, fled in a borrowed car to Orleans and then, in a freight train, to Bordeaux and finally to Portugal. In Lisbon, they bribed a crooked immigration official and were surreptitiously given two visas for Chile. But on arriving in Mexico City, it was discovered the visas were rank forgeries. Facing deportation, Marcel and Madeleine found themselves making application for political asylum with virtually every country in the western hemisphere. Weeks passed until Canada finally issued them temporary visas and they left for Montreal.Meanwhile, France had fallen and, in the process of subjugating the country, the Germans had found some publicity stills of Dalio. A series of posters were produced and were then displayed throughout the city with the caption 'a typical Jew' so that citizens could more easily report anyone suspected of unrepentant Jewishness. The madness continued. 'Entree des artistes', a popular film, was ordered re-edited so that Dalio's scenes could be deleted and re-shot with another, non-Jewish, actor.After a short time, friends in the film industry arranged for them to arrive in Hollywood. Nearly broke, Marcel was immediately put to work in a string of largely forgettable films. Madeleine, a budding actress in her own right, was ironically cast in 'Hold Back the Dawn', a vehicle for Charles Boyer with a plot driven by the efforts of an émigré (Boyer) trying desperately to cross into the United States from Mexico. But the real irony was waiting at Warner Brothers.In early 1942, Jack Warner was driving production of a film based on a one act play, 'Everybody Comes to Rick's' but had no screenplay. What he had was a mishmash of treatments loosely based on the play and two previous movies. But he had a projected release date and a commitment to his distributors to have a movie for that time slot and little else. Warner Brothers started to wing it.Shooting started without a screenplay and little plot. Principal players were cast and a director hired but casting calls for supporting roles and bit players continued and sometime in the early spring Marcel Dalio and Madeleine LeBeau were cast as, respectively, a croupier and a romantic entanglement for the male lead. Veteran screen-writers were hired to produce a running screenplay, sometimes delivering pages of dialogue one day, for scenes to be shot the following day. No one knew exactly where the plot would go or how the story would turn out. No one was sure of the ending. And, of course, they produced a classic, perhaps the finest American movie.They produced a screenplay of multiple genres, rich with characterizations, perfectly in tune with the unfolding events in Europe and loaded with talent from top to bottom. Oh, and they changed the title to 'Casablanca'.It is so well known, that many lines of long-memorized dialogue have passed into the slang idiom. 'We'll always have Paris', 'I was misinformed', 'Here's looking at you, kid', ' I am shocked! Shocked! To find that there's gambling going on in here!', 'Louis, I think this is the beginning of a beautiful friendship', 'Oh he's just like any other man, only more so', 'I don't mind a parasite. I object to a cut-rate one', 'Round up the usual suspects', and, of course, the oft quoted, apocryphal, 'Play it again, Sam'.Madeleine LeBeau plays Yvonne, the jilted lover of Humphrey Bogart, who is seen drowning her sorrows at the bar early in the film and who later, to get back at Rick and looking for solace takes up with a German officer finding only self-hatred. She is luminous.And when Claude Rains delivers the signature line, 'I'm shocked! Shocked! To find that there's gambling going on in here!' the croupier, Emil, played by Marcel Dalio, approaches from the roulette table and says simply, 'Your winnings, sir.' It is a delicious moment ripe with scripted irony, one among many in this film, but one made all the more so, knowing where Dalio came from and what he and his wife had endured to arrive at that line.I have often wondered exactly when they saw the final script or if they only realised the many parallels to their own lives when the film was released.Alas, they separated and divorced the next year, both going on to long successful careers. Dalio never remarried.Late in his career, when Mike Nichols was looking for a vaguely familiar face to deliver a long and worldly, near-monologue in Catch-22, he turned to Dalio. Faced with a hopelessly idealistic young American pilot, Dalio, as simply 'old man in whore house', in tight close-up, delivers a discourse on practical people faced with impractical circumstances, of the virtues of expedience in the face of amorality . Using his wonderful plastic features, now beginning to sag, in a voice full of melancholy, the old man reassures the young man that regardless of what 'grand themes' may be afoot in the world, in the end, little matters but survival.",,Anonymous,"Drama, Romance"
Is it good? Yes. Is it overrated? Also yes.,"I was extremely skeptical when I put the video tape into the cassette player but I was pleasantly surprised by both my focus and the film. The picture was sharper than expected and luckily the film was not very long.But quite honestly, I don't see what's so special about the movie. Not really my taste, but still! There are probably quite a few details that I didn't notice, but I don't think you should have to google ""why is Casablanca great"" to understand the hype surrounding the film.Do not misunderstand me. It was good. It was actually very good from time to time. Stylish environments and lovely vibes. However, I think that the explanations for why the film is good are rather reasons why the film is even better than what you already thought. Should a film really require so much analysis and thought? Yes, a movie like this might need it.I tried to see the film with an extra critical and objective eye. The plot is good, the characters are nuanced and many good questions are asked. The main character has had his heart broken and his ideologies have changed. It's an interesting premise. It's all good on paper and I imagine the film was a great when it came out during WWII. Can you imagine that? 80 years ago. There are people in this who were born in the 19th century. That is certainly interesting.In conclusion, I was surprised that it was quite good, but I didn't really like it. It's undeniably a pretty good movie, but is it overrated? In my eyes? Yes, I would say so. Is it just because of the outdated technology? No, the plot wasn't very complex and the moral dilemma the whole thing was about is nowhere near groundbreaking today. Maybe it was 80 years ago but how do I know.",7.0,Anonymous,"Drama, Romance"
