title,content,rating,username,genres
"Three measures of Gordon's, one of vodka, half a measure of Kina Lillet. Shake it very well until it's ice-cold, then add a large thin slice of lemon-peel. Got it?","I distinctly remember the collective groan from the James Bond fan base back in the mid 2000's when the announcement came that Daniel Craig would replace Pierce Brosnan as the new James Bond. Fans were up in arms because Daniel Craig has blonde hair and baby blue eyes, instead of themore traditional darker traits that were synonymous with the James Bond character. Funny how once 'Casino Royale' was actually released, those skeptics immediately disappeared.Daniel Craig proves he has the charm, elegance, presence, and confidence that the fans have come to expect from James Bond. He just has a very powerful aura about him from that start that easily establishes him as the next James Bond.Mads Mikkelsen plays the main antagonist Le Chiffre, who is one of my favorite James Bond villains. The film actually provides insight into his backstory to shed some light on the motivations behind his actions. Le Chiffre is humanized because the audience simply understands his reasons for being ""the bad guy"", which makes him much more relatable and interesting as a character. This is the antithesis of traditional Bond villains that have a tendency to be very over-the-top and evil just for the sake of being evil.Eva Green plays Vesper Lynd, who is assigned to supervise James Bond during his mission. Not only is Eva Green stunningly beautiful, she also perfectly portrays the charm, wit, determination, and overall likeability of Vesper. Not much can be said without getting into spoiler territory, but I will say her story arc is one of the highlights of the movie. The women in the James Bond franchise have historically been shallow sex objects, but Vesper's character contains significantly depth than female characters in prior films.The action sequences are perfectly placed throughout the film and choreographed beautifully. However, some of the most suspenseful scenes in the film aren't even the scenes with action. The high stakes poker game itself unfolds in a way that creates enormous suspense and excitement. These scenes at the card table are so perfectly crafted, the audience is left with even greater anticipation and excitement than any action scene in the film.Every part of 'Casino Royale' is extraordinarily well-written. The characters are interesting, relatable, and have depth. The plot is stimulating and compelling. The movie is beautifully shot. There is so much attention to detail. There are so many small moments scattered throughout the film that add massive amounts of depth to the story. There are many elements of cinematography utilized, like lighting/colors/camera angles, that perfectly complement the storytelling aspect of the film.'Casino Royale' is not just a good James Bond film, it's a good film altogether. It's a must-watch film for anyone, whether or not you're a fan of the James Bond franchise.",9.0,Anonymous,"Action, Adventure"
"""Do I look like I give a damn?""","Anyone who has followed the James Bond series over the last four decades knows that the new Bond has changed... In ""Casino Royale,"" 007 do not identify himself with the classic words, ""Bond. James Bond,"" and instead of playing Chemin-de-Fer or Craps, he plays Poker and he doesn't care whether his vodka martinis are shaken or stirred nor he drinks a Smirnoff vodka, or a five-star Hennessey, or a Dom Pérignon'52... He never pauses to take a finger of Caviar He never enjoys a good cigar and is less preoccupied with matters of sexBut he is a more trained Bond, a cold-hearted killer improvising, modifying, and overcoming, uttering to M in one decisive moment his most significant line, ""So you want me to be half monk, half hit-man!""In taking the part, Daniel Craig completely inhabited the character of the super agent 007 There is something empathetic about him and something humanHe so lets you in behind his blue eyes and into his emotional lifeHis opponent is the villain banker Le Chiffre (Mads Mikkelsen) who tries to get rich in supplying funds for terrorists To continue doing so, Le Chiffre wants to win back his losses in a no-limit showdown Poker game with $115,000,000 in chips at Casino Royale in MontenegroIvana Milicevic plays Le Chiffre's Bosnian bodyguard who nearly eliminates our hero Valenka is harmful but not pure evil as her bossSimon Abkarian is the middleman Alex Dimitrios involved with Le Chiffre, who knew where to put his hands on weapons and people who could use them He works with anyone who has moneyThe Italian actress Caterina Murino (Solange) reveals her sexy side as the frustrated woman so upset in her marriageJeffrey Wright plays the undercover CIA agent Felix Leiter 'bleeding chips at the poker tournament;' and Giancarlo Giannini plays the 'contact' MathisEva Green is Bond's love interest Vesper Lynd Green and Craig have electric chemistry on screen together Vesper's character seems ambiguous, impudent and complicated One nightslumped in the shower fully clothed, radiating inner beautyher quiet look is capable to melt Bond's cold heart and free his doubtful mind In another, she disconcerts him with her pretty 'Algerian love knot.'""Casino Royale"" lacks the fundamental technology exhibition which plays an important part in any Bond films... The traditional ""James Bond Gun Barrel Sequence"" and the ""James Bond Theme"" disappeared The only thin bit of continuity is Judi Dench's fifth return as the cool, scheming chief Lady MDirected by Martin Campbell, the movie has it all: spectacular locations from Prague, London, Miami and Nassau and amazing actions involving the superb Aston Martin DB5 coupe in a high-speed mountain chase; a rush to stop a fuel tanker at Miami Airport; a combat with an Ugandan terrorist; a pursue in a four-wheel bulldozer; a breathless foot chase across highest cranes; and an unexpected climax in one of the buildings on the canals of Venice",8.0,Anonymous,"Action, Adventure"
One of the best Bond movies in years,"I saw this at a cast and crew screening in London last weekend: I'm not a huge Bond fan, but I do enjoy them on a purely popcorn level and this was definitely one of the best in recent memory. The tone is much edgier and nastier than the Brosnan movies, harking back more to Dr. No or For Your Eyes Only. The action sequences are brilliantly shot and edited for maximum impact and are some of the best out of any Bond movie. Martin Campbell, who also made 'Goldeneye', was an excellent choice and, for me, is one of the best Bond directors. What gives this the lead over recent Bonds is the more realistic feel: the exotic locales, fast cars, spectacular action, beautiful women and many other Bond hallmarks are all here but gone is the campy tone that marred, say, Die Another Day. Yes, the whole franchise is based on an entirely ridiculous and cartoonish notion but the more serious and harder-edged tone works really well here. In this context, Daniel Craig gives an excellent performance as Bond. I'll be the first to admit that I raised an eyebrow when I heard he was cast but he really makes it his own. It's hard to say whether he's better than any of the other Bonds: Connery and Brosnan felt right for the style of Bond movies they were in. Here, as suits the overall tone of the film, Bond is much more of a sadist, a cold-hearted killer with very little sense of empathy and Craig, with his piercing eyes, suits the role very well. He's charming and funny when required and totally convincing in the action sequences. The violence is less cartoon-like and flippant, too, with every punch, kick and shooting looking like they really hurt. Also, the story is just much more engaging than many a Bond film; the script's not going to win awards but it's consistently inventive and intriguing. Whilst the film has enough of it's fair share of action, the emphasis is equally on character and storyline and less on gadgets and sheer implausibility. When there isn't a huge action sequence happening, you don't miss it: the film's longest set-piece, the poker game at the Casino Royale, is as (or not more) gripping and entertaining than any of the chases and shoot-outs. The only minor gripes that I have are a slightly too long running time: the film drags a wee bit towards the end and, although it helps the tone of the film, we don't hear enough of the Bond theme tune! However, great directing and performances from everyone involved, along with Phil Meheux's excellent cinematography, Peter Lamont's as ever superb production design and all the other top-notch craft and technical departments make 'Casino Royale' a classy and very enjoyable night out at the movies.",8.0,Anonymous,"Action, Adventure"
"An impressively dark, engaging and exciting entry in the Bond series  just what it needed after Die Another Day","Having just achieved his 00 status, James Bond is assigned to uncover a plot by tracking a bomber for hire. The mission could not go worse as Bond kills the man in an embassy in front of CCTV cameras. Removed from the mission by M, Bond nevertheless follows the only lead he has to Miami where he finds himself working round the edges of a plot by criminal Le Chiffre to invest his clients money in the stock market just before an engineered event should send shares in a direction favourable for him.After the poor CGI and overblown (if fun) affair that was Die Another Day, the series was at risk of just throwing more and more money at the screen in an attempt to exaggerate and increase the Bond formula to keep fans happy. And, in fairness it seems financially to be working for them but this is not to say that the drastically scaled back feel of Casino Royale is not a welcome change of direction for the series, because for me it most certainly was. Opening with a gritty, short and violent pre-credit sequence, the film moves through a cool title sequence with a typically Bondian (if only so-so) theme song. The film then immediately marks itself out as a step away from the previous film by launching on a great action sequence that is as overblown as the series requires but yet is all the better for seeming real  no ropy Die Another Day CGI here. Casting free-runner Foucan was a great move and this sequence was the high for me. After this the film develops nicely with a solid plot that engaged me easily enough, with interesting characters along the way.Of course this isn't to say that the series has suddenly put out an introspective character piece, because the world of Bond is all still here. So we have superhuman stunts, gadgets (albeit a practical self-defibrillator as opposed to a mini-helicopter) and the usual types of characters going the way we expect. Those expecting this self-styled ""reboot"" to provide a depth and emotion that isn't there will be disappointed but regardless this does the Bond formula well  fans will enjoy it and those that were turned off by Die Another Day will find it a welcome return to darker territory. With all the fanboys tired from bemoaning Craig, it is nice to actually see for ourselves what he can do and mostly he is very good. He convinces as a heartless killer and has the presence that suggests that he could do ruthless damage if he had to. I was a bit put off by how regularly he pouts but generally he brings a gravitas to the character that it benefits from. Green is a pretty good Bond girl and brings much, much more to the role than Berry did in the last film. Mikkelsen is a good foil for Bond and is given more interest by his lack of stature (he is essentially facing his last role of the dice in several ways). Dench is as solid as ever while Wright makes a shrewd move in a small character that offers more of the same for a few years to come.Overall then this is not the brilliant, flawless film that many have claimed, but I completely understand why it has been greeted with such praise. Sat beside Die Another Day, it is a wonderfully dark and brooding Bond with great action replacing some of the CGI and gadget excesses of recent times. Those upset at his blue eyes are best left fuming on the net, because Craig is a great Bond  capable of being dark with the violence and offering the potential for more if the material comes to meet him. A refreshing film with the bond formula in place but with a dark and comparatively restrained tone that makes it realistic enough to get into while still existing in the spy fantasy world.",,Anonymous,"Action, Adventure"
Excellent prequel to the series,"Though it doesn't care too much about the series' continuity (it's supposed to be Bond's first mission as a 00 agent, but it takes place after the Cold war and Judi Dench is already M), ""Casino Royale"" is a great re-creation of the series. Cool action, great thrills and a more humane Bond more than make up for the purported lack of gadgets. Daniel Craig plays Bond as a rough secret who only gradually acquires the class and cold demeanor we all know and love. He makes mistakes in the course of his mission, but that makes him even more of a hero. Although I found it hard at first to cope with Craig's looks, he is more than suitable as the character. Bond is portrayed as a man with flaws and weaknesses, which makes him look even stronger. The story is not your usual Bond plot and relies more on classical thrills than technology, though the action is extremely hard-boiled. Kudos to the creepy Mads Mikkelsen as Le Chiffre and Eva Green as Vesper Lynd for creating remarkably believable characters. A definite must-see for Bond fans : it should reconcile at last Ian Fleming aficionados and fans of the film series !",7.0,Anonymous,"Action, Adventure"
"Bond isn't just back, he's at the top of his game","James Bond is back and he is alive and well. Any questions about Daniel Craig's worthiness are thrown out almost immediately as we are handed a film filled to the brim with exquisite action and explosive emotion. I squirmed in my seat with delight as I have not done since I was a child. What ""Batman Begins"" did for that franchise, ""Casino Royale"" does, and more, for Bond. For a while it seemed that he might not be able to well exist outside the confines of the cold war, but here we are given an entirely modern Bond with enough nods to the original that we can't be too upset. Maybe it's because this is the last novel yet to be filmed in the traditional Bond manner and it is Ian Fleming who has stolen our hearts not this incarnation of the super spy. However I like to think that someone actually just got their act together and concentrated on the film itself as opposed to who they could get the most product placement money out of. Congratulations. James Bond will live on for at least one more generation, and maybe forever. Great set pieces and one of the best chase sequences not involving cars ever put on screen, blended with beautiful locations and even more lovely women add up to the perfect cocktail with the twisting story line acting as the lemon peel in the martini, holding it all together. Many will come out saying that this is the best Bond film ever and I can not rightly say they are wrong at this point. Only time will tell that tale. However every fan can be assured that this ranks amongst the very upper crust of Bond movies, and Craig is no Lazenby. He lends a harsh wit and a thuggish charm to the character and by the end he's no longer the new guy, he is Bond, James Bond. A masterpiece of popular film-making and the movie we have been waiting for all year. See it early and often as it is sure not to diminish upon reviewing.",10.0,Anonymous,"Action, Adventure"
The Name might be Bond; but everything else is different,"OK, it's a good film  in fact it is a great film. It's just not a Bond film.I've got a few bits of ranting to do here, so excuse the lack of clear narrative.Casino Royale has just had its opening weekend here in the UK and it's the HIGHEST GROSSING FIRST WEEKEND FOR ANY BOND FILM EVER!!!. That's because cinema tickets are even more expensive than they were three years ago when Die Another Day came out. Also, since when has the weekend started on a Thursday? That's when I watched it, along with a load of other mugs who netted the cinemas £1.7m on the first day / preview.Daniel Craig is undoubtedly a fine actor. I was particularly impressed with him in the virtually unseen The Trench. He has also put in some time to go to the gym, which is something I certainly don't have the discipline to do. He also looks bloody great in a suit while toting advanced automatic weaponry. I'm not so sure about the whole swimming trunk issue - if you want equality, fine, but that means some girls in bikinis too  that's how equality works. The whole taciturn, monosyllabic persona is great for Jason Bourne or possibly The Terminator, but this is Bond, with a cheesy quip for every situation: Sean Connery' - That's quite a nice little nothing you're almost wearing. I approve.' George Lazenby - 'this never happened to the other guy' (perhaps Craig was thinking of that when he was putting on his trunks). Roger Moore - elevated eyebrow, Pierce Brosnan - 'I thought Christmas only came once a year'. It takes Craig the entire film to unfreeze his face for long enough to say 'Bond, James Bond.'Then the gadgets oh well. James Bond is not a real person. He was never meant to be, he is a construct and a very important part of that construct is the gadgets. He is defined more by the car he drives and the clothes he wears than he is by his hair-colour or physique. To take this away from him is to empty him out rather than 'strip him back' as everyone is so fond of saying of Craig-Bond. To be honest I've not been happy with the whole Aston Martin thing since Ford bought Aston Martin, the '64 DB6 is a great hand-built bit of kit. The DBS is built in bulk for dull bankers who need something to blow their bonuses on. The whole travesty of the hire car at the airport is just completely beyond the pale. Okay Ford gave them £15m and a load of Jaguars and Astons, but Bond works for Queen and country, not for the highest bidder, and he is met the airport, not hanging about the Hertz desk while some fat tourists complain about their car not having a/c. So what have we got left? He has a defibrillator in the glove box of his car  old men with inappropriately young wives have defibs in their glove boxes.Eva Green is pretty easy on the eye, but her real name is better than her Bond name (Vesper Lind sounds like a limited edition chocolate moped  sorry Mr Fleming). Her accent was weird and all over the shop, and her motivation was pretty confused for one supposed to be so bright. And can we not have any more Bond falling in love? Please? Weirdly Lazenby and Rigg managed to pull it off, but really Bond is a swinger at heart and modern girls can get their kicks with them too. This debacle just makes the end of the film drag on and on.Speaking of the ending, basically wtf! Bond films don't end like that. They just don't. I can't believe I'm not allowed to spoil it for you, but I can take solace in the fact that it spoils itself.",7.0,Anonymous,"Action, Adventure"
Never say Bond again,"It is a wee bit surprising that Casino Royale is rated so high. Though its a very good smart action flick with all the works, chase and stunts and blowing up a house in Venice and you know what, but its absolutely not a Bond movie. Well, i love movies like MI, Bourne Identity, Munich, etc., but its not the same when you are making a movie based on a cult figure here. Its like Mart being remixed and played in a nightclub. Craig is a good action hero but when you are playing Bond you have to restrain yourself because for heavens sake Bond is not a cowboy. Bond is not about muscles and thats where the director misses the plot. We have been flooded with remakes and a more ""realistic"" and ""original"" portrayal of our legendary figures which is accepted as creative license, but sometimes its better to leave a few things as they are/were.",6.0,Anonymous,"Action, Adventure"
A Great Actor As Bond,"What a difference a great actor makes. Daniel Craig is superb as James Bond and parting from that point everything in it is enjoyable, frightening, thrilling just because we're with him. He conquered us from the word go. The initial chase is one of the best in film history and as soon as we get to know this new incarnation of the iconic Ian Fleming character, we're hooked. He's virile but there is room for ambiguity. He's elegant but as, the sensational Eva Green, points out is more acquired than inherited. More working class than even Sean Connery and that works wonders for Mr Bond. The script is more compact and organic. The locations are breathtaking and what else I can say? The series have been reinvigorated, rejuvenated and in one single stroke have secured that this franchise will live forever. A note to Barbara Broccoli, the producer, your father would be so proud. Congratulations!",8.0,Anonymous,"Action, Adventure"
Daniel Craig you are here to stay!,"This is among the best bond movies! You have to see it.After all the controversy and comments on Daniel Craig's potential as an actor and doubts over him playing Bond...i'd say forget it and be enthralled by the new BOND! He's here to stay.He has that natural feeling about him when you see him on the screen as Bond, that attitude, style, confidence matched only by Sean COnnery. The movie as a whole is extremely entertaining and exciting.The acting is awesome Eva Green actually does a great job and has really improved her acting from the last time i saw her (in kingdom of heaven), but then this is a totally different movie.There's a lot of action mixed with great story which i am sure will please the true Bond fan.Please go and watch this because you will regret if you don't, forget the past this is the New Bond.9/10",9.0,Anonymous,"Action, Adventure"
