title,content,rating,username,genres
"Underrated, excellent  movie","Its such a shame that this movie would receive such bad press. The idea of just a man by himself on an island may seem boring and long-winded yet this movie isn't. It touches so many emotions, laughter, sadness, fear, tension. When released it was said to be one long advertisement for FedEx however this movie proves to be so much more than this. With a fantastic soundtrack, great storyline, great acting from Tom Hanks, this movie truly is something fantastic. Maybe a bit of a cliché, other than that the movie appears to be faultless and to find that it didn't make it onto the top 250 saddened me as the movie truly is something to be perhaps even considered a masterpiece.",8.0,Anonymous,"Drama, Romance"
A Movie That Saved Mylife,"A week ago I completely lost every hope in this world and I set my mind to do it, for some reason and out of nowhere I remembered this movie and I had the desire to rewatch it which is quite strange. I watched this movie like 15 years ago and I barely remember anything from it anyway I started watching the movie in the worst mental state I've ever been. Throughout the movie I settled down a bit felt comfortable, some cries then and there some laughs as well and that monologue at the last quarter of the movie truly saved my life when he said ""I've got to keep breathing because tomorrow the sun will rise. Who knows what the tide could bring?"" What a brilliant movie absolutely wonderful, I hope things get better for anyone in a rough spot, take care all.",10.0,Anonymous,"Drama, Romance"
Outstanding,"I think this is an excellent movie..I've noticed many felt it ""too long, boring, etc..."" which is to be expected in today's ""gimme non-stop action; I haven't been doing anything for 5 minutes, I'm bored"" mentality.  This was a true man vs nature movie that really made me think about what I take for granted and I found myself wondering how I would react in such a situation. Would I talk to a volleyball?  you betcha...anyone who has spent any significant time alone can relate.  Bought the DVD and will watch it for years too come.",10.0,Anonymous,"Drama, Romance"
The most deserving film not in the top 250,"This movie is the most deserving of all movies out there that is not in the IMDb Top 250. In fact, this movie should be in the Top 100. Everything about it works, the cinematography, the locations, the acting, the story and this is Robert Zemeckis' greatest showpiece. Tom Hanks has done some bad roles over the years but this is as brilliant as any Jimmy Stewart performance captured on film. I revisit this film about once a year and find things about it that make it even better with each viewing. The story is so well written in its simplicity, and Helen Hunt and Hanks have an amazing chemistry. It is a love story with action and heartbreak like few films have been able to pull together. I guarantee you will never pass a Wilson volleyball again without a big smile!",10.0,Anonymous,"Drama, Romance"
A wonderfully silent drama with Hanks and Wilson spiritually sensational,"At the turn of the millennium technology started to get bigger and better. Films were starting to develop in a way that was never predicted, but so did the actors. After watching Robert Zemeckis' Forrest Gump 1994, I thought I had seen a true drama, but that was clearly only the beginning.Tom Hanks (Big, Forrest Gump) stars in his Oscar nominated performance as Chuck Noland, a Fed Ex executive who is stranded on an isolated island after a thunderous plane crash.When doing background research on this film, I was surprised to see that Russell Crowe had beaten Hanks to the Oscar in 2001. As good as Crowe was in Gladiator, I personally thought Hanks made the most sensational performance of his career here. Hanks' character Noland is truly remarkable. From being a comfortable and hard working executive at home with his long time girlfriend Kelly (Helen Hunt), to being an isolated figure in different circumstances. The change in character allows Hanks to express his full acting potential and dive deep within the soul of the character. It is a true battle of human intelligence and human power that Hanks does so well to give and some scenes really got to me, it is such a powerful role and does well to rival his other Oscar wins.The text's semiotics are remarkably significant. Having left the wreckage of the plane with only a few supplies, Noland builds himself around what he can salvage and none is more recognizable, than Wilson. A silent volleyball, which was encoded into Cast Away so Hank's could use dialogue to express his traumatic emotions.The plot is made exciting through various scenes. The plane crash is very dramatic and beautifully directed by Zemeckis and scenes shot on the island, when Hanks is alone and wandering what to do are silent and chilling, justifying the drama genre.The beautiful island is contradicted by the drastic situation, a truly magnificent incentive.The ending too is wonderful as it paves the way for many possibilitiesa spellbinding film",7.0,Anonymous,"Drama, Romance"
Amazing performance shines through,"Robert Zemeckis has his 4th best film here (behind Forrest Gump, Who Framed Roger Rabbit and Back to the Future) with Cast Away.  Sure it might be overhyped and some characters in the film aren't needed (not to mention it depends on the liking of the lead), but when you have Tom Hanks working harder than any actor in a movie this year, it is worth it.The story follows Hanks as a dedicated fed-ex deliverer who has a fiance (Helen Hunt) and has to leave her Christmas time to go to Asia, but alas, the plane he's on crashes in the water and, dare I say more (well I can because practically everyone saw the all-revealing trailers)?  Well, Hanks arrives on a deserted island and then the real fun begins as he survives in a primitive way (probably remenicent of 2001, Hanks' favorite film), and even finds a silent companion named Wilson (a volleyball).  That Hanks can communicate with this volleyball, and almost make the ball as a real person with real feelings that is almost like the Silent Bob to his Jay, is one of the films triumphs.  The others of course being the whole lot of him on the island and Hanks' performance.  If it was someone else, it would not be as successful, but Hanks gives his all and (as usual) pulls through 5 fold delivering one of the years and his best performances. A-",10.0,Anonymous,"Drama, Romance"
well-crafted and intriguing,"From director Robert Zemeckis comes this powerful character study of a man and his quest for survival. Hanks is a time-obsessed postal worker on a routine cargo transport. His life is forever changed after the plane crashes and he finds himself stranded all alone on an uncharted island. We're drawn into his long, arduous journey as he struggles not only to keep his sanity, but to stay alive so he can make it back to the love of his life (Hunt). A fascinating, believable, and thought-provoking portrait of a man and his fight to live, with a remarkably ideal performance from Tom Hanks, and steady, effectively leisure direction that allows viewers to accompany this resilient survivor on his emotionally wrenching journey. A small idea expanded into a one of a kind movie. ***½",,Anonymous,"Drama, Romance"
Great one-man performance,"It's 1995. Chuck Noland (Tom Hanks) is a FedEx systems analyst troubleshooting around the world. He is meticulous about time in his work. He comes home to spend the Christmas holidays with his girlfriend Kelly Frears (Helen Hunt) in Memphis but he's called away. Before he leaves, he gives Kelly a box with a ring and declares ""I'll be right back."" His plane goes off course in the storm and crashes in the Pacific Ocean. He gets marooned on a deserted island with some of the packages washing on shore. His only companion is a volleyball he names Wilson.This is one of the best one-man performance ever. The story itself isn't as compelling as one assumes. It is a lot of wave sounds while Tom Hanks discovers survival techniques through trial and error. Wilson is a fascinating invention. It's interesting that Robert Zemeckis doesn't insert a voice for him. It actually works very well. The movie can drag at certain places but Hanks is always a fascinating watch.",7.0,Anonymous,"Drama, Romance"
What a fantastic film!!!,"I have never seen a more meaningful and thought-provoking film. Right from the start, I knew this was going to be a classic film, and my opinion was not changed throughout the course of the movie one bit. It delivers such a strong message of fear, survival and hope, that leaves your mind devoted to thinking about it for a long while after. It made me think about all my creature comforts, and what is actually necessary in life. Talking to a volleyball has never been more dramatic! I also loved the fact that there was little talking in the film, maybe that was because i was staying in a hotel in France with french TV, but anyway, it sort of made you guess how he was feeling, in a clever way. This is one of my all time favourite films, and I could watch it again and again without getting bored... so go and watch it...NOW!!",10.0,Anonymous,"Drama, Romance"
Loved it,I saw this in the cinema and loved it. Essentially a one-man-band show from Hanks who proves himself up to the challenge with an intense physical performance. Great scenery and the addition of 'Wilson' is the icing on the cake.,7.0,Anonymous,"Drama, Romance"
"The Decline and Fall of ""Cast Away""","""Cast Away"" has a brilliant performance from Tom Hanks, solid direction from Robert Zemeckis, and an intriguing plot from writer William Broyles.  The film quickly grows out of slow beginning to build to the fantastic island sequence, which leaves the audience hungry for the final climax.  Yet ""Cast Away"" squanders all these advantages and crashes in the last act.  Why did a movie with such potential self-destruct?  Some points:1) Turning the film into a two hour FedEx commercial was disgraceful and unnecessary.  The family is eating Christmas dinner, and what do they talk about: FedEx!  Hanks and a friend are flying in a plane, and what do they talk about: FedEx!  Who greets Hanks upon his return to civilization: the president of FedEx!  The story would have been much better served with a fictional shipping company, which would have preserved key aspects of Hanks character but not insulted the intelligence of the audience.  People paid to see a movie, not a FedEx commercial.2) The studio ad campaign, which made a super human effort to give away the ending of the film.  I don't know who was responsible for the second trailer, but I would advise studios not to hire them.3) A poor screenplay from Broyles, who came up with a good idea but lacked the talent too properly execute it.  Top on the list is the failure of Tom Hanks' character to undergo any kind of change or growth: after suffering through a life altering adventure, he emerges as the exact same man as when he started.  He remains optimistic and cheerful, never displaying any anger or bitterness.  You would think that a man who was stranded on an island for four years and lost the love of his life would be at least a little upset or depressed.  And after spending these four years alone, living in the most primitive conditions, he needs no time to adjust to modern civilization, except that he doesn't like sleeping in his bed.  He also feels a need to apologize to everyone he meets for being marooned the island, something akin to apologizing for being hit by a drunk driver.  And the final scene with Helen Hunt looks more like it was written for a romantic comedy; in fact, that argument could be made for the entire final act, which is filled with site gags.4) Casting Helen Hunt.  What a waste of talent.  She receives no billing (justifiably, see this is Tom Hanks' movie from beginning to end) and has a relatively small role.  Better for Hunt to devote her considerable abilities to a worthier project, and for Zemeckis to cast a less well known, up and coming actress that might surprise the audience.""Cast Away"" is a movie in three parts: a decent (but slow moving) opener, a fantastic middle, and a disastrous end.  It's a movie that could have (and should have) been better.  On a scale of 1-10, with 5 being average and 10 being a masterpiece, I am forced to give ""Cast Away"" a 5, making ""Cast Away"" a discount theater or rental movie.",5.0,Anonymous,"Drama, Romance"
