title,content,rating,username,genres
Watched 2024 - blown away,"I never saw it in 06, Only just watched it. I am not going to go on about it much. But its relevance to todays world is astounding.The action is impeccably done. The battle scenes are mind numbingly realistic. I still can't believe it was made in 05/06. Characters are so real. The atmosphere the attention to detail in scenes are incredible. Things happening in the background out of focus etc is just another layer of a real world that's been created. A huge epic movie with a hero who doesn't ever shoot a gun.I will give it a week or so and watch it again. The director should've one an academy award.",9.0,Anonymous,Sci-Fi
Highlights of the movie,"OK, I only got through the first 3 pages of comments but let me add my own.1) Fantastic cinematography. Some like hand-held, some don't. It certainly worked very well here.2) Related to (1), very long shots. There is one scene where the camera lens has blood splats on it for quite a few minutes. Hollywood would get rid of it, but for this movie it adds amazingly to the atmosphere that is being created.3) Like ""Code46"" the technology is in the background. Just the way it should be, allowing us to focus on the story.4) Theo as the central character NEVER picks up a gun, despite them being all over the place and easily available. As a viewer you are almost willing him to do so, to manage some of his challenges - but very deliberately the character does not.5) I've read separately that yes this is a comment on current society. Being an Australian, with our controversial immigration laws and practices, that rings true.6) Similar to (5), using the term ""Homeland Security"" in the movie is an obvious reference.7) The revolutionaries/terrorists/fishes are shown to be just as political and militant as the government they oppose.There are more, but that is enough. Overall a wonderful movie which leaves me thinking for a long time, which is all I ask.Cheers!Anton.",9.0,Anonymous,Sci-Fi
"""The future's a thing of the past."" Tremendous from start to finish.","The apocalypse arrives on film once again in a plot so simple it's horrifyingly believable. It's 2027 and the world is close to annihilation because no child has been born in 18 years. London office worker Theo (Clive Owen) is offered cash by a radical ex-girlfriend to escort a refugee (Claire-Hope Ashitey) to safety. Their lives are soon at risk from both government and revolutionaries.Although the camera work and cinematography is nothing short of stunning the focus always with our protagonist, ensuring we're kept in the middle of the action throughout. It is also undoubtedly one of Owen's finest performances to date. Theo is never far from danger yet he struggles on with convincing dignity. Occasionally baffled but far from stupid - Theo is essentially a reckless, underplayed action hero that doesn't jump at every opportunity to arm himself with a gun. This works well with the international ensemble of incredible talent: Michael Caine's charming pot dealing hippie, feisty Julianne Moore, key role Claire-Hope Ashitey, the wonderful Pam Ferris, the increasingly busy, excellent Chiwetel Ejiofor, Danny Huston and writer/director/producer Peter Cullen (gloriously sadistic Syd) to name a few... This is surely a casting coup to be jealous of.The episodic nature of the story makes Children of Men difficult to place into one genre alone. Briefly glimpsed futuristic sci-fi technology is grounded in reality and looks entirely achievable while grey, graffiti ridden concrete locations provide an excellent backdrop for the near satirical look of our current social and political climate. There's poignant drama interspersed amongst exhilarating action and yet enough twists to call it a thriller.This is not to say it's flawless. Some exposition is handled better in places than others for instance. However Alfonso Cuarón has achieved a completely remarkable experience. Arguably the film could have been longer given how strong most of it is. The only really hard pill to swallow is the comedy juxtaposed with some stark imagery that looks all too familiar to anyone who has ever seen the News from the past few decades. Nice to see a Pink Floyd reference though (pigs might fly!), and someone finally found a use for Battersea Power Station.Ideally an audience should see this film with no preconceptions and know as little about the plot as possible. This will be unlikely though due to a staggered box-office release schedule, word of mouth and a plethora of reviews and trailers that are eager to give much of the game away. Ironic then perhaps that it must be said - Children of Men is a cinematic milestone. Great special effects and an effective soundtrack accompany this heartfelt, moving and thought-provoking film. Easily one of the best films in recent memory.",9.0,Anonymous,Sci-Fi
A gut-wrenching look at an all too possible future - but also an immensely entertaining thrill ride featuring some of the best cinematography you'll ever see,"I first saw 'Children of Men' when it came out, 10 years ago, and while I liked it a lot, I kind of forgot about it soon. At the time, it failed to resonate with me on a deeper level - which in hindsight I find astounding.Last month, a decade later almost to the day, I suddenly felt the urge to revisit the film (because it was mentioned in an article about ""long takes""), and upon re-watching it, it just blew my mind. This film is so, so, good!It not only manages in many aspects to be the most prophetic - and most shockingly realistic - sci-fi film I have ever seen: it achieves that feat with a level of style and through such an abundance of fantastic creative choices and innovative camera techniques that I was simply left in awe.I was forced to conclude that this film was a visionary piece of art (and how that fact had eluded me the first time around I couldn't - and still can't - explain). It's a cinéphile's dream come true; it's a masterpiece in the true sense of the word.'Children of Men' is a gut-wrenching look at an all too possible future, but it also works as a heart-stopping, adrenaline-rush-inducing piece of entertainment featuring some of the most breathtaking camera work you'll ever see.The performances are flawless. The artwork, the production design, the music; I could go on and on: this is one of those few real masterworks where everything just comes together right. And I believe the final 30 minutes of the film rank among the finest achievements in the history of Cinema. Period.10 Stars out of 10.Favorite films: IMDb.com/list/mkjOKvqlSBs/Lesser-Known Masterpieces: imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: imdb.com/list/ls054808375/Favorite TV-Shows reviewed: imdb.com/list/ls075552387/",10.0,Anonymous,Sci-Fi
Utterly transfixed,"I went to see this movie without catching any reviews, expecting something rather depressing and underfunded.Let me stop there and start again.This movie is a revelation from start to finish. A convincing future world, deftly conveyed with so many subtle signals that I'm sure it will benefit from further viewings. A completely ""other"" England which I was amazed to see realised in such detail. Clive Owen FINALLY has the heroic role we have been waiting for and is brilliant in it. Julianne Moore simply glows and I've never enjoyed Sir Michael Caine so much before. The soundtrack is beautifully eclectic. Aside from some excellent classical choices, there's an evocative and alternative Spanish take on ""Ruby Tuesday"" which is a signature on the film. Wait during the end titles to enjoy an excremental song from Jarvis Cocker.The movie grabbed my attention right from the start, and never let go. Initially, it's the differences of this future world that intrigue. Then, when the action starts, what I found really surprising was the freshness of direction that made me react to bullets and violence as if I'd never seen them in a movie before. If the script wasn't so wonderfully leavened with wit, it would be a grim and scary movie at times.Finally, the whole thing is lit brilliantly, from the authentic dim English days to the atmospheric ending.One to watch alongside ""The Handmaid's Tale"" some time....",10.0,Anonymous,Sci-Fi
What a movie,"What a movie!!! Brilliant performances of the actors, especially Clive Owen, great photography, excellent storyline... One of the best apocalyptic movies of all time. Bloody and with wonderful message! A must watch!",10.0,Anonymous,Sci-Fi
Restored my faith in the art of cinema,"I've had a particularly bad film year, especially after having seen one particular over-hyped vacuous mess earlier in the year which all but killed my desire to see any films, no matter how interesting they looked or what the critics said about them. So, it was with a little trepidation that I went to see this, especially given that it starred Clive Owen (IMHO, the George Lazenby of British acting).Well, I loved it and I'm not ashamed. It's unremittingly bleak and violent, but so beautifully filmed and realised that, at one point, I damn nearly burst into tears that someone could have created something so fresh and so moving, so provocative, so disturbing and so grimly beautiful. I thought it brought a real sense of imagination to the screen and that it was possessed of a fantastic visual flair. I felt that it ended on a note of hope, however uncertain and unclear, and certainly a note of redemption for the hero. I'll admit that Owen, while he still hasn't convinced me that he's a great actor, pulls off this role with a hangdog...um, doggedness that I found believable and often even moving.I left the cinema strangely elated, relieved that cinema still has the power to move.",10.0,Anonymous,Sci-Fi
Exemplary direction lifts an offbeat futuristic thriller,"This futuristic thriller disposes of much of the sci-fi jargon we've come to expect from Hollywood films. There are no outlandish gadgets or chases through CGI-created landscapes; CHILDREN OF MEN, based on a novel by P. D. James, is a realistic thriller through and through. It's set in a recognisable dystopia (full of violence, poverty, disease, segregation and warfare) and the story follows a strict 'journey' template, following a group of characters as they travel through myriad locales, suffering death, defeat and adventure along the way. So far, so predictable. However, this film works because it's literate, it's intelligent and the focus is on storytelling over flashy special effects or action nonsense.Mexican director Alfonso Cuaron (HARRY POTTER AND THE PRISONER OF AZKABAN) is a force to watch out for on the strength of his work here: this is the best direction I've seen in a long while and the film is chock-full of great tracking shots which really emphasise the excitement and danger around every corner. The view of a future UK is nightmarish and believable and the backgrounds and locations are as much a character as the protagonists themselves.I also enjoyed the fact that the film remains as unconventional as possible as it moves along. Clive Owen, the heroic protagonist, never fires a gun and is definitely an everyman character rather than a hero: he's utterly believable and this is the best role I've seen the actor in yet. Supporting actors are good, but it's the older heavyweights who give the best turns: Julianne Moore, as likable as she's ever been, as a terrorist leader; Pam Ferris as an ally; Michael Caine as an aged John Lennon-type. Chiwetel Ejiofor is also very strong in a minor role. The film does have action, including a ferocious fire fight at the climax, but it's never an action film per se. It's just a great movie that avoids pigeon-holing and never left me bored or underwhelmed once.",8.0,Anonymous,Sci-Fi
Not Deserving of its Present Rating,"After reading various reviews and seeing the previews, I was quite excited to see ""Children of Men"". Upon viewing the movie, however, I was unable to see why users were rating it so highly. I believe there is a predilection to highly rate any Futuristic Dystopia, as they graphically transport us to a time that we are ever so interested in -- our not-too-distant future. ""Children of Men"" does this better than most, since -- with the exception of the infertility theme -- it does not highly disconnect us from what our future is likely to be.Other than that, however, the movie lacks what it was claimed to be; it is not ""Bladerunner"" Redux -- not even close. The movie does not operate on multiple philosophical levels, and those attempting to dissect it are having difficulty not because it is especially deep, but because it lacks much beyond its initial layer. As a futuristic thriller (and very graphically violent, at that) it works marginally well, as there were a couple of moments when I felt my heart pitter-patter in that movie-theater way. Outside of that, there is not much going on here, besides the obvious: the world is going to hell and there are too many guns. Get on with it.",6.0,Anonymous,Sci-Fi
Amazing Film. Truly fantastic! Mindblowing...,"I've seen this film and let me tell everyone that it was one of the most pleasurable surprises I've ever had with a film. I hadn't heard about it before and it totally took me by surprise. It blew me away and left me speechless. The acting is excellent by most of the actors, but Michael Caine deserves to receive a special mention for his amazing portrait of the old hippie Jasper. His performance is fantastic and he totally stole the show in the scenes he was in. Claire Hope is also fantastic in the role of Kee. Her performance is quite impressive, especially considering this is one of her first films. Clive Owen is also great as the reluctant hero who sees his life turned upside down and is given a huge responsibility. I've seen him in some other films and he's at his best here. A very good performance, you could feel what he was going through. In the technical aspects the film was brilliant, particularly Alfonso Cuarón's strong and consistent direction that is one of the best things in the film, and contributes a lot to its quality. Also director of photography Emmanuel Lubezki does wonders with images and there are some extremely beautiful shots all done in a naturalistic way, natural lighting, etc. It's an extremely well crafted film that makes you go through the emotional struggle the characters go through and makes you feel that you're in the middle of it all. Besides, it's also an extremely touching story that certainly touched my heart. One of the best films I've ever seen without any doubt.",9.0,Anonymous,Sci-Fi
