title,content,rating,username,genres
A very good film that apparently takes HUGE liberties with some facts to make for a more exciting film.,"Before I get to whether or not I liked this film, the history teacher in me thinks it's very important to set the record straight. Although the film is pretty accurate when it comes to the career of James Braddock, it's very inaccurate in portraying his opponent, Max Baer. The champion, Baer, is shown as a sadistic jerk who killed two men while boxing--and really delighted in taunting Braddock about this. In the film, the evil and filthy-mouthed Baer tells Braddock to bow out of the fight, as he could be the next to die in the ring--and he really seems to LIKE tormenting Braddock's wife about this. In reality, Baer killed one man in the ring. It was a horrible accident which occasionally happens in boxing--one which apparently haunted Baer for the rest of his life. In fact, he helped pay for his dead opponents to get educations and looked after this family--hardly the act of a sadist. I understand why the folks who made ""Cinderella Man"" changed this in an attempt to create tension, but the story would have STILL worked great if it had just stuck to the truth. Plus, think of how this film affected Baer's relatives when they saw it. Max Baer Jr. ('Jethro' from ""The Beverly Hillbillies"") knew his father was not like this and I am sure it pained him to see him so badly misrepresented.As for the NON-Baer parts of the film, they are great. The look of the 1930s is exceptional--much more realistic than you often see in films. Also, the acting is terrific, the film VERY engaging and the story of Braddock very compelling. Without the misrepresentation of Baer's in the story, I would have given this one a 10. Really....it's that compelling and they did a great job. The acting, direction, designs...everything but the writing was perfect.By the way, this isn't so much a complaint as an observation. In this movie, like practically EVERY other boxing movie, there is hardly any defense (such as blocked shots) in the boxing matches--punch after punch that lands on the opponent. If fights REALLY were like this, they'd rarely go beyond the first round!",8.0,Anonymous,"Biography, History"
James J. Braddock:  Gladiator of the Great Depression,"""Cinderella Man"" deserves to be placed alongside other great biographical films dealing with the lives and times of great boxers. Such films include ""Raging Bull,"" ""The Joe Louis Story,"" ""Ali,"" ""The Hurricane,"" and ""Ring of Fire: The Emile Griffith Story.""These films share in common not just a documentary-like approach to boxing or a superficial biopic. They also portray the human side of a modern gladiator and the culture that produced him. In the case of ""Cinderella Man,"" we are given a detailed and heart-rending portrait of the Great Depression in American. The story of the gentleman pugilist James J. Braddock is the backdrop to the larger drama of Americans' struggle in the 1930s.Russell Crowe provides a brilliant interpretation of Braddock, capturing the decency of a man whose career as a boxer would appear to have peaked at just the wrong time prior to the Crash of 1929. After that momentous event, Braddock's boxing went into decline just like the lives of millions of Americans. The scenes of Braddock and his family living in squalid conditions and with uncertainty about such basics as heat and electricity were carefully developed in the film. Renée Zellweger was outstanding as Mae, the caring but feisty wife of Braddock. Paul Giamatti was also excellent as Braddock's handler-manager, Joe Gould. Joe tries to keep up appearances by sporting fancy clothes. But in one revealing scene in the film when we see the interior of Joe's ostensibly swanky apartment, there is no fancy furniture other than a dowdy table and some flimsy deck chairs. Everyone is reeling from the Depression. In the depiction of the massive unemployment, the ""Hoovervilles"" of the homeless residing in Central Park, and the desperate need for Americans for an optimistic icon like Braddock to raise their spirits, the film truly captured the tragedy of the Great American Depression.The film's director Ron Howard emphasized close-ups throughout the film with uneven results. In many of the boxing sequences, the close-ups and rapid editing made it difficult tell the fighters apart. The close-ups continued even into the domestic scenes and the outdoor sequences depicting Braddock working as a longshoreman. The film's dark cinematography conveyed the bleakness of the Depression years, but it worked against bringing out the buoyant spirit of Braddock himself and the optimism that he instilled in others. As a director, Howard's strength is not in film artistry or technique. As apparent in this and other films, his gift lies in narrative storytelling and the development of dramatic character.Indeed, the characters and the story were the strong points of ""Cinderella Man."" Much credit should go to Cliff Hollingsworth for a screenplay that included thoughtful dialogue, humor, and multi-dimensional characters. Daniel Orlandi also merits praise for the brilliant costumes that helped to recreate the period of the early 1930s.But the heart of this film experience is Russell Crowe's screen portrayal of Braddock. It was the colorful sportswriter and raconteur Damon Runyan who coined the nickname of ""Cinderella Man"" for Braddock. However, the real James J. Braddock was more than lucky. It was his strength of character in and out of the ring that captivated America. One of the most moving scenes of the film was a heated argument between Braddock and his wife Mae where Braddock insists that even in the most difficult of times, he would refuse to be separated from his children. As a boxer, he was fearless. But he demonstrated even more courage in fighting for family valuesa lesson from which we can learn a great deal today in reflecting on this sensitive film.",8.0,Anonymous,"Biography, History"
Russell Crowe K.O.,"The dilemma: I hate boxing movies; I love Russell Crowe movies. I've already seen ""Million Dollar Baby"" and ""Raging Bull"" this year, and accidentally watched part of one of the ""son of Rocky"" serial movies on a Saturday afternoon. I feel like I am being punched, as Renee' Zellwegger's character Mae Braddock says, and I'm not as tough as these prize fighters.But this one has Russell Crowe in it. And that makes all the difference.It is not that Renee Zellwegger and Paul Giamatti, Paddy Considine, Bruce McGill and Craig Bierko, among others, give less than stellar performances: they all live up to their justifiably great reputations. You have to believe they are at the top of their game. But for all of Russell Crowe's reputation for being ""difficult"", it is hard to think of actors who can equal his personal force on the screen. He is brilliant.Ron Howard has made of the real life of Depression-era prize-fighter James J. Braddock a work of art. The camera work is phenomenal. Without using violins or cliché' pull-back shots showing the numbers of people homeless and in soup lines, Howard makes the Depression a visceral reality with scenes of near-hopeless men at the docks, pleading for a day's work; a stolen salami; Crowe's giving his daughter his breakfast piece of bologna, telling her he dreamed he was full. The bleakness of the times is the graininess and the sepia/greyness of the camera shots; the images are stark but completely descriptive. Crowe as Braddock with hat in hand and tears in his eyes, begging for twenty dollars so he can get his children back into his home, is the personification of pride sacrificed to desperation. But when Braddock is later asked at a press conference why he is fighting at his age and after so many poor showings, all he has to say is ""milk"" to be supremely eloquent.Doubtless many people know the history of James Braddock, and know the outcome of his fights, including the championship bout with Max Baer, who had already killed two men in the ring. If you don't know, DON'T look it up before you see the movie, and if you DO KNOW, DON'T TELL, but go. Analogous to watching Howard's film ""Apollo 13"", you may know the outcome, but there's wonderful suspense in the details. These were among the most exciting last twenty minutes I've seen on film. I didn't expect to be able to watch, but like Braddock's terrified wife Mae, I was unable to tear myself away.The audience was like a prize fight audience, cheering, booing, gasping, groaning during the fights. We applauded Braddock's wins, suffered his defeats. It is a great movie, with authentic heart. Solid A.",9.0,Anonymous,"Biography, History"
Very little to say...,"My heart was firmly lodged in my throat for the last hour and a half of The Cinderella Man. Nobody does true-story heroism like Ron Howard, and few can do heroes like Russell Crowe. Though Howard fictionalizes his subjects, and does not pretend to make documentaries, he does accurately depict the feeling and the major points of his subjects.Jim Braddock was a depression-era boxer who everybody thought was down for the count. Though there is a lot of boxing in this film, this is not a boxing movie, but rather his story and the story of the family that inspired him to fight back against prejudice and hopelessness, to rise to heights that would inspire a nation. Braddock is portrayed in a moving and powerful manner, with remarkable performances all around, one of the best scripts I can remember in recent years, and occasionally brutal action.Those who have run into my reviews may note that this is one of my shortest. Please understand that I really don't think there's much to say about this simple, beautiful and very human story, besides - see it!",10.0,Anonymous,"Biography, History"
Old story well told!,"Geez, another boxing movie! Yeah, Yeah, I know the story. Down and out guy gets a break and makes the most of it. He's fighting for his family, he's fighting for all those other hopeless people. Been there, done that.Oh, I forgot to mention one thing. This movie is about the best 140 minute I've spent in a movie theater since . . . . since . . . ., Oh, well, you get the picture. Better yet, instead of getting the picture, go see it.Russell Crowe owns the character of James Braddock, the unlikely hero who makes the most of his second chance. He's a good fighter turned hack. Injury, bad luck and this thing called the Depression sends him down the drain.His wife, Mae, played by Renee Zelleweger, wants to be his biggest fan, but the kids need a dad, the rent has to get paid and the money from boxing dried up along time ago. Her husband's courage is undoubted, but his nerve is killing her.And then there's Joe Gould, played by Paul Giamatti.A boxer by the name of George Cochan once told me his manager was the bravest man he ever knew, he was willing to pit his man (Cochan) against anyone. As a result, Cochan had his head handed to him multiple times by the likes of Jake LaMotta and other class middle weights of the Forties and Fifties. Gould, is that brave manager, if not literally, in spirit. He pits Braddock, out of shape and with one day notice, against the number two heavy weight contender. Regardless of the risk, it's a pay day needed by both Gould and Braddock.The story, while familiar, is executed brilliantly. The camera work is both subtle and, in turn, spectacular. Craig Bierko, Paddy Considine, Bruce McGill and the rest of the cast give flawless performances.Yes, been there, done that! And I'm ready to do it again for anyone who wants to go with me.",10.0,Anonymous,"Biography, History"
Wonderful!,"This is a truly great film. Russel Crowe, Rene Zellweger and Paul Giametti were all fabulous. Russell Crowe is the best actor of our time. I am not a boxing fan, but I was so engrossed by the character of the Cinderalla Man that I was totally involved in every punch. I didn't know how the story would end, so I had the added thrill of suspense during the final fight.The story of a family in the midst of the Great Depression was as compelling as the boxing story. The solid family man played by Russell gives us a much needed role model. The historical and socio-economic background was powerfully shown and greatly added to the audience's involvement and is particularly relevant to today. This is a classic film.",10.0,Anonymous,"Biography, History"
Best boxing movie made.,"Truly inspiring story of James J. Braddock. This story is about more than boxing. It is about a man and his wife trying to raise a family in the tough times of the 1920s. And the integrity and example he shows his children in those times. Russell Crowe, Renee Zellweger and Paul Giamatti are just part of this incredible cast. It is a must see.",,Anonymous,"Biography, History"
Max Baer misrepresented,"This movie is really charming and enjoyable. But it totally misrepresents Baer. Consider two facts:-Baer killed one guy, not two. He was haunted by this for the rest of his life and paid for his victim's children's education.-Baer, though a Catholic, wore a Star of David to show solidarity with the the Jews during his fight with Max Schmeling, who he beat much to the Nazi's annoyance.(for more, see: http://en.wikipedia.org/wiki/Max_Baer )I don't think it was necessary to wrongfully represent Baer to sell Braddock as a hero.",7.0,Anonymous,"Biography, History"
Living and Surviving During the Great Depression,"If the great depression of the 1930s is a mystery to you, then Cinderella Man can fix that. The story, about the ups and downs in the career of a boxer, is uplifting and entertaining. However, what makes this film more than that is its believable depiction of the great depression.The sets look similar to pictures I have seen in books I read about the depression, and the costumes are correct. But this is not just a ""period piece."" The behavior of everyone in the cast, and every extra, shows dedication to reproducing the gestures and attitudes I have observed in people I have personally known who lived through the depression.Take, for example, the scene at the dock where Braddock, the boxer, waits with dozens of other men for the chance to work a stevedore job for the day. ""We need ten,"" shouts the boss. Then he points, and counts. Every eye is trying to meet his, trying to be picked. Not a gesture is out of place.This kind of verisimilitude comes only from fanatics for accuracy. Look at drector Ron Howard and male lead Russell Crowe. Ron Howard also directed Cocoon, Willow, and -- for the Academy Award for Best Director and the Academy Award for Best Picture -- A Beautiful Mind, which also starred Crowe. He drove the set designers, the costumers, the cast, and the extras, with telling effect. Nothing is over-acted.Crowe trained for the film using the same, low-tech methods used in boxing in the 1930s. He also studied film footage of Braddock to master the real fighter's characteristic gestures. In the ring, said one of Crowe's trainers, he successfully duplicated Braddock's moves, his footwork, and his style.The boxing drives the story along. It is bloody, fierce boxing. Some people may find the fight scenes objectionably violent. Crowe broke his hand in training. Real fighters played most of his opponents. Sometimes they forgot they were supposed to fake punches, leading to the spilling of real blood, which was left in the final version. Crowe also landed a few real punches by mistake.The boxing, however, is overshadowed by life during the depression. Millions were out of work. Milk was delivered in bottles, by a milk man. People left their empty milk bottles out at night so the milk man could collect them early the next morning, and replace them with full bottles. When the dairy could no longer extend a family's credit, the empty bottles were still there in the morning with a note of apology stuck in the mouth of one of them.During the depression, there was no unemployment insurance, no Medicaid, and no Social Security. There was the dole, but it was new, humiliating, and under funded. You cold not get enough to keep your family fed and clothed.Braddock is shown waiting for and getting his dole, another moving scene in which everyone is stoically in character. The film also accurately depicts the huge gap that opened between the masses of the poor, and the few, fabulously wealthy.This is a very entertaining film. However, if you are just beginning to study the great depression, it can be a a great head start.",10.0,Anonymous,"Biography, History"
Simple crowd pleaser,"Cinderella Man is the story of a Depression-era boxer and American hero Jim Braddock, but it contains enough love interest, family interest, and great-champion-of-the-people interest to satisfy most Saturday night out filmgoers. It's a total no-brainer, beautifully served up, and all the clichés delivered with such accurate emotional punch that you forgive it for being a tad unoriginal.Gladiator and bar-brawl man Russell Crowe plays the lead role and Renée Zellweger puts in a good performance as the ideal and very loving wife that supports her husband through thick and thin. The story starts in 1928 when Braddock is doing quite well, but the depression hits and, with an injured hand, he is forced to work in the shipyard. He and his family live in fairly abject poverty until a lucky break enables him to make a comeback.This is the working man's hero who never says a bad word, teaches his kids never to steal for food even when they are starving, and nobly gives back his social security money the minute he can afford to. Zellwegger is similarly faultless of course, striking the right balance between supportiveness and concern that her man could get his brains knocked out permanently. The last fight generates quite a lot of genuine excitement due largely to neat editing and intense cinematography - you can almost feel your nose bleed just watching it.This is classic American-style hero creation and worship and, on the face of it, healthy enough. So why the doubts? Sure you can sit back and just enjoy it, it's the type of story the U.S. has done well for a long time; but compare it with European cinema and it all seems very full of absolutes. The heroes don't have any failings. The choice is between total success and total failure, no half measures. Much as I admire the use of role models, I somehow wonder if more human heroes aren't sometimes called for, people who do quite well, who sincerely better themselves and others, but without becoming the most applauded individual on the continent. In watching the big picture we sometimes miss the detail that makes life real to everyone, not just the lucky few.",7.0,Anonymous,"Biography, History"
