title,content,rating,username,genres
"""The thing-a-ma-bob that does the job is bibidi bobidi boo""","Not the best of Walt Disney's feature length animated films, but any film that has Bibidi Bobbidi Boo and A Dream Is A Wish Your Heart Makes has to rate as good in anyone's standards.I saw this for the first time as a small child on Walt Disney's Disneyland hour and it was as effective on the big screen as well as the small. I don't think there's anyone who is literate in the western world who does not know the story of Cinderella. The story is intact and kept in the mythical medieval times it was written for.As a subplot to the main story we have the story of Cinderella and her relationship with the animals around the house. The pecking order is dog, cat, mice with a horse thrown in for good measure. Naturally the evil stepmother who is voiced by Eleanor Audley has the cat as her favorite. What does that say about us cat lovers.Ilene Woods voices and sings A Dream Is A Wish Your Heart Makes which Perry Como made a big hit record of. Bibidi Bobidi Boo is sung by Verna Felton who voices the Fairy Godmother. She's unforgettable in this role although she's better known as Hilda Crocker, Spring Byington's Ethel Mertz on December Bride.This is one eternal film that I hope my niece let's my new grandnephew check out and his sister or brother to be.",7.0,Anonymous,Animation
Disney's Magic at its best,"This is another Walt Disney Classic (I know every film from that Time Period is a classic but still!), we all know the story of Cinderella so no plot to spoil really. But Disney's artists did a wonderful job in making this film truly look like an animated kids story book. I think that conventional artistry is or will soon be a forgotten art in today's 3D Animation CGI world. The rags to riches ball gown transformation scene and the pumpkin to a coach fit for a princess are just stand out beautifully drawn with excellent attention to detail. And lest we forget the soundtrack as always some lovely songs from Mack David, Al Hoffman, and Jerry Livingston like ""A Dream Is a Wish Your Heart Makes"" and ""Bibbidi-Bobbidi-Boo"" that enhance both the scenario and the characters.",8.0,Anonymous,Animation
Delightful Disney animation with some pleasant songs...,"When I first saw 'Cinderella', I found it surprising that the mice had so much to do whereas in the fairy tale they were just incidental creatures. But Disney saw that giving them a big role in the main storyline was the key to providing all the humor and suspense needed to spice up the predictable story. The leading mice, Gus and Jaq are delightful creations and the valiant band of mice are given amusing bits of business.Artistically, the animation art has a rather glossy modern look despite the fact that it's an old, old story from 1697, a classic children's fairy tale that has been done countless times as either a film, a play or a ballet. But this version will charm Disney fans young and old with its imaginative use of animation and a splendid collection of tuneful songs.A highlight is the 'Cinderella Work Song' in which the mice make a dress for the mistreated Cinderella, full of inventive comic touches and accompanied by the intricate blend of song and animation. Add to that 'So This Is Love', 'A Dream Is A Wish Your Heart Makes' and 'Bibbidi-Bobbidi-Boo' and you have a charming version of the Charles Perrault story.For villainy, the stepmother and her black cat (Lucifer) are two of the most brilliantly animated creatures in the film. The cat reminds me of a naughty black cat I once owned. The scene where the stepmother is stroking the cat as she gives Cinderella a list of chores is striking in its use of shadow and menace. Along with some dark touches, there is always a bubbling sense of humor, particularly in this sequence.Cinderella herself comes across as a pleasant heroine with a sense of humor herself, lifelike in her movements and one of Disney's more successful human figures. Disney's artists did greater art work in other films but this is a well-structured work, a great combination of music and clever animation. The pace is fast, even allowing for extended scenes of the mice and their shenanigans for the sub-plot. And Lucifer, the cat, makes a wonderful foil for their tricks.The Disney touch is evident in every scene and makes this charming blend of comedy, music and romance a film with timeless appeal.",,Anonymous,Animation
Bibbidi-Bobbidi-BEAUTIFUL!,"Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen. They remain among the most popular animated films of all time. The first was his groundbreaking classic ""Snow White and the Seven Dwarfs"" released in 1937. The last was the then-under appreciated ""Sleeping Beauty"" which made it's debut in 1959. In between these two was perhaps his most satisfying adaptation of a classic fairy tale: ""Cinderella"" (1950). Of the three films, ""Cinderella"" is the one most faithful to its origins. Ironically, unlike ""Snow White"", which for better or worse, became for many the definitive version of the story. ""Cinderella"" did not follow the same path. Although it was a hit and, like ""Snow White"", was responsible for restoring the dwindling Disney fortunes, it never achieved the same audience recognition which it certainly deserved. Disney, for once, did himself proud, electing not to tamper with a classic, instead elaborating and adding substance to the tale, rather than rewriting it for the screen. The result was enchanting.A combination of superb animation (in beautifully soft Technicolor) and the perfect voice talents brought the story to life with a radiance that endures to this day. Ilene Woods, who was a radio performer, recorded demonstration discs of the songs as a favor to the authors of the material, Al Hoffman, Mack David, and Jerry Livingston. When Disney heard them, he knew he had found his Cinderella. And indeed he had. Woods heartfelt renditions of ""A Dream Is A Wish Your Heart Makes"", ""So This Is Love"" and ""Oh Sing Sweet Nightingale"" are perfect. Eleanor Audley, who would go on to voice Maleficent in ""Sleeping Beauty"", masterfully captured the icy cruelty of the stepmother, while Rhoda Williams and Lucille Bliss were convincingly nasty stepsisters. Luis Van Rooten admirably performed as both the King and the Grand Duke, and James Macdonald was endearing as both Jaq and Gus, Cinderella's devoted mice. William Phipps has little dialog as the prince (future talk show host Mike Douglas provided his singing voice) but film (and Disney) veteran, Verna Felton was born to play the fairy godmother, and she made the best number, (the Oscar-nominated ""Bibbidi-Bobbidi-Boo"") her own show-stopper.Among the artists responsible for the ""look"" of the film, was Mary Blair, whose inspired use of color was greatly admired by Disney. Her elegant French-period backgrounds add tremendously to the quality of the movie. But, most important of all' are the believable characters--from Cinderella, right down to Lucifer, the stepmother's deliciously evil cat. They bring both life and vibrancy to the often told story, something very difficult to create in an animated film.In conjunction with the film's 55-year anniversary, (and, not so coincidentally, the coming holiday season) ""Cinderella"" has just been released on a special edition DVD. It simply has never looked better. The fully restored film must be seen to be appreciated--suffice it to say, it looks wonderful. An enhanced stereo soundtrack has been added, and serves the music well. The DVD extras, now a standard part of Disney Platinum Editions, are too numerous to list here, but as usual, some are directed towards children, some are slanted to adults, and the rest fall somewhere in between. But real fans will want to get the Deluxe Gift Set, because, along with an actual cell from the film and eight character sketches, it includes a 160-page hardback book, which not only incorporates most of the material found in the book with the 1995 special edition home video release, but much more as well. As usual for Disney, ""Cinderella"" will only be available for a limited time. So, if like me, you are a ""Cinderella"" lover, get it NOW! This edition is truly a ""Dream Come True.""",10.0,Anonymous,Animation
Enchanting and enthralling adaption of a classic fairy tale.,"Walt Disney's CINDERELLA takes a story everybody's familiar with and embellishes it with humor and suspense, while retaining the tale's essential charm. Disney's artists provide the film with an appealing storybook look that emanates delectable fairy tale atmosphere. It is beautifully, if conventionally, animated; the highlight being the captivating scene where the Fairy Godmother transforms a pumpkin into a majestic coach and Cinderella's rags to a gorgeous gown. Mack David, Al Hoffman, and Jerry Livingston provide lovely songs like ""A Dream Is a Wish Your Heart Makes"" and ""Bibbidi-Bobbidi-Boo"" that enhance both the scenario and the characters.Even though CINDERELLA's story is predictable, it provides such thrilling melodrama that one shares the concerns and anxieties of the titular heroine and her animal friends.  Both the wicked stepmother and her dreadful cat Lucifer present a formidable menace that threatens the dreams and aspirations of Cinderella and the mice. It is this menace that provides the story with a strong conflict that holds the viewers' interest.  The film's suspense, however, is nicely balanced by a serene sweetness, especially in the musical numbers.  It is in these segments that reveal the appealing personalities of Cinderella and her friends, moving the viewers to care for them.  Overall, Walt Disney's CINDERELLA is wonderful family entertainment that has held up remarkably well after half a century.",10.0,Anonymous,Animation
"A success, on the whole","People criticise Disney's animated features of the 1950s for being overly glossy, set in landscapes that are much too pristine.  That criticism is just.  And yet it can't be the whole story, because the two least glossy - ""Alice in Wonderland"" and ""Peter Pan"" - are also the weakest. ""Cinderella"", on the other hand, set in a world in which the very dirt sparkles, is clearly the best.It DOES look good.  The backgrounds are subtle and consistent; the colours are pure without being too bright.  The animation varies a bit.  I'll swear that some of the humans are rotoscoped - but then, the rotoscoped humans (including Cinderella herself) aren't full-blooded characters in the script, so this approach works well enough.  It's really the animals that make the movie.  I think the studio had never quite used animals in this way before, as totems rather than sidekicks.  The mice, for instance, are the creatures who draw us into the story; but they are really representatives or allies of the more colourless Cinderella.  The cat, Lucifer, is a kind of witch's familiar to the Wicked Stepmother.  (The cat is brilliantly conceived and animated - one of the best feline creations of all time.  The supervising animator was Ward Kimball and he modelled it on his own cat.  I wonder how he put up with the animal.)  This approach allows the animals to steal the show without drawing our attention from the main story.  Their actions are of maximum interest only in the light of the main story.Among the supporting cast the notable humans are the King and the Grand Duke.  The King is a one note character - he wants grandchildren and appears to have no other desires at all - but the note is struck in a pleasing fashion.  The Grand Duke is a put-upon character who deserves to be lifted out of his sphere as much as Cinderella does.  (Although he, of course, is richer.)""Cinderella"" is Disney's return to features after an eight-year hiatus, and neither with it nor with any subsequent movie would he recapture the raw brilliance of his early years.  Moreover he made things hard for himself by picking ""Cinderella"".  She's a passive heroine and there's not much anyone can do about that.  (Maybe I'm wrong on this score - I haven't seen the recent ""Ever After"".)  Nonetheless it is remarkable how successful Disney was in bringing this unpromising story to life, without cutting across the grain of its spirit.",9.0,Anonymous,Animation
Straightforward Disney rendering of the fairy tale...,"Beautiful young woman, orphaned and living with her evil stepmother and two jealous stepsisters, hopes to attend the Royal Ball in the castle on the hill but may be thwarted by her cruel keepers and a decidedly nasty cat named Lucifer. Animated classic from Walt Disney has the company's signature style, but the scenarists skimp on the background details. Walt wasn't exactly into character development, and our heroine seems a bit of a masochist (one has to wonder, especially in this age, why she doesn't stick up for herself; does she feel trapped or is her isolation a comfort to her after her father's demise?). The friendly, chattering mice who help Cinderella provide comic relief, and there are at least two excellent songs (""Bibbidi Bobbidi Boo"" and ""A Dream Is A Wish Your Heart Makes""), but the movie is on the slim side--running a scant 74mns--and is reminiscent of ""Snow White"" besides. There are moments of gorgeous animated magic, and yet the picture is loaded up with villains. The pacing seems to stall in the third act when what we could have used was more of the grandmotherly Fairy Godmother (who literally vanishes). Nonetheless, ""Cinderella"" is exquisite to look at and has some very funny slapstick. *** from ****",7.0,Anonymous,Animation
A Childhood Classic of My Children and Mine,"In a small kingdom, the happily child Cinderella loses her beloved mother and his father marries with the cruel Lady Tremaine, who has the mean daughters Drizella and Anastasia. When her father dies, Cinderella becomes a servant in her own house and her stepmother and sisters feels only hatred for her. Cinderella's only friends are four mice, a dog and a horse that live in the house.When the King decides that his son, the Prince, should get married, he invites every maiden in his kingdom to a ball in order that the Prince could choose his bride. However, Cinderella's cruel stepmother does not allow her to attend the ball. When Cinderella is hopeless of going to the Royal Ball, her Fairy Godmother appears and uses magic to help her to make her dream come true. But she must leave the ball before midnight since the magic effect will end.""Cinderella"" is one of the classics produced by Disney that belongs not only to my childhood, but also to my daughter and my son's childhoods. This adorable fairytale is wonderful and should be mandatory to every child in the world. I do not have much to say, since I believe that most of the readers certainly know the story of ""Cinderella"". I feel sorry for those that have written stupid things about this lovely fantasy – what a poor childhood they had. My vote is ten.Title (Brazil): ""Cinderela"" (""Cinderella"")",10.0,Anonymous,Animation
I know I'm going to take heat for this...,"but ""Cinderella"" gets my vote, not only for the worst of Disney's princess movies, but for the worst movie the company made during Walt's lifetime. The music is genuinely pretty, and the story deserves to be called ""classic."" What fails in this movie are the characters, particularly the title character, who could only be called ""the heroine"" in the loosest sense of the term.After a brief prologue, the audience is introduced to Cinderella. She is waking up in the morning and singing ""A Dream is A wish Your Heart Makes."" This establishes her as an idealist (and thus deserving of our sympathy). Unfortunately, the script gives us no clue as to what she is dreaming about. Freedom from her servant role? The respect of her step-family? Someone to talk to besides mice and birds? In one song (cut from the movie but presented in the special features section of the latest DVD) Cinderella relates her wish that there could be many of her so she could do her work more efficiently. You go girlfriend! In short, Cinderella is a very bland character. She passively accepts her step-family's abuse, escaping into her unspoken dreams for relief. She only asserts herself once by reminding her stepmother that she is still a member of the family. For this, she is given permission to go the ball if she completes her housework and finds something to wear, a token gesture that is clearly absurd to everyone except, of course, Cinderella. Can anyone see Belle or Jasmine being such a doormat? If Cinderella is dull, her male counterpart is nothing short of lifeless. The Prince in Cinderella gets no dialog and almost no screen time. We are given no indication if he is a good man, if he respects Cinderella or anything. All we know is 1) he is a prince and 2) he dances well. Heck, even the prince from ""Snow White"" got to sing a romantic song at least. Not only does this lack of development make the romance less interesting, it makes Cinderella look like either a social climber or an idiot, weakening her already tenuous appeal.Perhaps realizing how dull the main characters were, the animators chose to give excessive screen time to the movie's comic relief, Cinderella's friends, the mice. Granted, these characters are amusing. Even so, when the comic relief steals the show from the principals, well, let's just say your story has some problems.Dinsey loves to proclaim all its animated features as ""masterpieces."" While many of them are, there are some that do not deserve this appellate in any way. Cinderella is a prime example of this fact.",3.0,Anonymous,Animation
Magical,"Let's not be coy, this is one of Disney's finest animated features. The characters, the colors, the music, it's all wonderful. The studio was at it's absolute peak at this point, with the terrific ""streamlined"" look to the artwork, that would be changed to a more ""rough"" appearance in just a few years following this movie.And what's not to like about it? Cinderella is one of the more endearing characters to come from a Disney feature, her stepmother and stepsisters some of the meanest, and her mice and bird friends, some of the most charming.Memorable scenes include the ""Nightingale"" number, with Cinderella's reflection in the soap bubbles, the evil sisters tearing her dress to shreds, her arrival at the ball, and the trying-on of the slipper. Add to that some great numbers like ""Bibbodi Bobbodi Boo"", and the mice's ""work song"". A wonderful movie, that never loses its magic, no matter how old you are.",,Anonymous,Animation
