title,content,rating,username,genres
It's one of the most unique films I've ever seen.,"At nearly three hours long AND with a strange and difficult to comprehend plot, I can see exactly why ""Cloud Atlas"" lost a ton of money. In the States, it only brought in about $27,000,000---yet cost $100,000,000 to make. Much of the high cost is undoubtedly due to the cast--as the film boasts some famous and high-paid actors (including Tom Hanks and Halle Berry). It's a shame really, as the film does have some nice thing to offer...though overall, it was a problematic film to watch.The film consists of many different stories that all occur many different times in history (both in the past and very distant future). And, instead of being told in sequence, they are interlaced throughout the film. Why and what these plots all have to do with each other is something the audience is left to discover or create within themselves. However, many will get frustrated because for some time, the film doesn't give you a lot of clues at to what it all means.Despite being confusing and hard to grasp, the film has several things I loved. The stars of the film all play multiple roles and you'll see many of them in many stories. This provides the actors a chance to show off their talents--especially because many times they need to effect accents and/or play the opposite gender!! Yes, most of the main cast members play men AND women. Now this never would have worked if the acting was bad and the makeup was bad--but they really shine in this film. I was blown away by the makeup and thought several of the female characters were women when they weren't--it was that convincing. Additionally, while I was a bit cold about the overall film, I did appreciate how novel the movie was--very, very unique.So how might I have wanted the movie to be instead? Well, the many stories frustrated me because some of them were really, really compelling--and seeing only bits and pieces of them was annoying. I really wanted to see the whole story of many of the stories and could have seen the filmmakers making four or five films instead of just one. I particularly liked the stories about the replicant as well as the one where Hanks played a thug author (his acting was really nice here).My advice is that this film demands a viewer who is very, very patient, content with ambiguity and who wants to see a nice experimental film-- warts and all. Worth seeing but odd to say the least.NOTE: Parents, this film is NOT appropriate for kids. It clearly earns its R rating for some extremely graphic violence and sex. While the sex is sometimes steamy, the violence is what troubles me most for anyone crazy enough to let kids watch this one.",7.0,Anonymous,Mystery
A powerful adaptation to a beautiful novel,"I was lucky enough to get last-minute tickets for this film at the Toronto International Film Festival. The theatre was packed and we were thrilled to see it although we did not entirely know what to expect. I had read a part of the book but never found time to finish it.The very opening of the film is mesmerizing and sets pace for all that is to follow. Six stories are intertwined to create one magical ride through time and space, as all stories move forward as one. To those who haven't read the book, I expect you might find the movie confusing at first. It seems unclear at the beginning (and for most of the first hour and a half at least) what all these characters have to do with one another. The end ties it up quite well, but for a three hour film, you might find you've spent a bit too long grasping at straws. Just let it go and enjoy what's before you; It will all come together in the end.An important aspect of the film is that actors play different characters throughout the film, finding themselves in different stories and eras. Often it works. The futuristic plot with Jim Sturgess is one I particularly enjoy. But sometimes, it feels like they're incorporated just a tad bit much. Tom Hanks' role in the editor's story seemed huge and important and first but it seemed we were supposed to forget about it. As I walked out of the theatre, I felt I had seen not only Cloud Atlas as a whole but a series of other films as well.I think maybe for a film such as this one, actors who weren't as known would have been better. It may have been easier to believe in all their different characters and forget who they were. But as far as their performances went, well they were great. Tom Hanks shines from the opening sequence to the very end. Halle Berry was adequate for the journalist and Hugh Grant... actually it seems he's playing himself in this one too. But the true star as always is Hugo Weaving. He steals the screen whenever he appears and is mesmerizing both as the devil or a regular assassin.The costumes and make up went from absolutely stunning (it may take you a few minutes to recognize actors sometimes) to somewhat distracting. Changing the race and age of an actor has got to be challenging but it's still hard to forget who they are. I expect the film will get an Oscar for this however, as I don't think anyone will beat them in this category before winter comes. The score was also incredibly powerful and beautiful and helped set the tone for the movie greatly.Cloud Atlas will take you anywhere and everywhere. It may surprise you by its sudden burst of violence, sometimes exaggerated and almost funny, sometimes cold and raw. You might cry at times, as the characters make choices and sacrifices. One story is particularly funny and had the theatre laughing quite often.All in all, Cloud Atlas is no ordinary film. It's a voyage that will take you to places you didn't expect. Don't try to understand it, just let yourself go and you'll find you understood what it was all about. If you're looking for a linear plot, then this film isn't for you. But if you want to experience something different, then by all means, buy a ticket for Cloud Atlas when it comes out. I know I'll be seeing it again.",8.0,Anonymous,Mystery
A Powerful Spectacle,"I didn't find it to be a mess at all, and it was certainly the best thing the Wachowskis have ever done. I'm not sure how the directing duties were distributed, so I'll uniformly praise Tom Tykwer as well.I haven't read the book, so I can't make any comparisons there, but I don't often leave a film adaptation wanting to read the novel afterwards, as I did after seeing this.Visually stunning, epic in scope, a strong score; the sort of film that you're constantly amazed was ever made and happy it was. Equal parts comedy, romance, thriller, and dystopian speculative fiction, it really is an astounding mix of disparate elements.The biggest overall failure was definitely some of the make-up effects - trying to turn Doona Bae into a believable red-headed Caucasian woman was simply distracting - but the overall art & sound design was incredible.If I could turn channels while watching TV and switch between stories and narratives as seamlessly and as deftly as the editing in Cloud Atlas, it would honestly be hard to go back to simply watching one show at a time.Truly a marvel of multitasking on so many levels. Great stuff.",8.0,Anonymous,Mystery
Quite an achievement,"""Cloud Atlas"" is nearly three hours in length, but I wasn't bored for a minute. The film alternates between six very different stories quite seamlessly, creating an exhilarating experience. It's part sci-fi, part historical drama, part love story, part comedy. Any number of things could have gone wrong with the film. All the different genres it brings together might have failed to coherently mesh. But they did, and it's something to see.The film takes us on shipboard in the 1800s, where a young man forms an unlikely bond with a stowaway, a runaway slave. It tells the sensitive, melancholy story of a promising young composer in the 1930s – separated by prejudice and misfortune from his lover, a man named Sixsmith. It also brings us to 1973, where an intrepid reporter finds herself caught up in a web of murder and intrigue. In the present day, the film offers up the comedic tale of a publisher on the run from a gang of thugs. Plunging into the future, it shows a dystopian vision of Seoul, South Korea that is comparable to ""Blade Runner"" and a primitive post-apocalyptic Hawaii.Linking these stories together are the simple thematic elements of love, compassion, and a love for liberty. The correspondence between the composer Robert Frobisher and Sixsmith depicts the plain beauty of love as well as any film I have seen, as do tender moments between the central characters of the portion of the film set in the futuristic New Seoul. Even in the blatantly comic segment with Jim Broadbent as the publisher, a deep passion for freedom and human dignity shines through.All the actors do a great job in their multiple roles. You can care for Tom Hanks one moment as a villager in a future Hawaii, and then revile him in the next scene where he plays a truly despicable doctor. The best performances are given, however, by Doona Bae and Jim Broadbent. I think they surpass all the rest. Bae plays a ""fabricant"", a kind of clone designed to serve humanity. Her gradual awakening to her own self-worth, to the subjugation of herself and of her people, is beautifully and movingly conveyed. She is heartbreaking in this role. Broadbent is equally excellent as the publisher Cavendish. His expressive face and popping eyes are ideal for comedy – and he's hilarious. But he's more than that. Broadbent infuses the character with a sense of sorrow and weariness at key moments. Cavendish has depth, a history, regrets from his past. Broadbent brings all this out brilliantly without losing his comic touch.Everything in ""Cloud Atlas"" comes together to create a film I found thought-provoking and highly entertaining. I don't hesitate to recommend it.",9.0,Anonymous,Mystery
A genre-breaking classic,"There can be little doubt that Cloud Atlas will become a classic that will be watched over and over again by its devoted followers, just like its predecessors by Stanley Kubrick and Ridley Scott. Despite the many questions I had in my mind when I left the theater and the moments during the film when I felt disappointed or confused, I knew this, and I have not stopped thinking about the movie and longing to be back in front of the screen.It is easy to criticize this movie as some have done for being overly ambitious, pandering to low taste, being too simple or too complex, with too few actors or too many, or even for celebrating revenge violence against professional critics who write negative reviews. They may all be correct, but these critics will still put themselves in the same category as those that warned audiences against 2001 or Blade Runner. The truth is that Cloud Atlas is profound in its reach, its visual and acoustic impact, its mesmerizing flow and its completely ground-breaking storytelling, and movie goers will see it and feel it in their guts.It is a movie that is a product of our age of internet-driven universal knowledge and vision, and the freedom we have to travel the world and jump between ages, genres, images and identities at our will. It reminds us that we are human and that we can still hear our heart beat, if we listen.",10.0,Anonymous,Mystery
The Wachowskis join forces with Tom Tykwer and overhaul the meaning of the word Epic!,"Kudos to all the filmmakers for adapting this famously ""unfilmable"" novel in such an inventive way. There are SIX separate timelines that switch after every scene, but instead of the plot, the narrative continuity follows the theme of the film. Once you clue in to that overall theme, it is no longer confusing when the story jumps from a runaway slave in the 1800s to a post apocalyptic future battle between some of the last humans remaining on earth.All this audacious style and structure makes Cloud Atlas a curiosity to say the least, but the film is lifted to the realm of ""Masterpiece"" by the all-star ensemble cast. This impressive collection of actors fires off amazing performances like the Expendables 2 fires off high caliber bullets. I mean this will long be considered one of the greatest acting clinics ever filmed, and a high point in some already outstanding careers, as the end credits alone are astonishing to watch.Overall this is a movie that transcends the simple elements of stars and plots and special effects, and boldly assumes to take the cinema to another level of storytelling, much like Avatar took film to a new level of technology a few years ago. The ambition, the technical brilliance and the passion that was put into this film makes it one of the great epics of our time.",,Anonymous,Mystery
A Potentially Great Film Ruined By Poor Structure,"I never read the book, but was intrigued by this movie because I had heard the book was very good. I don't have as much time to read as I used to, so I watched it, sort of liked it but found it kind of tedious to get through due to all the jumping around from story to story. Seeing the different actors as different characters was more distracting than anything, and the film was paced too quickly allow the average viewer to pick up all the complexities and themes the author was likely trying to convey.In the end, I found that it had a couple of good and original story- lines (particularly the Escape from the Nursing home plot, and the gay composer plot was good) but I found the other stories to be of the mostly bland and formulaic sort we've seen many times before (ie. guy finds out slavery is bad, investigative reporter uncovers a plot by an evil corporation, bladerunner/soilent green hybrid plot, and a fairly standard post-apocalyptic adventure story plot). While all of the story lines were entertaining, you never have enough time to become invested in each story or characters because the movie constantly jumped around between the six different plots. Yes, there are six different plots in this two and half hour movie, and therein lies there problem.After having watched the movie, I looked up the plot of the book because I was curious to see how the author handled the story. According to Wikipedia, In the book:""Each tale is revealed to be a story that is read (or observed) by the main character in the next. The first five stories are interrupted at a key moment. After the sixth story, the other five stories are returned to and closed, in reverse chronological order, and each ends with the main character reading or observing the chronologically previous work in the chain. Eventually, readers end where they started, with Adam Ewing in the nineteenth century South Pacific. Each story contains a document, movie or tradition that also appears in a previous story. It shows how history not only repeats itself, but also connects to people in all time periods and places.""For the life of me, I can't figure out why the directors didn't structure the movie this way. It would have worked far better. The audience would have been able to become more immersed in each story- line, and the connections between each plot would have been more apparent. As it stands, upon one viewing, it seems more like a mess that tries too hard to be clever. So then you might say ""you have to watch it more than once to 'get it'"". I don't want to have to watch a film more than once ""get it"". I paid close attention the first time. I'd rather spend my time doing something other than watching an average movie more than once. It's a sign of poor story telling if you make it so that you have to watch a film more than once in order to ""get it"".This film could have been so much better if it was structured like the book and took its time to actually tell the stories and develop the characters. Instead it was paced like an action movie. I felt like I was watching Inception at times (another annoying film that you ""had to watch more than once in order to 'get it'""). Perhaps it was structured this way due to a limited running time. But why even attempt to merge six completely different stories into a single movie in the first place? It would lend itself much better to a mini-series. Game of Thrones is the perfect example of a book adaptation that proved to be an immense success when told at a television show's pace. I feel like this movie would have benefited greatly if it was separated episodically like that.Before you respond to this with elitist statements like: ""I got it first watch, you're just too dumb to understand catch all the intricacies,"" or ""the average viewer is a moron, that's why they need all the themes and messages spoon fed to them. This film treats the audience like it has intelligence and allows to viewer to draw their own conclusions."" I just want to pre-emptively say ""no you're wrong"". The reason I think this film was a disappointment was precisely because it treated the audience like morons who just wanted to see fast paced action with no deep exploration of the themes or characters. It didn't give the audience a chance to think about any of the themes because it was too busy rapidly jumping between story-lines focusing more on action scenes rather than any sort character development. Supposedly the Tom Hanks soul goes through a whole redemption arc that I never caught because the film never actually focused on it. I haven't even read the book, yet, on first viewing, it felt like none of the major themes of the book were explored with any sort of depth. It's a shame because it seems like the book is a good one worth reading. I'm probably not going to read it now though since the movie spoiled the plots for me.That being said, I would say this film is worth a redbox rental at least. It has some good acting and some nice cinematography and special effects. It looks very pretty. The action is also quite good, although I wish there was a little less focus on the action, and more of a focus on the philosophical themes and characters.",6.0,Anonymous,Mystery
One of the Most Interesting Experiences Ever,"This is one of those experiences that defy explanation (similar to the one I had watching ""2001: A Space Odyssey""). I had read the book a year before and if you had asked me to pick a book that could never be made into a movie, I would have easily selected this. How wrong I was. This masterful concoction kept me intrigued for nearly three hours and yet I'm still trying to figure things out. I agree with the late Roger Ebert that even with two or three viewings, I am still trying to put this all together. It doesn't matter. It's like looking at a painting on repeated visits to a museum, maybe the works of Breughel or Bosch. There are some themes that run through the multiple characters' existences, touching on oppression and endurance of the human soul. The performances are wonderful. I would imagine that the likes of Tom Hanks must have been in heaven, extending their acting chops. I need to watch the film again, but for now will leave it to those more intellectually astute to look at the implications of the tenets of this film. I would recommend it as an experience everyone should have.",10.0,Anonymous,Mystery
Good unique movie but...,"Extremely ambitious film. The way it combines six different stories from different time periods, and here we have different characters as the actors play different roles, a really ambitious, big and expensive project. I can freely say that this is a unique film, truly special, I can understand those who love the film, but also those who do not like it. Although it lasts a full three hours, I was not bored at any point, which is a great thing. The actors did a great job, visually the film is beautiful, and I even like that it requires increased attention while watching. However, I got the impression that there were too many stories and characters and I couldn't connect everything, that is, not everything made sense to me. A lot of it seemed superfluous to me and how the film wouldn't have lost much if some things had been cut. Perhaps this film falls into a special category, and that is that it needs to be watched multiple times in order to be able to understand everything.",7.0,Anonymous,Mystery
Overly Ambitious and Jumbled,"The fact that you are interested in watching this film and that it was even made should be heralded as a collective success, because Cloud Atlas is a thought provoking film. Your personal and collective philosophies will be challenged, and your emotions will be engaged. Each of the six stories address mankind's struggle against seemingly inexorable systems/oppressors, and resolve that love can help us overcome the worst hell. Cloud Atlas also requires that you have a super-trained memory because the six story lines are jumbled and unnaturally presented. I don't mind a thinking man's movie, just as long as my brain doesn't attempt to shut down after being exhausted by the editor's brutal film gymnastics.Three of Cloud Atlas' story lines are wildly entertaining. That also means that three are also lacking. If you are willing to accept that you may have to either take a notepad with you to keep track of the story lines and trudge through some uninspired acting (sometimes Hanks & Berry are flat), or commit yourself ahead of time to watch this film twice, then go out and purchase your ticket. Otherwise, wait for the film to come out on Netflix.",6.0,Anonymous,Mystery
