title,content,rating,username,genres
Overall not bad but I found it unsatisfying and annoying to watch,"I agree with most of the comments I read, in that this film is definitely worth watching, BUT thought I'd mention a few things that others didn't.The lack of a steady camera shot, even though it fits well with the plot, began to wear on me. I found myself relieved whenever the camera fell to the ground and gave the same view for a few seconds. It felt like I had on the wrong glasses - I was constantly trying to bring the scenes into focus and the continual motion, coupled with the random focus and quick glimpses of things I wanted to see clearly, made me feel stressed, strained and then annoyed.Add to that the ending, which leaves so many issues dangling, and, overall, I found it very unsatisfactory.Despite that I still gave it a 6. If you can handle triple rides on a roller-coaster then you'll probably really enjoy this film. If you get motion sickness easily then you may want to pause it every 10 minutes and focus on the wall!",6.0,Anonymous,Horror
Tremendous thrills!,"Some people have derisively compared this film to The Blair Witch Project because it was all told from the point of view of someone's shaking camera. Unless you have motion sickness, I don't think that's a bad thing. What matters is who's in front of the camera. While The Blair Witch Project featured annoying people screaming at each other, this movie actually made me care about the characters. In fact if it had continued with the romantic drama tone established during the first half hour, I STILL think it would have been worth watching and that's the biggest compliment I can give it.Of course people will be watching this movie for the visceral pleasure and Colverfield delivers. Many thrilling visual and sound effects wowed me (there were a few times I yelled out in shock at a sudden scare). Any horror film will also benefit from a sense of entrapment and this movie pulls off the seemingly impossible feat of making New York City seem claustrophobic because there was seemingly nowhere to hide from the monster.What is the monster? Whatever it is clearly is meant to be an allegory for the carnage 9/11 inflicted on New York, much the same way Godzilla was meant to be an allegory for the damage inflicted on Japan by the atom bomb. There are moments seemingly recreating the documentary footage from 9/11, and they give the film verisimilitude. Touching upon real life horror, plus creating characters that we can relate to and care about, and assaulting our senses with incredible sights and sounds leads to entertainment worth watching many times over. Perhaps the 80 minute run time will bother some people, but on the other hand I think that's better than a film wearing out its welcome. Great job J.J. Abrams and company!",9.0,Anonymous,Horror
Motion Sickness Warning,"I genuinely enjoyed this movie and found its concept to be interesting. However, I do know some other people who have not enjoyed the shaky camera style.",6.0,Anonymous,Horror
Breath of fresh air,"It was nice to finally watch movie that didn't seem like anything I'd ever seen before. This, much like Spielberg's ""War of the Worlds"" and ""Children of Men"", completely immerses you in this incredible situation with absolutely no knowledge to comfort you. It's very disorienting, which adds to the experience; you never figure out what the hell is going on but you're so into survival that you put it past you. You're placed with a bunch of characters whom you get to know and eventually must join in their frenzied search for a friend while being subjected to some horrifying imagery and new threats.The effects look great and realistic thanks to the hand-held camera, which isn't too bad-looking if you manage to get a seat further from the screen. The filmmakers came up with some really great creature designs that were menacing yet very much original. If you're bound to be upset over seeing a movie with a lack of music, then stay for the credits, during which a fantastic suite of music composed by Michael Giacchino titled ""Roar! (Cloverfield Theme)"" plays.All in all, a fantastic time at the movies. A little more background on the monster would be nice, though the absence of this information is intentional. Everyone in the theater was rooting for a sequel; maybe a second set of footage is found elsewhere? Or perhaps there is more the the viral marketing -- what exactly were Slusho and Tagruato? Also be prepared to suspend some disbelief, but considering the movie is about a monster destroying New York City, that shouldn't be too difficult.",9.0,Anonymous,Horror
Not the film that I remember upon my revisit!,"They needed Godzilla to fight that thing, not tanks or missiles!Jokes apart, it's a well-acted and well-made found footage feature, no doubt whatsoever. However, I remember liking the movie much more when I first saw it in my teenage years. I vividly recall caring for the whole ensemble and the devastating tragedy that struck them out of nowhere.More than a decade later, I cannot state the same, though. Perhaps it's the overexposure of the found footage genre in general or the fact I've now gotten habituated to such filmmaking and have seen much better works in the process. Whatever the reason, it did not resonate with me on the same level this time; I wish it did.",6.0,Anonymous,Horror
The First Great Monster Film of the Century,"If you haven't heard by now Cloverfield is a film about a giant monster attacking Manhattan all seen through the perspective of a 20-something's hand-held camera. The film has been hyped for months via viral marketing, JJ Abrams fan boys, and media coverage/ monster speculation. Did it live up to the hype? The answer is OH GOD YES Cloverfield is by far the most intense monster film I have ever seen in my lifetime, after the initial 15 minutes of character introduction and whatnot the film does not go 5 minutes without a HOLY CRAP moment. Constantly driving you to the edge of your seat at every turn and it really pulls no punches, I was surprised to learn it was rated PG13. Now the film is entirely filmed in shaky cam since you cant really survive a monster attack pushing a trolley around and it just works, you may get motion sickness though so be warned. The camera itself becomes a character of the film as it IS the viewer making everything happening on-screen more and more realistic. Now the acting is amateur but thats for the best considering that the film would have made no sense if they had used big name actors/actresses, the characters are not that deep either and mostly serve as fodder, comic relief, moral guidance, panic, commentary, puzzlement, a little bit of annoyance, in other words they're people surviving a monster attack. The presentation is brilliant, the only music heard is in the party and at the ending credits and the special effects are some of the most seamless stuff you'll ever see in a film. The monster itself is actually not seen in its entirety only being viewed from different angles for the audience to piece it together as the survivors themselves are, you pretty much know as much as they do about everything going on making you actually feel like you're there. Critics compare the film to Blair Witch meets Godzilla but it is so much more than that, Cloverfield is the definitive American Monster Film, best if seen on the opening weekend just to hear the audience's reactions not to mention the presentation is far greater on the big screen, watch it again to see the things you missed or just to enjoy the ride again, admittedly the shock value will wane with multiple viewings but for what it's worth Cloverfield is an excellent piece of film and special effect engineering and is the first great monster film of the millennium. Its also downright scary at parts. 8/10",9.0,Anonymous,Horror
Cloverfield delivers the thrills - but haters of the Blair Witch style should be wary!,"So, I went to a 5PM showing of Cloverfield today. It was pretty good. I found the characters to be very human and developed quite nicely over the course of the story. The special effects were excellent, with quite a few ""oh $#!@"" moments.Be warned: If Blair Witch Project made you nauseous, then I don't recommend Cloverfield. The *entire* movie is filmed in the ""handy-cam"" style of the trailer - but in my opinion, it works better here than in Blair Witch. It helped draw you into the movie and make you feel like you were in it, and it made the CGI more convincing.Very intense film.",8.0,Anonymous,Horror
Monsters movie in which a camera manages to shoot  the frightening events that spontaneously  happen,"When some New Yorkers are celebrating a leaving party the ground starts to shake , with blowing up happening anywhere . They decide to abandon the flat when a monster terrorizes the Great Apple , breaking buildings , and every to get in its ways. Various characters cross paths with the giant beast, and they attempt to escape along with a young carrying a hand-held video camera.This eerie tale is plenty of thrills, chills, restless horror and suspense . Film itself takes place from point of sight of a cameraman , with camera over shoulders , displaying a documentary style filmed by photographer Michael Bonvilliam . In fact , during the first weekend of the release, many theaters posted signs warning guests that the hand held camera movements may cause motion sickness . The title ""Cloverfield""; initially just a codename for the movie, is named for the boulevard in Santa Monica where the Bad Robot offices were located during the making of the film . Good but unknown cast as Michael Sthal , Jessica Lucas, Odette Yusman , Michael Vogel, among others . Well worth watching if you appeal shaky cameras , such as : ¨Blair witch project¨, ¨28 days/ Weeks after¨ or the classic Italian ¨Holocaust cannibal¨; and recently ¨Rec (2007)¨ by Paco Plaza and Jaume Balaguero and its American remake ¨Quarintine (2008)¨ by John Erik . The flick is a crossover between Gozilla picture , catastrophe genre and documentary with Steadicam camera . Lavishly produced by J.J.Abrams (Lost, Star Trek) and Bryan Burk with excellent special effects and monsters made by Phill Tippet studio . The motion picture picture was professionally directed by Matt Reeves . He's a writer, producer (Yards) and director for television (Felicity) and eventually for cinema ; furthermore , usual collaborator of J.J. Abrams . Rating : Interesing and spectacular , above average.",7.0,Anonymous,Horror
An extremely well-made movie. Don't listen to the haters.,"I can remember back months before this movie came out, watching the teaser trailer for this film for the first time. The sense of foreboding and mystery I felt watching the trailer was the same as when I watched the film in the theater. It is an excellently-made movie.Although it starts off a little slow (with introducing the characters and their relationships), when the action kicks in, it doesn't stop. There are maybe 6-7 minutes where there is not some kind of thrilling event happening. The relationship between the characters Rob and Beth is palpable, as is the chemistry between all the actors.Pros: -Many thrills -Surprisingly good acting for a 'no-name' cast -Great story -Convincing special effectsCons: -The shaky camera may be nauseating to some people -The acting in some scenes could be a little better -If you are someone who likes for all the loose ends to be tied up at the end, this is not for youOverall, I give this movie 8 out of 10 stars. I love it, and it is in my top 10 favorite movies. It always will be. I highly recommend watching this on a large screen, with the sound turned up loud for maximum enjoyment.",8.0,Anonymous,Horror
A clever trick but nothing more,"And the monster is out of the bag.Thickly veiled in secrecy and fueled by the hype surrounding it, ""Cloverfield"" is the result of ""Godzilla"" and ""The Blair Witch Project"" after having a one-night stand. Without saying much, the film revolves around a group of twenty-somethings who hold a farewell party for Japan-bound Rob Hawkins (Michael Stahl-David) when a monster attacks New York City.It's a great marketing ploy, actually, and the J.J. Abrams-produced film, directed by Matt Reeves, certainly looks interesting on paper. Written by Drew Goddard, a frequent collaborator with Abrams, the film unfolds through the perspective of a hand-held camcorder as recorded by someone, mostly by Hud Platt (T.J. Miller). The first few minutes is spent introducing us to Rob and his girlfriend Beth McIntyre (Odette Yustman) waking up one morning, accidentally recorded over with interviews of a bunch of other people we're going to hang out with as mayhem starts.I have no problems with the shaky camera nor the awkward camera angles. In fact, it helps with the realism and if only for those factors, plus the clever editing, the movie works. Still, the film doesn't present itself as anything more than a cheap catharsis for a post-9/11 New York. One is smacked in the middle of the events yet it doesn't generate the requisite urgency. There are few moments of genuine tension but those fragments never form into a consistently gripping product. You hang out with these people, but you never find the sympathy to care for them, when their motivation is anchored on manipulative gimmickry and their interaction fueled by amateur acting and a hackneyed script best suited for the emo populace.""Cloverfield"" is a clever trick but nothing more. It's the big-screen treatment of a YouTube video, only here the gimmick is more conspicuous, and what usually lasts for about 10 to 15 minutes is stretched to 80 minutes or so.",6.0,Anonymous,Horror
Don't believe the hype - They didn't hype it up enough...,"Right, Let it be known, this film is f****n quality! Genuinely, i watched it with no expectations- the cheeky marketing of it revealing very little worked perfectly in my instance. The opening 5/10mins meets characters, and almost tricks you into a false sense of calm and normality.When 'events proceed', the camcorder style filming instills a genuine realism to events, and the films definitely feeds off the mass concern and shock at global events/terrorist attacks/disasters, and the disjointed way news feeds through.I will say no more but this- watch this film. Don't go finding too much out, just watch, and get taken to a place most fiction movies aren't able to transport viewers to. Intense has been said a lot in other peeps reviews its exactly that. Proper Rocks.Out",10.0,Anonymous,Horror
Worst high budget movie of all time? Maybe.,"I will firstly state I only give this movie 3 stars, because of the CG effects. if you enjoyed Blair witch project...don't see this movie. If you like monster flicks...go see it, and be disappointed. The actors in my opinion were extremely low grade, the approach of ""Realism"" failed because of horrible acting skills. Was the entire movie scripted, or partly improvised? Either way, it was badly done.The ending is horrible, no matter how you look at it. It looks rushed, and the actors fail at their jobs once again. It was such a generic ""Thiller"" flick I was sitting there thinking ""Are they ever going to hit us with something unexpected?"", sadly they never did.I really love Lost and all...but J.J...you've failed me this time.",6.0,Anonymous,Horror
Intense!,"I thought that this movie would have its best scenes in the trailers, so when I went in I did not expect too much. But I did expect that it would be different given JJ Abram's influence on Alias. Well, if you're not much for jumpy cameras and are prone to motion sickness, you probably will not stay too long in the theater. But if you can focus wide and not get caught up too much in the details, you are in for an intense and unique take on the monster hits a major city (New York) genre. Where does it come from? What is it? One can speculate, but the movie is really dealing with the trauma of a small group of party goers and their encounter with the extraordinary! The effects are amazing, the acting by relative unknowns, hits on all marks; making the movie all the more convincing to the very end. Not for the faint of heart or the under-aged; under 17s might be up nights with the shakes, definitely don't take preteens! Way better than, ""The Mist,"" a must see for giant monster fans everywhere!",9.0,Anonymous,Horror
Much better than anticipated,"I didn't have high hopes for this one, having read the reviews. Monster movie meets Blair Witch. But it's absolutely an OK flick.Great effects and an extremely cool apocalyptic atmosphere. Definitely worth a watch.Hand-held camera can be tiring, yes - but in this case, and combined with the great effects, it works.The plot itself isn't exactly news, but as it's all seen from the antagonists point of view and with no further explanation, you really get that ""what would I have done""-feeling.Yes, we need explanations, but I really like that Abrams hasn't tried to tag on an ending explaining what happened.",8.0,Anonymous,Horror
Doesn't Live Up To The Hype,"Cloverfield doesn't live up to the hype. They clearly had a sequel in mind when they made this movie. At the end of the movie, I went ""That's it?"".It's a love story with the monster as a sideshow. Yes you get to see the monster, but it doesn't even touch on what the monster is, where did it come from, why is it attacking Manhattan, etc. I didn't go to see the movie just to see a monster being hit by missiles, but that's what the movie really is. Who cares about the love story, I want the monster to be the star of the movie, not a bunch of yuppies with relationship problems. I have nothing against sequels but at least make the first movie a complete movie, and not just a jumping point for the real movie. And the camcorder style thing, was okay, it didn't bother me that much, but I prefer normal traditional camera style.A real disappointment. Not worth my 10 bucks.",6.0,Anonymous,Horror
I haven't been this tense in a movie theater in sooooo long,"With all of the crazy viral marketing (that started way too early) some people were worried if it could live up to the hype. It COMPLETELY surpassed my expectations, and I went in expecting it to be good in the first place. Once things pick up and start rolling about 15 minutes in, I didn't relax until the credits started rolling. Yes, they give you a few brief moments to catch your breath, but even then you're still on edge, waiting for the next attack. I can't imagine this movie being executed in any way other than the hand held approach. They somehow managed to pull off SEVERAL absolutely beautiful shots/camera angles while still fitting into the hand held setting. The acting and dialog is so natural that it doesn't feel like they're acting a script...at ALL. It's incredibly intense, you're really pulled into the character's corners, and it's filmed wondrously. If you get motion sickness easily, you'll probably want to wait 'till this is out on DVD. Other than that...GO SEE THIS MOVIE. It's one of the greatest monster movies of all time. Actually...scratch that...it's THE greatest monster movie of all time.",10.0,Anonymous,Horror
and then what?,"Like the review before me, I have to say that this movie really did leave many people wondering what happened. I went into this movie with an open mind as to what I was going to see after reading other reviews and knowing the small basis of what was going to happen. I was in shock to see that there really was no ending to this movie. It seems that they spend most of their budget on special effects and location that they lacked the funds to find some one to finish writing this great movie.I love the way it was shot, and its feel of you watching from a first person Point of View. You actually feel involved in the movie and I could tell many of the people in the theater felt to be in the suspense. I could also tell that some people did not like that, as one girl sitting in my row was telling her friend out loud how she thought that it was ""stupid"". As for my friend sitting next to me, he was actually getting dizzy and a headache from the bouncing of the camera.I think the trailers for this movie were very accurate. The trailers would be clips and pieces, and you were left wondering what it was all about, well the movie will leave you the same way.",6.0,Anonymous,Horror
"Awesome, just awesome!","Cloverfield is nothing like your average Hollywood movie. Entirely filmed from the perspective of a (shaky) handy-cam, one would not expect a very visually attractive movie. This movie proves that this assumption would be so damn wrong. The story starts at a yuppie party, but then crap hits the fan. And when I mean crap hits the fan, it really does hit the fan hard. Cloverfield is a very intense movie and the first person view really makes you feel like you are in the middle of something that you would try to avoid in real life. It has been a long time ago that I sat through a movie with clenched fists and my jaw on the floor most of the time, but this movie managed to do so. Nevertheless the movie still has its funny moments, which are timed right, so it does not take away from the tension. I could say much more about this movie, but it is really something you should see for yourself. Get the tickets now!",10.0,Anonymous,Horror
Jaw Dropping!!!!!!!!!,"First of i would like to say that this is hands down the best monster movie made. Some people will say "" The Host"" which was a great movie, but does not compare to the suspense and terror in Cloverfield. The visual effects in this movie were absolutely stunning. Superbly acted by a mostly unknown cast added to the realty of this movie. Cloverfield definitely tops my list of movies in 2008 so far. A MIND BLOWING movie experience that must be seen.one more note............. Don't LEAVE THE THEATER TILL AFTER THE CREDITS ROLL!!!!!!!!!!!!!!!!! I warn you DON NOT LEAVE!!!!!!!!! After the long credits, a very important scene takes place that you cant miss. So sit tight and wait. You wont be disappointed.",9.0,Anonymous,Horror
For the ones who laugh with the horror genre,"Honestly, you will fear a lot, the point of view prespective just changes the game. You are not watching a main character in a horror movie face all kinds of challenges in addition with some good old jumpscares. It is U against everything, you are not anxious for the characters in the movie but anxious for your friends and ""yourself"". Maybe i am exaggerating, maybe not, but one thing is certain, i was at the edge of my seat throughout the whole, not once was i bored and uninterested. Also the writers decided to include a love story in the plot which definitely upped the anxiety and worry levels and made it even more exciting. I rate this movie 9 out of 10 cause it should have lasted more, too short!!",9.0,Anonymous,Horror
