title,content,rating,username,genres
A Work of Dark Art,"After enchanting audiences with ""The Nightmare Before Christmas,"" Tim Burton brings another stop-motion animated spectacle, ""Corpse Bride."" In this story, Victor Van Dort, an inept young groom-to-be, can't make his way through his wedding rehearsal. Going outside to get his lines right, he accidentally winds up marrying the corpse of a murdered bride-to-be. The animation is spectacular, proving stop-motion can be good enough to compete with computer animation. Johnny Depp provides the voice of Victor, showing mild-mannered and nervous grace. Helena Bonham Carter is the voice of Emily, the Corpse Bride, giving the dead character lively emotion. One striking element of the movie is the color scheme. In the living world, there is no bright color, making a near-black and white appearance. The story is well-written, and the music is good. Overall, ""Corpse Bride"" must definitely be seen!",8.0,Anonymous,Animation
Beautifully crafted,"This is not my favourite Tim Burton movie by a long shot, but I did find myself enjoying it. The animation is absolutely amazing with the dark bold colours and inspired visual ideas. The music is good too, it adds very well to the atmosphere. The four songs are pretty decent, if nothing special. Remains of the Day was the one I liked best. The script is witty and deliciously dark in places, while the story is clever and fairly original, even if it drags slightly occasionally. The characters are wonderfully quirky and the voice work from the likes of Johnny Depp and Helena Bonham Carter is top notch. All in all, a beautifully crafted film, if not quite Burton's finest hour. 8/10 Bethany Cox",8.0,Anonymous,Animation
Chopin's Grave,"I liked this a lot, and a large part of the reason is that it is pure a Burton film as we are likely to find.And when I say Burton, I mean that oddly successful collaboration between him and Elfman colored by commercial realities.The big picture is that there are very few filmmakers with the skills and courage to be unique, to make movies that only they could. This goes beyond style into the nature of the soul.If you do not have an interesting soul, you cannot be an artist. If you do not have the courage and ability to reveal that soul in some way to us, you cannot either. So hurrahs for the few in the world of film that do.In a way, this film is a notion expanded around Ub Iwerks' (yes, that's a real name) ""Skeleton Dance"" done for Disney and quoted in a couple more hip Betty Boop cartoons. In another way, it is a simple date movie: boy gets girl, boy loses girl by misunderstanding, boy gets girl back and the thing ends in a wedding.And also in a way, it is a love poem to his girl friend. I'm fascinated by these things, where a talented director (usually a man) can shape the image of the woman he loves. Films DO influence how we think of love, but this is more genuine and powerful than any of them, this real love that shines through purely cinematic means. Just think about casting the woman you love as a corpse! She is as alluring here as she has even been.But beyond that is something that is more lasting, the business between Depp and Burton. Johnny is a fine actor, but many fine actors don't get the opportunity to explore new and unknown corners of darkness. He has and is better off for it. And so are we, though whenever this happens we end up with a new character template that inevitably becomes a stereotype. Depp already mines that stereotype in his Pirate movies.But what concerns us here is how Burton/Elfman deepens what he has with Depp. He introduces the character as a pianist, and does so with a piano piece. That piece is a skillful blend of Chopin and pop, but more on the Chopin side. For many, Chopin is the most nakedly emotional yet dark soul they will encounter. No humor, only intimacy and passion.So two clever things were done with this. The first is that the Depp persona (though an animated avatar here) was made deeper by reference to our deepest pianist. The second is that a few musical scenes and effects are set up, all of which reference the scene in some way. There's a sweet musical duet with Helena where they do fall in love. There may be few things more lovely than making love via music played to each other -- with each other.Ted's Evaluation -- 3 of 3: Worth watching.",,Anonymous,Animation
Here's the thing,"People say that Corpse Bride was horribly boring, etc. HOWEVER, that is because they are comparing this nonstop motion picture with Nightmare Before Christmas. Those who were really upset after the movie, saying that 'it's definitely not Nightmare', you are absolutely right. It is not Nightmare. It's Corpse Bride, a completely different movie. Everything was comparison, Nightmare to Corpse Bride, and yes, I'll admit, I enjoyed Nightmare more. However, when going to see this movie, you cannot compare Corpse Bride to Nightmare because then yes, you will be upset. If they had done another Nightmare, they would have done it years ago. But this is a different movie with a beautiful plot when you think more closely about it. It's a very strong plot of love, betrayal, hate, death, etc and you see that very strongly if you listen closely to Danny Elfman's wonderful music, vocal and instrumental. Basically, go into the theaters with an open mind and enjoy and pay attention to the movie because it truly has strong, very strong, meanings. If truly watching and comprehending, at parts you cry and at others you smile. It's very clear that it is beautifully created and the actors match their parts well, but the storyline is simply beautiful. Do not think about Nightmare because that movie has been finished years ago, but enjoy Corpse Bride. I will not give anything away, so I leave my review at that. Enjoy Corpse Bride people! And for others who think I am Anti-Nightmare or something, I am seriously not. I loved and still love that movie, but just enjoy Corpse Bride without judgement until after the movie.",7.0,Anonymous,Animation
The Corpse Bride Is To Die For,"I think that The Corpse Bride is a beautiful story. It's about true love and kindness. Johnny Depp is a perfect Victor Van Dort and all the characters are played wonderfully. The animation is superb from facial expressions to a reflection in a tear drop. The ending is one worth waiting for. It's an excellent film that all families should see. I'd suggest not taking children younger than 8 or 9. They might not understand the story line that young, but they'll love the dancing skeletons and the fun songs! That was a surprise: all the songs they sang. If there's one song you must hear it has to be the skeleton one, but also the piano sequence is beautiful as well. Hope you enjoy the film as much as I did!",9.0,Anonymous,Animation
Tim Burton Does It Again!,"In Tim Burton's dazzling Corpse Bride, both Tim Burton fan freaks (I was raised on Edward Scissorhands and Beetlejuice) and new inductees alike will find something to like here. The exceptional stop-motion animation (which has seen an upgrade since 1993's classic Nightmare Before Christmas) joins with top-notch voice talent (Depp and Helena Bonham Carter stand out here) and typically good score/musical work from genius Danny Elfman to create a wonderful movie-going experience. Yes, this is a movie for anyone - in fact, I think teens and young adults will enjoy it more than younger kids with its dark at times bold humor and fast-paced banter (particulary in the clever songs). NO, it is not as good as Nightmare Before Xmas, but it may be that it would be hard for any film to match that picture. As usual, Tim Burton is always at the top of his game when he sticks to his favorite formula - exploring the darkness of the human soul with off-beat humor. Well-paced and a terrific ending wrap up this well-crafted package! 9/10 stars - it's awesome.",9.0,Anonymous,Animation
"Good animation, but not one of Tim Burton's best","I probably would have liked this movie more if I had not already seen - many times - ""The Nightmare Before Christmas"" which was a brilliant and original piece of work. This movie does share some of that movie's qualities - haunting soundtrack, bumbling authority figures, a tall thin protagonist who is searching for something, a heroine whose limbs easily detach, and a dear departed house pet. It also has some interesting ideas of its own - the living looking and acting as though they were already dead, versus the dead living it up, since they have no more worries and forever to look forward to with the prospect of all of their loved ones returning to them one by one. In fact, the only time the living seem happy in this film is when the dead return to the land of the living for a truly unique wedding and instead of menacing or haunting the living, there are tearful and happy reunions. However, the individual characters in this film are just not that interesting.In short, even though all of the characters in ""The Nightmare Before Christmas"" are dead, they just seem more alive and motivated than the characters in this film. Also, this movie is darker than ""Nightmare"" and not as funny, so kids under 10 might find it too intense and probably not as interesting. Thus, although it is worthwhile viewing, I'm just afraid that Tim Burton set the bar too high with his previous animated film.",7.0,Anonymous,Animation
"An interesting and relevant, if not perplexing, morality tale","Tim Burton's Corpse Bride is by no means a bad movie- indeed, it is much better than most schlock these days- but it is part of a growing category of films with a very specific problem. It does not seem to have a specific audience in mind, or if it does, it is not approaching that audience in the proper way.Most people will see this film because it is to all appearances the follow-up to The Nightmare Before Christmas. Visually, this is true- Corpse Bride looks and feels very similar to the older film, although computer animation makes this one look even better.However, whereas The Nightmare Before Christmas maintained a jovial, family friendly theme and plot (complete with misunderstood heroes and dastardly villains), Corpse Bride gives us a quiet little story about three young adults who find themselves in an impossible moral situation. Promises are made which must be kept, and out of three people, one must inevitably end up heartbroken. The three central characters are all exceedingly likable- although one may believe Emily is to be the villain of the piece, she consistently demonstrates as much humanity as anyone.Ultimately, the film is about one very difficult moral choice that has to be made by one of the characters. The choice is made and the movie ends, but unless you're paying really close attention, it's difficult to understand why the characters act as they do, and why the film has the ending that it does. While not giving anything away, I'll say that in this sense, the third act of the film presents a very mature dilemma that children (and many adults) are not going to appreciate.Of course, the frustrating thing about this movie is that so much time is spent on song and dance numbers that the moral and romantic elements never really get fleshed out. As such the film (like Victor) is stuck between two worlds, and never really makes up its mind where it wants to be. On this point, then, it fails.It's probably still worth watching, although Tim Burton has done much better in the past.",6.0,Anonymous,Animation
Makes You Feel Better About Death,"Tim Burton's Corpse Bride was one of the best animated movies I've ever seen. My mother and I are so happy that he made another beautiful and original animated film since The Nightmare Beofre Christmas because we waited for it for 10 years. I'm glad to say that the wait was worth it. The Corpse Bride is a wonderful emotional yet fun story with heart. We had a wonderful time watching it in the theaters and we can't wait to go see it again this weekend. The visuals are so amazing that you'd have to go see the movie with your own eyes for its impossible to explain there perfection. The characters all look stunning and there are so many wonderful new characters in this movie that will keep your eyes glued on the screen. The voices of Johnny Depp, Helena Bonham Carter and Emily Watson are packed with fantastic emotion and acting. The score goes very well to the movie and the four songs that are performed sound wonderful. My favorites were ""Remains of the Day"" made me feel like dancing: it was such a jazzy fun song with the cool voice of Danny Elfmen. And my other favorite was ""Tears To Shed"" it broke my heart. Helena Bonham Carter sang that song with such heartbreak I loved it! The story is very entertaining and it has so much heart in it and Gothic like background. I loved the dialog some of my favorite lines were ""Why Go Up There When People Are Dying To Get Down Here"" and ""Can A Heart Still Break Once It's Stopped Beating."" But the most important thing is that this movie makes you feel less frightened about death. Death in this movie is a lot funner than living and the dead are always having a good time and partying that you feel like dying is not so bad. You should take anyone to see this movie if their paranoid about death it will soften their fears, Overall I strongly encourage anyone to go see this movie. I hope Tim Burten wins the Oscar for best animated movie this year. He truly deserves it! Thank you Mr. Burten for the Corpse Bride, Nightmare Before Christmas and years worth of your great films.",10.0,Anonymous,Animation
"A typical Burton: Good visuals, but not much beneath the surface","Tim Burton is a director who almost always makes enjoyable movies - you can watch them, enjoy them, laugh a bit here and a bit there - but eventually you will forget them. Tim Burton creates beautiful and magical worlds, and the problem is that he often just focus too much on the visuals.In that sense, Corpse Bride is a typical Burton movie. The plot is a simple fairytale which works great for the moment, but it's not something that will stay in your head. Instead you'll want to watch it for the typical Gothic style of his movies, which works great. It's beautiful animated and Danny Elfman's music adds even more to the atmosphere. What's interesting here is that the movie show us two worlds - the world of the living and the land of the dead - and it's the world of the living that is the dark place, with a color scale of black, gray and white and inhabitants that are sad, evil and greedy. In the land of the dead corpses and skeletons sing together, it's colorful and mysteriously beautiful and almost everyone there seems to be having a good time, even though they're dead.The voice actors are great; as many times before, Burton features Johnny Depp and Helena Bonham Carter in his movies. They're both great. Other notable voice actors are Christopher Lee and Emily Watson.In the end, it's a pretty funny movie during the time you watch it, but there's no depth in the story whatsoever. It's no movie that stays in your head. That's the reason that I can't rate it any higher, but if you get the chance to see it it's good entertainment for an hour and a half.",7.0,Anonymous,Animation
