title,content,rating,username,genres
Empty Darkness,"Tim Burton is probably one of the best choices to direct a Dark Shadows movie. He's always good at making Dark, Gothic films and everyone's expecting it to be something like Sweeney Todd and Sleepy Hollow. Instead, it has a hybrid of Corpse Bride and Beetlejuice. It begins with decent gloominess but the rest is scattered with groovy soundtrack and colorful images. But that may not be the problem. It's actually pretty good at recapturing the 70's. The main problem is the plot development. It's fun but also disappointing.It looks promising in the beginning. Tim Burton uses his campy directing style which made the intro intriguing. It get silly when Barnabas returns from his grave. Exploring the changes of his town. It's quite funny and delightful. There's a good character development in this that made it entertaining. Johnny Depp gives a delightful performance as Barnabas Collins. Eva Green is quite menacing as Angelique. Jackie Earle Haley and Helena Bonham Carter are the extra comic relief. Chloë Moretz is always good at bad girl roles.There's a lot of fun going on, but in the end, the experience feels like something's missing. It could have been an interesting story but it ends pretty lazy. There are couple of senseless twists that aren't consistent. At least there is something good in the filmmaking. The production design is quite decent and sometimes unlikely colorful. Postmodern music are played often which made Danny Elfman's music score hard to notice. But these merits can't fix the film's storytelling.Dark Shadows is undeniably entertaining and nothing else. There are things that could have been better. I don't think the colorful groovy look is the problem. It just needs a better ending that gives consistency to the story. People can still give it a try for its camp. There's a true vampire here that is nothing like our modern vampires. Dark Shadows is not bad. It's just unsatisfying. It has the color, life, and all but what's missing is a proper plot development.",6.0,Anonymous,"Fantasy, Horror"
"looks really good, but just not fun","Barnabas (Johnny Depp) is a successful man in 1770s town of Collinsport, Maine. He makes the mistake of breaking the heart of a powerful witch Angelique Bouchard (Eva Green). She in turn dooms him into a vampire, and then buries him alive. Two centuries later, Barnabas is accidentally released into the world of 1972. His Collinwood Manor has fallen into disrepair. The dysfunctional remnants of the Collins family have fared little better.This has the great Gothic look of Tim Burton. He is able to have both a 70s look and an old Gothic look. However it is very difficult to root for Barnabas who is essentially a killing monster. It is not fun. And it is not funny. Although there is a monster sex scene that produced a few smiles.",6.0,Anonymous,"Fantasy, Horror"
"Love theme, story, but execution falls flat","Dark Shadows offers stunning visuals, a delightfully dark atmosphere, quirky humor, and a talented cast in spite of an inconsistent story and a lack of narrative focus",,Anonymous,"Fantasy, Horror"
Family Is the Only Real Wealth,"In 1760, the Collins family moves from Liverpool to the Maine to expand the family empire and dedicate to fishing business. One year later, they are successful and the city of Collinsport is raised in the place. Then, for fifteen years, Joshua and Naomi Collins build their Collinswood mansion. Their servant Angelique Bouchard (Eva Green) has an unrequited love for their son Barnabas (Johnny Depp) that actually loves Josette DuPres (Bella Heathcote). But Angelique is a powerful witch that curses Barnabas and his family, killing his parents, Josette and turning him into a vampire. Then she brings the locals that lock him in a coffin and bury him for the eternity.In 1972, the young Victoria Winters (Bella Heathcote) comes to the decadent Collinswood to be the tutor of the young David Collins (Gulliver McGrath), who lost his mother two years ago. She finds a dysfunctional family composed by the devoted matriarch Elizabeth Collins Stoddard (Michelle Pfeiffer) ahead of the family business that is near bankruptcy; her rebel daughter Carolyn Stoddard (Chloë Grace Moretz); her brother and David's father Roger Collins (Jonny Lee Miller); the psychiatrist Dr. Julia Hoffman (Helena Bonham Carter) that takes car of David; and the servants Willie Loomis (Jackie Earle Haley) and Mrs. Johnson (Ray Shirley).When eleven workers release and awake Barnabas, he drinks their blood and returns to Collinswood. He meets Elizabeth and she tells that the family has been cursed, and Barnabas shows a hidden room with a treasure in side and he promises to protect them and assume the business. When he sees Victoria, he rekindles his love for her. But the witch Angie is still alive and is prominent in the town and she has not forgotten Barnabas.""Dark Shadows"" is a film by Tim Burton that has a promising beginning but the development is lost between comedy and horror. As usual, the dark cinematography is awesome and the music score is spectacular, with hits from the 70's. This film is certainly not among the best films by Tim Burton, but is entertaining. My vote is seven.Title (Brazil): ""Sombras da Noite"" (""Night Shadows"")",7.0,Anonymous,"Fantasy, Horror"
Darkish,"I love Johnny Depp and I love Tim Burton. Together they can be sublime. Look at ""Ed Wood"" and ""Sweeney Todd"" Here, well here they seem kind of lost. Everything is in over the top tones without getting to the root of anything. The performances are shrill and disconnected with the exception of the wonderful Helena Bonham Carter. The script is underwritten and the story is tired and unconvincing but in the present film going landscape it is more enjoyable than most others. I'm tempted to advise Mr. Burton and Mr.Depp to be a bit more daring in their intentions. We're all aware of Burton's visual wizardry and of Depp's remarkable beauty and talent, why not put all that at the service of something meaningful?",7.0,Anonymous,"Fantasy, Horror"
"As wonderful as Tim Burton-Johnny Depp collaborations come, this is a visually sumptuous treat with a delightfully eccentric performance by Depp","Few director-star collaborations have been as fruitful as that of Tim Burton and Johnny Depp, or for that matter quite so deliciously eccentric, and their eighth time together proves no different.Never mind if you haven't any inkling of the cult '70s daytime soap opera on which this is based- a swiftly told prologue recalls the setup by telling of the Collins' voyage to America, their instrumental role in the founding of the Maine seaside town called Collinsport by starting up a successful fishery business, and most importantly, of their heir Barnabas' unfortunate run-in with a jealous witch Angelique (Eva Green). Spurned by Barnabas for another named Josette (Bella Heathcote), Angelique hypnotises her to throw herself off a cliff while turning Barnabas into a vampire and imprisoning him in a coffin.It will be nearly two centuries later by the time some construction workers inadvertently free him, awakening Barnabas to an unfamiliar era where he promptly mistakes the golden arches of a McDonald's for Mephistopheles. That's not the end of the fish-out-of-water jokes that passes as humour- other than the anachronistic values about women and childbirth that Barnabas still clings to, he is just as out of step in front of a TV playing a Karen Carpenter show or among a bunch of hippies.Fans of the original series may object to the deliberately campy tone that Burton and his screenwriter Seth Grahame-Smith (with an extra story credit to Burton's frequent writing partner John August) adopt for the movie, but those less bound by expectations will lap up Johnny Depp's delightfully quirky rendition of Barnabas. As always, Depp is a master at facial reactions, with every twitch and raised eyebrow perfectly calibrated to elicit maximum hilarity. Depp and Burton are fully aware of the campiness, but both embrace it so wholeheartedly that you can't quite help but be won by their fidelity.There is also much more than just Barnabas' anachronism of course, with Smith giving the film its due weight in Barnabas' mission of restoring the former Collinwood empire to its former glory. Since locking Barnabas away, Angelique has spent her time building up her own booming fishing business. In the meantime, the Collins have been content to let their lives fall into decay like their sprawling mansion- among the dysfunctional members the matriarch Elizabeth (Michelle Pfeiffer), her dissolute brother Roger (Jonny Lee Miller), her impudent teenage daughter Carolyn (Chloe Grace Moretz) and Roger's disturbed young son David (Gully McGrath).However kooky they may be, Barnabas regards them one and all as family- and as Depp's opening voice-over emphasises, blood is indeed thicker than water. Burton-Depp's collaborations have always demonstrated a tremendous amount of heart for peculiar characters, and this latest reaffirms their love for characters of different quirks and idiosyncrasies.Restoring the empire to its former lustre earns the ire of none other than Angelique itself, the ensuing love-hate relationship between the pair giving the film a mildly sexual edge as well as a thrilling climax which culminates in a visually sumptuous showdown. Admittedly the pace does amble on with little narrative tension for most of the movie, but Burton eventually satiates the thirst for bombast in summer audiences with an extended ending made with most of the film's inflated budget unheard of in the days of the TV series' miniscule own.To be fair, some of that has obviously gone into the ornate sets by production designer Rick Heinrichs as well as the elaborate costumes designed by Colleen Atwood. As is Burton's signature, the imagery stands out as much as the characters do, and the finale is a perfect example of the visual richness of Burton's warped imagination brought to life with CGI. But Burton is not foolish enough to rely simply on these modern-day devices, relying too on good-old fashioned casting to ensure that his film is also a rapturous delight.Any actor besides Depp would probably be upstaged by the fine female cast, each of whom shine not simply because of Atwood's colourful costumes. The standout would probably be Green, who plays Angelique with bewitching aplomb, projecting sass and menace with razor-sharp precision and setting off dangerous sparks with Depp as ex-lovers. With Green's showy performance, it's easy to ignore Pfeiffer's more understated but no less loopy own, the actress who once played Catwoman in Burton's 'Batman Returns' clearly relishing one of her best roles in recent years. Bonham Carter unfortunately gets sidelined in this film, her act as a neurotic shrink underwritten and quite out-of-place amidst the other unfolding plot lines.Amidst the new faces, Burton also pays homage to the original actors of the TV series by inviting four of them- Jonathan Frid, Lara Parker, Kathryn Leigh Scott and David Selby- to appear briefly in the film, as well as the era's definitive musician Alice Cooper for an extended cameo. Despite his irreverent take on the material, Burton is clearly in love with the artefacts of the '70s, and the film's awesome soundtrack with the likes of Moody Blues and the Carpenters is testament to that.So yes, fans of the TV series will have to accept that this big-screen adaptation is a reimagining of the original. Yet for those without that historical baggage, it is with any of the Burton-Depp collaborations that have come before it a thoroughly enjoyable visual feast filled with offbeat characters that turn out ghoulishly endearing. This is clearly a passion project for both Depp and Burton, and 'Dark Shadows' as its deliberately idiosyncratic title suggests is an unusual summer season offering that packs its own unique brand of kooky appeal.",7.0,Anonymous,"Fantasy, Horror"
DULL with little bite.  Depp is playing dress up,"Oh the possibilities that were missed here. Except for the character names and a similar architecture in the house this film bares very little resemblance to DARK SHADOWS. The movie starts out beautifully and then goes off in so many awkward directions that it never finds what kind of movie it's trying to be. A few scattered laughs here and there do not compensate for a poorly conceived story that meanders itself to the point of being dull and confusing. What can you say about a movie that only comes to life in it's montages set to a pop songs from the early 1970's? Depp doesn't even attempt to capture any of the guilt ridden angst of Barnabas Collins. His Barnabas is a trick or treat Pirates of the Caribbean, very much like a kid playing dress up on Halloween and with two emotions, upset and more upset. Film has some nice set pieces but Burton doesn't bring any true Gothic feeling or sense of dread to the surroundings. The script has that throw everything up against the wall and see what sticks feel to it. Burtons direction comes off in a conveyor belt ""okay, let's shoot this one"" tone with interest only in visuals, which are striking. He's really more of a visual artist than he is a film director. Indeed, one gets the feeling that this film would never have been made if not for Johnny Depp and his love for the original series which is evident here. It's unfortunate that he relies too heavily on make up to carry his performance. Helean Bonham Carter has no interest in being in the film and it shows, doing it only as a favor to her husband. Eva Green is the type of actress Tim Burton is attracted to and loves to cast in his films, but she possesses little of Angelique's spellbinding jealousy. The only one in the cast that has a hint of what these surroundings should be played like is Michelle Pfeiffer. She is the Grande dame of Dark Shadows capturing both the Gothic feel of the original story and the magnificence of the character.",3.0,Anonymous,"Fantasy, Horror"
Is it wrong of me to like this movie?,"I will be honest - off all the Tim Burton projects during the last decade this was the one I had little to no interest. I didn't seen the original soap opera and ""Burton is making a vampire movie"" didn't sounded like left-over idea. All reviews I hear where bad and I only went to see this out of principal ""Ok, I can't talk bad about this movie until I seen it""And to be honest - At first It was a pleasant surprise! The first 40 minutes did a excellent job of introducing the world as well building up the dark atmosphere. There was so humor now and then but overall it was pretty good.But then the movie got a bit flat and what I really hated was the love story! They spent like 20 minutes introducing Victoria character but after that there is little to no of here in the movie, and she has only like two scenes with Barnabas so it's hard to buy the whole romance between the two. The only thing that was making movie good was Eva Green character which was totally Psyco (and Deep as well)But then the movie reach the climax and... It got cool again! The entire final fight was so dark and insane but campy at the same time it was hard not to enjoy it!Overall one of weakest of Burton films but it has it moments. Some of the characters are fun (especially Eva Green) and I LOVE visuals during the final scene, to be honest worth of the ticket price.",7.0,Anonymous,"Fantasy, Horror"
Don't bother.,"I am a Johnny Depp and Tim Burton fan girl!!!!! That being said...The intro excited me, but the rest of the movie made me regret buying the tickets. The movie is a downward spiral of awkward acting and bad jokes.Burton's visuals are wonderful as always. His colors and scenes make you believe you are where he wants you to be, but the dialogue is simply horrendous for most of the movie. You get rewarded by a few funny jokes for not walking out of the theater once Collins reaches the house, but otherwise are left feeling underwhelmed.I wont spoil it with details (not that there is much to spoil), but I will say this: Leave your lofty expectations at the theater door so you don't get pushed off cloud nine only to land on 100 degree cement... barefoot.",,Anonymous,"Fantasy, Horror"
somehow not that good,"My overall opinion is not negative but I feel like the idea is wasted a bit. The movie started pretty good. But after twenty minutes, everything became predictable. It was not boring but it was not very entertaining either. I don't even think this movie is comedy. There are very few jokes. Overall acting was kind of OK but Depp is becoming a very one dimensional actor by playing always similar characters. The scenery was pretty good and I must say, visuals were quite good as well. At the end, I wouldn't watch this movie once more but at least I didn't regret paying for it. If you didn't like the other Depp and Burton movies, don't even think watching this one.",7.0,Anonymous,"Fantasy, Horror"
