title,content,rating,username,genres
Absolutely hilarious but not for everyone,"""Deadpool"" is absolutely hilarious. The story isn't groundbreaking, but it does the trick and the same goes for the action which isn't bad either. The greatness of this film lies in its humor and its uniqueness. It isn't like every other superhero film. Whether you talk about the constant breaking of the fourth wall, the R-rating, or any of the very different characteristics of this film that differentiate it from other superhero movies. To be frank, it's arguable doesn't even justify the ""superhero"" stamp. It's something different.It needs to be said, the film might not be for everyone. It's very crude and it's filled with nudity and violence. The humor won't appeal to everyone either. It's quite dark sometimes and very satirical. Sure, ""Deadpool"" isn't for everyone, but to the right audience, it's a masterpiece. The humor is great and there are countless hilarious jokes throughout that will make you laugh. Ryan Reynolds is perfect for Deadpool and he does so well in the role. It is a truly great performance by him.To sum up, ""Deadpool"" is a great film that might not be for everyone. I recommend it.",8.0,Anonymous,"Action, Adventure, Comedy"
"""Please don't make the super suit green...or animated!""","One of the greatest anti-hero - the Merc with a mouth - Wade Wilson was once a special forces operative but turned mercenary. After being subjected to a rogue experiment, he finds himself with accelerated healing and transforms himself into Deadpool. Armed with weapons (and a wicked sense of humour) he will stop at nothing to track down the men responsible.Never have I seen so many fans (or moviegoers), dying to see a character like Deadpool on the big screen; it's a bit like how everyone wanted to see The Avengers on the big screen back in late 2011. It's bad enough that the studios can't seem to get the character right with the disaster that was X-Men Origins: Wolverine. But the respect and love that fans have for this character stayed strong until everyone's prays was finally answered by this movie. And it did not disappoint, because Deadpool lives up to hype by being entertaining and hilarious. While I don't think it is a masterpiece of all comic book movies I did have fun watching this movie. It's a film that fans wanted and got.I can't imagine anyone else in Hollywood playing Deadpool but only Ryan Reynolds. He was born to play this character and he's the only actor that I think of to do the character justice. Reynolds as expected did that, and has made the character of Deadpool his own. He was terrific as the mouth talking, ant-hero bad-ass. This is Ryan Reynolds come back role after his past disasters roles that mostly involves Green Lantern and Origins Wolverine (that this movie brilliantly makes fun off). Reynolds was just perfect for this character and he did a great performance in this film. He delivered the comedic timing and the somewhat of a hidden charm that Deadpool has. Ryan Reynolds absolutely nailed it.The writing in this movie was surprisingly good, which I didn't expect for a movie with this kind of character. Of course there are Easter eggs, references and nods to the comics and Marvel movies, but in this movie it's done in such a way that feels kind of refreshing. I know for a fact that I missed a lot of the jokes and references due to amount of laughter that I had while watching the movie. I can say it with a brave face that the writing is this movies biggest strength, because it's self awareness on Marvel movies and itself was all top notch.I'm so happy that this movie is rated 18 and not some watered down movie, because if you honestly think a Deadpool movie should be rated anything less then you really don't know the character at all.",8.0,Anonymous,"Action, Adventure, Comedy"
One of my favourite comedy's,"I really enjoyed this movie and I didn't expect to, I don't really enjoy a lot of 'superhero'
movies so I didn't have high hopes , but this movie was amazing. It was funny, violent and action packed. A really good thing about this movie is that it was different to a lot of comedy's , which easily could've made this movie a disappointment. But it was a great movie and is one of the best comedy's I have watched. If you haven't watched this yet you should definitely give it a try.8.3/10.",8.0,Anonymous,"Action, Adventure, Comedy"
"Dirty, funny, sexy, violent and unabashedly romantic: Deadpool has arrived!","I really, really liked Deadpool. And you know what? I didn't expect to. Seriously, I was never a fan of the character (in the sense that I hardly knew anything about him) and the humor as well as the violence seemed forced and overdone in the trailers. Still, I remained interested in the film, I just never expected it to actually be good - until the reviews arrived. After most critics unexpectedly showered this newest superhero movie with praise, I went in cautiously optimistic (but still fully prepared to hate the film).The first thing I noticed was how inventive the storytelling is. The film throws you into the action from the first moment (literally: the very first moment) and then it goes back and forth in brilliant and unexpected ways to slowly unspool the story of this insane - but oddly charming - antihero. Flashbacks and fast-forwards can be annoying as hell, but when done right, they can help render even a somewhat simple story fresh and exciting. And that's exactly how Deadpool felt to me right from the start: like a fresh (if somewhat dirty) jolt of energy.The action itself is beautifully designed, employing playful visuals and using pretty much every camera technique available; it never feels repetitive and the pacing is close to perfection. But, and that was probably the key to me liking the film so much, there's a beating heart underneath all the action and carnage, and that has a lot to do with how brilliantly Ryan Reynolds portrays the character and the great chemistry he has with co-star Morena Baccarin. What came as a complete surprise to me was how unabashedly romantic Deadpool is. The love story in this film is probably the most sincere I've ever seen in a superhero movie and it gives the film the strong emotional core which so many of these movies lack.The humor, which I initially feared would just be non-stop juvenile wisecracks and soon become distracting, also works surprisingly well. Not every line or every joke lands - but that's the beauty of this character: they don't really need to. Deadpool can't help himself; as long as he's able to breathe he'll crack wise and make fun of himself and those around him. It's a clinical condition; he's not a stand-up comedian whose jokes need to land: he's a madman (albeit a very entertaining one) and the comedy in his case is born out of tragedy.Despite all my praise, it's not a perfect film. The villain in this revenge tale could be more memorable and the story itself is a bit too derivative to really do its highly unconventional protagonist (he insists he's not a hero) justice: but it's a damn good first entry in a franchise that will hopefully explore the character and his world to a much larger extent in the sequel(s). And it's actually a very important film for another reason. If Deadpool is a financial success - which at this point is already clear it will be - this could play a vital role in how studios henceforth view the financial prospects of R-rated superhero films, and we'll hopefully see more of them in the future.Many people might feel different - and I respect their opinion - but I've grown tired of the entirely bloodless CGI overkill in all those 200 million productions where even the most terrible villains talk like Mormon schoolgirls. I mean: there's a gigantic audience out there that is over the age of 18, loves to read comic books and can absolutely handle real-world language, real-world sex and real-world violence in superhero movies. This genre is so diverse; it's ridiculous to believe just because comic books have pictures in them all film adaptations - regardless of the material - must automatically be made for kids in order to be successful.As it is, I think Deadpool - a dirty, funny, sexy and violent film which is decidedly NOT for kids - just proved my point perfectly. 8 stars out of 10.Favorite films: IMDb.com/list/mkjOKvqlSBs/Lesser-Known Masterpieces: imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: imdb.com/list/ls054808375/Favorite TV-Shows reviewed: imdb.com/list/ls075552387/",,Anonymous,"Action, Adventure, Comedy"
"""Bad Deadpool - Good Deadpool Film!""","If anyone else could be cast to play Deadpool, he certainly doesn't exist in this universe. After Ryan Reynolds's dramatic failure in the Green Lantern film, he has returned to the comic book world. Reynolds is absolutely phenomenal as the foul mouthed, and witty anti hero. I mean he is just superb! He completely owns the role, and gives a fantastic performance. If Robert Downey Jr. IS Iron Man, then Ryan Reynolds IS Deadpool. He is also such a liveable character, and by the end of the film, I genuinely cared about Deadpool. I never thought I'd say that. All of the performances are great. No one holds a candle to Reynolds, but I will say not one person was miscast here.Deadpool is a unique film, and a huge gamble. Both Marvel and the studios bringing us this film took a major risk. This is a beloved character, and his world is very different than other Marvel films. Right off the bat, this film is consciously self-aware. It knows its a comic book film with comic book characters, and it actually exploits it. Many times, Deadpool turns to the audience and tells us what we're all thinking. It was so different, and it worked so very well. The narrative itself is also different. It's very non-linear. The events of the film don't play out in a normal straight narrative.One of the trademarks, nay, the trademark of Deadpool is his sense of humour. This film is by far one of the most hysterical films I have seen in some time. The writing is so perfect, so sharp, and so full of witty banter, and thankfully, it all works. Not one joke, that I remember, fell flat. The film had me laughing constantly; from the opening credits, all the way to the after credits scene.As for the action, it's also very satisfying. Many action films today are butchered by terrible camera work. For whatever reason, many modern action films are using shaky cam. Instead of clear, steady shots, the DP will go hand held, and shake the camera violently. The worst example in recent memory of this is, Taken 3. Thankfully, there are films like this, and others, that know exactly how to do a good action scene. Director Tim Miller and cinematographer Ken Seng do a brilliant job creating slick, good looking action. Not only is the action brutal, and extremely bloody, it's just co clear and well handled. The fights are really great here. I couldn't help but be reminded of Tarantino's, Kill Bill films while watching Deadpool. They are incredibly similar in their style of fight scenes.Sitting in the cinema, the inner critic in me struggled internally. I kept thinking afterwards about the film. What were the flaws? I don't often see a film without pointing out the negatives. Even films I really like, or even love, have flaws. I'm certain that if one sits and picks this apart, you will eventually find some flaws. Perhaps the overall story is paper thin. Perhaps the villain wasn't very compelling as character. Then again, Ajax was honestly serviceable. Ed Skrein gave a great performance, and by the end, you really hate the bastard. He's a generic, or a dick, British villain and the film makes fun of that!""Deadpool"" and Guardians of the Galaxy were both huge risks that ultimately paid off, big time. As a film, it's nearly perfect. The film does exactly what it needed to do, and more. It introduces Deadpool, sets up his character, and gets you to like him if you didn't already. The non linear narrative was refreshing to see in a superhero film. Everything about this film was different and unique. It's self awareness and breaking of the fourth wall work well; really well. The direction is great, Ryan Reynolds is phenomenal, and the script is fantastic!",9.0,Anonymous,"Action, Adventure, Comedy"
This is what it looks like when filmmakers take risks,"Deadpool is a triumph of artistic vision over studio interference. Little credit should be given to 20th Century Fox, as they had zero faith in the success of a Deadpool movie. To put things into perspective, Ryan Reynolds fought for this film back in 2004 when Blade: Trinity was released. Reynolds and co. went to shoot test footage that was then leaked online by Reynolds because Fox had no intentions to release it to the public. Finally, after years and years of BEGGING to the studio and the overwhelming positive responses of the test footage from the public, Fox didn't even tell Reynolds and co. that the film was greenlit. They had to find out online like the rest of us plebeians. If that sounds bad, Fox even cut their budget by $7 million AT THE LAST MINUTE, which caused the writers to scratch some action sequences that I'm sure would've been great to see.Deadpool now has the biggest opening weekend in the month of February (surpassing Fifty Shades of Grey), the biggest opening weekend for 20th Century Fox (surpassing all the X-Men films), and the biggest opening weekend for an R rated film EVER (surpassing The Matrix: Reloaded). With all that being said, Deadpool is a hilariously entertaining film that works mainly because of Reynolds himself. His comedic skills pay off gloriously as the titular character, who gives so many quips in one instance that some jokes will be missed. Of course, credit should be given to the writers too (AKA: The Real Heroes Here), and it's impressive that this is Tim Miller's directorial debut. The action sequences and pacing are so good that you'd think this came from a veteran director.From the ingenious opening credits to the subversive ending, Deadpool constantly upends clichés and tropes you're used to seeing in superhero flicks in the past few years. What's great here is the filmmakers had something weird and perverse and just went with it. Jokes about pedophilia, pegging, and sex run rampant, but it's never really dark, despite the mature subject matter. On top of that, it's also very refreshing to see a pansexual superhero in such a big studio film. It's unheard of these days. Fox and other studios, learn from this success. It's not the fact that a hard R-rated film can do well, it's that Deadpool also happens to be very good, most likely because you, Fox, actually gave the filmmakers the creative freedom to do whatever the hell they wanted.",8.0,Anonymous,"Action, Adventure, Comedy"
a much needed breath of fresh air in a stale genre,"At first glance, Deadpool seems like a typical superhero movie due to it being made by Marvel. But once those hilarious intro credits show up, you know you are in for one of the most creative films in recent years.The first thing that is unique about this film is the characters. In typical superhero films the characters are stiff and super serious, in Deadpool the characters are filled with personality and can range from the serious Francis to the silly Deadpool giving this a parody like feel, in a good way.Also what is different is that this is a story of revenge rather then saving the city/world/universe that is seen in every single superhero film. Also the tone of film is more comic then dark thanks to the fantastic humor of all kinds from slapstick to dirty to just plain silly, this film just does not stop the laughs (I laughed 20- 30 times in my SECOND watch).As for being an origin story, I can say that the backstory placements were well done, equally as funny, and explains only what is important in understanding the story. Final rating 10/10 this is a great nominee for movie of the year and one of the greatest comedies ever made",8.0,Anonymous,"Action, Adventure, Comedy"
I am NOT the target audience for this one...please keep this in mind as you read.,"I am a 53 year-old man...and the target audience for ""Deadpool"" is much, much younger. So, it's not all that surprising that I wasn't bowled over by the film like so many younger people I know. And, when I am not as enthusiastic about it, understand that I am writing my review mostly for folks who are NOT huge fans of superhero films. Sure, I've seen more than my share but I am growing tired of the whole genre. And, while ""Deadpool"" deliberately avoids some of this, it's STILL a head on assault to your senses due to all the action and explosions...my primary reason for not being a superhero fan. Yes, there are tons and tons of explosions and action...that left me pretty cold...as did some of the ultra violence. What I did like was how Deadpool occasionally broke through the fourth wall and talked to the audience or made commentaries about superhero films...that I really liked. Overall, it's a mixed bag for me...worth seeing and enjoyable but one I am very glad I waited until the film came to cable TV.",7.0,Anonymous,"Action, Adventure, Comedy"
"""Let's count 'em down!""","This movie is absolutely brilliant! It's one of my all time favourite comic book movies and deserves its' positive reviews because this is a future action movie classic! I'd say this would be after Batman Begins, The Dark Knight and The Dark Knight Rises as one of my all time favourite action/comic book movies. It's possibly the most quotable film of the century, the best comedy of the century, literally everything about this movie is awesometacular.",10.0,Anonymous,"Action, Adventure, Comedy"
A movie too conventional for an unconventional anti-hero,"Let me just say off the bat that I liked this movie overall. The action and the humor were both very good, and Ryan Reynolds nailed the role of Deadpool.With that said, Deadpool, the infamous anti-hero known for constantly breaking the 4th wall and just overall being unconventional, is stuck in a way too conventional movie that doesn't take enough risks. Deadpool in this film is very much himself, and there's plenty of R-rated humor the usual PG-13 Marvel film tries to avoid, but in the end, the film gets bogged down by a typical 3rd act finale (the weakest point of the film), another forgettable Marvel villain in Ajax (possibly the worst),plus the typical supporting characters like the love interest and goofy sidekick. It's all a little too conventional for such an unconventional character in Deadpool, and the movie suffers.",6.0,Anonymous,"Action, Adventure, Comedy"
