title,content,rating,username,genres
A Solid WW2 Tale From A New Perspective,"When I think of World War 2 films, I usually think of graphic war scenes, Holocaust themes, or military strategy. This film takes a completely different approach to the WW2 era, showing it from the point of view of a group of Jewish citizens trying to avoid capture and survive out in the woods.For a basic plot summary, this film focuses on the two eldest Bielski brothers (Tuvia & Zus), who lead a band of fleeing Jews into the woods when the Germans begin to invade Eastern Europe. While out in the Belarussian forest, the Bielski boys must not only feed hungry mouths and keep away from the Germans, but also navigate through different political/military strategies and the shady Russian army (in which you never know who to trust).This movie may not be an all-time classic, but it is a very solid WW2 tale told from a perspective I'm not accustomed to (and thus rather fresh). Being based on a true story, it is remarkable to consider the odds that the vagrant Jews faced just to survive each day, nonetheless maintain their freedom.The two acting leads (Daniel Craig & Liev Schreiber) are very compelling, while none of the auxiliary cast are exceptionally bad. Though it is a bit slow in the beginning, by the end the plot/characters will really have you rooting for success.Thus, I recommend this film to WW2 enthusiasts of all kind. If you don't expect a masterpiece, and are content with a good story from a new angle, you will enjoy this film very much.",7.0,Anonymous,History
"Exciting, Inspirational, Craig and Scheiber are Fine","""Defiance"" is a very entertaining, exciting, suspenseful, and inspirational film about a tough topic: the Holocaust. Its many action sequences are well-paced and well-motivated. You know exactly why Tuvia Bielski (Daniel Craig) breaks into a home and points a gun at a man in front of his family. Daniel Craig and Live Schreiber are terrific as Tuvia and Zus Bielski, who lead a band of Jewish forest partisans during World War Two, thus saying over a thousand lives.The movie is not perfect. Characters speak English with Slavic accents. In other scenes, they speak Russian or Belarusian. Craig and Schreiber manage very good Slavic accents, both when speaking English and when speaking the Slavic languages, but Craig occasionally lapses into his English accent when speaking English. Female characters are not particularly well drawn, or given much to do. While this film is very good, it doesn't have the production values to be a timeless classic like ""Schindler's List."" The movie is controversial. Most of the controversies are shallow relative to the most important facts at hand. Many of those attacking this movie have axes to grind, including current events in the Middle East or feuds between Poles and Jews. The most important fact is this: the Nazis committed a genocide of six million Jews. In the midst of this Satanic nightmare, the Bielskis managed to save over a thousand Jews. That's the main, and absolutely true, point here, and it should not be lost in bickering over details.Compared to other treatments of the Holocaust, this film is fair. It doesn't show Slavic peasants as uniformly Jew-hating collaborators. Nazis, not Slavic peasants, were the authors and perpetrators of the Holocaust. Some occupied peoples collaborated, often out of fear and for financial gain or as payback for old grudges. Some occupied peoples did everything they could to help Jews, as does a Belarusian peasant in this film.The Bielskis were not immaculate. They did summarily execute captured Germans, as shown here. They did raid peasants for provisions, as shown here. They did work with the Soviets, but so did Uncle Sam. Remember that photo of FDR and Churchill smiling with Stalin at Yalta. The Polish IPN institute is investigating charges that members of the Bielski partisans, but not the Bielskis themselves, participated in the 1943 Soviet massacre of 128 people in Naliboki. Aron, the youngest Bielski brother, was, in 2007, accused of defrauding an elderly Polish woman. These failures of the Bielski brothers to be perfect in no way lessen their achievement, any more than any failure to be perfect lessen any hero's achievement. Again, in the face of genocide, the Bielski brothers managed to save over a thousand people. Were they perfect? No. Were they admirable, heroic, and worth learning about? Absolutely yes.",8.0,Anonymous,History
Good movie based on facts about resistance fighters in  the Belarus forests,"This is an interesting film about a bunch of Jews commanded by the Bielski brothers taking the Belorussia forests to shelter themselves from Nazi criminals . It is completely set in the woods which it does some claustrophobic . Splendid acting by all-star-cast . Nicely photographed by Eduardo Serra in colorful palette . Emotive and sensitive musical score by the great composer James Newton Howard. This is a true story , worth telling and stunningly directed in old-style by Edward Zwick .The picture is inspired on real events based on the novel titled ¨Defiance : The Balski partisans¨ , being well adapted by Clayton Frohman and Edward Zwick . The actual events are the followings : The Bielski group's partisan (three brothers finely performed by Daniel Craig , Liev Schriever , Jamie Bell) activities were aimed to hold the Jewish community together and fight against the Nazis and their collaborators, such as Belarusian volunteer policemen or local inhabitants who had betrayed or killed Jews. They also conducted sabotage missions . The Nazi regime offered a reward for assistance in the capture of Tuvia (Daniel Craig) Bielski, and in 1943, led major clearing operations against all partisan groups in the area. Some of these groups suffered major casualties, but the Bielski partisans fled safely to a more remote part of the forest , and continued to offer protection to the noncombatants among their band . The Bielski group would raid nearby villages and forcibly seize food ; on occasion peasants who refused to share their food with the partisans were the subject of violence and even murder. This caused hostility towards the partisans from peasants in the villages, though some would help the Jewish partisans.The Bielski partisans eventually became affiliated with Soviet organisations in the vicinity of the Naliboki Forest under Russian General (in the movie Panchenko is played by Ravil Isyanov). Several attempts by Soviet partisan commanders to absorb Bielski fighters into their units were resisted, such that the Jewish partisan group retained its integrity and remained under Tuvia Bielski's command. This allowed him to continue in his dedication to protect Jewish lives along with engaging in combat activity, but would also prove a problem later on . The Bielski partisan leaders split the group into two units, one named Ordzhonikidze, led by Zus (Liev Schreiber), and the other Kalinin, commanded by Tuvia (Daniel Craig). According to partisan documentation , Bielski fighters from both units killed a total of 381 enemy fighters , sometimes during joint actions with Soviet groups. 50 members of the group were killed. In the summer of 1944, when the Soviet counteroffensive began in Belarus and the area was taken over by the Soviets, the Kalinin unit , numbering 1,230 men, women and children, emerged from the forest and marched into Nowogrodek.Despite their previous collaboration with the Soviets, relations quickly worsened. The NKVD started interrogating the Bielski brothers about the rumours of loot they had reportedly collected during the war, and about their failure to ""implement socialist ideals in the camp"". Asael Bielski (Jamie Bell) was conscripted into the Soviet Red Army and fell in the Battle of Königsberg in 1945. The remaining brothers escaped Soviet-controlled lands, emigrating West. After the war, Tuvia Bielski returned to Poland, then emigrated to present-day Israel in 1945. Tuvia and Zus eventually settled in the United States. They operated a successful trucking business. When Tuvia died in 1987, he was buried in Long Island, NY, but a year later, at the urging of surviving partisans in Israel, he was exhumed and given a hero's funeral at the hillside graveyard in Jerusalem. His wife, Lilka (Alexa Davalos), was buried beside him in 2001 . None of the Bielskis ever sought any recognition or reward for their actions.",7.0,Anonymous,History
Mastering  many languages is normal in Europe,"I've registered here just to write that I'm amazed by some reviews pointing that Zwick was inaccurate or illiterate when making his film. And it's really amusing to read that 'partisans couldn't speak Russian because Naliboki was a Polish town'.Naliboki is a town in the very center of present Belarus. It's a point were cultures mixed. For many centuries everybody here mastered at least 3 languages, and elder Belski spoke 6 of them: Yiddish, Hebrew, Polish, Belarusian, Russian, German. It's not so impossible, I may assure you:)Actually, Russian is appropriate only in episodes when Zus Belski talks to a Soviet partisans' commander - that guy was from Moscow. I'm pretty sure, that in reality Jews talked to their neighbors in Yiddish and got answers in Polish or Belarusian. As for Belskies, they where the only Jewish family in their village, so they should master Slavic languages perfectly.",6.0,Anonymous,History
"Great movie, light on facts","I enjoyed ""Defiance"" immensely -- there was humor and heartache, with a liberal dose of action. Not a brainless action movie, enough of a story to make it memorable, and fast-paced enough to keep me from becoming bored.On the other hand, although the movie captures the spirit of the story, it is far from a documentary, and I'd have preferred a more historically accurate film. I'm biased, though -- I read the Peter Duffy book ""Bielski Brothers"" soon after it was released (""Defiance"" is based on a different book), and I found the real story even more compelling than the Hollywood version.Nonetheless, I live in the real world where directors have to shoot on a budget, and this was a good, diverting peek into a story that was long overdue to be told.",9.0,Anonymous,History
Defiance Tells an Important Story,"Read more at http://FrameRate.blog.comWhen most people learn about World War II during their American History classes, they hear all about the major stories and the major players: D-Day, Eisenhower, the Holocaust, Hitler, Axis vs. Allies, Battle of the Bulge, but there are literally thousands of lesser-known stories from that era that many have not yet heard. It was one such obscure story that is the basis for the film Defiance, starring Daniel Craig.The film begins with a familiar theme -- Nazi soldiers rounding up Jews in Western Europe. The grainy, black-and-white style tells us that this is a true story. However, as events unfold, we realize that this isn't the Holocaust story that we're accustomed to seeing in films like Schindler's List. In fact, it's a story about hundreds of Jews who fight for survival as free men and women in the dense and expansive forests of Nazi-occupied Poland.Daniel Craig gives perhaps one of his best performances as Tuvia Bielski, the eldest of four Jewish brothers and the eventual leader of the Bielski partisans. Although the Bielski's and fellow Jews are forced to watch as their people are rounded up and killed by the Nazis, Tuvia wants to avoid becoming a group of vigilantes. The conflict arises from younger brother Zus (Liev Schreiber) who desperately wants to avenge the deaths of those he loved. Tuvia is conflicted by the knowledge that in extreme circumstances one must often take extreme measures in order to survive and protect others.Throughout the film tension is woven by utilizing a number of different methods, all of which make the movie much more compelling. First, as mentioned, is the conflict between fighting and surviving. Second, is the suspense created by the knowledge that the Nazis are closing in around them. Third is the conflict between the Bielskis and the local police who are loyal to the Nazis. Fourth is the inner struggles the Bielskis face when some of their own decide to cause disagreements and divisions. For those unfamiliar with the story, the fate of the Bielskis is constantly in doubt.The cinematography of the film is gray and muted, reflective of the somber tone of the subject matter. The musical score is reminiscent of John William's score in Schindler's List -- soft and sad with the cello and violin taking the melody. In some ways it feels that Defiance takes its visual cues from Schindler's List as well; there's something about the look of the movie that seems familiar. The battle scenes are similar in style to Saving Private Ryan, complete with the dazed, ringing-in-the-ears experience following a grenade that goes off too close to Tuvia. I would have appreciated a more unique perspective to the aesthetics of the film to coincide with the uniqueness of the story.In all, Defiance is an important story that needs to be heard. Daniel Craig leads a great cast of characters in an emotional journey of community, camaraderie, and hope.",7.0,Anonymous,History
Preview Screening...,"James Bond and Oscar winning director Ed Zwick take on the Nazis.Saw a preview screening of DEFIANCE last week in Woodland Hills. Daniel Craig stars as Tuvia Bielski in the true WWII story of three Jewish brothers who hid in the Belorussian forests and built a community of partisan fighters, saving over 1200 Jews by war's end.Liev Schreiber (Zus Bielski) and Jamie Bell (Asael Bielski) star alongside Craig as his two younger brothers. Both Craig and Schreiber give powerhouse performances as the older brothers competing for leadership, and Jamie Bell, who most recently starred in the abysmal Jumper, gives a surprisingly great performance as well.Zwick has created one of the most beautiful and thought provoking films of his career and definitely one of the most Oscar worthy movies to hit cinemas in years. War and destruction has never been so captivating and moving. There have been dozens of war movies in recent years but none have left me caring so much or feeling so attached to the characters. My eyeballs wouldn't break from the screen for the full 120 mins, and by the film's end, I wasn't ready to stop watching. I can't wait for the release (which appears to be some time this winter) in order to see it again.It's a superb film with a nice balance of heavy hitting action and intense drama, but if that's not enough to make you want to see it, just the fact that these on screen heroes existed in real life definitely make it worth the watch.This is a WWII movie that doesn't hide or glamorize war but shows the intense reality of what happens when people band together against overwhelming evil and survive.A solid 8.5/10",8.0,Anonymous,History
The Bielski Brothers,"During the II World War the Germans invaded the Belarussian soils, initiated there ultimate genocide, partly with the help of local civil servants. Jews are first to be stigmatised, thrown in throes into ghettos from which there is no return. The Bielski family of three peasant Jewish brothers: Tuvia (Daniel Craig), Zus (Liev Schreiber) and Asael (Jamie Bell) are amongst the very few to withstand oppression forming their own brigade in the local forests - aimed at protecting and defending what is left of their kin. Soon become almost folkloric heroes - Jews who fight, not just let themselves be slaughtered by the Nazi forces.Based on historical figures the story is far from meticulous, instead taking vast creative liberties, which - knowing the true history - seems almost a waste of a good story. Some aspects are 'Hollywoodized', but thankfully the backbone remains strong and never backs away from confronting morality during total war with that during peace. The most striking moment in the movie involves Tuvia having to assert his commanding position in the brigade, else all he constructed would be at risk. Reaction must be brutal and relentless, but the reality justifies even cold-blooded murder of one of his own. Such aspects are touched throughout, when severe choices must be made, and the Bielski brothers are sure to make them, a far cry from the more clear-cut actions of Arthur Schindler.In Poland the movie received some criticism for omitting the darker side of Bielski actions, inclusive of fighting Polish freedom militia, but honestly I had no issue with this (the 'russicized' English accents of characters and poor grammar of the tidbits of Russian were much more detrimental), as the brigade was portrayed perfectly as a self-serving and brutal unit devoted to saving those whom they protect, irrespective of external pain they bring. ""Defiance"" ventures into grey areas of heroism, where the saviours are dabbled in blood and far from respectable, instead hateful, vengeful, but at the same time necessary. As the small group expands to a self-sustaining society living in the Belarussian woods, the stance of the brothers grows increasingly and justifiably uncompromising. Although the script attempts to whitewash the Bielskis by offering them lines such as ""We will only take from those who can afford it"", making them into Robin Hood's seemed to trivialise them, instead it would have been better served to follow the logic of survival needs. The feature could have also probably done better without the trivial inclusions of forced dramaturgy or a big getaway with Bielskis figthing tanks, instead staying with the bare basics...Nonetheless ""Defiance"" works best as a fiction, not as a recount of history. Here reading one of the monographes dedicated to the Bielski brothers would be better served.",6.0,Anonymous,History
Nothing Is Impossible to Survive,"In 1941, in Belorussia, the Jewish Bielski brothers succeed in escaping from the massacre of the German in their village where their parents were killed. They hide in the woods and sooner other runaway Jews join them. Tuvia Bielski (Daniel Craig), the eldest brother, assumes the leadership of the survivors and plans a camp with tasks for everyone in the community; however, his brother Zus Bielski (Liev Schreiber) wants to fight against the Germans and does not agree with Tuvia's directions. Zus decides to join the Russian resistance that believes that Jews do not fight. While Tuvia welcomes any survivor in his camp with his two younger brothers and fight for food and ammunition, Zus finds anti- Semitism among the Russian partisans.""Defiance"" is an excellent movie based on a true story that proves that nothing is impossible to survive. Of course, the plot is romanticized, but the merit of these Bielski brothers is undeniable. The direction of Edward Zwick (from ""Blood Diamond"") is outstanding, with the journey of a group of survivors that uses human characters in drama, romance and action in realistic scenes (the battle sequences are amazing). The landscapes are extremely beautiful, especially in the winter with the frozen forest. The cast is magnificent, and is difficult to highlight an individual performance. The beauty of the unknown Alexa Davalos is impressive. My vote is nine.Title (Brazil): ""Um Ato de Liberdade"" (""An Act of Liberty"")",9.0,Anonymous,History
Lies and Incompetence,"Plot: A trio of brothers in Nazi-occupied Belorussia hide in the woods to try and save their fellow Jews whilst fighting the Nazis.Since the Second World War there has always been a certain amount of controversy amongst Jews over the near-total lack of resistance by the Jews to the Holocaust. Many great writers, amongst whom I particularly recommend Vassily Grossman, have tried to work out why the Jews (mostly) didn't fight back. Now comes DEFIANCE which tries to give us heroic Jewish partisans who protect their people and strike out at the Nazis whilst making the sort of speeches about freedom that American films inevitably make, regardless of period or suitability.Unfortunately the film is a lie, which rather undermines its message. In reality the brothers collaborated with the Soviets during the joint Soviet-Nazi invasion of Poland. Understandably their neighbours loathed them for this so when the Nazis came the Bielskis were attacked and driven into the forest. There they set up a camp which gradually attracted more and more refugee Jews. Far from fighting the Nazis and attacking tanks, as the film depicts, they spent most of the war trying to survive. Which meant banditry as they attacked and robbed local villages. Not only that but they joined up with the Soviets again - one of the brothers might even have entered into the NKVD - and betrayed Polish nationalist (anti-Nazi, anti-Soviet) partisans. They even massacred a whole village of Poles on one occasion, even killing the women and children. So, not exactly the heroic freedom fighters the film depicts.Of course the film is also terribly made so that doesn't matter too much. Whilst the script is mere fiction the direction is terrible. Moments that ought to be shocking, such as the discovery of a mass grave, are completely lacking in horror or sensitivity. The usual clichés - white horses, re-enactors with overly-clean uniforms, an ambush threatened when the enemy stop and one of them begins to urinate on the exact bush a partisan is hiding behind - are ticked off one by one. Despite costing several tens of millions of dollars the whole thing looks cheap. The film never achieves the horror, the immediacy or the reality of the partisan lifestyle. Nor is there any feeling of what eking out survival in the forest is really like. It doesn't exactly help either that two of the three leads, Daniel Craig and Jamie Bell, both look more like Nazis than the bad guys. The whole thing carries on in a wholly predictable manner to its obvious and unsatisfying conclusion. Watch COME AND SEE instead.",,Anonymous,History
