title,content,rating,username,genres
One of my all-time favorite movies,"It had been years ago since a movie moved me so much that it had brought tears to my eyes, but I couldn't keep my eyes dry while experiencing Okuribito. The story, acting, music and photography are all very impressive.I guess everyone can in some way relate to the emotions that are conveyed in Okuribito. In my humble opinion this movie is a classic in the likes of Akira Kurosawa's and Yasujiro Ozu's best work: subtle, elegant, serene, soulful, touching and timelessly beautiful. This kind of cinematic storytelling stands high above the usual formula-driven, soulless, commercial Hollywood crap.",9.0,Anonymous,Music
the rituals that sustain us,"Almost three decades since starring in Juzo Itami's classic The Funeral, Tsutomu Yamazaki once more shines in a tale woven around the rituals, traditions and theatre involved in Japanese death rites. The irreverence that makes Itami's classic such a delight is present here. Daigo's first day on the job playing a stiff in a DVD for the funeral business comes back to haunt him in hilarious fashion later on. However, there is also reverence, the film respectfully pointing out that the people who do this necessary but thankless task do not deserve the disdain and revulsion that their profession often attracts.Daigo loses his job as a cellist, returns to his inaka roots and stumbles into a job as an undertaker. Too ashamed to tell his wife, he slowly warms to his apprenticeship under the masterful tutelage of Sasaki. As he goes about his business, the inevitable traumas of a childhood long forgotten bubble to the surface as he goes about re-acquainting himself with the town. The conduit for the negative feelings towards his profession is Daigo's wife Mika, who takes punitive steps on discovering his new employment.Screenwriter Kundo Koyama has to take credit for a script that moves along briskly, juxtaposing black farce with raw tenderness, all done seamlessly, and acutely observed. Lipstick on a corpse produces gales of laughter, and you are reminded that sometimes the best fun is had at funerals. Daigo moves towards a form of reconciliation and redemption through the promptings of those around him, and the comfort of his cello.It would be all too easy for material like this to lurch into sappy sentimentality, but the film tugs at the heartstrings without overtly manipulating its audience. Motoki has to take some plaudits for this for a performance that amuses at times but hints at deep inner turmoil at others. Hirosue is less consistent, at times indulging in the head-bobbing, giggly, saccharine sweet girlishness that is the forte of the Japanese TV drama actress. She has one line in the climactic scene of such stunning obviousness I am surprised it stayed in, but for the most part she redeems herself in the tense interactions with Motoki over their differing views on his new career. Overall, she convinces as the supportive but put-upon wife.From Kurosawa's Ikiru through The Funeral and now Okuribito, Japanese cinema has a rich vein of movies that exploit the rituals of death. How those rituals comfort us, enchant us, and see us through to a place where the pain still exists but might come to an end, is laid bare in Okuribito. It is an absorbing, moving tale, full of laughter and tears, that celebrates the intricate details of a Japanese rites of passage while laying bare their universal function. Best seen in the cinema, to get the full effect of the luscious orchestral score.",8.0,Anonymous,Music
Beautiful Movie- I disagree with reviews,"I have read many reviews on this movie and have been surprised by what I saw. I saw many reviews with comments such as this didn't deserve its Oscar win and that this movie was far from a masterpiece because it was too sentimental and exaggerated.One person proposed showing less scenes of him with the cello, speeding up the movie, and cutting out scenes with long stares. I disagree and believe that this movie is beautiful the way it is. This movie is not overbrimming with sentimentality; it has a good amount for such an emotional film. The scenes with the cello and the birds represent the passion and emotions he feel. We don't call Shakespeare's long poems sentimental so why do we call this work of Japanese art that? The more I heard the music I felt like the more I understood the movie. Western movies sometimes disregard time in movies allowing action to follow action. This movie was simply about the meaning of living knowing that we would die. The long, drawn out silences were necessary to convey emotions. If you have studied many Asian cultures, you know that they convey emotions not through words but through silence. The silences give us time to ponder and think about the questions raised, something we are often not given in bang bang action American films.As a musician, I feel like this whole movie is like song filled with much raw emotion.",10.0,Anonymous,Music
The odd job,"""Okuribito"", literally ""The person who sees off"", is about a supposedly untalented cellist's new job. After returning to hometown as a failure in the music world, he applies for a job with vague description. It turns out to be a job posting for ""encoffiner"", a person who performs rites and rituals before placing the body into the coffin. A 'tainted' job in the eyes of the society, but he eventually develops pride and purpose in this profession.The movie started with subtle humor that had me chuckling for first hour, but I was slowly drawn into the story. It turned out to be a very touching and deep film.The acting in this film was superb. Motoki Tomohiro's performance was especially amazing, hilarious at times, and played the serious and professional scenes very convincingly. I also really liked his narration, which really sets the mood and tone of the following scenes. Yamazaki Tsutomu was also excellent as the protagonist's cool mentor. The film had incredibly nice flow and very well-directed. Music in this movie played a huge role, expressing the protagonist's feelings and harmonized with every scene. It was simply beautiful.This movie gave me a glimpse of the profession of ""encoffiner"", as a very respectable job, as it requires absolute accuracy, professionalism, and the respect for the dead even though it is looked down by the society. It is the encoffiner who sees off a person's last journey after dressing them up. This movie successfully depicts the pride in one's job, and questions the meaning of death.",10.0,Anonymous,Music
A very powerful film,"This film is about an unemployed man taking up a job as a person who prepares body before putting into the coffin.""Departures"" is a beautiful film. It is about the last journey before a person is reduced to ashes, yet it never feels gloomy. In fact, it shows that all humans die one day, and it is how we view it and how those left behind cope with death that matters. Kobayashi treats the bodies with such enormous respect and dignity, which touches me a lot. ""Departures"" is a film to feel. It makes you think and feel about such a taboo topic which is not normally discussed. I commend the filmmakers for making ""Departures"". It's a must see.",,Anonymous,Music
A Nutshell Review: Departures,"By now almost everyone would have heard of this Japanese film Okuribito (Departures), given its win in the recent Academy Awards, clinching the Oscar for Best Foreign Language Film, beating the likes of crowd favourite Waltzing With Bashir, and the Palme D'or winner The Class. And now after watching it, it's no surprise really, because if I were to go tongue in cheek, it's the novelty factor, given that the Academy would never have conceived upon the notion that a film coming from Asia and filled with death, corpses and coffins, would be anything but a horror film. Seriously though, Departures have Awards written all over it, with fine acting complementing a strong story to tell.I suppose the equivalent of a ""casketer"" in local context, would be the embalmer. And it's without a doubt a profession most misunderstood, and shunned because of our innate fear of death. We choose to avoid death where it had gone, and being an embalmer would unlikely be on any kid's wish list of professions. Despite the stereotypical negative connotations, it is a profession that is quite dignified, because the professional is entrusted with the responsibility of helping the loved ones of the deceased cope with the passing on, and to help ease the pain in bringing some colour before the final journey to either the burial ground, or crematorium.Departures demystifies this profession in the Japanese context. And like all things Japanese, the process comes with an elaborate ritual of preparation, cleansing and presentation, all done with great precision, skillful grace and utmost respect for both the deceased, and the family members. The profession depicted here in the film, is one of the highest order, where we see exactly how the casketers go about their job, and the separation of duties with the undertaker.Masahiro Motoki (last seen in The Longest Night in Shanghai) stars as the lead protagonist Daigo Kobayashi, a cellist in an orchestra who dreams of going places around the world with his wife Mika (Ryoko Hirosue) in tow. Unfortunately for him, his orchestra folds and he is forced to sell his expensive white elephant since he doubts he could make his passion into a successful career. Dejected, he convinces his wife to retreat back into the small town he came from, living in the house his late mother had left behind, in order to start a new life. Little did he know when responding to a job classifieds that a typo had given him the impression he would be in a career that involves travel. The boss of the shop Ikuei Sasaki (Tsutomu Yamazaki) hires him on instinct, and as the saying goes, the rest is history.For the curious, the film is an excellent medium to showcase the profession and to do so in good light. We come to learn the craft behind the job, and the necessity of it all, be it dealing with grieving family members, or taking care of bodies that are bound for autopsies. Departures paints through Daigo's experience, the varying spectrum of emotions that one as a service provider would have to face, as we journey with him from novice level. All's not doom and gloom of course, as director Yujiro Takita paced the film with well meaning humour  again never slapstick or disrespectful  throughout the narrative.The story by Kundo Koyama also excellently portrayed Daigo's relationships with his wife and with his mentor, where the former was like a rubber band waiting to snap because of Daigo's deliberate attempts to not tell his lovely wife what he's up to for a career in order to shield her from the taboo. With the latter from whom he picks up the tools of the trade from, there's a surrogate father figure which he never had while growing up, resulting in some pent up hatred toward his dad who walked out on the family when he was young.It's an extremely moving piece of drama that doesn't get bogged down by melodrama, and I thoroughly enjoyed its themes of reconciliation, forgiveness and best of all, being a professional and serving with pride. It's a fantastically crafted film with an excellent cast all round, and shatters all taboos that come with the profession of a ""casketer"". I know it's cliché to say this, but Departures will be a strong contender when I compile my list of top films for the year. It's been some time already where I'm equally entertained and moved by a film, and without a doubt, do not let this depart from our local cinemas before you get a chance to watch it on the big screen. Highly recommended!",10.0,Anonymous,Music
Marvellous!!! One of the best movies I've ever seen!!!,"Probably the best movie I've ever seen. I have seen it at the 32nd Montreal World Film Festival and I hope it'll be well awarded! Even though the plot line is the ""death"", it's done with such kindness, softness and emotion (every little thing in the Japanese culture is made like a piece of art) and being able to make us feel so much emotions concerning the subject was really enjoyable. It's really a must see, the music is so captivating in every moment of grief. I had to hold my tears 5 times at least. I was also glad to see Tsutomu Yamazaki, I hadn't saw him since Tampopo... that was years ago (there are not a lot of Japanese movies to see in french theaters.)",10.0,Anonymous,Music
Mediocre,"Last year's Best Foreign Film winner at the Academy Awards. It's exactly the kind of film they like: sweet, simple and uninspired. Seriously, Japan can do so much better than this. Masahiro Motoki (great in Tsukamoto's Gemini and Miike's The Bird People in China) stars as an out-of-work cellist who takes a job at a funeral home. Those who prepare the dead in Japan have historically been met with great prejudices. People just don't trust people in Japan who touch the dead and make their living off of misery. So Motoki fights prejudice, even loses his wife (the adorable Ryoko Hirosue) for a while. Eventually, he discovers that the service he is providing is valuable and helps people. The film isn't bad, really. It's just nothing special and occasionally schmaltzy. The only thing I really liked was Jo Hisaishi's musical score. There's one piece during a montage that's especially killer.",6.0,Anonymous,Music
Anyone else think this was terrible?,"I read through most of the external reviews I usually read - Ebert, The Village Voice etc., and looked through the user's comments... It seems everybody has been swept away by this tidal wave of schmaltz! I'm hoping it's simply that those who feel like me just haven't bothered to write. (Ebert has long become sentimental with age...) Isn't this film SO affected, so infantile in its sentimentality? Yes it has a core of beauty, and the potential for being a superb, emotionally devastating film. But it isn't. It's a waste of its material. The one positive element was the ceremony, which at certain moments in the film was protected by a tone of solemnity from the lavish, exaggerated, coarse emotional manipulation on a level with the sappiest soap opera. Another perhaps was the undertaker boss. How very sad. I wish a good director would do a remake and turn it into the polished gem it could have been. But as it is - how can so many people buy into this? Where are the critics??!",2.0,Anonymous,Music
"Remarkable Movie, Deserved the Oscar","Many things can be told about this movie;How it remarkably handle the ""Dead"" issue, Meaning of life, family relations etc... But What I've mostly grasped from the movie is (I also witnessed that during my 6 months of stay in Japan) that the way the Japanese people do their job. Absolutely devoted, in perfect patience and discipline. No matter What they are doing and What the salary is... They could be a Waitress,a Garbage man or as in the movie; an encoffiner. They just concentrate and do their job. So if you got bored from your job, I simply recommend you watch this movie and compare yourself with the Guy in the Lead role.And think again.",9.0,Anonymous,Music
