title,content,rating,username,genres
Nobody gives Baby a low rating,"Dirty Dancing is a classic film that is so memorable that it is hard to say anything negative about it.It has a reasonable plot but is accompanied by an immortal soundtrack and moments that make this film remarkable. Herein lies it's value as it can be revisited for positive memories and a soundtrack second to none. While many will argue Schindler's list or 12 Years A Slave is a superior film not many will agree you can revisit or watch it over again. The songs featured in this classic will be included on our iPod's and play on the radios for years to come. We will never forget when Patrick Swayze hoisted Jennifer Grey up for the dance sequence at the end, timeless moments that keep this film alive and memorable.Dirty Dancing in its essence is a film about letting go of strict societal norms and letting the music embrace you. You dance and feel the beat as opposed to observing rules and steps, the music dictates the rhythm and mood. Perhaps this iconic film was significant in the departure from traditional dancing as fewer people know dancing. Dancing as we see in modern movies or real life is people moving to the music without any defined steps, perhaps started by this iconic film.This film is a must see and should be on your bucket list. It is easy to understand and easy to get lost in this great soundtrack.",7.0,Anonymous,"Music, Romance"
Forbidden Dance,"Is the movie predictable? Does it ooze with Cliches? Might it annoy you with its romantic/soft tones? Well the latter question is one only you can answer ... the other ones are quite easy to answer. No matter if you like the movie or not ... but it is beloved for many reasons. One that is not mentioned enough is the soundtrack! Just great songs all the way through.The other obvious reasons are the main actors/characters. You have Patrick Swayze - the hot rebel ... hard on the inside, soft as cotton on the inside. So frail that some men may have quite a few issues with him. But this is not aimed at any macho loving public - this is aimed at women! And their fantasy - most of them that is, because as with men you can't say they are all the same.The fact that this man, who seems so full of confidence has no idea ... makes him more than attractive to women ... and some men of course. Let's not forget about them as well. So while you can dissect this really easy ... you can also just enjoy the romp - and maybe carry a watermelon ... although you probably are more likely to get excited about the nobody puts baby in the corner line ... if you don't get goosebumps towards the end ... well it is an indication that you probably won't like the movie as much.A clash of rich and poor ... of sex through dance ... those motions ... those hip movements ... there was a time where this was not only dirty dancing, but also illegal dancing ... good thing we do not live in a time like that, right? That aside, the movie really is quite the experience ... in a really good sense.",8.0,Anonymous,"Music, Romance"
Perfection,"One word sums up this film ""Perfection"". That's it really!! I saw this film in 1987 when it was released and was completely blown away and like Baby I fell in love with Johnny and Patrick Swayze. It has such classic lines as ""I carried a watermelon"" and ""Nobody puts Baby in the corner"" and too many others to mention. I loved the story, the characters, the setting, the dancing, and well  the music was phenomenal not one bad song in the whole soundtrack. It just shows that you don't have to spend a fortune to make a great film. Thank you to the cast and crew for making such a wonderful film which makes me smile like a Cheshire cat whenever I watch it.",10.0,Anonymous,"Music, Romance"
Awesome Kick ass Dancing Techniques,"You cant get any better then this, Mr Jeffries!!  Patrick Swayze is hot and Jen Grey portrays the role of Baby nicely....the dancing rocks and the music is slamming GO Baby GO!!!",,Anonymous,"Music, Romance"
The appeal is undeniable,"I really didn't understand ""Dirty Dancing"" on that first viewing, I freely come clean on that. I tended to get hung up on the more ""fanciful"" elements and really missed the point. Baby's is a coming-of-age story, and it's one that has some real heart. And then the father-daughter subplot kicks in and it's got me; I'm a sucker for that. Also for Hungry Eyes, apparently (best song on the soundtrack, ya ask me).Speaking of which, the music in this movie is incredible. And considering the soundtrack dominated the airwaves for a good deal of 1987, it's readily apparent how this film was a cultural force. I was too young to appreciate that, but I'm not anymore.Swayze and Grey are electric, and the story goes that their working relationship was fraught with fiction. Knowing this, I can absolutely appreciate the work they put into this and the results speak for themselves.",7.0,Anonymous,"Music, Romance"
Some kind of wonderful,"I don't really know what it is about Dirty Dancing.. there is some sort of absolute magic in this movie.. I cannot possibly recount the hundreds (yes, hundreds)of times I've watched it, beginning to end... but every time I do come upon it on TV, I am entranced and mystified and sit myself down and there I am, for two hours, loving the movie as if I'm watching it for the first time. Although Patrick Swayze and Jennifer Grey absolutely hated each other throughout the making of this film, they possess a beautiful chemistry on the set.. it makes the viewer enjoy it that much more, to see this passion and commitment.. and I can't help tearing up a tiny bit at the end, when Patrick comes up to the Houseman family and tells her dad, ""Nobody puts Baby in a corner"". (classic moment) For all those people who believe this movie is corny and sappy, maybe in a way it is, but it was the penicle of the 80's films, and put Patrick Swayze right on the map; his performance was immaculate.Three Cheers for Dirty Dancing !!Ps- The soundtrack is fantastic, an absolute masterpiece",10.0,Anonymous,"Music, Romance"
dirty dancing,"Dirty dancing is one iconic musical dance based film of 80s and defienetly one of most regonasable films of all time,and how it wont be when it is full of great iconic songs and great dance moving and chereography,swayze is incredible to look at in this film since he was convincing in every dance moment,dirty dancing is one of best films of this type only revealed by footloose at least for me,chemisty between leads was glowing and it can be felt over the screen,my flaw is only that our leads fall in love to fast that could be solved by longer runtime but then some moments would dragged,dirty dancing is a romantic type of film that is worthy watching it with your date or alone you will still be satisfayed after end",7.0,Anonymous,"Music, Romance"
"Original 'Feel good"" dance epic -- often imitated Never Duplicated","This is one of those rare rare films that needs a 30 year break between the time of production and the time of the review in order to appreciate it.Since 1987 I have seen this film 7 or 8 times. Each time it just gets better. As a Prolific Review here on the IMDb, I can count on the fingers of one hand the number of films that improve with age like that.This is literally the original ""feel good"" dance film -- which spawned dozens if not hundreds of imitations. The script is perfect. The acting is perfect. The casting is perfect. The direction is perfect. And the music score is to die for.Nobody puts Baby in a corner? Well, nobody should ignore this film either! Also has an odd note of the ""one hit wonder"" label about it, which in my view only makes it more of a treat than it already is.Swayze's career was unfortunately cut short. Jennifer Grey, who practically made this role a part of her DNA, had a nose job and (the cynics say) lost a lot of later roles because the casting directors were afraid no one would recognize her. And the brilliant writer/Producer Elenor Bergstein for whom this was a labor of love (there was a documentary on this) also seemed to hang up her spurs when production wrapped.The IMDb rating is a joke. This is no less a classic in its genre than Maltese Falcon or the Matrix.See it, rent it, buy it. But don't forget it.((Designated ""IMDb Top Reviewer."" Please check out my list ""167+ Nearly-Perfect Movies (with the occasional Anime or TV miniseries) you can/should see again and again (1932 to the present))",10.0,Anonymous,"Music, Romance"
"More than 30 years later, the song remains a hit","It's been a solid 35 years since ""I've had the time of my life"" took the world by storm, and it's one of a handful of songs that are still randomly played on radio stations across the states today. If that's not standing-ovation worthy, I don't know what is.",7.0,Anonymous,"Music, Romance"
Very Over-Rated,"This is not a good film by an standards.  It is very poorly written and the acting is just a little above par (some performances are well below par, but Swayze and Grey do a very good job with little to work with).What was good:The dance sequences were choreographed very well and, as stated above, Swayze and Grey were high points.What was bad:The script.  The ""bad"" guys were simply too evil to be believable.  The best villains are the ones who aren't so obviously evil.  These guys (the owner's nephew, the waiter who impregnates the girl) do and say NOTHING that would leave me to believe they could be real people (perhaps there are guys like them, but I sure don't want to see a movie about it).Another scene, the first where Grey and Swayze meet when the employees at the resort are ""dancing"".  Swayze and Grey dance together and seem to enjoy themselves.  The next time they meet, Swayze is hostile towards her.  Why? What happened in between to make him dislike her so when they danced well together?And some of those lines, I mean COME ON (I cringed at the end when Swayze muttered the line ""Nobody puts baby in the corner"".  How did he EVER do that with a straight face.)Another thing wrong, the setting of the 1960's.  Everyone looked and dressed like the 1980's!  Who was in charge of the costumes and hairstyles?The music (original music for the film) was laughable (with the exception of ""I Had the Time of My Life"" which was a good song).Not the worst film I've ever seen, but DEFINITELY the most over-rated",3.0,Anonymous,"Music, Romance"
