title,content,rating,username,genres
Most amazing CGI ever,"The Jungle book won the Oscar for best visual effect, without a doubt it was very great.. but everything was predictable, it was just perfectly done. However, what Doctor Strange did was more than perfectly done, it's about the most craziest imagination that anyone had ever done in movie industry up to date.",8.0,Anonymous,"Action, Adventure, Fantasy"
"""We never lose our demons, we only learn to live above them""","I'm not a big fan of Marvel and, in my opinion, their movies are mostly overrated. This one isn't. This is probably the second best Marvel movie, after ""Guardians of the Galaxy"". If you expect a movie to have depth and the point, you should skip, not only this one, but whole Marvel production, but if you are looking for fun you are at the right place. Visually it is amazing. I recommend watching it in theater or at least on a TV as big as possible. Standard computer monitors or, God forbid, tablets are out of question. Although 90% of this movie is pure action and fighting scenes, compared to most of the genre, story and characterization are more complete and Benedict and Tilda are excellent. Sure, like in all Marvel movies, there is a certain amount of humor and finale is one of the funniest things I have ever seen in Marvel movies. The way Strange finally defeats the enemy is at the same time unbelievably stupid, unbelievably clever and funny to tears. I gave it 8/10 within all the movies I ever watched, but within the genre, it is pure 10/10.8/10",8.0,Anonymous,"Action, Adventure, Fantasy"
Great,"I was not prepared for the visuals this movie offered. Nevertheless, I absorbed it in its full glory. It was easy to enjoy this movie not only because of its visuals but also because of the quirkiness and lovable characters. A must-watch!",,Anonymous,"Action, Adventure, Fantasy"
One of Marvel's best,"This movie is fantastic. I truly enjoyed watching it!Unlike most other movies of Marvel franchise, there is a heavy emphasis on character development. This keeps audience glued to the story on a deep cellular level.The movie is littered with spiritual themes which adds further depth to this already amazing story.Those who like movies and TV series of medical genre are in for a treat. As the title suggests the story involves a doctor.I also like how the story blends in and moves forward, in prefect synchronization. Particularly given the complexity of the plot. Quite a tribute to the three screenwriters.Great movie, can't wait for the next one!",10.0,Anonymous,"Action, Adventure, Fantasy"
A good entry into the MCU,"This one holds up surprisingly well on a rewatch. I was bummed to find some of the effects already looking dated in Civil War, but almost all of the visual effects-heavy shots in Doctor Strange hold up (probably thanks to how fantastical and decidedly not grounded in reality many of those shots are).There are some very cool visuals and set pieces, the cast is very good, and it's paced well, clocking in well under two hours if you factor out the almost 10 minutes of credits.Despite mostly working, I'd say as a screenplay it doesn't quite feel 100% satisfying, and great actors like Mikkelsen and Swinton are good but kind of under-utilised (Chiwetel Ejiofor is good but maybe goes a little too hard? He kinda sounds like a voice actor from the Elder Scrolls, the way he speaks in some scenes 😅)",7.0,Anonymous,"Action, Adventure, Fantasy"
Lots of magical and wondrous amazement!,"This movie's CGI is quite impressive and how well done the action scenes are, along with the origin of this character and the deeper messages provided regarding growth beyond limitations. Plus, an intimidating and cool villain who you can actually somewhat get! An impressive finally as well!",8.0,Anonymous,"Action, Adventure, Fantasy"
"More of the Same, But Different!","Perfectly enjoyable fun. Sound familiar? Doctor Strange being a different kind of hero doesn't really excuse most of this film's conventional plotting.There's a much more interesting film in here, one in which Mads Mikkelsen isn't the main villain (yet) and getting in the way of the hero's journey and in which Tilda Swinton is even more ambiguous. Her obvious parallels to Stephen are perfectly apt and yet not allowed enough time to breathe and spin. It's all a last minute reveal and then a call to arms because plot and all is well because plot.A lot has been made of the ""trippy"" special effects, and I guess they are compared to the traditional visuals employed in these types of movies. But let's not get carried away. Besides the travels through space and mind it's mostly buildings moving around like they're in Inception.I didn't buy the last end credits scene. Useless and not earned. I'm sick of hero's with photographic memories. Let the hero be exceptional on their own merits. Action scenes could be less choppily edited. But still, it's fun in ways other recent Marvel movies haven't been.",7.0,Anonymous,"Action, Adventure, Fantasy"
Well worth expanding your mind for,"Saw 'Doctor Strange' (although fairly late perhaps) because of liking the cast a great deal, who can argue with Benedict Cumberbatch and Tilda Swinton, and having liked a lot of what Marvel has done, something that one doesn't see people saying a lot here.'Doctor Strange' is not a perfect film, but to me it was a thoroughly enjoyable one and is one of Marvel's best. Lets begin with the things that from personal opinion didn't quite work. Rachel McAdams does do a good job with what she has, but the character was underused and underwritten. Her screen time, while essential, was not large and her development was sketchy at best. Strange mastering magic does happen too fast, didn't buy how rushed that aspect was, and while there are a lot of fun and witty moments a few jokes felt random and out of place (i.e. Beyoncé).However, the cast are a major asset. Had reservations about McAdams's character but not with her performance. Benedict Cumberbatch really makes the interesting title character his own and knocks it out the park. The standout of the rest of the cast is Tilda Swinton, wonderfully mysterious as the film's most interesting character and played with relish by her.Chiwetel Ejiofor has a charismatic intensity and Benedict Wong has fun and enjoyed his chemistry with Cumberbatch. Do think that the villain Kaecilius could have been explored in more depth, but Mads Mikkelsen is intriguingly menacing.The story, making the most of a great innovative concept, is never dull and is told with absorbing atmosphere, exuberance and very rarely sacrifices coherence or credulity. There are some really interesting ideas here, explored with thought-provoking intelligence. The action excites and thrills, as well as being visually stunning, instead of being drawn out even though quite long the climax is great fun to watch (or at least it was to me).'Doctor Strange's' script has emotion, wit and tension and although he doesn't have the character growth one would like Strange is a well realised character and Cumberbatch has a lot to thank for that. The music score has great intensity, rousing excitement and nuance and Scott Derrickson clearly engaged hugely with the material.Where 'Doctor Strange' is particularly good is in the production values. It's very stylishly shot and edited and handsomely mounted in production design but it's the incredible special effects (particularly jaw-dropping in the climax) that take centre stage.Overall, while not quite finding it a masterpiece of film-making and having a few problems with it 'Doctor Strange' was a thoroughly enjoyable film and among Marvel's best. 8/10 Bethany Cox",8.0,Anonymous,"Action, Adventure, Fantasy"
Amazing Special Effects but that's it.,"This film is incredibly pleasing to look at but not so much to watch. Whilst Benedict is an amazing actor it is just not shown here. The villain is weak, script is poor and some of the attempted humour is just not funny.",6.0,Anonymous,"Action, Adventure, Fantasy"
My review after second watch,Revisited this beauty today.I forgot how massive this movie was with very well-done CGI works. It's just awesome. Normally this amount of visual effects would tire my eyes but they managed how to not do that to the audience by using a very professionally made color grading.Don't think I NEED to mention how Benedict Cumberbatch fits his role. It's like he was born to play Doctor Strange.,9.0,Anonymous,"Action, Adventure, Fantasy"
visually mind-blowing,"In terms of the quality of the film as a whole, I would give Doctor Strange a 7, but because of its visual effects and implications for the Marvel Cinematic Universe, I am totally giving it an 8. Let me explain.Watching this in theaters with the sometimes too-loud sound, seeing the buildings and streets give way and rotate and otherwise bend themselves completely to a person's whim, immediately made me think of Inception. But this was even more hectic. This wasn't imaginary, this was real.Another thing. Finally in the MCU we have some sorcery, direct utilization of magical energy for combat. Discussion of other dimensions; even traveling between them at will. Doctor Strange's final outfit is just wicked cool. If you know the character from the Marvel comics, then you'll know that he's pretty damn powerful. Unfortunately this is an origins film, that is, it reveals how Doctor Strange became Doctor Strange the Sorcerer Supreme; the real deal will come in the third Avengers film hopefully.As a follower of the MCU who's seen basically all of the released films to date, I was eagerly awaiting this one, and I was not dissatisfied. The music was riveting as usual per a Marvel film (Giacchino), the fight sequences intense, the otherworldly conflicts enormous. I'm so glad this guy's joining the Avengers in their imminent battle with Thanos, or at least I'm pretty sure he is. Now all that being said, Doctor Strange wouldn't fall in my top 5 MCU films; Captain America, Avengers 2, for example were much better, but it's part of the MCU, and therefore is a must-see for any MCU fan.I also noticed a lot more wit and almost off-character humor in this film than in other MCU films. And of course, as all the MCU films are taking place chronologically within the same universe (or multiverse?), there are several references to the bigger pictures, i.e. the Avengers.",8.0,Anonymous,"Action, Adventure, Fantasy"
"Visual effects that spoil the eye and Scott's good direction, this film makes us enchanted with beauty.","Marvel Studios' ""Doctor Strange"" offers very few insights into the childhood of its main character. It's safe to assume it wasn't easy growing up with a name like Stephen Strange. Perhaps that explains the complex that has driven Strange to become such an arrogant neurosurgeon.The studio has created a thrilling existential dilemma in which its flawed hero's personal search for purpose dovetails beautifully with forays into the occult New Age realm of magic and sorcery where Doctor Strange ultimately finds his calling.Marvel movies are all starting to look and sound the same, boasting bright primary colors and magic-hour lighting. Like the original pulp comics, they're printed with a standard four-color process that permitted a very limited palette. Feige deserves credit for bringing a master plan to Marvel's big-screen slate.Director Scott Derrickson's film follows ""Spider-Man"" helmer Sam Raimi from the world of schlock horror. IMAX audiences will benefit from more than an hour of footage captured on Sony's large-format digital cameras.The film is one of the best Marvel films to date, with an in-on-the-joke script that navigates major plot potholes.",7.0,Anonymous,"Action, Adventure, Fantasy"
