title,content,rating,username,genres
Capturing the spirit,"For a teenager today, Dunkirk must seem even more distant than the Boer War did to my generation growing up just after WW2. For some, Christopher Nolan's film may be the most they will know about the event.But it's enough in some ways because even if it doesn't show everything that happened, maybe it goes as close as a film could to letting you know how it felt.""Dunkirk"" focuses on a number of characters who are inside the event, living it minute by minute.Tommy, the soldier at the centre of the story, seems at first glance to be the antithesis of the Dunkirk legend. Maybe he fits a New Millennium sensibility rather than a 1940's one, more like a contestant on ""Survivor"". He does show initiative, but a soldier who throws away his weapon then ""helps"" wounded to the rear risked a court martial in every army from the Roman Legions on. The lines of stoic soldiers waiting patiently on the beach, the enduring image of the evacuation, seem almost like a backdrop as Tommy and his mate run through them.The man who embodies the spirit to the full is Dawson, the civilian captain of the Moonstone. He is the sort of man who wins wars; the bloke who sticks to the task when others buckle under pressure; ""There's no hiding from this thing son,"" he says to an officer whose nerve has cracked, all the while steering his little boat towards Dunkirk.The scenes of aerial combat look so real it makes all other depictions pale in comparison. Peter Jackson once planned to do a remake of ""The Dam Busters"", but possibly Christopher Nolan would add another dimension to the retelling.
The brilliant special effects serve the story. Much of the panorama of Dunkirk is glimpsed almost incidentally from the cockpit of fighter planes or by men struggling in the water.There are surprises for anyone who thinks they know the story or have seen documentaries or other recreations of the event; it's very different to the crowded Dunkirk of ""Atonement"".An unsettling score helps heighten the tension in a film that has you holding your breath in scene after scene.This is a film that demands more than one viewing.",9.0,Anonymous,"Action, Drama, History"
A technical masterpiece that is nearly devoid of palpable emotion and compelling characters.,"Might as well get right to it, then. At the risk of sounding like a contrarian, I did not love this film. Do I love elements of this? Yes. Is this a 5-star masterpiece? Unfortunately, no.The cinematography here at least, is masterful. Director Christopher Nolan has, without a doubt, reached the pinnacle of on-screen spectacle here. The feats of practical effects in this film are breathtaking. The casting of nearly 6,000 extras, authentic WWII vehicles, and shooting on location in Dunkirk, France contribute to a great sense of scale here. There is ongoing trend of action films in recent years of relying on CGI, and thankfully Nolan bucks that trend.Similar to War for the Planet of the Apes, much of the film plays out without much dialogue, leaning on just the score and sound design in most scenes. It almost goes without saying that Hans Zimmer delivers with another incredible score. The sound design is also extremely well crafted, which, paired with Nolan's great work behind the camera, truly transports you to the Battle of Dunkirk. The wailing of planes passing above, the drone of gunfire, and the roar of explosions all contribute to the complete immersion into the world these characters are trapped in. This results in some of the most immersive wartime action scenes since Saving Private Ryan.This film has and will continue to be compared to World War II classic Saving Private Ryan. Both films are beautifully filmed WWII period pieces with casts that deliver great performances. The similarities end there. Whereas Saving Private Ryan was engrossing as a narrative due to it's characters with depth and arcs, Dunkirk instead leans on it's subject matter and spectacle.And while the subject matter of Dunkirk is fascinating, as a film it lacks emotional firepower due to the absence of a strongly written protagonist. This is strangely uncharacteristic of a director of Nolan's caliber, especially when you recall the complex character work in his most acclaimed films: The Dark Knight, Memento, and The Prestige. Instead of focusing on a single character or single group of characters, the focus is spread across three protagonists in completely different situations. Showing the Dunkirk Evacuation through the three different perspectives of those on the beach, the sea, and the air is only an interesting proposition on paper. The narrative, due to this writing choice, is spread far too thin, with few characters getting enough screen time to develop even the mildest emotional connection.While the characters in this film aren't written to even remotely be compelling, the great work from this cast is not to be overlooked. Harry Styles, known for being a member of English boy band One Direction, is surprisingly excellent here in his acting debut. Mark Rylance, Kenneth Branagh, and Fionn Whitehead also all give standout performances despite the limited screen time they are given.I should love this film. Historical drama? WWII setting? My favorite director Christopher Nolan? Amazing cinematography? Superb performances from an ensemble cast? All of these elements made me sure I would love this going in. But, Dunkirk's lack of emotional connection severely detracts from the awe-inspiring scope and technical prowess displayed.If I reviewed based on visuals alone, this is a slam-dunk, walk-off home run of a 5-star film. While a focus on grandeur and situation over character depth and emotion may work for some (it obviously worked for 98% of critics on Rotten Tomatoes), it did not work for this critic.This is without a doubt a cinematic achievement, but without an emotional core, it's impossible for this film not to feel cold and empty. Despite being a technical masterpiece, this is Christopher Nolan's most disappointing film yet.",7.0,Anonymous,"Action, Drama, History"
"A tough, tough film to watch...and an amazing film was well.","Before you decide to watch ""Dunkirk"" I have a bit of a warning. While you would expect death and blood in a war film, some of the scenes in the film are amazingly tough to watch. There's actually very little blood, but there are some drowning scenes which are intense and awful. Now I am not saying don't watch it...just be prepared.The story is a retelling of the escape of the British* from the beaches of Dunkirk. The German army was coming and the combined British and French forces were trapped with little apparent chance to escape. And, as an army of over 300,000 Brits dug in and waited, the Luftwaffe began chipping away at them....and ultimately would have killed and/or captured them all if it wasn't for a rag-tag flotilla of private boats which hastily arrived and spirited away about 80-90% of the men.By the way, early in the film you hear someone speaking to the pilot (Tom Hardy) over the radio. The voice is that of Michael Caine....an odd and brief cameo.The story is gripping, well told and brilliant. I have only one complaint, and I am surprised it made it to the film considering how amazing a director Christopher Nolan is. At one point, the scene switches between some men in a boat being attacked and a private yacht rescuing downed pilots. The scenes kept switching back and forth....but one was clearly at night and the other clearly was in daylight. This really didn't make any sense. Still, otherwise an amazing spectacle...a truly amazing war film.",9.0,Anonymous,"Action, Drama, History"
"A short review with a longer explanation of why its OK that this movie didn't have any ""characters""","Dunkirk is, in my opinion, yet another masterpiece from mastermind Christopher Nolan. Since everything that is brilliant about the film has already been said I will briefly write what I think of the film and also touch on a topic that some people are criticizing the movie for.The fantastically directed film is told from 3 perspectives non chronologically. It superbly tackles the narrative and the non linear story doesn't at all pull you away from the intensity of the events happening on screen that don't stop from 00:00 to the last scene. Hans Zimmer most likely gives one of the most fitting scores for a war film ever. Sometimes there is only one note playing followed by heartbeat sounds and a ticking clock while other times a massive orchestra is interpreting what is going on on screen. The movie brilliantly projects the feeling of each and every soldier on the beach to the audience. Confusion, turmoil and fear. The cinematography was breathtaking and I felt anxious throughout most of the run time. There is no lead in this film and I can't really say anyone stuck out as giving a brilliant performance because it wasn't needed and I'll explain why.The biggest criticisms of Dunkirk that I've heard of so far are that the characters are lacking in depth and that we aren't given anything to be invested in them. I feel like Nolan was trying (successfully) to make the audience care for each and every one of the men on the beach. He needed to have some form of ""main characters"" to be in the story so that we can see the events unfold from the direct perspective of all of the soldiers. Usually in war films (I'll use saving private Ryan as an example) the plot revolves around certain soldiers (like Cpt. Miller and Ryan) being in a war and doing things in the war but its still about THEM not THE WAR as much. In my opinion Dunkirk is a telling the STORY OF DUNKIRK. Not of Harry Style's character or Tom Hardy's character but of Dunkirk. What any of the ""main characters"" felt, every other soldier felt. Nolan resorted more to film-making techniques to tell the story rather than dialogue and that is why some people might have had a problem with the lack of character depth but realistically this type of terrible event wouldn't be a place for someone to ""develop"" as a character but rather a event where MEN WANTED ONLY SURVIVAL, and Nolan showed that perfectly. As for what the top review of Dunkirk on IMDb says about 'lack of emotion' in the film, I believe this to be a completely incorrect statement. Maybe he was referring to the lack of 'brotherhood amongst men' or the feeling of moral or something epic like that. Again the longing for the 'Saving Private Ryan' format of war films. What the reviewer fails to see is that realistically there was NO emotion on that beach besides fear and confusion. And I can safely say that Nolan and Zimmer and the DP all successfully gave us those feelings.9.5/10",10.0,Anonymous,"Action, Drama, History"
"All these bad reviews are a reflection of current media consumption trends and the attention span of the average consumer, not the movie itself","I guess I shouldn't be surprised how many people don't like this movie in an era of CGI, reboots, remakes, sequels, prequels, and generally easy to digest movies/tv shows. This is a real Christopher Nolan movie, not a Batman, but a real Christopher Nolan movie like Memento or Prestige. Watch it a few times. Pay attention to the details. Appreciate the sensory experience.Most of these bad reviews are because the person watched it once and was upset they weren't spoon fed every aspect of the characters and story. There is a ton of characterization and a great story but you have to pay attention.",10.0,Anonymous,"Action, Drama, History"
"Unapologetically, I can say this is one of the best war movies ever made","If you read through the swarm of negative reviews, you might notice a common theme: boring, dull, lack of characters. It's incredibly disappointing that they seemed the miss the entire point of the film.This is not a film about heroic soldiers triumphing against all odds while blowing up Nazis with transformer-esque explosions.This is a movie about scenes, not characters. -and every scene is memorable, from the bombings to the torpedoes to the aerial dogfights. My co-worker, who is obsessed with WW2 planes, noted how incredibly perfect they got the British Supermarine Spitfire from the roar of the Rolls-Royce engine to the rattle of the components in the cabin. The accuracy and intensity of the dogfight was captured perfectly as well, mimicking the aerial maneuvers, firepower and damage in a realistic and dramatic fashion. The torpedoes noticed only moments before impact with it's slow monotonous movement sent chills of realization down my spine. Even in the beginning of the film, the way in which the Nazi leaflets were presented gave you some glimpse into the panic and anxiety felt by those soldiers.I felt the ""lack of characters"" was realistic and served the film as well. War is not about larger-than-life personalities with specialized weapons being bad-asses. It's about nameless and faceless soldiers facing an existential crisis, the possibility of randomized death, and how they can either respond with despair or hope.If you want characters you can root for and a happy ending where the bad guy in vanquished, then there are plenty of movies for you. But if you want a small glimpse into the despair, anxiety, hope, courage, and will of the British WW2 fighters then there is no better film ever made than this one.",10.0,Anonymous,"Action, Drama, History"
Micro as opposed to macro version of the battle,"Saw an early screening tonight in Denver.I don't know where to begin. So I will start at the weakest link. The acting. Still great, but any passable actor could have been given any of the major roles and done a great job. I know almost no more about the battle of Dunkirk after seeing the film than I did before, and I am not exactly a WWII historian. Truth be told, I learned all I know about the battle of Dunkirk from the movie poster. Does that weaken the film? Hell no, this is a film about survival. The opening scene tells it all and sets the stage as we get our first glimpse into a young soldier's need to stay alive, and his creative attempts to do so. That actor may even be considered the main character of the film. More words have been written so far in this review than he speaks. And I have no clue who the actor in that role is. It is humorous that Tom Hardy looks like Bane through most the film in the role of a pilot wearing an oxygen mask throughout. Kenneth Branagh is the only officer with any lines in the film, so that should give you an idea of the POV that we experience. We are the enlisted man trying to find a way to stay alive in a chaotic and harrowing battle. Though I believe Dunkirk will win every single technical Oscar, I would be surprised if it has any acting nominations at all.How does Nolan elevate this above other films of a similar nature? I think he says it best himself, when he describes Dunkirk as a thriller more than a war film. He pulls that off superbly.When a ship starts to take in water as numerous bullets penetrate its hull, I wanted to jump out of my seat and cover up the holes myself.The film has three separate stories that are titled Mole, Sea and Air. And we all know where Moles live. The way the narratives of the three stories unfold and how they are all tied together is what makes the film a masterpiece. Much has been said about Nolan using IMAX film cameras and how the film is enriched by this. I don't know. I doubt I saw actual film being projected at my screening. Every frame looked terrific though.So what is the most superlative aspect of the film? Gotta be the soundtrack. Hans Zimmer will win the Oscar for this without a doubt. So , so brilliant. This is not a soundtrack that I would buy at the store and play on my stereo. This is a soundtrack that weaves throughout the three narratives seamlessly and creates this phenomenal sense of tension. There are times when a two or three minute tense orchestral passage plays continuously as the story shifts from the ground to the sea then to the air and the music draws the three stories together. Zimmer's soundtrack reminds me of the way that Bernard Hermann's work was so vitally important in building suspense in most Hitchcock films. Though that description almost sells Zimmer short. His soundtrack is that good.I don't think this is a film that will retain even half of its strength in your home theater. No folks, this is a film that you cough up for an overpriced IMAX ticket and rationalize it by knowing that experiencing Dunkirk in any other fashion will just not cut it.",10.0,Anonymous,"Action, Drama, History"
An absolutely outstanding depiction of a truly horrific event.,"I am always relatively confident that I'll enjoy the work of Christopher Nolan based off his pretty decent track record, however this gripping re-imagining of one of the darkest moments of World War II stands as not only some of Nolan's greatest work but one of the greatest war films I have ever experienced.Dunkirk does not necessarily tell the story of any one particular character, but rather adopts the event itself as the films vehicle, resulting in an experience which uses its characters to portray the event rather than the event to portray its characters. This is presented through scenes taking place at different stages of the evacuation across the land, air and sea, creating a distinctive setting for each, but culminating in the same final conclusion. This being said despite Dunkirk's focus not necessarily being its characters, I did not find a single character performance in this film lacking or inconsistent with the tone or setting presented technically. In particular Cillian Murphy, Mark Rylance and debut actor Fionn Whitehead gave especially memorable performances consistent with the striking spectacle Nolan presents.As is expected with Christopher Nolan's films the visual presentation in Dunkirk has few rivals, the set pieces are outstanding with the use of breathtaking establishing shots to highlight the true historical scale of the real life evacuation. Action is presented in a smooth focused manner utilizing a few precise shots rather than an explosion of two second jump cuts we have come to expect in modern day action movies. There are multiple sequences which portray the pure fear, claustrophobia and disorder present in those final weeks of the evacuation and it is this ever present tension that will keep you engaged for the entirety of the run-time.However it is the sound design which truly made this production a masterpiece for me, delivering one of the most realistic representations of the terrifying sounds of War. Gunfire had a distinctly different tone to other films, being delivered with sharp crack, explosions where accompanied by a deep base and the famous 'Jericho Trumpet' made by the Stuka's presence be constantly reminded and portrayed the sense of helplessness present at Dunkirk perfectly.This is only enhanced by Hans Zimmer's excellent soundtrack embedded across the entirety of the film. Alongside Inception, Dunkirk showcases the exceptional talent Nolan & Zimmer have for combining meaningful score with striking imagery to create a distinctive emotional response from their audience. Through the skillful incorporation of an ever presenting droning base, screeching guitar strings and ticking timepiece the continual sense of urgency and dread felt by those both on land and sea is enforced across the entire film by this excellent soundscape. As a result I highly recommend that should you be given the chance you experience Dunkirk for the first time on the big screen, as the combination of a cinema screen and encapsulating surround sound will leave you with a truly memorable experience.Even though this is a film a majority will go into undoubtedly knowing the final conclusion, Dunkirk is an experience I highly recommend everyone consider, presenting a defining moment of modern history in one of the most technically accomplished and memorably striking ways, Dunkirk will undoubtedly go down as a hallmark in film-making for many years to come.",10.0,Anonymous,"Action, Drama, History"
"Maybe 7,5/10  but not more","I love Christofer Nolan. Great director. Great movies. No doubt about that. But unfortunately I think the movie was boring. It had awesome fight scenes, with different camera angles, music, costumes but it did not keep you at the edge of your seat like his other movies.Almost no dialogue. You can say that it is realistic, because it is a war scene but the viewer needs to know something about the characters in order to identify with them. I felt like I was watching on youtube different war scenes in a 2 hours movie. It did not create the suspense I was hoping.",7.0,Anonymous,"Action, Drama, History"
A Must See.,"What a Brilliant movie. We saw this on the night of the World Premiere, intense and packed full of fabulous acting... The camera shots were absolutely spot on, and you couldn't look away for a second without missing a perfect scene. The entire score, coupled with the dialogue and videography made this film and I cannot wait to see it again.",10.0,Anonymous,"Action, Drama, History"
