title,content,rating,username,genres
"Clever, intense Sci-Fi spectacle; offers nearly as much humor as it does excitement along with a great, unexpected turn from Tom Cruise","Wow - this was unexpected. The trailers had me believe that after 'Battle L.A.' and 'Oblivion' this would be yet another bleak, action- packed, special effects driven Sci-Fi blockbuster about an alien invasion - what the trailers failed to convey almost entirely is that over long stretches, this is also seasoned with nearly as much humor as 'Groundhog Day'. That it would invite comparisons with the Harold Ramis/ Bill Murray classic was obvious, given the time loop premise, but I never expected to what extent those comparisons would actually be justified and that this film would really tap into a similar kind of comedy. Luckily, it is all the better for it.Most unexpected of all, the main reason the comical aspects during the first half of the film work so well, is Tom Cruise's character, Major William Cage. This is easily Cruise's meatiest role since his turn in 'Magnolia' as Frank T.J. Mackey; forget his usual stern, poster boy heroes: here he plays an entirely different character – and he really seems to relish the opportunity. I won't give away too much, but be prepared to chuckle and laugh when you see a new side of Tom Cruise.Yet while this is not nearly as bleak as the trailers suggested, it certainly isn't a comedy either. And it absolutely IS an action-packed, special effects driven Sci-Fi blockbuster about battling an alien invasion (the trailers got that right), albeit one with a funny bone and great characters. Speaking of which, the rest of the cast is also very good, especially the gorgeous Emily Blunt. It seems that no matter what she does, she always comes across as genuine and real; here she succeeds in portraying her character - a tough, seasoned soldier other soldiers refer to as ""full metal bitch"" (no kidding!) - with just the right touch of vulnerability to make her that much more believable. Bill Paxton and Brendon Gleeson are always a welcome addition to any movie, and while they are great (as usual), character-wise, they don't do anything here that you haven't seen them do before.As for the Sci-Fi spectacle that the trailers promised, I'm glad to report that the film delivers. The battle scenes are beautifully orchestrated (not the Transformer-style blur where you can't make out anything anymore), and there are moments when the intensity of the fighting recalls the landing on Omaha Beach in 'Saving Private Ryan' - without the gore, obviously (after all, this is PG-13). The design of the aliens - the production design in general - is incredibly well done, although I would lie if I said it was something ground-breaking and new the way the first 'Matrix' was (it IS breathtaking, though).So my verdict: With one of the most inventive (adapted) scripts for an original (mega-budget) film in a long time and the best Tom Cruise we've seen in years, 'Edge of Tomorrow' will have you chuckle and laugh nearly as much as drop your jaw in awe: this is what Hollywood should take as a blueprint for exciting summer entertainment henceforth. 9 stars out of 10.Favorite Films: http://www.imdb.com/list/ls054200841/Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/Favorite Low-Budget and B-movies: http://www.imdb.com/list/ls054808375/Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/",9.0,Anonymous,"Action, Adventure, Sci-Fi"
So re-watchable!,"Have I got something on my face! Between Emily's fearless performance and Paxton's hilarious sarcasm (GRHS) this film is so re-watchable. It's funny where it needs to be, scary in all the right places and keeps you engaged all the way through. Love it!",8.0,Anonymous,"Action, Adventure, Sci-Fi"
Hoped for a good movie .. got an amazing one instead (No Spoiler),"After watching the trailer i was really hyped about the movie because of its theme and potential to be a really good movie. But on the other side i knew how bad the most potential good movies in the past ended up. I was scared that they screw it up and give us another Oblivion or Ilisium with much cgi-effects and bad story and no real story and/or characters.So i took my girlfriend and went in the movie with mixed feelings. But then, right from the beginning, i knew this movie would be fantastic. The first minutes really hooked me and i found myself in a funny, filled with perfect action and intelligent movie. You had the feeling like you were directly in it and you really feel with Tom Cruise from the beginning to the end. I don't like Tom Cruise in general but this role just fits him. Nobody who sees this movie could deny this. From minute to minute i was more and more in this fantastic story and wanted to last forever. But eventually the movie ended and i was really satisfied with everything.Two main characters who played perfectly, a fascinating story well told and really fast and good looking action made it for me the best movie i watched in a while (and i watch pretty much movies). Even though i don't like to recommend movies because of different tastes I really want to do this with this movie. The story is well told and there are no boring repeatings. Even my girlfriend who normally don't like movies with much action liked it a lot and added Emily Blunt to one of her favorite actresses of all time.Oh well, 10/10",9.0,Anonymous,"Action, Adventure, Sci-Fi"
"Brilliant Film, one of my personal favorites","It's hard to compromise how a film of such similar plot development to Groundhog Day can be considered to be such a great action movie, but like the events in this film, you just have to see it to believe it. Edge of Tomorrow is honestly my favorite Tom Cruise movie, and when you have such a great track record like Cruise, that's really saying something. The film is phenomenal, as with Groundhog Day it follows a similar plot, but it certainly has a different way at going at the themes it develops. Cruise and Blunt make a terrific pair in this action/sci-fi/thriller and the film is nothing short of brilliant. The special effects are mesmerizing, the look of the film daunting, and yet nostalgic and fully realized. I love the development of the world we find our characters in, and all the aliens it involves. I love nearly every aspect of this film, and although on the surface it may not seem original, it certainly feels that way. In the end, Edge of Tomorrow is a must see action flick that will have audiences on the edge of their seats, and is a must see for any Sci-=fi or Cruise fan in general.
My Rating: 10/10",10.0,Anonymous,"Action, Adventure, Sci-Fi"
What a Fantastic Movie!,"Superb! I rarely get to go to a movie with my older son after his siblings came along. We did manage to go to this movie in the cinemas. Not only were we glad we chose this movie to watch, but two years later, we still recall the impact this movie had on both of us.This science fiction story is deeply satisfying. The movie treats the viewers as intelligent people. It is not in the same league of a plethora of science fiction movies that hit the cinemas every year. For example this year we have Independence Day 2, a high budget sequel to a high budget b-movie from a long time ago. It is profoundly forgettable. That is in stark contrast to Edge of Tomorrow, which has stayed with me for so long and today motivated me to come here on IMDb to write a review after two years!This movie is a must watch. Thanks for reading.",10.0,Anonymous,"Action, Adventure, Sci-Fi"
Witty and thrilling summer blockbuster with Tom Cruise in top form,"You could describe this movie as a dizzying combination of Groundhog Day, Starship Troopers, Source Code and The Butterfly Effect. Edge of Tomorrow borrows from these films and while some of the individual ideas may not therefore be groundbreakingly original, the way they're combined and put to use in Edge of Tomorrow by director Doug Liman certainly is. As aliens have invaded Earth, humanity's only hope lies in a cowardly PR officer Bill Cage (played by Tom Cruise) with no combat skills who is sent to the front lines. His only advantage? A save point, sort of. Are you excited yet? You should be. I don't want to tell you more specifics about the plot because it's best to experience and discover this great piece of work yourself.You have to love Tom Cruise as an actor, he always gives his roles a 100 percent and he's phenomenal in Edge of Tomorrow - Physical, funny and determined. I'd say this is his best performance since Collateral. Emily Blunt is fantastically badass as the poster girl of the war, Rita Vrataski. This is her first real action film and she knocks it out of the park. Cruise and Blunt also have great chemistry together. Bill Paxton and Brandon Gleeson give great supporting performances and most of the supporting soldiers have distinct personalities even with their limited screen times.Edge of Tomorrow's world building is slick and credible. The CGI and the special effects are seamless and bring the great set pieces and the relentless aliens to life. The action is really exhilarating (the cool exoskeleton suits definitely help here) and the script is very witty and inventive as it needs to be when you're dealing with time travel (or time resets if you will). Despite its action thrills Edge of Tomorrow finds plenty of room for character development both for Cruise and Blunt. The script also manages to pull off some quite funny scenes (especially in the training segment). I also have to mention James Herbert's snappy editing because it's that good. The the situations could get old really fast if it wasn't for the fast-paced editing that concisely and freshly shows the differences in each repetition Cruise goes through. The pacing is absolutely relentless and there isn't a boring moment in the film.The tone of the film is pretty much perfect for a summer blockbuster. It's not overly morose or gloomy despite the backdrop of an alien invasion. Instead it opts for wit, fun and action thrills. I was really gripped from start to finish and I had this big grin on my face when I left the theater. I really liked the other recent blockbusters in Godzilla and X-Men: Days of Future Past but Edge of Tomorrow surpasses them both. If only every summer blockbuster was such good fun.",10.0,Anonymous,"Action, Adventure, Sci-Fi"
A Summer Blockbuster Not To Be Missed,"One of the most ingenious film concepts ever created, a cross between 'Saving Private Ryan' and 'Groundhog Day', 'Edge of Tomorrow' is a gripping and clever blockbuster sci-fi thrill-ride accompanied with taut, fast-paced action and compelling direction. Tom Cruise and Emily Blunt form a perfect chemistry that takes them from the training ground, to the battlefield through to the action-bound finale in Paris. The premise of the time-loop has been used many times before, but this time round there are enough exciting visuals and dynamic storytelling skills employed to make this one thrilling (and unexpectedly comedic) flick that is unpredictable and expertly designed. A model of cinematic craftsmanship.",,Anonymous,"Action, Adventure, Sci-Fi"
"""Groundhog Day"" crossed with ""Starship Troopers""","Director Doug Limon made some of my favorite action thrillers of the past two decades: the first of wildly successful Matt Damon ""Bourne"" films, the movie which would give us Brangelina (""Mr. & Mrs. Smith""), and even a better than usual TV series, ""Cover Affairs"" starring Piper Perabo. Tom Cruise personally asked for him to direct ""Edge of Tomorrow,"" and Limon agreed to because the character Tom plays is NOT good at his (largely ceremonial) military position; the two have made a better movie as a result. Cruise also asked Emily Blunt, a fine actress with zero action film experience, to be in this one, and their rapport elevates it. Her own character, Rita, IS exceptional at her job as a battle-hardened vet. This silly sci-fi plot involves some global alien invasion in which certain aliens can ""reset"" time. So our 2 protagonists proceed to fight and die, together or separately, on the same day, over and over again, dozens if not hundreds of times. The issue, as with all wars, is how the 2 soldiers start to know and care about one another, so when the time comes to end the conflict and die once & for all, the 2 don't want to go for good. So I rate this one a 7.5 out of 10 stars. Rumors abound that a sequel's in preproduction. Hmm.",7.0,Anonymous,"Action, Adventure, Sci-Fi"
"Love, love this movie",One of the best time travel and action movies. I can watch over and over again. Each time you watch you see something you missed in earlier viewings. Tom Cruise and Emily Blunt have great chemistry. I love them both in this.,10.0,Anonymous,"Action, Adventure, Sci-Fi"
"Starship Troopers, meet Groundhog Day","I don't like Tom Cruise. I don't dislike him, either. I just don't care. He is Tom Cruise in every, single movie. But I love Emily Blunt, the Full Metal Bitch (says so on the bus). She is incredible badass here, and thouroughly inspired by various characters from Starship Troopers, with a spice of R. Lee Ermey on top. It's a really entertaining movie for 2/3, when Cage (Tom) is a spineless desk officer called out on duty to kill bugs. Which don't go very well. But hey, he at least gets killed by the RIGHT bug monster, and for REASONS he gets to experience to be Bill Murray, and gets killed a lot of times. This is the GOOD part of the movie. The BAD part is when he and Emily teams up to kill bugs (cause Cage can now remember everything that will happen), and the movies last 3rd turns into a version of the Fallout games combined with Independence Day. We have one shot at this, etc.... but until that flat ending, it's a real joy to finally watch Tom Cruise getting killed in funny ways. You can say it's a dream coming trough for me.",7.0,Anonymous,"Action, Adventure, Sci-Fi"
