title,content,rating,username,genres
A commanding performance from Roberts,"I've never been a big fan of Julia Roberts as an actress and so I approached this movie with trepidation but I have to admit that I really enjoyed it. Not only that, but Julia Roberts was excellent.  I don't think I've ever seen a Roberts movie where she had this commanding a screen presence.  Her physical presence may have helped in that regard but so did her acting. But man, she really looked good in this movie. Oh, and Albert Finney displayed some pretty solid acting skills as well even though he didn't look good. Overall, I'd say that most people who watch this movie will probably find themselves cheering for Erin and will be very satisfied with the film. I was.",7.0,Anonymous,Biography
Julia Robert's best display by far.,"I must admit i wasnt too keen on watching Erin Brokovich for a couple of reasons.One is that i am not too keen Julia Roberts or more to the point the type of film she stars in I.E Pretty Woman the other reason is that i presumed that this film was mainly for women. I was wrong. This is film would appeal to everybody. It has charm, humour and a very good story and the acting from all quarters is top notch. Julia Roberts also looks superb, she has the best legs in Hollywood !. I'm not sure how true to life her character is but i would love to see if the real Erin Brokovich is as up front and speaks her mind as much as the one in the film. 8 out of 10.",8.0,Anonymous,Biography
Julia Roberts is Fiercely Dynamic in the Smart and Savvy Erin Brockovich!,"Steven Soderbergh's Erin Brockovich opens with a car accident. The vehicle driven by Erin, an unemployed, twice-divorced mother of three, is broadsided by a speeding car at an intersection. She takes her case to a rumpled, cowed lawyer Ed Masry, who agrees to represent her on a contingency basis. However, in court, Erin's surly manner and blasphemous vocabulary do not endear her to the jury, which finds itself in the defendant's favor, as Erin goes home empty-handed. Still without work and needing to pay her bills, Erin, who has no demonstrable skills, but a passion, an uncommon quantity of common sense, and a defiant way of talking, finagles her way into a position as a file clerk under her former attorney.It is in this capacity that she uncovers, entirely by accident, a paper trail leading to the town of Hinkley, CA, where an endless stream of residents have been diagnosed with various medical conditions including cancer, disintegrating spinal cords and brain damage. It turns out that the community of Hinkley has been poisoned by hexavalent chromium, leaching into the drinking water from the Pacific Gas and Electric (PG&E) plant. The case is especially odious because PG&E knew exactly what it was doing but lied about what kind of chromium it was using. Erin gains the trust of the community to mount legal action and strong-arms Ed to put together a case that would win the largest direct claim settlement in American history, even as her personal life is threatened by her devotion to the case.Steven Soderbergh tests Erin's limits of likability numerous times throughout the movie. An early scene is designed to show what a short fuse Erin has when she explodes in a torrent of profanity in the courtroom. Erin, the film makes clear early on, is no sentimental crusader. Rather, she is a tough, hard-nosed cookie who dresses like a hoochie and who would use anything from here heavily coiffured hair to her cleavage or also her baby to get what she needs. In short, Erin is adrift in a hard world. But what makes this potentially despicable character so affable is Julia Roberts' vulnerable and fiercely dynamic performance. As the eponymous character, she is undoubtedly the heart and soul of the film. As a foil for Erin, Albert Finney draws out a complex, engaging performance that is as warm as it is funny. Their scenes together crackle with chemistry and it's a joy to see this kind of male/female interaction where there is absolutely no hint of sexual attraction.Soderbergh infuses the proceedings with a vibrant, almost peppy sense of style that would not have been half as compelling had a less edgy director helmed it. It would have been easy for him to have allowed Erin Brockovich to descend into manipulative melodrama, but he resists that path of least resistance, instead giving us a film that is smart, savvy, funny, and, at times, poignant.",9.0,Anonymous,Biography
Truth IS Stranger Than Fiction,"If I didn't know it was based on a ""true"" story I might have dismissed this movie as ""unrealistic"", particularly in the first half hour or so when it started off like another Julia Roberts comedy. At the beginning the film appears to focus primarily on her wardrobe, her foul language, and the developing romance with the ""boy next door"", whom she initially dislikes. As it turns out, the actual story, according to the bonus features on the DVD was even more melodramatic than the film's. The real Erin actually got sick to the point of hospitalization from the chromium in Hinkley. The director wisely decided to cut out this part of the story, to avoid making her too much of a martyr. Another aspect while not totally ignored (she does mention at least once that she's a ""slow reader"") but underplayed is Erin's dyslexia. This makes her accomplishments all the more amazing! Personally, I think this fact could have been emphasized more, as no doubt it was a big factor behind her ""attitude"" problems - her combativeness toward people with more education than herself, her struggles in finding a job, perhaps even in her efforts to accentuate her physical attractiveness through her outrageous clothing. All in all I found it an enjoyable and enlightening story - the triumph of a unique individual whose determination, empathy, and sense of moral duty ultimately outweigh her abrasiveness and lack of social graces. And largely why she triumphs is her partnership with an intelligent and decent lawyer in Ed Masry. What a refreshing departure from the usual Hollywood stereotype! On many occasions, he effectively counters Erin's prejudices with rational explanations how and why the legal system works the way it does, and why lawyers behave the way they do. With her passion and his reason, they make a great team. Now if only the movie hadn't fallen into the old Hollywood trap of giving its leading lady more outfits than is realistic for someone of her economic status. The point that Erin dressed provocatively and this caused problems with her co-workers could have easily been made with just 3 or 4 costumes. Other than that, it was a good movie - great performances and a wonderful story.",,Anonymous,Biography
A rare perfect ten--this movie has everything.,"Maybe this movie is not the right choice for action fans, but that is the only restriction of my otherwise fullest recommendation for this movie. It has everything, ranging from real-life documentary through love story via comedy to tragedy. And it is so lovingly done, and played so well. And it also has a wonderful soundtrack. To all the non-English Europeans: Get the DVD or original VHS, because the dubbed translated versions aren't quite like the original in terms of atmosphere created.",10.0,Anonymous,Biography
"I don't like Julia Roberts, and even I liked this movie.","First, I should explain that I have one of the lowest opinions of Julia Roberts imaginable. I regard her as little more than a Barbie doll who pretends to be the world's biggest genius, and whose movies appear to have been written by ten monkeys working with ten typewriters for ten days/years.So how then, you may ask, could I like ""Erin Brockovich""? Well, for starters, Julia Roberts does more than focus on beauty in this movie. As a twice-divorced single mother who helps prosecute a corporation that had polluted a town's water supply, Roberts is a lot bitchier in this role than in most of her other roles. Occasionally blurting out lines that sound like they came from George Carlin, Erin is one bad-ass mother. The movie is also helped by good support from Albert Finney as Erin's boss Ed Masry.So, in conclusion, even though I generally consider Julia Roberts pretty worthless, I do agree that her Oscar win for this movie was well deserved.",7.0,Anonymous,Biography
When feel-good becomes Oscar-worthy feel-good,"The only thing bigger than Julia Roberts' chest in ""Erin Brockovich"" is the heart this film has. While it is a drama, it would be more apt to describe the plot as a struggle, because it's all about fighting for what you believe in and overcoming the odds and all opposing forces. Nothing bad actually happens in this movie, at all, but it's the complications, the setbacks the moral struggles along the way that make it shine.""Erin Brockovich"" stars Julia Roberts in the title role in a film based on the true story of a twice-married mother of three who is desperate to find a way to make a living and provide for her family. After a failed attempt at suing for damages after a car accident, Brockovich turns to her lawyer, Ed Masry (Albert Finney), for a job doing anything she can at his law firm. Reluctantly he accepts and soon Brockovich finds herself uncovering a potentially huge case.Roberts had to have been a no-questions-asked best actress winner after this performance. As Brockovich she is incredible playing multiple roles as the loving mother, the driven working-woman, the troubled lover, everything. The mood swings are effortless for her. Perhaps the best element of her performance is that she comes across as glaringly flawed, even if she is quite likable. Her lines are killer and delivered with command. Though some of her rants are over the top, they're really clever nonetheless.Finney's character is much the same way. He is really enjoyable to watch and gives a great performance even though his character never gets truly dramatic.This is just a great screenplay by Susannah Grant. It's almost completely devoid of melodrama and yet it tackles so many real life issues. Brockovich's struggle to balance her work with her family brings up an issue that can connect with anyone, although the feminist tones of the film obviously won't connect as strongly with men. Director Steven Soderbergh feels very distant from the film. Every so often a shot or sequence will be artistic, but he allows the story to tell itself for the most part.""Erin Brockovich"" is better than the average feel-good story. When there's little melodrama and great acting, a feel-good story becomes a great movie. Sports films based on true stories are feel-good stories, but they don't get nominated for best picture. While it may all seem too good to be true and the positive seems to trump the negative more times than it ought to, the film still feels very real and one that no one should miss.",9.0,Anonymous,Biography
"""Norma Rae"" for 2000","Julia Roberts deserves her accolades for the performance in this.  Has she been better?  Probably.  But not as DRAMATIC.  And that's what counts for awards.  As a rule.  This bit of work holds its own with brother Eric in ""Star 80.""  Albert Finney has been better (best guilty pleasure performance? ""Wolfen."").  And I must give credit to Aaron Eckhart (unrecognizable from ""In the Company of Men"") as the house-biker who takes care of Erin's kids while she saves Hinkley, CA (standing in for The World).  Oh, and, of course, nod to ""C.S.I."" to Marg Helgenberger who was quite good.  Soderbergh has just been nominated for two DGA best directing noms for this film and ""Traffic.""  Overkill.  Nominate him for ""Traffic"" and take another look at Hanson's ""Wonder Boys"" or Kaufman's ""Quills"".  Still, like ""The Accused"" and ""The Verdict,"" two other ""name"" performance-driven movies, this film does its job, effectively.",7.0,Anonymous,Biography
Julia Roberts' best movie,"This movie may have changed my opinion of Julia Roberts.  I have never like her acting, and the media's portrayal of her as some sort of beauty queen in the 80's (and she has never been a very attractive woman) only made it worse.  But she did an excellent job in this story, seemingly portraying the real Erin Brockovich with perfection.Great story, maybe a little hard to believe though if you didn't know it was true.  But everything was very well done.  All the characters were good. One bad thing is that they seem to have cut some scenes out to speed it up? Some of the scene transitions were downright bizarre and there was no logic behind.  But other than that, no real complaints.One thing I'd like to point out to people before they watch this is that Erin Brockovich is not a very likable person.  She's profane, crude, obnoxious, rude, and treats everyone around her, especially those who are better educated, like garbage.  She always had trouble finding and keeping a job and she always blamed it on her lack of education and experience.  That wasn't it.  It was her attitude.",7.0,Anonymous,Biography
"Great story, with great casting too. Great directing, acting, production.","It doesn't take long to realise that this is a great movie. Everything looks so real, and so it should seeing that it is a true(ish) story, but all the minor roles have great actors too. There are lots of instances where little mannerisms make it real. My guess is that Erin wrote most of the dialogue?Besides the real Brockavich, the real Ed Masry comes on the DVD bonus, and shows how good the casting of Albert Finney, and his acting, are and how much he contributed to the successful outcome of EB's efforts. Ed is so tolerant of Erin's apparent disregard for the norms of a legal practice, it is a bit hard to accept that he is for real! But he must have been. Also on the DVD is Erin (the real one) saying how surreal is the 30-second scene where she is the waitress, and then Julia saying that it is about ""inhabiting the concept, not imitating"". So true, and that is what makes really great actors, ie, JR.The story of corporate carelessness and a small-town lady who found out that the water was contaminated and decided to do something about it in spite of heavy lawyers who do whatever the client says, might give others the incentive to do their own action? 'hope so.Although this is a huge legal battle, there is very little of that shown - good idea, courtroom stuff can be so boring and irrelevant. We do see the judge deliver a judgement on a procedural matter, that is all that matters, and the no doubt long legal arguments are ignored all together. Good.",10.0,Anonymous,Biography
