title,content,rating,username,genres
Criminally Underrated,"This movie doesn't get nearly enough credit. If not for the studio trying to water this movie down, we might be talking about it with the likes of Hellraiser and Alien.I first saw this in the theater in 97 and it has only gotten better with time. Great sci-fi movie with traditional horror elements. The thunderstorms and fog add to the ambience.Sam Neil and Laurence Fishburne give fantastic performances that are not reflected in the box office earnings.I wish we could see the original version that had test audiences fainting but apparently the film has been destroyed due to improper storage.Highly recommend.",8.0,Anonymous,Horror
I would love to see the director/s cut of this.,"Ah test audiences, if not for you, we would of had a way more disturbing and horrific movie. They pick random people, probably a broad variety, but bland as all get out to help the studio execs gut a director's vision. Probably not even horror fans. What we get is good, but the potential is there for it to be way more disturbing, a horror film that is totally fabricated, but still resonates. Though, this one is good as I so enjoy the supernatural and then to combine it with science fiction...awesome!The story, a ship, 'Event Horizon' has disappeared and seven years later as reappeared. A crew is set with the task of going to this vessel and discovering if there is anyone left alive and to salvage the ship if possible. On board this crew, a Dr. Weir, who is the man who invented the special engine used to propel the ship forward. Of course, it does this by opening a black hole and we will learn over time that where it leads, no man should go. As they explore the ship, stranger and stranger things keep happening and hampering any chance of the rescue team making it out alive!I thought all the actors and actresses did good. I knew Sam Neil would be good and so is Lawrence Fishborne. The.visuals are really good too and the film has a very good atmosphere essentially being a spaceship that is haunted. I just think it would have been better with more extended peeks into hell, because who wasn't curious to see what the makers of the film came up with? Unfortunately, they got a squeamish test audience who thought it was too much and us horror fans are left to wonder. Of course, my biggest question is how the heck did a copy of the film with the extra scenes end up in a Transylvania salt mine?So, I liked this film as I have been trying to watch all the supernatural horror in space I can. Got The Dark Side of the Moon too. Wanted Nightflyers, but that is not even on DVD. The only other one I can think of is Lifeforce which does have some cool visuals, but mainly takes place on earth. This one is probably the best of the ones I know, but could have been even better had they left the deleted scenes in.",8.0,Anonymous,Horror
An intelligent scary ride.,"This is actually one of my favorite horror movies. It is smart, scary, and yes, even a little disturbing at times. While some of the ideas behind the science are absurd, that is why it's called science-""fiction"".The cast does a good job in their roles, and the setting for the movie is dark, creepy, and perfectly done.I have read several bad reviews in these comments, and I have seen basically two categories of such. One is that the science involved is ridiculous. This is a movie. A horror movie. A horror movie on a spaceship in the future. I think it's time to suspend your disbelief and enjoy the movie.The second complaint I have been reading is even worse. That the movie is too scary and disturbing! I don't think I have EVER sat down to watch a scary movie and been upset that it was...scary. Perhaps the movie was accidentally placed in the children's section.Regardless, the movie is fun and scary. Exactly what most people look for in a scary movie. I highly suggest renting this gem and enjoying it for what it is: One of the better horror movies of the late 90's.",7.0,Anonymous,Horror
90s Gold,"Edge of your seat from start to finish. Excellent cast and score. I heard about this from multiple friends and it definitely didn't disappoint.Event Horizon is a horror sci-fi goldmine. Sam Neil and Laurence Fishburne bring the heat in this one. The cold, calculating, tough captain vs the conniving doctor of evil. The supporting cast is excellent as well. Jason Issacs is always a treat and Joely Richardson was an impecable addition.The atmosphere in this one is everything. They pulled no punches in creating some believable space ship tech. I can't imagine how hard hitting this was in the 90s. Makes me wanna give ""Alien"" another go just out of horror sci-fi nostalgia.All in all this is a real piece of 90s gold. It holds up well even today. You really can't miss with a solid sci-fi scare. None of us have been in space so it's easy to let the imagination run wild. Event Horizon is sure to cover any and every fear within the final frontier. Give this one a launch!",9.0,Anonymous,Horror
A good mix of horror and sci-fi,"This film was a lot better than what most people gave it credit for. The cinematography was excellent, and the lighting gave the film a very eerie feel to it. Certainly better than the average sci-fi film. Not only did the film mix two mediums almost perfectly (sci-fi and horror), it completed the union almost flawlessly. Not a perfect movie, but then again, Sam Neill was amazing in this film. Virtually all of the technical aspects in the film were top-notch. While it didn't advance the film industry overall, it did make an impact in the sci-fi genre.",7.0,Anonymous,Horror
Decent sci-fi/horror - Underrated,"EVENT HORIZON is a pretty good sci-fi/horror movie which you'll either love or hate. It's a very dark and depressing movie which completely justifies the 'terror' in the tag-line. Perhaps the continuing terror is why some people probably dislike it.As far as I know, most horror movies lack a decent story or decent acting or character development. That's why I'm not into horror movies that much. But Event Horizon has an interesting story that is an ideal and most of all original environment for a horror movie. Even though character development is limited, as the film progresses you'll get to know most of the characters better. Especially Sam Neill's (Dr. Weir) and Laurence Fishburn's (Cpt. Miller) characters.The acting was done very well by most of the cast, most notable Laurence Fishburn and Sam Neill who did a good job. The sets on the other hand are brilliant and creepy at the same time. I would not feel comfortable walking around in any of those rooms, especially the engineering room featuring the Gravity Drive (sphere with 3 magnetic rings within a room filled with deadly spikes on the walls and ceiling). This adds more tension than there already is to the movie which makes the experience only better and worthwhile.The special effects in this movie are quite a treat. Ranging from an external view of the gigantic Event Horizon around Neptune to Dr. Weir and his 'HANDywork' with his eyes.In my opinion, this is a good but underrated sci-fi horror movie with lots of freaky moments that will keep your heart racing. If you like the depressing endless terror, you'll like this movie quite a bit. If you rather have happy endings and laughs, you'll probably dislike it.For the best experience, watch this movie in a dark room at night or even past midnight with the volume turned up a bit over the normal setting.Rated 7/10 on IMDb, but I personally would give it a 7.5/10.",7.0,Anonymous,Horror
Hell's Horizon,"'Event Horizon' is very much an atmospheric sci-fi horror. It does not rely on gore (although there is enough of that) but rather it is the creepy atmosphere that engages the viewer. Andersen successfully creates a tense, depressing, and claustrophobic atmosphere. The suspense and pace are well maintained. It pays tribute to several movies of the same genre (like 'The Shining', 'Aliens' etc). Character development is slightly weak but the actors do a good job and the viewer cares for them. Sam Neill, Laurence Fishburne, Kathleen Quinlan, Joely Richardson, Richard Jones and Jason Isaacs do a fine job with what they're given. The sets look very unwelcoming and creepy. The special effects and sound effects are good. The cinematography is superb. The plot is a little complex and difficult to follow in the beginning leaving the viewer wondering with what exactly is going on but this becomes easier with repeated viewings. In my view, 'Event Horizon' is an underrated film and perhaps did not get enough recognition because it did not have any stars or enough 'monsters' and 'blood' or perhaps the subject was a little too complex for some to grasp.",,Anonymous,Horror
"A promising start, but a disappointing end.","The film starts well, and is enjoyable up until right after the crew boards the Event Horizon.After that, it degenerates into a bad copy of several well-known horror films, which all have better gore scenes. The plot disappears in quasi-religious babble, and the impression of a good sci-fi movie disappears.While the first part of the film was good, I was very disappointed by the conclusion.",5.0,Anonymous,Horror
"""Save yourself...from hell""","To this day, ""Event Horizon"" is THE scariest horror science fiction film i have ever witnessed!I was 14 years old when I first watched this film on video and to put it lightly...it scared the shiz out of me! I loved it!!! Now 12 years later a finally purchase the film on DVD (ordered from the states as I can't find it anywhere in New Zealand) and I watched it with a couple friends who have never seen it before. Suddenly I was 14 again! A scared child, too frightened to look away from the screen. Caught in an icy grip of fear and excitement! A feeling I haven't felt since the first viewing of 'Event Horizon'. Brilliant! I jumped in all the same scenes I jumped in 12 years ago and i was so absolutely absorbed in this film. My friends felt the same way i did and we all sat on the same couch with the lights off while this film quietly terrified us!Now I'm not exactly a huge horror movie enthusiast as i find most horror films to be stupid, cheesy and just not scary in the slightest. Horror films now are especially ridiculous as that ""Saw"" series (when will it end?) is just silly and repetitive which is a shame as the first film is a pretty descent thriller, which seems to be another problem for horror films is that there are too many sequels with each film becoming further and further detached from the original making the whole premise and idea of the film pointless and boring.Which is exactly the reason ""Event Horizon"" works. It is a stand-alone film. No sequels. No actual killer as such...it is the presence of an unseen evil which corrupts the characters into becoming warped and ultimately the cause of their own demise. For a horror film the kill count is surprisingly low and no one actually dies during the first hour of the film. It's the suspense of the film and the actual idea behind it which is so un-believable frightening that you find yourself absorbed and un-able to look away from the screen....gripped in fear. That's why this film is so brilliant. The cast is great. It's not overly convoluted. It's scary beyond belief. The story is good enough to keep the viewers attention and adrenaline pumping and the special effects have held up surprisingly well for a film that was filmed back in 1997.I really wish there was a Director's cut edition of this film.If you've seen this film and you were not frightened...you are either really warped, lying, or talked all the way through it. i suggest a re-watch by yourself with the lights off and all other distractions (laptop, cellphone) switched off as well and just sit and watch...I guarantee fear will gnaw at you eventually.And if you enjoyed this film, you should also check out ""Pandorum"" as it is also fairly good, though not quite in the same league as ""Event Horizon"".""Liberate tutame...ex inferis.""",9.0,Anonymous,Horror
Space Madness!,"For context, I'm not a big horror guy, so I usually stick with the older movies; the effects tend to be a bit old-fashioned and it diminishes the shock value. That didn't help a whole lot with this movie though.It's all fun 'n games and '90s sci-fi until the crew actually reaches the Event Horizon - not so much a derelict as it is a demonic spacecraft. After that, it kinda feels like being trapped in an asylum. I don't care who you are, you're never really ready for the sight of a human being with no eyeballs (hats off to the makeup department on that one). To that end, who among us ever thinks ""terrifying"" at the mention of Sam Neill? Well, he certainly is here!I think the real surprise (for me) was the extent to which self-harm was a real scare factor. To be blown out of an airlock or hunted by a creature, yeah those are expected hazards of deep space. But all of the cutting really bothered me.The movie's twenty-five years old and it had me rattled. That's impressive.",7.0,Anonymous,Horror
