title,content,rating,username,genres
"I won't try climbing that mountain, that's for sure.","I am very surprised reading bad reviews about Everest. What did you expect it to be then? I sincerely did enjoy watching Everest. Also because it's based on a true story, what makes it even better to feel the despair they had at the end. It amazes me people would pay so much money to live an experience like that, where your life is at risk all the time. Okay it's a great achievement once you've done it, but I'd rather spend that money on a lazy sunny vacation trip. The fact is the top of the Everest is a graveyard with bodies of people that tried this expedition. The movie shows perfectly how hard it must be to climb the Everest. The lack of oxygen, the altitude, the sudden change of weather, it's all too much for a normal human body. The movie itself is beautifully shot, with good actors, a lot of tragedy. I didn't get bored for one second watching this movie. It keeps you on edge the whole time, because you can feel the courage and determination it takes to climb that mountain. Good movie if you ask me. Would watch it again in the future.",8.0,Anonymous,Biography
Worth watching but could have been lots better,"I think the main problem with this movie is a loose focus. It seems like they tried to make a disaster, drama and documentary stories at the same time but failed to develop any of that properly. But the good things first: stunning scenery, overall tension and a few really great scenes make this movie worth watching without a doubt. It is just somehow not working as a single piece. With a fast start you expect some eventful action to follow but there's nothing like that. The characters developing is limited to a couple of sentences excluding Rob Hall and Beck Weathers what makes others a little more than forgettable 'guys who die first'. For some reason, Scott Fisher, being a smart capable mountaineer is shown as a careless hippie-like person, Anatoli Boukreev as a cliché tough Russian playing garmon in a tent, Beck Weathers as a hardly-realistic guy from Texas. But it doesn't matter anyways as when the masks put on it's really hard to follow who is who and and their position on the mountain, especially on descending. The whole day of May 11 is clumsy and hardly could be learned from the movie, on the summit the story switches to Rob completely and gets distractingly touchy-feely then slowly turning into the aftermath. The drama feels a bit out of place when other participants dying with little or no attention. I was disappointed. The most vivid scene of the movie turned out to be shown in the trailer (crevasse ladder). Another Beck Weathers scene was really powerful too, but otherwise I didn't feel the pressure of surviving, the height itself (the stormy clouds could be seen from 2000 as well), an incredible effort to even try to step on that track.Andre Bredenkamp writes about Everest climb: ""You get completely disorientated. I had to keep reminding myself I was climbing a mountain. Every step of the way I had to try to motivate myself. At that altitude I took at least 10 to 15 breaths each time I moved one foot.""So if you really want to feel the height I would rather recommend to read the books about that night as this movie failed to show it properly.",7.0,Anonymous,Biography
Top of the World looking down on creation,"Having just this week returned from climbing all 19,341 feet of Kilimanjaro, I find myself intimately capable of reviewing ""Everest"", the new thriller from Icelandic director Baltamar Kormákur.Based on a true story from 1996, Jason Clarke and Jake Gyllenhaal play Rob Hall and Scott Fischer respectively, rival organisers of commercial climbing ventures whose businesses involve training well-paying clients at Everest Base Camp and then taking them to the summit to experience the 'ultimate high'. When the climbing season of 1996 becomes hugely crowded, including a rather obnoxious team from South Africa, the two rivals decide it is in the interests of their clients to combine forces and attack the mountain together.We are introduced to some of the clients including Texan Beck Weathers (Josh Brolin), second-attempt postman Doug Hanson (John Hawkes) and Japanese mountaineer Yasuko Namba (Naoko Mori) chasing her seventh and final major mountain summit. Supporting the teams is hen-mother from base camp Helen Wilton (Emily Watson), medical helper Caroline Mackenzie (Elizabeth Debicki from ""The Man from U.N.C.L.E."") and hard-man Anatoni Boukreev (Ingvar Eggert Sigurðsson) who eschews the use of such luxuries as oxygen. To add dramatic tension to the situation, Rob Hall's wife (Keira Knightley) is heavily pregnant with their first daughter.In an extremely hostile environment, as a storm passes through, the film neatly characterises how a single impetuous decision can have devastating consequences.The action scenes in the film are well-executed with a number of vertiguous shots and heart-in-the-mouth moments, neatly escalated by Dario Marianelli's effective score. At its heart this is (without remembering the details of the original news story) a ""will they, won't they"" survival story of the ilk of ""The Towering Inferno"" and other classic disaster movies.However, despite the long running-time and relatively leisurely built-up, I found there to be a curious lack of connection between the viewer and most of the key players. Perhaps this stems from the fact that you know they were all fully aware of the potential dangers? Or perhaps that the mountain seems a bigger character that any of the humans involved? Whatever the reason, it's only the future parental responsibilities of Hall that really resonate and make you root for him as opposed to any of the other characters.Some of the hardest special effects to pull off are those that depict the natural world (as opposed to Krypton, Asgard etc), and in this regard the team led by Jonathan Bullock (from the Harry Potter series) does a great job. Whilst the ""top of Everest"" was in reality a set in the Pinewood 007 stage, you'll well believe a man can freeze there.As such, this is a decent and entertaining telling of a true-life tragedy that will definitely work better on the big screen than the small.(If you found this review useful please see the graphical version at bob-the-movie-man.com and enter your email address to receive future reviews. Thanks).",7.0,Anonymous,Biography
"Tense and beautiful, but lacking fleshed-out characters.","Based on real life events in 1996, this dramatic thriller tells the story of Kiwi mountain-climber Rob Hall (Jason Clarke) as he leads a group of mountaineering enthusiasts on an expedition to the peak of Mt. Everest. Kicking off with Hall and his team boarding a plane to Nepal, there's very little backstory provided for any of the numerous players being followed, with the focus squarely on their physically demanding journey ahead. And here's the rub: the film homes in so intently on the climb itself, with gorgeous cinematography and tense, cleverly designed set pieces, that it doesn't take the time to actually make us care for those in this life-threatening situation. Additional groundwork from the onset getting to know the eclectic group of adventurers better could have upped the ante even more, adding extra heft in the second half when things don't go according to plan. Yet there's no denying Icelandic director Baltasar Kormakur (Contraband, 2 Guns) presents the action and generates thrills with impressive craftsmanship, aided by seamless CGI and Salvatore Totino's Oscar-worthy photography. It's one of those rare motion pictures where the employment of 3D genuinely intensifies the experience too, lending depth and height to the extraordinary environment that is Mt. Everest. Kormakur also lands a cast to die for – including Clarke, Jake Gyllenhaal, John Hawkes, Josh Brolin, Keira Knightely, Robin Wright and Emily Watson – but wastes most of them, especially the women, in slight roles with no meat on the bones. Everest is a solid cinematic outing with just enough excitement and tension to compensate for the frustratingly underdeveloped characters.",6.0,Anonymous,Biography
"No good guys, no bad guys, just the facts as they are known","I always find my viewing experience of the retelling of historical events ruined when I come across scenes which I know have been added for dramatic effect or when someone is played as a bad guy just to let us know who to root for.The King's Speech was particularly guilty of the former, the portrayal of other teams in Glory Road had the latter, and The Imitation Game was shamelessly guilty of both. I'm not saying this made them bad films, but it certainly made me feel like the experience had strayed away from a retelling of the facts as known.Everest is everything that is good in such a film. There is no needless good v evil addition and no leading the viewer to conclusions. It tells the story and I have since spent three or four days thinking about the hows, whys and wherefores... whilst knowing I will never find an answer.The other touch that really elevates this film is that there are no added action sequences that have been added to make Everest more of an action move. The film makers have been intelligent enough to realise that climbing Everest does not need any exaggeration, the characters involved were three dimensional people, and the story was interesting enough not to need embellishment.I expected an action film but left pleasantly surprised by a biopic with a light touch.The one mark deduction is for the totally unnecessary 3D. The film absolutely didn't need me wearing dumb glasses to be three dimensional.",9.0,Anonymous,Biography
Wish it were better,"Like the real mountain, this movie is stunning to look at but a little painful to watch. I kept longing for the voice-over guy from The Deadliest Catch to chime in with some compelling back story about the characters or the situation, just to ramp up the tension a little. We don't get much time to get to know the characters; most of their lines are designed mainly to give us information rather than developing their individual personalities. We are left with archetypes: the Loudmouth Texan, the Humble Mailman, the Brash Adventurer, the Careful Tour Guide, the Taciturn Journalist. And then there's the annoying Keira Knightly, on hand with her squeaky mouse voice and her runny nose, to make sure everyone in the audience has a good cry.I wish the movie had been more about Rob Hall--his hubris and his heroism is really the heart and soul of this story. But you can't have everything in two hours, can you?",6.0,Anonymous,Biography
"Good movie, Great theatre experience","Got the chance to see Everest early in IMAX 3D. I'll start off by saying this, if you get the chance, definitely see this movie in IMAX. It adds to the experience and you feel like your on the mountain. That aside, let's dive into one of my most anticipated films of the year.Everest is chalk full of star power. Jason Clarke, Josh Brolin, Keira Knightley, Jake Gyllenhaal, the list goes on. Everyone is believable in this hostile environment, going from optimistic and adventurous to mortified and forced to fight for their lives. Each character is given a back story, some more drawn out and centered than others, and you get attached to most but not all of them. When the emotional blows hit, they hit hard for some, but not as much for others.The visuals are, as you might have guessed, stunning. The shots they get of climbers and the way the camera gives you an an idea of how dangerous this is are breath taking. The cinematography is definitely award worthy. IMAX only added to it, putting you in this environment and taking you along for the ride.This film really did it for me because I have always been fascinated by Everest and the journey it is to make it up to the top and back. If there is a Netflix documentary about Everest, I've watched it. I even watched the one about the story told in this movie. What this film does so well is it immerses you into the environment as well as gives you characters to care about. It's all tied in well together.At times, the pace is a bit slower than expected and the tones shifts from serious to light hearted are a bit messy. But that stuff doesn't bother you in the moment, your just wrapped up in the intensity of the story.Overall, Everest gave me exactly what I wanted. It was intense, emotionally powerful, and the visuals were beautiful. It's not perfectly structured, but it sure is engaging. As someone who has studied the mountain, this offers a brutal look into how much time and energy is out into a trip to Everest, and how quickly things can go wrong. Definitely worth a trip to the theatre.",8.0,Anonymous,Biography
Seeing what these folks went through makes you wonder....why?!,"""Everest"" is a true-life story about a very bad year for those trying to ascend Mount Everest. While folks dying there is NOT unusual (heck, the mountain is apparently littered with dead bodies of those who have failed), this was a particularly bad year and the film does a good job of recreating the hellish climb and conditions the folks went through in order to check this dangerous feat off their bucket lists.While I thought everyone in the film was foolish, the filmmakers did a great job of making you feel as if you are there....no small feat. So, technically speaking the film is brilliant and making it must have been an awful experience in many ways. As for the story, it's also compelling even if I thought the people were foolish....and this actually surprised me. My only fault with the film is that it would have been nice if the characters had been more fleshed out and multidimensional. Still, it's well worth seeing...and must have been incredible to see on the big screen as it's quite a spectacle.",8.0,Anonymous,Biography
Flawed.,"Everest is a film that tells the story of the 1996 Mount Everest disaster, in which a climbing expedition is devastated by a severe storm. The film was directed by 2 Guns director Baltasar Kormakur and written by William Nicholson (Gladiator, Les Miserables) and Oscar winner Simon Beaufoy (Slumdog Millionaire and 127 Hours), starring Jason Clarke, John Hawkes and Josh Brolin. To start the film is beautiful; the director of photography Salvatore Totino presented the size and scale of the environment beautifully with multiple aerial shots. Totino has a clear and linear style, which is refreshing after the summer, which with the exception of a couple of films, has been dominated by shaky-cam and extremely quick cuts.The dialogue in the film stands out, however the plot does not. The characters were underdeveloped, partially due to the lack of introduction that is given to our main characters; this combined with the slow pace of the first act causes the film to drag. However it should be noted that the film makes a point of showing the process of preparing to climb Everest. The second act is fine, not great though and is intense especially during the storm and finally the film just finishes, which really throws you out of the film.Although none of the performances in the film were award-worthy they still were acceptable and in some cases quite good. Jason Clarke and Josh Brolin had the meatiest roles, and they both provided good performances. However out of the two, Jason Clarke provided the best performance. The side characters were forgettable, with the exception of Doug (John Hawkes) and Yasuko (Naoko Mori), with Doug being a postman and Yasuko finally completing the seven summits, two things which helped to distinguish them. Everyone in the film was 'care-beared', thankfully, and they had to be otherwise it would impossible to tell who you were looking at.One part of production that deserves praise in this film is the lighting department who did a superb job on presenting a clear environment; especially during the storm. A quick side note- the score of the film was forgettable.Ultimately, Everest is an intense drama thriller that has its problems, however is still beautiful to watch, I wouldn't purchase it on 3D Blu-ray, as after watching it in 3D I didn't find anything spectacular or noteworthy, however I would consider buying it on Blu-ray. Overall, I am going to give Everest a C+ or 6/10.",6.0,Anonymous,Biography
"Everest: Cool shots, not much more","To start, there are some positives in the film. The cinematography is excellent, with both the real-life backgrounds and CGI sequences blending very well. Along with this, the film also does a good job with creating an atmosphere for the audience. Things such as the special effects and the sound editing help to involve the audience in the film and make it seem, to some extent, that they are there on the mountain with the characters.Aside from the previously mentioned things, nothing in the film exceeds mediocrity. There are attempts in the first half of the film to set up an emotional backstory and a family subplot for multiple characters. However, so little time is spent on the topics that they come off feeling completely unnecessary. This is made worse due to the fact that the family elements actually end up being revisited and take up a considerable amount of time in the final act of the film.The script and performances by the cast range from average to bad and never really exceed what you would expect from a summer blockbuster. This is made even more disappointing because Jake Gyllenhaal, one of the most talented actors working today, was wasted in the film, barely filling and screen time.Finally, the characters in the film are in constant danger, which is suppose to be the main ""thrilling"" element that is suppose to engage the audience. However, due to the lack of depth given to each character, it just leaves you not caring about the fates of the characters. Also, due to the large number of characters in the film, it is hard to keep track of their faces, let alone their names. This is especially true during the chaotic parts of the film, when you can barely see anything, let alone the faces of the people in the film.Overall, ""Everest"" looks very nice, but nothing else in the film is done particularly well, with it never being able to exceed the level of a below average summer Hollywood blockbuster.",4.0,Anonymous,Biography
