title,content,rating,username,genres
"A deeply thoughtful, multi-layered, meaningful and visually beautiful cinematic work","One film which I have watched on multiple occasions is Eyes Wide Shut. This was Stanley Kubrick's final film. It is one of the most challenging, underrated, misunderstood and complex cinematic works I have ever seen. Ever since it's release it's been given variegated reviews. The flawless visuals, deep themes, slow pace and eerie almost dreamlike atmosphere all captivate the viewer.The premise itself is the story of a doctor named Bill Harford played by Tom Cruise and his wife Alice played by Nicole Kidman. A wealthy and privileged couple who reside in New York with their young daughter Helena. After Alice unveils a mysterious sexual fantasy she had with another man Bill becomes distressed. A thoughtful Bill embarks on a late night sexual odyssey where he counters temptation, lust and infidelity. Before attending an outlandish orgy held by the rich and powerful of an underground cult. There he witnesses the darker side of sex and how dehumanizing and frigid it can be. After being exposed as an outsider Bill's livelihood and family become endangered causing Bill to resolve the aftermath even though he was given terse instructions not to by the cult. Rousing more thought-provocation, confusion and mystery to flow.In the end the film remains ambiguous and puzzling yet nevertheless fascinating. There are many themes to study such as jealousy, intrigue, fear, sexuality, fantasy, reality and dreams amongst a host of others such as psychology, sociology, human nature, society and so on. It's also an fascinating message on how sex has transformed into a technology e.g. the obsession with money. Many stress it to be an artistic film as well. Personally I don't think it's Kubrick's best film however it's still in there with his best. A symbolic, important and serious work. The title of the film is metaphorically relevant to the context of the film in that our eyes are literally wide shut to the truth. As the ending is quite ambiguous interpretations are left open in that the viewer can decide whether or not it has either an optimistic or pessimistic outcome. I would maturely recommend it",8.0,Anonymous,Mystery
A World of Its Own,"I remember when Kubrick passed away. I read it in the morning newspaper, and was struck with deep sadness I couldn't explain. Mind you, I was not even 12 years old at the time and had barely seen any of his films.So I went to see ""Eyes Wide Shut"" (1999) at the cinema. I credit it, along with Terrence Malick's ""The Thin Red Line"" (1998), as an experience that ignited my interest in film, since they were both films like I had never seen before. Sure, there's that one reason why a young lad might be interested in this, but I was so struck by its atmosphere and narrative flow that I had to read Schnitzler's ""Traumnovelle"". And how disappointed I was in how unalike they were. The film was in a world of its own that had a sense of time that was its own, a sense of colour that was its own, a sense of light that was its own. Every movement was languid, every word deliberate.I never really thought about the connection between this and Malick's film until now, but really, they both move in the realm of dreams and memories and projected, subjective realities – between something that did happen (to someone) and something that might have happened. There's ellipsis, ambiguity, metaphor. Both work their magic in visual terms. I'm soaked in that light from the ball even by recalling the images in my mind as I'm writing this.Fidelio – enter.",8.0,Anonymous,Mystery
Hypnotic and misunderstood,"Initially was at a loss for words with this one. I can't necessarily explain the feelings this film brings out, but I can say they feel real personal and there's just something so off yet so painfully real about (most of) this movie and it is just really undervalued in Kubrick's filmography, I think. Besides being one of my favorite looking movies ever, the midpoint turn is one of the scariest heading down rabbit hole reveals I've really encountered in a film and it just disturbed me for the entire time (you know the point) and after as it continued provocatively building to the disturbing and bizarrely cathartic ending, which haunts me as the final scene in a Kubrick film. It's perfect in it's imperfectness and I get an insane level of both joy and sadness watching this movie.",10.0,Anonymous,Mystery
"Compelling, complex observation of fidelities and fantasies","With the exception of a late-occurring scene of deadening over-explanation wholly unnecessary to the film on every level (and rather unusual for Kubrick), Eyes Wide Shut is utterly sensational, and represents another gleaming jewel in the master filmmaker's already studded crown.  Cruise and Kidman surpass all of their previous work, turning in spectacular performances infused with nuances only hinted at prior to this outing. Their real-life union appears to bring every bit of unique tension Kubrick intended, as the movie wholly depends on the verisimilitude of the central couple's relationship.  Kubrick's tone fulfills all the promise of the title, consistently delivering an elevated texture of almost uncanny imagination perpetually hovering between fantasy and reality.  The director additionally mines many of his familiar thematic concerns, including deceit, paranoia, and blinding frustration.  Eyes Wide Shut is certain to be as closely scrutinized as many of Kubrick's other films (particularly because it is his final work), and its thoughtful and challenging treatment of such lightning-rod topics as marital honesty, sexual jealousy, and the perceived risks of disclosing one's fantasies (even to the single person you trust more than any other) is sure to draw some people in while pushing others away.",,Anonymous,Mystery
meandering cold movie,"Upper class New York couple Alice (Nicole Kidman) and Dr. William Harford (Tom Cruise) seems to have it all with their girl. They go to his rich patient Victor Ziegler (Sydney Pollack)'s party where he ends up treating an overdose. His medical school mate Nick Nightingale gives him a password to a special party. He meets prostitute Domino. Milich and his sexualized daughter rents him the costume. He is confronted at the mansion and is kicked out. He becomes obsessed with getting back into the secret society.There is no arguing that Stanley Kubrick makes good looking films. Looking back, there is something meta about Kidman and Cruise's crumpling marriage both on and off the screen. There is a fascination with this movie like slipping a small glimpse into their real lives. However I don't like the meandering nature of the plot and the disconnected nature of these characters. I don't care about any of the characters and I don't find their relationship compelling. The numerous naked beautiful women actually becomes numbing especially since most of them are wearing masks. They might as well be mannequins. Other than Leelee Sobieski and Nicole, none of the female characters are that interesting.",6.0,Anonymous,Mystery
Eyes Wide Open,"Stanley Kubrick's final film is perhaps the first of its kind: it is the only film I have watched that exists within the state of death itself. It's no surprise; Stanley Kubrick died 4 days after submitting the final print into Warner Bros., Sydney Pollock died in 2008 and my grandparents, who saw this film at a screening in 1999, are dead. However, these aren't merely the reasons this film evokes a death-like state, this film evokes a death-like state throughout Bill Harford's sexual odyssey. During the Masonic orgy, which is arguably the film's center-piece, women are used and discarded as corpses who are only valued for their material gain. This film is shroud in ultra-violet blue, especially at the end of the film where it accentuates the characters' trembling flesh and vulnerable humanity, and the powerful red which contrasts against this blue reflects one of Kubrick's favorite themes: dominance. Perhaps it's inexplicable that Eyes Wide Shut evokes a man's dying thoughts. Ironically, this film feels more fresh and timeless than many of its contemporaries, only reaffirming the inestimable value of Kubrick's contributions to cinema and a decade of a cinematic drought aptly followed his death. It was fashionable to deride Stanley Kubrick's final film during its theatrical run, regardless of the fact that he considered it his personal favorite. It seems that the audience expected Kubrick to inundate them with gratuitous eroticism as opposed to ideas. Yet, Eyes Wide Shut has outsmarted time and the film industry itself. It was almost incongruously released a week before American Pie and the abysmal Will Smith star vehicle Wild Wild West. It continues to hold a mere 7.2/10 on IMDb in contrast to escapist science-fiction film The Matrix which holds an 8.7/10 rating and is listed in the top 30 films of all time, above Kubrick's more cerebral science-fiction classic 2001: A Space Odyssey. All of this may be due to the fact that Kubrick argued that 'Observancy is a dying art' and Eyes Wide Shut requires an attention to detail and an attention span that transcends the average summer blockbuster; it's easy to get lost in the terrifying labyrinth of Kubrick's musings. Though, unlike other films, Kubrick's Eyes Wide Shut refutes the transcendent imagery and magic that is featured in the majority of Kubrick's films, even in Eyes Wide Shut itself, and strips humanity down to its fragile human core, figuratively speaking; Kubrick comes to the conclusion that when man is confronted with the cold and harsh reality, he favors comforting self-delusion and blissful ignorance.Sydney Pollock's Ziegler argues, during his amazing final monologue, that the Masonic orgies are practiced by society's elite which excludes Bill. Bill spends the duration of the film's first half attempting to engage in infidelity after his wife reveals that she was willing to choose one night with a naval officer over their future. Naturally, this enrages Bill and he spends the night attempting to fulfill his personal need to subjugate his feelings of impotence, sexual and otherwise. Even in the very beginning, when Bill walks with two models, his short stature implicitly denotes his lack of power. Bill is convinced that he has been subjected to a life of domesticity and his wife is responsible; he vows to reaffirm his masculinity. Kubrick paints long shots of New York at midnight which is designed to inspire the viewer with dread. Almost every single beautiful shot capturing the very essence of soft, warm colors in the beginning soon descends into the dark and strong colors that reflect the very dream-state many describe when they watch this film. Yet, to me, it evokes a foreboding death-like state which suggests impending doom.Bill's quest for reaffirmation of his masculinity only renders him emasculated when he enters a Masonic orgy and is rendered socially powerless by a group of the masked elite. Bill's journey neither leads him towards enlightenment nor satisfaction but humiliation and understanding that he has been domesticated by the higher classes. Ironically, his quest for sexual empowerment only led him to the understanding of social domesticity; Bill is not as influential or elite as he had initially anticipated. Not unlike the elite's perception of women; they use the high-class prostitutes as objects valued for their material value which reflects their perception of the masses that are responsible for their success. As in the beginning, when Ziegler needs Bill to revive a dying woman who almost overdoses on a combination of cocaine and heroin, Ziegler values Bill for his medical expertise which prevented trouble with the law rather than his personality. Kubrick's film argues that we live in ignorance of others perceptions of us and this is the ultimate existential fear of Harford; the elite have seen Harford unmasked, vulnerable and exposed. Pollock says 'If you knew who was there, you wouldn't sleep so well.' Kubrick has finally exposed man for who he really is; vulnerable and ignorant of the mysterious forces which govern him. The final and most playfully complex of cinema's closing lines concludes that Bill and Alice Harford have learned to stop worrying and love the bomb. They refuse to acknowledge their social impotence and would prefer for their eyes to remain wide shut, ignorant to the mysterious forces that govern them. On a more optimistic note, however, perhaps Bill's odyssey only made him aware of his vulnerability, and Kubrick evokes this through the dark imagery that recreates the sense of subjective paranoia that Bill is experiencing. Bill realizes what ultimately matters: love and family, as opposed to the power which he initially craved but only realized he was at the mercy of others' application of such social power. I'm open to many interpretations of this film, because Kubrick wanted the audience's eyes to remain wide open soon after they finished experiencing this masterpiece.",10.0,Anonymous,Mystery
"I know this makes me a heretic, but this film should have had at least half an hour trimmed.","It's amazing that a film this long and drawn out would actually leave so much unsaid and unclear. What's also amazing is that although I am a huge cinemaniac, I am willing to dare to say that the god of cinema snobs, Stanley Kubrick, made a film that was far from perfect. The bottom line is that although the plot was very interesting, the film was simply too low energy, too long and too over-stylized.I must stop to make a horrible confession. Despite having now done over 9000 reviews for IMDb, I have very, very mixed feelings about Kubrick's films and the following are my insane opinions about many of his more famous films. Some are masterpieces--such as ""Dr. Strangelove"", ""Paths of Glory"" and ""The Killing"". Others, exceptional but flawed--""Spartacus"" went on too long and should have ended at the 'I am Spartacus' scene (then it would have been perfect). Others, way, way, way overrated--""2001"" is is definitely so. And others are so long and dull it boggles the mind--""Barry Lyndon"" made we want to scream it moved so slowly.As for ""Eyes Wide Shut"", it is far from Kubrick's best work and it is painfully slow...but it does merit watching. The basic story idea is, at times, intriguing. There is a lot to like. But, the film shows a certain painfully obsessive quality--a need to show EVERYTHING--every emotion, every grimace...almost every breath! Considering that Mr. Kubrick was well-known for his OCD-like qualities (often shooting scenes again and again and again as well as going months or years past deadlines), this isn't too surprising. Plus, by the time he made the film he was a bit of a film guru--and adored so much that no one would dare question why this movie clocks in at almost 168 minutes--whereas another director might complete the film in less than 120.There is also one thing that boggled my mind about the movie. Although the film should have received an NC-17 rating (again, I assume this was withheld because it was a Kubrick film), even with gobs of full-frontal nudity, it managed to make sex boring! The way some of the sex scenes were so over-choreographed (especially at the party at the mansion where Cruise was the interloper) made me wish that despite the gorgeous women that they'd just cut much of it. As a result, while it's not a film I'd rush to show a teenager, it's almost sanitary enough that you could.As far as the performances go, the best in the film was by Sidney Pollack. Unlike most everyone else in the film, he actually had some energy--like he was the only one awake among a half-asleep cast. I sure wanted to see more acting like this--and perhaps, in a way, Pollack was directing himself a bit.So far, it really sounds like I disliked the film, though this isn't exactly true--I mostly just disliked the way it was directed (ahhh....I must be a heretic). As for the extremely sexy story, some of it was great. I liked how the film explored what might happen if couples are too open about their sexual fantasies and the irreparable harm it can cause. I liked the idea of a secret society made up of the rich and powerful. I liked the way that you never knew exactly whether or not Cruise might die. But, I also think I've seen much of this done better in John Frankenheimer's ""Seconds"". I know that Frankenheimer is a very, very well-respected director but know few would say he was better than Kubrick--but in this particular case I think he did a better job mostly because his film was more direct, less self-indulgent and lacked the occasionally annoying soundtrack. The bottom line is that I liked the film but far from loved it. And, for the most part, that was the reaction to the film when it debuted. Aside from the Kubrick worshipers, most seem to feel it was one of his lesser films.Worth seeing but think three or four times about having your kids watch it!",7.0,Anonymous,Mystery
What did Kubrick want us to open our eyes to?,"Eyes Wide Shut is a movie like Casablanca or The Wizard of Oz (which is subtly referenced in the film) in that the more times you view it, the more you get out of it. (I imagine at some point you would wring out all the meaning, but that would take scores of viewings.) One infamous scene is so over-the-top it is easy to miss all the subtle references in the film, which necessitates multiple viewings. Fair warning--the more times you watch it, the more you go down the rabbit hole Kubrick digs (a reference to Alice in Wonderland, also evoked in Eyes Wide Shut).Eyes Wide Shut was inspired by an Austrian novella called ""Traumnovelle."" The film is indeed dreamlike. Kubrick recreated Greenwich Village on a sound stage in London, which, like a dream, is slightly off from the real thing and contains no superfluous elements. This evokes the perfect atmosphere for the movie as we accompany Dr. Bill Harford (Tom Cruise) on his all-night, humiliating, surreal odyssey.To me, the title of the movie, Eyes Wide Shut, implies willful naivete, particularly Dr. Bill's, and by extension the viewers', which seems to be (one of) the theme(s) Kubrick intends to highlight. Even the movie's poster seems to imply this: a mirror image of Nicole Kidman's character (Alice, as in Through the Looking Glass), looking right through the mirror in what appears to be an Illuminati image, while Dr. Bill has his eyes closed. In fact, all the shots of Alice looking in the mirror started to creep me out on subsequent viewings.The movie then indulges in conspiracy-theory dog whistles to anyone whose eyes aren't wide shut. The Harfords are a WASPy family living in a luxurious apartment in Central Part West, which may be out of reach for a doctor (basically, a highly paid member of the working class) whose wife doesn't work. Furthermore, Dr. Bill Harford (whose name sounds like ""Dollar Bill Harrison Ford"") throws around money like it's no object. Which raises the question of how he really makes his money--apparently by making house calls to the ridiculously wealthy who can afford to avoid hospital waiting rooms. Dr. Bill seems to aspire to rub shoulders with these people, but he is spectacularly naive to the realities of the world he is tangentially involved in and his actual role in it. It seems to me the reason he was invited to the Victor's (as in an economic ""victor's"") luxurious party at the beginning is because it is a house-call in disguise in case of something like the OD that indeed occurs at one point. I determined this by reading between the lines when the two models hit on him, and he seems oblivious to their allusions of taking him ""to where the rainbow ends"" (more on that below) and when he is taken away at Victor's call, they exchange looks that seem to say they had mistaken him for one of the elites, not a working-class schlub.FULL-ON CONSPIRACY THEORIES BELOW.If Dr. Bill's eyes are wide shut, then Alice's are partly open. This is implied in the very first dialogue exchange in the movie, when Alice knows exactly where Dr. Bill had left his wallet, while he had forgotten, and he doesn't remember the name of the babysitter, which was mentioned like 30 seconds earlier. This comes to the fore when he simply can't imagine Alice being unfaithful to him because women don't think like men, and she falls to the floor laughing and divulges a depressing sexual fantasy. Alice looks in the mirror a lot, most memorably when she stares in the mirror as Dr. Bill begins kissing her. Is Kubrick implying Alice is a former sex slave who is going ""through the looking glass""--the mental space sex slaves go to mentally block their abuse? Is that why Alice is constantly grooming their daughter, Helena? Is she subconsciously grooming her daughter for a similar fate? Is that why in the final scene, when Alice and Dr. Bill are wrapped up in their conversation at the toy store, Helena can be seen running away in the direction of two men in the background, who had also been in the background at Victor's party? Among the strange toys at said toy store are stuffed tigers and a game called ""Magic Circle""--resembling the imagery at the secret society's ritual/party Dr. Bill crashed and apparently a prop created for the movie. The stuffed tigers are identical to one on Domino's bed, a streetwalker Dr. Bill meets in Greenwich Village. Is Kubrick implying Domino is a sex slave, having undergone ""Beta Kitten"" programming, and the juxtaposition of the same toy with Helena in a toy store implying the girl's fate as well as the creepy conditioning the elites are subjecting the masses to?Then there are the references to ""rainbows,"" as in ""Somewhere Over the Rainbow,"" another reference to sex slave conditioning, similar to ""through the looking glass."" The two models at Victor's party offer to take Dr. Bill ""to where the rainbow ends""--where they go mentally when they're having sex. Then there is the costume shop ""Rainbow"" where Dr. Bill obtains the cloak for the secret society's party and where the proprietor's daughter prostitutes herself. The girl runs from her enraged father, gets behind Dr. Bill for protection, then whispers something inaudible into his ear. The version of the movie I own has Japanese subtitles that translate what she said: She tells him which cloak to choose. Does she infer where he is going with that cloak and does she have knowledge of what goes on there? That would seem to connect her with the rainbow image in the store's name.Finally, I question how accurate Kubrick's depiction of the elite's secret society is. It seems to be a hodgepodge of hellfire club, Bohemian Grove, Illuminati/Freemason, O.T.O. imagery. Are there elite cadres involved in these types of ritual debauchery? I'd guess Kubrick was close enough to these people he probably saw a lot and knew enough to guess at the rest (such as the sort of parties the Rothschilds threw--the exterior of the house of the party was one of the Rothschilds' residences). There are disturbing parallels with Eyes Wide Shut in the Jeffrey Epstein case and his ""suicide."" I'm guessing it is true in broad strokes. I think Kubrick was telling us society's elites engage in depravities that would frighten and disgust the masses if we knew about them, and therefore we shouldn't be so naive to grant the economic victors any moral authority.",10.0,Anonymous,Mystery
A film celebrated more for his director than for its quality,"A handful of critics tend to rate films based on the conception they have based on a certain author rather than the final product. Owning a history with Kubrick's masterpieces I can affirm this is the last one worth of notice. The film deals with themes such as fragile masculinity, the decay of marriage, appearance and reality but also dreams,secrets, and so on. Besides the complexity of the themes which were mediocrely conveyed the captivating imagery and scenes shotted will keep the viewer interested. Eyes wide shut is scenographic masterpiece, despite the story being rather vague and empty.",6.0,Anonymous,Mystery
Long slow journey to nowhere,"Eyes Wide Shut is a long, slow journey that leads... nowhere.  While there are some attention-grabbing scenes such as the one in Victor Ziegler's pool room, too much of the film has the feeling that they are trying to fill out time.  Nicole Kidman gives a good performance and Sydney Pollack is very good, but Tom Cruise is, well, the same old cocky, one-dimensional Tom Cruise.  Unknown, bit actors kept showing him up in scene after scene; it got a little embarrasing.  If he wasn't good looking, he would have a hard time getting work.I guess if you have 2.5 hours to kill and don't mind a movie that takes you nowhere, you might enjoy this film.",1.0,Anonymous,Mystery
