title,content,rating,username,genres
"Final Destination 2 doesn't break too far from its predecessor, but it is a decent follow-up","College student Kimberly Corman (A. J. Cook) sets off on the road for Daytona Beach with her friends when she has a premonition of a multicar pileup on the freeway before exiting the on-ramp. Kimberly blocks the on-ramp with her car and tries to tell police officer Thomas Burke (Michael Landes) of the pileup but it happens anyway but not before Burke pulls her out of the way of a speeding car carrier that kills her friends. While other survivors of the pileup are dubious of Kimberly's premonition, Burke is more inclined to believe her as he was involved in the cleanup of Flight 180 one-year prior which experienced similar circumstances. As survivors of the pileup begin dying off, Kimberly seeks help of the voluntarily institutionalized Clear Rivers (Ali Larter) who has isolated herself from anything and everything since the death of Alex Browning. But Kimberly has visions that could lead to them escaping death's plan.Following the success of the first Final Destination, then New Line Cinema President Toby Emmerich approached Jeffrey Reddick to commission a sequel which Reddick agreed to do. Reddick stated his intent with this entry was to ""expand the mythology"" in order to avoid telling the same story over again. Previous film's director and writers James Wong and Glen Morgan were unavailable as they were busy with their respective projects of Jet Li's The One and the Willard remake respectively. The film instead was helmed by David R. Ellis whose prior directing credit was Homeward Bound II in 1996 and had more frequently worked as a second unit director and stunt coordinator with writers Eric Bress and J. Mackye Gruber coming on board as co-writers. Upon release, the movie had a respectable opening weekend of $16 million at number 2 opening behind The Recruit and eventually made back $90 million worldwide against its $26 million budget, a slight step down from the original's $110 million haul but still profitable. Critical reception while still mixed was somewhat improved from the first one with some like Roger Ebert who gave the original three stars only gave one and a half to the sequel. While Final Destination is fairly similar to the first movie in terms of setup with a formula pretty settled at this point, it is well made and delivers and what you expect and it does continue on from the first film.Unlike the first film whose cast of teen archetypes were very much molded by the late 90s framework of post-Screamsploitation that defined a number of horror films in terms of marketing and writing, the characters in Final Destination 2 are slightly more likable and less grating than they were in the first film, even ones who are supposed to be kind of abrasive have some redeeming moments. A. J. Cook is no surprise here a solid lead especially for anyone who's seen her work on Criminal Minds, and I also enjoyed Michael Landes as Burke and Ali Larter's reprise of the character Clear Rivers. Tony Todd also returns as the Mortician (credited as Mr. Bludworth) and much like the first film his creepy commanding presence is welcome and is probably the closest thing we have to the personification of an antagonist. The story is still pretty thin as it is mostly a lose chain of accidental deaths that follow some kind of path, but it does try to add new elements to avoid falling into a repeat such as the characters seeking a way to beat Death's plan by way of ""new life"" and while it's not 100% successful at avoiding sequel pitfalls it works well enough and the fact that the film has a relatively closed ending (albeit one with a very mean spirited joke) makes Final Destination 2 feel more like the closing half of a two parter rather than something overtly cynical as you've seen with some sequels.If you liked Final Destination, odds are you'll probably like Final Destination 2. It doesn't stretch too far from what was established and there is some sense of ""deja view"" as is the case with most sequels, but there are attempts at doing things differently from how they were done the last time and the ending that eschews sequel baiting was rather refreshing so take that for what it's worth.",6.0,Anonymous,Horror
Buckle up.,"Kimberly Corman has a terrifying vision that a highway pile up will claim her life and that of her friends. Blocking the entrance with her car, Kimberly watches in horror as the crash unfolds, thus saving her life and that of the people in the queue behind her. But the grim reaper is not impressed and he's coming to claim the deaths of all those who should have died in the crash.For a sequel to truly work well it has to come up with something fresh, otherwise why do a sequel eh? Well the makers of Final Destination 2 choose to use the basic same formula of the hugely enjoyable first film, only adding more black humour into the crazy death design broth. Opening with a quite horrific highway pile up, FD 2 then takes us on a journey that sees an assortment of folk offed in various and gruesome ways. The story remains the same as the first film, even though writers Bress and Gruber think they are being intricate by weaving this plot into the original story, but ultimately it's just a devilishly nonsense fun picture. Ali Larter returns for a second helping, and she in turn is joined by a bunch of no mark actors waiting for death, which is perfectly fine for the genre discerning fan.This is a riot, and as long as you don't look too deep into it (why would you really?) you may just find yourself having a real good time. 7/10",7.0,Anonymous,Horror
Better than original,"Final Destination 2 is creepy, enjoyable and importantly, better than the original. This movie had the iconic wood log truck scene and the way deaths happened, you may get frightened and think what if this happens in reality.The direction and acting was better than the original. Like original, you will be busy enjoying the thrill and drama and will give you mixed feeling of horror, drama and thrill.Overall, will recommend everyone to give it a try.",7.0,Anonymous,Horror
Good sequel...,"As sequels tend to usually turn out, luckily ""Final Destination 2"" from 2003 didn't follow suit. Director David R. Ellis delivered a sequel to the 2000 movie ""Final Destination"" that was almost as enjoyable as the original predecessor, so that was quite an accomplishment.Writers J. Mackye Gruber, Eric Bress and Jeffrey Reddick put together a rather enjoyable and entertaining script and storyline, which was quite a good continuation in the spirit of the 2000 ""Final Destination"" movie, and at the same time managed to tie the first movie in with this sequel in a very good way. So thumbs up to the writers for that accomplishment.Something that always impress med in ""Final Destination 2"" is the impressive highway scene, it totally blows me away every time I sit down and watch the movie. It is like watching a well-orchestrated symphony of destruction and mayhem. Plus the way it is filmed and the effects really bring the scene to life (pardon the pun) in a very cool way.The cast ensemble in ""Final Destination 2"" is good, and it was nice to see Ali Larter and Tony Todd return to the screen to reprise their roles from the previous movie. And ""Final Destination 2"" brings to the franchise a bunch of great actors and actresses as well, which certainly helped to add to the overall enjoyment of the movie.Visually quite good, ""Final Destination 2"" delivers the destruction and mayhem to the audience in a very believable and realistic manner.My rating of director David R. Ellis's 2003 movie ""Final Destination 2"" lands on a seven out of ten stars.",7.0,Anonymous,Horror
Shock Value -- 7 (Good Flick),"You know that feeling you get when you're watching America's Funniest  Home Videos and the oblivious son hits his hapless father in the crotch  with an aluminum bat? It gets a quick reaction, like, ooh, I feel your  pain man.  FINAL DESTINATION 2 is a 90 minute or so string of those painful shots,  as each character one by one meets an unfortunate death by household  appliance. Bodies are slammed by trucks, heads are impaled, and limbs  fly through the air. When one of the characters dies when her car's  airbag explodes out of nowhere, I blurted ""Yeah! Wow, did they do  that??? Yeah, they DID do that. Right on!""  Although the film has a very serious atmosphere about it, what with the  creepy score and people sincerely freaking out and everything, it still  retains a campy humor about it buried beneath its high-budget exterior.  Many movies would shy away from smashing up plastic ketchup-filled  dummies, opting instead to avoid the gore. Not FINAL DESTINATION 2!  This movie is an honest approach to movie-making, hearkening back to  the day when you got together with friends and said, ""Okay, in this  scene we cut to the dummy falling off the building, it's run over by a  Mack truck, and it splatters chunks of blood all over that Oldsmobile  over there.""  As for the premise behind FINAL DESTINATION 2, how do I put it into  words? A.J. Cook has premonitions that people died in a nasty pileup on  the highway. Thing is, this never happened. And ... she continues to  have premonitions that those same people will die in due time. Those  people eventually die. Did I get that right? The universal law of  nature is that, well, Death sometimes misses its mark and has to fix  its mistakes (which usually involves electrical equipment getting wet  and other freak accidents of home improvement). If this all sounds  convoluted, watch the movie. You'll see what I mean.  The premise of FINAL DESTINATION 2, as much potential as it might have,  doesn't make much sense and is pretty hokey, but if you medicate your  inquisitive mind with heavy sedatives, you'll be able to look past the  flimsy premise and enjoy the movie. I'm definitely looking forward to a  Final Destination 3.",7.0,Anonymous,Horror
THE BEST OF THE FRANCHISE. One of the Best Sequels of all-time.,"Final Destination 2 is the best film in the whole franchise in my opinion,i was lucky enough to see this at the cinema back in 2003!!!This gory as hell sequel is so much fun,it's smart & thrilling & exciting so much more than the first film. Yes i liked the first film it was great but part 2 is even better.FD2 packs more ferocious,spooky atmosphere into an exciting rollercoaster ride that is pure Horror-thriller entertainment with dark humour & awesome creative kills.Ali Larter gives a strong performance once again as survivor of death, Clear Rivers, from the first flick & the new bunch of death deserters are well casted characters that very cleverly are each connected by the impact of the deaths of all the characters from the first film. Final Destination 2 is a super smart sequel the truly ups the thrills & fear factor. This is one of those films i keep comic back to for shear fun entertainment even after all these years.This film also has the best & most terrifying scene in the franchise,the pile-up car crash on the motorway.That sequence is terrifying & probably the most iconic & memorable scene in the entire franchise.Final Destination 2 is basically just good gory-fun,a good night's entertainment especially if your a Horror genre fan like myself!!!Yes i have Nostalgia for it but i also saw the first film way back on video & then was excited for the sequel.Just sit back with a nice hot cup of Coffee one evening & stick on Final Destination 2. It's a real Gem from an otherwise messy franchise, it's a great supernatural thriller flick & one of the best franchise sequels ever.Tony Todd is a Horror genre gem.Great popcorn movie fun.",8.0,Anonymous,Horror
"Creepier, gorier and better put together than the first","I was apprehensive when I didn't Devon Sawa in the credits or this movie, but then again, this film didn't really need him. This wasn't a sequel in the purest sense, but the film makers created methods to link all of the new characters to the old ones, creating a flow which wasn't too jarring. Unfortunately, the dialogue was the only real stinker in this film. The pretentiousness, the obviousness and the downright hokiness that came out of the mouths of the characters really detracted from the tension, turning their performances into a bunch of acting class rejects. But I digress. The only thing people are looking for is how Death will get the new set of escape artists. The sheer surprise and execution of the executions made me jump and crawl. In such a desensitized world we live in, being able to jump out of my seat means this film is a winner.",7.0,Anonymous,Horror
Dying for more of the same?,"If you loved the original Final Destination, then you will almost certainly enjoy the sequel, a virtual carbon-copy of the first film, except that everything is bigger and much, much bloodier.This time around, a group of travellers narrowly avoid being involved in a spectacular freeway pile-up thanks to an eerie premonition experienced by driver Kimberly Corman (A.J. Cook) as she waits on the on-ramp. Feeling cheated once again, Death alters his grand design to try and claim the lives of those who escaped his clutches. As the survivors of the accident begin to die in the order witnessed in her vision, Kimberley realises what is happening, and tracks down the sole survivor of flight 180, Clear Rivers (Ali Larter), for help.Despite working with material that rarely explores new territory, director David R. Ellis directs with gusto: his freeway pile-up is an absolutely jaw-dropping piece of cinema—a brutal, bloody and disturbing set-piece—and the subsequent death scenes are masterfully orchestrated pieces of mayhem that tease the audience with several possible bloody conclusions, before delivering their always impressive pay-off (gory fatalities are caused by a falling ladder, a sheet of glass, a faulty elevator, an air-bag, a flying wire fence, and a barbecue!!!).In amongst the graphic bloodletting, Ellis also finds time to throw in some very nice visual touches (such as the tree shadows which resemble clutching skeletal hands) and lots of delightfully dark humour (gotta love that final shot!). A thoroughly entertaining piece of OTT popcorn horror, Final Destination 2 gets a very respectable 7.5 out of 10, rounded up to 8 for IMDb.",8.0,Anonymous,Horror
"Brian, I think you'd better go check that barbecue.","This was almost like a flashback to a few weeks ago when the exact same thing happened for real on Interstate 4. It wasn't a log truck, but fog and a controlled burn that caused an 80-car pileup and much burning of trucks and bodies. I could not help but think of that when I saw the incredible accident scene in this film. It could have been used as news footage.This is probably only the second film in which I have seen A.J. Cook (JJ from ""Criminal Minds"") and Ali Larter (""Heroes""), but they did a credible job in a film where the story was far more important than the individual characters, none of whom rose to any significance. In fact. most were probably former WB stars. The only one I remember with any interest was Odessa Munroe.But the story and the special effects and the gore and, certainly, the suspense, made this film worth watching and peaked my interest in the prequel and the sequel, although not having seen the first one does not take anything away from this one.Check it out.",7.0,Anonymous,Horror
Second 'Destination',"As good a sequel as the filmmakers could have made, ""Final Destination 2"" still delivered the goods the original did.Kimberly Corman (A.J. Cook) and her friends go on a road trip, but Kimberly has a vision of a big pile-up involving not only her and her friends, but a lot of other people. She manages to save some of them after blocking the entrance to the freeway, but soon after the survivors start to die.Although not as scary as the original, it's still a lot of fun. Also, it makes you think about death itself. The ways the survivors die are still clever, but are a lot bloodier than the original's. If you don't have a strong stomach, then beware. There is also a revelation about the survivors which is clever as well.If you liked the first one, you should have no problem liking this one.",7.0,Anonymous,Horror
