title,content,rating,username,genres
Revisited this gem from my teenage years,"I grew up watching this movie in the 2000s, loved it then, and just recently re-watched it for the first time in many years. Definitely feels like a mid 2000s movie. Wow how times have changed. It's still a great movie, whose best scenes are mostly the ones with Peter Sarsgaard. I miss movies like this so much, sad that Hollywood doesn't seem to make them anymore, those introspective arthouse films that defined the teenhood of so many of us growing up in the 2000s.I just recently got into listening to Hugo Kant's music, that kept reminding me of Garden State, so I had to revisit the movie, and it brought back so many memories of my life back then, what I wanted to do, and how life has just kind of drifted along these past several years.I long for travel again.",8.0,Anonymous,Romance
Garden State,"This movie was incredible. As a massive fan of light romance 80's movies and old action films, I absolutely fell in love. The plot was no where near heavy, the characters were inspirational and once again, Natalie Portman's cute and quirky character played a massive roll in the beauty of this movie. The story, though containing heavy content to do with the death of Zach's mother, managed to stay subtle and tenuous keeping the comedy theme going. An incredible piece and a must watch to all that have the chance to witness the film.",8.0,Anonymous,Romance
"""True Stories from Suburbia""","""Garden State"" has a very specific brand of humor that not everyone is going to get immediately. But as writer/director/star Zach Braff says in the bonus interview, ""Is it funny? {Interviewer says yeah} Good. I never know if anyone else is going to find them funny. If nothing else, I'm making a movie that I'll enjoy.""And that's why this movie works. In comedy, the worst thing you can do is try too hard to be funny. ""Garden State"" falls squarely in subtle, almost deadpan territory... meaning there aren't any big sight gags, slapstick or knockout punchlines.In that respect I'd put it in the genre of ""movies like Bill Murray would act in"" except there's no Bill Murray. I'm referring to flicks like Coffee & Cigarettes, Rushmore, Royal Tenenbaums, Life Aquatic, which is essentially saying it's like a Wes Anderson film, or maybe Terry Zwigoff (Ghost World, Art School Confidential). There's a lot of visual storytelling, as in quirky symmetrical shots, stationary cameras on meticulously arranged sets, or a surreal vibe punctated by the camera slowly rising into the sky.The story is something like famed French existentialist Albert Camus would write if he did comedy. A late-20s, emotionless, estranged son (Zach Braff) returns to his hometown to bury his mother. He seems devoid of all sentimentality as he wanders around meeting all sorts of crazy (and I mean crazy) characters from his past. Whether he's being nearly shot to death by an overenthusiastic cop, or molested by a hot blonde at a party, his range of emotion barely budges between bored and slightly perplexed. Then he meets his antithesis, a 20-something girl (Natalie Portman) whose range of emotion is somewhere between very amused and insanely happy.It's the delightful contrast between these 2 characters, and their great on-screen chemistry, that turns an otherwise brooding sarcastic comedy into a really entertaining treat.Another thing that really defines this film is the way every character, even the minor ones who only have 1 scene, are so bizarre and interesting that you feel like an entire movie spinoff could be made of each one. These characters include: 1) the grave digger who makes his real living by doing questionable things at the hardware store; 2) the grave digger's hot mom who is sleeping with her son's sworn enemy from high school; 3) the kid who got rich from inventing ""silent velcro"" and who now spends his time doing absolutely nothing; 4) the West African immigrant who is studying criminal justice and is obsessed with figuring out which dog is pissing on his phone; 5) the strange ""Guardian of the Abyss"" whom I won't spoil for you; and the list goes on.The second half of the story focuses on a bizarre suburban quest the 3 main characters undertake, almost like in ""Stand by Me"" but with grownups and maybe a pornographic peepshow or two (btw the location of the climactic scene, ""Kiernan's Quarry"", is a real place--or at least it was until it got filled in & converted to condos a few years ago).But as strange and nonsensical as it sounds, these are in fact ""true stories from suburbia"" as Zach Braff says. The entire film is a compilation of stories that happened to him and others in his small Jersey town growing up. ""Garden State"" has a magical way of bringing these seemingly random vignettes to our attention, making us understand the epic nature of obscurity.So no, there may not be crazy car chases, bank heists or wacky jewel capers (...oh wait, actually there sorta is 1 wacky jewel caper), this film delivers a really entertaining ride from start to finish.",,Anonymous,Romance
"A blooming, Wonderful Garden State!","'Garden State' came out in the Uk on December 10th. I had heard wonderful things about it from friends and relatives in the US - I wasn't disappointed...From start to finish, the film made me laugh and cry. I thought the opening in which we met Braff lying emotionless in bed. Listening to the answer machine message from his dad about his mother's death was disturbing and really drew me in.So many memorable moments: The funeral, touching and funny, the party scenes, the scan scene...And as for the dialogue - well, sharp and witty. I don't think I will ever forget Natalie Portman's dancing in her bedroom - just to be 'unique' or Zach Braff's touching comments about what makes a 'home' in the swimming pool.Even those touching moments were funny; the fact that he couldn't swim!As a mid twenty-something, This film really spoke to me. It's that question we all dread. We've graduated university, got jobs....then what?Fantastic...just a shame it is not on wide release here...One of the best films I have seen in ages!9/10",10.0,Anonymous,Romance
An Unpolished Movie With Blatant First-Timer Mistakes,"Perhaps the most notable and visible issue with this film is the narrative structure. The writing is done in a sort of encounter-to-encounter style, like a layman's Odyssey. I feel though that this is not a result of a specific film styling but rather poor writing on the part of Zach Braff, who, mind you, is not the Epstein brothers (of Casablanca fame) but rather a TV actor who is breaking into the big screen for the first time. As a result, plot weaving becomes non-existent, and character development, even in the case of Large (the main character) is shallow and doesn't really show much change, or rather, the script doesn't provide an opportunity for change. When he then has an epiphany at the end of the film, a terribly contrived moment, he praddles off everything that he already knew as if it were terribly profound, and the moment entirely misses.Also, characters, specifically Large, seem to go off on philosophical tangents which are neither profound nor insightful, but seem to be what he really wants the audience to derive from his movie. In this classic case of ""Telling"" instead of ""showing,"" I personally was annoyed as I felt that as an intelligent viewer I didn't need to be spoon-fed these ideas but rather, as in any well-written movie or literary piece, could have derived them from the work itself without them being thrown into my face.Please keep in mind that this was something of a Devil's advocate opinion as I did enjoy parts of the film, and certainly recommend it above most of the other films in theaters now.",6.0,Anonymous,Romance
life is a state of mind,"First off, for anyone thinking about seeing this movie, go do it!! No matter what anyone has told you already about the film. I notice a lot of people writing that they didn't like Garden State and that's fine, I personally thought it was excellent. To me it was real life on film, and within that real life there are very different people. Unfortunately not everyone wants to see movies that remind them of reality, and I guess not everybodies reality is the same as mine. Even so Garden State is well worth the watching, if only to remind us that the comatose state most of us live in is only temporary, and the joy of a life well lived is forever.",10.0,Anonymous,Romance
A backseat drive,"The movie feels like a long drive in the backseat. There is some good music, a bit of good dialogue with the driver an scenery to see. You can feel some chemistry between the Couple in the front seats, but in the and it just takes you from A to B.While the plot unfolds in a thoughtful and sophisticated manner, it just goes where you expect it to go. It is a movie with some good camerawork, great music and subtile moments, but it is just a bit too straightforward.",7.0,Anonymous,Romance
Wonderful Effort From First Time Writer/Director Zack Braff,"I really loved this movie.  I mean, really.  So it surprised me to come here and find it rated so low.By no means is this a perfect movie.  It can be slow or awkward from time to time and there are one or two moments that just don't work.  But.  By and large I was really impressed.It's a great little story with just the right balance of comedy and drama, full of quirky characters and interesting performances.  Ian Holm demands attention, as always, and Natalie Portman's Sam, while offputting at first, definitely grew on me as she grew into a real character.But the real story here is Zack Braff.  It should surprise no one who has ever watched Scrubs that his performance keeps the movie together; or that he is able to create a jokey, distant, somewhat sarcastic character who also elicits real empathy from the audience and manages to emanate deep wounds. What amazes me is the work he has done here as a first time writer/director.First off, there is an actual narrative here with meaning and relevance. Too often, the big Hollywood movies will have a plot that resolves itself, but means nothing; on the flip side, independent movies almost seem to disdain plot for mood and thematic concerns.  Braff is able to weave both together--a difficult task for a young writer.  The dialogue is witty, plot situations intelligent and creative, and overall the writing is just--good.As for his directing, there are a few odd choices.  I'm still not sure I like one scene the main characters are screaming into a deep ravine and the camera sweeps away into said ravine.  It just tossed me out of the movie a bit.  I'm also not completely sure what to make of the movie's ending, which I won't go into further except to say that I felt it almost changed the focus of the movie up to that point and made it about something else. However, there are moments of absolutely beauty as well, here.  The entire scene where Sam and Andrew talk in his friend's pool has some great shots, and Braff's comedic flair and timing are evident in his directing style, which still manages to pull back for the more dramatic and poignant moments.I urge you to see this movie.  It's not a ""big"" movie.  It was never meant to be.  But I have little doubt that, once it finds an audience, it will be remembered for years to come.  Sort of a modern day Graduate with a more hopeful outlook on life.",10.0,Anonymous,Romance
"Sweet Film, Killer Soundtrack","I first heard about this film from The Shins. James Mercer mentioned this film in an interview and talked about how it raised awareness for the band. I decided to watch this movie only because of this, and I actually thought it was pretty sweet. I like the contrast between Andrew's junkie friends and Sam's innocent, loving family. You can really see how much the colors change from depressing browns and whites to warm reds and yellows. I think Zach Braff did a great job directing the film in that sense. Braff also did a good job playing Andrew. He really portrayed the numb mindlessness of Andrew, and really changed throughout the film. I like how we see Andrew go back to that numb mindless state when he is waiting on the plane after leaving Sam. It really goes to show how much he needs her. Overall, the film was very well made and the soundtrack is gold. I was elated when I heard an acoustic version of ""Such Great Heights"" by the Postal Service playing at one point. I didn't know how versatile Natalie Portman was as an actress until watching this movie She played Sam very well and was one of the highlights for me.",7.0,Anonymous,Romance
I really got it,"Movies with guns, explosions, Barbie/ken romance... You know the drill. They can be good films, but it's rare I ever relate to those movies.I *really* related to this movie - both the main character played by Zach, and the pure concept and analogy on display here. This film earns itself a place in my DVD collection upon release for the sheer fact it matches my 20-something experience to a huge degree, and all the feelings along the way.Normally films such as this tend to end up becoming ""coming of age"" stories - this isn't. It's simply about living life, but not knowing why you are living it.An excellent film on many levels - 10/10.",10.0,Anonymous,Romance
"We all have dreams, I know I do","This was almost the perfect movie. The acting was great, the direction was great, the script was brilliant, and the location shoots were perfect. Probably the most amazing thing about this movie was the screen stealing show stopping performance of Natalie Portman. She showed this brilliance in ""Leon"" aka ""The Professional"", and once again amazed with her talent. It contains different humour to your usual American movie and was a needed hit in the movie circles of 2004.My only problem was a little part of the story that seemed out of place and not needed. This is not a spoiler, it is his friends wealth and invention. They just seemed unnecessary to me. This is a minor complaint and I eagerly anticipate Zach's next work. He could quite possibly end out being more famous behind the camera than in front of it.",8.0,Anonymous,Romance
"Good film, Great directing","This is a really watchable film from a great new young director. Zach Braff, you may well know from the brilliant scrubs, writes and directs this very competent film. Basically it is a simple plot about a few days in the life of a man coming back to his home town for his mums funeral. Anyway what is really interesting in this film is the relationships between characters especially Zach's character and his dad and between Zach and Natalie Portman's character. There is a lot of quirky humour and surreal daydreams that can be seen as a direct influence from scrubs. If you liked Donnie Darko you should enjoy this, yet if also if you thought Donnie Darko was a pile of sentimental, surreal dross you should find that this is a much better and more 'real' film.This is a film well worth watching",,Anonymous,Romance
Good? Yes. One of IMDb's top 250 movies of all time? Hardly!,"Garden State is an entertaining and downright visually stunning piece of film-making by Zach Braff. It is both painfully sad and hysterical, and overly melodramatic cheesiness is always interrupted at the perfect time by comic relief, usually delivered by Natalie Portman's character. And, as other users have noted, it does speak to my generation; as a 24-year-old I am at that stage where home is no longer the same, and there's an abyss in front of me that I'm terrified to face since I have no idea what's in it.With that said, Garden State's screenplay is flawed to the point of being patronizing. The movie succeeds and has been so well-received because it plays off the emotions and experiences of all 20-somethings, but it does so with a great deal of half-hearted philosophizing that tries way too hard to make a point about life that just isn't insightful. Yeah, life is hard, but you're off your drugs, you're in love, and, aside from your mother dying, you really don't have any problems. You're in your 20's, and there's lots to figure out but it will happen in time, so stop obsessing over it! And the end, my God, the end! Without giving anything away, the ending of this movie is the worst kind of forced dramatic tension and predictably melodramatic resolution when there is just no dramatic tension coming from the story itself. We know that Andrew Largeman has a flight back to LA that he has to get on, but why is it such a big deal for him to go back to LA? Is his life there really so important that he can't stay in NJ with Sam? There is just no dramatic energy to create the tension that the character seems to be facing; it just comes out of nowhere as a vehicle for Largeman to spout off some final words of quasi-philosophical self-evident baloney. His life is not that bad, and the decision is not as hard as Braff wants it to be.So, this movie gets a 5 from me. It is beautiful, the acting is superb, and it does speak to me. But it tries way too hard and the plot and drama ultimately fail to deliver.",6.0,Anonymous,Romance
Very impressed,I would give Garden State a 9 out of 10. The only reason I'm not giving it a perfect 10 is b/c it had a slow start. Besides that this movie overwhelmingly surprised me with its directing and acting. Natatlie Portman did an amazing job playing Sam. She really worked the part. Zach Braff's directing debut is stunning. I had never heard of Braff except for his character on the TV show Scrubs. He also did an excellent job acting. There were so many surprising elements thrown out during the movie. Braff just kept piling one thing on top of the next to make the story more interesting as it rolled on. I was very pleased with Garden State!!!!!!!!!11,9.0,Anonymous,Romance
This film is given too much praise,"To me The Garden State is a film which tries too much to be artistic. Some scenes with some coldplay/Keane music in the background don't make a movie artistic.I have the feeling that I know what director and writer Zach Braff wanted to do, but he failed by wanting it too much. This movie looks likes a nice, artistic, honest movie about a young man who returns to his home after nine years and discovers himself. The strange characters, his old friends, put in the humour. But the story is too cliché. As are the dialog. The dialog aren't good enough to keep my attention. The dialog want to learn us about live or should be romantic, but they aren't. Come on, I've seen this in other movies a hundred times.I will try to explain it:When I watched this movie I had the feeling I had seen it all before, but then slightly different. Of course almost every movie has this, but in this movie I couldn't get rid of this feeling. I also had the feeling that the scenes with the music and the shots of Jersey were too much planned. It didn't really add much to the story. It is a movie that is written to be special instead of just being special. And not only that, the story isn't good enough to get away with the things I said above. That is why it has failed in my opinion. I don't understand why it has such a high rating here on IMDb.It is not a bad movie, but it is not as good as the voters on IMDb say.",6.0,Anonymous,Romance
Quirky comedy about a quirkily comedic everyman returning to his home town.,"I had high hopes for this, what with Scrubs being consistently hilarious, well-observed and occasionally moving. Sad to say this isn't even half way there.Although in the guise of an offbeat indie film, this never feels authentic, and can be grouped alongside those other contrived pass-offs - The Secretary or Chocolat. This isn't in the same league as Donnie Darko or Happiness.It all seems a little too by the numbers, lacking any real insight, as it desperately tries to wear its kooky credentials on its sleeve. Natalie Portman's excruciatingly overwrought turn JUST HAD to be pushed way beyond the realm of credibility with the liar's tick or the hamster run in the house. Zack JUST HAD to get around via an old army bike and sidecar combo. His friends JUST HAD to include a wacked out grave-digger, a feckless millionaire and a charmless pyramid scammer.Now I have nothing against gentle whimsy, but it upsets me when there were glimpses of a much better film here. A nice opening half hour with good visual riffs on lack of communication and stifling conformity. But when the lead actor / writer / director falls for the perky, Portman pixie the whole things descends into idle wish fulfilment.Rather give me the Eternal Sunshine of the Spotless Mind to see two properly fleshed out characters written and performed with acres more indie credibility.",7.0,Anonymous,Romance
"Great little movie, great acting by Natalie and Peter","A very promising film debut by Zach Braff.The plot isn't all that original, the movie isn't all that flawless, but ""Garden State"" has a unique and sincere quality which make it totally differ from other flicks. In short, this movie is ""real"" and sensational.Let's not forget about the acting. Zach was lucky enough to have two of the very best young actors starring in his movie: Natalie Portman and Peter Sarsgaard. Especially Nat Portman, her Sam is so lovable that I just want to give her a big huge. Her smile lights up the screen. NP's character and acting are definitely the highlights of ""Garden State"".8 out of 10. Very touching.",10.0,Anonymous,Romance
"OK, but somewhat over-hyped","There's nothing wrong with Garden State. It's a competent film that delivers a gentle, if somewhat awkwardly laid-out plot. There are times when you'll be wondering what the relevance of several scenes are, and other times when your attention will wander.But mostly it rewards the perseverance of its viewers with its ending which, although horribly predictable and Hollywoodey, still manages to raise a smile.But Garden State does suffer from hype. A full half of all IMDb votes rate this a 10. Maybe I saw a different version of the film, but I doubt it. There's a growing trend of ""following the loudest voice"" when it comes to rating movies (and I don't mean just on IMDb, but generally in all reviews). People will read a review and think that the film must be good simply because someone else said so, and rate the movie accordingly, even though they privately might not have rated it that highly. Oh well, I guess that's how the Academy Awards work anyhow.I won't say Garden State is entirely a feel-good movie either. At times it's a feel-bored movie, but not that often. Neither is it a comedy. It has it's moments, but they are not laugh-out-loud moments so much as snigger-and-chuckle moments.In short, it's a movie that isn't certain what it wants to be. A mixed bag that does none of its elements proper justice. A Jack-of-all-Trades movies that, ultimately, doesn't satisfy as well as it could have.But, that said, its a very good first effort from Zach Braff and miles better than ""Confessions of a Dangerous Mind"" - Clooneys first effort. So not all first efforts suck. And Braff is heading towards superstardom, whether he wants (or knows) it, or not.",7.0,Anonymous,Romance
Wonderful gem hidden in the Garden State,"This is a movie about youth, about the past memories, it's about how growing up can be difficult. It's about searching your own identity when compared to others and finding yourself and who you are in the path of life. It's about being different than the others; and still finding yourself and a satisfying path to walk in life. It's about being sometimes odd and weird but still being accepted and lovable. It's about finding the lost connections and friends of childhood and reviving and reliving those connections. It's about seeing how different roads life can take each one of us once we hit the adulthood, and how everyone makes their own decisions. It's about painful memories of the past and gaining acceptance and peace with them. It's all about life itself, sometimes difficult and bittersweet, but also having undeniably beautiful moments in it.I am one of those who would fit to the life timeline of the main characters in the movie. Although I don't live in the States so although some of it is different (no drug or excess alcohol use here among young people), this movie reminded me of my youth. I grew to adulthood in early half of 2000's and I could find myself in these characters in broader sense. How beautiful depiction of the stories of these characters.Excellent performances by the main actors/actress. Especially Peter Sarsgaard is excellent in his role in this movie, I've grown a huge fan of his work. I would definitely recommend to see this movie. There's a wonderful gem hidden in the Garden State.",10.0,Anonymous,Romance
"This movie proves why we all live life, and it does it very well.","Garden State is a wonderfully made movie with extreme talent. Zach Braff directs, writes, and stars in this movie. And it is his debut movie as a director and a writer and he couldn't have done better. If you are looking for a stupid movie where you really don't have to think about anything, avoid this. But if you want to see a movie that can possibly change your life, then see it. The Main Reasons I liked it were:1. The screenplay, the writing in here is brilliant. Everything is memorable.2. The acting. Especially Natalie Portman. She took my breath away. I have to say she is the next talent to look for, with this movie and CLoser she is sure to be an A list star. And if it wasn't for Closer this performance would give her a supporting actress Oscar.3. The memorable scenes. I have to put this because there are many that i walk out and will remember again. This is a great romance. From the beginning Dog Licking-Doctor's Office scene to the Most uniquely original thing in this one spot, to the yelling into the open canyon, and then the very end. That is the most memorable romantic scene all year.4. The Soundtrack. The soundtrack almost made the movie what it is. It brought it from great to greater. Especially the songs they play during Natalie's screen time.This movie is by far the best of the year, and it teaches you about life, and love, and when to take risks. So to sum this up in about 2 words SEE IT. It will change your life. (The Shins- no pun intended).I Recommend seeing it if you Liked Eternal Sunshine of the Spotless Mind, or if you like this see Eternal Sunshine of the Spotless Mind.",10.0,Anonymous,Romance
