title,content,rating,username,genres
What a crime thriller should be,"I like it when a movie can keep me guessing until the end, and Gone Girl just did that. Most of the time I didn't know where this film was going, and each new twist and turn was a surprise. You can't help but get pulled into the story. The actors all gave excellent performances, as well. I don't think I'll ever be able to look at some of them the same way again. This movie is what a crime thriller should be.",8.0,Anonymous,"Drama, Mystery"
"Mixed feelings, hear me out.","There's no denying that this is a great film and from what I've heard a great book as well, you can see that I gave it a 9/10 rating, but there's a catch especially for me personally with this movie. The shorts version I can tell you and with my hand to God no lie this movie single handedly put the nail in the coffin for my marriage without me even being the wiser. So for as much as I do appreciate the detailed and intriguing story, watching it years later after my divorce it sends chills through my body knowing that my ex wife and I enjoyed this movie together, and obviously me not knowing just how much she loved it but how it inspired her to go about divorcing me in the way that she did, be weary because there are sick people (men and women) in this world that will vindictively assassinate someone else's character and well being just to avenge whatever perversion that they're transfixed on in their own mind. I'm not looking for sympathy or anything, I'm just stating a fact that happened to me, I don't advise watching this for the first time with a love partner, it could unhinge the mind beyond a point of no return, I'm absolutely 100% serious about this, this is not a joke.",9.0,Anonymous,"Drama, Mystery"
"A Cynical, Masterful Caricature of Modern Relationships","Amy and Nick Dunne are young, stylish and charming. The immaculate dream couple? It seems so, at least on the face of it. But infidelity and financial troubles let the glamorous façade crumble. One morning, Amy disappears without a trace, and Nick becomes suspect. Did he kill his wife? The media depict him as an uncaring husband, and he's trying desperately to correct that image. But what if he really is the murderer everyone believes him to be?""Gone Girl"", based on the Gillian Flynn novel of the same name, is a masterful thriller, a sharp-sighted media satire and a cynical analysis of modern marriage. Flynn herself wrote the screenplay for the movie adaptation, and David Fincher turns the already disturbing story into something even darker. ""Gone Girl"" is a perfect fit for Fincher, as it is concerned with two of his favorite themes: gender issues and modern media. The main topic here is how the media are shaping our own identities. Nick Dunne has to adapt to the expectations of the public in order to survive. As his lawyer Tanner Bolt puts it: ""This case is about what people think of you.""Amy and Nick both just play a character. They pretend to be a perfect couple. The movie suggests that pretending and being are not as far apart as we tend to think. When everyone plays along, the shallow masks are going to work. The much-maligned ending underlines this insight perfidiously. It's the point where ""Gone Girl"" becomes a pitch-black social satire. The last act isn't a thriller anymore, it's a grotesque caricature of modern relationships. I've never seen anything like it, and I can't praise Fincher enough for the risk he took with the last half an hour of this movie.Ben Affleck is great as the insipid husband Nick. You love to hate him. Rosamund Pike is simply mind-blowing. You'll also see Neil Patrick Harris and Tyler Perry in unusual roles. My personal favorite is Carrie Coon as Nick's caring yet foul-mouthed sister Margo. She's the heart of this movie, because unlike everyone else, she genuinely speaks her mind. Kim Dickens as the clever detective Rhonda Boney is pretty approachable, too.""Gone Girl"" might be Fincher's most splendid masterpiece yet. This movie is so unsettling and cynical, it feels like it was directed by the love child of Alfred Hitchcock and Lars von Trier. If that's not awesome, I don't know what is.",10.0,Anonymous,"Drama, Mystery"
Interesting end,This is a 2.5 hour movie and sometimes these days it's difficult for me to stick with the longer movies but this never felt long. You were always curious what was going on. Let's just say it didn't quite go the way I expected but I was intrigued the whole time. The acting was great. This could for sure be considered a slow burn and I'm actually currently watching the TV show Sharp Objects by the same author and this is paced much better than that. There's a couple things I didn't particularly thing got solved or like how they went at the end but overall a great movie.,8.0,Anonymous,"Drama, Mystery"
Great film but the ending was terrible,"I'm not one for reviews, but I tremendously enjoyed this film but felt empty at the end of it. That ending was shockingly bad, such a let down to a great film. Still worth watching but you will end up cursing the writers, producers and perhaps even the actors for that low quality ending. Even if the story was written to end this way, it could have been communicated far better and with far more realistic excitement. It seems like they just plonked it at the end rather than continue the story. What the hell happened? Did they run out of time or needed to release it by a specific date or did the original scriptwriter run off? The end the film was not of the same quality of the rest of the film and left me feeling shortchanged.",8.0,Anonymous,"Drama, Mystery"
"Gone, but definitely not forgotten","Wow, actually a thriller that's pretty good. Yes, it's fair to say that 'Gone Girl' is a really engrossing film. As with almost every film, it's based on a book. And, as with most films based on a book, I haven't read the book, so I haven't got a clue how well the film relates to the source material. But then I don't care. I just enjoyed the ride.'Gone Girl' is one of those films where you don't want to say too much about for fear of giving things away and spoiling it for people who haven't seen it. Ben Affleck plays a (reasonably) decent husband whose well-to-do wife disappears. The media circus that follows then starts to reveal that the truth is far more complicated that it first seems (not to mention the obligatory police investigation). It's fair to say that what follows is a film that twists and turns, so you only really get one chance to watch it and not know what's coming.Many people don't really like Affleck when it comes to acting (even less now he's due to don the Batsuit!), but I think most people will relate to him as he gets pursued and hounded (unfairly? You'll have to wait and see!) by the media. Rosamund Pike plays his (gone!) wife with a flawless American accent. Again, you'll have to see whether she's found alive or dead. The story bounces around back and forth in time, making sure you're just confused enough never to put too much together before the film's ready to reveal what's happening.If I had one complaint it's that the film is a little too long. Perhaps ten to fifteen minutes could have been edited out at around the three quarters mark, just to speed it up. But that's a minor gripe. Basically, if you like your thrillers twisty and turny (and have a couple of hours to spare on a film that you really have to concentrate on) give this one a go.",8.0,Anonymous,"Drama, Mystery"
Crazy!,"This film wasn't as bad as some people say it was. It was actually good. It was a pretty nice psycho thriller. It had me guessing at times and there really weren't any dull moments. This film was well done with just enough suspense to keep me interested. The acting in this film was great as well. Now, I'm not a big fan of Tyler Perry's films but his acting is good. He had a wonderful performance in this film playing Tannor Bolt, Nick Dunne's (Ben Affleck) lawyer. He was really perfect for the part. For me it was kind of weird seeing Neil Patrick Harris playing a serious roll as the crazy ex boy friend of Nick Dunne's (Ben Affleck) wife, Amy Dunne (Rosamund Pike). Rosamund Pike and the parts she were in were well done! I mean she pulled that roll off! Amy Dunne (Rosamund Pike) was allegedly killed by her husband Nick Dunne (Ben Affleck). From the beginning Nick Dunne (Ben Affleck) is the suspect and the craziness starts from there. If you like mysteries/thrillers you won't be disappointed with this one.",8.0,Anonymous,"Drama, Mystery"
"All the world's a stage, and all the men and women merely players !!!!!!","I have always been a huge admirer of David Fincher. He is undoubtedly one of the most consistent and masterful storytellers in modern cinema. I also think when it comes to dark, disturbing thrillers, there is very few who can match the directorial skills of Fincher.Like many of his previous films, Gone Girl is a very long film, but in a true Fincher-esque fashion, it is as engaging as possible without any scope for the viewer to feel bored. The pacing is perfect. The scenes have a dreamy style to it, which brings the dilemma of ""whether this is a true account of things or has this been made up by the narrator.""The theme of the film is the fact that humans at the basic level are all actors and pretenders. Very seldom do we decide to be our real selves. Generally all of us put on a mask to make ourselves look good in front of the general public and also to pretend to be the person that our nearest and dearest want us to be. Gillian Flynn's screenplay based on her own novel is brilliant and it is also a damning indictment of how media can shape and mould mass perception and it is also a cynical account of the institution of marriage.Ben Affleck is good, Tyler Perry is good, but this movie from an acting perspective belongs to Rosamund Pike. She owns every scene that she is in and delivers an Oscar-worthy performance.Fincher has once again has made a fantastic film. The last 30 minutes might not be completely logical, but it is still symbolic. If you are about to get married,stay away from Gone Girl.",9.0,Anonymous,"Drama, Mystery"
"Dark And Twisted, Full Of Great Visual Storytelling","Dark and twisted, David Fincher's stylish new mystery thriller was derived from Gillian Flynn's intriguingly slick tale from her complex and suspenseful novel. By far one of the best acting performances to have come from Ben Affleck, 'Gone Girl' boasts some strong yet disturbing portrayals from Rosamund Pike, Neil Patrick Harris, Tyler Perry and Affleck. Fincher has garnered fame and recognition as a mainstream director, that is not only able to engulf the audience within the picture, but actually make them part of the scenario. Fincher exercises upon his trademarks with the swift and stunning cinematography, the chilling score and tight editing, all of which makes 'Gone Girl' a movie full of great visual storytelling.",,Anonymous,"Drama, Mystery"
Another David Fincher winner and one of the year's best,"David Fincher to me is one of the most talented directors around today, and while Se7en from personal opinion is his best film Gone Girl is up there with his best. Fincher directs with his usual superb class, giving the film great style and keeping the story alive(Gone Girl is easily one of the year's best directed films), and the whole film looks absolutely great with brooding lighting that evokes the creepy atmosphere brilliantly and Gone Girl is also a film that makes good use of digital, after seeing many directors over-using or cheapening it it was refreshing to see the technique done with taste. Trent Rezner and Atticus Ross's music score gives the film a haunting vibe and adds much to the unsettling intensity that a lot of the film(at least two-thirds worth), managing to not do it in an in-your-face manner. The use of sound mixing was interesting and came off cleverly, almost like a distant thought process. Gone Girl also has a brilliantly written and adapted script that does a great job balancing dark humour- that's not overused and is often hilarious- and suspense mystery (The Cool Girl monologue in particular is a masterpiece of script-writing, one of my favourite film monologues ever), while the story(apart from taking a bit of time to get starting) is absorbing from start to finish, rich in detail and characterisation and is filled with shocks and unpredictable twists that will be guaranteed to leave you reeling. That it is adapted from superb source material(one of the best books I've read in recent memory actually) helps it, and that it is faithful to it is commendable, a case of being faithful to the source material actually coming off wonders rather than being bogged down by being too faithful. The not-what-they-seem characters are incredibly interesting and richly developed, especially Amy who is one of the most chilling female characters of the year. And the acting is one of the high points of the film, as good as Fincher's direction and the score are it's Rosamund Pike's knockout turn as Amy in restrained- she only has to raise an eyebrow or something like that and it says a lot- but quite terrifying mode(especially in the third act) that makes the film. It will be a great surprise if she isn't at least nominated because it is easily her best performance. Ben Affleck has the other not-what-they-seem role and plays it with oozing charm and brooding intensity, while Neil Patrick Harris surprisingly excels in a very against-type role(who knew he could be sinister?) and Tyler Perry oozes charisma and is very funny. Carrie Coon is the standout in support, it's a tricky role and the moral compass of the film but Coon is touchingly likable in it. The ending does for my liking end too suddenly and the storytelling got implausible and lazy at this point, but apart from that Gone Girl was a winner and one of the best of the year. 9/10 Bethany Cox",9.0,Anonymous,"Drama, Mystery"
Perfect example of a modern day thriller,"David Fincher has done what i thought was the impossible, by making a movie from a book, and it actually being good, i'm even going to say better than the book, and i don't give that out lightly.First off, the use of sound within the film, both diegetic and nondiegetic really sell this film to me, it does a great job in unnerving us as an audience and its just a little off, if i looked at the score of the film, i wouldn't be surprised if it comprised of tritones (For those who don't know, tritones make music sound just that tad off), and the synth sorta sound reminds me a lot of Alex Forrest's signature tune from ""Fatal Attraction (1987), Adrian Lyon""The Story is fantastic it really shows the disconnect between people in the modern day, and how the media influences everything so strongly.In Summary this movie is a great watch, and if you enjoy the genre, or just trying to put together pieces of a metaphorical puzzle you will enjoy this movie.",8.0,Anonymous,"Drama, Mystery"
Unique and darkly funny,"Two movies for the price of one.That's a fairly glib start to a review of a movie that I really liked, but it is true. The first half of Gone Girl is a fairly standard ""did he or didn't he"" mystery thriller. Then, about an hour in, the perspective shifts entirely and suddenly you realise that you're watching – perhaps – the most pitch-black comedy that you've ever seen.Despite the abrupt shift, I still think that Gone Girl holds together extremely well as one whole movie. Ben Affleck's Nick manages to inspire sympathy without ever being truly likable while Rosamund Pike's Amy (the star of the show in my opinion) is brilliant, terrifying, hilarious and despicable in various combinations and occasionally all at the same time.David Fincher's direction is both classy and clever (as usual) and several scenes are particularly outstanding due at least as much to his brilliance as that of the actors involved in them. My one complaint would be over the length – it really didn't need to be two and a quarter hours long. There were certainly a few moments, particularly in the first half, when I wished that the movie would hurry up and get to the point just a little more quickly.Gone Girl is a movie unlike any that I've ever seen before and as such largely defies further description. I would recommend this movie to all (with a warning that the adult rating is well earned) but especially those with a dark sense of humour. The darker the better.",8.0,Anonymous,"Drama, Mystery"
Best performance of an actress for 2014!,"Having read the book, it was not an easy feat who will be able to bring to life the leading character of the book, which is Amy Dunne. Her character is so complex, that Rosamund Pike deserves all awards that will be coming to her. She was able to give Amy the mysterious vibe but likable aura of a socialite New Yorker.The score of the film is perfect, as it builds up suspense and the tone of the story. Great supporting performance by Ben Affleck, and the actress who plays her sister. Great ensemble cast who works together to delivery the dark humor lines in the film.This movie will definitely be an instant classic and I cant wait to watch it again!",10.0,Anonymous,"Drama, Mystery"
So disappointed in the ending!,There was good acting and it's a good story. It built up really well and then fell flat at the end. I'm honestly a bit angry about the ending. So unsatisfying and annoying. They did a good job of making you really hate Amy though. Wish I could say it ended with a bang.,6.0,Anonymous,"Drama, Mystery"
