title,content,rating,username,genres
Like the film? Read the book.,"I've seen the film many times, have always enjoyed it. But I've been reading the book for the first time. It's a very long novel, and you have to stay with it if you want to see the ending. It's a good read, but Margaret Mitchell, former newspaper reporter, is very thorough in her description of both Southern culture and the changes that the Civil War brought to it. It's the size of the book that was the biggest challenge for David O Selznick. Not what parts to film, but which parts to leave out. So many characters that appeared in the book couldn't be introduced in the movie without extending the film's length to well over four hours. So he had Sidney Howard write the screenplay, then cut that down to a filmable length by hiring several more writers to further pare the script, and was still rewriting it himself while it was being filmed. Selznick was close to running out of money, so he asked his angel, millionaire Jock Whitney, to loan him enough to finish the film. The film was finally completed and edited, then was test-marketed at a theatre not far from LA. The viewers were excited about having seen it and said so on their preview cards, which allowed Selznick to rest easy, knowing he had a hit on his hands.",9.0,Anonymous,"History, Romance"
Even after years of being made.. it is good!,"I wish people made more movies like this nowadays..Yes! The movie is LONG, but the development of the main character has you swinging from liking her to hating her, to agreeing with her, to.. all sort of emotions!! It is well worth anyone's time.
These characters feel SO real! It's like a perfect summarized soap opera. Anyone studying movie-writing should check this adaptation of the book. Would recommend to anyone.And make yourself a favor and don't watch the sequel.. the movie ends the way it does for a reason.",8.0,Anonymous,"History, Romance"
"Margaret Mitchell won the Pulitzer Prize for her novel on May 3rd, 1937","The year 1939 was a busy year for the Hollywood industry. Large-scale, majestic epics were front and center that year. You should look up the list of films released in 1939. It was a very, busy year, with huge titles from the golden age. Lots and lots of entertainment for a pre-WW2 audience. The Wizard of Oz (1939), Stagecoach (1939), Son of Frankenstein (1939), Drums Along the Mohawk (1939) and this little film, are just some of the titles on that list. Everyone was competing for perfection in the film industry. The first two hurtles, being sound and color film, had been implemented into the technical side of the filmmaking process, to this point in film history. Technicolor had been utilized for, about, five years to this point and it was perfectly utilized in this film too. Technicolor always was a good film stock, rich with colors, that pop on the screen. Head cinematographer, Ernest Haller's camera, captures images, not seen before on film and blazes colors across the screen, in Gone With the Wind (1939).I'm sure everyone knows the basic premise of the film. It boils down to a story about the life of woman, a daughter of a rich cotton plantation owner in 1860s, Georgia, who's life interweaves with the real life events of the American Civil War and the recovery and reconstruction years. It is a fictitious story utilizing events from the real world. Of course, most of us remember the picture on the movie posters of Scarlett O'Hara (Vivien Leigh) and Rhett Butler (Clark Gable), locked in that emotional, romantic embrace, plus it's on the cover of every DVD and Blu-Ray out there these days, but the film is really about Scarlett and all the other characters come into her circle. And, the film needs to be about Scarlett in order to be successful, because it is her spoiled, selfish, smug demeanor that energizes the whole film. Everyone who comes into her circle feels her wrath, even Rhett. Rhett isn't really a very likeable character either and watching these two unlikeable characters square off, through various parts of this film, is something to see. These are the reasons, that make this film so good. A plot involving two unlikeable characters, who eventually, reach a certain amount of maturity, that they earn some respect from the audience, doesn't deter from the overall quality of the film, because it is such a unique character study, while chaos is happening all around them.The film does contain many sub-plots, involving politically, socially, culturally and racially charged tones, which would be expected, considering the time this period piece takes place. Which, brings up another interesting point to this film. Even though this film is approaching 85 years old now in the 21st century, it is still considered a period piece. The interesting part is the filmmakers had a more recent memory of the events used in the film, being only 75 years before, as opposed to our view, which is roughly 150 years later. In fact, there probably were a couple of Civil War veterans still alive in 1939. Another amazing thing about this film is, they started shooting this thing in January, 1939 and released it just before Christmas that same year. That is impressive, considering the massive runtime of this film. It is the runtime of this film that really hurts it from being a perfect film.The images the filmmakers (I would list names, but you should see the Crew List on this film), are able to show us on the screen, is incredible. The color you will have stuck in your head, for a week after viewing this film, will be the color of orange, red fire, that is seen throughout the movie and obviously, mostly comes from the burning of Atlanta. A technical achievement, that hadn't been seen in the movies yet. The special effects, art direction, costuming and lighting is fantastic. You still don't notice, even today, that most of this movie was just filmed, out in the Los Angeles countryside and on sound stages. So much is going on in this film, you don't notice it. The performances by the cast is perfect. This is an epic journey about redemption and maturing. A maturity that helps the characters and a nation begin to grow. This film would roll through the Oscars in 1940, including winning the Best Picture Oscar.9.3 (A MyGrade) = 9 IMDB.",9.0,Anonymous,"History, Romance"
Miracle in Film Making - Can't believe they did it in 1939!,"This movie was on my watch list since 1996 or 1997 when I read its review in a local newspaper. I though it must be a dull movie as it is very old and procrastinated to watch until Dec 2019.And friends, I can't tell you how much I am impressed with this movie - wonderful story, superb acting, mesmerizing cinematography and direction. And they did it in 1939 - which is really hard to digest.I am stupid enough to miss this glory for so many years.",10.0,Anonymous,"History, Romance"
The tragedy of Scarlet the wise 2020 review,"At first you would think, the main theme of the film is the horrors of war and the idea that both sides suffer , but that is not the only case in ""Gone with the Wind"", the war is just a background...
Scarlet lives almost her entire life in an illusion of love... She has a target she want to achieve and she thinks if she achieves it she will be happy, while missing the point on the way to that target... Something that I realised on a 2nd viewing is that Scarlet is a pretty selfish person with sociopaths behaviour. She can easily manipulate men and sometimes women in order to achieve her goal. She can kill a person and not feel that bad about it,she can exploit prisoners rather than hire free men. The goal is what pushes her forward and sometimes makes her do good things, but these deeds are never done out of big heart, they are usually done in self interest. You would think she ends up achieving everything she wanted, but she does not. Scarlet lives in a personal hell which partially she created herself and only when the last obstacle to her big love, the female friend that loves her is gone, she realises that all this time, she lived the illusion of love, she was hurting the people that loved her. Is scarlet a horrible person? Probably... Does she pay for her sins? She does more than anyone... Does she understand what true love is? Yes in the end she does... What makes this film so great, it's a tragedy like ""War And Peace"" with monumental character development ...Any scenes of war and racism fade compared to the tragedy of Scarlet which lives in personal hell...",10.0,Anonymous,"History, Romance"
About as good as it gets in 1930s Hollywood,"I've done so many reviews on IMDb and despite this, I can't believe I never reviewed this super-famous film. Well, much if this is because with so many reviews, I truly doubt if anyone will ever read this! I was surprised that when I perused the reviews, there were quite a few knuckleheads that gave the film a score of one!! While I do agree that the film is rather dated in the way it deals with minorities, it is truly insane to trash a film just because it offends your easily damaged sensibilities. One person even compared the film to PLAN 9! Come on, folks,...this is an amazing film. And what makes it even more amazing is that the film had several different directors because producer Selznick was so difficult to work with on this film! And, despite this, the film wins (among many other awards), the BEST DIRECTOR Oscar! While I do think that many Oscars should have been earned, giving it to just one man seemed pretty cheeky! Despite this, this is a magnificent sweeping spectacle about the South--but even more about a selfish beauty who ultimately creates chaos of her decent life. Magnificent, well-acted and memorable--this is one of the greatest films of all time.",10.0,Anonymous,"History, Romance"
Georgia on my mind,"This film shows the best of the American cinema. Whether we like the film, or not, one has to recognize the greatest achievement, perhaps, of the creative talent of the people working in the movie industry. ""Gone with the Wind"" represents a monumental leap, as well as a departure, for the movies, as they were done prior to this film.The vision of David O. Selznick, the power behind bringing Margaret Mitchell's massive account about the South, before and after the Civil War, pays handsomely with the film that Victor Fleming directed. This movie will live forever because it reminds us of how this great nation came into being, despite the different opinions from the two stubborn factions in the war.""Gone with the Wind"" brought together the best people in Hollywood. The end result is the stunning film that for about four hours keep us interested in the story unfolding in the screen. Of course, credit must be due to the director, Victor Fleming, and his vision, as well as the adaptation by Sydney Howard, who gave the right tone to the film. The gorgeous cinematography created by Ernest Haller gives us a vision of the gentle South before the war, and the Phoenix raising from the ashes of a burned Atlanta. The music of Max Steiner puts the right touch behind all that is seen in the movie.One can't conceive another Scarlett O'Hara played by no one, but Vivien Leigh. Her beauty, her sense of timing, her intelligent approach to this role, makes this a hallmark performance. Ms. Leigh was at the best moment of her distinguished career and it shows. Scarlett goes from riches to rags, back to riches again and in the process finds an inner strength she didn't know she possessed. Her impossible love for Ashley will consume her and will keep her away from returning the love to the man that really loves her, Rhett.The same thing applies to the Rhett Butler of Clark Gable. No one else comes to mind for playing him with the passion he projects throughout the movie. This is a man's man. Captain Butler was torn between his loyalty to the cause of the South and his sense of decency. His love for Scarlett, the woman he knows is in love with a dream, speaks eloquently for itself.The other two principals, Olivia de Havilland and Leslie Howard, give performances that are amazing to watch. Ms. de Havilland's Melanie Hamilton is perfect. Melanie is loyal to the woman that does everything to undermine her marriage to Ashley. Mr. Howard's Ashley gives a perfect balance to the man in love with his wife, while Scarlett keeps tempting him.The rest of the cast is too numerous to make justice to all the actors one sees on the screen, but omitting the contribution of Hattie McDaniel to the film would be sinful. Ms. McDaniel was such a natural actress that she is excellent no matter in what movie she is playing. This huge talent is a joy to watch.Comments to this forum express their objections to the way the race relations play in the movie, but being realistic, this movie speaks about the not too distant past where all kinds of atrocities, such as the slavery, were the norm of the land. While those things are repugnant to acknowledge, in the film, they are kept at a minimum. After all, this film is based on a book by one of the daughters of that South, Margaret Mitchell, who is presenting the story as she saw it in her mind, no doubt told to her from relatives that lived in that period of a horrible page in the American history.Enjoy this monumental classic in all its splendor.",10.0,Anonymous,"History, Romance"
"A Potpourri of Vestiges Review: An American magnum opus which must be watched and often, and by those who understand cinema","Margaret Mitchell's Gone with the Wind, in its true essence, is a case study on the Old American way of living where pride and honor were the very essence of human existence. Victor Fleming's rendition of the classic novel, a classic within its own right, does full justice to the themes propagated by Mitchell's evocative masterpiece. In the words of Mitchell herself, Gone with the Wind is the story of the people whose gift of gumption gave them a definitive edge to endure the tribulation and throes of the American Civil War vis-à-vis those who lacked an inner resolve and determination needed for survival.Scarlet O'Hara, the well bred, haughty, tempestuous and opportunistic protagonist of the saga, is an ostensibly flawed individual whose inexorable urge to placate her ego and realize her fancies appears far stronger than her adherence to any credence pious to her people and relevant to her time. Her scintillating charm and unrestrained zeal not only make her an object of desire for her male counterparts but also an object of envy for the girls around her.Vivian Leigh perfectly fits into the caricature of Scarlet O'Hara. She makes full use of her talent, courage and guile to portray a part that requires subtlety, brusqueness and poise in equal parts. It may sound like a hyperbole, but no other actress seemed better equipped to play the part a southern belle than Leigh herself, who won not one but two Oscars while playing one: first for her portrayal of Scarlet O'Hara and second for portraying Blanche DuBois in A Streetcar Named Desire opposite Marlon Brando. In fact, her portrayal of Scarlet O'Hara, in which she perfectly blends panache, poignancy and peremptoriness, is arguably the greatest portrayal by a female lead in cinematic history. Leigh uses her on-stage experience to improvise in order to add new dimensions and complexities to Scarlet's caricature, which according to the novel was mostly one dimensional: out-and-out bad. Scarlet's stubbornness and her impish obsession for a conformist like Ashley, who is not only indifferent to her feelings but also incapable of reciprocating the passion and zeal with which she pursues him, represent just one dimension of her multifaceted self, which is revealed layer by layer with the progression of the narrative. The viewer is gifted to see Scarlet in various avatars: a usurper, an egomaniac, a damsel, a nemesis, a menace, a guardian, a savior, a patriot, a fighter and most importantly as a quintessence of womanhood.Clark Gable as Rhett Butler perfectly complements Vivian Leigh's larger than life portrayal. He is an outright reprobate, an unscrupulous opportunist whose life revolves around making money and pursuing carnal pleasures. However, behind this facade, just like Scarlet, there is a human capable of love, and worthy of being loved. These unobtrusive yet obvious similarities make Scarlet and Rhett a perfect match for each other. The subtle chemistry and tension between the two protagonists give the story its impetus and resonant charm. The rest of the cast has given exemplary performances with a special mention of Olivia de Havilland, who as Melanie is a paragon of love, humility and forgiveness. She provides a striking contrast to Scarlet's caricature and represents a more traditional picture of womanhood.The movie's direction, cinematography, editing and music are all top notch and it is the great synergy of all these elements that makes the movie an extravaganza and an undisputed master piece, one to be savored till eternity. The movie is an amalgam of scenes, high on emotion and drama, which keeps the viewer absorbed throughout. The scene in which Scarlet's father tells her the importance of mother land, deeming it as the only thing worth fighting for, is pure gold. Other scenes that come close to matching its brilliance include the one in which Scarlet performs the duties of an obstetrician to help Melanie give birth to her child, and the one in which Scarlet pledges to protect Tara till her last breath. The movie also has an amazing repertoire of dialogs that are delivered with a nice mix of finesse and accuracy. Butler's famous dialog in which he says to Scarlet, ""You should be kissed and often, and by someone who knows how,"" also happens to be one of all time favorite.The movie, especially its anti-climatic ending, brings tears to eyes and leaves the viewer overwhelmed as he experiences a rainbow of different emotions, being awestruck by the tremendous impact of the journey that he is vicariously made to undergo.PS. Gone with the Wind is undoubtedly one of cinema's greatest marvels and is a living testament to cinema's timelessness, and its limitless potential. A must watch for everyone. 10/10http://www.apotpourriofvestiges.com/",10.0,Anonymous,"History, Romance"
Astounding Film - GWTW is the Definition of a Classic!,"The setting is a Georgia plantation. The year is 1861, and sixteen-year-old Scarlett O'Hara is infatuated with the blond, drowsy-eyed Ashley Wilkes - the problem is, Ashley plans to marry another woman. Little matter that every other man in the county is courting Scarlett and that a charming scoundrel named Rhett Butler is staring at her with questionable intent - she cares only for Ashley.Suddenly, the Civil War brakes out, changing the fates and fortunes of all. Scarlett, clever, manipulative, and charming, proves an adept survivor - but what will she have to do to survive? And will she ever learn whom it is that she really loves?GWTW is one of the most meticulously cast films ever; with the possible exception of Leslie Howard as Ashley (in his forties, rather old to be playing a man half that age), every role was perfectly assigned. After you watch Vivien Leigh you will be unable to imagine anyone else playing Scarlett, and Hattie McDaniel's strong, unforgettable performance as ""Mammy"" netted her an academy award (the first for an African-American actor).GWTW's backdrop is the gruesome Civil War, and in the end this film is the story a woman and a civilization (the Old South) going through a war that will not leave either of them unchanged.The cinematography is beautiful, memorable. Gone With the Wind was shot entirely in gorgeous technicolor; the scene of the fire in Atlanta required the use of all eight technicolor cameras in existence at the time.The pragmatic may think Gone with the Wind overly dramatic; the restless may find it too long; the action-stimulated, too subtle. None of this, however, detracts from the fact that GWTW retains a lasting appeal as one of the crowning cinematic achievements of the 20th century. Those who see its ending as depressing - tragic, even - perhaps miss the point - which Scarlett O'Hara makes in her very last instant with us, tear-stained eyes uplifted in a sudden, curious burst of hope beneath all the turmoil; that .. . ""After all, tomorrow is another day."" 10/10",10.0,Anonymous,"History, Romance"
"A classic of respectable scope, well ahead of its time","So, I've been calling myself a movie buff for ages, but it took me to get to the tender age of 23 to see one of the greatest classics in the history of cinema. I must say I was pretty impressed. The film has some outdated touches of the theatrical and romantic, but much less so than I expected. It's also interesting how the main character of Scarlett O'Hara- nicely portrayed by Leigh- is so very unsympathetic, almost an anti-hero. Still, Scarlet is a strong and interesting character who gains depth throughout the film. She goes from being a detestable manifestation of a privileged, unproductive lifestyle to an independent, even cruel persona full of determination and courage.This one was at its best when depicting the cruelty of the American civil war, when the focus of the story was less on relationships and more on the agelessly political.",7.0,Anonymous,"History, Romance"
