title,content,rating,username,genres
Beautiful,"I return to this movie from time to time for the last two decades. I do not like Damon and Affleck, but this is their lifetime achievement and the most deserved Oscar they will ever win. Beautiful drama about finding yourself, finding a balance between the essence of life and its everyday appearance, about love and friendship. Realistic, unpretentiously philosophical and warm movie about life. Two main trumps of this movie are its perfect script and brilliant Robin Williams, the actor that adds warmth and love in everything he does. I can not say it's a masterpiece of cinematography, but it surely is beautiful, intelligent and it never gets old.9/10",9.0,Anonymous,"Drama, Romance"
Its central performances are phenomenal and its inevitable emotional release is truly powerful.,"The genius of 'Good Will Hunting (1997)' isn't in its plotting or its resolution or even its character arcs per say (which are all a little formulaic or clichéd to an extent), but rather in the nuanced and realistic journey that that these almost fully-formed people take to reach the conclusions you know they eventually will. The two central performances are nothing short of phenomenal. Williams' subtly wise and humorous demeanour exudes fatherly knowledge as a man of experience and Damon's frustratingly yet understandably closed-off defensiveness makes his inevitable emotional release truly powerful. The writing rounds them off in ways which make them feel honest, imperfect and, most importantly, real. 8/10",8.0,Anonymous,"Drama, Romance"
"A slow burner, a fine achievement","Sure, this film's plot is fairly predictable. Sure, if you boiled it down to its essential components it wouldn't amount to much. Sure, Will Hunting's genius is profoundly unrealistic.Yet I'm giving this one 10 out of 10.I don't know whether Matt and Ben have ever been in therapy, but they certainly understand a lot about the human psyche, how it ducks responsibility, and pushes blame onto others, how it dismisses the real gifts it has and concentrates on running itself down. How many of us suffer from the same problems as Will? Only those who deny their own vulnerability will remain unaffected by this film.Not only is the script powerful, but the dynamics between the characters - all of them selfish, even Skylar - is vividly and plausibly executed. The film just about manages to avoid easy answers, preferring to acknowledge (indeed, highlight) the complexity and pain of personal growth and self-realisation.You could read a lot of self-help books, but they won't bring across to you as powerfully as this film what it's like to be scared, what it's like to experience loss, how difficult it is to shake off your old ways of thinking, how important honesty to yourself is. If this is the kind of revelation Matt and Ben are going to come up with, I look forward to their future efforts.The first time I saw it, I felt moved as the credits rolled. On my way home from the cinema, I felt sombre. When I got home, I finally burst into tears. This film burns slowly, inside you.As cinema, it's fair to middling. The performances are all first class. The script is a jewel. As wisdom, it's second to none. A fine achievement.",10.0,Anonymous,"Drama, Romance"
"Incredible, moving movie.","A lot of things have been said about this fantastic movie, and I only hope to add a few more praises.The fact that it was written by Ben and Matt was a shock to me, I did not expect any strong writing and a solid script, but boy was I wrong. The movie lasts for 2 hours, and every minute of it I couldn't even focus on anything beside the incredible world of Will Hunting.Matt plays Will Hunting, who is a brilliant young man who denies his unreal intellect. Will has had a very abusive childhood which hurt him mentally to a point where he can no longer let anyone close to him aside from his best friend who is played by Ben. That is until a professor at one of the top colleges finds Will's talent and helps him out of trouble with the law. Robin Williams later comes in as a therapist to Will, he is the only one who can really stand up to Will's intellect and manages to break the layer of distrust that Will has developed over years of solitude, and the two develop a bond beyond friendship.Yes there is a girl, but this is not a romantic movie. There is more to life then what we are taught and what we have to show for it.The writing is witty, brilliant and hilarious at times, both Matt and Robin Williams preform wonderfully from both a comedic and theatrical prospective. Matt's best work since Dogma and Williams best along side Dead Poet's Society.If your looking for a typical Hollywood movie with a Hollywood ending, then do not bother spending two hours on this movie. This movie is ahead of it's time, and lands an easy 10 out of 10.This one is a keeper in my movie library.",10.0,Anonymous,"Drama, Romance"
This movie has a brilliant script...,"It appears the jury is hung... many people either loved or hated this movie. I can tell you why I loved it. First of all the script. I think it had a real slice of life, and brilliance in it. Sorry, but some people do use 4 letter words to express themselves. And no, it doesn't mean that's because they lack intelligence to use anything else. I can rise to the occasion any time I need w/out profanity. But it is how I think & speak in my day to day life. The language shouldn't even be an issue. If that's all you heard, you weren't listening! The brilliance in it is everywhere. For example, William's character putting Damon's character in place by noting that he sneers at things that he has no real life experience with. I know people like that. Then moments when he (William's character) says gems like, ""I'll save you the suspense sport- she isn't perfect & neither are you- the question is whether you are perfect for each other."" I'm paraphrasing of course. The question of relationships, and life career decisions- the courage to risk and overcoming whatever your background is, are all a part of real life. This isn't supposed to be about genius or some ""white trash"" as someone else said (some people might say the kids in this movie aren't trash, just normal hard working, middle class guys) - it's about love, life and courage- courage to ante up & try again, no matter how many times life knocks us around. The acting, direction and script are wonderful. They definitely deserved the Oscar for this. It has soul. It has meaning & I am sad for the people that didn't get it. As the movie ""American Beauty"" said... LOOK CLOSER.",10.0,Anonymous,"Drama, Romance"
Incredible,"I don't think I have been this moved by a movie in a while. Good Will Hunting is an incredible movie and if I had to say what I think is Gus Van Sant's best film, this would be it. It is a slow-burner, but I think this was purposefully done and it added to the film's poignancy and psychological aspect.Good Will Hunting is a beautifully filmed movie with striking scenery, and it is directed wonderfully by Van Sant. The music is never obtrusive but never too low-key either, while the story is interesting and compelling and the script intelligently written.The acting is one of the film's best assets, as well as its compellingly real characters. Robin Williams is superb in one of his best ""drama"" roles, while Ben Affleck has never been better and Matt Damon gives another fine performance to match his performance in The Talented Mr Ripley. Minnie Driver is also quite touching and believable.All in all, an incredible movie. 10/10 Bethany Cox",10.0,Anonymous,"Drama, Romance"
A life lesson !,Robin Williams gives the best performance of his career alongside memorable performances from Matt Damon and Ben Affleck. This masterpiece will have you laughing and crying and by the end feeling reborn.,10.0,Anonymous,"Drama, Romance"
The Real Best Picture of 1997,"While everyone took sides with L.A. Confidential (for it's Old Hollywood flair and tight-as-a-girdle plot arc) or Titanic (for it's generally inescapable, juggernaut-like aura) as the Best Picture of 1997, it seems that too many people overlook Good Will Hunting for what it was:  a timeless little opus that managed to make South Boston look romantic and happened to make Ben Affleck and Matt Damon some of the most deserving superstars in recent memory.Because before they were anybody, they were just the writers of this tale of a reluctant human being named Will Hunting, a mathematical genius who wore the guise of a hoodlum, and all of the sudden obstacles he had to take on to truly step in to manhood.  Among these obstacles were a straight-forward shrink who outright dared Will to bulls*** him (played by Robin Williams, who got his overdue Oscar for it), a brilliant M.I.T. professor who felt it his own personal redemption to put Will's mind to great use somehow (Stellan Skarsgård, who never fails to steal nearly every scene he's in), and a girl who doesn't understand why the boy she loves so much cannot love her.It was these obstacles that made Will Hunting such a complex character: while he was a genius at the definite (math), he was a bit of a moron at the indefinite (human relationships).  His rough-edged exterior was simply a cry for help, and the process of which the obstacles in his life realized that and attempted *to* help him was nothing short of extraordinarily touching.",,Anonymous,"Drama, Romance"
A really well made and deep film!,"I gotta say, with these great actors and the high rating on imdb, ive been really excited to watch this and i finally was able to watch this.The plot is really intriguing and very interesting. Extremely well written and acting is very well performed and feels very authentic. It really makes the viewer captivated from the start. Especially by Matt Damon, Robin Williams and by Stellan Skarsgård as always.Its a pretty deep film that explores what impact our choices, have in our life and that nothing is impossible.Very good soundtrack!Howevery abit badly filmed in some scenes, but nothing that makes a large impact on the film.I really recommend it! A really well made film and very well put together!!",7.0,Anonymous,"Drama, Romance"
A Movie About Men:  The Internal Fight Club,"Why another review? Well, for the few that might read this, I find this movie very accurate about the state of seeing a counselor. It is also very accurate about a man who carries deep toxic shame within keeping him from intimacy with others and living with massive defense mechanisms. Because of this, I understand why some do not like this movie, it taps a part of themselves they are still running from, and that is why this movie is so powerful.It is very hard to believe two 25yos wrote this script with such realistic relational depth. There are some very powerful emotional dynamics in this movie--the scene with Will & Skyler in her apartment when Will unpacks. The monumental scene with Will and Sean ""It's not your fault""--when a movie is a template for real life, this is an epic work of art! This movie allowed people to talk and relate when emotions were road blocks, to point to a scene in Good Will Hunting to establish a base for communication.Here's a point in real time. I was writing this review and a friend called. He ended up hanging up the phone on me because I questioned him about a project. He did a ""Will"" in Skyler's room on me because I tapped a dark shadow in his life. His sensitivity to being questioned is such a part of his identity he is unconscious about, but something that causes him great conflict in his marriage which is now a divorce, his inability to stay employed, and history with addiction.This movie lays a template for men's issues!",10.0,Anonymous,"Drama, Romance"
