title,content,rating,username,genres
I got you babe,"It's 2019 and I still watch this movie from time to time, feels like 6am all over again. I've seen a few copy-cat movies borrowing the same 'repeats' but it's just not the same or memorable.The humor is charming and intelligent, great lines, characters and can even make you fall in love with the town. The scene with the old man always gets to me, you really feel for all the characters. I can watch this over and over.",9.0,Anonymous,"Comedy, Fantasy, Romance"
A Soul Reclaimed,"This movie is so charming. It starts out with Phil Connor, the Bill Murray character, doing his Bill Murray. Cynicism emanating from every pore. He is harsh, disinterested, angry, full of angst. Making jokes about everything. Everybody knows it. Everybody feels it. When the ""gift"" or ""curse"" comes to him to relive the same day over and over, he at first is confused, then flippant, then angry, then suicidal, and, finally, sees it as a chance to reclaim his humanity. This is done in a series of repetitious acts which ultimately lead to his willingness to sacrifice himself, live for the day, and try to show that he is worth saving. What this movie does, like ""It's a Wonderful Life,"" is ask us what we would do, given the same circumstances. Would we fall into a retreat of depression? Would we become something that we always wanted to be? Would we keep living it the same way, hoping for he best? Murray's character wants the romance and the commitment that he was never willing to give. He toys with his own approach to the world, experimenting and doing things until he gets them right. He goes through a period of embracing the bad, lusting after Andy MacDowell, forcing himself on the other women in the town, disdaining the ""characters"" he meets. But like most ""everymen,"" he eventually must become good because without that, it doesn't matter anymore.He can only impress so much; he can only be angry so long. I find this movie so intriguing, not for what it says but for what it teaches. Some don't like the ending, but whatever the forces are that bring it about, it has to be. If we accept that premise, it's OK.",9.0,Anonymous,"Comedy, Fantasy, Romance"
It's just what life is all about.,"My brother told me that some people say ""ground hog"" day is one of the most spiritual movies ever made. First times I watched the movie ( I already have seen it a dozen times) I just laughed about it. But after some times watching I saw what the director wanted to say with it.In my own life the same thing happened but not as heavy as in the movie. I mean, in my life the day just become another day. ( really I ask myself, the only thing that was different that was the date) I think a lot of people live in groundhog day, doing the same thing again and again, not taking the best out of life. Just living without any consciousness. Not having enough time by their own fault, because time is a thing you can offer yourself by making other choices.Groundhog day....I personally am getting rid of that day more and more fortunately and finally too. More and more I am trying to make best of life and using every day in another way.I am not crazy. No, I just watch movies with some kind of view lately. In every movie there is a hidden message told.Enough about Ground Hog day....I gave the movie an 8 because the number 8 is the number of eternity. And that's also a thing the movie is about. About eternity and not about the bad and boring repeating of the stupid livings.Danny",8.0,Anonymous,"Comedy, Fantasy, Romance"
Every time is like the first time,"It's been 6 or even 7 years since I watched this masterpiece. Possibly, you would argue: 'Hey, if it is a excellent movie, what is Titanic, The Godfather and The Shawshank Redemption?"" Well, if you are still not bored after a hundred views, it is perfect movie for you. And it holds for me. Easy, but important idea is the key of everything. This is love we all want in our lives.
And I should note pretty good acting of Bill Murray.",10.0,Anonymous,"Comedy, Fantasy, Romance"
Neglected Masterpiece,"I thought the film was terrific when I saw it in theaters twelve years ago. Recently in watching it again on cable, I was amazed at the quality of the screenplay. I didn't notice the first time. But on repeated viewings (like reliving Groundhog Day), I was impressed at the story created by the writers. This film is so much more than witty jokes and comic riffs arranged around a gimmick. It has an internal logic and consistency that is very rarely found in screenplays. No joke seemed disposable, and as you laugh your way along, the philosophy underlying the film takes over your imagination.Check the IMDb listings for this film's awards: look at the numerous British awards for writing. And yet this film was not even nominated for an Oscar. It is so rare that a film's jokes seem just as fresh more than a decade later, but I believe that is because the theme underlying the humor will never go out of fashion.The acting was terrific, and I now think this is Bill Murray's best work (though I didn't take it seriously when I first saw the film.) But the screenplay is the one of the finest ever written. I don't know if it's studied in film schools, but it ought to be.* * * * *ON HAROLD RAMIS' DEATH: Ramis told The Associated Press in a 2009 story about the 50th anniversary of Second City. ""When you hit it right, those things last.""I found that quote in a story on Ramis' death. The story curiously did not mention ""Groundhog Day."" If there is any film to serve as a fitting memorial for Harold Ramis, it must be ""Groundhog Day."" A totally perfect script, perfectly executed. He hit it right, and when will he get the recognition he deserved decades ago?",10.0,Anonymous,"Comedy, Fantasy, Romance"
Movies can change lives,"Often you hear the adage, ""It is just a film"". Well, for most times it is true. But on rarest of rare occasions, it isn't. This was one of them. Like a great piece literature, painting, poetry, speech it has the capacity to change the way you feel and think. It is the biggest compliment I can pay to a film. I rank Groundhog Day with Seventh Seal, Wild Strawberries, Waking Life, Synecdoche New York, Tokyo Story, Ikiru as one of the moves that has the capacity to change.It is anything but a preachy film as the ""intro"" to the review might suggest. In fact it an extremely entertaining and funny film with one of the best performances ever by Bill Murray. The plot revolves around a weather man (Bill Murray) is reluctantly sent to cover a story about a weather forecasting ""rat"" (as he calls it). This is his fourth year on the story, and he makes no effort to hide his frustration. On awaking the 'following' day he discovers that it's Groundhog Day again, and again, and again. First he uses this to his advantage, then comes the realization that he is doomed to spend the rest of eternity in the same place, seeing the same people do the same thing every day.The challenge here for the makers was in terms of screenplay, editing and performances. Bear in mind that, the ""loops"" Bill Murray's character goes through, might become redundant for the audience after a while. This is where the genius of Harold Ramis and Bill Murray comes into play, who seem to introduce a ""novelty"" factor with every shot of the same sequence. I couldn't think of any actor other than Murray who could have pulled this one off.It is a movie likely to deceive you in its effortless narrative and casual comic tone. Yes, it is funny, but make no mistake about it, it is a film with a strong philosophical undertone. This is a quality that separates Groundhog from rest of the movies with similar intent. It tells you what it intends to on your terms. It deals with the questions that bother us for a better part of our lives i.e. meaning of life, purpose of life, existentialism, death, god but never preaches, nor propels any propaganda. But by the end of it, you know that something has changed, something you didn't see coming has happened. And then you watch it again only to realize the moment of Epiphany that eluded you the first time.Every time I am down or losing perspective this is the movie that eases everything and makes me ask a simple question, ""What is important?"". One of the absolute great films of the 90s, but more than just a film for me.",,Anonymous,"Comedy, Fantasy, Romance"
Bill Murray magic,"A fantastic idea for a movie and the part played by Bill could not have been better cast, his persona and facial expressions are just perfect.the only bad comment i have of this movie would be that the morals of the movie at the ending are so predictable and so Americanized, they should have just left him there day after day just going round in circles would have been awesome or for that fact multiple endings you choose the one you want. The supporting cast just superb with all members putting in excellent performances backing Bill up with just impeccable comedy timing, probably with some help from the director, maybe not. But all in all a very enjoyable light comedy could have been better with some darker humor..",7.0,Anonymous,"Comedy, Fantasy, Romance"
"Clever film making, showing substance and talents of lead actor","This is one warm, intelligent movie. It really lives to its reputation, which is overwhelmingly positive. A lot of substance, all understated, some laughs, respects its audience and delivers points cleverly. If you want to be encouraged and shown a positive perspective with almost no pandering, this is a movie to watch.",10.0,Anonymous,"Comedy, Fantasy, Romance"
Groundhog Day Keep Giving,"Groundhog Day is an interesting idea and Bill Murray is well cast for this part, as it needs his particular blend of unsentimental performance so that it doesn't become too sweet and cloying. One can't help but also put themselves in his shoe and imagine how each of us would react if unexpectedly found ourselves in this same situation. Sure, there a romance moving many of the levers here but its balanced by ample levity to keep it honest. The whole cast is pretty solid, including the groundhog. I'm not loving Groundhog Day to the degree that many people seem to, but still its a solid film worth checking out.",7.0,Anonymous,"Comedy, Fantasy, Romance"
Rewatchability,"Once you watch it, you'll wanna watch it again asap. And then again!! Yes, Groundhog Day is probably the most rewatchable movie ever made, and gets better each time. Bill Murray is perfectly sarcastic as the man who knows.. Guaranteed fun! Watch it!",10.0,Anonymous,"Comedy, Fantasy, Romance"
