title,content,rating,username,genres
Undercooked but tasty,"The Coen Brothers are heroes of mine. They travel from universe to universe remaining true to themselves. Hail, Caesar should have been , I thought, a familiar universe for them but they seem lost. A journey without a clear destination. There are, of course, a few pleasures along the road. The scene between Alden Ehrenreich and Ralph Finnes is a gem. Alden Ehrenreich is a breath of fresh air with vintage breezes that are exciting, compelling and totally disarming. The tap dance routine with Channing Tatum is also a lot of fun even if I can't quite get Channing Tatum. Great body and he can dance but he seems to be somewhere else. Impossible to connect on the screen with him. I hear he gets millions of dollars per movie so maybe it's just me. The opposite of George Clooney who launches himself body and soul to every moment he has on the screen. I will shut up now and wait for the next Coen Brothers movie.",6.0,Anonymous,Music
Not a film for the average viewer.,"I was very surprised how quickly ""Hail, Caesar"" was in and out of the theaters...but now after seeing the film, I can completely understand why. It was as if the Coen Brothers simply said ""let's do a film for ourselves...who cares whether or not the public enjoys it or not!"". I appreciated it myself...but I am also not the average film-goer. As for the average viewer, the film makes allusions to many events in the history of Hollywood...but if you aren't aware of these events or rumors, you'll not understand or appreciate much of the film.The story is based SLIGHT on the life of Eddie Mannix--a motion picture exec who was known as a 'fixer'--a guy who knew how to make bad problems do away...and with the bad behavior of many of the stars, this was an exhausting job. The story seems to be just a slice out of Eddie's life--possibly not the worst time as a fixer but a busy one. Through the course of the film, several problems arise--such as a pregnant single starlet and an actor of dabbles in communism. In each case, Mannix has to get to work to be sure the public never knows...and you see how exhausting this job is.If you are looking for big laughs, you won't see them. There are a few small ones...just a few. Instead, it's more like a time machine trip to the early 1950s and you are that fly on the wall watching these Hollywood types as they go about their lives and doing stupid things. I do NOT strongly recommend the film but only mildly...and only if you are a real fan of the films of yesteryear AND are aware of the misbehaviors of some of our stars...or alleged misbehaviors.",7.0,Anonymous,Music
Would that it were so simple,"In the Coen Brothers latest ""Hail Caesar"" we have exactly the same Hollywood-based mix of communist writers and Hedda Hopper-style gossip columnists as recently seem in ""Trumbo"": but the films could hardly be more different.""Hail Caesar"" is the film within the film: the latest Victor Mature style 'God and Sandals' epic for Capitol Pictures, starring the megastar Baird Whitlock (George Clooney). Trying to keep this movie on track - together with all the other movies being concurrently filmed - is tough no-nonsense fixer Eddie Mannix (Josh Brolin). These other movies include an Esther William's style water ballet starring gal-in-trouble DeeAnna Moran (Scarlett Johansson); an Anchor's Aweigh-style musical starring Burt Gurney (Channing Tatum); and a pot-boiling drama featuring non- acting singing-cowboy Hobie Doyle (Alden Ehrenreich).To add to Mannix's tension, Whitlock is drugged and kidnapped before the final climactic Crucifixion scene can be filmed. Who's behind the plot and why, and can Mannix restore order while keeping the story out of the eye of voracious journalist twins Thora and Thessaly Thacker (both Tilda Swinton)?The film plays out as a series of loosely connected vignettes, some much more successful than others. Johansson's water ballet, and indeed her entire sub-plot, is all rather dull and irrelevant and in my opinion could happily have been ditched.Channing Tatum however is a revelation as a song and dance man in a Gene Kelly tribute. His song and dance number was for me the best part of the film and I could watch this stuff all day: I would personally LOVE IT if someone would make a complete retro-feature film in this ilk. Watch out too for Christopher Lambert (""Highlander"") as his almost incomprehensible Swiss director.Capturing the most attention though is young Ehrenreich as the upcoming star without a clue. Many of his scenes, especially those with classical director Laurence Laurentz (a brilliant Ralph Fiennes) are hilarious.Popping up in cameos are Jonah Hill (as the fixer's well paid 'man to take the rap'); Frances McDormand (""Fargo"") as a dottie film editor who really shouldn't wear scarves; and Robert Picardo (""Star Trek Voyager"") as the Jewish representative in a contentious meeting of religious representatives discussing Christ's portrayal in the film (""So, a priest, a Protestant, a Greek Orthodox and a Jew walked into a studio..."").Having last year enormously enjoyed the studio tour at Warner Brother's studios in LA (HIGHLY recommended if you can book ahead for when you are in town) it was great to see the studios making an actual film there again (as opposed to TV). Cinematographer Roger Deakin has great fun suffusing the studio and everything else with a 50's glow, an effect extending to the old 4:3 screen format (which I can see generating some ""my DVD is defective"" returns in a few months!)Is it any good? I think it's fair to say that this is a 'Marmite' movie (which if you are non-British is a way of saying that the film will massively divide opinion). I've not seen as many people walk out of a film at the cinema in recent years.I personally found it a light-hearted and nostalgic trip into a golden age of studio-management, show-casing again the comic gurning talents of Clooney (particularly prevalent in the scene where he gets slapped around a bit and which demonstrates his range - as if we needed reminding after ""The Descendants""). Brolin is great as the straight-guy Mannix and most of the rest of the cast add value, though Johansson seems Ill at ease with her role. I'm also afraid 2 x Swinton is not equal to 1 x Mirren in ""Trumbo"". But it is Alden Ehrenreich that is the real acting find of the film - a breakout role for him after more minor roles in films like ""Stoker"" and ""Blue Jasmine"".This is not the best Coen brothers film, being patchy and spasmodic and, in places, rather too clever for its own good. I got the same feeling watching bits of this (for example, the writer's meeting scene) as I do in many Woody Allen films: that I am not politically / philosophically intelligent enough to understand the niceties of the script (and I'm considered quite bright!). This can be a bit alienating for an audience.If I think back to all its numerous sub-parts it was often in 4-Fad+ territory.... but overall it's lack of cohesive story arc brings the overall confection down a notch or two.(Please visit bob-the-movie-man.com for the graphical version of this review. Thanks).",7.0,Anonymous,Music
Wanted to Like It So Much More,"I am a huge Coen Brothers Fan. Many of their films are hard core 10's in my ratings and I had an uneasy feeling going into this one. The trailer made me think of Intolerable Cruelty more than O Brother Where Art Thou or many of their other films.It felt like a strung together series of little set pieces that didn't hang together as a whole. I won't mention the plot since there was virtually none and what there was was fairly flat and unimportant.Normally the Brothers can overcome a weak plot (although strong plot-lines have driven several of their movies) with strong quirky performances and memorable cinematography.Sadly, the dialog lacked snap, the film didn't pop off the screen looks wise, given that it's a period piece, and with such a strong cast, everyone looked tired - almost as if they had come in to film their parts after getting off their day jobs and they were just doing a favor to the Coen's.Overall I've seen much worse but when you go to a Coen Brothers film, you just expect much more.",5.0,Anonymous,Music
Not one of the Coens' better films,"Caught this at a screening the other night, and wasn't very impressed. The laughs are infrequent, and it's downright boring in stretches. It does have its moments, though: My favorite was Brolin trying to get reassurance from an array of religious leaders that his new biblical epic won't offend anyone. And Ehrenreich, who I'd never heard of, was great as the clueless but sincere rodeo expert who has somehow fallen into serious act-ting... much to Ralph Fiennes' chagrin. Who knew a line like ""if only it were so simple?"" could generate such hilarity? Such moments are few and far between, though.Overall, this is a C+ flick - I think it's getting over-rated by critics just cuz of the Coens' name. It's one of their weaker efforts.",7.0,Anonymous,Music
Glorious Mess of a Movie,"It looks so good. Really, the feel of 1950s Hollywood has never been better, the photography is first rate with a stellar cast directed by the popular and very much held in esteem COEN BROTHERS. Trailer made it look like an fun Frank Capra kind of film. And when we walked out of it, given all the above, we missed something. A movie. There is none here. It is a great job made by talented people aplenty. It wants to be that fun film but never finds the movie. A few jokes. Not enough. Quirky fun characters, but not weird enough. Sublots aplenty, but they never run together and never are resolved. Good acting that goes nowhere. This fine film is just a bunch of dead end streets that are way too short with really interesting stuff on the side of the road but no intersection.Neil Simon was given script advice once that all the characters have to meet in the play AT LEAST ONCE. Here, none meet at all. They have the subplot and that is it. Ending was weak too. Meh.",5.0,Anonymous,Music
"Not for everyone, and maybe that's a good thing...","HAIL CAESAR! (""A Story of the Christ"", as we are told in the title card) is one of those offbeat gems that I have no doubt grows in affection with repeated viewings. Folks here complain that it's not a laugh-a-minute farce, that it's not this, that it's not that...Here's what it *is*: the film version of RADIO DAYS.Just like Allen made a loving pastiche of radio at its height in the 1940s, so have the Coens done for film at the tail end of its Silver Screen era, when studios manipulated its contract players and worked the media to prevent the ""unfortunate"" aspects from being revealed to an audience that just wanted escapism fantasy. Josh Brolin is the tightly-wound studio ""head of physical production"", an enforcer who's being seduced by a potential job with Lockheed to oversee work on the atom bomb. Before he can come to a decision about whether or not take it, he has to deal with the sudden disappearance of the slightly disconnected-from-reality George Clooney (who looks like he's having a blast in this, especially in the final scene of his big budget sword-and-sandel Jesus epic). Along the way, we see the Coens' take on Esther Williams, Carmen Miranda, Gene Kelly, and a host of other stars from the era...... and this is what makes the film so damn much fun. It's not about the story, it's about how the Coens are celebrating the films we have perhaps idealized a bit too much: Esther Williams' underwater ballets and Gene Kelly in NYC for 24 hours and Gary Cooper trying to play it in a toney, high-class period drama. There are so many references to the great films of the day that if you blink, you'll miss a few — they follow fast and furious and sometimes with little more than a sly wink. If you are an old time movie buff, you will love this film to tiny little bits. If not... well, you probably wont enjoy it all that much.But then the Coens probably didn't make it for you, did they...",8.0,Anonymous,Music
"In many ways should have been stronger, but is still good fun if you like the Coens' work","This film seemed to get quite a mixed response when it came out, and watching for myself I can understand why. On one hand it is a light bit of fun, which is professionally delivered in all aspects; however at the same time it always feels like it could easily have been more than this – and maybe could have delivered more along the lines of other Coen brother films. How strongly you feel about this will depend on the individual; for me I fell between the two stools.As a comedy I enjoyed it. It had smart dialogue and characters, all with plenty of color and atmosphere. At the same time the film looked great from the cinematography through to the cast involved. This did work against it for me too then; mainly because it seemed to always harken back to other films such as Barton Fink, and other better films. This feeling is confirmed because Hail Caesar! is at its best in the moment, but doesn't really build or develop into something more satisfying. It is still funny, very well delivered, and enjoyable as part of the familiar Coen world, but they have done better, and it is hard not to think that while watching this.",,Anonymous,Music
Hail Hollywood!,"For those who have no knowledge of Golden Age Hollywood, skip this as the humour is very much based on in-jokes.Fans of Golden Age Hollywood will enjoy the pastiches of Hollywood films- a sword and sandals epic starring George Clooney, an Esther Williams swimming film starring Scarlett Johansson, a stagey drawing room comedy directed by Ralph Fiennes and a Gene Kelly style musical clearly based on On The Town, starring Channing Tatum. Unfortunately this collection of pastiches doesn't come together into a great film. Josh Brolin's fixer character is boring and the kidnap plot is very dull (and relies on another Golden Era Hollywood in-joke that only cinephiles will get- even as one myself I was bored with that element).Removing the kidnap plot and giving more screen-time to the other characters (Ralph Fiennes role is pretty much just a cameo) would have improved it considerably. I can see they were aiming for a similar style of comedy to Singin' in The Rain, which parodies the arrival of the talkies. Aldren Ehrenreich gives easily the best and funniest performance as a star of cowboy pictures forced to star in Ralph Fiennes' stiff mannered comedy; this shows what the film could have been but missed the opportunity.",6.0,Anonymous,Music
Disappointing,"This movie got an A rating in the Cleveland Plain Dealer from a film reviewer I have long respected, so I took advantage of a free late afternoon to go see it on the day it opened.It's a shame the review was so positive, because it made my disappointment that much greater.There is very little in this movie that is funny. (The audience I saw it with almost never laughed.) Most of the parodies are simplistic and flat and don't say anything clever about the subjects they are lampooning.Take the extended water ballet sequence that is meant as a send-up of Esther Williams movies. The sequence itself looks like a poor man's version of one of the numbers in *Jupiter's Daughter*. Scarlett Johannson looks frightened all the while she's up in the air in that little basket, but not frightened enough to be funny. And then? Nothing. The number ends as it would in an Esther Williams movie, and there is unfunny dialogue with the swimming character concerning her pregnancy.And so it goes throughout the movie. Things happen, but there is no followup. There are parodies of different types of movies popular in the 1940s and 50s, but the parodies aren't clever or insightful. George Clooney's character gets kidnapped by left-wing script writers, but those scenes don't tell us anything about the black-listed screenwriters of the era.Etc.Some of the reviews on here say the movie is terrible, some think this movie is the best thing since sliced cheese. It's neither extreme. It's just a largely flat comedy, with too few laughs.",3.0,Anonymous,Music
Ironically but vainly dedicated to the 50's gossips,"Despite the fact this movie is ironically dedicated to the 50's gossips (Charlton Heston, Esther Williams, Gene Kelly, ...), despite the constant second degree humour, despite all these excellent actors, despite my keen interest in the filmography of the Coen brothers, I got seriously bored!In bulk: a Roman legionnaire who discusses sociology with communists who have just kidnapped him; a starlet who plans to adopt her own newborn; a suitcase full of banknotes flowing right next to a submarine, because of a chihuahua; a motion picture exec who daily confesses his sins; ... and so on and so on ...",,Anonymous,Music
Funny pastiche of bygone Hollywood,"One scene in particular (saiors in a bar) is brilliant and recreates the atmosphere of old Hollywood musicals to much better effect than the over-hyped LaLa Land. Shows you can't rely on ratings and that there's a lot of follow the herd mentality.Lots of the script is really beautifully balanced. Also Ralph Fiennes is fantastic.The storyline is not particularly strong, but I don't think this matters. Really it;s a sort of loosely connected set of vignettes, lots of which are really well crafted and funny.",6.0,Anonymous,Music
Nice try,"This just doesn't gel. It is too disjointed, too compartmentized. It does have some funny moments but stumbles instead of flows.I can't fault the cast, other than George Clooney and Tilda Swenson. Anyone could have done those parts.For the most part this film offers cynicism towards the past but absolutely zero revelations.The sets, costumes and heavy use of CGI are well done. There are some great dance numbers as well.Alden Ehrenreich is the real standout of this film. He obviously took the part seriously and researched, practiced and worked hard.Move over George Clooney and I mean yesterday.",6.0,Anonymous,Music
"Satire that lacks energy, conviction, characters, character development, a focus, and nearly everything that makes good satire","After the phenomenal and emotional roller-coaster of ""Inside Llewyn Davis,"" a film that still hasn't found the audience it so desperately deserves, Joel and Ethan Coen followup arguably their best film with one that might be their most forgettable. ""Hail, Caesar!"" is a disappointment of epic proportions; an empty, unfocused satire on Hollywood business that has too many characters fighting for too little screen time, almost no energy despite attempting to work with a high-stakes plot, no strong character relationships despite the fact that everyone is trying to get a word in at all times during the course of the film, and finally, no central conflict that results in the characters ostensibly mustering up any kind of energy. If the characters themselves barely care about the situations they're in, why should we, the audience, who is now out of the high cost of a movie ticket?The film revolves around a Hollywood mogul Eddie Mannix (Josh Brolin), who is hired to help fix the troubled production of a Hollywood epic known as ""Hail, Caesar!."" The film stars the famous Baird Whitlock (George Clooney), who winds up being drugged on-set and kidnapped by a radical group of communists that call themselves ""The Future."" Mannix is tasked with giving the group $100,000 in exchange for his star actor.The Coen brothers spend much of the film hopscotching from different characters and different sets in what feels like a setup for a mini-series rather than a one-hundred minute film. Such characters are Laurence Laurentz (Ralph Fiennes), a very meticulous director, Thora and Thessaly Tacker (both played by Tilda Swinton), rival, twin-sister gossip columnists, Hobie Doyle (Alden Ehrenreich), a low-rent Western actor-turned-movie-star, who is one of Mannix's closest clients, DeeAnna Moran (Scarlett Johansson), an actress who becomes pregnant out of wedlock in the middle of her film, and Burt Gurney (Channing Tatum), a Gene Kelly-type actor, also working under the order of Mannix, who winds up at the center of the film's outstanding dance sequence between a group of Coast Guard members about to embark on a nautical mission that will prevent them from seeing a dame for months.""Hail, Caesar!"" is a film of moments, meaning that, once the film is over, you'll remember certain scenes you enjoyed, certain actors' cameos (which most of the aforementioned are) you appreciated, and if you're lucky, lines you can quote verbatim. At the end of the day, the sporadic humor that those little moments provide is not enough to recommend a film. The Coen brothers don't seem to know what direction they want to take this film, and with such a concise runtime, they have no time to make good use of the actors they probably paid quite a bit to show up on set for one day. This gives the film the look and feel that most of these A-list stars are simply fighting over screen time, and that isn't funny, especially when you have true talent being only momentarily showcased so the film can dart off to the next decorated setpiece.Then there's the issue of the film just not having much life to it outside of immaculate costume design and some strong cinematography (done by Roger Deakins, one of Hollywood's most masterful cinematographers working today). Because the actors aren't given characters to work with, no real energy or interest builds for them, and neither do character relationships. What we were supposed to gain from the scene involving Jonah Hill (who is on-screen for maybe a minute and a half) and Scarlet Johansson where Johansson's DeAnna asks Hill's Joseph if pressing down on the machine that stamps the papers hurts his forearm? Was this sort of flirtation so necessary that it needed to be included, or were the Coen's too busy giggling under their breath to notice?""Hail, Caesar!"" is overpopulated with scenes that don't work to further what little plot is here, and with such a high-stakes story about a lead actor being kidnapped by a band of communists, Clooney's Braid Whitlock doesn't seem too phased, Brolin's Mannix, who has never been a particularly strong actor to show real emotion or gusto in his personals, doesn't seem too concerned, so what is there left for us to care about?Some comparison has been made between both ""Hail, Caesar!"" and Wes Anderson's ""The Grand Budapest Hotel,"" and while the two have a similar approach to dry wit and deadpan humor, as well as similar actors like Fiennes and Swinton, Anderson's picture was a perfect example of copious energy and exhilarating, rapid-fire comic exchanges. ""Hail, Caesar!"" is the exact opposite; a frequently dull and almost entirely uninteresting film, predicated upon the strength of a few great scenes and some decent, albeit far, far too short, performances in a thoroughly muddled picture.",4.0,Anonymous,Music
A Day in the Life,"Lots of disappointing comments about how this movie does not live up to the Coen Brothers ""standard"" (I guess that means laugh-out-loud), is full of stars who get fleeting screen time, has no plot to speak of, no great villain or other dramatic concoction to keep up glued to our seats, etc., etc.What it is is a funny ""day in the life"" story of the guy (Eddie Mannix--superbly played by Josh Brolin) who has to keep some kind of lid on the craziness that is the studio system of the late 40's/early 50's. Looked at from that character perspective, this is an examination of one man's struggle not only with the insanity of his star stable (Clooney/Johansson/Ehrenreich), but with the question the movie actually revolves around--will Eddie decide to stay, or will he go to Lockheed, who have offered him a job that will make him more money and get him home on time for dinner. The confessional scenes that bookend this movie allow us a fuller glimpse into why Eddie does what he does.Brolin allows us to feel the conflict Eddie is experiencing, amidst the ever rising chaos around him (from a kidnapping, to a possible paternity suit, to having a cowboy actor take over the part in a drawing room comedy), to discover he actually likes what he does, and actually finds a sense of personal worth in handling the ever-escalating mess that is constantly pressing on him from all sides.Brolin's performance is so tight, so controlled and so real, that he is able to carry that storyline with great vigor and compassion. The rest of the lunacy, from the underwater Ester Williams scenes, to the Gene Kelly dance spoof, to the cowboy (Ehrenreich absolutely adorable and on point) and Carmen Miranda get together, simply provides the backdrop. You don't need to know any of the Hollywood history to appreciate this film, other than to know that a good portion of movies, at that time, were not pot-boiling epics, or racy, foul-mouthed satires, but rather quiet movies about individual struggle. Brolin keeps that focus throughout this film, making the ending, just like the movies of the past, a very happy one.A very pleasant, clever, and funny effort from the Brothers. Yes, a send-off, Valentine, if you will. I can see where people who have enshrined Lebowski as the litmus test for all Coen comedy movies moving forward would be disappointed. Fact is, the Brothers can play more than one note.",9.0,Anonymous,Music
