title,content,rating,username,genres
"Not your typical ""superhero"" movie, but still good","I was lucky enough to go to a pre-screening of Hancock last night and I really enjoyed it. I don't understand all of the criticism this movie is receiving. Everyone take a second and realize this is not a Marvel or DC comic book superhero movie. Now think about that again. It is a different story entirely and has some very unique elements.Hancock isn't action packed. It doesn't have a Superhero vs. Supervillan plot. I would probably describe it as a character study of the superhero. I think this movie does a better job of addressing some of the issues (and vices) a superhero probably would have if they existed today. The biggest conflict in the movie is within Will Smith's character's attitude, not necessarily good vs. evil.I think much of the criticism I have read about is motivated by expectations that were not met, which isn't fair at all. If you watch Hancock with only the expectation of being entertained, you will leave happy. Its a good movie, don't jump on the bandwagon of not liking it just because you can. Give it a chance and take it for what it is, a July 4th action/comedy.",7.0,Anonymous,Fantasy
"Classic case of great idea, mediocre execution.  Strong performances are marred by weak CGI and a lack of a central villain.","Will Smith. That's all you've got to say, and you're guaranteed a big opening at the box office. Well, from the looks of it, Smith also guarantees you at least a mildly entertaining film, which is what we get in his latest movie, Hancock. In the hands of any other leading star, Hancock would probably end up being a below average film. It's Smith's charisma, charm, and unwavering likability that ultimately save the film. He can make you laugh, cheer, cry, and even root for his character (who is a total ass, as he is reminded a number of times throughout the movie) no matter what kind of shenanigans he may cause.Hancock is not the generic superhero film and is probably one of the more ingenious ideas to come across a producer's desk in quite some time. To me, what it seems like is that the writers of the film loved the idea, started off extremely strong, and then began to realize that how hard it is to sustain a simplistic idea over the course of a full length motion picture (and it is because of this that Hancock is relatively short). The writers' plan to solve this problem is to throw in a totally unnecessary and badly handled plot twist to keep the audience guessing. The lack of a central villain also hurts the movie a lot. The character that serves as Hancock's enemy in the finale isn't even well acted. The person is laughable.This is an action movie, so it should come as no surprise to see well done and original action in the movie. However, I felt the effects could have used a few more weeks of polishing in the editing room. The camera is also quite crampy. I also have problems with the film's score, as it does not add an epic feeling to the film like it should have. I felt like something was missing in the climax of the film (which is not the end). The action scenes, while entertaining and original, were not long enough to engage the audience like say, The Incredible Hulk, nor were they as jaw dropping as those in Wanted.The film's strength rides on its three stars. Action veterans Will Smith and Charlize Theron both deliver winning performances as usual, and that should come as no surprise. Smith's charisma is enough to make anyone happy, and it's so easy to see why so many people love him. Theron is always a sight to behold (except in Monster, lol), and this film is no different. I enjoyed her performance the most, especially in the second act and the beginning of the third. Jason Bateman, who seems to be the bridge connecting the performances of Smith and Theron, is great as usual, and likable, marking a change from his recent turn in ""Juno"". There really isn't another performance to note, and part of Hancock's weakness is that there are really only three main engaging characters. It should also be noted that the kid who played Bateman's son was absolutely adorable.Hancock is the classic case of great idea, and mediocre execution. I can see this idea being remade years from now, and pulled off even better. It's not a fault of Peter Berg, the film's director, as the real weakness is in the screenplay, which falters after an excellent and wonderful opening act. It's not a bad film by any means, nor is it great. It's in between ""okay"" and ""good"".",6.0,Anonymous,Fantasy
"Brilliant idea and great idea, but a classic example of the first half being much better than the second","What drew me into seeing Hancock in the first place was its idea, which I found one of the most interesting for a film in a while. I am in all honesty not a big fan of Will Smith, but he has given some solid performances so I thought why not.I have to say that I didn't think Hancock was a bad film as such, it was somewhat underwhelming and I'm sorry to say I do understand the criticisms against it.Hancock does have a fair number of good points. It is stylishly filmed, with some well above average special effects, the music is dynamic and the directing is solid. The best asset about Hancock is the acting of the three leads.Will Smith is very commanding, with a lot of subtlety amongst all the wisecracks/gags that don't feel forced(ie.flying under the influence). Charlize Theron shows a glowing presence while also showing a sympathetic side, and Jason Bateman's dry humour contrasts perfectly too.However, Hancock is a very uneven film. I loved the first half, it was well paced, the script was witty and fresh and the scene where the titular character brings a speeding train to a halt as he can't be bothered to lift the car up from its path is one of the better and relevant scenes of the film.It is in the second half where Hancock is less than successful. Here the film starts to drag, the script becomes soapy and heavily melodramatic and the film has one of the daftest twists of any film not to have M Night Shyamalan's name on it.The story's tone isn't the only asset to feel uneven, the script is too, it has wit and freshness in the first half, but becomes mawkish in the second. I also felt that there were only three likable characters(Smith's, Theron's and Bateman's) and the others I barely noticed, with the villain especially flat.So all in all, an uneven film but not a necessarily bad one. 5/10 Bethany Cox",5.0,Anonymous,Fantasy
Enjoyed,"A film I remember watching years ago, re-watched 2022, enjoyable. Obviously more than the first time as I've increased my score from 5. There have been so many superhero movies since this, it's come up in my estimations.",7.0,Anonymous,Fantasy
This isn't a great picture but it is clever and entertaining in a lot of ways. I recommend seeing it at least once,"Hancock (2008) is a movie I recently watched on Amazon Prime. The storyline follows an anti-super hero that often causes as much damage as good during his times of heroism. One day, when saving a struggling public relations expert, he gets the advice he needs. Hancock will partner with the PR guy to try and save his image while continuing to do good for mankind. This movie is directed by Peter Berg (The Rundown) and stars Will Smith (Men in Black), Charlize Theron (Monster) and Jason Bateman (Ozark). The storyline for this is fairly clever and well done. The cast is very well selected and Smith, Theron and Bateman all deliver their characters perfectly. The script and dialogue is very good, loved the head in the ass references throughout. The soundtrack is also very good. There are some great action scenes that insert the comedic content very well. This isn't a great picture but it is clever and entertaining in a lot of ways. I recommend seeing it at least once and would score it a 7/10.",7.0,Anonymous,Fantasy
Go see it - it's not that bad,"*** MAY CONTAIN SPOILER ***I NEVER write on these opinion boards but I might start with this one. I felt as though I needed to stick up for the movie after reading all the horrible reviews. I went to see it on the 4th, mainly because the trailers looked entertaining and because I enjoy Will Smith. This movie is not at all what I expected. There is a surprising turn of events that I did not see coming. Will Smith, in his usual style, is quick, funny, witty, and charming and I thought the timing between he and Jason Bateman was perfect. If you are expecting to see a movie along the lines of Hulk, Iron Man, Batman, etc, don't go because you won't enjoy it. If you are going because you like the cast and are ready to be entertained for 1 hour and 20 minutes out of your life, then it is definitely worth the price of admission.",7.0,Anonymous,Fantasy
Fix the final Act PLEASE!!!,"I also was at the test screening in Peoria AZ. The film was spot on for the first hour. Jokes were hitting left and right, Smith and Bateman displayed good chemistry, and the special effects, though not always finished, were eye popping nonetheless.Without giving it away, the final half hour was flat, straying from the comical nature that had preceded it and instead tried to get philosophical and introduce a week paint'by'numbers villain. I spoke with director Peter Berg after the film and he seemed fully aware of the issues relating to the final act. Hopefully the recent ""re shoot"" will polish up that last act, making Hancock one of the must see blockbusters of the summer. In the form I saw it; it still has a ways to go.",6.0,Anonymous,Fantasy
I guess some people just can't take a switch in tone.,"I've read a lot of the reviews here complaining about the film flagging in its final act. I respectfully disagree.Hancock is most definitely DIFFERENT in it's last half - it drops off the comedy significantly and introduces some fascinating superhero mythology that is almost like an ancient Greek myth in its context. It also introduces some pretty tense and violent moments that really made me wonder if they should be marketing it as the kid-friendly summer blockbuster that they are. However, both halves have their own merits - the first being the humour, and the second being the (almost tragic) origin mythos. I suspect if you are prepared for the switch in tone, rather than shocked when it arrives, you might enjoy Hancock as much as I did.",8.0,Anonymous,Fantasy
Unique take on the superhero genre with mixed results,"""Hancock,"" directed by Peter Berg, presents a fresh and unconventional take on the superhero genre. Starring Will Smith as John Hancock, an apathetic and often drunk superhero, the film explores themes of redemption and identity. Hancock's reckless behavior and public disdain set the stage for an intriguing character arc.The film's first half is engaging, driven by Smith's charismatic performance and the humor derived from Hancock's unorthodox approach to heroism. Charlize Theron and Jason Bateman also deliver solid performances, adding depth to the story.However, the movie falters in its second half. The shift in tone and the introduction of a complex backstory feel rushed and underdeveloped, leading to a somewhat disjointed narrative. The film struggles to balance its comedic and dramatic elements, resulting in an uneven viewing experience.While ""Hancock"" offers a unique premise and strong performances, it ultimately falls short of its potential. It's an entertaining watch, but its inconsistent execution prevents it from being a standout in the superhero genre.",6.0,Anonymous,Fantasy
"Well, the first half was good...","Look, I have an idea. Let's make a Superman flick, but instead of everybody liking this Superman-like character, everyone could, like, hate him.Hmm.. interesting. But why would they hate him? Is he a villain or something?No, no. He is..well.. a jerk. He still catches bad guys and stuff, but he, like, insults people, creates a lot of collateral damage.. you know. A jerk.I like it, I like it. He's like a superhero dr. House or something, right?Right. Only less witty and more bitter. We can also make him a drunk.Well... I dunno if it would fly. Perhaps if we could get Will Smith to do the role. People dig Will Smith.I'm with you there. Will Smith, flying around, insulting people.. man, this will be great!Right. But we have to go with it somewhere, we can't just let him do superhero stuff while being a jerk, this would get old pretty fast. How about he somehow gets involved with a PR specialist, who will, like, try to improve his public image?Great idea! And wait..wait.. what if we get that Michael Bluth guy from Arrested Development to play, umm... Michael Bluth the PR guy?-Terrific! We're seriously up to something. Let's write!(scrib scrib scrib... hours pass..)Congrats, we have a hit! Let's celebrate!I'll get the champagne!Umm hold on just a minute...What?I just realized.. this script is only good for about 45 minutes of the movie! Hour tops!Oh no! What can we do? Can we pad it a little?No! It's unpaddable! I even added a female lead as Michael Bluth's wife, it still only added about 5 minutes of the movie. Nope, sorry. This is a dud.Oh come on...Look, look..perhaps we can think of something. Think, think...how do we further the story along, put in, like, some kind of a twist...They are all dead or something?No, no.. how about..(scrib scrib.. hours pass)Hmmm... I don't think this will work. No chance.Why?Just look at it! It's stupid, insultingly illogical, and the ending.. it's horrible. Look, I've greenlighted Jaws 4, so I know what I'm talking about.But, but.. Will Smith.. Bluth guy.. maybe we can get Charlize for the wife...I know! But this stuff... it.. just does not make any sense! The second half is nothing like the first half. It kills the movie!Yeah, perhaps we should just rewrite the whole thing..but..know what?What?Remember ""I am legend""? With Will Smith?Yeees....That one also had a great first half, right?Yes. The first half was good.And the second half royally sucked, right?Riiight...And it still was a success, right?I see.. what you're saying is that a Will Smith flick can have a great first half, idiotic second half and still come out a winner?Exactly!Well it IS kind of late and I'm kinda tired.. What gives, let's do it. Although it *does* sound kinda hancock to me. Btw, how do we call this thing?",5.0,Anonymous,Fantasy
Not bad!,"Lots of people, including the critics, are ragging on this film. Seriously, what did they expect? It's a Hollywood blockbuster with Wil Smith in. Get over it, turn your brain off, and sit back and enjoy the ride.For what it was, I thought it pretty good. It was entertaining, took a unique take on the superhero thing, and didn't have an overt number of huge gaping plot holes or completely blithe dialog.If you're feeling like a Wil Smith movie, go for it. It's not as bad as they say... just don't expect any more than the typical Hollywood affair.",8.0,Anonymous,Fantasy
"The cinematography and Plot Lets The Film Down, But Still A Solid Attempt At An Anti-Hero Movie","Pros:
1. Both Will Smith (John Hancock) and Charlize Theron (Mary) give great performances.
2. The emotional scenes, with thanks to the acting and well-timed pauses, land with great effect.
3. The humour is fantastically dry and dark, which prevents the film from becoming stale.
4. The action scenes are well-choreographed and entertaining.
5. The CGI and special effects, aside from a couple instances, look great and still hold up 12 years later.Cons:
1. There are a plethora of really strange editing and camera angles which take you out of the viewing experience.
2. There are a couple plot-holes. For example, why did Red (Eddie Marsan) only take Man Mountain (David Mattey) and Matrix (Maetrix Fitten) to confront Hancock at the hospital, after it had already been established that most of the prison population was there because of Hancock?
3. During the action scenes, obnoxious and corny stock action music is played.
4. The movie doesn't focus enough on the philosophical reasoning behind a superhero negating their duties, and whether or not they should have free will to decide their superhero role.
5. The entire sequence featuring Hancock and Mary fighting in LA not only has the worst looking special effects, but the conflict just feels really forced.",6.0,Anonymous,Fantasy
A good idea... poorly executed!,"Hancock began life as a good idea and with a very intriguing premise; it bills itself as the alternative superhero film by aiming to show that the Superhero can be humanized. The film centers on a down and out alcoholic superhero called Hancock, played by the ever impressive Will Smith. He is a superhero that causes destruction and fuels his own public hatred where ever he goes due to his lifestyle and his indolence. It becomes fortunate therefore that one day he should save the life of PR man (Jason Bateman), who is married to the lovely Mary (Charlize Theron) and that in return for saving his life he chooses to help Hancock change his image.The film starts well by introducing us to Hancock asleep, scruffy and unshaven on a public bench but ultimately establishing him as a lousy, grumpy oaf. As the film progresses Hancock evolves into a very endearing character, his apathy and self loathing - exhibited by his alcoholism, are all traits that manage to humanize the myths that surround super human beings. The fact that his physical prowess and lifestyle choice is his undoing is an interesting concept and in some quarters would be regarded as a microcosm of the manner in which gifted, black American men have been marginalized over the years (but this is a short review and I don't want to get that deep... however, examples that come to mind, and help to support this theory, are such great physical talents like Ed Moses, Shaquille O'Neil, Carl Lewis, Jesse Owen etc) some film scholars will no doubt give more precedence to this side of the film.Many critics have labeled the film as being unequal and disjointed and I would have to say that I agree. The first half of the film is amusing, engaging and quite plausible (given its premise) but upon the introduction of a second hero with equal powers the film quickly descends into the farcical. For example, some of the early scenes have Hancock exhibiting his strength in often mundane scenarios from dragging a car up a driveway to dunking a basketball from over 50 meters away but given there placement in the context of the film they are clearly the conceivable actions of a super strong human being. During the latter stages of the film this demonstration of strength becomes inane and coarse, epitomized by a scene in which the two superheroes battle it out the sky, throwing each other across blocks and through buildings, and affecting the weather to such an extent that lightening, twisters and snowfall all takes place. This is ultimately where the film falls down as it resorts to the clichés that are so often witnessed in films of this genre. Ultimately this decline is driven by a foolishly executed back-story that has no place in the film and should have been erased the moment it was conceived. The internal logic of the film is preposterous and nonsensical and would remain so even if it was chief plot device in a Saturday morning kids cartoon.When it comes to the direction it seems surprising to me that Peter Berg should be able to make the leap to making a blockbuster like Hancock, this is because Hancock was always going to be a commercial risk given its target audience and release date and his previous film The Kingdom was not a huge success. In these situations it is normally an established director that is chosen by the studio to carry films of this nature. This is evident from the manner in which the plot, story and narrative transpire to the screen as Berg's direction is gritty, with frantic zooms, sharp fast-pans and steady-cam sequences. His direction does not really complement the film, leading me to believe that in Hancock we have a director that is better than the film he is trying to make, a rarity in film making but it does happen.Finally, Hancock is probably one of the biggest let downs I have had the misfortune to witness this year. The incoherent story has seriously affected the outcome of this film; it has led to it being almost incomprehensible. The futile subplot and unnecessary twist laid the foundations for the films demise. However, despite my immense disappointment I can still sit back and take light in the performances and the direction, but they can do nothing for my overall feelings towards Hancock.",4.0,Anonymous,Fantasy
