title,content,rating,username,genres
Somehow manages to be funnier than the first!,"I really liked the first movie, and I think I like this one more. It's certainly both darker and funnier than the first. This time though, Ron gets the most laughs(""OK can we panic now?""). Here we get introduced to new characters, the standout being Kenneth Branagh, a Shakespeare veteran, who stole every scene as Gildaroy Lockhart. I loved it when he said ""It's filthy down here,"" the whole cinema were in hysterics at that. Jason Isaacs was menacing too, and Dobby was hilarious with his constant head-banging. Daniel Radcliffe is audibly older here and it does work at its advantage. I thought 23 year old Christian Coulson as Riddle was very good indeed, though Riddle was much scarier in the book. Other scenes of comic relief were provided by Ron's parents, played respectably by Julie Walters and Mark Williams. However, there were still some frightening scenes, and the plot at times seemed to be convoluted. Richard Harris was surprisingly good, considering he was ailing quite visibly, and some months later he sadly died. This movie is fairly faithful to the source material, and manages to have a bit of humour too. All in all, a dark and funny movie. 8/10 Bethany Cox",8.0,Anonymous,"Adventure, Fantasy"
I want more!!!,"Chris Columbus said he wanted to make a 2,5 hour movie that feels like 30 Minutes. Well, in my case he surely succeeded! I saw the movie as a member of the press and couldn't get enough of it. I would have gladly sat in the cinema for another two or three hours with a biiiig smile on my face.Like part one, ""chamber of secrets"" stays true to the book. I don't know about you - but I HATE it when movie makers change the storylines, add or remove characters and do it for the ""sake of the art"". I think they do it because they are too lazy to create their own storys, so they rip off other peoples ideas and crush them to make it more comfortable... If a book is loved by millions of readers there must be a good reason for that. Chris Columbus has captured the essence of the book on screen. So, after ""philosophers stone"" he delivered again!When reading the book I always envisioned Michael Crawford playing Gilderoy Lockhart. His broad smile and clumsiness à la Frank Spencer would have been perfect for the role. But instead we get to see Kenneth Branagh, so of course you won't see ME complain. The great find of the movie is Jason Isaacs as Lucius Malfoy. In his short scenes onscreen he makes your blood freeze. And again: all the casting is brilliant. Every character just feels right - even if you imagined something different when you read the book. There also has been talk about the young actors getting older. Well, let me remind you that this also happens in the books. In every book Harry Potter and his friends are one year older. So there's no excuse to take the roles away from Daniel Radcliffe, Emma Watson and Rupert Grint. I couldn't imagine someone else playing their parts.Go see ""the chamber of secrets"". It's pure fun and excitement! And it will wet your appetite for more to come. Richard Harris couldn't have asked for a better movie and legacy to be remembered by.",8.0,Anonymous,"Adventure, Fantasy"
That bit of magic returns,"The second installment seems to carry on where the first left off. All previous characters return and then some!! The grandiose majesty of Harry Potter continues with new tricks, new delights and little treats that can be taken for granted. At times I find the Harry Potter world has so many wonderful things happening at the same time that you tend to overlook the smaller things (ergos the Weasley's residence and the great Hall) The Chamber of Secrets is a darker tail but is well within the tolerances of most children's ability to handle. The creatures are excellent, the overall story is easy enough to follow, though some aspects have to be explained to younger children.What does get annoying is that constant overused Daniel Radcliffe cheesy smile. It wears on the sensibilities after a while like sharp finger nails scraping down a blackboard. Overall though, Chamber of Secrets is a solid good natured magical movie only slighter less pleasing than the first.",7.0,Anonymous,"Adventure, Fantasy"
"A wonderful journey into a world where magic is, indeed, real.","Having three daughters I have a choice when a great book comes out:  buy three of them (EXPENSIVE!!), force someone to wait until the other is done before they can read the book (sure, I enjoy breaking up fights!), or read it to them.  I chose to read it to them so we could ALL enjoy it...and we did!  Naturally, the kids were excited when the movie came out.  However, when I saw the first Harry Potter, I was terrified it was going to be ""butchered"" like most ""books to movies"" are; but was pleasantly surprised by the relatively ""stick to the book"" script it displayed.  Sure, some things were left out undoubtedly due to time constraints, but overall, it conveyed the story well.Chamber of Secrets did this even better.As an avid reader, I am quite hesitant to see my beloved books displayed on screen only to have the directors do them no justice.  However, with both Harry Potter movies, the visuals were spectacular, the acting well done, and the characters almost perfectly matched.  The set design for Diagon Alley and the Weasley house was fabulous!  How wonderful to see these places come to life outside of our imaginations!  This stays true for nearly every aspect of Hogwarts...from the greenhouse, to the moving staircases, the dorms and Dumbledore's office.Daniel Radcliffe, Rupert Grint, and Emma Watson do superb jobs of playing Harry, Ron, and Hermione.  The movie undoubtedly draws you in and makes you forget that this isn't real...quite an acheivement!Of course, not all moviegoers will enjoy this one.  It is not for the die-hard action fan, the horror-only fans, or those that dislike a bit of magic, imagination, and fantasy.  But for the rest of us, Chamber of Secrets accurately depicts what until now, only our imaginations could see. Children will love this for the wizardry and magic, the struggle between Harry and his foes, the friendships that abound, and the simple fun of it all; while adults will love it for bringing them back to a time when magic was, indeed, real.All in all, I give this a 5 out of 5...fantastically done.  Of course, I would have liked to see a bit more scenes from the book added, but I understand time restrictions.  Great film and a definite must see!",9.0,Anonymous,"Adventure, Fantasy"
Darker fantasy than the first Potter film...brisk despite its length...,"Prepare yourself for a darker fantasy this time with some harrowing and scary special effects. Apparently J.K. Rowling has hit upon the fact that kids love to be scared stiff along with being entertained by touches of humor and excitement--although I think her imagination works overtime on scenes like the vomiting fit for Ron, one of the more tasteless sequences.And apparently the makers of this Potter film have met the challenge of providing spiders and snakes that are hideous enough to have Ron and the audience in a fit of hysterics. It's all here--the main events anyway of the Rowling book--and for extra measure they've given a much needed humorous role to Kenneth Branagh who has great fun with his role as the self-loving Gilderoy Lockhart. The only real drawback is that Maggie Smith has very little to do--but the main chores belong to Daniel Radcliffe, Emma Watson and Rupert Grint who continue to charm as the three leads. Jason Isaacs as Lucius Malfoy has a commanding presence and an amusingly wicked final scene involving the computer created Dobby who steals every scene he's in.Should keep Potter fans happy--and for a movie two-and-a-half hours long it moves along at a brisk pace from one adventure to another with what by now appears to be mechanical skill, thanks to artful direction by Chris Columbus who knows how to keep this sort of thing moving. John Williams' perky score is a distinct help.",,Anonymous,"Adventure, Fantasy"
The story starts here!,"Harry Potter and the Chamber of Secrets is a huge step on from the first film.  In the Philosophers stone we were introduced to the the world of Harry Potter and given a taster of what lies ahead.In the Chamber of Secrets the main story line for the series of books really starts to be told.  It is much darker and sinister than the first film and Daniel Radcliffe, Emma Watson and Rupert Grint give good performances and give us a glimpse of the fine actors they are becoming.Kenneth Branagh and Jason Isaacs are perfectly cast as Gilderoy Lockhart and Lucius Malfoy and truly bring the characters from the book to life.  Mark Williams as Arthur Weasley while under used in this film is going to be great in the next few as his character has more to do.  The Cinematography is again superb and somehow the Quiddich game is better than in the first film.A fine sequal to the first film and should dispel any notion that the first one was just a one hit wonder.A firm 10 in my book.",10.0,Anonymous,"Adventure, Fantasy"
The Chamber of Secrets has been opened at long last!!!!,"Lessons learned since the 1st film! Clearly this film was edited at script stage rather than the cutting room floor stage!! This story reads as film narrative, rather than a book illustration, which was the big mistake of the 1st film. Anyone can watch this film and follow it without knowing the book. The 1st hour is pure laugh out loud fun (the adults in my Cinema audience were shouting with laughter!). The last hour is scary, wand dropping tension.The problem is: how do we convince muggles put-off by the 1st film to go see this one? Why should they give this one a chance? Answer: If you know someone who likes Fun, make them see this film! This film is not about 'Oscars' & Acting, despite the fabulous performances by all the adults, it is about enjoying the overall effect of the film, this being to give the viewer a long lasting buzz. Brilliant! The staging is very theatrical in it's minimalism, yet extravagantly arty in visual specifics. In the not to distant future I see fans going to a regular weekend slot at their local cinema for Audience Participation fun. Wands, swords, sorting hat, spiders, mandrakes & crucial ear muffs as standard props! Lots of gaps for us to shout out funny quips. A Rocky Horror Show Audience Participation Show for kids! Long overdue.My Rating: 8/10. Not a masterpiece of cinematic potential, but such jolly good fun that no one should be denied the joy of a ""Bloody Marvelous"" frolic. A film for the child within us adults. Go see it with a predominantly adult audience if you want to experience the real buzz of unfettered emotion. Only three children were present at the Preview I witnessed and they were silently spellbound whereas the adults evoked emotion noisily throughout and then stood up, cheered and applauded at the end! I shall never forget this truly magical experience.Richard Harris you can not be replaced, you will always be Dumbledore, and hence Omnipresent. Thank you for the fantastic finale to a wonderful life that you gave us. Thank you. And Thank you JK & Chris. You did it, the Chamber is well & truly open now!",8.0,Anonymous,"Adventure, Fantasy"
Star rating: 4 out of 5,"Harry Potter and the Chamber of Secrets is much darker and more insidious in nature than 2001's Harry Potter and the Philosopher's Stone.  This is not meant as a criticism; indeed, it is partly due to the undercurrent of menace, that this second filmic journey into the wizarding world surpasses its predecessor in terms of quality, enjoyment and heart-in-your-mouth scares.  While it is funny and light-hearted in places, it doesn't gloss over the unpleasant aspects of life, and deals with racism in particular.It is Harry's second year at Hogwarts School of Witchcraft and Wizardry, but owing to a blocked up wizarding portal, a flying Ford Anglia, and a whomping willow, the beginning of the term is far from ideal.  Then Harry begins to hear voices in the walls of the school; voices that no one else is aware of. It would seem that the fabled Chamber of Secrets has been opened, and that the horror residing within has been unleashed upon the students.It is nice to see how the young actors have developed their roles, although Ron's (Rupert Grint) slightly overdone comedic style would perhaps be more suited to stage performance.  The real stars of the film however, are not the actors, but the wonderful and intricately detailed sets.  From Hogwarts' gothic cathedral, to the glorious muddle of the Weasley household (complete with self-washing dishes and self-knitting jumpers), to the grime and nastiness of Knockturn Alley, the built sets are far more impressive than the CGI wizardry.   In particular, the Quidditch match takes far too long and isn't really all that exciting.  Having said that though, the computer-animated outsize spider sequence will likely scare the socks off small children, and probably even some parents as well!",7.0,Anonymous,"Adventure, Fantasy"
"Back to school, Mr. Potter: a superior second installment","Having done a good job with the first Harry Potter flick, one shouldn't be surprised Chris Columbus was asked to direct the sequel as well. And the second film actually improves on its predecessor, getting a little edgier and less children-friendly (two factors that raise exponentially with each new installment), even though it does repeat an old mistake in certain places.So, what about the plot? Well, it's Harry's (Daniel Radcliffe) second year at Hogwarts, and everything should be fine, given he defeated Voldemort in the previous film and there are no other threats lurking in the magical world. Or are there? A mysterious house elf named Dobby seems to think so, as he repeatedly tries to prevent Harry from returning to school and keeps asking him to leave when students start being attacked by a supernatural, unknown foe. All this seems to be connected to the Chamber of Secrets, but that isn't of much help, especially considering the new Defense against the Dark Arts teacher, famous writer Gilderoy Lockhart (Kenneth Branagh), is a complete idiot.Darker and faster, Harry Potter and the Chamber of Secrets repeats the Philosopher's Stone's mistake of being slightly too faithful to the literary source, but Columbus manages to compensate this flaw with better visuals, some really creepy set-ups and improved acting from the younger cast members (Emma Watson in particular). He has also made interesting choices when it comes to the new faces in the adult group: Branagh is very, very funny as the ego-fueled Lockhart (a role originally intended for Hugh Grant), but the most interesting addition is Jason Isaacs (whom I can't wait to see again in the fourth film) as Lucius Malfoy, an intriguingly sinister wizard who is as racist and arrogant as his son, Harry's arch-nemesis Draco. As for Dobby, a CG creature voiced by Toby Jones, he is interesting at first but rapidly becomes annoying, his masochistic antics being repetitive and a little dull.Finally, a special mention for Chamber's best element: Richard Harris, who sadly passed away a few weeks before the movie's premiere. He was, and is, incredibly good as headmaster Dumbledore and despite a worthy replacement (Michael Gambon), in the purists' hearts he will always be the one and only greatest wizard of all time.Verdict: good, but they could have done better. Thankfully, they did with number three...",8.0,Anonymous,"Adventure, Fantasy"
More Uninspired Magic from Chris Columbus,"""Harry Potter and the Chamber of Secrets"" is more of the same from Chris Columbus, the man who brought the first Harry Potter book to film: dutifully committed to pleasing fans of the book resulting in completely uninspired filmmaking.Though if Columbus had to direct any of the Potter films, I'm glad he was assigned the first two, before the series turned dark. Columbus's style fits the bubble-gum kiddie movie tone of the first two books, but would have been completely mismatched with the later installments.The fun of all the Harry Potter movies lies in seeing what big-time British talent will pop up as the various adult characters, and in this one it's Kenneth Branagh as the preening Gilderoy Lockhart who gets most of the fun.Grade: B",7.0,Anonymous,"Adventure, Fantasy"
