title,content,rating,username,genres
Take another trip to Del Toro's labyrinth.,"My Take: An elaborate set of imaginative creature effects and the always interesting lead character make the show worth watching.I have a confession to make: I haven't seen the original HELLBOY yet. And neither have I seen it when I saw the much-praised sequel HELLBOY II: THE GOLDEN ARMY. But that's just what I really like about this sequel: It doesn't require you to have seen the original to fully enjoy this weird and entertaining excursion. Seeing the original would certainly add to the experience, but taken in its own rights, HELLBOY II does what a sequel should do: Not just live up to the expectations left by its predecessor, but also shine as a stand-alone effort.And yet I have another confession: I have not seen Guillermo Del Toro's crown jewel PAN'S LABYRINTH yet. But seeing HELLBOY II, I am more than impressed by his wild imagination. HELLBOY may have been based on a comic book, but for anyone who isn't a fan of the comics, Hellboy is Del Toro's own creation. Like what Tim Burton did with BATMAN, Del Toro has modeled Hellboy (Ron Perlman) as his own creation on-screen, and he's a very interesting character. Perlman never wastes his opportunity to provide depth as well as nuance to his character. Perlman proves himself worthy, not just an ideal action hero (under tons of make-up), but as yet another actor who successfully embodies the role of a comic-book character.As in PAN'S LABYRINTH, Del Toro populates the world of HELLBOY II with some truly fascinating and intriguing creatures. Roger Ebert made a truthful compliment by stating that the world of HELLBOY II reminded him of the famous Cantina scene from STAR WARS. What George Lucas has conceived within only a few minutes of screen time in his movie, Del Toro manages to do for 2 hours. The creatures are imaginative, not just in look but in personality, and they are at an abundance. Plus, they're also mostly done using make-up effects rather than CGI, which makes them all the more real. Add to Del Toro's imaginative set pieces, he is a master storyteller. From the opening scene, where ""Broom"" Bruttenholm (John Hurt) tells the legend of the ""Golden Army"" to a young Hellboy, Del Toro exhibits is true talents at telling a good story. There are moments of thrills and even laughs, and the visuals are superb. Supporting performances and some neat special effects (notice that I praised the CGI later in in this review) make for one worthy adventure ride. HELLBOY II isn't perfect, but it sure is great at what it was doing.Rating: **** out of 5.",8.0,Anonymous,Fantasy
"A labour of love, and it shows","HELLBOY II threatens to be nothing more than your latest CGI-laden braindead Hollywood action movie, and yet it's not, thanks to the presence of director Guillermo del Toro. Del Toro has to possess one of the most imaginative minds in Hollywood and he brings a level of creativity to the movie that's sorely lacking in most genre fare getting released these days. Del Toro's imagination comes to the fore in the myriad creatures he creates for this movie, bringing to life monster upon monster with no end to the creativity in sight.Even better, the producers have the budget to match the vivid creations coming out of the minds of this film's makers, and the special effects do not disappoint. The CGI in this movie is phenomenal, with not a single effect out of place. Having just sat through the dodgy, odd-looking chimpanzees of RISE OF THE PLANET OF THE APES, I'm doubly impressed by the quality of the CGI in this movie (which was made with a lower budget than the ape film, it has to be said). It's an entirely visual film, one which never disappoints.The plot, of course, is secondary to the effects, but that doesn't matter so much this time around. As usual, there's a bad guy (Luke Goss, returning as a del Toro villain after BLADE II) who wants to take over the world and who has all manner of mean and wild creations to help him in the process. Up against him is Hellboy and his companions. The return of welcome old faces is great (and kudos to the writers for giving the excellent Abe Sapien a bigger part this time around) and the new character of Johann Krauss is similarly a work of genius. Hellboy is his usual wisecracking self and Perlman brings plenty of laconic humour to the part.The narrative pretty much leads from one wild set-piece to the next, with some more effective than others. Hellboy's encounter with the nature god is my favourite part of the film, although the run-in with the titular army at the movie's climax is also fairly exhilarating. Okay, so this isn't a great movie – the story doesn't hold up to a great deal of scrutiny, after all is told – but it looks the part and I can't dislike any movie with this level of sheer inventiveness behind it.",8.0,Anonymous,Fantasy
"Visually it's outstanding, Mentally it's mediocre","Del Torro's imagination is a beautiful thing. He has created some of the most fascinating creatures that traditional Hollywood doesn't have the guts or inclination to ever assemble. I would take Guillmero Del Torro in the director's chair any time any place, but Hellboy II shows that he is not without his flaws. Ron Perlman who is terrific as Hellboy doesn't have anything truly interesting to say or do, the world around him is magical but the plot isn't.Hellboy is the most unique character to appear in your comic book shop. The mythology and the character are such the opposite of the main stream and to Hellboy II's credit so is this movie. Ron Perlman doesn't deliver catch phrases or gun down bad guys for the sake of doing so. He is an interesting character but he is overshadowed by this lackluster plot and the world around it. I felt as if we didn't see enough of Big Red or maybe we did we just didn't get to see the most of the talents. Del Torro constantly wants to remind you that he directed Pan's Labyrinth because visually the creatures look like they were leftovers from that film. I don't mind this per say but these characters just don't have much to do, they are there really to look at rather than them having significance. Visually I can't complain about them because they are amazing but they serve little purpose to the story.The plot is really the weakest thing this movie has going for it. I felt it took too many liberties against the original concepts of Hellboy. Hellboy is a creature alive in our world, Del Torro tries to tell us that our world is nothing more than a division of fantasy and reality. Well we spend too much time in the fantasy that we forget the fact that this Golden Army is a threat to reality. The villain Prince Nuada is weak, we don't see any method to his madness other than the fact that the plot dictates that he be the antagonist. In the first film and to a lesser degree this one we were given details about why Hellboy has faith in humanity and would chose not to serve his purpose. It's interesting because we are given glimpses of what could have been something that could have added real teeth and tension to the story, for the first time Hellboy is tempted by evil, weakly tempted but tempted nonetheless. This mental struggle could have given our actors the chance to show their talent but instead the filler between the action scenes is just okay at best.I didn't hate Hellboy II I just think it needed some beef in it's story. Del Torro has shown us he is a master storyteller but this time he didn't focus on the story it's self. I would recommend this film but I know Del Torro can and has done much better.",7.0,Anonymous,Fantasy
Very good,"You know you're not watching a formulaic comic book film when one of the highlights is a drunken rendition of ""Can't Smile Without You"" by Hellboy and Abe Sapien. ""Hellboy II: The Golden Army"" is a more confident, assured outing than the first film and while it does not draw from Mignola's comics for its plot it is perhaps better off for it, lacking the usual burden of comparison and expectations. ""The Golden Army"" is more fantastical than the first film and is less sci-fi oriented but this is the sort of thing Del Toro does exceptionally well as a writer. He never lets the fantasy become the focus of the film, instead concentrating on characters and delivering action scenes that can only be described as, forgive the crass immaturity, kickass.As entertaining as many comic book-to-film adaptations are it is a rare event when one can call one of these films a true artistic achievement. I am convinced without a shadow of a doubt that Guillermo Del Toro's entire career has been leading up to this film, particularly regarding his work as screenwriter here. The comedy feels less forced and is worked incredibly well into the script here, so much so that it doesn't feel remotely unnatural when the scene of comic drunken singing leads directly without a break into one of the film's most intensely dramatic sequences. Del Toro's handling of character has never been better, not even with ""The Devil's Backbone"", which is still my favorite of his films, and his sheer skill and ability when it comes to telling a fairytale-esquire fantasy is astonishing, as proved in the prologue to this film. In short this is Del Toro at the top of his game and providing artistry the likes of which we rarely if ever see in summer blockbusters. It's only fair that an astonishingly brilliant comic like ""Hellboy"" by an astonishingly brilliant artist like Mike Mignola is adapted this well and by someone as talented at what they do as he is.How refreshing it is, a week after the release of ""Hancock"", which to me epitomizes everything wrong with action film-making today, that we get ""The Golden Army"" which features hands down some of the finest action scenes we have ever seen in this sort of film. Just stunningly beautiful, well-shot, well-crafted, the sort of thing that leaves one wondering how much time and effort went into it and endlessly thankful that some really talented people went to the trouble of making the film.The film is generally just superb on a technical level. Why am I even saying this? Of course it is. Danny Elfman composing, Guillermo Navarro serving as cinematographer, top-notch editors, fantastic special effects wizards. It's a world-class crew that made this film. I shouldn't be surprised at its quality but ""The Golden Army"" really just floored and astonished me with how good it is. The cast is also excellent, proving once again that you don't need 'big names' to carry a movie. Just about everyone here is excellent, particularly Perlman with another excellent turn as Hellboy and the underrated Selma Blair as Liz Sherman.""Hellboy II: The Golden Army"" provides essentially everything a Del Toro or Mignola fan would want. I imagine it will entertain and charm many outside those circles as well with its fantastic action sequences, engaging characters, and wonderful sense of humor. I would personally go as far as calling ""Hellboy II: The Golden Army"" one of the top five or so comic book movies ever made.",,Anonymous,Fantasy
A pretty good sequel,"I was excited when I heard that the first Hellboy film was getting a sequel. And considering Guillermo Del Toro and Ron Perlman were returning, it was guaranteed to be a hit. More supernatural elements, more Abe Sapien, and more weirdness. I don't know how this movie fared at the box office or the critics, but I enjoyed it and I wouldn't mind seeing it again.",7.0,Anonymous,Fantasy
More Fun Than The Original!,"A lot more fun than the original, though unlike many reviewers I kind of miss the darker, real-life villains. (Is anything hotter than Rasputin the Russian mystic making love to a stunning blonde Valkyrie of the SS?) Anyway, the cute elf princess and the fish-like Abe make a surprisingly romantic pair, the fight scenes rock, and the dialogue is sharp and funny almost all the time.Only one regret: I do wish they could have yanked ""Can't Smile Without You"" by Barry Manilow, and replaced it with a song with a bit more soul. I would suggest ""When A Man Loves A Woman"" by Percy Sledge. Or ""Hello Stranger"" by Barbara Lewis. Or ""Walk Like A Man"" by the Four Seasons. Or just about anything but Barry Manilow!",7.0,Anonymous,Fantasy
A mere shadow of the first,"Our red anti-hero is back. Together with the agency he's out to save the world again. And this time he's all gentle and careful about it. No, I'm kidding, he's just as rude and crude as he was the first time around.Where the first film worked because of the new ""hero"" this second one has nothing like that to start it off. So instead of being able to rely on the newness of things it has to come with something extra and quite sadly the one thing new it does bring takes the film away from what it should be. For me the added creatures just did not belong in a film like this and actually made it a lot worse than it should have been.It's still a fun film, for the most of it, but it could have done a lot better if it had stuck a little closer to the tale of the original one (and as far as I've heard, the comic books the first film was based on). If there is going to be a third one I for one hope they return to the original style.6 out of 10 big hearted bad guys",6.0,Anonymous,Fantasy
"Simply put, a well deserved sequel to its fans","Let me start of by saying that Del Toro had one message to the fans, and it was ""I will not disappoint""I have long felt that the first Hellboy installment is one of the most underrated films of the 2000's. The first thing you notice about both the first film and this more than worthy successor is the passion. Everything is simply beautiful (not in the typical beautiful sense, but in that you appreciate the art that it is), and it should come as no surprise as the film's director, Guillermo Del Toro, is a long time fan of the comic stories on which the movie is based. Del Toro turned down multiple high profile projects, including multiple Harry Potter films, so he could work on the Hellboy series, which we all know will not gross as much money. Del Toro's passion for excellence is evident in this wonderful sequel, which is better than the first, and cements Del Toro's place as one of the top filmmakers of today.The first thing I liked about the movie: the easy transition from the first to the second movie. Though I don't remember exact plot details, it was very easy for me to get back into the story, world, and especially our three main characters. I'd reckon that you could watch this movie without having seen the first and still have a great time (though, it helps). A great cast with great chemistry more than sets the tone and makes this one very watchable.First, you've got Ron Perlman. For those of you who don't know this terribly underrated actor, he's one you can't afford to miss as Hellboy. Even though he's covered in make-up and prosthetic's, Perlman does a great job of making us love him as a hero, and a man. This is something most of the superhero performers do not (or perhaps cannot) do. The just-as-passionate-as-Del-Toro Doug Jones leaves a HUGE mark on the viewer here, not just for his performance as Abe Sapien, but for his remarkable range as a couple of other characters in the movie. Luke Goss is the film's villain, and I really saw the dedication in his performance as well, something required for his character, who is of course a dedicated man. He's not necessarily the typical 'evil' character, but a somewhat misguided one, and I think Goss got that across to me very well. A fact often ignored by critics in the comic book/superhero realm of films is the supporting heroine. Most times, without the audience knowing it, this character makes or breaks the movie. Selma Blair, boy does she make it. Not only does she look absolutely stunning as Liz Sherman, she takes the final act into her hands and does wonders with it. Definitely the best performance I've ever seen from Ms. Blair. Add in a hilarious and great performance from Seth MacFarlane (yes, the voice of multiple Family Guy characters, I know I looked it up too!! Have to give it to him) as Johann Kraus's voice, and Anna Walton as Princess Nuala, and you've got the best ensemble of the year thus far.As for the action, it's stunning. Hellboy has a LOT more to work with than the traditional superhero film, and Del Toro more than takes advantage of it. With action ranging from lighting fast and well shot sword fighting and hand to hand combat to Hellboy versus a giant plant (the Last forest Elder) and what a fight it was, it's a sight to behold as we watch a legendary director in the making perfect his craft once again. There were multiple times where I found myself saying ""holy crap"", or ""wow"". Del Toro also keeps some humor in there to balance the much darker tone of the film.The film has also an incredible awesome version of the song lovesick. but that's for you to find out.",9.0,Anonymous,Fantasy
Hellboy II,"I went to a screening of Hellboy II and loved it. I did not see the first movie, nor have I read the comic book. In fact, I knew nothing before getting the invitation. The movie is very smart, very comical and very well done in my opinion. I found myself laughing a lot, something the rest the audience was not doing. Either they just didn't get it or I didn't. There were quite a few subliminal messages and the subtext was heavy. Environmental issues, man versus nature and how we treat the planet. Political issues, world dominance and who really deserves to live or die or rule. Love and how much a person is willing to do to get it and keep it. I liked Hellboy II so much I am going to see the first one and hopefully the third.",7.0,Anonymous,Fantasy
Nice visuals but very little excitement,"""Hellboy 2"" comes in the middle of a superhero sandwich, what with last weeks ""Hancock"" and next week's already proclaimed king of summer ""The Dark Knight"". I'm curious as to the legs this movie will have. The first one did OK, though I seem to recall a mixed reaction to it. The first one came out in April though, away from all the summer blockbusters. Since that first film, director Guillermo Del Torro has made somewhat of a name for himself with Pan's Labyrinth (tho I was one of the few who thought it was overrated) and he seems to be primed to become the next big thing in Hollywood. A mainstream hit would do wonders for him. I'm also interested in Ron Perlman, the man behind the Hellboy mask. He was the best thing about the first movie, sympathetic and cynically funny, and I feel this franchise should turn him into a star, or at least a better known name. All this was going through my mind this weekend as I entered the doors to see ""Hellboy 2"".This second installment begins with an ancient tale of truce between humans and fantasy creatures. King Balor of the fantasy creatures created a golden army controlled by his crown but he was so ashamed at the result that he had the army hidden away, the crown destroyed into three pieces, and a peaceful resolution was settled. Jumping ahead to present day, his son, Prince Nuada (Luke Goss), is appalled at what the humans have done to his father's land and he seeks the pieces of the crown to control the army and take the land back. This is a job for the team at the ""Bureau for Paranormal Research"", the amphibious Abe (Doug Jones), pyrokinetic Liz (Selma Blair), and big red, i.e Hellboy (Ron Perlman). Just they have problems of their own. No longer sure that Agent Manning (Jeffrey Tambor) can control the team, Washington has sent by-the-book Special Agent Johann Krauss (Seth McFarlane), who I'll describe to the best of my ability as white steam in a Scuba suit (he's also apart of the creature world if you haven't already guessed). With the help of Nuada's sister (Anna Walton), the team seeks to stop the Prince before he can get his hands on the army.""Hellboy 2"" is a minor entry in a big budget summer slot. It has its moments but it just doesn't have the overall gravitas of your usual big bang popcorn flick. There are a few things I liked, the biggest is that it's thankfully never boring. Like the first movie, this doesn't take itself too seriously. There are a few really funny tongue-in cheek moments, some of the best come from a scene in a troll market (""I'm not a baby, I'm a tumor"" is a great line by the way) and visually Del Toro proves himself a talent as well, showing us evil looking trolls, demonic looking angels, and a whole slew of mechanical soldiers.Just even with all this going for it, I can't think of one scene that excited or thrilled me, and I can think of a few, including a gigantic plant-like creature, that actually turned into gigantic let-downs. The villain is introduced as very quick and agile and he actually excited me at first but the movie gives him very little to do until the finale, and when that finally does come, it seems like he's being held back. And the other fights just seem like stuff you would find in any standard creature feature. A lot of clobbering but nothing especially cool. The plot on this one is a little by the numbers, sort of a CSI: Paranormal, and there are two romantic sub-plots involving Hellboy and Abe which, other than a funny scene where the two drink beer and sing Barry Manilow, don't really add much. But I'm an action guy and the lack of ""wow"" is no-doubt the films biggest flaw.The actors don't seem to be having as much fun this time around either. Ron Perlman does the bad-ass thing and quips well, Seth McFarlane (yes from Family Guy) gives a very comical German accent for Krauss, and Jeffrey Tambor offers a few comedic bits but the rest of the cast is pretty wooden, Selma Blair being the biggest perpetrator as she holds a glum and bored look on her face through the entire movie. It's too bad that they didn't have David Hyde Pierce back for this one because Doug Jones' voice really threw me off. And while I enjoyed most of the movie's overall cheesiness, the opening scene featuring boy-hood Hellboy just made me cringe and hope that he would go away soon.He thankfully does, but all for the purpose of presenting a mixed bag of impressive visuals, some funny moments, but overall no real excitement. In looking back at my review for the first movie, I noticed I said the same thing. ""Hellboy 2"" paves the way for a third installment and I'm sure I'd be interested in seeing it but by this point I'm wondering if I'll ever be truly impressed by these movies as a whole.",6.0,Anonymous,Fantasy
