title,content,rating,username,genres
I can identify with this movie,"My grandson advised me to watch this movie. I'm not much of a movie watcher but was greatly impressed with the movie. I was employed by a major company in the late 60's This movie occurred a little before that. I was actually a teen when John Glen took his trip into space. I and many other blacks had no knowledge of this crew of women and how they contributed to the NASA project. In the late 60's, there were race riots and lots of racial conflicts. I remember in my senior year, Westinghouse Electric was located in a black community but had no black employees. They came to the black high schools and wanted the top 3 stenographers from each school to apply to their company. This was based on efforts from the community to hire black employees. We were tested. We all had to have 3.8-4.0 QPA's and be able to type 80-100 words per minute and transcribe at 100 wpm. I was 1 of the lucky ones. I had an academic diploma with business classes as my minor. Ten women were hired. I was so excited. But the minute I walked out on the floor, all eyes were on me. There were no black/white bathrooms, but we were pushed to the back of the line and not allowed to use the mirrors until all the white girls had left the restrooms. It wasn't a rule, but we were shoved to the back. We were laughed at and talked about in front of our faces. But under no circumstances was I going to allow somebody else to take this job away from me. We took it! We were treated like we were from a 3rd world country. The white girls didn't even know how to change the typewriter ribbons. Their typing speeds only had to be 45-50 to get in. Shucks, I had to be the best! I was awed to have typed on the IBM Selectric typewriter. The same one in the movie! But we had to care for their machines as well as our own. In high school we only had manuals. Eventually I went to Univ of Pgh. to study accounting at night. I took all of the courses required to get out of the steno pool, but was consistently turned down 10 years trying to become an Accounting Clerk. While whites with less education and less seniority were chosen over and over again over me. I had to type for the controller, because of my super fast, error free statistical typing skills while his secretary filed her nails and poured coffee. Of course, I was never paid what she made. To make a long story short, we black women stayed. Some of us for 40 years. It took years before we were looked at like humans--before people would talk to us, eat at the same lunch table, sometimes they would make us wait last to get on the elevators to go home. But over the course of 10- 40 years, we earned that respect. We did become manager secretaries. We did earn engineering degrees at night and worked our way up. We did end up with white women becoming our best friends. We became their bridesmaids instead of their maids. We went to their parties, instead of cleaning up after the parties. This movie may make some people uncomfortable, and perhaps you don't believe it was like that for smart black women, actually any black person. But believe me, I am a living witness at age 67 to recall the bigotry and hatred I once experienced as a young woman 18 years old, only to retire from the company with much respect. Many of my friends that started when I started, are still in touch. We always laugh and say ""We were the first."" Because we knocked down those walls of prejudice and differences and created a path for people of all colors to follow. I loved the movie. I only wished that those women had been recognized a little sooner for their contributions to the NASA PROJECT. The portrayal of bigotry and indifference is real. It really did happen in the 60's. As a child I remember the black/white bathrooms--not being allowed in Howard Johnson's on the turnpike and going shopping in the department store via the back warehouse door. Katherine was older than me. Did she run almost a mile to the bathroom? Maybe, maybe not. But don't judge this movie based on that. Some real prejudices were worse than that. History cannot be changed, only learned about. I am proud to be a part of that growing history along with Katherine.",8.0,Anonymous,"Biography, History"
"Punches all my buttons: segregation, space, engineering, computers","I'm an engineer. I designed computers, I grew up in the south during the 1950s and 1960s. I was heavily involved in the space race at an early age and watched every launch and recovery on black-and-white TV. I never saw separate restrooms and drinking fountains for ""colored"" but they were there. I never rode on segregated public buses, but they were there and I knew it. This movie, ""Hidden Figures,"" brings all of these worlds back to me. No, it's not a painstakingly accurate picture. NASA didn't have flat-panel screens back then. Communications between the ground and the Mercury capsules were not static-free. But a lot of this movie feels real. Very real.The protagonists in this movie are three women of color working in one of the most unwelcoming environments they might hope to find: NASA Langley, Virginia, in 1961. As women, they were employed as human ""computers"" because they were less expensive and they got their numbers right. As ""colored"" folk, they got their own separate (and sparse) restrooms and their own, separate dining facilities. This was not America's shining hour, even in some place as lofty as NASA.At the same time, civil unrest was rising in the towns. This is the time of Martin Luther King's rise to prominence. It's a time just before the rise of militant civil rights groups. It's a time when resistance to segregation and discrimination was still civil, but as the movie shows, that resistance was beginning to firm up and become widespread.There are several reasons to see this movie: from a civil rights perspective; from a feminism perspective; from the perspective of the early space race when we lagged the Soviet Union, badly. If you lived during this time, see the movie to remember. If you were born later, see this movie to see what things were like.",9.0,Anonymous,"Biography, History"
"Major Feel-Good Movie, just gets better as it goes along","In the opinion of this reviewer, an extraordinary achievement.The characters on which the film is based were special and unique on their own, and well deserving of the sort of semi-documentary films that Hollywood likes to serve up.However, to take that story and bump it up to a major ""feel-good film"" that engages the viewer from the getgo and does not let up until the very end of its 2 hour and 5 minute running time, THAT is what elevates this project to greatness.I want to be clear on this because it is important. There are two ways to do a feel-good film. One is (ironically!) by the numbers, using proved plot arcs and other script devices to make it work. An example of this for example is the latest Disney release MOANA which has taken some heat from critics for being derivative and not original. But that, you see, is the tried and true method to achieve the effect that the producers wanted. And it works.The other way to make a film engaging and fun is to use your instincts and your actors to get the most from each scene. No rule book, no fixed way of doing a scene, just doing what works. This is, I believe the way that writer/director Theodore Melfi set out to do Hidden Figures, and boy did he pull it off! The acting is stellar. Costner has matured in his latest film roles and his work here is as far from the nonsense he used to do (like the dreaded Robin Hood) as the earth is from the sun.Taraji P. Henson finally lands a great role, the kind of role she was looking for when she left the hit series Person of Interest a tad early.And every good film or TV series needs a character who is ""the glue"" or a reference point that the viewer can use, like a compass needle, to see where we are in the main story. Here Octavia Spencer gives the performance of her life as that ""glue"" and helps the director to pace the film.Highly recommended.",9.0,Anonymous,"Biography, History"
Really Good Movie,"Hidden Figures is a really good movie. I never read Margot Lee Shetterly's book, but I might now. This is a wonderful movie about civil rights, space travel, and new technology. It pulls in many different characters and personalities. Theodore Melt did a wonderful job directing. The story focus on the technical aspects. However the movie is never slow, it keeps moving and keeps you interested. The casting was good. Octavia Spencer, Taraji Henson, Janelle Mona, and Kevin Costner did an incredible job. There was also wonderful performances by Jim Parsons and Kirsten Dunst. Hidden Figures is a fun and exciting movie about advancement in ideas and technology. Its is also a very uplifting movie about bravery and taking chances. It is really good. I enjoyed it.",8.0,Anonymous,"Biography, History"
"Don't let ""Hidden Figures"" be a hidden treasure!","Appreciation. It's a condition which requires information and understanding and results in increased compassion, acceptance and inclusiveness. There are few ways to enhance appreciation for others more effectively than a well-made movie and the 2016 historical drama ""Hidden Figures"" (PG, 2:07) takes full advantage of that opportunity. Without being too busy or too preachy, this film helps the audience better appreciate the struggles of being a minority – and a working woman (and even a mother working outside the home) – in the early 1960s, the pressure involved in competing with the Soviet Union in the early years of the space race, the difficult challenges surrounding getting man into space (and returning him safely to earth) for the first time and the courage it required of those who were willing to go. That's a lot for one movie – and might be too much for many – but ""Hidden Figures"" is up to the challenge.The film is an adaptation of Margot Lee Shetterly's book of the same name and follows three black women who worked in NASA's computer section in 1961. That's not to say that they worked on computers – THEY were the computers. Back when electronic computers (with only a fraction of the capacity and speed of today's mainframes) took up an entire room – and were just beginning to be installed in places like NASA – talented mathematicians did calculations for the space program by hand.Dorothy Vaughn (Oscar winner Octavia Spencer) is a mathematician who is also mechanically-inclined, develops a talent for programming IBM computers and is a natural leader, but is denied a well-deserved supervisory position by NASA culture – and her supervisor (Kirsten Dunst). Katherine Johnson (Taraji P. Henson) is a brilliant mathematician who struggles to balance the demands of her increasing responsibilities at NASA with caring for her three young daughters whose father has passed away. Mary Jackson (Janelle Monáe) is an outspoken aspiring engineer who is held back from becoming an actual engineer because of her lack of education, which she has difficulty overcoming because of segregation.All three women make progress in their attempts to reach their goals and fulfill their potential, but with much difficulty, based on their gender and their race. Dorothy has been managing the women of the computer section for some time, but has to fight for the title and the pay – and even takes it upon herself to learn more about NASA's newly-arrived IBM computer, while understanding that doing so could eventually cost her and her co-workers their jobs. Mary continues to make valuable contributions to NASA's efforts, while trying to work through the catch-22 of needing additional education to become an engineer, with the only nearby school offering such classes refusing to accept any black students.But most of the screen time belongs to Katherine's story. As the most talented mathematician of all of NASA's human computers, she is called up to work in NASA's Space Task Group where she works directly with the standoffish Paul Stafford (Jim Parsons) and is supervised by the group's director, Al Harrison (Kevin Costner). Even as Katherine continues to demonstrate her capabilities, she is still subjected to drinking coffee from a pot labeled ""Colored"" and having to walk 20 minutes (each way) to the building where the nearest restroom for black females is located. Eventually, she earns the respect of her peers – and comes to the attention of astronaut John Glenn (Glen Powell) himself, who comes to trust her calculations above all others. Katherine also attracts a different kind of attention from the commander of a local Army Reserve base, Lt. Col. Jim Johnson (Mahershala Ali), who is also single. Embodying the dual meaning of the movie's title, Katherine works out the hidden figures needed for Glenn's mission and Jim doesn't mind that her figure is hidden beneath those unflattering 1960s dresses, as he comes to care more about her heart – and the very sharp mind hidden behind her even less flattering eye glasses.""Hidden Figures"" is a marvelously entertaining film. The script adaptation by Allison Schroeder and Theodore Melfi tells its true story accurately and engagingly, weaving its many story lines together seamlessly, educating and entertaining their audience throughout. Melfi also directs and uses his talented and award-worthy cast to thrill us, to make us cheer and give us moments of humor and just plain fun. I was impressed at how much this movie packed in without seeming cluttered, how much it affected me emotionally without being manipulative, and how much appreciation I gained for these women, their struggles and the importance of the times in which they lived and accomplished so much. It's also surprising that so little has been widely known about these women – until now. Don't let ""Hidden Figures"" be a hidden treasure. See it soon! It's out of this world. ""A+""",10.0,Anonymous,"Biography, History"
"Evident Heroism, Hidden Doubts","This is one of those ""based on true events"" films that the moment you return from the theater you're going to hop on the internet and explore the story. That's a good sigh. Unfortunately, here the need to do some fact checking might not stem from all the right reasons.Hidden Figures is an upbeat, inspiring tale about the role three African-American women played in the NASA program during the early 60's. First Katherine Johnson (Henson), our lead, a gifted mathematician and human computer trying to carve out a roll in the Space Test Group. Second, Dorothy Vaughan (Spencer), leader of the ""colored computers."" She wants both the supervisor title she deserves and to survive the transition to IBM's mechanical computers. Finally Mary Jackson (Monae), who is trying to overcome discriminatory policies to become NASA's first female engineer. These women must meet challenges in the workplace then return home to more struggles African-Americans were fighting nationwide.Having the performances to anchor your character drama goes along way. Henson is solid, but Spencer is Oscar worthy and Monae's performance is part of a spectacular 2016. I will be on the lookout for more from this talent. Kudos to the supporting roles played by Ali and Costner. Beyond the highlight performances, the scenario is well worth a shot. We have seen heroes fighting against segregation. We have seen space race movies. The mix presents America at its finest and most appalling. A cute combo. The woman at the core are also very deserving of a chance in the sun. The problems creep in with presentation. The director/writer Melfi and co-writer Schroeder were clearly unsatisfied with the quiet, real nobility with which these woman conducted themselves. I cannot say if what the creators did is ethical, but the addition of obviously manufactured drama was a damning decision. This leads to some awkward trust issues. After watching some Hollywood like Johnson erupting at her boss's boss, it becomes more difficult to believe in the little things. Did Johnson really need to run a half a mile just to use the restroom? Or even the climax. On the day of the launch, did John Glenn trust Johnson's calculations over the IBM? It turns out only one of these inclusions are factual. Not the one you think, and perhaps the true story demonstrates more bravery.I'm not going to share any more of my digging here. Others asked the same questions and the answers are readily available. The point is after I watched Hidden Figures I wanted to learn if I had been lied too. Sad, because doubts are not what stories this wonderful deserve. Beyond this major stumble, Hidden Figures is well worth anyone's time. Educational, but entertaining. Positive without preachy. Family friendly in a genuine way. At the theater, I sat next to a nineish year old who kept asking her mother questions. The daughter was interested and wanted to follow every detail. The mother gave brisk answers not wanting to miss a moment. That's a true event, I swear, and the best praise for Hidden Figures I can muster.",6.0,Anonymous,"Biography, History"
Powerful and Inspiring,"Hidden Figures is a real gem of a film.First and foremost this is down to some incredible performances. Taraji P Henson, Octavia Spencer and Janelle Monae were an absolute joy to watch. From the very first scene with all three of them on screen together, you just knew the film was going to be something special. All three of them were fantastic and I couldn't take my eyes off of them. The supporting cast were also great, but it really was all about these three talented actresses smashing it.The story is something very special too. It was one I knew nothing about, but am so glad I now know more about it thanks to this film. Hidden Figures tracks the careers of three women working at NASA at the height of the space race. The film is so inspiring as we witness their perseverance, their incredible spirit and talent, and their pioneering impact on humanity's exploration of space. This alone would have been impressive, but these women were able to achieve what they did in the face of gut wrenching sexism and racism. Hidden Figures does such a good job of shining a light on the racism and despicable attitudes that these women had to face, and as a result is a pretty tough watch at times.What also makes this film very special is the expertly crafted script. If, like me, you have no idea about science and maths, don't let that put you off. The script does a great way of simplifying things, so that you can appreciate the gravity and importance of what these women were doing, without getting bogged down in heavy exposition.I really could not recommend this film enough. Everything about it fits together so perfectly, from the direction to the acting to the score, its just such a good well rounded film.Watch Hidden Figures ASAP! You will not be disappointed.",8.0,Anonymous,"Biography, History"
Black women in the space program film that gilds the lily,"We baby boomers remember the intensity of the space program very well, and it's brought home in ""Hidden Figures,"" a 2016 film starring Taraji P. Henson, Octavia Spancer, Janelle Monae, Kevin Costner, Kirsten Dunst, and Jim Parsons.The acting in this inspiring story is excellent, natural, and low key.Based on a non-fiction book by Margot Lee Shetterly, the film is about three black women who entered the space program as mathematicians. At NASA they had a dual fight - not only were they black, but they were women in a man's world.The film shows the segregation and prejudice they encountered. It also shows a world just before computers came in, with space trajectories figured out in pencil. Totally amazing. The story culminates with - what else - John Glenn's historic orbiting of the earth.Fortunately for these brilliant, ambitious, and determined women, the prejudice shown in the film was actually overdone to make the story of their accomplishments stronger. Their accomplishments were pretty darned impressive anyway.In the film, Katherine (Henson) has to walk 40 minutes to the ""colored"" bathroom until her supervisor, Harrison (Costner) finds out about it.In truth, though this is something Mary (Monae) did encounter, Katherine didn't know about a segregated bathroom and used the regular one for years. Katharine, in fact, when interviewed, said that while prejudice existed underneath, in truth, everybody was concentrated on their work.Costner's character is a mixture of different people, as is often done in films. He didn't really allow Katherine into an important meeting - she started pushing to attend them, and did, beginning in 1958.When Mary goes to court so she can attend a white school at night, this didn't happen, though the school was segregated. She requested and received an exemption. You can see that would have looked pretty unexciting on film.I don't think embellishing incidents and creating new ones that don't hurt the true story is a bad thing - the screenwriters wanted to make a point and more importantly, since it is film, do something visually. I think they could have done it without every character so totally against these women.I'm white, and having worked in many offices, I can promise you there's a Jim Parsons character in every one no matter a woman's color. Back then men resented women in positions of authority. Probably many of them still do.The purpose of true stories told in film, I feel, is to get you interested in the topic and read about it. Anyone looking for complete accuracy is going to be sadly disappointed, as I think some of the reviewers on this board were.But in the end, we still had three amazing women working in the space program - and John Glenn did in fact ask Katherine to verify the IBM calculations before his launch. Pretty darned impressive.",7.0,Anonymous,"Biography, History"
"A powerful, inspirational movie.","The Americans are desperate to beat The Russians to get the first man into space, NASA plans to send John Glenn up, this film charts the role three African American women played in launching the rocket.I watched it when it first landed, and I enjoyed it just as much on a second viewing. It's uplifting, moving, and a hugely important story.I have always been fascinated by space travel, and by the key role that NASA played, but even the great organisation itself had its flaws.It highlights the significant level of racism that people ensured at the time, the segregation, the white and black amenities and facilities, it's sickening to watch now, but this is how people lived.The acting is terrific, every single performance is on point, every character matters, and has an important part to play. Octavia Spencer however, I think she steals the show, a performance that is genuinely captivating.It's a fascinating story, and a beautifully well made film, one that inspires and uplifts.8/10.",8.0,Anonymous,"Biography, History"
Well-meaning film undermined by inaccuracies,"The stories of the roles women played in the U.S. space program make for good counter-points to works such as 'The Right Stuff', which focused on the astronauts and the mission controllers (overwhelmingly male). 'Hidden Figures' presents the stories of three 'coloured' women (to employ a contemporaneous term used throughout the film) who worked for NASA at the dawn of the 'space-age'. Each of the three represented significant firsts for African American women in the space program: Mary Jackson became as an NASA engineer, Katherine Goble/Johnson as a high-level mathematician co-authoring research reports and Dorothy Vaughan as a supervisor (and later computer programmer). The women achieved these milestones through persistence, competence and drive and their stories deserve to be told and celebrated. Unfortunately, the movie chooses to make up facts and alter the time-line, presumably to make the story more dramatic. The whole '1/2 mile trip to the coloured toilet' is fiction, NASA had desegregated before the story takes place, and after the second or third trip, the scenes began to strike me as demeaning. The segment where Dorothy Vaughan, having read an introduction to Fortran, walks into the room containing the non-functioning IBM mainframe and immediately spots the problem (not plugged in?) is ridiculous. No one expects movies to be history lectures and telling complex stories in a couple of hours requires a lot of streamlining and consolidation (e.g. Kevin Costner's character is a composite of a number of senior NASA team-members), but making up significant events simply because they look good on screen undercuts the credibility of the story and is unpardonable in a movie that wants to be taken seriously (Harrison didn't exist, and if a metaphorical crowbar was taken to the ""colored"" bathroom sign, it was welded by Goble/Johnson). All of this is unfortunate, as the movie is (IMO) generally entertaining and presents a story worth telling. I was quite enjoying it until the IBM scene, which seemed so unlikely that I googled up the 'accuracy' of the film, and hit endless critical 'fact checking' sites (many neutral but some with an agenda). Like the dire ""Red Tails"" (2012), the filmmakers should have had more faith in their material (and their audience).",7.0,Anonymous,"Biography, History"
