title,content,rating,username,genres
"I didn't think anyone could write a decent comedy these days , I WAS WRONG","For the first time in nearly 3 years i can finally say something that's modern and in this century has made me laugh i cant get over how amazingly blunt the jokes are in the show , and that's what i think the writers went for in this film BLUNTNESS , every joke in the film hits you like a ton of bricks there isn't one scene that didn't have me in fits of laughter it was just fantastic. Jason Bateman again showing the world he can act and telling his critics to go swivel on his middle finger by how great he was in horrible bosses.I personally rated every single actor in this film as Grade A , the acting was just superb! If you want a good laugh and a good night out go and see horrible bosses , best 8 pounds 50 I've ever spent! Oh on a side note , something totally off topic! As the film ended in the cinema i got up and went down the stairs leading out of the cinema , i looked back for my mate who was taking his time , and everyone was still sat down watching the blooper reel , when it ended everyone saw me alone at the bottom of the stairs noticed my T-SHIRT and i quote my T-SHIRT SAYS! FAT PEOPLE ARE HARD TO KIDNAP.Entire cinema laughed! :) Great day Great Film , Great Audience.",8.0,Anonymous,"Comedy, Crime"
Stop the Presses! A Funny Comedy for Adults,"Those who think Hollywood is no longer capable of creating a funny comedy for adults need not worry, as ""Horrible Bosses"" is proof that that increasingly rare phenomenon can still happen.""Horrible Bosses"" is one of those comedies like the classic ""Ruthless People,"" in which an outrageous and dark premise works because of good writing and an ensemble that knows exactly how to handle the material for maximum comedic value. Jason Bateman, Jason Sudeikis and Charlie Day play the requisite straight man, alpha male and dumbass, respectively, that male buddy comedies need, while Kevin Spacey, Jennifer Aniston and Colin Farrell (sadly underused) play the titular bosses. All of them have a field day with their roles, and Aniston especially stands out because of the film's decision to cast her against type as a slutty, foul-mouthed sex kitten; you can almost hear Aniston sighing with relief as she gets to play something other than the cute-as-a-button girl next door.As with most comedies, whether or not you think ""Horrible Bosses"" is funny will probably depend simply on whether or not you think the actors are funny. Charlie Day, for example, will likely drive some people crazy -- I thought he was hilarious.Grade: A",8.0,Anonymous,"Comedy, Crime"
Great twisted comedy,"Horrible Bosses is a great comedy that doesn't waste it's really good central premise thanks to a really strong central trio and a truly twisted sense of humour that hits way more than it misses.Jason Bateman, Jason Sudeikis and Charlie Day are all fantastic with impressive chemistry, able to bounce off each other consistently. Colin Farrell and Jennifer Aniston are both perfect at being truly horrible bosses.Seth Gordon's direction is good, competently shot with a nice pace which keeps the jokes and energy going across its relatively short run time. The soundtrack is a lot of fun, interspersed well and fitting the twisted tone really well.",8.0,Anonymous,"Comedy, Crime"
Hilarious all the way,"Just got back from a press screening. Horrible Bosses is an easy to relate to comedy that keeps you engaged and amused all the way. Some great scenes involving crude/sexual/racial humor that catch you off guard and have you rolling. The plot is a little forced, as was the ending, which is partially forgivable in the case of a comedy, as long as it makes you laugh. Seeing Kevin Spacey play asshole boss brought back fond memories (Swimming With Sharks), he pulls it off very well. Jennifer Aniston very outside her standard girly role, and it was awesome. Charlie Day was amazing, and resembles his character in always Sunny in Philly (personal fav). Overall, not quite for the collection, but definitely worthwhile a trip to the movie theater!",7.0,Anonymous,"Comedy, Crime"
Great fun,"Far better than I expected. On the surface it looked like a typical juvenile comedy. Also, it stars Jennifer Aniston, so you know it's going to be fairly shallow. However, it turns out to be hilariously funny, with some great comedic performances. Plot is decent, direction is fluid, though there are scenes which seem overly slapsticky or contrived.Performances are mostly spot-on. Jason Bateman and Jason Sedeikis don't put a foot wrong and Charlie Day is bearable. Supporting cast are excellent, but looking at the names it is hardly a surprise: Kevin Spacey, Colin Farrell, Jamie Foxx, plus Donald Sutherland and Bob Newhart in minor roles. Jennifer Aniston is very funny in her role, as well as steaming up the screen.Great fun.",7.0,Anonymous,"Comedy, Crime"
Humorous Crimes,"Horrible Bosses is too crazy for a dark comedy. We all know killing your boss is a cruel idea but in this film they're making it a joke. Despite from its cruelness, Horrible Bosses isn't horrible at all. It's undeniably hilarious. Too much fun by the performance of the cast. Horrible Bosses doesn't have a lot of gumption to its dark premise but it's all about the comedy. This is just a little comedy that you will enjoy all the time.The beginning of the film shows how horrible their bosses are. It's pretty reasonable why they wanted to kill them. But what's fascinating here is how the main three had a perfect chemistry to their horrible bosses. Especially when it comes to Charlie Day and Jennifer Aniston. Charlie Day made his role too innocent to get sexualized by Jennifer Aniston. He's like a child being harassed by a pedophile. Jason Bateman plays a hardworking man and Kevin Spacey is teasing him like a bully. Kevin Spacey is perfect for this role. Jason Sudeikis and Colin Farrel does their thing.The entire film is all about the laughs and the fun. Nothing else to say about the filmmaking. The movie is just funny. It doesn't have a knack to get serious in some parts. Its darkness is always hilarious. By the way this is a comedy. It's supposed to fun all the time. Yes, like even murder is funny.Horrible Bosses is not the kind of film that tries to be the best. It's just a little fun comedy. It's a movie that you'll still enjoy even if you've seen it many times. It's funny enough. It's clever enough. Most of the fun goes to the performances. At least Horrible Bosses is one of those better comedies that we are getting recently. It's just fun.",7.0,Anonymous,"Comedy, Crime"
So surprised by this movie,"I do not usually watch movies with SNL actors because the scripts seem mass produced (could list so many examples) with about as much skill as meat grinding, but I slummed it about a month ago. This is far more the caliber of Bridesmaids than Mr. Deeds. All the actors work brilliantly together and it was so witty and fresh that I did not want it to end. Even though Jason Bateman plays the same character in most of his comedies his timing is great and he is always funny. I laughed hard and loudly so I am glad I didn't see it at the theater. Yes, there are some corny and preposterous bits of luck as with all of these kinds of movies that I used to avoid but this one is worth it. Jamie Foxx has several scene stealing moments. This is a great movie for any weekend but if you are desperate for some pandemic levity and stress relief, make sure to put this on you list-even if you are a movie snob!",9.0,Anonymous,"Comedy, Crime"
Must See!,"2 words can describe Horrible Bosses and those two words are Must See! Horrible Bosses is definitively a change from those predictable comedy movies and you will get your money's worth if you go and see it.The cast is this film is just so extraordinary it's to hard to pick one favorite. I loved Charlie Day's character in this film as he is always fun to watch. Jennifer Aniston's character was so sexy to watch that any young man would show some interest. As it was said before it was good to see her do something new and she nailed every sexy/dirty line. Another character I loved partially because he usually never does comedies was Colin Farrells as the coke head boss. He really went out did himself for it and it shows.The script in this movie was so well done and had some really raunchy and crude things in there but it was acted and portrayed so well it made it even the more better. The dirty and sexual dialog was hilarious, it was hard not to laugh and it showed they weren't afraid to hold anything back.This movie is a great summer flick and I highly recommend this comedy. The cast and their characters will really get you going and they might shock you a little but it will be all worth it in the end.",10.0,Anonymous,"Comedy, Crime"
"As Homer Simpson once said, ""Kill my boss? Do I dare live out the American dream?""","3 nice guys have horrible bosses - lets call them sleazebag, slutty and heartless bastard. Pushed to the edge, they decide to rid the world of their evil masters for the good of mankind.Which is a great premise. But its actually a pretty hard needle for the film to thread. Firstly, the three nice guy leads aren't very engaging. They're too nice and not well fleshed out at all. It seemed totally out of character for them to want to commit murder. Sure, sleazebag and heartless bastard are assholes, but they're actually funnier (especially Colin Farrell) and more entertaining than the nice guys. And, there's no way I want Jennifer Anitson's deliciously kinky slutbag dentist knocked off. As two of the nice guys say to the third - 'your situation will never get any sympathy out of us.' She's actually the best thing in the movie.Its funny in parts, and becomes more interesting later on, as the plot starts to twist and turn. But the constant hysterical dude chatter is kind of tiring. Like 'The Other Guys' although that film was better.",,Anonymous,"Comedy, Crime"
Not as funny as expected..watchable but not memorable,"I went to the cinema with my wife having quite high expectations primarily a result of frequent radio advertisements and probably artificially unbiased opinions of radio show presenters that ""This is a very funny movie"".Unfortunately the reality was different, but fortunately not ""Sucker Punch"" different.The story evolves around three friends that they face three different versions of ""Horrible"" bosses, to the degree that justifies plotting to murder them and turn three seemingly innocent good guys to criminals.The idea surely can deliver a lot of humor, but unfortunately falls sort.The comedy is just too over the top to become hilarious. The closest situation to reality was the one between spacey and bateman. Jennifer Anniston's persona was so unrealistic that it failed to become funny, and collin farrel was heavily under played resulting to somewhat fall on the side.There were a few laughs don mistake me but in general i laughed less than the times that i thought ""Why do they have to be so crude and vulgar..is that what funny has become now days?"" Cant say i hated the experience..i just got a bit disappointed due to false expectations.",6.0,Anonymous,"Comedy, Crime"
Avoid this pointless and unfunny movie,"I actually created an account just to state how terrible this movie is.The characters are bland, and there is no reason for me to care about there lives at all. The plot rushes in to the murder theme without building up any hatred towards the bosses.The main characters are whiny uninteresting losers with very little at stake.The bosses characters are equally flat. NO real tension is ever built up.I gave up watching the movie after 45 minutes after not a single laughThe plot is thin whit less.Save your time and money and avoid this movie.",1.0,Anonymous,"Comedy, Crime"
Falls Flat.  Real Flat.,"I had high hopes for Horrible Bosses. It started out well. The first 15 minutes made it seem like it would be really good. The premise was alright and the first few minutes set up the rest of the movie well. Unfortunately, the joke writing was bad. There were a few funny lines, but they were interwoven into a tapestry of mediocrity. I'm pretty biased though because I don't like Charlie Day's shtick. He plays the exact same character as he does in Always Sunny, a really stupid guy who talks a mile a minute and if you listen carefully there's a few jokes in there. I don't enjoy that. I don't really like Jason Sudekis either. I find him bland and he plays an extremely dull character in this as well. You could take him out and the movie would still be mostly the same. Jason Bateman's character seems to be aware he's in a bad comedy. He doesn't really seem to like Sudekis or Day and treats all the wacky situations with a sort of slightly angry distaste.I watched Bridesmaids a few nights ago and enjoyed it way more than Horrible Bosses. That movie also had story line problems, but it had a lot of funny parts. That's all I want a comedy to do, make me laugh. Horrible Bosses didn't really do that for me, as the vast majority of its never-ending dialogue falls enormously flat.",,Anonymous,"Comedy, Crime"
Horrible Bosses,"Horrible Bosses is a black comedy that is wild and crazy, yet not too far fetched, but most of all its darkly hillarious . Sure, the jokes dont always land and can be subject to a lot of unoriginal material, and a few times the film breifly slips into some generic tropes, plus the fibut overall, the film's insane yet somehow believable plot, takes full control, as the viewer is hit with such memorable characters and dialogue sequences, that make you wanna watch this film over and over again. Jason Bateman, Jason Sudeikis, Colin Farrell, Kevin Spacey, Jennifer Aniston, and Jaime Foxx all give their special talents to the film, as Horrible Bosses, delivers a dark and hilarious viewing. Although, Charlie Day is annoying.",7.0,Anonymous,"Comedy, Crime"
"A fun and creative comedy, but a lot of wasted potential!","Horrible Bosses hits the road running and starts right off with an interesting (and perhaps relatable) scenario. Three average Joe's decide they've had enough of their psychotic, incompetent, and nymphomaniacal bosses and seek out a hit-man to relieve them of their headaches. However, things go awry and the plan instead transforms into a Hitchcockian scheme to murder one another's bosses.As a comedy, Horrible Bosses really shines. The plot alone is a breath of fresh air, and when the jokes start rolling they don't let up. The film turned out to be a seamless flow of clever and engaging hilarity.The major disappointment was on the part of the boss characters. For goodness sakes, if you manage to nab Kevin Spacey, Colin Farrell, and Jennifer Aniston as your antagonists, you should award them with plenty of juicy, villainous screen time. Unfortunately that doesn't really happen, and it's a shameful waste of potential. For a comedy like this, the bosses were sufficiently shocking, but their characters were not as fleshed out as I would have liked to see. Still, don't let that discourage your interest in Horrible Bosses – it is guaranteed to entertain!7/10",7.0,Anonymous,"Comedy, Crime"
Horrible Bosses,"Short and Simple Review by WubsTheFadgerThe acting throughout the entire film is good. Jason Bateman, Charlie Day, Jennifer Aniston, Kevin Spacey, Jason Sudeikis, and Collin Farrell all do a great job at portraying their respective characters. Jennifer Aniston's character is probably the best only because Jennifer is so freaking hot.The story is fast paced and is very funny with well timed jokes and some over the top humor.The runtime is a little bit lengthy and the ending is kinda cliché.Pros: Great acting, fast pace, well timed humor, and Jennifer Aniston's hot bodyCons : Overlong runtime and a cliché endingOverall Rating: 7.3P.S. This movie left a good enough impression so I will probably watch the second one.",7.0,Anonymous,"Comedy, Crime"
First Rate Comedy,"Lots of twists and turns in this surprising comedy. At first you'll think you know what's going to happen -- but wait, and watch the movie to the very end, including the credits. Several in this extraordinary cast (perhaps especially Jennifer Aniston) step outside their ""comfort zone"" and display aspects of their personalities and acting skills that may surprise you. I find it difficult to impossible to say which actor is ""best"" only because so many of them are extremely good.The ""R"" rating for this movie is for real, and is about the language in particular (when you have a character whose very name can't be mentioned in the trailers and reviews you know you're in that territory). Many qualities of this movie (including the screenplay, the directing and editing, and the superb original score) had to come together for it to be as good as it is -- and they do.",10.0,Anonymous,"Comedy, Crime"
Bateman holds the movie,"Pretty descent comedy, I have grown to be annoyed by Charlie days voice. Which is sad because I think he would be funny otherwise. Some good comedy a little silly but that's the idea of these movies to take them lightly",7.0,Anonymous,"Comedy, Crime"
