title,content,rating,username,genres
"A film biography that's complex, like its subject","Haynes' adventurous biopic of Bob Dylan, which uses six actors of both sexes and several races ranging in ages from 11 to 50, is both exhausting and fun to watch. It's also hard to describe. But let's start with those six and the characters or facets they portray. Arthur (Ben Whishaw) is the Dylan who incarnated Rimbaud and serves as a kind of narrator whom we see smoking and giving ironic answers to some kind of inquisition sporadically throughout the film. Woody (the wonderful young Marcus Carl Franklin, an amazing a singer and actor) is a precocious rail-hopper with a guitar (labeled like the real Woody's, THIS MACHINE KILLS FASCISTS) and tall tales that start with his claim that he's Woody Guthrie. Woody's scenes show him rescued by a black family and a white family and performing with country black musicals. He represents the early shape-shifting Dylan in search of an identity and telling a lot of lies along the way.Jack (Christian Bale) is the Dylan who became a hit in Greenwich Village and went into the South and sang ""The Ballad of Hattie Carroll"" and other protest ""folk songs,""-the high-profile ""political"" Dylan who spearheaded a movement and became famous with his brilliant early LP's. But Jack doesn't want to be typecast and ""betrays"" his adoring public and his lover and folksinging champion Alice (Julianne Moore), a Joan Baez stand-in seen in later ""interviews."" Jack disappears and his place is taken by Robbie (Heath Ledger), a young actor in New York who becomes famous for starring in a 1965 film depicting the vanished Jack. Robbie meets Claire (Charlotte Gainsbourg) in a Village coffee shop and falls in love, and a turbulent ten-year marriage follows, winding up painfully at the time of the Vietnam War's end.If Jack represents the cast-off early style and Robbie represents Dylan's family life, Jude (Cate Blanchett) is Dylan the artist, quintessentially as seen in the mid-to-late Sixties when he toured England (an event notably chronicled by two Leacock-Pennebaker documentaries)-and shocked his audiences, some of whose members felt betrayed and shouted ""Judas!"", when he shifted from solo guitar and harmonica to more personal songs with loud rock accompaniment. Jude's segments are partly borrowed from Pennebaker, but largely consist of gorgeous black and white scenes deliberately and ""churlishly"" (Haynes' word) imitative of Fellini's 8 ½.Jude's new style is admired by Allen Ginsberg (David Cross) and underground groupie Coco Rivington (Michelle Williams) and he becomes internationally famous. But he continues to be misunderstood by the protest music old guard and conventional journalists like the British TV host Mr. Jones (Bruce Greenwood)-who's incorporated into a music video for Highway 61 Revisited's ""Ballad of a Thin Man"": "". . .something is happening here /And you don't know what it is, do you, Mister Jones."" . .Jude and Arthur articulate the early Dylan's challenging, ironic stance to the public, but Jude is exhausted on tour and his nihilism leads him to an existential crisis.He's reborn symbolically in Pastor John (Christian Bale again), who's moved to Stockton twenty years later and become a born-again preacher, singing his own gospel songs. Finally the last version of Dylan appears in Billy (Richard Gere), in full retreat from the world till threats to destroy his town of Riddle cause him to enter public life again. This sequence evokes a Sixties historical western in which Pat Garrett (Bruce Greenwood) is a character.This is only the barest outline of the two-and-a-quarter-hour film, in which various ""Dylan's"" are woven in and out. Maybe the reason why I found Woody's sequences delightful and Billy's colorful but wearying has to do with the latter's coming two hours later. But Gere and his sequences evoke Dylan less well and are puzzling to interpret. Blanchett's in contrast are, of course, the most conventionally straightforward. She's the only one who successfully mimics the physical appearance and the speaking voice of the artist (unless Whishaw does a better job with the voice). But Blanchett's mimicry is intentionally undercut (and the biopic conventionality of films like Ray avoided) by having Jude be played by a woman-which was planned by Haynes in his screenplay before he even chose his actor.The method Haynes has chosen avoids cliché. This is still a biopic, but it's a sophisticated one; and the fractured portrait is well justified by the nature of its subject. Dylan has always been a shape-shifter; some of his permutations were left out, such as the period of the orthodox Jew and JDL supporter. But it's intelligent to see Dylan the man, the husband, the artist, the political being, and the religious being as completely separate entities because no simple biopic sequence can really dramatize the complexity of such an artist and such a protean existence. Haynes' film makes you think about biography itself, as well as giving imaginative shape to aspects of Bob Dylan no non-fiction account can really provide.Maybe it's the daringly experimental methodology that led Dylan himself, approached through his eldest son Jesse, to grant Haynes both the musical rights and the biographical rights. Haynes has chosen a multifaceted and original way of using Dylan's songs. Only Franklin actually performs them with his own voice. Otherwise the soundtrack mixes original Dylan recordings with existing covers, new ones by people as widely various as Ritche Havens, Iggy Pop, John Doe and Sonic Youth, and other music, including, appropriately for the 8 ½- esque sequences, Nino Rota. There is a voice-over narration by Kris Kristofferson. Haynes worked on the screenplay for years, and then collaborated with Oren Moverman.Not for mainstream audiences or be prime Oscar bait, but a challenging, fun watch.Shown in the press screenings of the New York Film Festival at Lincoln Center 2007. Haynes was present for a Q&A afterward with J. Hoberman of the Village Voice, which revealed that the director is an intelligent and articulate man who knows his Dylan.",8.0,Anonymous,Music
Not For Everyone!,"If you are thinking about seeing this movie I would suggest that you research Dylan first; otherwise you will be lost from the get-go, like I was.You need to know that the characters all represent different aspects of Dylan, and that even though they are ""Dylan"" they have different names. Some of the Dylan aspects are personified as a young black boy using the name Woody Guthrie, a woman, and a middle-aged Billy the Kidd, for example. And the film jumps from character to character and then back again, frequently.Chances are, if you are not an art film aficionado, you won't care for this one. On the other hand, if you do your Dylan homework, you may very well enjoy it even though it isn't typical mainstream movie fare.",6.0,Anonymous,Music
A tribute to Dylan,"This movie can be difficult to follow if you are not familiar with Bob Dylan, but it is in fact a carefully and lovingly crafted tribute, that aims to reflect the essence of the artist's work and life. It is a fun take on its subject, though in order to be fully appreciated, one has to know what is being explored. Otherwise, it may seem a tedious watch, but perhaps that is appropriate as in order to fully appreciate Bob Dylan, one has to pay attention, and then it becomes quite rewarding. The shape-shifting nature of Bob Dylan has been portrayed, quite fittingly, by several actors of various backgrounds, ages, sexes and races - in that respect, it is as original and unexpected as its subject. All in all, an interesting, artistic and original but perhaps somewhat inaccessible - to an uninitiated viewer - tribute to one of the greatest artistic geniuses Americana has ever reared.",8.0,Anonymous,Music
(I Don't Want to) Chain You Down,"Unless you know something about the subject of this biography, you're bound to be confused by ""I'm Not There"". It is ""inspired by the music & many lives of Bob Dylan."" For the unenlightened, Mr. Dylan was famous, long ago (""for playing electric violins on desolation row""). The film, by writer/director Todd Haynes is excellent, but inaccessible. And, strangely, if you know anything about the subject, you're going to learn approximately nothing knew. To help navigate, there were four main DylansFIRST and famed-mostly, Dylan was a ""Rock Star"". This period is played out by Cate Blanchett as ""Jude Quinn"". This character sports a fictitious name, but like much of the movie, comes (not from McCartney's ""Jude"" but) obviously from Dylan's oeuvre - the Christian ""Jude"" and ""Quinn the Eskimo"". This Dylan has the clearest Beginning and End points of any. He was ""born"" when startling his folk audience by ""going electric"" (guitar) and ""dies"" in a motorcycle accident at the peak of his fame.SECOND most famous, and highly influential, Dylan was the ""Folk Singer"" replaced by the above. Here, it's Christian Bale as ""Jack Rollins"". This Dylan was quite popular on his own, but was much ""covered"" by other folk artists and rock bands. During this time, Dylan was more like a very big cult, and his songs were more widely heard when other people made hit records from them. The songs were more Political (protest) during this time, getting vague later (with exceptions, like ""Hurricane"").THIRD time around for Dylan was his ""Cowboy"" persona, essayed herein by Richard Gere and named ""Billy the Kid"" after the outlaw anti-hero Dylan play-acted. This was the Dylan emerging after the motorcycle accident. Dylan left a bunch of unreleased tracks (known as ""The Basement Tapes"") and ""reinvented"" himself as a more countrified mellow rocker (listen to ""Lay Lady Lay""). Here, the ""stages"" of Dylan's art become more blurred as he no longer commanded the attention he did earlier.FOURTH biggest change, after a long run without defining boundaries, was the ""Born Again"" or ""Christian"" Dylan. This startled some people, but (as the film points out) it shouldn't have been unexpected. In fact, the ""Fame""/""Drugs""/""Jesus"" continuum is very common among music stars, as anyone watching MTV's 1990s biographies could plainly see. For this film, Mr. Bale (uniquely) plays two Dylan incarnations, revising his earlier ""Folk Singer"" character ""Jack Rollins"" to become ""Pastor John"".BUT, that's not all. There are three less public parts of the quadraphonic Dylan covered by Mr. HaynesFIRST is Dylan's mysterious boyhood masquerade as ""Woody Guthrie"" played by Marcus Carl Franklin. He is the kid on the train, sporting the Fascist-Killing-Guitar-in-the-West. Of course, Woody Guthrie was a real person, and he had a tremendous influence on Dylan. While cute and well done, this section is not revelatory, which could be why the film project had ""the real"" Bob Dylan's blessing. The real Dylan, who appears briefly near the end, did not appreciate biographers peeking into his personal history.SECOND is Dylan ""The Poet"" named ""Arthur Rimbaud"" and played by Ben Whishaw. Like the above, but more of a conglomerate, the character is a real French poet named Arthur Rimbaud who influenced Dylan (and many other rock stars). The Dylans are presented in sort of an overlapping chronological order - which may not make sense to the uninitiated - but this one is used more like a muse for the others, accentuating Dylan's reputation as a true ""Tarantula"" of a Poet, even without the music.THIRD and perhaps most esoteric is Dylan ""The Actor"" played by Heath Ledger as ""Robbie Clark"". Dylan did do some movies. Mortals do not forgive. Even an epic focusing in his relationship with a certain sad-eyed of the lowlands. Rather than show Dylan acting in a movie, this ""Actor"" section perversely shows the more camera-shy Dylan. It seems highly fictitious, but you've got to appreciate ""Dylan"" telling what looks like ""Patti Smith"", ""chicks can never be poets."" (!) And, ""I Want You"" is a terrific vignette.In sum, ""I'm Not There"" is an excellent film for obvious believers, with minus zero insight into its subject. Bobby Zimmerman could hardly disapprove. By the way, the fact that the vinyl ""Stuck Inside of Mobile with the"" was amusingly continued in the ""Blonde on Blonde"" gate-fold jacket as ""Memphis Blues Again"" is no excuse to edit the song. And, changing the lyric, ""Here is your 'throat' back, thanks for the loan..."" to ""Here is your 'mouth' back, thanks for the loan..."" really sucks. Moreover, it's sacrilege.******* I'm Not There (9/3/07) Todd Haynes ~ Christian Bale, Cate Blanchett, Heath Ledger, Richard Gere",7.0,Anonymous,Music
Multi-faceted Dylan,"'I'm Not There' Todd Haynes, 2007The biopicture can be a difficult kind of picture to picture. Even more so when you have no intention of divulging the name of your subject. And dare I say it, yet further still when you insist on casting at least six people to play the lead role. This is the charm behind 'I'm Not There' - Todd Haynes' tribute to the life and times of Bob Dylan that recently lit up the Festival di Venezia. Biographic cinema is a frightening beast, some films are stuffed full of information while others attempt to exactly mimic their respective studies. There are however very few that play with their quarry, flitting from fact to fiction so quickly that in the end we know not what to believe. In reality, the life of Robert Dylan was exactly this mess of lies, grandeur, childishness, arrogance and genius. One of almost unbelievable occurrences that when whispered about long enough become carefully set in stone. Todd Haynes understands this fact and so goes after it with a stance of almost awed respect, yet as an onlooker - crafting a mockumentary that is so rich in character and love and attention to detail that we can't help but be drawn in. I've heard early reviews stating that 'I'm Not There' will make the Dylanites gush and the normal folk sleep. The fact is this couldn't be further from the truth - being a person that is indifferent to the music appears only to heighten the enjoyment.Somewhere during the last five years, writer/director Haynes came upon the slightly trampled idea of conducting a Bob Dylan biography movie. Nothing original in itself, though with one idea to make it slightly different from what the likes of Scorsese had attempted a few years back. He would use multiple actors for 'I'm Not There', six in fact - to portray the iconic figure. And what an inspired decision it is. The unrecognisable and slender form of Cate Blanchett steals the show, melting into her eye-rubbing, nose-twitching, lip-conscious take that is only too quick to lash those in proximity with a witful tongue. Almost as idiosyncratic is Ben Whishaw's sarcasm-laced drawling poet Dylan. Who prompts guffaws when tiresomely declaring his name as ""R-I-M-B-A-U-D"" to an arresting police officer. The eccentric duo are displayed primarily in overexposed black and white, and complementing this in Technicolor are the equally impressive Christian Bale and Heath Ledger. Whom fall upon the unwashed, shaded rocker Dylan with equally strong performances. To complete the musical sextuplets are Richard Gere and the delightful Marcus Carl Franklin, these two are the tall-tale Dylans. A jaded western cowboy and a blues-singing black child respectively, both adding another more fictional dimension to the character. They are almost opposite ends of the Dylan-spectrum, and are introduced at the opening and closing of the film to further embolden this point. Franklin in particular impresses, tugging at the humor strings again with his dry recollections of a life on the musical road.The host of supporting actors/actresses in 'I'm Not There' do well to further the films themes. With Charlotte Gainsbourg and Julianne Moore taking up the posts of drama and documentary accordingly. Each plays one of the two most important women in Dylan's life, with Gainsbourg (Sara Lownds) cooking up a memorable on-screen chemistry - or lack thereof - with Ledger's character. She is instantly attractive across a smoky diner, yet this attraction soon wanes as romance stagnates. Never-ending tours take their toll and the once exciteful, scooter-riding relationship crumbles. Moore's character (Joan Baez) is more reflective, playing her whole part as if interviewed enthusiastically many years on. My only problem is with the later segments of 'I'm Not There'. Particularly those featuring the bearded and bespectacled Richard Gere. Many know the story of Pat Garrett and Billy the Kid, and this part is essential when regarding the plot. My qualm is that it feels almost tacked on as an afterthought, trotting outside the clear themed borders that the film has laid out so meticulously. This only adds to the ballooning length of the film, and so did begin to drag during these Wild-western plot points. That said, this hardly takes away from an experience that is both visceral and enlightening. Comedic and pensive. Wild and tender. A life, in all possible senses of the word.9/10",9.0,Anonymous,Music
I'm Not There,"I saw this yesterday at my local art-house cinema, with my grandparents who were young when Bob Dylan was 'big' (is my lack of knowledge about Dylan already showing? Oh dear), and I have to say, I'm glad I was there - even if Bob Dylan wasn't.The much-publicised, overly re-hashed concept driving the film is this: Dylan is portrayed by six actors of different races, ages and genders, none of whom are named Dylan, but represent aspects of his personality and life story. Every art-house buff will squeal at this delightfully off-kilter concept (well, except that it's been done before) - but never used so cleverly I'll admit. But, the cleverness of the concept only remains clever if it is executed well. This is where most people have a problem with the film.Most of what you may have read in reviews is correct. The film is challenging, borderline plot-less (unless you are generally acquainted with Dylan's life) and seems muddled (again, only if you don't have a general knowledge of his life). For anyone who can't grasp the basic, ""each actor represents a stage etc."" concept, this film will be lost on them completely... because it gets even more complicated! The film is so layered, with hidden in-jokes, and snippets of real quotes from songs and interviews with Dylan used as dialogue, and story lines within story lines. A great example is Heath Ledger's character: Ledger (an actor), plays an actor, playing Jack Rollins in a biopic, who is the representation of folk-singer-Dylan (a stage). An actor in a biopic playing an actor in a biopic about a singer representing Bob Dylan played by an actor in a biopic. The self-parody is just hilarious in this film.To add to these 'layers', each actor's ""stage"" that they represent is filmed in a distinctive cinematic style, for example, the Cate Blanchett as Jude Quinn representing Bob Dylan sequence is shot in lush black and white. Haynes relishes this opportunity to show off, and he does. The film is stylistically stimulating, even if it does drag sometimes for ignoramuses like me who know literally nothing about Bob Dylan.For those questioning the film's intentions as a biopic, I should think it was really obvious! The opening credits give a huge clue, as the main title comes up in stages: ""I"", ""He"", ""I'm he"", ""I'm her"", ""Not her"", ""Not here"", ""I'm not there"".The film is like a dream: you come out of it with this vague (exact details in the film are scarce) and vivid impression of Dylan's personality, without learning anything. The title is certainly relevant - Haynes' actually conceals Dylan in this film! This biopic is conventional in the way it still presents a chronological life story if you arrange it all together and remember the actors represent one person, but it is different in the way it doesn't try to make a real person into a character for a film. This is really the only way to represent someone - by not.This film is composed of stories and individual representations and metaphors that describe a person's life, their attitudes at points in time and aspects of their personality, but gives us nothing. Absolutely nothing.So, if you're ready to put the level of effort and concentration required to appreciate and maybe like the film, go for it. But I was not prepared for this film and I wish I'd read a biography before I saw it. That said, not knowing anything did help in a way, as after we had several questions about events in the film and their basis in reality. After all, the trailer had told us that stories were exaggerated, fictionalised, imagined and true. It inspired me enough to look him up on Wikipedia (I know, such dedication!).The performances are all generally good. Blanchett, Bale and Franklin impressed me the most. Blanchett only falls short because of her voice, but she has the accent correct, and she can't change her voice that much! She became more believable as the film progressed. Charlotte Gainsbourg is also quietly moving in her role as the neglected wife of Ledger's character.My final opinion is that the film is well executed, but only once you've had time to ruminate on it, research Dylan and hear the director's thoughts on his own work. I read a great deal of reviews as well that helped me to understand (not that I didn't like the film initially; I liked it after I saw it anyway). Appreciation builds the more I learn about the film and the intricate connections between it and it's un-subject.That said, should a film be this much hard work just to like? Not for some people, but for others, the effort is worth it. It does eventually pay off, but it's exhausting.",7.0,Anonymous,Music
Amazing! (Dylan's not there),"This film amazed me. One reason it worked for me is because it's drenched in Dylan's music. I wasn't expecting that. Most of the time, it's Dylan's voice when 'Blind Willie McTell' or 'Moonshiner' or 'Idiot Wind' (the slow, acoustic version) suddenly erupt on the sound track to huge emotional effect. Other times instrumental teasers from 'Man In The Long Black Coat' or 'Nashville Skyline Rag' are planted in the mix like fragments of dreams you can't quite focus on. All the pre-release publicity had revolved around Cate Blanchett is girl Dylan! and Marcus Carl Franklin is African American boy Dylan! but the film itself unfolds like a kaleidoscopic dream where the pieces never quite meet. A bit like me and all my friends scratching our heads in the 1960s and 1970s and earnestly wondering how John Wesley Harding related to Blonde On Blonde, or how Slow Train Coming related to Blood On the Tracks. Well they don't. In ""Chronicles, Volume One"" Dylan dwells on the moment when he stumbled across Rimbaud's declaration ""Je est un autre"" which translates into English: ""I is someone else"". Dylan writes: ""When I read those words the bells went off. It made perfect sense. I wish someone would have mentioned it to me earlier."" That insight has sustained Dylan thru all his multiple personalities, finger pointing folkie, rock & roll rebel, Nashville good ol' boy (Oh me oh my, love that country pie), tormented lover, Born Again Christian. When he performed on his first album, aged 21, he was trying to summon up the voice of a 60 year old blues singer.That insight sustains this movie because Haynes and his team have been able to match a visual style to each image of Dylan's life. From the burnt out black & white textures of 'Fellini's 8½' which seem to lock Blanchett inside an amphetamine-fuelled bubble of superstardom to the mellow colour photography of 'McCabe and Mrs Miller' which frames Richard Gere. I was surprised by the long Gere sequence. He seems like a recluse in the backwoods but all these strange characters and circus animals roll past, capturing the mood of those bizarre Basement Tape songs: 'Please Mrs. Henry', 'Open The Door Homer'. It seems to be set in a realm that Greil Marcus called 'The Old, Weird America'. And there's a visionary flash where Gere peers into the landscape and has a glimpse of Vietnam. It made perfect sense to me. There's a moment in the Sing Out! interview with Dylan in 1968 (when Dylan was secluded in Woodstock) when Happy Traum asked Dylan ""Why don't you speak out against the Vietnam War?"" and Dylan replied: ""That really doesn't exist. It's not for or against the war. I'm speaking of a certain painter and he's all for the war. He's ready to go over there himself. And I can comprehend him. People just have their own views. Anyway, how do you know that I'm not, as you say, for the war?"" When Charlotte Gainsbourg (who seems to be playing a composite of Suze Rotolo and Sara Dylan) suddenly drops the divorce settlement into Heath Ledger's lap, the film cuts to newsreel shots of Henry Kissinger and Lo Duc Tho signing the Vietnam ceasefire accords in Paris. This film isn't a biopic, this film works in a free association surreal way, like Stuck Inside of Mobile with the Memphis Blues Again, or Highlands works. It's true to the spirit of one of Dylan's greatest songs, a song which goes places where no words can go, a song which gives this film its title: ""Now, when I keep believing I was born to love her /But she knows that the kingdom waits so high above her /And I run but I race, but it's not too fast or slow /But I don't deceive her. I'm not there, I'm gone...",9.0,Anonymous,Music
Maybe you had to be there.,"To appreciate I’m Not There., you need to fully buy into its somewhat-implausible premise; in it, six actors represent various aspects of Bob Dylan throughout his many decades in the limelight. If you buy into this premise, then this is a unique, thoughtful perspective of an almost-unknowable individual, a man who famously played things close to the vest, a man who shunned introspection. But if you don’t immediately buy into this premise, then the movie just feels like a long experiment that isn’t entirely successful, and in the end you don’t feel you know much more about the man, the myth, the legend than you knew going in. Which might be the point, who’s to say? And that’s sort of where I land on the whole I’m Not There. issue.Here’s one big problem right off the bat. The six various characters, each representing part of Dylan, have different names. Some of them are named after real-life people, like Woody Guthrie and Arthur Rimbaud. Some have fictitious names, like Jude Quinn (an amalgam of Jude from “Hey Jude” and Dylan’s own “The Mighty Quinn”), Jack Rollins, and Robbie Clark - the latter being an actor playing one of the aspects in a movie. And then it gets confusing.The first gimmick for this movie is that each aspect is played by an actor you wouldn’t expect to see playing Dylan. Okay, maybe not all of them, but some of them. Cate Blanchett is one. She’s female, in case you were unsure, and she is by far the best Dylan in the movie. She plays Jude, the latter-day, peeved-at-everyone Dylan. Another is Marcus Carl Franklin, who plays “Woody Guthrie” - here, a young version of Dylan, riding the rails across the Midwest. Franklin is African American. Then there’s Heath Ledger and Christian Bale, who are Australian (as is Blanchett) and Welsh, respectively. The problem with those, though, is that the only difference between them and the real Dylan is Dylan’s particular linguistic tendencies, so you wind up with just some guys acting Dylanesque. You know, the perpetual cigarette dangling precariously, the hat, the whole nine yards.It would have been more effective, for me, if each of the aspects was played by completely different looking people - because in order for them to be identifiable as Dylan, they would have to sound like him. Otherwise you’re left with some folk-singing iconoclast who’s rebelling against everyone, and you don’t know why. So there’s one issue. And that would have been a clever, but not too-clever, way for each supposed aspect or time period to be represented. Even if two aspects were on the screen simultaneously, big deal - at least we could tell who was who.But added to this gimmick is the fact that some non-Dylan characters - and some situations - are based on real-life people, like Allen Ginsburg, and retain their counterparts’ names, and others are clearly supposed to be real people but have … different names. And some situations definitely did occur (such as Dylan’s getting booed at the Newport festival, a huge turning point for him), but did all of them? Were any of them made up to highlight that particular aspect of his personality? One of the characters is Arthur Rimbaud. No, not the poet, he just has that name. Anyway, the entirety of his screen time is spent giving testimony or something to officials (or a jury, I’m not sure). And his speeches are of the deep philosophical sort, the kind that Dylan was apparently fond of - ways to get into people’s minds, but I’m not sure what the soliloquies add in terms of exposition and revelation.Then there’s also Richard Gere, who plays Billy the Kid, another “aspect” of Dylan. Apparently here Billy is mythologized as this hiding loner at the end of his career, just sort of like Dylan, only Dylan’s not even now at the end of his career, unless he keels over tomorrow, or something. Gere’s good, and I don’t say that often, but I think the aspect, such as it is, is too abstract and unreadable to be worthwhile.The intermittent narrator (Kris Kristofferson) is marginally helpful; perhaps he could have been used to tie all these aspects together. Instead we get two hours of ego feeding and idol worship. To me, though, it felt more like idle worship than anything else, a waste of time even if you’re willing to grasp whatever deep insights the film pretends to offer to you.",6.0,Anonymous,Music
Didn't do much for me,"While not the biggest fan of Bob Dylan, a lot of his songs are great (especially in the lyric writing) and he has an immediately distinctive voice, he is a musician who is appreciated highly by me and it is easy to recognise his importance.'I'm Not There', regardless of having a talented big name cast, generally didn't do much for me. It is interesting sure, with a unique and quite bold concept, but it doesn't come off completely successfully. There are things to appreciate but it is understandable why some may dislike it, it's pretty divisive as a film.Starting with 'I'm Not There's' good points, it is beautifully and atmospherically made and adeptly directed by Todd Haynes. Dylan's music is just great and beautifully incorporated and interpreted.A big strength is the cast, a vast majority of them giving strong performances. Cate Blanchett, barely recognisable, is particularly excellent, with Christian Bale, Marcus Carl Franklin and Heath Ledger more than up to her level. There are some entertaining secondary performances from Charlotte Gainsbourg, David Cross and Julianne Moore. Dylan is remarkably multi-faceted, where we see him as a rebellious poet, a protest singer, a drug-addled rock star, a matinée idol with marriage woes, and a born-again Christian.Not everything works. The concept does intrigue, but the time shifts do feel muddled and confusing. 'I'm Not There' is overlong with it going longer than necessary and the pacing rambles making the film drag.While most of the cast are great, Richard Gere and his story are tacked on and uninteresting and Ben Whishaw is a little dull. The script could have been tighter and more cohesive.Overall, not awful but underwhelming and easy to see why it's a divisive film. Bob Dylan deserved better than this. 5/10 Bethany Cox",5.0,Anonymous,Music
Essential for any Dylan fan,"I just saw I'm Not There at the Telluride Film Festival. It is AMAZING. The performances are nothing short of spectacular. Cate Blanchett really nails the role except that her voice obviously can't hit the same bass as the real Bob Dylan. She does, however, look creepily like Dylan in many instances and really gets the mannerisms right. Christian Bale is another standout. It should be mentioned that all of the performances are really top-notch, nobody falls short. The music was fantastic, too (obviously). My one complaint would be that the film goes on a bit longer than it probably needs to but not enough to affect my overall score. I floated out of the theater after seeing this one. It is definitely essential for all Dylan fans. Many of the people I saw the film with were not very familiar with Dylan's life or music but they said they enjoyed it as well. See it the day it comes out!",10.0,Anonymous,Music
