title,content,rating,username,genres
"Interesting idea, poorly executed","If there's something instantly captivating about a movie - it's when the idea's new. In ""In Time"", the plot revolves around the interesting idea that time is the new currency and rules the world like the Dollar once used to. The poor must fight to live for a few days, the rich are practically immortal.This could have become a new scifi milestone, if it wasn't for the poorly executed script, stiff acting and highly predictable plot. The scenes are thrown together and feel like reenacted from typical ""Bonnie and Clyde"", ""Romeo and Juliet"", two against the world and enemy of the state type movies. None of the scenes seem original or well executed. Actions and reactions by the actors seem unnatural or rushed, unrealistic even. Some character development just feels plain wrong. Not because of the plot, but because the characters don't seem to be portrayed very well. Although a scifi movie, realism is still necessary. ""In time"" shows a world that is not believable and many scenes seem straight stupid.It's not a great movie. If not for the cool plot idea and the likable main character, it wouldn't be worth watching at all. But if you want to see a world, albeit fake, where people fight over time to survive, give it a go.",6.0,Anonymous,Sci-Fi
"Great idea, mediocre execution","Everyone is on a clock. What keeps the general population from devolving into id-driven mobs is the fact that no one knows how much time they have left on theirs. If you had a constant reminder on your forearm, however, you might simply go about your life in a desperate attempt to prolong it. Or not.Will Salas (played by Justin Timberlake) is a 28-year-old factory worker whose one year clock started and aging stopped, like everyone else in the film, when he turned 25. He and his 50 year-old mother Rachel (played by Olivia Wilde) live in the ghettos of Dayton hoping to earn and save enough to at least see the next day. All while wages in the ghetto are constantly going down and the cost of living is constantly going up. Then, while out drinking with his friend Borel (played by Johnny Galecki), he learns of a man with more than a century left on his clock who has unadvisedly advertised his good fortune while in the same bar as Will and Borel. A local time-thief enters the picture and, rather than retreat like his friend did and advised him to do, Will comes to the aid of the fortunate stranger. While saving his life was all for naught, the stranger gives Will all the time left on his clock before allowing the time on his own clock to run out while he's sitting on a bridge overlooking a dry river basin.""Time is money"" was a phrase first coined by Benjamin Franklin. While the idea of reversing that concept to ""money is time"" is interesting, I don't believe the cast was up to the challenge of exploring it. Whatever success Justin Timberlake might've had in supporting roles, he doesn't have what it takes to be the leading man. Amanda Seyfried, whose role has her playing off Timberlake for a lot of the film, is another professional whose appeal tends to overshadow her abilities for some reason. Perhaps an independent production could provide actors with genuine talent, who are young enough to look the part, but this is closer some sort of CW melodrama.",6.0,Anonymous,Sci-Fi
"In Short, Thoroughly Entertaining.","I don't know about you but looking down at the reviews there seem to be an overwhelming amount of negative responses. I was completely disheartened by this.In my opinion, In Time was an original well written and well acted and truly thought provoking production and I loved it. The fact that it subtly questioned our morality and made us question real world issues such as poverty and political stance was just one of the things that made me love this movie.To the people who dislike the feature and to those negative reviews which I have read I have a few responses. Firstly, I saw a point about not enough back story into the body clock. The first thought that struck me was really? The movie is not centred around the body clock, and furthermore throughout the film we are told of its uses and get to a fairly good understanding to how it works. Do you not agree that any more back story would waste time and most likely just bore the typical viewer? Finally to those who disliked the acting and script I strongly disagree. I though both Justin and Amanda played there parts very well and there chemistry was as good as any action film I have scene.I would highly recommend this film to anyone, and suggest if you haven't already seen it you should definitely make some time if you think you will enjoy this movie.",8.0,Anonymous,Sci-Fi
Very unique film,"'In Time' was a film that I saw advertised when it was released and thought it looked good but then I didn't hear any more about it until I came across it on DVD. I'm glad I did manage to see this at last because it was very enjoyable.The plot for this film is very unique, I don't think I've ever seen anything quite like this. There was a lot of familiar actors in this (Cillian Murphy, Johnny Galecki, Vincent Kartheiser to name a few). The acting was very good overall I thought, even from Justin Timberlake in the lead role.There was some good drama as well as good action scenes (car chases, shooting etc). It is the sort of film that will keep you guessing as to what will happen next and it was just a very interesting concept overall.It would have been nice if there was a bit more back story though, it was never really explained why the world was like it was. Apart from that, just take it for what it is and enjoy it.Would recommend it to anyone who fancies watching something a bit different.8/10.",,Anonymous,Sci-Fi
What A Pity,"Looking at this film and its concept I was intrigued. With this said the film does fail to live up to the potential of its concept. One of the few major issues i have with this film is the lack of back-story with regards to the implementation of the 'body clock', along with the lack of true quality acting and a well written script. As a result of this what the viewer will get from this film experience are moments (and i mean moments) where you are enjoying the film, but by the end of it all you can reflect on what you have seen and notice that you could have done a lot more with your money if you had not gone to watch In Time....What a pity",6.0,Anonymous,Sci-Fi
"It's all very familiar, which doesn't make it one whit less awesome.","I went into this one with the lowest expectations, and boy was I wrong. For one thing, before I saw his name in the opening credits, I had no idea this was an Andrew Niccol film, and since he is the stylish, stylized genius who gave us GATTACA, suddenly things were looking up. Then, wow, this cast! Sure, I knew about Justin Timberlake and Amanda Seyfried, but check out the rest of them: Olivia Wilde, Cillian Murphy, THE BIG BANG THEORY's Johnny Galecki, WHITE COLLAR's Matt Bomer and genre-It Kid, Alex Pettyfer. I mean, come on! How can a movie be directed by Andrew Niccol AND contain so much of the pretty AND also be science fiction and NOT be completely, exactly, entirely the kind of movie that I would love, love, love?Want to know why my expectations were low? I'd seen a snippet of the trailer -- which just looked to me like a bunch of TRANSFORMERS-style running around the place -- and had read the basic film synopsis sent to me by Fox Studios' publicity department. So what I knew was this:""Welcome to a world where time has become the ultimate currency. You stop aging at 25, but there's a catch: you're genetically-engineered to live only one more year, unless you can buy your way out of it. The rich ""earn"" decades at a time (remaining at age 25), becoming essentially immortal, while the rest beg, borrow or steal enough hours to make it through the day. When a man from the wrong side of the tracks is falsely accused of murder, he is forced to go on the run with a beautiful hostage. Living minute to minute, the duo's love becomes a powerful tool in their war against the system.""Why was I hesitant about this premise? Because, come on! How many sci-fi tropes do you want to hit? Predetermined age-limit to combat overpopulation: LOGAN'S RUN, among many others. Being able to effectively purchase immortality: Elizabeth Moon's Familias Regnant series, among many others. Falsely accused and on the run in a future, dystopian society: hello MINORITY REPORT, THE ISLAND and who knows what all else! But you know what? Much like he did in GATTACA, where he took the already well-worn path of the genetically-superior being not necessarily being superior and made it his own, writer/director Niccol brings a freshness, almost a whole new sensibility to these and the other trappings of classic sci-fi he offers up to us here. We also get action, suspense, romance, humor, social commentary, gorgeous visuals and, as I mentioned, bucket loads of the pretty -- I would pay good money to see Matt Bomer and Olivia Wilde in anything; impossibly beautiful doesn't even begin to cover that blessed pair -- and wow, what a thoroughly, unexpectedly fun, truly thought-provoking and utterly engaging time this movie was. I am still flabbergasted at just how much I dug this. I actually broke into spontaneous applause as the credits rolled. And I can't wait to see it again.But the big question: how was JT? He was, I will have you know, excellent. I have long felt that there was something effortlessly engaging about his whole persona, whether in interviews or on SNL or in roles as diverse as beleaguered rookie cop in EDISON, Napster hipster Sean Parker in THE SOCIAL NETWORK or squirrelly substitute Scott in BAD TEACHER. He doesn't really seem to act: he just IS. Here, he is an unlikely action hero, but somehow, he pulls it off in grand style, looking simultaneously earnest, dangerous and adorable, and easily holding his own even alongside someone the likes of Murphy, whose hypnotic eyes can convey more in one blink of an eyelash than many a lesser actor can get across in an entire soliloquy.All of the other performances are top notch, particularly from Wilde and Galecki -- who brings most of the funny in the film -- and hey, you know who else is in here! Vincent Kartheiser, AKA Connor from ANGEL! And he's not bad at all, either. In fact, he and Pettyfer are our main bad guys, and both pull of criminal cool pretty damn well.The long and the short of it? See this film. It's entertaining, it has a message, it is a feast for the eyes, and we definitely need to be encouraging more of this kind of genre filmmaking. True, it's not a truly original piece of work. In fact, in addition to all of the other things it reminds me of, it also brings to mind EQUILIBRIUM -- not so much in its content but in the way that it is essentially a mashup of a whole bunch of established ideas out of speculative fiction, but gives them new life (Equilibrium went with BRAVE NEW WORLD, FAHRENHEIT 451, 1984 -- and also LOGAN'S RUN as its inspirations). But that's okay; I really like EQUILIBRIUM, too.In doing a little research for this review, I discovered that the ever-litigious SF luminary Harlan Ellison is suing Niccol and various studio-types for plagiarism, given this movie's similarity to his 1965 short story ""'Repent, Harlequin!' Said the Ticktockman."" Having not read the piece in question, I can't comment, but considering Ellison's unrelenting pursuit of copyright infringers, one would think that if Niccol WAS to knowingly steal from anyone, he'd have picked a safer target. After all, most of the ideas in this movie can be found all over Sci-Fi, not to mention in Action, and Drama and Crime, as well.But sometimes it's not about the provenance of the ideas, it's what you do with them. And here, Niccol has done wonders. (As long as you suspend your disbelief and go with the fact that Timberlake, Seyfried and the rest are, biologically, only 25. Luckily, Hollywood's been conditioning us to do just that for years.)-- Rachel Hyland, Geek Speak Magazine",8.0,Anonymous,Sci-Fi
Time is money and the science fiction romance genre is money for Hollywood,"In the world of ""In Time"", time is money. Literally. Set in a future where everybody ages until 25, then they have one year left to live, except that one year is currency. The rich can live at age 25 eternally and the poor don't always have a chance to live. Time zones are classes of wealth and you can't cross over without upsetting the order of the world. It's quite possible that they have taken this time is money equation too far.But I enjoyed this twist on the same old action movie. It even starts with some thoughts on philosophy. A rich boy finds himself in a poor man's bar where everybody wants a piece of him, so much so that his considerable wealth and time line are in danger. While the poor are in constant need of money, it turns out that the rich don't have the same drives for life. This rich guy is impressed by Will's (Justin Timberlake) honesty and earnest desire to find out how the other side lives. Will is then faced with the possibility of an infinite life time of money.From there, we get a Robin Hood action movie. Will pairs up with a daddy's girl vixen, Sylvia (Amanda Seyfried) and they are on the run from the time keepers (Cillian Murphy). I have enjoyed Timberlake's recent foray into the world of movie stars, but I like him more as a comedic straight man than as an action hero. Seyfried, on the other hand, proves that she can play pretty much anything. A mysteriously innocent, sharp-shooting, sexy action girl suits her well.The logic that this new world presents is pretty easy to figure out, but as you are doing that at least you are distracted from the usual action movie set-up. Hollywood has ventured again into the science fiction romance genre, and has again come out with an intelligent, action-packed film with something for everyone.",7.0,Anonymous,Sci-Fi
"Nice idea, poor execution","IN TIME bears some similarities to LOGAN'S RUN in its depiction of a youthful society who never outwardly age and who are consigned to oblivion at the age of 25. However, the narrative then takes on an extra twist and runs with it (literally, as it happens) in its depiction of time being treated as a currency; you can buy, sell, and steal it, and when it runs out (which you know thanks to a handy tracker on your wrist) you die. It's as simple as that.I actually like the premise, which has the potential for lots and lots of suspense; it's like having a ticking bomb strapped to your wrist. What could go wrong, right? Well, the answer is most things. IN TIME is an insipid, soulless Hollywood blockbuster, happy to copy the look and style of recent films like JUMPER without ever bringing anything new to the table. Kiwi director Andrew Niccol once made the excellent GATTACA so it comes as a surprise he made a film so unoriginal and uninteresting.One of the worst things about this film lies in the central casting of Justin Timberlake as the hero. He's wooden, never less than wooden, and merely cast due to his popularity with audiences. I hated his protagonist throughout, so that made the film as a whole hard to sit through. Amanda Seyfried is better, and Cillian Murphy is always a pleasure to watch on screen, but when you have such a vacuum of acting talent in the central role then your film's going to be flawed. It doesn't help that the family-friendly rating means that there's nothing contentious or powerful here, or that for a film with a chase-focused storyline there aren't really any good action or suspense scenes to enjoy.",4.0,Anonymous,Sci-Fi
Make Time for this Movie.,"A very unusual film screen-play, well written and shot, don't expect any CGI effects here, this is a very down to Earth sci-fi that bears more than a passing resemblance to our current problem with world banks. Surprisingly Justin Timberlake puts in a very professional performance, and not a song in sight, Timberlake carries the part with a very grounded performance being so laid back that he is almost horizontal. Amanda Seyfried submits a polished performance although her make-up makes her look like one of those Japanese animations of what a European looks like, complete with over-sized eyes. The film holds the attention from the first to the last frame and provokes some emotion from the viewer on several levels. Certainly worth a watch, not quite a Rolex, but much better than a Timex.",,Anonymous,Sci-Fi
Bonnie and Clock,"This movie is fine if you don't think too much. First of all, there is the fundamental premise that one can use time as currency. Who decided that at 25 years of age the denizens of the future, would die unless the begged, borrowed, or stole time. We are never given that explanation but all people have a sort of countdown clock on their forearms. Those who have accumulated time become hunted by those who wish to steal it. There is also a set of sectors where people have as much time as they want. Everyone stops aging at 25 and either dies or maintains that age (hence mothers may be 100 years old and look just like their 25 year old children). Also, a grasp of the wrist of another person can transfer time. Justin Timberlake is given a huge cache of time by a suicidal man and sets out to avenge the death of his mother, who has succumbed before she can get ""reloaded."" He takes a spoiled young woman with him and they go around blowing up the system. They are pursued by a sort of latter day Javert, who has dedicated his miserable life to being a timekeeper, arresting those poor souls who are just trying to live. Anyway, it's all pretty absurd, unless you look at it as a parody of our own grasping society and our social classes. Pretty far fetched, even if disbelief is suspended.",6.0,Anonymous,Sci-Fi
