title,content,rating,username,genres
Glorious indeed!,"Aside from the Kill Bill's I have not seen any other Tarantino film. I heard this one was good and so I watched. It's great. From the opening scene you are mesmerized by Christoph Waltz's unnerving performance. He gets a lot of credit and rightfully so. Hans Lands is possibly one of the greatest movie villains of all time. There so many iconic moments and Tarantino demonstrates how normal dialogue scenes can become suddenly intense with words alone. Every actor gives it their all with Brad Pitt giving a memorable performance as well. This movie is worth watching just for its opening but it also has back to back quality scenes that are well shot and have excellent dialogue. The movie balances it's comedy with excellent dark moments reminding viewers that this is indeed a WW2 film. Overall, my favourite Tarantino film of the three I've seen and might be for some time. Worth watching for Christoph Waltz.",9.0,Anonymous,"Adventure, Drama"
Quentin Tarantino's style and Christoph Waltz's menace,"In 1941 Nazi-occupied France, ""The Jew Hunter"" SS Colonel Hans Landa (Christoph Waltz) finds the Dreyfus family hidden by their neighbors. Shosanna Dreyfus (Mélanie Laurent) escapes after her family is massacred. Meanwhile Lt. Aldo Raine (Brad Pitt) has gathered 8 Jewish American soldiers to kill Nazis behind enemy lines. Their brutal scalping campaign instills fear among the Germans. Donowitz (Eli Roth) is even given a nickname ""The Bear Jew"" for brutally beating Nazis with a baseball bat. Then in June 1944, Shosanna has a new name and a theater. She catches the eye of German war hero Fredrick Zoller who wants a big premiere in her theater that will attract the biggest of Nazi leaders. It even attracts the Jew Hunter as well as the Inglourious Basterds.Christoph Waltz is great as the cold menacing well-mannered Nazi. He is completely engrossing in every one of his scenes. Every word he speaks is dripping with menace. His scenes are quiet and some of the most compelling parts of the movie. Then Quentin Tarantino has injected his brutal violence into this Jewish revenge fantasy. It is nothing less than audacious and uniquely original.",8.0,Anonymous,"Adventure, Drama"
Oh! What a Lovely War...,"There's a hunter called Hans Landa you should fear, if circumcision defines the way your men appear, on the surface quite polite, underneath riven with spite, carries a scar that lets you know of his career (or at least he will). But those un-helmeted can rejoice and be spurred, avenging evil come Inglorious Basterds, being led by Aldo Raine, with a remit to cause pain, several parts may disappear as things are sheared.Great dialogue, great direction, sublime performances and original in its depiction of a war picture that's been repainted a thousand times before, but seldom with such entertainment - Tarantino's best in my opinion.",9.0,Anonymous,"Adventure, Drama"
I have NEVER seen such a performance ... ever!,"No, I'm not speaking of Brad Pitt; I'm speaking of German actor Christoph Waltz! He has won just about every award for his performance in this film, and he deserves every single one of them.
Take my Challenge: Watch this film and see if you don't get the chills whenever Christoph Waltz's character is 'interrogating' his suspects! Ooooo!
He is ULTRA polite with each one; and has supreme confidence in his scary, chilling, bold mannerisms.
All I can say is: ""You see this movie for Christoph Waltz's performance; all the rest is secondary""!",10.0,Anonymous,"Adventure, Drama"
I can't believe I just now watched this for the first time.,"This is a perfect Tarantino movie. It's explosive and exciting while also deep and well thought out. It took me a minute to get used to reading so many subtitles because of the variety of languages used, but I think that's a quality that makes the movie even more enticing. It is incredibly well done and it had a hold of me from beginning to end. Fair warning for any Tarantino movie, be prepared for the gore and violence. It runs rampant throughout the movie, but it's kind of gratifying seeing it happen to the Nazis.",10.0,Anonymous,"Adventure, Drama"
Who the hell is Christoph Waltz?,"That's what I thought, when I heard about the cast of Inglorious Basterds. And I'm both from Germany and into movies.That guy is older than 50 and so far he almost only played in mediocre TV series - and even there he didn't play the main parts. Obviously nobody ever noticed, what he's capable of. Now, thanks to QT, he got one shot to change that - and - let's put it this way - that was a bingo! He is the living proof of what a great caster Tarrantino is.By the way: I think it's a great privilege to watch the movie as a German - being able to understand everything. And the German dialog is written almost as good as the English.Now I could repeat, what many others have written here before. I'll put it short: Finally, QT is back.",10.0,Anonymous,"Adventure, Drama"
Waltz is a Genius!!!!!,"I had the PRIVILEGE of attending the UK premier of Inglorious Basterds this evening! Having seen the trailers i had high hopes but had doubts due to a string of self indulgent films (c'mon lets be honest, self indulgence is his tarantinos middle name)I was surprised to find though that he had pulled the cat out of the bag with this one. The film is rich with interesting dialogue, Perfect timed comedy with a dash of brutal assassination.The crowning glory of this film though lies with Christoph Waltz whom no fault or error can be found. He manages to create a real tension in the audience whilst remaining quite ""theatrical"" (couldn't think of a better word). He definitely deserved his prize at Cannes and is heading for an Oscar no doubt!!!! Hoping to see him in something again soon!",10.0,Anonymous,"Adventure, Drama"
The Jewish Scalphunters of Quentin Tarantino,"Once again, revenge is at the center of a Quentin Tarantino movie. This time a Jewish dirty dozen takes things on their own hands. Tarantino re-writes history and shortens WWII with a comic stroke that is as entertaining as it is vacuous. A fantasy that re-arranges some controversial historical points. Okay, it's a movie and as such it works for most of its two and a half hours. Christoph Waltz opens things up in the most promising way. The opening sequence is filled with a subtle but unbearable tension. Weltz amalgamates all the Nazi villains we have loved and hated in the movies into one glorious creation. (I will advise my countrymen to see it in its original multi-language version - the Italian version is another movie altogether. Some of the extra pleasures are in the dialog that, naturally, are not to be found in the Italian version) Brad Pitt, rapidly becoming one of the best character actors in the world, with a leading man's face and billing, is truly fantastic. Diane Kruger makes a credible Barbara Bouchet (one of Tarantino's muses from trash action Italian movies from the 70's) and the rest of the cast has some exquisite touches like Rod Taylor as Winston Churchill. Highly recommended for a Sunday afternoon.",7.0,Anonymous,"Adventure, Drama"
One of the best films I've seen in my life,"It's a historically brilliant Tarantino film recreating a Second World War scenario featuring the group of bastards and one of the best villains in the history of cinema (Hans Landa, the Jew Hunter), for me a somewhat negative feeling about the film is that for me it could have less of the Shosanna arc and more of the batards killing the Nazis, the end of the film is one of the best endings showing what makes a film and maybe if I made a film it would be this ending, but even with this most negative point , in my opinion the film is perfect and one of the best films I've seen in my life, without a doubt 10/10.",10.0,Anonymous,"Adventure, Drama"
Quentin Tarantino is a Crazy Basterd,"I can't imagine a director whose thirst for blood and violence is greater than Quentin Tarantino's. (At least in his films) Inglourious Basterds is no different. We all know Tarantino, the guy who exploded on the scene in the early 90s with cult classics, such as Reservoir Dogs and Pulp Fiction. Since, he has been a disappointment for some. Well, I am relieved to say, Tarantino has not lost his touch. He brings us his best since Pulp Fiction and thankfully so.We know the story, a WWII tale told only as Tarantino can. (Fictional of course) A war film hasn't been done like this before. Brad Pitt as Lt. Aldo Raine leads the Basterds in Nazi occupied France. Their goal - killin' Nazi's. Christoph Waltz as Colonel Hans Landa plays a similar role on the other side. He's know as the ""Jew Hunter"" and goes about his business as ruthless as no other. The third sub story consists of a young Jewish refugee, Shosanna Dreyfus, who witnesses the slaughter of her family. And she, of course, wishes to plot revenge on the Germans for her devastating lose. There actually is three stories here intertwining and connecting with each other. If you know anything about Tarantino or his films, this is nothing new for him.War has never been been so fun. The Basterds, are haunting, but at the same time, very funny, at times even hilarious. The dark comedy aspect play a big aspect in this as in many other Tarantino films. The entertainment and hilarity is led by Brad Pitt. I found him extremely funny and entertaining. I couldn't wait to see him on screen again. Even with his crazy accent, he works in this type of film. Also making great impressions were Mélanie Laurent and Christoph Waltz, who were tremendous. The film was filled with noteworthy performances.The story itself, has so many historical inaccuracies to even count, but so what? It isn't meant to be a documentary. Tarantino wanted to have fun with, as should we. The cinematography department deserves big props with beautiful vibrant colors highlighting the film. You've really got to love the last line in the film... but Pulp Fiction remains his masterpiece.Quentin Tarantino among all other things, is an entertainer. WWII, is one of the most tragic events in history, but Tarantino some how manages to make it fun. Inglourious Basterds is a fun film, it's tremendously entertaining, shocking, dramatic, suspenseful, and funny at the same time. Jam packed with everything you look for in a movie, done with that certain Tarantino style, it's worth being checked out. It's time to experience for yourself what war is like through the eyes of Quentin Tarantino.",,Anonymous,"Adventure, Drama"
