title,content,rating,username,genres
Spike Lee's Engaging A-Team Heist-Film Scores,"'Inside Man' engages the viewer from the opening scene through the credits. One of the better Heist films one can watch, with an all-star cast of highly-accomplished actors delivering the goods. Recommended viewing!No ordinary film maker, Lee taps his expertise in film making, applying superior cinematography, editing, and direction skills.Headlining the film is Denzel Washington as the good guy cop, and Clive Owen as the highly intelligent robber (with the screen-play thankfully avoiding the crazy/insane cliche' Bond movie villain characterization).""Filling-in"" as good as one will find in bank robber caper films are the superior supporting cast performances of Christopher Plummer (who has never delivered anything sub-par in his career), Jodie Foster (effectively playing against her ""type""), Willem Dafoe (over-due for an Oscar), Chiwetel Ejiofor (perfect subtle side-arm detective partner to Denzel), and across the board good performances by the entire supporting ensemble cast.Lee doesn't try to play out the big surprise ending cliche', but instead allows one to piece things together as the film unfolds, letting us ""in"" to the narrative piece by piece. This is refreshing and elevates the film overall.Really hard to find any critical piece missing in the film. Editing and pacing excellent, and even the potentially preposterous story idea works. Yes there are a few ""identifying the magician's tricks"" moments inside what could have been a perceived as an over the top narrative, but one overlooks those because this is quite the entertaining film and it is put together so well - Witty dialogue delivered by some of the all-time great actors who were perfectly cast on their parts.Bravo to all concerned👏, and two thumbs up!👍👍",9.0,Anonymous,"Crime, Mystery"
an entertaining heist flick,"Note: I stay away from describing the plot in any detail because it would be very hard to do so without spoiling elements of it. ""Inside Man"" starts out as a no holds barred, high octane action-thriller, and by its midpoint fully transforms into a breezy, tongue-in-cheek heist movie, reminiscent of The Sting. I felt it to be a little over-plotted, but that comes with the genre - the expected twists and turns are all here, thankfully mostly in non-expected ways. Contrivances abound, and we don't really learn the background of the heist (ie. how the robbers learned about their target) but the story and the overall atmosphere more than make up for this. The meticulously designed plot also compensates for the lack of real 3D characterization - save for Denzel Washington's ambitious policeman hero, who at least achieves a level of humanity throughout the story. The character interaction between him and his sidekick (Chiwetel Ejiofor of ""Serenity"" fame) and the frustrated captain played by Willem Defoe is great with some sparkling dialog. Clive Owen is okay, most of the time convincing as the criminal mastermind, although he spends most of the film wearing a mask. I'd say this film is harmless fun, not your usual Spike Lee fare, which goes to prove his versatility. There is a hint in the back-story at some heavy issues of the past, but it's nothing more than a macguffin that only achieves some slight significance in the resolution of the movie. There is a neat structural trickery in the use of flash-forward scenes, hinting toward the aftermath of the heist without giving away the real ending. It's used sparingly and cleverly. I can highly recommend this movie, it is never boring for a moment, what's more, I was enjoying it so much that as events were progressing toward the climax, I was wishing it would go on. And that's very rare for me in the movies nowadays.",8.0,Anonymous,"Crime, Mystery"
"With Inside Man, Spike Lee has crafted a very original and exciting thriller.","Spike Lee is one of the most consistent directors out there. Save for some more uneven pictures like She Hate Me and Girl 6, Lee's body of work is just plain impressive. And while Inside Man is not up there with Do The Right Thing, Clockers and 25th Hour, it is definitely an entertaining and intelligent thriller that does things a little differently than most cookie cutter thrillers you see in theaters nowadays.A bank robbery in New York has gotten out of control, and it's up to police detective Keith Frazier (Denzel Washington) to act as hostage negotiator and get the bank personal and customers out safely before things turn even worse than they already are. This turns out to be a tough case, since the leader of the bank robbers, Dalton Russell (Clive Owen), turns out to be a very smart individual, who has everything planned to perfection, and who throws up surprise after surprise for Frazier and his men. But while the people around Frazier are slowly getting more and more nervous, he himself does not lose his mind, and begins a high stakes battle of wits with Russell. Things are further complicated, however, when the mayor of New York introduces a mysterious woman to Frazier. This woman (Jodie Foster) wants to protect something that is hidden in one of the safety deposit boxes inside the bank, and she will stop at nothing to force Frazier to let her inside the bank and make sure nothing happens to the contents.This all sounds like an intriguing premise for a thriller, but the movie goes a few steps further than just having an interesting plot. Because while Inside Man does hit all the right notes when it comes to keeping you guessing about what is really going on, it is also very successful in mixing the grittier moments with comedy elements. At times, Inside Man is very funny, but in a way that does not deflate the tension. The dialogue is sharp, with the conversations between Frazier and Russell being especially fascinating, and both actors are at the top of their game in this new movie. Washington's Frazier is an intense but laconic individual, who has a permanent smirk on his face but who reads the bank robbers intentions better than anybody else, while Owen is charismatic and fascinating as the mastermind behind the bank robbery. I was a little disappointed however with Jodie Foster's role. While her part is potentially fascinating, she does not really get the chance to do anything with it other than look cool and act tough. Yes, we all know that she is very good at that, but with a bit more background story, and a bit more screen time, her part could have been even more interesting.With Inside Man, Lee showcases an interesting way of directing thrillers. He ignores the usual build up that you see in thrillers, which consists of an introduction, a chronological development of the main intrigue, followed by a final act in which everything is wrapped up neatly (even flashing forward several times, thus revealing some important developments before they have happened), and this only serves to make Inside Man a movie that is more than your regular suspense movie. I enjoyed this original approach very much, even though he does take quite a long time to wrap things up at the end.",8.0,Anonymous,"Crime, Mystery"
Intelligent thrills,"A pleasure from start to finish. An older Denzel Washington has begun to emerge, and his performance here suggests he has many good years left. Clive Owen is terrific as the mastermind. He, and the plot, keeps you guessing. And while there are plenty of clues, they are so well incorporated that very few viewers will see how this one comes together in the end.One major quibble: Jodie Foster's character is more archetype than person so it's to her credit that she pulls it off as well as it does. However, don't let that deter you from enjoying one of the best movies of the year. I'm glad to see Spike Lee tackle another genre film. He brings a re-invigorating approach to what, in other hands, would be a tiresome rehash. That liveliness seems to have worked on him, too -- this is his best film in several years.",8.0,Anonymous,"Crime, Mystery"
High time the academy gives Spike Lee some respect!,"Whether I was into the subject or not, there's always a filmmaker at work in a Spike Lee film... he's one moviemaker who never loses sight of being a filmmaker first and foremost, and he's absolutely outdone himself with INSIDE MAN, a taut thriller which avoids the colloquialism that alienated mainstream audiences from some of his earlier work.If you've seen the trailer or heard anything about this pic, you have been misled. Everything I heard left me feeling like yeah, OK, I'm going for Denzel. Denzel vs. Clive Owen will be interesting.From the first shots and opening credits, you are submerged in artistic vision, and a finely honed piece of work the likes of which I haven't seen in years. I'd almost give this one a ten.. and I don't hand out tens freely. I do not want to spoil this. You have to walk in cold, and let this film grab you by the short and curlies.This is one film where there isn't a spare frame or wasted cheap shot. Every zinger zings, and there are laughs too, laughs at merciful intervals to break the tension and remind an audience on the edges of its seats that movie-going's supposed to be entertaining, dammit. The cinematography is brilliant, and the music is fantastic - true cinematic score, true genius. I can't praise this one enough.Christopher Plummer is superb, in what is (perhaps coincidentally) an ironic bit of casting. Jodie Foster rises to a challenging persona with aplomb and ease, and my only complaint of the entire exercise is that her character's name 'Madeline White' is perhaps a little cliché. Beyond that, there isn't a filmmaker alive who brings New York to the screen with anything approximating Spike Lee's vision.It seems there hasn't been a lot of junket for this one, and that Spike Lee's presence has been downplayed... as if the studio downplayed the fact that this is a Spike Lee film slightly, until the word was out that this film is over and beyond what an audience might already expect from one of his films.So... let me just say.. man o man this is a cinematic mind-blowing amazing one and a half hours... it's brilliant, tight, funny, articulate, intense, and high time the academy gives Spike Lee some respect.",9.0,Anonymous,"Crime, Mystery"
Spike Lee puts together A-list cast,"Dalton Russell (Clive Owen) talks about a perfect bank robbery from what looks like a prison cell. Police detective Keith Frazier (Denzel Washington), still in the dog house for something, is given the bank robbery. Detective Bill Mitchell (Chiwetel Ejiofor) is his partner. There are hostages. The bank president Arthur Case (Christopher Plummer) has something important in a safe deposit box. He brings in fixer Madeleine White (Jodie Foster). Captain John Darius (Willem Dafoe) is the uniform cop in charge of the crime scene. The robbers seem more interested in the storage room than the bank vault or the deposit boxes.Director Spike Lee is making a stylized robbery. It's wall to wall A-list stars. That's actually distracting to have so many stars scattered in one movie. It takes away from any realism that Spike wants to inject into this movie. Also everything Spike does here is pointing to a surprise reveal. There is teasing, but this is over teasing. Everything is a mystery. Wink! Wink! Again it takes away from any realism. The mysteries are compelling for awhile but it gets tiresome.The reveals are the biggest aspects of this movie. It's a shocking reveal and the jolt is quite enjoyable. But the more one thinks about it, the more problematic it gets. I have questions about the investigation. I have questions about the scheme. The cops should have used a re-enactment to place everybody in their spot. There is also video of the customers before the robbery. The investigation should be able to narrow the suspects much better. Then they should have tailed the suspects. I have questions that don't get answered.",6.0,Anonymous,"Crime, Mystery"
Don't miss this awesome movie!!,"This is a movie that you don't want to miss! Wonderful plot and keeps the audience guessing till the last second. Denzel is at his best playing the NYPD detective, his wonderful acting makes this story as believing as it can be. Clive Owen, what a superb actor! He is so clam, smooth, and elegant in this movie and he actually makes me root for the ""bad guy"" from the beginning till the end. Jodie was good, too. However, she doesn't shine as much as the other two actors, but she is still great. If you have seen the preview of this movie than think it might worth checking out, I'm telling you, this is 100 times better than you think! Get up from your chair and go see the movie, NOW!",10.0,Anonymous,"Crime, Mystery"
Well Acted But Not As Clever As It Thinks It Is,"Continuing my plan to watch every movie in Denzel Washington's filmography, I come to his first movie of 2006, Inside ManDenzel says ""You saw 'Dog Day Afternoon.' You're stalling."" The problem with name checking an amazing movie, is it just reminds you, you'd rather be watching that.I remember liking this one, but I found it to be a let down, this time around. I found myself picking fault after fault with the movie. It's routine, cliche and not as clever as it thinks it is.Christopher Plummer, as the bank president, doesn't look in his 90s, which he'd need to be given his role.Clive Owen (Who we see in the first shot of the film, talking about the crime in the past tense, we know he won't be killed) says at the beginning ""I choose my words carefully and I never repeat myself"" but he will say ""two busses and a plane"" several times, including one where he says ""I've already told you"" and he repeats himself to Jodie Foster, too.Who is Jodie Foster's character?? I've just watched the movie and do not know!! She was so smug, and I was dying to see her exposed, but nothing came of it!! Great legs, though!Every police interview is conducted without a single lawyerThe movie is well acted, but with three Oscar winners (Denzel, Jodie Foster and Christopher Plummer) and three Oscar nominees (Willem Defoe, Clive Owen and Chiwetel Ejiofor) it's not surprising. And it does have some good ideas, but a lot of it, is just filler, padding out a bloated runtime, like Denzel's check cashing, coke bust hanging over his head or most of the scene's involving Jodie Foster, the possible outcomes of them storming the bank and all the talk about Big Willie and the twins.I didn't hate the movie, but I remember it being better.Inside Man was the 4th highest grossing movie of Denzel's career (behind Remember The Titans, The Pelican Brief, Crimson Tide) grossing $88 million at the domestic box office and was the 22nd highest grossing movie of 2006. His 5th best performing movie (behind The Pelican Brief, Crimson Tide, Philadelphia and Remember The Titans) at the time.",6.0,Anonymous,"Crime, Mystery"
My kind of movie in this genre.,"In the crime/mystery genre Inside Man is just a bit better than a normal good movie. It's not excellent though, for that the heist is just too far fetched and perfect. Everybody likes to watch the perfect heist but in this case it's a bit exaggerated. But other than that small detail the rest of the movie is suspenseful, or at least it keeps you attentive as you keep wondering what will happen. For that there was the excellent interaction between Denzel Washington and Clive Owen. Both did a great job with their characters. The whole cast was perfect for this story. Spike Lee made another entertaining movie, one that I will watch again in a few years.",8.0,Anonymous,"Crime, Mystery"
Just a Tad Smug!,"This is a decent but not particularly memorable movie. I thought that Denzel Washington was pretty good, but he seems to have settled into a type. Confident and unyielding and always right (Coach Boone from Remember the Titans). This is fine and I enjoy watching him. This movie is about a bank robbery where the perpetrators are after more than money. It has to do with a righteous cause, but what happens is that the possibility of pulling it off and getting what they want is on such fragile ground that you need to ask the question, ""Isn't there an easier way?"" Anyway, the scenes in the bank are quite good but we really need to extend our disbelief at times. I've always wondered about that ""get me a plane and a million dollars"" business anyway. Well, there's a lot more to it than that. See this and enjoy the characters, but in the long run, it's pretty far fetched.",7.0,Anonymous,"Crime, Mystery"
