title,content,rating,username,genres
I feel like everybody has missed the point,"I am not normally one to write reviews, but I couldn't help reading several for this film on this site that just did't seem to understand where I think the film was supposed to be coming from.The majority of the complaints I saw were that the film was 'too depressing for a children's film', but whilst I see where they are coming from in some regards, every child who I have seen watch this film (I work in a cinema) has absolutely loved it, and laughed out loud almost constantly. They are not old enough to realise the message the film is trying to convey: that life isn't all about happiness. I applaud the attempt from Pixar to make a film that is not only hilarious in places, but is also a major comment on what life is like to be a younger teenager, transitioning through one of the most important moments of life.From a more personal perspective, why should everything we show our children gloss over the reality of life, and try to make them believe everything is rosy 24/7? Again, what this film does brilliantly through the message I took away at the end was that life will never be 100% full of happiness, but that is fine. Why does it have to be? A little bit of sadness is necessary. If a person was never sad, they would be inhumane.Overall then, I suppose my review is more of a comment on the type of film we exhibit to children, and how the Nanny-state we live in looks to protect them from most of lives inevitabilities. Either way, what can't be ignored is that this film is equal parts sad, and equal parts what I am sure will become a timeless classic in years to come.",9.0,Anonymous,"Adventure, Animation, Comedy"
I cried like a baby..,"I watched the movie long time ago, and I've just rewatched it today.
For kids it will be a funny movie with no meaning maybe!!
But for an adult, its so true!! You lose your childhood personality you change you feel sad, i mean it literally touches my soul
Great movie for both kids and adults.",9.0,Anonymous,"Adventure, Animation, Comedy"
The fact that this movie has so many 1 star reviews is proof that there is no point in making great movies anymore......,"I hate to see so many 1 star reviews claiming this movie was ""too depressing"". Everyone who said that missed the point completely. Growing up ain't all sunshine and rainbows, it comes with a lot of hardships and that's what this movie is about. Riley's emotions try to help her through the difficulty of moving to a new place that isn't all its cracked up to be, and in the process Joy accidentally sends Riley into a deep depression. Sounds depressing, but what makes this movie great is how realistic her depression feels as Joy and Sadness try to help Riley out of it. I feel like this movie's message is ""Growing up will be tough, but you will get through it and there are people who will always help you through it."" and that is a VERY important message for children.Throughout the movie there are plenty of good jokes, gorgeous animation, and a beautiful score by Michael Giacchino (idk how to spell that....) Again, just my two cents, but I think this a great movie, if very different and a bit more depressing by Pixar standards.REALLY starting to think people are just coming to trash all of Pixar's most recent movies out of jealousy or something. There's no way so many people think this movie is garbage. If the good movies are really getting this many bad reviews, it's no wonder the quality of animated movies is going down. There's just no reason to try anymore......",10.0,Anonymous,"Adventure, Animation, Comedy"
Mandatory watch for children and parents alike.,"I did exactly what I was supposed to when watching this brilliant movie, I felt all the emotions at some point.Pixar did it again with Inside Out. For a long time I had stubbornly repeated that Toy Story would always be my favourite from Pixar, but I changed my mind shortly after watching this one.Like Toy Story you were offered a setup every adult can identify. Growing up learning how to control your feelings and learning the importance of every one of them. It is okay to be angry, sad, happy and afraid as long as we are taught how to manage them.The idea of having this control panel inside a human body has been done before by Osmosis Jones (2001), but let's say with much less success. Inside out takes it to the highest level of perfection.I loved the way Pixar made this world inside the main character of Riley, it is very creatively done and was in some ways just how I had imagined it. I must admit that I cried a couple of times during the movie, because it has some really touching moments.You should be feeling all emotions when watching Inside Out. It is a must watch.",10.0,Anonymous,"Adventure, Animation, Comedy"
Not for young children,"I confess that I had to watch this twice before I could properly assess it. It's definitely not a young children's film, as there's precious little to entertain them, but it does have much to consider for older children and (young) adults. As a rumination on what drives us all through life, this is very effective, but I do feel that the story lacks something for making Riley so isolated in her world. Perhaps if she interacted a bit more in the story, this would be a more involving film, but the reflections on lost innocence do add some poignancy and lift this film slightly above average.",,Anonymous,"Adventure, Animation, Comedy"
An Interesting Concept with a Handful of Inconsistencies,"Inside Out is the hit Disney-Pixar animated movie about emotions, specifically emotions living inside a person's brain in a somewhat human form and controlling how people react to things. It's an interesting concept, and for the most part it's presented well, but there are flaws for sure.The plot is, like I already said, interesting but flawed. It bothers me that people are saying that this is an incredibly original concept despite the fact that it's been done before. It's just the most popular use of the idea, but it's not the original. The story itself, however, has a handful of really good ideas, but there are inconsistencies with it too. The disappointing part is that most of the inconsistencies are actually pointless scenes that don't add to the story but instead end up taking away from it. There aren't a lot of them, but there's enough to take away from the movie itself. Most of the inconsistencies would spoil the movie, so you'll just have to watch it to understand. Other than that the ideas are good and some are even pretty amusing.The characters are okay. I found the most interesting characters to be the parents personally, with Riley being as flat as a pancake and everyone else just not being important enough to even remember by the time the credits roll. For a movie about emotion, Riley really isn't presented in a very realistic way. Sure, at times she's good, but most of the time her character is just inconsistent. The parents were, on the other hand, much more consistent, and funnier most of the time.I think that this movie had a great beginning and a great ending, it was just the middle stuff that struggled. It's a very emotionally intense movie, especially towards the end. I felt much more into the movie at these points, and even on my third watch I got a bit emotional about the ending. The movie felt a little too short as well, but maybe that's because I've seen it so many times already.Overall Inside Out is just good. I think that I loved it so much originally (I gave it a 10/10) because of the ending. It was pretty emotional the first time, but after the second watch I started to question it. By the third watch I found inconsistencies and a handful of things that I just didn't like about the movie. Ideas and such that just weren't nearly as good as I remember. In the end I'd still certainly recommend this movie, but if you want to really love it then don't analyze it, because otherwise you'll notice the things that I did (probably).",6.0,Anonymous,"Adventure, Animation, Comedy"
Pixar's best film since Toy Story 3 and one of their finest overall,"Most of Pixar's films are wonderful (short films too), and while the three films made after Toy Story 3 weren't up to their top standards they were still better than most animation companies at their worst. Inside Out was nothing short of a masterwork, Pixar's best since Toy Story 3 and one of their best overall.Pixar films can be relied upon to have great animation, and Inside Out certainly does have great animation. No, wonderful animation and some of the company's most ingeniously inventive, with gorgeously vibrant colours, a very imaginatively rendered setting (and the lands even more ingeniously done, the next land more so than the last), very meticulous and beautifully modelled backgrounds and clever character designs that match the emotions more than ideally. Michael Giacchino's sparkling, rousing and very charming score is one of my personal favourite scores of the year so far, and every bit as great as his score for Up.A superb job was done with the script here too, the comedy is clever and witty without ever being forced and balances subtly with the drama, the drama is some of the most truly poignant of any Pixar film and it doesn't ever feel manipulative or overdone and it's very smartly insightful. The story, not one of THE most innovative concepts but is one of the more imaginative uses of it and is quite original for Pixar actually, goes at a slightly steadier pace than other Disney films, but still captivated. It was very easy to completely connect with Riley and her situation and this was easily the Pixar film since Toy Story 3 that I connected with emotionally the most, also one of Pixar's most moving stories quite easily.Loved the characters too, Anger, Fear, Disgust and Bing Bong (the imaginary friend and the 'epitome of immaturity', without ever being annoying, his back story did bring a tear to the eye) stole every scene they were in, and even Sadness managed to crack some funny one-liners even in her depressive state. Joy also positively lights up the screen and Riley was easy to connect with and much more than just a stereotypical teen girl. The voice acting is splendid. Amy Poehler is note perfect as Joy with her spirited banter giving the character so much life while also bringing a human element to her as well, Lewis Black gives an explosively barn-storming turn as Anger, Phyllis Smith is amusing and affecting, Bill Hader and Mindy Kaling are similarly priceless and in a way that makes the characters of Fear and Disgust endearing rather than annoying, Richard Kind is innocently charming and Kyle MacLachlan and Diane Lane are appropriately compassionate.Overall, a masterful return to form for Pixar. It's their best since Toy Story 3 and one of their best overall as well. 10/10 Bethany Cox",10.0,Anonymous,"Adventure, Animation, Comedy"
Great ride through emotions!,"Inside out is movie about emotions. Various emotions depicted in the movie are joy, fear, disgust, anger and sadness. The movie is about a girl who grows up to 11 years of age and then faces, what we can say, her first major mental breakdown resulting in a sad core memory formation. This happens because of the reason they move from Minnesota to a new place. The dull phase of her life is gradually overcome as the movie progresses as she learns to handle emotions more nicely.A human brain consists of various parts. It's fair to say that activity in certain part is responsible for a specific emotion. The movie has portrayed it very nicely. Human brain is very complicated structure. How it works majorly remains a mystery. The work done in the movie is a great representation of available information. The movie shows how a human being matures in terms of his emotions. Its shown how the girl learns to handle multiple emotions in terms of memory.My personal favorite emotions(characters) go in order anger, fear, joy, disgust, and sadness. Anger being the most liked one. The movie is wonderful, great job done by creators. Fairly recommended.",7.0,Anonymous,"Adventure, Animation, Comedy"
Beyond Words...,"It's been nearly a year since I first saw this film. I would say I had pretty low knowledge in films before I first saw Inside Out (not to say that I'm highly intelligent on films now). I only saw about 200 films prior. I hadn't seen a lot of classic films or even know that film can be an art form just through its camera work among other aspects. So you could say that I can't speak for everyone on my views of this film. And you may be right because opinions are subjective anyway.This is my favourite film ever.Like I said above, I didn't see a lot of films that were deemed as masterpieces at that time. While I still have a lot more to see, I can say that I have caught up with many notable ones now. I've seen The Godfather. I've seen 2001: A Space Odyssey. I've seen Casablanca. I've seen The Shawshank Redemption. I've seen Pulp Fiction. I've seen Lawrence of Arabia.Yet this is still my favourite film of all-time.80 years from now, this won't change. I felt something extraordinary that will never be felt again. This to me, was a revelation. In honest words I've never experienced something like this before. Only because of Inside Out I was able to kick myself off of a serious depression I had for years, understand the meaning of feeling, feel sympathy to why people act the way they do, be interested in films. In fact, I went and watched the films I mentioned above because of Inside Out.Ever since that late July of 2015 I had been compulsively obsessed with Inside Out to the point where I checked its Oscar chances, IMDb rating, Rotten Tomatoes rating and box office grosses to the point where I felt like I had to stop myself from doing as when seeing anything negative about it just makes feel let down and quite sad about it. It's still something that I'm trying to quit but obviously it's not going that well (ie. this review after one year of the film's release).Inside Out taught me more about depression, empathy, importance of sorrow and interpersonal relationships than any books, talk shows, real-life stories or cat posters could ever dream of. It made me want to become a filmmaker because if this much craft and intelligence can be put in a film, then sign me up to the industry because I want to be a part of it. I don't want to talk about the story or the technical aspects of Inside Out because everyone has talked about it already.In the course of less than ten months, I've see this film six times. That's more than any other film during the same period. It's a true testament to its strength and impact on me that's hardly ever going to fade away. I know this isn't the case for everybody. I keep trying to find anybody else who had the same experience as I did walking out of this film for the first time. I yielded only little results and although it brings me down a little since I don't really have anyone else to relate to, I keep telling myself, that no matter what happens to Inside Out in the future, whether its Rotten Tomatoes score or IMDb rating or its overall stature among the general public, whether it gets worse or better for it, this will always be favourite film of all-time. Nothing will change that and I have to let go of everybody else's opinion whether or not they had similar emotional experiences towards it.You can vote ""not helpful"" on this review all you want (which seems to be a recurring case for all positive user reviews here.... I wonder why...) but it's not going to matter anyway. This is a beautiful film that will resonate in me always.I will never forget Inside Out.",10.0,Anonymous,"Adventure, Animation, Comedy"
Didn't live up to my expectations,"I had high expectations for this movie, and I was quite disappointed when I finished it. I really hope Pixar does better next time, because this is not good enough.The people who gave it an 8, 9 or 10 out of 10 need to calm down though, and so do the people who gave it a 1, 2 or 3. It's definitely not amazing, but it's definitely not ""the worst"" either. Those who say it's one of the two are exaggerating.Personally, I think it's mediocre. It has some fun, interesting elements to it, and the concept is original. It starts out quite interesting, the beginning is the best part, but the rest is not as good. It relies heavily on clichés, and none of the characters feel original. None of them develop much either, not even the main character, they're predictable and quite boring. Actually, you don't really get to know them, not even Riley, which is pretty ridiculous considering the movie is set inside her head. The parts that are supposed to make you laugh only make you smile awkwardly, because they're so cliché. There is no ""wow factor"", and the ending was predictable. Definitely not what I would expect from Pixar.I wouldn't recommend or discourage people from watching it though, as some may enjoy it, but people probably shouldn't get their hopes up.",7.0,Anonymous,"Adventure, Animation, Comedy"
